,Concept_ID,eu,el
77,Luft::N,aire,αέρας
78,Wind::N,haize,αέρας
79,Wind::N,haize,άνεμος
80,Welle::N,uhin,κύμα
81,Welle::N,olatu,κύμα
82,Wasser::N,ur,νερό
83,Stein::N,harri,πέτρα
84,Boden::N,lur,χώμα
85,Boden::N,zoru,χώμα
86,Erde::N,lur,γη
87,Staub::N,hauts,σκόνη
88,Rauch::N,ke,καπνός
89,Funke::N,zirta,σπίθα
90,Funke::N,zirta,σπινθήρας
91,Funke::N,txinparta,σπίθα
92,Funke::N,txinparta,σπινθήρας
93,Feuer::N,su,φωτιά
94,Licht::N,argi,φως
95,Schatten::N,itzal,σκιά
96,Schatten::N,itzal,ίσκιος
97,Schatten::N,geriza,σκιά
98,Schatten::N,geriza,ίσκιος
99,Wetter::N,eguraldi,καιρός
100,Nebel::N,laino,ομίχλη
101,Wolke::N,hodei,σύννεφο
102,Regen::N,euri,βροχή
103,Schnee::N,elur,χιόνι
104,Eis::N,horma,πάγος
105,Frost::N,izotzaldi,παγωνία
106,Kälte::N,hotz,κρύο
107,Kälte::N,hotz,ψύχος
108,Hitze::N,bero,ζέστη
109,Raureif::N,antzigar,πάχνη
110,Regenbogen::N,ostadar,ουράνιο τόξο
111,Regenbogen::N,ortzadar,ουράνιο τόξο
112,Donner::N,ostots,βροντή
113,Donner::N,ihurtzuri,βροντή
114,Strömung::N,laster,ρεύμα
115,Tropfen::N,xorta,στάλα
116,Schaum::N,bits,αφρός
117,Schmutz::N,lohi,βρωμιά
118,Schmutz::N,zikin,βρωμιά
119,See::N,laku,λίμνη
120,See::N,aintzira,λίμνη
121,Sumpf::N,zingira,βάλτος
122,Moor::N,zohikaztegi,έλος
123,Wiese::N,larre,λιβάδι
124,Wiese::N,belardi,λιβάδι
125,Wald::N,baso,δάσος
126,Wald::N,oihan,δάσος
127,Hügel::N,muino,λόφος
128,Hügel::N,pentoka,λόφος
129,Anhöhe::N,garai,ύψωμα
130,Anhöhe::N,goragune,ύψωμα
131,Berg::N,mendi,όρος
132,Berg::N,mendi,βουνό
133,Gipfel::N,gain,κορυφή
134,Gipfel::N,tontor,κορυφή
135,Höhle::N,kobazulo,σπηλιά
136,Abhang::N,aldapa,πλαγιά
137,Quelle::N,iturri,πηγή
138,Quelle::N,iturri,βρύση
139,Quelle::N,iturbegi,πηγή
140,Quelle::N,iturbegi,βρύση
141,Bach::N,lats,ρυάκι
142,Bach::N,erreka,ρυάκι
143,Fluss::N,ibai,ποτάμι
144,Fluss::N,ibai,ποταμός
145,Fluss::N,uhaitz,ποτάμι
146,Fluss::N,uhaitz,ποταμός
147,Ufer::N,bazter,όχθη
148,Küste::N,itsasalde,ακτή
149,Küste::N,itsasalde,ακρογιαλιά
150,Festland::N,lehor,στεριά
151,Meer::N,itsaso,θάλασσα
152,Bucht::N,golko,κόλπος
153,Insel::N,irla,νησί
154,Insel::N,irla,νήσος
155,Insel::N,uharte,νησί
156,Insel::N,uharte,νήσος
157,Blume::N,lili,άνθος
158,Blume::N,lili,λουλούδι
159,Gras::N,belar,χόρτο
160,Gras::N,belar,χορτάρι
161,Wurzel::N,zuztar,ρίζα
162,Wurzel::N,sustrai,ρίζα
163,Baum::N,zuhaitz,δέντρο
164,Stamm::N,enbor,κορμός
165,Rinde::N,azal,φλούδα
166,Ast::N,adar,κλαδί
167,Zweig::N,abar,κλαδί
168,Zweig::N,abar,κλάδος
169,Blatt::N,hosto,φύλλο
170,Birke::N,urki,σημύδα
171,Kiefer[Baum]::N,ler,πεύκο
172,Weide[Baum]::N,zume,ιτιά
173,Weide[Baum]::N,sahats,ιτιά
174,Tanne::N,izei,έλατο
175,Horn::N,adar,κέρας
176,Horn::N,adar,κέρατο
177,Feder::N,luma,φτερό
178,Feder::N,hegaki,φτερό
179,Fell::N,ile,δέρμα
180,Fell::N,ile,τομάρι
181,Fell::N,larru,δέρμα
182,Fell::N,larru,τομάρι
183,Flügel::N,hego,πτερύγιο
184,Klaue::N,atzapar,κουλό
185,Kralle::N,erpe,νύχι
186,Kralle::N,atzapar,νύχι
187,Schwanz::N,isats,ουρά
188,Schwanz::N,buztan,ουρά
189,Ei::N,arrautza,αβγό
190,Nest::N,habia,φωλιά
191,Bau::N,ohantze,φωλιά
192,Tier::N,abere,ζώο
193,Tier::N,piztia,ζώο
194,Herde::N,saldo,κοπάδι
195,Herde::N,abere talde,κοπάδι
196,Kuh::N,behi,αγελάδα
197,Bulle::N,zezen,ταύρος
198,Pferd::N,zaldi,άλογο
199,Schaf::N,ardi,πρόβατο
200,Schwein::N,urde,γουρούνι
201,Schwein::N,txerri,γουρούνι
202,Hund::N,txakur,σκυλί
203,Hund::N,txakur,σκύλος
204,Katze::N,katu,γάτα
205,Bär::N,hartz,άρκτος
206,Bär::N,hartz,αρκούδα
207,Eichhörnchen::N,urtxintxa,βερβερίτσα
208,Elch::N,altze,άλκη
209,Fuchs::N,azeri,αλεπού
210,Hase::N,erbi,λαγός
211,Maus::N,sagu,ποντικός
212,Wolf::N,otso,λύκος
213,Vogel::N,txori,πουλί
214,Vogel::N,hegazti,πουλί
215,Schwarm::N,aldra,σμήνος
216,Huhn::N,oilo,κότα
217,Huhn::N,oilo,όρνιθα
218,Hahn::N,oilar,πετεινός
219,Gans::N,antzara,χήνα
220,Adler::N,arrano,αετός
221,Ente::N,ahate,πάπια
222,Eule::N,hontza,κουκουβάγια
223,Kranich::N,kurrilo,γερανός
224,Krähe::N,bele,καρακάξα
225,Kuckuck::N,kuku,κούκος
226,Schwan::N,beltxarga,κύκνος
227,Fisch::N,arrain,ψάρι
228,Barsch::N,perka,πέρκα
229,Hecht::N,lutxo,λούτσος
230,Schlange[Tier]::N,suge,φίδι
231,Wurm::N,har,σκουλήκι
232,Spinne::N,armiarma,αράχνη
233,Ameise::N,inurri,μυρμήγκι
234,Laus::N,zorri,ψείρα
235,Mücke::N,eltxo,κουνούπι
236,Fliege::N,euli,μύγα
237,Schmetterling::N,pinpirin,πεταλούδα
238,Schmetterling::N,tximeleta,πεταλούδα
239,Beere::N,baia,ρόγα
240,Apfel::N,sagar,μήλο
241,Pilz::N,onddo,μανιτάρι
242,Pilz::N,perretxiko,μανιτάρι
243,Zwiebel::N,tipula,κρεμμύδι
244,Saat::N,haziak,σπόρος
245,Korn::N,ale,σπυρί
246,Korn::N,pikor,σπυρί
247,Heu::N,belar ondu,σανός
248,Schale::N,azal,τσόφλι
249,Grube::N,hobi,λάκκος
250,Falle::N,harrapagailu,παγίδα
251,Schlinge::N,bilur,θηλειά
252,Schlinge::N,xedera,θηλειά
253,Spur::N,lorratz,ίχνος
254,Asche::N,errauts,στάχτη
255,Dreck::N,satsukeria,βρωμιά
256,Eisen::N,burdina,σίδερο
257,Gold::N,urre,μάλαμα
258,Gold::N,urre,χρυσάφι
259,Gold::N,urregorri,μάλαμα
260,Gold::N,urregorri,χρυσάφι
261,Silber::N,zilar,ασήμι
262,Silber::N,zilar,άργυρος
263,Silber::N,urrezuri,ασήμι
264,Silber::N,urrezuri,άργυρος
265,Kohle::N,ikatz,κάρβουνο
266,Glas::N,beira,γυαλί
267,Lehm::N,buztin,πηλός
268,Sand::N,harea,άμμος
269,Sand::N,hondar,άμμος
270,Mensch::N,gizaki,άνθρωπος
271,Mann::N,gizon,άνδρας
272,Frau::N,andere,γυναίκα
273,Frau::N,emakume,γυναίκα
274,Kind::N,haur,παιδί
275,Junge::N,mutil,αγόρι
276,Mädchen::N,neska,κοπέλα
277,Mädchen::N,neska,κορίτσι
278,Familie::N,sendi,οικογένεια
279,Familie::N,familia,οικογένεια
280,Großvater::N,aitona,παππούς
281,Großvater::N,aitatxi,παππούς
282,Großmutter::N,amona,γιαγιά
283,Großmutter::N,amatxi,γιαγιά
284,Eltern::N,gurasoak,γονείς
285,Vater::N,aita,πατέρας
286,Mutter::N,ama,μητέρα
287,Sohn::N,seme,γιος
288,Tochter::N,alaba,κόρη
289,Bruder::N,neba,αδελφός
290,Bruder::N,anaia,αδελφός
291,Schwester::N,ahizpa,αδελφή
292,Onkel::N,osaba,θείος
293,Tante::N,izeba,θεία
294,Ehemann::N,senar,σύζυγος
295,Ehefrau::N,emazte,σύζυγος
296,Freude::N,poz,χαρά
297,Freude::N,pozkari,χαρά
298,Gelächter::N,barre,γέλια
299,Gelächter::N,karkara,γέλια
300,Glück::N,zori,ευτυχία
301,Kummer::N,xangrin,έγνοια
302,Kummer::N,atsekabe,έγνοια
303,Wunsch::N,nahi,επιθυμία
304,Wunsch::N,nahikunde,επιθυμία
305,Lust::N,gogo,όρεξη
306,Geist::N,gogo,πνέυμα
307,Gedanke::N,gogoeta,σκέψη
308,Gedächtnis::N,oroimen,μνήμη
309,Gedächtnis::N,gogoramen,μνήμη
310,Verstand::N,adimen,νους
311,Verstand::N,ulermen,νους
312,Sinn::N,zentzu,νόημα
313,Grund::N,zergati,λόγος
314,Wahrheit::N,egia,αλήθεια
315,Gespräch::N,hizketa,συνομιλία
316,Gespräch::N,elkarrizketa,συνομιλία
317,Märchen::N,ipuin,παραμύθι
318,Erzählung::N,edesti,διήγημα
319,Erzählung::N,kontakizun,διήγημα
320,Nachricht::N,albiste,είδηση
321,Neuigkeit::N,berri,νέο
322,Name::N,izen,όνομα
323,Rätsel::N,asmakizun,αίνιγμα
324,Rede::N,hitzaldi,λόγος
325,Rede::N,hitzaldi,ομιλία
326,Rede::N,mintzaldi,λόγος
327,Rede::N,mintzaldi,ομιλία
328,Sprache::N,hizkuntza,γλώσσα
329,Stimme::N,ahots,φωνή
330,Wort::N,hitz,λέξη
331,Zeichen::N,agerbide,σημείο
332,Zeichen::N,agergarri,σημείο
333,Ruf::N,dei,κραυγή
334,Lärm::N,zarata,θόρυβος
335,Lärm::N,harrabots,θόρυβος
336,Laut::N,hots,ήχος
337,Ton::N,tonu,ήχος
338,Ton::N,tonu,τόνος
339,Ton::N,soinu,ήχος
340,Ton::N,soinu,τόνος
341,Lied::N,abesti,τραγούδι
342,Ruhe::N,nasaitasun,ησυχία
343,Leute::N,jende,κόσμος
344,Leute::N,jende,άνθρωποι
345,Volk::N,herri,λαός
346,Volk::N,populu,λαός
347,Arbeit::N,lan,εργασία
348,Gast::N,arrotz,επισκέπτης
349,Gast::N,apopilo,επισκέπτης
350,Geschenk::N,opari,δώρο
351,Spiel::N,jolas,παιχνίδι
352,Gesellschaft::N,gizarte,κοινωνία
353,Hilfe::N,helpide,βοήθεια
354,Hilfe::N,laguntza,βοήθεια
355,Freund::N,lagun,φίλος
356,Kamerad::N,adiskide,σύντροφος
357,Kamerad::N,lagunkide,σύντροφος
358,Angelegenheit::N,afera,υπόθεση
359,Anzahl::N,kopuru,αριθμός
360,Art::N,mota,είδος
361,Stück::N,puska,κομμάτι
362,Teil::N,atal,μέρος
363,Hälfte::N,erdi,μισό
364,Kreis::N,biribilki,κύκλος
365,Kreuz::N,gurutze,σταυρός
366,Linie::N,linea,γραμμή
367,Strich::N,marra,γραμμή
368,Abstand::N,tarte,απόσταση
369,Entfernung::N,urrunera,απόσταση
370,Gegend::N,alderdi,περιοχή
371,Gegend::N,alderdi,τοποθεσία
372,Gegend::N,eskualde,περιοχή
373,Gegend::N,eskualde,τοποθεσία
374,Platz::N,leku,χώρος
375,Ort::N,toki,τόπος
376,Seite::N,albo,πλευρά
377,Mitte::N,erdi,μέση
378,Gegenstand::N,gauzaki,αντικείμενο
379,Sache::N,gauza,πράγμα
380,Rand::N,ertz,άκρη
381,Rand::N,ertz,χείλος
382,Kante::N,ertz,άκρη
383,Ecke::N,kantoi,γωνιά
384,Spitze::N,punta,μύτη
385,Ende::N,buru,άκρη
386,Ende::N,mutur,άκρη
387,Loch::N,zulo,τρύπα
388,Winkel::N,zoko,γωνία
389,Winkel::N,bazter,γωνία
390,Muster::N,eredu,σχέδιο
391,Muster::N,marrazki,σχέδιο
392,Größe::N,kaizu,μέγεθος
393,Größe::N,tamaina,μέγεθος
394,Länge::N,luzera,μήκος
395,Höhe::N,goiera,ύψος
396,Höhe::N,garaiera,ύψος
397,Gewicht::N,hazta,βάρος
398,Menge::N,kopuru,ποσότητα
399,Haufen::N,pila,σωρός
400,Haufen::N,mendoi,σωρός
401,Reihe::N,ilara,αράδα
402,Reihe::N,errenkada,αράδα
403,Boot::N,potin,βάρκα
404,Boot::N,txalupa,βάρκα
405,Ruder::N,arraun,κουπί
406,Schlitten::N,lera,έλκηθρο
407,Schlitten::N,narra,έλκηθρο
408,Ski::N,eski,σκι
409,Lagerfeuer::N,su,φωτιά
410,Last::N,zama,φορτίο
411,Last::N,karga,φορτίο
412,Gang::N,ibilera,δρόμος
413,Schritt::N,pauso,βήμα
414,Schritt::N,urrats,βήμα
415,Norden::N,ipar,βορράς
416,Norden::N,iparralde,βορράς
417,Süden::N,hego,νότος
418,Süden::N,hegoalde,νότος
419,Westen::N,sartalde,δύση
420,Westen::N,mendebalde,δύση
421,Osten::N,ekialde,ανατολή
422,Osten::N,sortalde,ανατολή
423,Holz::N,zur,ξύλο
424,Brett::N,ohol,σανίδι
425,Platte::N,lauza,πλάκα
426,Stütze::N,irozgarri,στήριγμα
427,Stütze::N,bermagailu,στήριγμα
428,Stange::N,haga,ραβδί
429,Stange::N,haga,κοντός
430,Stock::N,makila,ξύλο
431,Stock::N,makila,μπαστούνι
432,Stab::N,makila,ραβδί
433,Rohr::N,hodi,σωλήνας
434,Haus::N,etxe,σπίτι
435,Heim::N,etxe,σπίτι
436,Heim::N,etxaleku,σπίτι
437,Ofen::N,berogailu,σόμπα
438,Ofen::N,berogailu,θερμάστρα
439,Fußboden::N,zoru,πάτωμα
440,Tisch::N,mahai,τραπέζι
441,Stuhl::N,aulki,καρέκλα
442,Wiege::N,kuma,κούνια
443,Wiege::N,sehaska,κούνια
444,Bett::N,ohe,κρεβάτι
445,Bett::N,ohatze,κρεβάτι
446,Regal::N,apalategi,ράφι
447,Kiste::N,kutxa,κιβώτιο
448,Fenster::N,leiho,παράθυρο
449,Tür::N,ate,πόρτα
450,Tor::N,atari,πύλη
451,Zaun::N,hesi,φράχτης
452,Dach::N,teilatu,στέγη
453,Leiter::N,zurubi,σκάλα
454,Leiter::N,zurubi,κλίμακα
455,Besen::N,erratz,σκούπα
456,Spaten::N,burdinpala,φτυάρι
457,Schaufel::N,pala,φτυάρι
458,Gabel::N,sardexka,πιρούνι
459,Löffel::N,koilara,κουτάλι
460,Messer::N,aizto,μαχαίρι
461,Nagel::N,iltze,καρφί
462,Netz::N,sare,δίχτυ
463,Haken::N,mako,γάντζος
464,Haken::N,mako,αγκίστρι
465,Griff::N,eskutoki,λαβή
466,Schloss::N,sarraila,κλειδαριά
467,Bild::N,irudi,εικόνα
468,Figur::N,figura,ανάστημα
469,Puppe::N,panpina,κούκλα
470,Puppe::N,andrakila,κούκλα
471,Beutel::N,zorro,πουγγί
472,Bündel::N,azao,δεμάτι
473,Bündel::N,espal,δεμάτι
474,Tasche::N,poltsa,τσάντα
475,Eimer::N,treska,κουβάς
476,Deckel::N,tapa,καπάκι
477,Deckel::N,estalki,καπάκι
478,Geschirr::N,baxera,σκεύη
479,Geschirr::N,ontziteria,σκεύη
480,Sack::N,zaku,σάκος
481,Tasse::N,kikara,φλιτζάνι
482,Topf::N,ontzi,χύτρα
483,Topf::N,lapiko,χύτρα
484,Kessel::N,pazia,καζάνι
485,Essen::N,janaldi,φαγητό
486,Nahrung::N,jan,τροφή
487,Speise::N,jaki,φαγητό
488,Fleisch::N,okela,κρέας
489,Fleisch::N,haragi,κρέας
490,Getreide::N,labore,σιτάρι
491,Brei::N,ahi,χυλός
492,Brei::N,pure,χυλός
493,Brot::N,ogi,ψωμί
494,Brot::N,ogi,άρτος
495,Scheibe::N,xerra,φέτα
496,Scheibe::N,pirripita,φέτα
497,Fett::N,urin,πάχος
498,Fett::N,koipe,πάχος
499,Butter::N,gurin,βούτυρο
500,Öl::N,olio,λάδι
501,Salz::N,gatz,αλάτι
502,Suppe::N,zopa,σούπα
503,Suppe::N,salda,σούπα
504,Honig::N,ezti,μέλι
505,Milch::N,esne,γάλα
506,Tee::N,te,τσάι
507,Leder::N,larru,πετσί
508,Wolle::N,artile,μαλλί
509,Stoff::N,ehun,ύφασμα
510,Nadel::N,orratz,βελόνα
511,Nadel::N,jostorratz,βελόνα
512,Faden::N,hari,κλωστή
513,Knopf::N,botoi,κουμπί
514,Knoten::N,korapilo,κόμπος
515,Farbe::N,pintura,μπογιά
516,Kleidung::N,arropa,ρούχα
517,Kleidung::N,arropa,ενδυμασία
518,Kleidung::N,jantziak,ρούχα
519,Kleidung::N,jantziak,ενδυμασία
520,Hemd::N,atorra,πουκάμισο
521,Hemd::N,alkandora,πουκάμισο
522,Kragen::N,idun,κολάρο
523,Ärmel::N,mahuka,μανίκι
524,Hose::N,prakak,πανταλόνι
525,Hose::N,galtzak,πανταλόνι
526,Gürtel::N,gerriko,ζώνη
527,Mütze::N,txano,σκούφος
528,Mütze::N,txapel,σκούφος
529,Schuh::N,oski,παπούτσι
530,Schuh::N,oinetako,παπούτσι
531,Stiefel::N,bota,μπότα
532,Ring::N,uztai,δαχτυλίδι
533,Band::N,zinta,κορδέλα
534,Band::N,xingola,κορδέλα
535,Kamm::N,orrazi,χτένα
536,Spiegel::N,mirail,καθρέφτης
537,Riemen::N,uhal,λουρί
538,Schnur::N,lokailu,κορδόνι
539,Leine::N,lotura,σχοινί
540,Decke::N,burusi,κουβέρτα
541,Kissen::N,kuxin,μαξιλάρι
542,Tuch::N,zapi,πανί
543,Tuch::N,zapi,μαντήλι
544,Tuch::N,oihal,πανί
545,Tuch::N,oihal,μαντήλι
546,Handtuch::N,eskuzapi,πετσέτα
547,Handtuch::N,eskuoihal,πετσέτα
548,Kraft::N,indar,δύναμη
549,Stärke::N,indar,ισχύς
550,Stärke::N,indar,δύναμη
551,Gesundheit::N,osasun,υγεία
552,Krankheit::N,eritasun,αρρώστια
553,Krankheit::N,gaixotasun,αρρώστια
554,Schmerz::N,min,πόνος
555,Wunde::N,zauri,πληγή
556,Fieber::N,sukar,πυρετός
557,Arznei::N,osagai,φάρμακο
558,Arznei::N,sendagai,φάρμακο
559,Brücke::N,zubi,γέφυρα
560,Brunnen::N,putzu,πηγάδι
561,Weide::N,alha,βοσκή
562,Weide::N,bazkaleku,βοσκή
563,Pfad::N,zidor,μονοπάτι
564,Pfad::N,bidexka,μονοπάτι
565,Weg::N,bide,δρόμος
566,Straße::N,errepide,οδός
567,Straße::N,errepide,δρόμος
568,Dorf::N,herri,χωριό
569,Stadt::N,hiri,πόλη
570,Brief::N,gutun,γράμμα
571,Brief::N,gutun,επιστολή
572,Brief::N,eskutitz,γράμμα
573,Brief::N,eskutitz,επιστολή
574,Buch::N,liburu,βιβλίο
575,Buchstabe::N,hizki,γράμμα
576,Zeitung::N,egunkari,εφημερίδα
577,Leben::N,bizi,ζωή
578,Leben::N,bizi,βίος
579,Leben::N,bizitza,ζωή
580,Leben::N,bizitza,βίος
581,Tod::N,herio,θάνατος
582,Tod::N,heriotza,θάνατος
583,Grab::N,hobi,τάφος
584,Grab::N,hilobi,τάφος
585,Kirche::N,eliza,εκκλησία
586,Sünde::N,hoben,αμαρτία
587,Sünde::N,bekatu,αμαρτία
588,Gott::N,jainko,θεός
589,Arbeiter::N,langile,εργάτης
590,Arbeiter::N,behargin,εργάτης
591,Chef::N,nagusi,προϊστάμενος
592,Meister::N,maisu,μάστορας
593,Meister::N,maisu,αρχιτεχνίτης
594,Arzt::N,osagile,γιατρός
595,Arzt::N,sendagile,γιατρός
596,Lehrer::N,irakasle,δάσκαλος
597,Geld::N,diru,λεφτά
598,Geld::N,diru,χρήματα
599,Geschäft::N,negozio,συναλλαγή
600,Laden::N,denda,μαγαζί
601,Laden::N,denda,κατάστημα
602,Laden::N,saltegi,μαγαζί
603,Laden::N,saltegi,κατάστημα
604,Preis::N,prezio,τιμή
605,Preis::N,salneurri,τιμή
606,Ware::N,salgai,εμπόρευμα
607,Nutzen::N,onura,όφελος
608,Nutzen::N,probetxu,όφελος
609,Reichtum::N,aberastasun,πλούτος
610,Welt::N,ludi,κόσμος
611,Welt::N,mundu,κόσμος
612,Land::N,herrialde,χώρα
613,Staat::N,estatu,κράτος
614,Staat::N,estatu,πολιτεία
615,König::N,errege,βασιλιάς
616,Macht::N,botere,εξουσία
617,Grenze::N,muga,σύνορα
618,Krieg::N,guda,πόλεμος
619,Feind::N,etsai,εχθρός
620,Feind::N,arerio,εχθρός
621,Gewalt::N,bortxa,βία
622,Gewalt::N,bortizkeria,βία
623,Kampf::N,gudu,αγώνας
624,Kampf::N,auska,αγώνας
625,Bogen[Waffe]::N,arku,τόξο
626,Pfeil::N,gezi,σαΐτα
627,Gewehr::N,fusil,τουφέκι
628,Fehler::N,huts,λάθος
629,Fehler::N,huts,σφάλμα
630,Fehler::N,hutsegin,λάθος
631,Fehler::N,hutsegin,σφάλμα
632,Lüge::N,gezur,ψέμα
633,Lüge::N,gezur,ψεύδος
634,Schaden::N,kalte,ζημία
635,Unglück::N,zoritxar,δυστυχία
636,Unglück::N,zorigaitz,δυστυχία
637,Schuld::N,erru,ενοχή
638,Schuld::N,erru,φταίξιμο
639,Alter::N,adin,ηλικία
640,Schluss::N,bukaera,τέλος
641,Zeit::N,aldi,χρόνος
642,Zeit::N,denbora,χρόνος
643,Tag::N,egun,μέρα
644,Tag::N,egun,ημέρα
645,Morgen::N,goiz,πρωί
646,Mittag::N,eguerdi,μεσημέρι
647,Abend::N,arrats,βράδυ
648,Nacht::N,gau,νύχτα
649,Woche::N,aste,εβδομάδα
650,Monat::N,hil,μήνας
651,Jahr::N,urte,έτος
652,Jahr::N,urte,χρόνος
653,Frühling::N,udalehen,άνοιξη
654,Sommer::N,uda,καλοκαίρι
655,Herbst::N,udazken,φθινόπωρο
656,Herbst::N,neguantz,φθινόπωρο
657,Winter::N,negu,χειμώνας
658,Januar::N,urtarril,Ιανουάριος
659,Februar::N,otsail,Φεβρουάριος
660,März::N,martxo,Μάρτιος
661,April::N,apiril,Απρίλιος
662,Mai::N,maiatz,Μάιος
663,Juni::N,ekain,Ιούνιος
664,Juli::N,uztail,Ιούλιος
665,August::N,abuztu,Αύγουστος
666,September::N,irail,Σεπτέμβριος
667,Oktober::N,urri,Οκτώβριος
668,November::N,azaro,Νοέμβριος
669,Dezember::N,abendu,Δεκέμβριος
670,Montag::N,astelehen,Δευτέρα
671,Dienstag::N,astearte,Τρίτη
672,Mittwoch::N,asteazken,Τετάρτη
673,Donnerstag::N,ostegun,Πέμπτη
674,Freitag::N,ostiral,Παρασκευή
675,Samstag::N,larunbat,Σάββατο
676,Sonntag::N,igande,Κυριακή
677,groß::A,handi,μεγάλος
678,klein::A,txiki,μικρός
679,lang::A,luze,μακρύς
680,kurz::A,labur,κοντός
681,breit::A,zabal,φαρδύς
682,schmal::A,mehar,στενός
683,dicht::A,sarri,πυκνός
684,dicht::A,trinko,πυκνός
685,dick[Gegenstand]::A,lodi,παχύς
686,dick[Gegenstand]::A,lodi,χοντρός
687,dünn::A,mehe,ψιλός
688,dünn::A,mehe,λεπτός
689,fein::A,fin,ψιλός
690,fest::A,tinko,στερεός
691,flach::A,lau,επίπεδος
692,flach::A,ordoki,επίπεδος
693,glatt::A,leun,λείος
694,glatt::A,leun,ομαλός
695,hart::A,gogor,σκληρός
696,weich::A,bigun,μαλακός
697,weich::A,beratz,μαλακός
698,rund::A,biribil,στρογγυλός
699,spitz::A,puntadun,μυτερός
700,scharf::A,zorrotz,κοφτερός
701,stumpf::A,kamuts,αμβλύς
702,schwer::A,astun,βαρύς
703,schwer::A,pisutsu,βαρύς
704,schön::A,eder,ωραίος
705,schön::A,eder,όμορφος
706,heiß::A,bero,ζεστός
707,heiß::A,oso bero,ζεστός
708,warm::A,bero,θερμός
709,kalt::A,hotz,κρύος
710,kalt::A,hotz,ψυχρός
711,kühl::A,hotzil,δροσερός
712,frisch::A,fresko,νωπός
713,frisch::A,fresko,φρέσκος
714,frisch::A,hozkirri,νωπός
715,frisch::A,hozkirri,φρέσκος
716,feucht::A,heze,υγρός
717,nass::A,busti,βρεγμένος
718,trocken::A,siku,ξηρός
719,trocken::A,siku,στεγνός
720,trocken::A,lehor,ξηρός
721,trocken::A,lehor,στεγνός
722,voll::A,bete,γεμάτος
723,leer::A,huts,άδειος
724,offen::A,ireki,ανοιχτός
725,geschlossen::A,itxita,κλειστός
726,sauber::A,xahu,καθαρός
727,sauber::A,garbi,καθαρός
728,schmutzig::A,lohi,βρώμικος
729,schmutzig::A,lohi,λερωμένος
730,schmutzig::A,zikin,βρώμικος
731,schmutzig::A,zikin,λερωμένος
732,roh::A,gordin,ωμός
733,reif::A,umo,ώριμος
734,reif::A,heldu,ώριμος
735,lecker::A,goxo,νόστιμος
