,Concept_ID,ba,kl
583,Schluss::N,аҙаҡ,isu
584,Zeit::N,мәл,ulloq
585,Zeit::N,мәл,akuttoqatigiinneq
586,Zeit::N,заман,ulloq
587,Zeit::N,заман,akuttoqatigiinneq
588,Tag::N,көн,ulloq
589,Morgen::N,иртә,ullaaq
590,Morgen::N,иртәнсәк,ullaaq
591,Mittag::N,төш,ulloqeqqa
592,Abend::N,кис,unnuk
593,Nacht::N,төн,unnuaq
594,Woche::N,аҙна,sapaatip akunnera
595,Monat::N,ай,qaammat
596,Jahr::N,йыл,ukioq
597,Frühling::N,яҙ,upernaaq
598,Sommer::N,йәй,aasaq
599,Herbst::N,көз,ukiaq
600,Winter::N,ҡыш,ukioq
601,Januar::N,ғинуар,siulleeq
602,Januar::N,ғинуар,qaammaliaq
603,Februar::N,февраль,aarlaat
604,März::N,март,marsi
605,März::N,март,martsi
606,April::N,апрель,
607,Mai::N,май,maaji
608,Juni::N,июнь,juuni
609,Juli::N,июль,juuli
610,August::N,август,aggusti
611,September::N,сентябрь,septembari
612,Oktober::N,октябрь,oktobari
613,November::N,ноябрь,novembari
614,Dezember::N,декабрь,detsembari
615,Montag::N,дүшәмбе,ataasinngortoq
616,Dienstag::N,шишәмбе,marlunngorneq
617,Mittwoch::N,шаршамбы,pingasunngorneq
618,Donnerstag::N,кесаҙна,sisamanngorneq
619,Freitag::N,йома,tallimanngorneq
620,Samstag::N,шәмбе,arfininngorneq
621,Sonntag::N,йәкшәмбе,sapaat
622,Sonntag::N,йәкшәмбе,sapaati
623,groß::A,ҙур,angivoq
624,klein::A,бәләкәс,mikivoq
625,lang::A,оҙон,takisooq
626,kurz::A,ҡыҫҡа,naatsoq
627,breit::A,киң,silippoq
628,schmal::A,тар,amitsoq
629,dicht::A,йыш,torsusooq
630,dicht::A,ҡуйы,torsusooq
631,dick[Gegenstand]::A,ҡалын,issuvoq
632,dick[Gegenstand]::A,ҡалын,issusooq
633,dünn::A,йоҡа,amitsoq
634,dünn::A,нәҙек,amitsoq
635,fein::A,нескә,mamarpoq
636,fest::A,ныҡ,tangeqarpoq
637,flach::A,яҫы,nalimmappoq
638,flach::A,ялпаҡ,nalimmappoq
639,glatt::A,шыма,quasak
640,hart::A,ҡаты,mattusooq
641,hart::A,ҡаты,manngerpoq
642,hart::A,ҡаты,titeqquluppoq
643,weich::A,йомшаҡ,nerumaarpoq
644,rund::A,түңәрәк,ammallorippoq
645,spitz::A,осло түбәле,qummukujooq
646,scharf::A,үткер,ipippoq
647,stumpf::A,утмәҫ,anngerpoq
648,schwer::A,ауыр,oqimaappoq
649,schön::A,матур,kusanarpoq
650,heiß::A,эҫе,kiappoq
651,warm::A,йылы,oqorpoq
652,kalt::A,һыуыҡ,issippoq
653,kühl::A,һалҡынса,pueqqortippoq
654,frisch::A,һалҡынса,
655,feucht::A,еүеш,isugutavoq
656,feucht::A,еүеш,qaasernarpoq
657,feucht::A,дымлы,isugutavoq
658,feucht::A,дымлы,qaasernarpoq
659,nass::A,еүеш,imerorpoq
660,trocken::A,кипкән,panerpoq
661,voll::A,тулы,ulikkaarpoq
662,leer::A,буш,imaattuarpoq
663,offen::A,асыҡ,ammavoq
664,geschlossen::A,ябыҡ,matuvoq
665,sauber::A,таҙа,eqqippoq
666,sauber::A,таҙа,sukuluippoq
667,sauber::A,таҙа,ipeqanngilaq
668,schmutzig::A,бысраҡ,tapappoq
669,schmutzig::A,бысраҡ,minguppoq
670,roh::A,сей,aapavoq
671,reif::A,өлгөрғән,qaarulerpoq
672,lecker::A,тәмле,
673,süß::A,тямле,tungusunnippoq
674,süß::A,тәм-том,tungusunnippoq
675,bitter::A,әсе,qasilippoq
676,sauer::A,әсе,
677,hell::A,яҡты,qaamavoq
678,dunkel::A,ҡараңғы,qernerpoq
679,schwarz::A,ҡара,qernerpoq
680,weiß::A,аҡ,qaqorpoq
681,rot::A,матур,aappaluppoq
682,rot::A,һылыу,aappaluppoq
683,rot::A,сибәр,aappaluppoq
684,gelb::A,һары,sungaarpoq
685,blau::A,күк,tungujorpoq
686,grün::A,йәшел,qorsooqqippoq
687,grau::A,буҙ,qaserpoq
688,bunt::A,сыбар,
689,bunt::A,ала-ҡола,
690,billig::A,арзан,akikippoq
691,teuer::A,ҡыйбатлы,
692,wertvoll::A,ҡиммәтле,erlinnarpoq
693,blind::A,һуҡыр,tappiippoq
694,blind::A,һуҡыр,isigisaqanngilaq
695,taub::A,һаңғырау,tusilarpoq
696,kräftig::A,көслө,pissaq
697,kräftig::A,көслө,pissarsuaq
698,kräftig::A,ҡеүәтле,pissaq
699,kräftig::A,ҡеүәтле,pissarsuaq
700,stark::A,көслө,sanngivoq
701,stark::A,ҡеүәтле,sanngivoq
702,schwach::A,көсһөҙ,nakuippoq
703,fett::A,һимеҙ,pualavoq
704,schlank::A,зифа,tuappoq
705,hübsch::A,матур,aatsialaq
706,böse::A,асыулы,ajorpoq
707,dumm::A,иҫәр,taqajak
708,dumm::A,иҫәр,sikkilluppoq
709,dumm::A,иҫәр,qaatusimasaqanngilaq
