,Concept_ID,be,ca
291,Arbeit::N,работа,treball
292,Gast::N,госць,hoste
293,Geschenk::N,падарунак,regal
294,Geschenk::N,падарунак,obsequi
295,Spiel::N,гульня,joc
296,Gesellschaft::N,таварыства,companyia
297,Hilfe::N,дапамога,ajut
298,Freund::N,друг,amīc
299,Freund::N,сябар,amīc
300,Kamerad::N,прыяцель,company
301,Kamerad::N,прыяцель,camarada
302,Angelegenheit::N,справа,afer
303,Angelegenheit::N,справа,assumpte
304,Anzahl::N,колькасць,nombre
305,Anzahl::N,колькасць,quantitat
306,Art::N,від,tipus
307,Art::N,від,classe
308,Stück::N,кусок,peça
309,Stück::N,кавалак,peça
310,Teil::N,частка,part
311,Hälfte::N,палова,meitat
312,Hälfte::N,палавіна,meitat
313,Kreis::N,круг,cercle
314,Kreuz::N,крыж,creu
315,Linie::N,лінія,línia
316,Strich::N,рыса,traç
317,Strich::N,рыса,ratlla
318,Abstand::N,прамежак,distància
319,Entfernung::N,адлегласць,distància
320,Gegend::N,мясцовасць,regió
321,Gegend::N,мясцовасць,contrada
322,Platz::N,месца,cabuda
323,Ort::N,месца,lloc
324,Seite::N,бок,banda
325,Seite::N,бок,costāt
326,Mitte::N,сярэдзіна,mig
327,Mitte::N,сярэдзіна,centre
328,Gegenstand::N,прадмет,objecte
329,Sache::N,рэч,cosa
330,Rand::N,край,vora
331,Rand::N,край,marge
332,Kante::N,руб,caire
333,Kante::N,руб,cantell
334,Kante::N,кант,caire
335,Kante::N,кант,cantell
336,Ecke::N,вугал,cantonada
337,Spitze::N,кончык,punta
338,Ende::N,канец,cap
339,Loch::N,дзірка,forāt
340,Winkel::N,вугал,racó
341,Muster::N,узор,dibuix
342,Muster::N,узор,disseny
343,Größe::N,памер,grandària
344,Länge::N,даўжыня,longitud
345,Höhe::N,вышыня,altura
346,Höhe::N,вышыня,altitud
347,Gewicht::N,вага,pes
348,Menge::N,колькасць,quantitat
349,Haufen::N,куча,pila
350,Reihe::N,рад,fila
351,Boot::N,лодка,bot
352,Boot::N,лодка,barca
353,Ruder::N,вясло,rem
354,Schlitten::N,сані,trineu
355,Ski::N,лыжа,esquí
356,Lagerfeuer::N,вогнішча,foc de campament
357,Last::N,цяжар,càrrega
358,Gang::N,ход,marxa
359,Schritt::N,шаг,pas
360,Schritt::N,крок,pas
361,Norden::N,поўнач,nord
362,Süden::N,поўдзень,sud
363,Westen::N,захад,oest
