,Concept_ID,cy,sq
256,Junge::N,bachgen,djalë
257,Mädchen::N,merch,gocë
258,Mädchen::N,merch,vajzë
259,Mädchen::N,geneth,gocë
260,Mädchen::N,geneth,vajzë
261,Familie::N,teulu,familje
262,Familie::N,tylwyth,familje
263,Großvater::N,taid,gjysh
264,Großvater::N,tad-cu,gjysh
265,Großmutter::N,nain,gjyshe
266,Großmutter::N,mam-gu,gjyshe
267,Eltern::N,rhieni,prindër
268,Vater::N,tad,atë
269,Mutter::N,mam,nënë
270,Sohn::N,mab,bir
271,Tochter::N,merch,bijë
272,Bruder::N,brawd,vëlla
273,Schwester::N,chwaer,motër
274,Onkel::N,ewythr,dajë
275,Onkel::N,ewythr,xhaxha
276,Tante::N,modryb,teze
277,Tante::N,modryb,hallë
278,Ehemann::N,gŵr,burrë
279,Ehemann::N,gŵr,bashkëshort
280,Ehefrau::N,gwraig,grua
281,Ehefrau::N,gwraig,bashkëshorte
282,Freude::N,gorfoledd,gaz
283,Freude::N,gorfoledd,gëzim
284,Gelächter::N,chwerthin,qeshje
285,Glück::N,hapusrwydd,lumturi
286,Kummer::N,galar,brengë
287,Kummer::N,galar,pikëllim
288,Wunsch::N,dymuniad,dëshirë
289,Lust::N,chwant,epsh
290,Lust::N,chwant,dashuri
291,Geist::N,ysbryd,frymë
292,Geist::N,ysbryd,shpirt
293,Gedanke::N,meddwl,ide
294,Gedanke::N,meddwl,mendim
295,Gedächtnis::N,cof,kujtesë
296,Verstand::N,meddwl,mend
297,Sinn::N,ystyr,kuptim
298,Grund::N,achos,arsye
299,Grund::N,rheswm,arsye
300,Wahrheit::N,gwir,vërtetë
301,Wahrheit::N,gwirionedd,vërtetë
302,Gespräch::N,sgwrs,bisedim
303,Märchen::N,chwedl werin,përrallë
304,Erzählung::N,stori,tregim
305,Nachricht::N,neges,lajm
306,Neuigkeit::N,newydd,risi
307,Name::N,enw,emër
308,Rätsel::N,pos,gjëzë
309,Rätsel::N,pos,gjëegjëzë
310,Rede::N,araith,fjalim
311,Sprache::N,iaith,gjuhë
312,Stimme::N,llais,zë
313,Wort::N,gair,fjalë
314,Zeichen::N,arwydd,shenjë
315,Ruf::N,galwad,thirrmë
316,Lärm::N,trwst,zhurmë
317,Laut::N,sain,tingull
318,Ton::N,tôn,ton
319,Lied::N,cân,këngë
320,Ruhe::N,tawelwch,qetësi
321,Leute::N,pobl,botë
322,Leute::N,pobl,njerëz
323,Volk::N,pobl,popull
324,Arbeit::N,gwaith,punë
325,Gast::N,gwestai,mik
326,Gast::N,gwestai,mysafir
327,Geschenk::N,rhodd,dhuratë
328,Geschenk::N,rhodd,peshqesh
329,Geschenk::N,anrheg,dhuratë
330,Geschenk::N,anrheg,peshqesh
331,Spiel::N,chwarae,lojë
332,Gesellschaft::N,cwmni,shoqëri
333,Hilfe::N,cymorth,ndihmë
334,Freund::N,cyfaill,mik
335,Kamerad::N,cydymaith,shok
336,Angelegenheit::N,pwnc,punë
337,Anzahl::N,cyfrif,sasi
338,Art::N,bath,lloj
339,Stück::N,darn,copë
340,Teil::N,rhan,pjesë
341,Hälfte::N,hanner,gjysmë
342,Kreis::N,cylch,qark
343,Kreis::N,cylch,rreth
344,Kreuz::N,croes,kryq
345,Linie::N,llinell,vijë
346,Strich::N,strôc,vizë
