,Concept_ID,bg,ja
79,Erde::N,земя,土
80,Erde::N,почва,土
81,Staub::N,прах,埃
82,Rauch::N,дим,煙
83,Rauch::N,пушек,煙
84,Funke::N,искра,火花
85,Feuer::N,огън,火
86,Licht::N,светлина,光
87,Schatten::N,сянка,陰
88,Wetter::N,време,天気
89,Nebel::N,мъгла,霧
90,Wolke::N,облак,雲
91,Regen::N,дъжд,雨
92,Schnee::N,сняг,雪
93,Eis::N,лед,氷
94,Frost::N,мраз,霜
95,Kälte::N,студ,寒さ
96,Hitze::N,жега,暑さ
97,Hitze::N,горещина,暑さ
98,Raureif::N,скреж,霧氷
99,Raureif::N,слана,霧氷
100,Regenbogen::N,дъга,虹
101,Donner::N,гръм,雷
102,Strömung::N,течение,流れ
103,Tropfen::N,капка,滴
104,Schaum::N,пяна,泡
105,Schmutz::N,кал,汚れ
106,Schmutz::N,мръсотия,汚れ
107,See::N,езеро,湖
108,Sumpf::N,блато,沼
109,Moor::N,мочурище,湿原
110,Wiese::N,ливада,草原
111,Wald::N,гора,森
112,Hügel::N,рид,丘
113,Hügel::N,хълм,丘
114,Anhöhe::N,могила,高み
115,Anhöhe::N,възвишение,高み
116,Berg::N,планина,山
117,Gipfel::N,връх,頂上
118,Höhle::N,пещера,洞窟
119,Abhang::N,склон,斜面
120,Abhang::N,стръмнина,斜面
121,Quelle::N,извор,泉
122,Bach::N,поток,小川
123,Fluss::N,река,川
124,Ufer::N,бряг,岸
125,Küste::N,бряг,海岸
126,Küste::N,крайбрежие,海岸
127,Festland::N,суша,陸
128,Meer::N,море,海
129,Bucht::N,залив,湾
130,Insel::N,остров,島
131,Blume::N,цвете,花
132,Gras::N,трева,草
133,Wurzel::N,корен,根
134,Baum::N,дърво,木
135,Stamm::N,стъбло,幹
136,Rinde::N,кора,皮層
137,Ast::N,клон,枝
138,Zweig::N,клон,小枝
139,Blatt::N,лист,葉
140,Birke::N,бреза,樺
141,Kiefer[Baum]::N,бор,松
142,Weide[Baum]::N,върба,柳
143,Tanne::N,ела,樅
144,Horn::N,рог,角
145,Feder::N,перо,羽根
146,Fell::N,кожа,毛皮
147,Flügel::N,крило,羽
148,Klaue::N,нокът,鉤爪
149,Kralle::N,нокът,爪
150,Schwanz::N,опашка,尻尾
151,Ei::N,яйце,卵
152,Nest::N,гнездо,巣
153,Bau::N,дупка,穴
154,Tier::N,животно,動物
155,Herde::N,стадо,群れ
156,Kuh::N,крава,牛
157,Bulle::N,бик,雄牛
158,Pferd::N,кон,馬
159,Schaf::N,овца,羊
160,Schwein::N,свиня,豚
161,Hund::N,куче,犬
162,Katze::N,котка,猫
163,Bär::N,мечка,熊
164,Eichhörnchen::N,катерица,栗鼠
165,Elch::N,лос,ヘラジカ
166,Fuchs::N,лисица,狐
167,Hase::N,заек,兎
168,Maus::N,мишка,鼠
169,Wolf::N,вълк,狼
170,Vogel::N,птица,鳥
171,Schwarm::N,рой,群れ
172,Schwarm::N,рояк,群れ
173,Huhn::N,кокошка,鶏
174,Hahn::N,петел,雄鶏
175,Gans::N,гъска,ガチョウ
176,Adler::N,орел,鷲
177,Ente::N,патица,鴨
178,Eule::N,сова,フクロウ
179,Kranich::N,жерав,鶴
180,Krähe::N,врана,烏
181,Kuckuck::N,кукувица,郭公
182,Schwan::N,лебед,白鳥
183,Fisch::N,риба,魚
184,Barsch::N,костур,鱸
185,Hecht::N,щука,川魳
186,Schlange[Tier]::N,змия,蛇
187,Wurm::N,червей,虫
188,Spinne::N,паяк,蜘蛛
189,Ameise::N,мравка,蟻
190,Laus::N,въшка,虱
191,Mücke::N,комар,蚊
192,Fliege::N,муха,蝿
193,Schmetterling::N,пеперуда,蝶
194,Beere::N,плод,漿果
195,Apfel::N,ябълка,林檎
196,Pilz::N,гъба,茸
197,Zwiebel::N,лук,玉葱
198,Zwiebel::N,кромид,玉葱
199,Saat::N,семе,種
200,Korn::N,зърно,粒
201,Heu::N,сено,干し草
202,Schale::N,кора,皮
203,Grube::N,яма,穴
204,Grube::N,дупка,穴
205,Falle::N,примка,わな
206,Schlinge::N,клуп,輪
207,Spur::N,диря,跡
208,Spur::N,следа,跡
209,Asche::N,пепел,灰
210,Dreck::N,кал,泥
211,Eisen::N,желязо,鉄
212,Gold::N,злато,金
213,Silber::N,сребро,銀
214,Kohle::N,въглища,炭
215,Glas::N,стъкло,ガラス
216,Lehm::N,глина,ローム
217,Sand::N,пясък,砂
218,Mensch::N,човек,人
219,Mann::N,мъж,男
220,Mann::N,мъж,男性
221,Frau::N,жена,女
222,Frau::N,жена,女性
223,Kind::N,дете,子
224,Kind::N,дете,子供
225,Junge::N,момче,男の子
226,Mädchen::N,момиче,女の子
227,Familie::N,фамилия,家族
228,Familie::N,семейство,家族
229,Großvater::N,дядо,祖父
230,Großvater::N,дядо,おじいさん
231,Großmutter::N,баба,祖母
232,Großmutter::N,баба,おばあさん
233,Eltern::N,родители,親
234,Eltern::N,родители,両親
235,Vater::N,баща,父
236,Vater::N,баща,お父さん
237,Mutter::N,майка,母
238,Mutter::N,майка,お母さん
239,Sohn::N,син,息子
240,Sohn::N,син,息子さん
241,Tochter::N,дъщеря,娘
242,Tochter::N,дъщеря,お嬢さん
243,Bruder::N,брат,弟
244,Schwester::N,сестра,妹
245,Onkel::N,чичо,伯父
246,Onkel::N,чичо,伯父さん
247,Onkel::N,вуйчо,伯父
248,Onkel::N,вуйчо,伯父さん
249,Tante::N,леля,叔母
250,Tante::N,леля,叔母さん
251,Ehemann::N,съпруг,夫
252,Ehemann::N,съпруг,主人
253,Ehefrau::N,съпруга,妻
254,Ehefrau::N,съпруга,奥さん
255,Freude::N,радост,喜び
256,Gelächter::N,смях,笑い
257,Glück::N,щастие,幸せ
258,Kummer::N,тъга,悩み
259,Wunsch::N,желание,希望
260,Lust::N,желание,気
261,Geist::N,дух,精神
262,Gedanke::N,мисъл,考え
263,Gedächtnis::N,памет,記憶
264,Verstand::N,ум,理解力
265,Verstand::N,разум,理解力
266,Sinn::N,смисъл,意味
267,Grund::N,причина,理由
268,Wahrheit::N,правда,真実
269,Gespräch::N,разговор,会話
270,Märchen::N,приказка,童話
271,Erzählung::N,разказ,物語
272,Nachricht::N,вест,報告
273,Nachricht::N,известие,報告
274,Neuigkeit::N,новина,ニュース
275,Name::N,име,名前
276,Rätsel::N,гатанка,謎
277,Rede::N,реч,演説
278,Rede::N,слово,演説
279,Sprache::N,език,言語
280,Stimme::N,глас,声
281,Wort::N,дума,言葉
282,Zeichen::N,знак,記号
283,Ruf::N,зов,呼び声
284,Lärm::N,шум,騒音
285,Lärm::N,глъчка,騒音
286,Laut::N,звук,音
287,Ton::N,тон,音
288,Lied::N,песен,歌
289,Ruhe::N,тишина,静けさ
290,Ruhe::N,спокойствие,静けさ
291,Leute::N,хора,人々
292,Volk::N,народ,民族
293,Arbeit::N,труд,仕事
294,Arbeit::N,работа,仕事
295,Gast::N,гост,客
296,Geschenk::N,дар,贈り物
297,Geschenk::N,подарък,贈り物
298,Spiel::N,игра,遊び
299,Gesellschaft::N,общество,社会
300,Hilfe::N,помощ,援助
301,Freund::N,приятел,友達
302,Kamerad::N,другар,同志
303,Angelegenheit::N,работа,件
304,Anzahl::N,брой,数
305,Anzahl::N,количество,数
306,Art::N,вид,種類
307,Stück::N,къс,部分
308,Stück::N,парче,部分
309,Teil::N,дял,部分
310,Teil::N,част,部分
311,Hälfte::N,половина,半分
312,Kreis::N,кръг,円
313,Kreuz::N,кръст,十字
314,Linie::N,черта,線
315,Strich::N,щрих,線
316,Strich::N,черта,線
317,Abstand::N,дистанция,距離
318,Abstand::N,разстояние,距離
319,Entfernung::N,разстояние,距離
320,Gegend::N,местност,辺
321,Gegend::N,местност,地域
322,Platz::N,място,ゆとり
323,Ort::N,място,所
324,Ort::N,място,場所
325,Seite::N,страна,横
326,Mitte::N,среда,真ん中
327,Gegenstand::N,предмет,物件
328,Sache::N,вещ,物
329,Rand::N,ръб,端
330,Kante::N,ръб,縁
331,Kante::N,кант,縁
332,Ecke::N,ъгъл,角
333,Spitze::N,връх,先頭
334,Spitze::N,острие,先頭
335,Ende::N,край,端
336,Loch::N,дупка,穴
337,Winkel::N,кът,片隅
338,Winkel::N,ъгъл,片隅
339,Muster::N,десен,模様
340,Muster::N,образец,模様
341,Größe::N,големина,大きさ
342,Länge::N,дължина,長さ
343,Höhe::N,висота,高さ
344,Höhe::N,височина,高さ
345,Gewicht::N,тегло,重さ
346,Gewicht::N,тежест,重さ
347,Menge::N,количество,量
348,Haufen::N,куп,堆積
349,Haufen::N,грамада,堆積
350,Reihe::N,ред,並び
351,Reihe::N,редица,並び
352,Boot::N,лодка,ボート
353,Ruder::N,весло,オール
354,Ruder::N,гребло,オール
355,Schlitten::N,шейна,そり
356,Ski::N,ски,スキー
357,Lagerfeuer::N,огнище,篝火
358,Last::N,товар,荷物
359,Gang::N,ход,歩み
360,Gang::N,вървеж,歩み
361,Schritt::N,стъпка,歩
362,Norden::N,север,北
363,Süden::N,юг,南
364,Westen::N,запад,西
365,Osten::N,изток,東
366,Holz::N,дърво,木
367,Holz::N,дърво,木材
368,Brett::N,дъска,板
369,Stange::N,прът,棒
370,Stange::N,върлина,棒
371,Stock::N,прът,杖
372,Stock::N,тояга,杖
373,Stab::N,прът,棒
374,Rohr::N,цев,管
375,Rohr::N,тръба,管
376,Haus::N,къща,家
377,Heim::N,дом,家
378,Ofen::N,печка,ストーブ
379,Fußboden::N,под,床
380,Tisch::N,маса,机
381,Stuhl::N,стол,椅子
382,Wiege::N,люлка,揺籃
383,Bett::N,легло,ベッド
384,Bett::N,креват,ベッド
385,Regal::N,рафт,棚
386,Regal::N,етажерка,棚
387,Kiste::N,кутия,箱
388,Kiste::N,сандък,箱
389,Fenster::N,прозорец,窓
390,Tür::N,врата,戸
391,Tür::N,врата,ドア
392,Tor::N,врата,門
393,Zaun::N,ограда,垣根
394,Dach::N,покрив,屋根
395,Leiter::N,стълба,梯子
396,Besen::N,метла,ほうき
397,Spaten::N,лопата,スコップ
398,Schaufel::N,лопата,シャベル
399,Gabel::N,вилица,フォーク
400,Löffel::N,лъжица,スプーン
401,Messer::N,нож,ナイフ
402,Nagel::N,гвоздей,釘
403,Netz::N,мрежа,網
404,Haken::N,кука,鉤
405,Haken::N,кука,フック
406,Haken::N,закачалка,鉤
407,Haken::N,закачалка,フック
408,Griff::N,ръчка,取っ手
409,Griff::N,дръжка,取っ手
410,Schloss::N,брава,錠
411,Schloss::N,ключалка,錠
412,Bild::N,картина,絵
413,Figur::N,фигура,像
414,Puppe::N,кукла,人形
415,Beutel::N,кесия,袋
416,Bündel::N,връзка,束
417,Bündel::N,връзка,包み
418,Tasche::N,чанта,かばん
419,Eimer::N,кофа,バケツ
420,Deckel::N,капак,蓋
421,Deckel::N,похлупак,蓋
422,Geschirr::N,съдове,食器
423,Sack::N,чувал,袋
424,Tasse::N,чаша,カップ
425,Topf::N,гърне,鍋
426,Topf::N,тенджера,鍋
427,Kessel::N,котел,釜
428,Essen::N,ядене,食事
429,Nahrung::N,храна,食物
430,Speise::N,ястие,料理
431,Fleisch::N,месо,肉
432,Getreide::N,зърнено храни,麦
433,Getreide::N,зърнено храни,穀物
434,Brei::N,каша,粥
435,Brot::N,хляб,パン
436,Scheibe::N,резен,枚
437,Scheibe::N,резен,切れ
438,Fett::N,мазнина,脂肪
439,Butter::N,масло,バター
440,Öl::N,олио,油
441,Öl::N,оливия,油
442,Salz::N,сол,塩
443,Suppe::N,супа,スープ
444,Honig::N,мед,蜂蜜
445,Milch::N,мляко,牛乳
446,Tee::N,чай,茶
447,Tee::N,чай,お茶
448,Leder::N,кожа,革
449,Wolle::N,вълна,毛糸
450,Stoff::N,плат,布
451,Stoff::N,материал,布
452,Nadel::N,игла,針
453,Faden::N,конец,糸
454,Knopf::N,копче,ボタン
455,Knoten::N,възел,結び目
456,Farbe::N,боя,ペンキ
457,Kleidung::N,дрехи,衣服
458,Kleidung::N,облекло,衣服
459,Hemd::N,риза,シャツ
460,Kragen::N,яка,襟
461,Ärmel::N,ръкав,袖
462,Hose::N,панталони,ズボン
463,Gürtel::N,пояс,帯
464,Gürtel::N,пояс,ベルト
465,Gürtel::N,колан,帯
466,Gürtel::N,колан,ベルト
467,Mütze::N,каскет,帽子
468,Mütze::N,фуражка,帽子
469,Schuh::N,обувка,靴
470,Stiefel::N,ботуш,ブーツ
471,Ring::N,пръстен,輪
472,Band::N,лента,リボン
473,Band::N,връзка,リボン
474,Kamm::N,гребен,櫛
475,Spiegel::N,огледало,鏡
476,Riemen::N,каиш,緒
477,Riemen::N,ремък,緒
478,Schnur::N,връв,紐
479,Leine::N,връв,綱
480,Leine::N,въже,綱
481,Decke::N,покривка,掛け布団
482,Kissen::N,възглавница,枕
483,Tuch::N,сукно,スカーフ
484,Handtuch::N,пешкир,タオル
485,Handtuch::N,кърпа за лице,タオル
486,Kraft::N,мощ,力
487,Kraft::N,сила,力
488,Stärke::N,сила,強さ
489,Gesundheit::N,здраве,健康
490,Krankheit::N,болест,病気
491,Schmerz::N,болка,痛み
492,Wunde::N,рана,傷
493,Fieber::N,треска,熱
494,Fieber::N,температура,熱
495,Arznei::N,лек,薬
496,Arznei::N,лекарство,薬
497,Brücke::N,мост,橋
498,Brunnen::N,чешма,井戸
499,Brunnen::N,кладенец,井戸
500,Weide::N,паша,牧場
501,Weide::N,пасище,牧場
502,Pfad::N,пътека,小路
503,Weg::N,път,道
504,Straße::N,шосе,街道
505,Dorf::N,село,村
506,Stadt::N,град,町
507,Stadt::N,град,都市
508,Brief::N,писмо,手紙
509,Buch::N,книга,本
510,Buchstabe::N,буква,文字
511,Zeitung::N,вестник,新聞
512,Leben::N,живот,生活
513,Tod::N,смърт,死
514,Grab::N,гроб,墓
515,Kirche::N,църква,教会
516,Sünde::N,грях,罪
517,Gott::N,бог,神
518,Arbeiter::N,работник,労働者
519,Chef::N,шеф,上司
520,Chef::N,началник,上司
521,Meister::N,майстор,達人
522,Meister::N,майстор,マイスター
523,Arzt::N,лекар,医者
524,Lehrer::N,учител,先生
525,Geld::N,пари,金
526,Geschäft::N,сделка,取り引き
527,Laden::N,дюкян,店
528,Laden::N,магазин,店
529,Preis::N,цена,値段
530,Ware::N,стока,商品
531,Nutzen::N,полза,利益
532,Nutzen::N,облага,利益
533,Reichtum::N,богатство,豊かさ
534,Welt::N,свят,世界
535,Land::N,страна,国
536,Staat::N,щат,国家
537,Staat::N,държава,国家
538,König::N,крал,国王
539,Macht::N,мощ,権力
540,Macht::N,власт,権力
541,Grenze::N,граница,国境
542,Krieg::N,война,戦争
543,Feind::N,враг,敵
544,Feind::N,неприятел,敵
545,Gewalt::N,сила,暴力
546,Gewalt::N,насилие,暴力
547,Kampf::N,борба,戦い
548,Kampf::N,сражение,戦い
549,Bogen[Waffe]::N,лък,弓
550,Pfeil::N,стрела,矢
551,Gewehr::N,пушка,銃
552,Fehler::N,грешка,間違い
553,Lüge::N,лъжа,嘘
554,Schaden::N,повреда,損害
555,Unglück::N,нещастие,不幸
556,Schuld::N,вина,罪
557,Alter::N,възраст,年
558,Alter::N,възраст,年齢
559,Schluss::N,край,終わり
560,Zeit::N,време,時
561,Zeit::N,време,時間
562,Tag::N,ден,日
563,Morgen::N,утро,朝
564,Morgen::N,сутрин,朝
565,Mittag::N,обед,昼
566,Mittag::N,пладне,昼
567,Abend::N,вечер,晩
568,Abend::N,вечер,夕方
569,Nacht::N,нощ,夜
570,Woche::N,седмица,週
571,Monat::N,месец,月
572,Jahr::N,година,年
573,Frühling::N,пролет,春
574,Sommer::N,лято,夏
575,Herbst::N,есен,秋
576,Winter::N,зима,冬
577,Januar::N,януари,一月
578,Februar::N,февруари,二月
579,März::N,март,三月
580,April::N,април,四月
581,Mai::N,май,五月
582,Juni::N,юни,六月
583,Juli::N,юли,七月
584,August::N,август,八月
585,September::N,септември,九月
586,Oktober::N,октомври,十月
587,November::N,ноември,十一月
588,Dezember::N,декември,十二月
589,Montag::N,понеделник,月曜日
590,Dienstag::N,вторник,火曜日
591,Mittwoch::N,сряда,水曜日
592,Donnerstag::N,четвъртък,木曜日
593,Freitag::N,петък,金曜日
594,Samstag::N,събота,土曜日
595,Sonntag::N,неделя,日曜日
596,groß::A,едър,大きい
597,groß::A,голям,大きい
598,klein::A,малък,小さい
599,klein::A,дребен,小さい
600,lang::A,дълъг,長い
601,kurz::A,къс,短い
602,breit::A,широк,広い
603,schmal::A,тесен,狭い
604,dicht::A,гъст,密な
605,dick[Gegenstand]::A,дебел,厚い
606,dünn::A,тънък,薄い
607,fein::A,фин,細い
608,fein::A,тънък,細い
609,fest::A,твърд,硬い
610,fest::A,плътен,硬い
611,flach::A,равен,平らな
612,flach::A,плосък,平らな
613,glatt::A,гладък,滑らかな
614,hart::A,твърд,堅い
615,hart::A,корав,堅い
616,weich::A,мек,柔らかい
617,rund::A,кръгъл,丸い
618,spitz::A,островръх,尖った
619,scharf::A,остър,鋭い
620,stumpf::A,тъп,鈍い
621,schwer::A,тежък,重い
622,schön::A,хубав,綺麗な
623,schön::A,красив,綺麗な
624,heiß::A,жарък,熱い
625,warm::A,топъл,温かい
626,kalt::A,студен,寒い
627,kalt::A,студен,冷たい
628,kühl::A,хладен,涼しい
629,frisch::A,свеж,ひんやりした
630,feucht::A,влажен,湿った
631,nass::A,мокър,濡れた
632,trocken::A,сух,乾いた
633,voll::A,пълен,いっぱいの
634,leer::A,празен,空の
635,offen::A,откровен,開いた
636,geschlossen::A,закрит,閉まった
637,geschlossen::A,затворен,閉まった
638,sauber::A,чист,清潔な
639,schmutzig::A,мръсен,汚い
640,roh::A,суров,生の
641,reif::A,зрял,熟した
642,lecker::A,вкусен,美味しい
643,süß::A,сладък,甘い
644,bitter::A,горчив,苦い
645,sauer::A,кисел,酸っぱい
646,hell::A,ясен,明るい
647,hell::A,светъл,明るい
648,dunkel::A,тъмен,暗い
649,schwarz::A,черен,黒い
650,weiß::A,бял,白い
651,rot::A,червен,赤い
652,gelb::A,жълт,黄色い
653,blau::A,син,青い
654,grün::A,зелен,緑の
655,grau::A,сив,灰色の
656,bunt::A,шарен,色取り取りの
657,bunt::A,пъстър,色取り取りの
658,billig::A,евтин,安い
659,teuer::A,скъп,高い
660,wertvoll::A,ценен,貴重な
661,blind::A,сляп,盲目の
662,taub::A,глух,耳が聞こえない
663,kräftig::A,силен,強力な
664,stark::A,здрав,強い
665,stark::A,силен,強い
666,schwach::A,слаб,弱い
667,fett::A,тлъст,太った
668,schlank::A,тънък,ほっそりした
669,schlank::A,строен,ほっそりした
670,hübsch::A,хубав,素敵な
671,böse::A,зъл,悪い
672,dumm::A,глупав,馬鹿な
673,faul::A,ленив,怠惰な
674,faul::A,мързелив,怠惰な
675,fleißig::A,прилежен,勤勉な
676,geizig::A,скъпернически,けちな
677,klug::A,умен,賢い
678,klug::A,умен,頭のいい
679,klug::A,разумен,賢い
680,klug::A,разумен,頭のいい
681,geschickt::A,умел,器用な
682,geschickt::A,сръчен,器用な
683,lieb::A,мил,愛らしい
684,lieb::A,драг,愛らしい
685,lustig::A,весел,楽しい
686,sanft::A,нежен,温和な
687,sanft::A,кротък,温和な
688,hungrig::A,гладен,空腹の
689,krank::A,болен,病気の
690,nackt::A,гол,裸の
691,traurig::A,тъжен,悲しい
692,traurig::A,печален,悲しい
693,lebendig::A,жив,生きた
694,gut::A,добър,良い
695,schlecht::A,лош,悪い
696,schlecht::A,лош,駄目な
697,richtig::A,правилен,正しい
698,schlimm::A,лош,ひどい
699,wahr::A,верен,本当の
700,wahr::A,истински,本当の
701,alt::A,стар,古い
702,alt::A,древен,古い
703,neu::A,нов,新しい
704,ehemalig::A,бивш,以前の
705,alt[Lebewesen]::A,стар,年を取った
706,jung::A,млад,若い
707,arm::A,беден,貧乏な
708,reich::A,богат,裕福な
709,bekannt::A,познат,有名な
710,bekannt::A,известен,有名な
711,berühmt::A,почут,有名な
712,berühmt::A,известен,有名な
713,fremd::A,чужд,見知らぬ
714,verschieden::A,разен,色々な
715,verschieden::A,различен,色々な
716,nah::A,близък,近い
717,fern::A,далечен,遠い
718,linker::A,ляв,左の
719,rechter::A,прав,右の
720,anderer::A,друг,別の
721,erster::A,пръв,一番目
722,erster::A,първи,一番目
723,zweiter::A,втори,二番目
724,dritter::A,трети,三番目
725,letzter::A,последен,最後の
726,allein::ADV,само,一人で
727,auf einmal::ADV,същевременно,同時に
728,zusammen::ADV,заедно,一緒に
729,lange::ADV,дълго,長い間
730,plötzlich::ADV,изведнъж,急に
731,sofort::ADV,веднага,すぐに
732,später::ADV,по-късно,後で
733,jetzt::ADV,сега,今
734,heute::ADV,днес,今日
735,morgen::ADV,утре,明日
736,bald::ADV,скоро,間もなく
737,dann::ADV,после,それから
738,dann::ADV,тогава,それから
739,gestern::ADV,вчера,昨日
740,einst::ADV,някога,過去に
741,damals::ADV,тогава,あの時
742,danach::ADV,после,その後で
743,danach::ADV,след това,その後で
744,vorher::ADV,преди,以前に
745,vorher::ADV,преди това,以前に
746,zuerst::ADV,най-напред,まず
747,zuerst::ADV,най-напред,最初に
748,einmal::ADV,веднъж,一回
749,einmal::ADV,един път,一回
750,manchmal::ADV,понякога,時々
751,oft::ADV,често,よく
752,immer::ADV,винаги,いつも
753,niemals::ADV,никога,一度も...ない
754,hier::ADV,тук,こちら
755,hier::ADV,тука,こちら
756,hierhin::ADV,насам,ここへ
757,hierhin::ADV,насам,こちらへ
758,von hier::ADV,оттук,ここから
759,von hier::ADV,оттука,ここから
760,dort::ADV,там,そちら
761,dorthin::ADV,натам,そこへ
762,dorthin::ADV,натам,そちらへ
763,dorthin::ADV,нататък,そこへ
764,dorthin::ADV,нататък,そちらへ
765,geradeaus::ADV,направо,真っ直ぐに
766,vorwärts::ADV,напред,前へ
767,rückwärts::ADV,назад,後ろへ
768,zurück::ADV,обратно,後ろへ
769,unten::ADV,долу,下に
770,hinab::ADV,надолу,下へ
771,oben::ADV,горе,上に
772,hinauf::ADV,нагоре,上へ
773,überall::ADV,навсякъде,どこでも
774,nicht::ADV,не,ない
775,ein wenig::ADV,малко,少し
776,ein wenig::ADV,малко,ちょっと
777,kaum::ADV,едва,ほとんど～ない
778,kaum::ADV,едвам,ほとんど～ない
779,sehr::ADV,много,とても
780,sehr::ADV,твърде,とても
781,so::ADV,тъй,こう
782,so::ADV,така,こう
783,noch::ADV,още,まだ
784,nur::ADV,само,～だけ
785,schon::ADV,вече,もう
786,wieder::ADV,пак,再び
787,wieder::ADV,отново,再び
788,vergebens::ADV,напразно,無駄に
789,vor::PRP,пред,前に
790,hinter::PRP,зад,後ろに
791,unter::PRP,под,下に
792,durch::PRP,през,通して
793,neben::PRP,до,横に
794,neben::PRP,при,横に
795,zwischen::PRP,между,間に
796,zwischen::PRP,помежду,間に
797,wegen::PRP,заради,為に
798,wegen::PRP,заради,せいで
799,dies::PRN,този,これ
800,das::PRN,туй,それ
801,das::PRN,това,それ
802,alles::PRN,всичко,全部
803,ich::PRN,аз,私
804,du::PRN,ти,あなた
805,er::PRN,той,彼
806,wir::PRN,ние,私達
807,ihr::PRN,вие,あなた達
808,sie::PRN,те,彼ら
809,was::FPRN,що,何
810,was::FPRN,какво,何
811,wer::FPRN,кой,誰
812,wer::FPRN,кой,どなた
813,wo::FADV,къде,どこ
814,wo::FADV,къде,どこに
815,wohin::FADV,накъде,どこへ
816,wohin::FADV,накъдето,どこへ
817,wie::FADV,как,どう
818,warum::FADV,защо,何故
819,warum::FADV,защо,どうして
820,wieviel::FNUM,колко,どのくらい
821,eins::NUM,един,一
822,zwei::NUM,два,二
823,zwei::NUM,два,二つ
824,drei::NUM,три,三
825,drei::NUM,три,三つ
826,vier::NUM,четири,四
827,vier::NUM,четири,四つ
828,fünf::NUM,пет,五
829,fünf::NUM,пет,五つ
830,sechs::NUM,шест,六
831,sechs::NUM,шест,六つ
832,sieben::NUM,седем,七
833,sieben::NUM,седем,七つ
834,acht::NUM,осем,八
835,acht::NUM,осем,八つ
836,neun::NUM,девет,九
837,neun::NUM,девет,九つ
838,zehn::NUM,десет,十
839,elf::NUM,единайсет,十一
840,elf::NUM,единадесет,十一
841,zwölf::NUM,дванайсет,十二
842,zwölf::NUM,дванадесет,十二
843,zwanzig::NUM,двайсет,二十
844,zwanzig::NUM,двадесет,二十
845,dreißig::NUM,тридесет,三十
846,vierzig::NUM,четиридесет,四十
847,fünfzig::NUM,петдесет,五十
848,sechzig::NUM,шестдесет,六十
849,siebzig::NUM,седемдесет,七十
850,achtzig::NUM,осемдесет,八十
851,neunzig::NUM,деветдесет,九十
852,hundert::NUM,сто,百
853,tausend::NUM,хиляда,千
854,und::CNJ,а,-と
855,und::CNJ,а,そして
856,und::CNJ,та,-と
857,und::CNJ,та,そして
858,oder::CNJ,или,或いは
859,stehen::V,стоя,立っている
860,sitzen::V,седя,座っている
861,liegen::V,лежа,横になっている
862,hängen::V,вися,掛かっている
863,werden::V,бъда,なる
864,werden::V,стана,なる
865,passieren::V,случа се,起こる
866,beginnen::V,започна,始まる
867,enden::V,свърша,終わる
868,wechseln::V,променям,変わる
869,aufgehen[Sonne]::V,изгрея,出る
870,untergehen[Sonne]::V,заляза,沈む
871,scheinen[Sonne]::V,грея,輝く
872,scheinen[Sonne]::V,светя,輝く
