,Concept_ID,lbe,lez
66,Mond::N,барз,варз
67,Stern::N,цӏуку,гъед
68,Luft::N,гьава,гьава
69,Wind::N,марч,гар
70,Welle::N,щатӏи,лепе
71,Wasser::N,щин,яд
72,Stein::N,чару,къван
73,Boden::N,аьрщи,накьв
74,Erde::N,аьрщи,ччил
75,Staub::N,ххит,руг
76,Rauch::N,пуркӏу,гум
77,Funke::N,пиягь,цӏелхем
78,Feuer::N,цӏу,цӏай
79,Licht::N,чани,экв
80,Schatten::N,ххют,серин
81,Wetter::N,гьава,гьава
82,Nebel::N,шархь ттурлу,ччилин циф
83,Wolke::N,ттурлу,циф
84,Regen::N,гъарал,марф
85,Schnee::N,марххала,жив
86,Eis::N,микӏ,мурк
87,Frost::N,дяркъу,аяз
88,Frost::N,замгьар,аяз
89,Kälte::N,дяркъу,мекь
90,Kälte::N,дяркъу,мекьивал
91,Hitze::N,кӏиришиву,зегьем
92,Raureif::N,сил,къирав
93,Raureif::N,бурса,къирав
94,Regenbogen::N,ссурул ккуртта,яргъируш
95,Donner::N,къув,цавун ван
96,Strömung::N,экьинанаву,
97,Tropfen::N,кӏунтӏ,стӏал
98,Schaum::N,хьама,каф
99,Schmutz::N,кьяркьи,чирк
100,Schmutz::N,кьяркьи,кьуруш
101,See::N,бяр,вир
102,Sumpf::N,кунцӏа,уьлен
103,Wiese::N,кьан,векь
104,Wald::N,вацӏа,там
105,Hügel::N,бакӏу,кӏунтӏ
106,Berg::N,зунтту,дагъ
107,Gipfel::N,мицӏ,кӏукӏ
108,Höhle::N,нух,кьветӏ
109,Abhang::N,сун,гуьне
110,Quelle::N,дайдихьу,чешме
111,Quelle::N,бакӏ,чешме
112,Bach::N,чӏрир нех,булах
113,Fluss::N,нех,вацӏ
114,Ufer::N,зума,къерех
115,Küste::N,зумаинхалу,къерех
116,Küste::N,зуманицӏалу,къерех
117,Festland::N,кьири,кьурамат
118,Meer::N,хьхьири,гьуьл
119,Insel::N,жазира,остров
120,Blume::N,тӏутӏи,цуьк
121,Gras::N,уртту,хъач
122,Wurzel::N,мархха,дувул
123,Baum::N,мурхь,ттар
124,Stamm::N,ттарцӏ,тан
125,Rinde::N,ккамара,чкал
126,Ast::N,матӏи,тӏур
127,Zweig::N,къяртта,хел
128,Blatt::N,чӏапӏи,пеш
129,Birke::N,кӏялахӏи,верх
130,Birke::N,кӏялахӏилул мурхь,верх
131,Kiefer[Baum]::N,ттар,шамагъаж
132,Kiefer[Baum]::N,ттарлил мурхь,шамагъаж
133,Weide[Baum]::N,щавщи,цӏвелин ттар
134,Tanne::N,ттарлил мурхь,ель
135,Horn::N,хъи,карч
136,Feder::N,лелуххул тӏиму,цӏакул
137,Fell::N,бурчу,хам
138,Flügel::N,хъа,лув
139,Flügel::N,ххурупӏайрал тӏиму,лув
140,Klaue::N,михь,къармах
141,Kralle::N,ххяппа,пац
142,Kralle::N,ххяппа,тапас
143,Schwanz::N,магъ,ттум
144,Ei::N,ккунук,кака
145,Nest::N,кюру,муг
146,Bau::N,цукъуккутӏ,тӏеквен
147,Tier::N,хӏайван,гьайван
148,Herde::N,газу,суьруь
149,Kuh::N,оьл,ккал
150,Bulle::N,ниц,яц
151,Bulle::N,ниц,бугъа
152,Pferd::N,чу,балкӏан
153,Schaf::N,тта,хеб
154,Schwein::N,дунгъуз,вак
155,Hund::N,ккаччи,кицӏ
156,Katze::N,ччиту,кац
157,Bär::N,цуша,сев
158,Eichhörnchen::N,бюрхттукку,белка
159,Elch::N,ниц-бюрин,лось
160,Fuchs::N,цулчӏа,сикӏ
161,Fuchs::N,куча цулчӏа,сикӏ
162,Hase::N,бюрх,къуьр
163,Maus::N,кӏулу,кьиф
164,Wolf::N,барцӏ,жанавур
165,Vogel::N,лелуххи,луван ничхир
166,Schwarm::N,гьухъала,луж
167,Huhn::N,аьнакӏи,верч
168,Hahn::N,ажари,кӏек
169,Gans::N,къаз,къаз
170,Adler::N,барзу,лекь
171,Ente::N,урдак,пӏатӏ
172,Eule::N,ису,тӏиб
173,Eule::N,ччиккумяв,тӏиб
174,Kranich::N,кьурукь,дурна
175,Krähe::N,хъатӏу,къаргъа
176,Kuckuck::N,ччикку,кукупӏ
177,Schwan::N,урттил къаз,къугь
178,Fisch::N,чавахъ,гъед
179,Schlange[Tier]::N,шатта,илан
180,Schlange[Tier]::N,шатта,гъуьлягъ
181,Wurm::N,кьюнукьай шатта,квак
182,Spinne::N,ххялцу,хуьшрекан
183,Ameise::N,митӏикьукьу,цегв
184,Mücke::N,мичӏак,ветӏ
185,Fliege::N,зимиз,тӏветӏ
186,Schmetterling::N,чӏимучӏали,чепелукь
187,Beere::N,хӏаллил ахъулсса,куьлуь емиш
188,Apfel::N,гьивч,ич
189,Pilz::N,ттуккул иис,къарникъуз
190,Zwiebel::N,лаччул чсмусул бакӏ,чичӏек
191,Saat::N,гьанна,тумар
192,Korn::N,къама,твар
193,Heu::N,ххулув,векь
194,Heu::N,ххулув,векьер
195,Schale::N,ккиртту,пириш
196,Schale::N,ккиртту,хъуьруьш
197,Grube::N,кӏаланг,фур
198,Falle::N,къатӏа,ракьар
199,Schlinge::N,хӏатӏ,гьалкъа
200,Spur::N,ша,гел
201,Asche::N,лах,руьхъ
202,Dreck::N,кьяркьи,чирк
203,Dreck::N,кьяркьи,кьуруш
204,Dreck::N,венп,чирк
205,Dreck::N,венп,кьуруш
206,Eisen::N,мах,ракь
207,Gold::N,муси,алтун
208,Silber::N,арцу,гимиш
209,Kohle::N,кӏалаш,цӏивин
210,Kohle::N,хъуручӏ,цӏивин
211,Glas::N,пюрун,шуьше
212,Lehm::N,сина аьрщи,ччеб
213,Sand::N,къун,къум
214,Mensch::N,инсан,инсан
215,Mann::N,чув,итим
216,Mann::N,адимина,итим
217,Frau::N,щарсса,паб
218,Frau::N,щарсса,дишегьли
219,Frau::N,хъамитайпа,паб
220,Frau::N,хъамитайпа,дишегьли
221,Kind::N,чӏиви оьрчӏ,аял
222,Junge::N,оьрчӏ,гада
223,Junge::N,бурхьин оьрчӏ,гада
224,Mädchen::N,душ,руш
225,Familie::N,кулпат,хзан
226,Familie::N,кулпат,килфет
227,Großvater::N,ттатта,чӏехи буба
228,Großvater::N,ниттил ппу,чӏехи буба
229,Großmutter::N,буттал нину,чӏехи диде
230,Eltern::N,нину-ппу,диде-буба
231,Vater::N,ппу,буба
232,Mutter::N,нину,диде
233,Sohn::N,арс,хва
234,Tochter::N,душ,руш
235,Bruder::N,уссу,стха
236,Schwester::N,ссу,вах
237,Onkel::N,буттауссу,ими
238,Onkel::N,буттауссу,халу
239,Tante::N,буттал ссу,эме
240,Tante::N,буттал ссу,хала
241,Ehemann::N,лас,гъуьл
242,Ehefrau::N,щар,паб
243,Ehefrau::N,щарсса,паб
244,Freude::N,шадшиву,шадвал
245,Freude::N,ххаришиву,шадвал
246,Gelächter::N,хъяхъаву,хъвер
247,Glück::N,талихӏ,бахт
248,Kummer::N,дард,дерт
249,Kummer::N,дард,хажалат
250,Wunsch::N,мурад,мурад
251,Lust::N,гьавас,гьевес
252,Lust::N,ччаву,гьевес
253,Geist::N,рухӏ,руьгь
254,Gedanke::N,пикри,фикир
255,Gedächtnis::N,дакӏний личӏаву,
256,Verstand::N,аькьлу,акьул
257,Sinn::N,мяъна,мана
258,Grund::N,багьана,себеб
259,Wahrheit::N,тӏайламур,керчек
260,Wahrheit::N,тӏайламур,гьакъикъат
261,Wahrheit::N,хӏакьмур,керчек
262,Wahrheit::N,хӏакьмур,гьакъикъат
263,Gespräch::N,ихтилат,ихтилат
264,Märchen::N,магьа,мах
265,Erzählung::N,хавар,кьиса
266,Nachricht::N,хавар,хабар
267,Neuigkeit::N,хавар,цӏийи хабар
268,Name::N,цӏа,тӏвар
269,Rätsel::N,ссигьа,мискӏал
270,Rede::N,гъалгъа,рахун
271,Sprache::N,маз,чӏал
272,Stimme::N,чӏу,ван
273,Stimme::N,чӏукӏа,ван
274,Wort::N,махъ,гаф
275,Zeichen::N,лишан,ишара
276,Lärm::N,чӏу,ван-сес
277,Laut::N,чӏу,ван
278,Laut::N,чӏу,сес
279,Ton::N,чӏу,ван-сес
280,Lied::N,балай,мани
281,Ruhe::N,дигьалагру,ласвал
282,Ruhe::N,дигьалагру,фаракъат
283,Ruhe::N,дигьалагру,асайиш
284,Leute::N,инсантал,инсанар
285,Volk::N,ил,халкь
286,Volk::N,халкь,халкь
287,Arbeit::N,заву,кӏвалах
288,Gast::N,хъамаличу,мугьман
289,Geschenk::N,бухчакарши,савкьат
290,Geschenk::N,лажинккакку,савкьат
291,Spiel::N,тӏуркӏу,къугъун
292,Gesellschaft::N,жямат,жемят
293,Gesellschaft::N,жямат,общество
294,Gesellschaft::N,ккуран,жемят
295,Gesellschaft::N,ккуран,общество
296,Hilfe::N,кумаг,куьмек
297,Freund::N,дус,дуст
298,Kamerad::N,хӏаласу,яр-дуст
299,Angelegenheit::N,иш,кар
300,Anzahl::N,аьдад,сан
301,Anzahl::N,аьдад,кьадар
302,Art::N,жинс,жуьре
303,Stück::N,касак,кӏус
304,Teil::N,бутӏа,пай
305,Hälfte::N,дачӏи,зур
306,Hälfte::N,дачӏи,зур пай
307,Kreis::N,кюрщан,круг
308,Kreis::N,кюрщан,чкаяр
309,Kreis::N,кюрщан,элкъвей цӏар
310,Kreuz::N,ххач,хаш
311,Linie::N,щва,цӏар
312,Strich::N,щва,цӏар
313,Abstand::N,манзил,ара
314,Entfernung::N,манзил,мензил
315,Gegend::N,кӏану,чка
316,Ort::N,кӏану,чка
317,Seite::N,чул,пад
318,Seite::N,чулухалу,пад
319,Mitte::N,дя,юкь
320,Gegenstand::N,зат,затӏ
321,Sache::N,зат,шей
322,Sache::N,зат,затӏ
323,Rand::N,зума,къерех
324,Ecke::N,мурцӏу,пӏипӏ
325,Spitze::N,мицӏ,кӏвенкӏв
326,Ende::N,зума,кьил
327,Loch::N,ккутӏ,тӏеквен
328,Winkel::N,мурцӏу,пӏипӏ
329,Muster::N,накьич,гишир
330,Länge::N,лахъишиву,яргъивал
331,Höhe::N,лахъшиву,кьакьанвал
332,Gewicht::N,дуццин,заланвал
333,Gewicht::N,кӏушиву,заланвал
334,Haufen::N,бакӏу,хара
335,Reihe::N,кьюкьа,жерге
336,Boot::N,луткка,луьткве
337,Ruder::N,весло,кьусу
338,Ruder::N,чӏатӏа,кьусу
339,Schlitten::N,чана,гъелерар
340,Schlitten::N,санкка,гъелерар
341,Ski::N,лижарду,
342,Lagerfeuer::N,къавтӏн,цӏай
343,Last::N,гьиву,заланвал
344,Gang::N,нанаву,ериш
345,Schritt::N,ша,къадам
346,Norden::N,ухссав,кефер
347,Norden::N,ухссав,кефер пад
348,Norden::N,ухссавнил чулухалу,кефер
349,Norden::N,ухссавнил чулухалу,кефер пад
350,Süden::N,кьилва,кьибле
351,Westen::N,баргълагавал,рагъакӏидай пад
352,Westen::N,баргълагавал чул,рагъакӏидай пад
353,Osten::N,баргъбуккай чулухалу,рагъэкъечӏдай пад
354,Holz::N,тӏама,кӏарас
355,Brett::N,тахта,кьул
356,Brett::N,тахта,тахта
357,Platte::N,гъуни,
358,Stütze::N,гьалакӏу,даях
359,Stange::N,къазихъ,юрк
360,Stock::N,ттархь,лаш
361,Stab::N,ччантӏакъу,юрк
362,Rohr::N,бургъу,турба
363,Haus::N,къатта,ужагъ
364,Heim::N,къатта,кӏвал
365,Ofen::N,пач,пич
366,Fußboden::N,чӏанкъатта,кӏвалин ччил
367,Tisch::N,усттул,стол
368,Stuhl::N,кӏану,стул
369,Wiege::N,оьрчӏал кӏану,кьеб
370,Bett::N,тах,тахт
371,Regal::N,чӏаму,кьацӏ
372,Kiste::N,яшикӏ,ящик
373,Kiste::N,къурши,ящик
374,Fenster::N,чӏавахьулу,дакӏар
375,Tür::N,нуз,рак
376,Tür::N,нузкьун,рак
377,Tor::N,къапу,варар
378,Tor::N,дарваза,варар
379,Zaun::N,дайгьузанну,пару
380,Dach::N,магъи,къав
381,Dach::N,цӏиялу,къав
382,Leiter::N,чуртту,гурар
383,Besen::N,чӏатлу,таран кул
384,Spaten::N,бил,ппер
385,Schaufel::N,чӏатӏа,хекендаз
386,Gabel::N,гьиссилу,шиш
387,Löffel::N,къуса,тӏур
388,Messer::N,чӏила,чукӏул
389,Nagel::N,мяр,мих
390,Netz::N,къери,чил
391,Haken::N,къича,къармах
392,Griff::N,куяму,ттум
393,Schloss::N,кьункьула,куьлег
394,Bild::N,сурат,шикил
395,Bild::N,сурат,суьрет
396,Puppe::N,ссихьу,нини
397,Beutel::N,чантай,тагъар
398,Bündel::N,гьи,галгам
399,Bündel::N,къар,галгам
400,Eimer::N,бадра,ведре
401,Deckel::N,къапаза,кьил
402,Deckel::N,къапаза,къалпагъ
403,Geschirr::N,пюрунчӏул,къаб-къажах
404,Geschirr::N,тӏахӏникӏичӏу,къаб-къажах
405,Sack::N,къап,чувал
406,Sack::N,дарваг,чувал
407,Tasse::N,пижан,сукӏра
408,Tasse::N,пинжан,сукӏра
409,Tasse::N,инкираччатӏи,сукӏра
410,Tasse::N,цинцилттал бушкъап,сукӏра
411,Topf::N,кӏункӏур,къажгъан
412,Kessel::N,чаг,къажгъан
413,Kessel::N,кӏункӏур,къажгъан
414,Essen::N,дукия,тӏуьн
415,Essen::N,дукин,тӏуьн
416,Nahrung::N,дукра,тӏуьн
417,Speise::N,дукра,хуьрек
418,Fleisch::N,дикӏ,як
419,Getreide::N,къама,техил
420,Brei::N,ккурч,хапӏа
421,Brei::N,ккурч,хешил
422,Brot::N,ччатӏ,фу
423,Scheibe::N,парча,чӏук
424,Fett::N,аьгъушиву,ягълу
425,Butter::N,нагь,гъери
426,Butter::N,лагаву,гъери
427,Salz::N,цӏву,кьел
428,Suppe::N,накь,суп
429,Suppe::N,накь,шурпа
430,Honig::N,ницӏ,вирт
431,Milch::N,накӏ,нек
432,Tee::N,чяй,чай
433,Leder::N,бурчу,тумаж
434,Wolle::N,ппал,йис
435,Stoff::N,янна,парча
436,Nadel::N,ххалаххи,раб
437,Faden::N,ххал,гъал
438,Knopf::N,банд,дуьгме
439,Knoten::N,къурхъ,тӏвал
440,Farbe::N,сир,ранг
441,Kleidung::N,янна,партал
442,Kleidung::N,лаххия,партал
443,Hemd::N,гьухъа,перем
444,Kragen::N,дарвач,хев
445,Ärmel::N,кахха,хел
446,Hose::N,хӏажак,шалвар
447,Gürtel::N,мухӏлу,чӏул
448,Mütze::N,кьяпа,бармак
449,Mütze::N,кьяпа,бапӏах
450,Stiefel::N,чакма,чекме
451,Ring::N,кӏисса,тупӏал
452,Band::N,линт,тасма
453,Kamm::N,ттарал,регъ
454,Spiegel::N,дагьани,гуьзгуь
455,Riemen::N,эн,къайиш
456,Schnur::N,хьхьа,еб
457,Decke::N,виргъан,яргъан
458,Kissen::N,кӏаралу,хъуьцуьган
459,Tuch::N,карщи,шал
460,Handtuch::N,калихьу,дасмал
461,Handtuch::N,лажинлихьу,дасмал
462,Kraft::N,эллаж,гуж
463,Stärke::N,гуж,къуват
464,Gesundheit::N,цӏуллу-сагъшиву,сагъвал
465,Krankheit::N,къашайшиву,тӏал
466,Schmerz::N,къюву,тӏал
467,Schmerz::N,къюву,тӏарвал
468,Wunde::N,щаву,хер
469,Fieber::N,кӏиришиву,ифин
470,Arznei::N,дару,дарман
471,Brücke::N,ламу,муьгъ
472,Brunnen::N,къуй,къуй
473,Weide::N,бизантту,уьруьш
474,Pfad::N,жегъир ххуллу,рехъ
475,Weg::N,ххуллу,рехъ
476,Straße::N,ххуллу,рехъ
477,Dorf::N,щар,хуьр
478,Dorf::N,шяравалу,хуьр
479,Stadt::N,шагьру,шегьер
480,Brief::N,чагъар,кагъаз
481,Buch::N,лу,улуб
482,Buchstabe::N,хӏарп,гьарф
483,Zeitung::N,кказит,газета
484,Leben::N,оьрму,уьмуьр
485,Tod::N,ажал,кьиникь
486,Tod::N,бивкӏу,кьиникь
487,Tod::N,ивчӏаву,кьиникь
488,Grab::N,гьав,сур
489,Kirche::N,килиса,килиса
490,Sünde::N,бунагъ,гунагь
491,Gott::N,зал,аллагь
492,Arbeiter::N,зузала,фяле
493,Chef::N,ялувма,гьаким
494,Meister::N,усттар,устӏар
495,Arzt::N,хӏакин,доктор
496,Lehrer::N,учитель,муаллим
497,Geld::N,арцу,пул
498,Geschäft::N,даву,
499,Laden::N,ттучан,магазин
500,Preis::N,багъа,къимет
501,Ware::N,хъус,мал
502,Ware::N,хъус,товар
503,Nutzen::N,хайр,хийир
504,Nutzen::N,хайр,менфят
505,Nutzen::N,мюнпат,хийир
506,Nutzen::N,мюнпат,менфят
507,Reichtum::N,давлат,девлет
508,Reichtum::N,аваданшиву,девлет
509,Welt::N,дуниял,дуьнья
510,Land::N,билаят,уьлкве
511,Staat::N,паччахӏлугъ,пачагьлугъ
512,Staat::N,паччахӏлугъ,государство
513,Macht::N,власть,власть
514,Grenze::N,дазу,сергьят
515,Krieg::N,дяъви,дяве
516,Feind::N,душман,душман
517,Gewalt::N,къия,гуж
518,Kampf::N,лачӏуи уккаву,женг
519,Bogen[Waffe]::N,ккуртта,чӏемерук
520,Pfeil::N,чӏатӏаракӏ,хьел
521,Gewehr::N,ттупанг,тфенг
522,Fehler::N,гъалатӏ,гъалатӏ
523,Lüge::N,щялмахъ,ттаб
524,Schaden::N,зарал,зиян
525,Schaden::N,зарал,зарар
526,Unglück::N,бала,бала
527,Unglück::N,бала,бедбахтвал
528,Schuld::N,тахсир,тахсир
529,Alter::N,оьрму,яш
530,Schluss::N,ахир,эхир
531,Zeit::N,чӏун,вяде
532,Tag::N,кьини,югъ
533,Morgen::N,кӏюрх,пакама
534,Mittag::N,ахттайн,нисин
535,Mittag::N,дяахттайн,нисин
536,Mittag::N,ахттайн чӏун,нисин
537,Abend::N,маркӏачӏан,няни
538,Nacht::N,хьхьу,йиф
539,Woche::N,нюжмар,гьафте
540,Monat::N,барз,варз
541,Jahr::N,шин,йис
542,Frühling::N,инт,гатфар
543,Sommer::N,гъи,гад
544,Herbst::N,ссут,зул
545,Winter::N,кӏи,кьуьд
546,Januar::N,цалчинмур барз,январь
547,Februar::N,кӏилчинмур барз,февраль
548,März::N,шамилчинмур барз,март
549,April::N,апрель,апрель
550,April::N,мукьилчинмур барз,апрель
551,Mai::N,май,май
552,Mai::N,ххюлчинмур барз,май
553,Juni::N,июнь,июнь
554,Juni::N,ряххилчинмур барз,июнь
555,Juli::N,июль,июль
556,Juli::N,Арулчинмур барз,июль
557,August::N,мяйлчинмур барз,август
558,September::N,урчӏилчинмур барз,сентябрь
559,Oktober::N,ацӏилчинмур барз,октябрь
560,November::N,ацӏния цалчинмур барз,ноябрь
561,Dezember::N,ацӏния кӏилчинмур барз,декабрь
562,Montag::N,итин,ислен
563,Montag::N,итин кьини,ислен
564,Dienstag::N,тталат,саласа
565,Dienstag::N,тталат кьини,саласа
566,Mittwoch::N,арвахӏ,арбе
567,Donnerstag::N,хамис,хемис югъ
568,Freitag::N,нюжмар,жуьмя
569,Freitag::N,нюжмар,жуьмя югъ
570,Freitag::N,нюжмар кьини,жуьмя
571,Freitag::N,нюжмар кьини,жуьмя югъ
572,Samstag::N,ххуллун,киш
573,Samstag::N,ххуллун кьини,киш
574,Sonntag::N,алхӏат,гьяд
575,Sonntag::N,алхӏат кьини,гьяд
576,groß::A,бугъарасса,еке
577,groß::A,бугъарасса,чӏехи
578,klein::A,чӏивисса,гъвечӏи
579,lang::A,лахъисса,яргъи
580,kurz::A,кутӏасса,куьруь
581,breit::A,уттасса,гьяркьуь
582,schmal::A,уттакӏюласса,гуьтӏуь
583,dicht::A,ццунсса,къалин
584,dick[Gegenstand]::A,ганзсса,
585,dünn::A,кӏюласса,кьелечӏ
586,fest::A,цӏакьсса,кӏеви
587,fest::A,кьянкьасса,кӏеви
588,flach::A,баягъисса,кьулу
589,flach::A,цӏубакъасса,кьулу
590,flach::A,куртӏ дакъасса,кьулу
591,glatt::A,дюрчӏусса,цӏалцӏам
592,hart::A,кьянкьасса,кӏеви
593,weich::A,кӏукӏлусса,хъуьтуьл
594,rund::A,ккурккисса,элкъвей
595,spitz::A,ярксса,хци
596,spitz::A,дайлсса,хци
597,spitz::A,мицӏ бусса,хци
598,scharf::A,ярксса,хци
599,scharf::A,дайлсса,хци
600,scharf::A,мицӏ бусса,хци
601,stumpf::A,къуркъасса,къуьруь
602,schwer::A,кӏусса,залан
603,schön::A,аьнтӏикӏасса,иер
604,heiß::A,кӏирисса,кудай
605,warm::A,гъелисса,чими
606,kalt::A,дяркъусса,мекьи
607,kühl::A,дюхлулсса,къайи
608,frisch::A,цӏусса,таза
609,frisch::A,цӏусса,михьи
610,feucht::A,атилсса,ламу
611,feucht::A,хъавтусса,ламу
612,nass::A,атилсса,кьежей
613,nass::A,хъавтусса,кьежей
614,trocken::A,кьавкьсса,кьуру
615,trocken::A,кьакьан бувсса,кьуру
616,voll::A,бувцӏусса,ацӏай
617,leer::A,бачӏвасса,буш
618,leer::A,бачӏвасса,ичӏи
619,offen::A,тӏивтӏусса,ахъа
620,geschlossen::A,лавкьусса,кӏеви
621,sauber::A,марцӏсса,михьи
622,schmutzig::A,чапалсса,чиркин
623,schmutzig::A,чапалсса,кьацӏай
624,roh::A,шакъавхьсса,чиг
625,roh::A,шакъавхьсса,ицӏи
626,reif::A,дирсса,дигмиш хьайи
627,lecker::A,нахӏусса,дадлу
628,lecker::A,тӏааьнсса,дадлу
629,süß::A,нацӏусса,ширин
630,bitter::A,кьурчӏисса,туькьуьл
631,sauer::A,туршсса,цуру
632,hell::A,чаннасса,экуь
633,dunkel::A,цӏансса,мичӏи
634,schwarz::A,лухӏисса,чӏулав
635,weiß::A,кӏяласса,лацу
636,rot::A,ятӏулсса,яру
637,gelb::A,хъахъисса,хъипи
638,blau::A,някӏсса,вили
639,grün::A,щюлисса,къацу
640,grau::A,оьрусса,рехи
641,bunt::A,оьрчӏикӏурисса,цӏару
642,bunt::A,оьрчӏикӏурисса,яру-цӏару
643,billig::A,кьювкьусса,ужуз
644,teuer::A,ххирасса,багьа
645,wertvoll::A,багьасса,масан
646,blind::A,мурчӏисса,буьркьуь
647,taub::A,къюкӏсса,биши
648,kräftig::A,гужсса,гужлу
649,stark::A,кьянкьасса,къуватлу
650,schwach::A,заэвсса,такьатсуз
651,fett::A,бучсса,куьк
652,schlank::A,бювхъусса,шумал
653,hübsch::A,янусса,гуьрчег
654,böse::A,оьсса,пис
655,dumm::A,ахӏмакьсса,ахмакь
656,faul::A,танмалсса,тенпел
657,faul::A,курчӏилсса,тенпел
658,fleißig::A,хӏарачат бусса,сяй ийидай
659,fleißig::A,хӏарачат бусса,сяйи ийидай
660,geizig::A,янттарцӏансса,мискьи
661,klug::A,аькьлу бусса,акьуллу
662,geschickt::A,паргалсса,магьир
663,lieb::A,аьзизсса,играми
664,lustig::A,тяхъасса,шад
665,sanft::A,иминсса,назик
666,sanft::A,иминсса,милайим
667,hungrig::A,ккашилсса,гишин
668,krank::A,къашавайсса,кефсуз
669,nackt::A,кӏачӏасса,кьецӏил
670,traurig::A,пашмансса,пашман
671,lebendig::A,уттавасса,ччан алай
672,gut::A,ххуйсса,хъсан
673,gut::A,ххуйсса,вижевай
674,schlecht::A,оьккисса,пис
675,richtig::A,саргъунсса,дуьз
676,schlimm::A,оьккисса,нифретлу
677,wahr::A,хӏакьсса,гьакъикъи
678,alt::A,кугьнасса,эски
679,alt::A,кугьнасса,куьгьне
680,neu::A,цӏусса,цӏийи
681,ehemalig::A,хъхъичӏвасса,виликан
682,alt[Lebewesen]::A,агьилсса,кьуьзуь
683,jung::A,чӏавасса,жегьил
684,jung::A,жагьилсса,жегьил
685,arm::A,мискинсса,кесиб
686,reich::A,авадансса,девлетлу
687,bekannt::A,дусъсса,чидай
688,berühmt::A,машгьурсса,машгьур
689,fremd::A,чил,ччара
690,verschieden::A,личӏи-личӏисса,жуьреба-жуьре
691,nah::A,гъансса,мукьвал
692,fern::A,архсса,яргъал
693,linker::A,кияхсса,чапла
694,linker::A,кюччахсса,чапла
695,rechter::A,урчӏахсса,эрчӏи
696,anderer::A,цамур,маса
697,anderer::A,цамур,муькуь
698,erster::A,цалчинмур,сад лагьай
699,erster::A,цалчиннсса,сад лагьай
700,zweiter::A,кӏилчиимур,кьвед лагьай
701,dritter::A,шамулчинмур,пуд лагьай
702,letzter::A,махъва-махъмур,эхиримжи
703,allein::ADV,ялгъузну,кьилди
704,zusammen::ADV,цачӏу,санал
705,zusammen::ADV,архӏал,санал
706,lange::ADV,батӏи къабуклай,яргъалди
707,lange::ADV,хъунмасса хӏаллай,яргъалди
708,plötzlich::ADV,цакуну,садлагьана
709,sofort::ADV,мугьлат бакъа,гьасятда
710,später::ADV,махъ,гуьгъуьнлай
711,jetzt::ADV,утти,гила
712,jetzt::ADV,цӏана,гила
713,heute::ADV,хӏакьину,къе
714,morgen::ADV,гьуит,пака
715,morgen::ADV,гьунттий,пака
716,dann::ADV,яла,ахпа
717,gestern::ADV,лахьхьу,накь
718,damals::ADV,та чӏумал,а чӏавуз
719,danach::ADV,яла,ахпа
720,vorher::ADV,хьхьнчӏ,вилик
721,vorher::ADV,хьхьичӏва,вилик
