,Concept_ID,hr,uz
136,Baum::N,stablo,daraxt
137,Stamm::N,deblo,o'simta
138,Stamm::N,stablo,o'simta
139,Rinde::N,kora,qobiq
140,Ast::N,grana,shox
141,Zweig::N,grana,butoq
142,Blatt::N,list,barg
143,Birke::N,breza,qayin
144,Kiefer[Baum]::N,bor,qarag'ay
145,Weide[Baum]::N,iva,shum
146,Weide[Baum]::N,vŕba,shum
147,Tanne::N,jela,archa
148,Horn::N,rog,mugiz
149,Feder::N,pero,par
150,Fell::N,koža,mo'yna
151,Flügel::N,krilo,qanot
152,Klaue::N,papak,tirnoq
153,Kralle::N,pandža,tirnoq
154,Schwanz::N,rep,quyruq
155,Ei::N,jaje,tuxum
156,Nest::N,gnijezdo,oshyon
157,Bau::N,jazbina,o'pqon
158,Tier::N,životinja,hayvon
159,Herde::N,krdo,gala
160,Herde::N,stado,gala
161,Kuh::N,krava,inak
162,Bulle::N,bik,ho'kiz
163,Pferd::N,konj,ot
164,Schaf::N,ovca,qo'y
165,Schwein::N,svinja,cho'chqa
166,Hund::N,pas,it
167,Hund::N,pseto,it
168,Katze::N,mačka,mushuk
169,Bär::N,medvjed,ayiq
170,Eichhörnchen::N,vjeverica,tiyin
171,Elch::N,los,los
172,Fuchs::N,lisica,tulki
173,Hase::N,zec,kuyon
174,Maus::N,miš,sichqon
175,Wolf::N,vuk,bo'ri
176,Wolf::N,kurjak,bo'ri
177,Vogel::N,ptica,qush
178,Schwarm::N,roj,to'da
179,Schwarm::N,jato,to'da
180,Huhn::N,kokoš,tovuq
181,Hahn::N,kokot,xo'roz
182,Hahn::N,pijevac,xo'roz
183,Gans::N,guska,g'oz
184,Adler::N,orao,burgut
185,Ente::N,patka,o'rdak
186,Eule::N,sova,boyo'g'li
187,Kranich::N,ždral,turna
188,Krähe::N,vrana,qarg'a
189,Kuckuck::N,kukavica,kakku
190,Schwan::N,labud,oqkush
191,Fisch::N,riba,baliq
192,Barsch::N,grgeč,olabug'a
193,Hecht::N,štuka,cho'rtan
194,Schlange[Tier]::N,guja,ilon
195,Schlange[Tier]::N,zmija,ilon
196,Wurm::N,crv,qurt
197,Spinne::N,pauk,o'rgimchak
198,Ameise::N,mrav,chumoli
199,Laus::N,uš,bit
200,Mücke::N,komarac,chivin
201,Fliege::N,muha,pashsha
202,Schmetterling::N,leptir,kapalak
203,Beere::N,boba,meva
204,Beere::N,bobica,meva
205,Apfel::N,jabuka,olma
206,Pilz::N,pečurka,qo'ziqorin
207,Zwiebel::N,luk,piyoz
208,Zwiebel::N,kapula,piyoz
209,Saat::N,sjemenje,äkin
210,Korn::N,zrno,zarra
211,Heu::N,sijeno,xashak
212,Schale::N,kora,po'choq
213,Schale::N,ljuska,po'choq
214,Grube::N,jama,co'ra
215,Falle::N,zamka,qopqon
216,Falle::N,klopka,qopqon
217,Schlinge::N,uzao,sirtmoq
218,Schlinge::N,petlja,sirtmoq
219,Spur::N,trag,iz
220,Spur::N,slijed,iz
221,Asche::N,pepeo,kul
222,Dreck::N,blato,kir
223,Eisen::N,željezo,temir
224,Gold::N,zlato,tilla
225,Silber::N,srebro,kumush
226,Kohle::N,ugalj,ko'mir
227,Kohle::N,ugljen,ko'mir
228,Glas::N,staklo,oyna
229,Lehm::N,glina,loy
230,Lehm::N,ilovača,loy
231,Sand::N,pijesak,qum
232,Mensch::N,čovjek,odam
233,Mann::N,muškarac,ärkak
234,Frau::N,žena,ayol
235,Kind::N,čedo,bola
236,Kind::N,čedo,kichkintoy
237,Kind::N,dijete,bola
238,Kind::N,dijete,kichkintoy
239,Junge::N,momče,bola
240,Junge::N,dječak,bola
241,Mädchen::N,djevojka,qiz
242,Mädchen::N,djevojčica,qiz
243,Familie::N,obitelj,oila
244,Familie::N,porodica,oila
245,Großvater::N,djed,buva
246,Großvater::N,djed,katta ota
247,Großmutter::N,baka,buvi
248,Großmutter::N,baka,katta oyi
249,Eltern::N,roditelji,ota-ona
250,Vater::N,otac,ota
251,Mutter::N,majka,ona
252,Sohn::N,sin,o'g'il
253,Tochter::N,kći,qiz
254,Tochter::N,kćerka,qiz
255,Bruder::N,brat,og'a
256,Bruder::N,brat,uka
257,Schwester::N,sestra,opa
258,Schwester::N,sestra,singil
259,Onkel::N,čika,amaki
260,Onkel::N,ujak,amaki
261,Tante::N,ujna,amma
262,Tante::N,ujna,xola
263,Tante::N,tetka,amma
264,Tante::N,tetka,xola
265,Ehemann::N,muž,är
266,Ehemann::N,suprug,är
267,Ehefrau::N,žena,rafiqa
268,Ehefrau::N,supruga,rafiqa
269,Freude::N,radost,ayish
270,Gelächter::N,grohot,kulgi
271,Glück::N,sreća,saodat
272,Kummer::N,jad,g'am
273,Kummer::N,briga,g'am
274,Wunsch::N,želja,orzu
275,Lust::N,volja,rag'bat
276,Geist::N,duh,ruh
277,Gedanke::N,misao,fikr
278,Gedächtnis::N,pamćenje,äs
279,Verstand::N,um,aql
280,Verstand::N,razum,aql
281,Sinn::N,smisao,ma'ni
282,Sinn::N,značenje,ma'ni
283,Grund::N,razlog,sabab
284,Wahrheit::N,istina,haq
285,Gespräch::N,razgovor,gap
286,Märchen::N,bajka,ärtak
287,Erzählung::N,priča,rivoyat
288,Erzählung::N,pripovijest,rivoyat
289,Nachricht::N,vijest,xabar
290,Neuigkeit::N,novost,yangilik
291,Name::N,ime,ot
292,Rätsel::N,zagonetka,topishmoq
293,Rede::N,govor,nutq
294,Rede::N,besjeda,nutq
295,Sprache::N,jezik,til
296,Stimme::N,glas,ovoz
297,Wort::N,riječ,so'z
298,Zeichen::N,znak,alomat
299,Ruf::N,povik,chaqiriq
300,Ruf::N,poklik,chaqiriq
301,Lärm::N,buka,taraq
302,Lärm::N,galama,taraq
303,Laut::N,zvuk,tovush
304,Ton::N,ton,un
305,Lied::N,pjesma,ashula
306,Ruhe::N,tišina,tinchlik
307,Ruhe::N,počinak,tinchlik
308,Leute::N,ljudi,xaloyiq
309,Volk::N,puk,xalq
310,Volk::N,narod,xalq
311,Arbeit::N,rad,ish
312,Arbeit::N,posao,ish
313,Gast::N,gost,mehmon
314,Geschenk::N,dar,hadya
315,Geschenk::N,poklon,hadya
316,Spiel::N,igra,o'yin
317,Gesellschaft::N,društvo,jamiyat
318,Gesellschaft::N,kompanija,jamiyat
319,Hilfe::N,pomoć,yordam
320,Freund::N,prijatelj,do'st
321,Kamerad::N,drug,yo'ldosh
322,Kamerad::N,drugar,yo'ldosh
323,Angelegenheit::N,posao,daxl
324,Anzahl::N,broj,son
325,Anzahl::N,brojnost,son
326,Art::N,vid,tur
327,Art::N,vrst,tur
328,Stück::N,komad,parcha
329,Teil::N,dio,bo'lak
330,Hälfte::N,polovina,yarim
331,Kreis::N,krug,aylana
332,Kreuz::N,križ,xoch
333,Linie::N,crta,liniya
334,Strich::N,crta,chiziq
335,Abstand::N,razmak,oralik
336,Abstand::N,odstojanje,oralik
337,Entfernung::N,udaljenost,uzoqlik
338,Gegend::N,kraj,yer
339,Gegend::N,predeo,yer
340,Platz::N,mjesto,oralig
341,Ort::N,mjesto,joy
342,Seite::N,bok,yon
343,Seite::N,strana,yon
344,Mitte::N,sredina,o'rta
345,Gegenstand::N,predmet,ashyo
346,Sache::N,posao,buyum
347,Rand::N,rub,chek
348,Rand::N,kraj,chek
349,Kante::N,brid,tig'
350,Kante::N,ivica,tig'
351,Ecke::N,ugao,burchak
352,Spitze::N,vrh,uch
353,Spitze::N,šiljak,uch
354,Ende::N,konac,oxir
355,Loch::N,rupa,teshik
356,Winkel::N,kut,go'sha
357,Winkel::N,ugao,go'sha
358,Muster::N,uzor,nusha
359,Größe::N,veličina,kattalik
360,Länge::N,duljina,uzunlik
361,Höhe::N,visina,yuksaklik
362,Gewicht::N,težina,solmoq
363,Menge::N,mnoštvo,miqdor
364,Menge::N,količina,miqdor
365,Haufen::N,hrpa,uyum
366,Haufen::N,gomila,uyum
367,Reihe::N,red,saf
368,Boot::N,čun,qayiq
369,Boot::N,čamac,qayiq
370,Ruder::N,veslo,äshkak
371,Schlitten::N,saone,chana
372,Ski::N,ski,chang'i
373,Ski::N,smučka,chang'i
374,Lagerfeuer::N,logorska vatra,gulxan
375,Last::N,tovar,yuk
376,Gang::N,hod,yurish
377,Schritt::N,korak,qadam
378,Norden::N,sjever,shimol
379,Süden::N,jug,janub
380,Westen::N,zapad,g'arb
381,Osten::N,istok,sharq
382,Holz::N,drvo,yog'och
383,Brett::N,daska,taxta
384,Platte::N,ploča,tabaqa
385,Stütze::N,potpora,tayanchi
386,Stange::N,motka,qo'noq
387,Stock::N,štap,tayoq
388,Stock::N,palica,tayoq
389,Stab::N,štap,gavron
390,Stab::N,šipka,gavron
391,Rohr::N,cijev,tarnov
392,Haus::N,kuća,uy
393,Heim::N,dom,makon
394,Ofen::N,peć,pechka
395,Fußboden::N,pod,pol
396,Tisch::N,stol,mosa
397,Tisch::N,trpeza,mosa
398,Stuhl::N,stolac,o'rindiq
399,Stuhl::N,stolica,o'rindiq
400,Wiege::N,kolijevka,beshik
401,Bett::N,krevet,yotoq
402,Bett::N,postelja,yotoq
403,Regal::N,polica,tokcha
404,Kiste::N,sanduk,sandiq
405,Fenster::N,prozor,deraza
406,Tür::N,vrata,äshik
407,Tor::N,vrata,darvoza
408,Tor::N,kapija,darvoza
409,Zaun::N,plot,panjara
410,Zaun::N,ograda,panjara
411,Dach::N,krov,tom
412,Leiter::N,ljestve,narvon
413,Leiter::N,ljestvice,narvon
414,Besen::N,metla,supurgi
415,Spaten::N,ašov,bel
416,Schaufel::N,lopata,kurak
417,Gabel::N,viljuška,bilka
418,Löffel::N,žlica,qoshiq
419,Messer::N,nož,pichoq
420,Nagel::N,čavao,mix
421,Netz::N,mreža,to'r
422,Haken::N,kuka,ilgak
423,Griff::N,držak,sop
424,Griff::N,držak,tutqich
425,Griff::N,ručica,sop
426,Griff::N,ručica,tutqich
427,Schloss::N,brava,qulf
428,Bild::N,slika,rasm
429,Figur::N,figura,shakl
430,Puppe::N,lutka,ko'g'irchoq
431,Beutel::N,kesa,to'rva
432,Bündel::N,snop,bog'lam
433,Bündel::N,svežanj,bog'lam
434,Tasche::N,torba,kissa
435,Tasche::N,taška,kissa
436,Eimer::N,kabao,chelak
437,Deckel::N,poklopac,qopqoq
438,Geschirr::N,suđe,idish
439,Geschirr::N,posuđe,idish
440,Sack::N,džak,qop
441,Sack::N,vreća,qop
442,Tasse::N,šalica,piyola
443,Topf::N,lonac,tuvak
444,Kessel::N,kazan,qozon
445,Essen::N,obrok,tomoq
446,Nahrung::N,hrana,emak
447,Speise::N,jelo,taom
448,Fleisch::N,meso,go'sht
449,Getreide::N,žito,g'alla
450,Getreide::N,žitarice,g'alla
451,Brei::N,kaša,bo'tqa
452,Brot::N,kruh,non
453,Scheibe::N,kriška,disk
454,Fett::N,mast,moy
455,Fett::N,salo,moy
456,Butter::N,buter,yog'
457,Butter::N,maslac,yog'
458,Öl::N,ulje,moy
459,Salz::N,sol,tuz
460,Suppe::N,supa,sho'rva
461,Honig::N,med,asal
462,Milch::N,mlijeko,sut
463,Tee::N,čaj,choy
464,Leder::N,koža,charm
465,Wolle::N,vuna,jun
466,Stoff::N,štof,mato
467,Stoff::N,tkanina,mato
468,Nadel::N,igla,igna
469,Faden::N,nit,ip
470,Faden::N,konac,ip
471,Knopf::N,dugme,tugma
472,Knoten::N,čvor,tugun
473,Knoten::N,uzao,tugun
474,Farbe::N,farba,bo'yok
475,Kleidung::N,odjeća,kiyim
476,Hemd::N,košulja,ko'ylak
477,Kragen::N,ovratnik,yoqa
478,Ärmel::N,rukav,yeng
479,Hose::N,hlače,shim
480,Gürtel::N,pas,tasma
481,Gürtel::N,pojas,tasma
482,Mütze::N,kapa,shapka
483,Schuh::N,cipela,but
484,Stiefel::N,čizma,botinka
485,Ring::N,prsten,yuzuk
486,Band::N,vrpca,rishta
487,Kamm::N,češalj,taroq
488,Spiegel::N,zrcalo,ko'zgu
489,Spiegel::N,ogledalo,ko'zgu
490,Riemen::N,kaiš,qayish
491,Riemen::N,remen,qayish
492,Schnur::N,vrpca,bog'ich
493,Leine::N,uzica,etak
494,Decke::N,ćebe,odyol
495,Decke::N,pokrivač,odyol
496,Kissen::N,jastuk,yostiq
497,Tuch::N,rubac,gazlama
498,Tuch::N,marama,gazlama
499,Handtuch::N,ručnik,sochiq
500,Kraft::N,snaga,kuch
501,Stärke::N,jakost,quvvat
502,Gesundheit::N,zdravlje,sog'lik
503,Krankheit::N,bolest,kasallik
504,Schmerz::N,bol,og'riq
505,Wunde::N,rana,yara
506,Fieber::N,groznica,bezgak
507,Arznei::N,lijek,dori
508,Brücke::N,most,ko'prik
509,Brücke::N,ćuprija,ko'prik
510,Brunnen::N,bunar,buloq
511,Brunnen::N,zdenac,buloq
512,Weide::N,paša,yaylov
513,Weide::N,pašnjak,yaylov
514,Pfad::N,staza,dorojka
515,Weg::N,put,yo'l
516,Straße::N,drum,ko'cha
517,Straße::N,cesta,ko'cha
518,Dorf::N,selo,ovul
519,Stadt::N,grad,shahar
520,Stadt::N,varoš,shahar
521,Brief::N,list,maktub
522,Brief::N,pismo,maktub
523,Buch::N,knjiga,kitob
524,Buchstabe::N,slovo,harf
525,Zeitung::N,novine,gazet
526,Leben::N,život,hayot
527,Tod::N,smrt,o'lim
528,Grab::N,raka,go'r
529,Kirche::N,crkva,cherkov
530,Sünde::N,grijeh,gunoh
531,Gott::N,bog,olloh
532,Arbeiter::N,radnik,ishchi
533,Chef::N,šef,rais
534,Meister::N,majstor,usta
535,Arzt::N,liječnik,hakim
536,Lehrer::N,učitelj,muallim
537,Geld::N,novac,pul
538,Geschäft::N,posao,savdo
539,Geschäft::N,trgovina,savdo
540,Laden::N,dućan,do'kon
541,Preis::N,cijena,baho
542,Ware::N,roba,mol
543,Nutzen::N,korist,foyda
544,Reichtum::N,bogatstvo,boylik
545,Welt::N,svijet,olam
546,Land::N,zemlja,o'lka
547,Staat::N,država,davlat
548,König::N,kralj,qirol
549,Macht::N,moć,iqtidor
550,Macht::N,vlast,iqtidor
551,Grenze::N,granica,chegara
552,Krieg::N,rat,harb
553,Feind::N,neprijatelj,dushman
554,Gewalt::N,sila,zo'rlik
555,Gewalt::N,nasilje,zo'rlik
556,Kampf::N,boj,kurash
557,Kampf::N,borba,kurash
558,Bogen[Waffe]::N,luk,yoy
559,Pfeil::N,strijela,o'q
560,Gewehr::N,puška,vintovka
561,Fehler::N,pogreška,xato
562,Fehler::N,griješka,xato
563,Lüge::N,laž,yolg'on
564,Schaden::N,šteta,ziyon
565,Unglück::N,nesreća,balo
566,Schuld::N,krivnja,ayb
567,Alter::N,dob,yosh
568,Schluss::N,kraj,tamom
569,Schluss::N,konac,tamom
570,Zeit::N,doba,vaqt
571,Zeit::N,vrijeme,vaqt
572,Tag::N,dan,kun
573,Morgen::N,jutro,saboh
574,Mittag::N,podne,kun tushlik
575,Abend::N,veče,oqshom
576,Abend::N,večer,oqshom
577,Nacht::N,noć,tun
578,Woche::N,sedmica,hafta
579,Monat::N,mjesec,oy
580,Jahr::N,godina,yil
581,Frühling::N,proljeće,bahor
582,Sommer::N,ljeto,yoz
583,Herbst::N,jesen,kuz
584,Herbst::N,jesen,xazon
585,Winter::N,zima,qish
586,Januar::N,januar,yanvar'
587,Januar::N,siječanj,yanvar'
588,Februar::N,veljača,fevral'
589,Februar::N,februar,fevral'
590,März::N,mart,mart
591,März::N,ožujak,mart
592,April::N,april,aprel'
593,April::N,travanj,aprel'
594,Mai::N,maj,may
595,Mai::N,svibanj,may
596,Juni::N,juni,iyun'
597,Juni::N,lipanj,iyun'
598,Juli::N,juli,iyul'
599,Juli::N,srpanj,iyul'
600,August::N,august,avgust
601,August::N,kolovoz,avgust
602,September::N,rujan,sentyabr'
603,September::N,septembar,sentyabr'
604,Oktober::N,oktobar,oktyabr'
605,Oktober::N,listopad,oktyabr'
606,November::N,studeni,noyabr'
607,November::N,novembar,noyabr'
608,Dezember::N,prosinac,dekabr'
609,Montag::N,ponedjeljak,dushanba
610,Montag::N,ponedjeljnik,dushanba
611,Dienstag::N,utorak,seshanba
612,Dienstag::N,utornik,seshanba
613,Mittwoch::N,srijeda,chorshanba
614,Donnerstag::N,četvrtak,payshanba
615,Freitag::N,petak,juma
616,Samstag::N,subota,shanba
617,Sonntag::N,nedjelja,yakshanba
618,groß::A,velik,buyuk
619,klein::A,mali,kichik
620,klein::A,malen,kichik
621,lang::A,dug,uzun
622,lang::A,dugačak,uzun
623,kurz::A,kratak,qisqa
624,breit::A,širok,keng
625,schmal::A,uski,änsiz
626,schmal::A,uzak,änsiz
627,dicht::A,gust,quyuq
628,dick[Gegenstand]::A,debeo,qalin
629,dünn::A,tanak,ingichka
630,fein::A,fin,mayin
631,fein::A,tanak,mayin
632,fest::A,čvrst,qattiq
633,flach::A,ravan,yalpoq
634,flach::A,plosnat,yalpoq
635,glatt::A,gladak,tekis
636,hart::A,tvrd,qattiq
637,weich::A,mek,yumshoq
638,weich::A,mekan,yumshoq
639,rund::A,okrugao,yumaloq
640,spitz::A,oštar,uchli
641,spitz::A,šiljast,uchli
642,scharf::A,oštar,keskir
643,scharf::A,bridak,keskir
644,stumpf::A,tup,to'mtoq
645,schwer::A,težak,salmoqli
646,schön::A,krasan,go'zal
647,heiß::A,vruć,qiziq
648,warm::A,topao,issiq
649,kalt::A,hladan,sovuq
650,kühl::A,hladan,salqin
651,frisch::A,svjež,toza
652,feucht::A,vlažan,namli
653,nass::A,mokar,nam
654,trocken::A,suh,quruq
655,voll::A,pun,to'la
656,leer::A,prazan,puch
657,offen::A,otvoren,ochiq
658,geschlossen::A,zatvoren,berk
659,sauber::A,čist,ozoda
660,schmutzig::A,nečist,kir
661,schmutzig::A,blatan,kir
662,roh::A,sirov,xom
663,reif::A,zreo,pishiq
664,lecker::A,tečan,shirin
665,lecker::A,ukusan,shirin
666,süß::A,sladak,shirin
667,bitter::A,gorak,achchiq
668,sauer::A,kiseo,achchiq
669,hell::A,vedar,yorug'
670,hell::A,svijetao,yorug'
671,dunkel::A,taman,qorong'i
672,schwarz::A,crn,qora
673,weiß::A,bio,oq
674,weiß::A,bijel,oq
675,rot::A,crven,qizil
676,gelb::A,žut,sariq
677,blau::A,plav,zangori
678,blau::A,modar,zangori
679,grün::A,zelen,yashil
680,grau::A,siv,bo'z
681,bunt::A,šaren,ola
682,billig::A,jeftin,arzon
683,teuer::A,skup,qimmat
684,wertvoll::A,vrijedan,qimmat
685,wertvoll::A,dragocjen,qimmat
686,blind::A,slijep,ko'r
687,taub::A,gluh,garang
688,kräftig::A,snažan,kuchli
689,stark::A,jak,quvvatli
690,stark::A,snažan,quvvatli
691,schwach::A,slab,kuchsiz
692,fett::A,pretio,semiz
693,schlank::A,vitak,ingichka
694,hübsch::A,zgodan,ko'rkam
695,böse::A,zao,yovuz
696,böse::A,opak,yovuz
697,dumm::A,glup,aqlsiz
698,faul::A,lijen,ärinchak
699,fleißig::A,radin,ishchan
700,fleißig::A,marljiv,ishchan
701,geizig::A,škrt,qurumsoq
702,klug::A,razborit,oqil
703,geschickt::A,vješt,äpchil
704,lieb::A,drag,aziz
705,lustig::A,veseo,chaqchaq
706,sanft::A,blag,asta
707,hungrig::A,gladan,och
708,krank::A,bolestan,kasal
709,nackt::A,nag,yalang
710,traurig::A,tužan,xafa
711,traurig::A,žalostan,xafa
712,lebendig::A,živ,hayotiy
713,gut::A,dobar,soz
714,schlecht::A,loš,yomon
715,schlecht::A,rđav,yomon
716,richtig::A,tačan,rost
717,richtig::A,ispravan,rost
718,schlimm::A,zao,yovuz
719,schlimm::A,zločest,yovuz
720,wahr::A,istinit,haqiqiy
721,alt::A,star,äski
722,neu::A,nov,yangi
723,ehemalig::A,bivši,sobiq
724,alt[Lebewesen]::A,star,qari
725,jung::A,mlad,navqiron
726,arm::A,ubog,abgor
727,arm::A,siromašan,abgor
728,reich::A,bogat,boy
729,bekannt::A,poznat,ma'lum
730,berühmt::A,čuven,mashhur
731,berühmt::A,slavan,mashhur
732,fremd::A,tuđ,yot
733,fremd::A,stran,yot
734,verschieden::A,razan,turli
735,verschieden::A,različan,turli
736,nah::A,blizak,yaqindagi
737,fern::A,dalek,uzoq
738,fern::A,daljnji,uzoq
739,linker::A,lijevi,so'l
740,rechter::A,desni,o'ng
741,anderer::A,drugi,boshqa
742,anderer::A,drugačiji,boshqa
743,erster::A,prvi,birinchi
744,zweiter::A,drugi,ikkinchi
745,dritter::A,treći,uchinchi
746,letzter::A,zadnji,oxirgi
747,allein::ADV,sam,o'zicha
748,auf einmal::ADV,istodobno,varakay
749,zusammen::ADV,skupa,barobar
750,zusammen::ADV,zajedno,barobar
751,lange::ADV,dugo,uzoq
752,plötzlich::ADV,naglo,qo'qqisdan
753,plötzlich::ADV,iznenada,qo'qqisdan
754,sofort::ADV,odmah,darrov
755,später::ADV,kasnije,so'ngra
756,jetzt::ADV,sad,hozirgina
757,jetzt::ADV,sada,hozirgina
758,heute::ADV,danas,bugun
759,morgen::ADV,sutra,ärta
760,bald::ADV,skoro,toz
761,bald::ADV,doskora,toz
762,dann::ADV,zatim,keyin
763,gestern::ADV,juče,kecha
764,gestern::ADV,jučer,kecha
765,einst::ADV,negda,avvallari
766,einst::ADV,nekada,avvallari
767,damals::ADV,tada,ugal
768,damals::ADV,onda,ugal
769,danach::ADV,poslije,so'ngra
770,danach::ADV,nakon toga,so'ngra
771,vorher::ADV,prije,avval
772,vorher::ADV,prije toga,avval
773,zuerst::ADV,prvo,avval
774,zuerst::ADV,najprije,avval
775,einmal::ADV,jednom,bir marta
776,einmal::ADV,jedanput,bir marta
777,manchmal::ADV,katkad,onda-sonda
778,manchmal::ADV,katkada,onda-sonda
779,oft::ADV,često,tez-tez
780,immer::ADV,vazda,har vaqt
781,immer::ADV,uvijek,har vaqt
782,niemals::ADV,nikad,hargiz
783,niemals::ADV,nikada,hargiz
784,hier::ADV,tu,shu erda
785,hier::ADV,ovdje,shu erda
786,hierhin::ADV,amo,beri
787,hierhin::ADV,ovamo,beri
788,von hier::ADV,odavde,shu erdan
789,dort::ADV,ondje,ana
790,dorthin::ADV,onamo,u yerga
791,geradeaus::ADV,ravno,to'g'ri
792,vorwärts::ADV,naprijed,ilgari
793,rückwärts::ADV,natrag,qoloq
794,zurück::ADV,nazad,orqada
795,zurück::ADV,natrag,orqada
796,unten::ADV,dolje,pastda
797,hinab::ADV,nizbrdo,tubanga
798,oben::ADV,gore,ustida
799,hinauf::ADV,uzbrdo,yuqorida
800,überall::ADV,svuda,har erda
801,überall::ADV,svagdje,har erda
802,nicht::ADV,ne,ämas
803,ein wenig::ADV,malo,biroz
804,kaum::ADV,tek,arang
805,kaum::ADV,jedva,arang
806,sehr::ADV,jako,ancha
807,sehr::ADV,veoma,ancha
808,so::ADV,tako,shunday
809,so::ADV,ovako,shunday
810,noch::ADV,još,hali
811,nur::ADV,samo,yolg'iz
812,schon::ADV,već,endi
813,wieder::ADV,opet,yana
814,wieder::ADV,ponovo,yana
815,vergebens::ADV,uzalud,bekorga
816,vergebens::ADV,zabadava,bekorga
