,Concept_ID,fr,kv
99,Moor::N,tourbière,нюр
100,Wiese::N,pré,видз
101,Wald::N,bois,вӧр
102,Wald::N,forêt,вӧр
103,Hügel::N,coteau,мыльк
104,Hügel::N,colline,мыльк
105,Anhöhe::N,éminence,вывтас
106,Anhöhe::N,éminence,вылынін
107,Anhöhe::N,élévation,вывтас
108,Anhöhe::N,élévation,вылынін
109,Berg::N,mont,керӧс
110,Berg::N,montagne,керӧс
111,Gipfel::N,cime,йыв
112,Gipfel::N,sommet,йыв
113,Höhle::N,caverne,нора
114,Abhang::N,pente,покат
115,Abhang::N,versant,покат
116,Quelle::N,source,больган
117,Quelle::N,fontaine,больган
118,Bach::N,ruisseau,шор
119,Fluss::N,fleuve,ю
120,Fluss::N,rivière,ю
121,Ufer::N,bord,берег
122,Ufer::N,rivage,берег
123,Küste::N,côte,берег
124,Festland::N,terre ferme,му
125,Meer::N,mer,море
126,Bucht::N,baie,курья
127,Insel::N,île,
128,Blume::N,fleur,цветок
129,Gras::N,herbe,турун
130,Wurzel::N,racine,вуж
131,Baum::N,arbre,пу
132,Stamm::N,tronc,мыр
133,Stamm::N,tronc,кер
134,Rinde::N,écorce,кач
135,Ast::N,branche,ув
136,Zweig::N,rameau,ув
137,Blatt::N,feuille,лист
138,Birke::N,bouleau,кыдз
139,Kiefer[Baum]::N,pin,пожум
140,Weide[Baum]::N,saule,бадь
141,Tanne::N,sapin,кӧз
142,Horn::N,corne,сюр
143,Feder::N,plume,гӧн
144,Fell::N,peau,кучик
145,Flügel::N,aile,борд
146,Klaue::N,serre,гыж
147,Kralle::N,ongle,кабыр
148,Kralle::N,griffe,кабыр
149,Schwanz::N,queue,бӧж
150,Ei::N,œuf,кольть
151,Nest::N,nid,поз
152,Bau::N,terrier,осьта
153,Bau::N,terrier,нора
154,Tier::N,animal,зверь
155,Herde::N,troupeau,гурт
156,Kuh::N,vache,мӧс
157,Bulle::N,taureau,ӧшка
158,Pferd::N,cheval,вӧв
159,Schaf::N,mouton,баля
160,Schwein::N,porc,порсь
161,Schwein::N,cochon,порсь
162,Hund::N,chien,пон
163,Katze::N,chat,кань
164,Bär::N,ours,ош
165,Eichhörnchen::N,écureuil,ур
166,Elch::N,élan,вӧр мӧс
167,Fuchs::N,renard,руч
168,Hase::N,lièvre,кӧч
169,Maus::N,souris,шыр
170,Wolf::N,loup,кӧин
171,Vogel::N,oiseau,кай
172,Schwarm::N,nuée,стая
173,Schwarm::N,nuée,чукӧр
174,Schwarm::N,volée,стая
175,Schwarm::N,volée,чукӧр
176,Huhn::N,poule,курӧг
177,Hahn::N,coq,петух
178,Hahn::N,coq,ай курӧг
179,Gans::N,oie,дзодзог
180,Adler::N,aigle,куч
181,Adler::N,aigle,кутш
182,Ente::N,canard,утка
183,Eule::N,hibou,тупка
184,Kranich::N,grue,тури
185,Krähe::N,corneille,рака
186,Kuckuck::N,coucou,кӧк
187,Schwan::N,cygne,юсь
188,Fisch::N,poisson,чери
189,Barsch::N,perche,ёкыш
190,Hecht::N,brochet,сирпинь
191,Schlange[Tier]::N,serpent,змей
192,Wurm::N,ver,номыр
193,Spinne::N,araignée,черань
194,Ameise::N,fourmi,кӧдзывкар
195,Laus::N,pou,ляпа той
196,Mücke::N,moucheron,ном
197,Fliege::N,mouche,гут
198,Schmetterling::N,papillon,бабыв
199,Beere::N,baie,ягӧд
200,Apfel::N,pomme,яблоко
201,Pilz::N,champignon,тшак
202,Zwiebel::N,oignon,грез
203,Saat::N,semence,кӧдзыс
204,Korn::N,grain,сю
205,Heu::N,foin,турун
206,Schale::N,pelure,кыш
207,Schale::N,pelure,киль
208,Grube::N,fosse,яма
209,Falle::N,piège,нальк
210,Falle::N,piège,кляпча
211,Schlinge::N,lacs,лӧч
212,Spur::N,trace,туй
213,Asche::N,cendre,пӧим
214,Dreck::N,crotte,нять
215,Eisen::N,fer,кӧрт
216,Gold::N,or,зарни
217,Silber::N,argent,язісь
218,Kohle::N,charbon,шом
219,Kohle::N,charbon,уголь
220,Glas::N,verre,стекло
221,Lehm::N,glaise,сёй
222,Sand::N,sable,лыа
223,Mensch::N,homme,морт
224,Mann::N,homme,мужик
225,Frau::N,femme,инька
226,Kind::N,enfant,кага
227,Junge::N,garçon,зонка
228,Mädchen::N,fille,нывкаок
229,Mädchen::N,jeune fille,нывкаок
230,Familie::N,famille,семья
231,Großvater::N,grand-père,дед
232,Großmutter::N,grand-mère,баб
233,Eltern::N,parents,ай-мам
234,Vater::N,père,ай
235,Mutter::N,mère,мам
236,Sohn::N,fils,зон
237,Tochter::N,fille,ныв
238,Bruder::N,frère,вон
239,Schwester::N,sœur,сой
240,Onkel::N,oncle,дядь
241,Tante::N,tante,айӧлӧн сой
242,Tante::N,tante,ичинь
243,Ehemann::N,mari,жӧник
244,Ehemann::N,époux,жӧник
245,Ehefrau::N,femme,инь
246,Ehefrau::N,épouse,инь
247,Freude::N,joie,гаж
248,Freude::N,joie,радъялӧм
249,Freude::N,plaisir,гаж
250,Freude::N,plaisir,радъялӧм
251,Gelächter::N,rires,сералӧм
252,Glück::N,bonheur,мичлун
253,Kummer::N,peine,шог
254,Kummer::N,chagrin,шог
255,Wunsch::N,désir,мӧдӧм
256,Wunsch::N,désir,охотитӧм
257,Lust::N,envie,охота
258,Geist::N,esprit,лов
259,Gedanke::N,idée,дума
260,Gedanke::N,pensée,дума
261,Gedächtnis::N,mémoire,тӧдвыв
262,Verstand::N,raison,вежӧр
263,Sinn::N,sens,ылӧс
264,Grund::N,cause,мог
265,Grund::N,raison,мог
266,Wahrheit::N,vérité,правда
267,Gespräch::N,conversation,сёрни
268,Märchen::N,conte,сказка
269,Märchen::N,conte de fées,сказка
270,Erzählung::N,conte,висьт
271,Erzählung::N,narration,висьт
272,Nachricht::N,message,юӧр
273,Nachricht::N,message,висьталӧм
274,Neuigkeit::N,nouvelle,новость
275,Name::N,nom,ним
276,Rätsel::N,énigme,загадка
277,Rätsel::N,devinette,загадка
278,Rede::N,parole,сёрни
279,Rede::N,discours,сёрни
280,Sprache::N,langue,кыв
281,Sprache::N,langage,кыв
282,Stimme::N,voix,голос
283,Wort::N,mot,кыв
284,Zeichen::N,signe,пас
285,Ruf::N,cri,чуксӧм
286,Ruf::N,cri,чукӧстӧм
287,Ruf::N,appel,чуксӧм
288,Ruf::N,appel,чукӧстӧм
289,Lärm::N,bruit,шум
290,Laut::N,son,шы
291,Ton::N,ton,гор
292,Lied::N,chant,сьыланкыв
293,Lied::N,chanson,сьыланкыв
294,Ruhe::N,calme,спокой
295,Ruhe::N,tranquillité,спокой
296,Leute::N,gens,йӧз
297,Volk::N,peuple,йӧз
298,Volk::N,peuple,народ
299,Arbeit::N,travail,удж
300,Gast::N,hôte,гӧсь
301,Gast::N,invité,гӧсь
302,Geschenk::N,cadeau,гӧснеч
303,Geschenk::N,cadeau,подарок
304,Geschenk::N,présent,гӧснеч
305,Geschenk::N,présent,подарок
306,Spiel::N,jeu,орсӧм
307,Gesellschaft::N,compagnie,компания
308,Hilfe::N,aide,отсӧт
309,Hilfe::N,secours,отсӧт
310,Freund::N,ami,модз
311,Freund::N,ami,дружок
312,Kamerad::N,copain,тӧдса
313,Kamerad::N,camarade,тӧдса
314,Angelegenheit::N,affaire,дело
315,Anzahl::N,nombre,лыд
316,Art::N,sorte,пӧлӧс
317,Art::N,espèce,пӧлӧс
318,Stück::N,morceau,тор
319,Teil::N,part,юкӧм
320,Teil::N,partie,юкӧм
321,Hälfte::N,moitié,джын
322,Kreis::N,cercle,круг
323,Kreuz::N,croix,перна
324,Linie::N,ligne,визь
325,Strich::N,trait,кырӧв
326,Abstand::N,écart,колас
327,Entfernung::N,distance,ылына
328,Gegend::N,région,места
329,Gegend::N,contrée,места
330,Platz::N,place,места
331,Ort::N,lieu,места
332,Ort::N,endroit,места
333,Seite::N,côté,ладор
334,Mitte::N,milieu,шӧр
335,Gegenstand::N,objet,тор
336,Sache::N,chose,тор
337,Rand::N,bord,дор
338,Kante::N,arête,ордлы
339,Ecke::N,coin,пельӧс
340,Ecke::N,tournant,пельӧс
341,Spitze::N,cime,йыв
342,Spitze::N,pointe,йыв
343,Ende::N,bout,йыв
344,Loch::N,trou,осьта
345,Winkel::N,coin,пельӧс
346,Winkel::N,réduit,пельӧс
347,Muster::N,dessin,сер
348,Größe::N,grandeur,ыжда
349,Länge::N,longueur,кузя
350,Höhe::N,hauteur,сувда
351,Höhe::N,hauteur,вылына
352,Höhe::N,altitude,сувда
353,Höhe::N,altitude,вылына
354,Gewicht::N,poids,сьӧкта
355,Menge::N,quantité,
356,Haufen::N,tas,куча
357,Reihe::N,file,лёдз
358,Reihe::N,rangée,лёдз
359,Boot::N,canot,пыж
360,Boot::N,bateau,пыж
361,Ruder::N,rame,пелыс
362,Ruder::N,aviron,пелыс
363,Schlitten::N,traîneau,додь
364,Ski::N,ski,лямпа
365,Lagerfeuer::N,feu de camp,бипур
366,Last::N,charge,тягота
367,Last::N,fardeau,тягота
368,Gang::N,tour,мунӧм
369,Gang::N,marche,мунӧм
370,Schritt::N,pas,вожмӧв
371,Norden::N,nord,ой
372,Süden::N,sud,лун
373,Westen::N,ouest,рытвыв
374,Westen::N,occident,рытвыв
375,Osten::N,est,асыв
376,Osten::N,orient,асыв
377,Holz::N,bois,пу
378,Brett::N,planche,пӧв
379,Platte::N,plaque,плита
380,Stütze::N,appui,пика
381,Stütze::N,soutien,пика
382,Stange::N,barre,зор
383,Stange::N,barre,потш
384,Stange::N,perche,зор
385,Stange::N,perche,потш
386,Stock::N,canne,бедь
387,Stab::N,bâton,шест
388,Rohr::N,tube,труба
389,Rohr::N,tuyau,труба
390,Haus::N,maison,керку
391,Heim::N,maison,керку
392,Ofen::N,poêle,пӧжавны
393,Fußboden::N,plancher,джодж
394,Tisch::N,table,пызан
395,Stuhl::N,chaise,стул
396,Wiege::N,berceau,зыбка
397,Bett::N,lit,кровать
398,Regal::N,étagère,джадж
399,Kiste::N,caisse,ящик
400,Fenster::N,fenêtre,ӧшын
401,Tür::N,porte,ыбӧс
402,Tor::N,porte,ворота
403,Tor::N,portail,ворота
404,Zaun::N,clôture,забор
405,Dach::N,toit,крыша
406,Leiter::N,échelle,лиснич
407,Besen::N,balai,рос
408,Spaten::N,bêche,зыр
409,Schaufel::N,pelle,зыр
410,Gabel::N,fourchette,вила
411,Löffel::N,cuiller,пань
412,Messer::N,couteau,пурт
413,Nagel::N,clou,кӧрттув
414,Netz::N,filet,кыйӧт
415,Haken::N,croc,ем
416,Haken::N,crochet,ем
417,Griff::N,prise,пу
418,Griff::N,manche,пу
419,Schloss::N,serrure,замок
420,Bild::N,image,картина
421,Bild::N,tableau,картина
422,Figur::N,figure,мыгӧр
423,Puppe::N,poupée,акань
424,Beutel::N,sac,мешӧк
425,Beutel::N,petit sac,мешӧк
426,Bündel::N,paquet,нин
427,Bündel::N,faisceau,нин
428,Tasche::N,sac,сумка
429,Eimer::N,seau,ведра
430,Deckel::N,couvercle,вевт
431,Geschirr::N,vaisselle,доз
432,Geschirr::N,vaisselle,бекӧрпань
433,Sack::N,sac,мешӧк
434,Tasse::N,tasse,бекӧр
435,Topf::N,pot,кастрюля
436,Topf::N,marmite,кастрюля
437,Kessel::N,chaudron,пӧрт
438,Essen::N,repas,сёйӧм
439,Essen::N,manger,сёйӧм
440,Nahrung::N,nourriture,вердан
441,Speise::N,plat,сёян
442,Fleisch::N,viande,яй
443,Getreide::N,blé,сю
444,Getreide::N,céréales,сю
445,Brei::N,purée,каша
446,Brei::N,bouillie,каша
447,Brot::N,pain,нянь
448,Scheibe::N,tranche,шӧрӧм
449,Fett::N,graisse,гос
450,Butter::N,beurre,ви
451,Öl::N,huile,ви
452,Salz::N,sel,сов
453,Suppe::N,soupe,шыд
454,Suppe::N,potage,шыд
455,Honig::N,miel,ма
456,Milch::N,lait,йӧв
457,Tee::N,thé,чай
458,Leder::N,cuir,кучик
459,Wolle::N,laine,гӧн
460,Stoff::N,tissu,дӧра
461,Stoff::N,étoffe,дӧра
462,Nadel::N,aiguille,ем
463,Faden::N,fil,сунис
464,Knopf::N,bouton,кизь
465,Knoten::N,nœud,узӧв
466,Knoten::N,nœud,гӧрӧд
467,Farbe::N,peinture,краска
468,Kleidung::N,vêtements,паськӧм
469,Kleidung::N,habillement,паськӧм
470,Hemd::N,chemise,йӧрнӧс
471,Kragen::N,col,воротник
472,Ärmel::N,manche,сос
473,Hose::N,pantalon,вешьян
474,Gürtel::N,ceinture,йи
475,Mütze::N,bonnet,шапка
476,Mütze::N,casquette,шапка
477,Schuh::N,soulier,ботинки
478,Schuh::N,chaussure,ботинки
479,Stiefel::N,botte,сапог
480,Ring::N,bague,чунькытш
481,Band::N,ruban,ленточка
482,Kamm::N,peigne,сынан
483,Spiegel::N,glace,зеркало
484,Spiegel::N,miroir,зеркало
485,Riemen::N,lanière,ремень
486,Riemen::N,courroie,ремень
487,Schnur::N,corde,гез
488,Schnur::N,ficelle,гез
489,Leine::N,laisse,повод
490,Decke::N,couverture,одеяло
491,Kissen::N,oreiller,подушка
492,Tuch::N,drap,чышьян
493,Tuch::N,fichu,чышьян
494,Handtuch::N,serviette,чышкӧт
495,Handtuch::N,essuie-mains,чышкӧт
496,Kraft::N,force,прак
497,Stärke::N,vigueur,вын
498,Gesundheit::N,santé,здоровье
499,Krankheit::N,maladie,шог
500,Schmerz::N,douleur,зубыт
501,Wunde::N,plaie,рана
502,Wunde::N,blessure,рана
503,Fieber::N,fièvre,лёк тресся
504,Fieber::N,fièvre,кынтан шогӧт
505,Arznei::N,remède,лекарство
506,Arznei::N,médecine,лекарство
507,Brücke::N,pont,пос
508,Brunnen::N,puits,колодец 
509,Weide::N,pâturage,пода йирсян
510,Pfad::N,sentier,туй
511,Weg::N,voie,туй
512,Weg::N,chemin,туй
513,Straße::N,route,туй
514,Dorf::N,village,деревня
515,Stadt::N,cité,город
516,Stadt::N,ville,город
517,Brief::N,lettre,гижӧт
518,Buch::N,livre,книга
519,Buchstabe::N,lettre,буква
520,Buchstabe::N,caractère,буква
521,Zeitung::N,journal,газета
522,Leben::N,vie,олан
523,Tod::N,mort,кулӧм
524,Grab::N,tombe,гу
525,Kirche::N,église,вичку
526,Sünde::N,péché,грек
527,Gott::N,dieu,ен
528,Arbeiter::N,ouvrier,уджалiсь
529,Arbeiter::N,travailleur,уджалiсь
530,Chef::N,chef,начальник
531,Chef::N,patron,начальник
532,Meister::N,maître,мастер
533,Arzt::N,médecin,врач
534,Lehrer::N,professeur,велӧтісь
535,Lehrer::N,instituteur,велӧтісь
536,Geld::N,argent,деньга
537,Geschäft::N,affaire,удж
538,Geschäft::N,commerce,удж
539,Laden::N,magasin,магазин
540,Laden::N,boutique,магазин
541,Preis::N,prix,дон
542,Ware::N,marchandise,товар
543,Nutzen::N,profit,путь
544,Reichtum::N,richesse,богатство
545,Welt::N,monde,му
546,Land::N,pays,страна
547,Staat::N,État,государство
548,König::N,roi,кан
549,Macht::N,pouvoir,власть
550,Macht::N,puissance,власть
551,Grenze::N,frontière,граница
552,Krieg::N,guerre,война
553,Feind::N,ennemi,враг
554,Gewalt::N,violence,
555,Kampf::N,lutte,нярасьӧм
556,Kampf::N,lutte,вермасьӧм
557,Kampf::N,combat,нярасьӧм
558,Kampf::N,combat,вермасьӧм
559,Bogen[Waffe]::N,arc,лук
560,Pfeil::N,flèche,ньӧв
561,Gewehr::N,fusil,ружьё
562,Fehler::N,faute,ошибка
563,Fehler::N,erreur,ошибка
564,Lüge::N,mensonge,ылӧтӧм
565,Lüge::N,mensonge,пӧрьялӧм
566,Schaden::N,dégât,лёк
567,Schaden::N,dommage,лёк
568,Unglück::N,malheur,пик
569,Unglück::N,malheur,оказзё
570,Schuld::N,faute,вина
571,Schuld::N,culpabilité,вина
572,Alter::N,âge,
573,Schluss::N,fin,ком
574,Zeit::N,temps,кад
575,Tag::N,jour,лун
576,Tag::N,journée,лун
577,Morgen::N,matin,асыв
578,Morgen::N,matinée,асыв
579,Mittag::N,midi,луншӧр кад
580,Abend::N,soir,рыт
581,Abend::N,soirée,рыт
582,Nacht::N,nuit,ой
583,Woche::N,semaine,неделя
584,Monat::N,mois,тӧлicь
585,Jahr::N,an,год
586,Jahr::N,année,год
587,Frühling::N,printemps,тулыс
588,Sommer::N,été,гожум
589,Herbst::N,automne,ар
590,Winter::N,hiver,тӧв
591,Januar::N,janvier,январ
592,Februar::N,février,февраль
593,März::N,mars,март
594,April::N,avril,апрель
595,Mai::N,mai,май
596,Juni::N,juin,юнь
597,Juli::N,juillet,юль
598,August::N,août,август
599,September::N,septembre,сентяб
600,Oktober::N,octobre,октяб
601,November::N,novembre,нояб
602,Dezember::N,décembre,декаб
603,Montag::N,lundi,вильлун
604,Dienstag::N,mardi,мӧдӧдзлун
605,Mittwoch::N,mercredi,шӧрлун
606,Donnerstag::N,jeudi,нёльӧдзлун
607,Freitag::N,vendredi,витӧдзлун
608,Samstag::N,samedi,пывсянлун
609,Sonntag::N,dimanche,кресення
610,groß::A,grand,ыджыт
611,klein::A,petit,учӧтик
612,lang::A,long,кузь
613,kurz::A,court,дженыт
614,breit::A,large,ота
615,schmal::A,étroit,векнит
616,dicht::A,dense,тшӧк
617,dick[Gegenstand]::A,épais,кыз
618,dünn::A,mince,вӧснит
619,fein::A,fin,вӧснит
620,fein::A,menu,вӧснит
621,fest::A,ferme,крепыт
622,fest::A,solide,крепыт
623,flach::A,plat,лапкӧса
624,glatt::A,poli,волькыт
625,glatt::A,lisse,волькыт
626,hart::A,dur,чӧрыт
627,weich::A,mou,небыт
628,rund::A,rond,гӧгрӧса
629,spitz::A,aigu,ёся
630,spitz::A,pointu,ёся
631,scharf::A,tranchant,лэчыт
632,stumpf::A,mousse,ныж
633,stumpf::A,émoussé,ныж
634,schwer::A,lourd,сьӧкыт
635,schwer::A,pesant,сьӧкыт
636,schön::A,beau,басӧк
637,heiß::A,chaud,жар
638,heiß::A,très chaud,жар
639,warm::A,chaud,шоныт
640,kalt::A,froid,кӧдзыт
641,kühl::A,frais,сайкыт
642,frisch::A,frais,виль
643,feucht::A,humide,вакодь
644,nass::A,mouillé,ва
645,trocken::A,sec,кӧс
646,voll::A,plein,тыра
647,voll::A,rempli,тыра
648,leer::A,vide,тыртӧм
649,offen::A,ouvert,оссьӧм
650,geschlossen::A,clos,игана
651,geschlossen::A,clos,пӧдана
652,geschlossen::A,fermé,игана
653,geschlossen::A,fermé,пӧдана
654,sauber::A,net,сӧдз
655,sauber::A,net,сӧстӧм
656,sauber::A,propre,сӧдз
657,sauber::A,propre,сӧстӧм
658,schmutzig::A,sale,нятьӧсь
659,schmutzig::A,crasseux,нятьӧсь
660,roh::A,cru,путӧм
661,roh::A,brut,путӧм
662,reif::A,mûr,кисьмалӧм
663,lecker::A,délicieux,кӧра 
664,lecker::A,appétissant,кӧра 
665,süß::A,doux,чӧскыт
666,bitter::A,amer,курыт
667,sauer::A,aigre,шӧма 
668,hell::A,clair,югыт
669,dunkel::A,sombre,пемыт
670,schwarz::A,noir,сьӧд
671,weiß::A,blanc,чочком
672,rot::A,rouge,гӧрд
673,gelb::A,jaune,веж
674,blau::A,bleu,лӧз
675,grün::A,vert,веж
676,grau::A,gris,руд
677,grau::A,gris,бусӧй
678,bunt::A,multicolore,быдрӧма
679,billig::A,bon marché,донтӧм
680,teuer::A,cher,дона
681,wertvoll::A,précieux,дона
682,blind::A,aveugle,синтӧм
683,taub::A,sourd,пельтӧм
684,kräftig::A,fort,вына
685,kräftig::A,vigoureux,вына
686,stark::A,fort,вына
687,stark::A,puissant,вына
688,schwach::A,faible,некодя
689,fett::A,gras,госа
690,schlank::A,svelte,статя
691,hübsch::A,joli,басӧк
692,böse::A,mauvais,лёк
693,dumm::A,sot,бӧбӧв
694,dumm::A,sot,вежӧртӧм
695,dumm::A,bête,бӧбӧв
696,dumm::A,bête,вежӧртӧм
697,faul::A,fainéant,дыш
698,faul::A,paresseux,дыш
699,fleißig::A,appliqué,уджалicь
700,geizig::A,avare,жикмӧра
701,geizig::A,avare,горшаліcь
702,klug::A,intelligent,авья
703,klug::A,intelligent,вежӧра
704,geschickt::A,habile,кипода
705,lieb::A,cher,муса
706,lieb::A,cher,дзулиньӧй
707,lieb::A,gentil,муса
708,lieb::A,gentil,дзулиньӧй
709,lustig::A,gai,гажа
710,lustig::A,joyeux,гажа
711,sanft::A,doux,лебезнӧй
712,hungrig::A,affamé,тшыг
713,krank::A,malade,шогалiсь
714,nackt::A,nu,куш
715,traurig::A,triste,жугыль
716,lebendig::A,vivant,ловья
717,gut::A,bon,бур
718,schlecht::A,mauvais,умӧль
719,richtig::A,juste,
720,richtig::A,correct,
721,schlimm::A,grave,нештӧм
722,schlimm::A,mauvais,нештӧм
723,wahr::A,vrai,
724,wahr::A,véritable,
725,alt::A,vieux,важ
726,neu::A,neuf,виль
727,neu::A,nouveau,виль
728,ehemalig::A,ancien,вӧвлӧм
729,alt[Lebewesen]::A,âgé,года
730,alt[Lebewesen]::A,âgé,годдэза
731,alt[Lebewesen]::A,vieux,года
732,alt[Lebewesen]::A,vieux,годдэза
733,jung::A,jeune,том
734,arm::A,pauvre,гов
735,arm::A,pauvre,беднӧй
736,reich::A,riche,эма
737,bekannt::A,connu,тӧдса
738,berühmt::A,fameux,
739,berühmt::A,célèbre,
740,fremd::A,étranger,чужӧй
741,verschieden::A,différent,быдкодь
742,nah::A,lié,матiсь
743,nah::A,proche,матiсь
744,fern::A,éloigné,ылicь
745,fern::A,lointain,ылicь
746,linker::A,gauche,шульга
747,rechter::A,droit,веськытланись
748,anderer::A,autre,мукӧд
749,erster::A,premier,медодзза
750,zweiter::A,second,кыкӧт
751,zweiter::A,deuxième,кыкӧт
752,dritter::A,troisième,куимӧт
753,dritter::A,troisième,куимӧдз
754,letzter::A,dernier,бӧрья
755,letzter::A,dernier,мёдбӧрья
756,allein::ADV,seul,
757,auf einmal::ADV,à la fois,тшӧтш
758,zusammen::ADV,ensemble,ӧтлаын
759,lange::ADV,longtemps,дыр
760,plötzlich::ADV,tout à coup,друг
761,sofort::ADV,immédiatement,тшӧтш
762,später::ADV,plus tard,медбӧрын
763,jetzt::ADV,maintenant,ӧні
764,heute::ADV,aujourd'hui,талун
765,morgen::ADV,demain,ашын
766,bald::ADV,bientôt,чожа
767,dann::ADV,puis,сыбӧрын
768,dann::ADV,ensuite,сыбӧрын
769,gestern::ADV,hier,тӧн
770,einst::ADV,jadis,ӧтпыр
771,einst::ADV,autrefois,ӧтпыр
772,damals::ADV,alors,сэк
773,damals::ADV,alors,сэки
774,damals::ADV,à l'époque,сэк
775,damals::ADV,à l'époque,сэки
776,danach::ADV,après,сэсся
777,danach::ADV,ensuite,сэсся
778,vorher::ADV,auparavant,одзжык
779,zuerst::ADV,d'abord,наперво
780,zuerst::ADV,premièrement,наперво
781,einmal::ADV,une fois,ӧтпыр
782,manchmal::ADV,parfois,мукӧдпыр
783,manchmal::ADV,quelquefois,мукӧдпыр
784,oft::ADV,souvent,-лы-
785,immer::ADV,toujours,быдпыр
786,immer::ADV,toujours,быдпырся
787,niemals::ADV,ne ... jamais,некӧр
788,hier::ADV,ici,татӧн
789,hierhin::ADV,par ici,татчӧ
790,von hier::ADV,d'ici,тасянь
791,dort::ADV,là,сэтӧн
792,dort::ADV,là-bas,сэтӧн
793,dorthin::ADV,y,сэтчин
794,dorthin::ADV,par là,сэтчин
795,geradeaus::ADV,tout droit,веськыта
796,vorwärts::ADV,en avant,одзӧ
797,rückwärts::ADV,en arrière,бӧр
798,zurück::ADV,de retour,бӧр
799,unten::ADV,en bas,увтын
800,unten::ADV,au-dessous,увтын
801,hinab::ADV,en bas,увтас
802,hinab::ADV,vers le bas,увтас
803,oben::ADV,dessus,вевдӧрас
804,oben::ADV,en haut,вевдӧрас
805,hinauf::ADV,en haut,вывлань
806,hinauf::ADV,en haut,вывланьӧ
807,hinauf::ADV,vers le haut,вывлань
808,hinauf::ADV,vers le haut,вывланьӧ
809,überall::ADV,partout,быдлан
810,nicht::ADV,ne ... pas,ог
811,ein wenig::ADV,un peu,-ышт
812,ein wenig::ADV,un peu,невна
813,kaum::ADV,à peine,ӧдва
814,sehr::ADV,très,вывтi
815,so::ADV,si,сiдз
816,so::ADV,ainsi,сiдз
817,noch::ADV,encore,эшӧ
818,nur::ADV,seulement,только
819,nur::ADV,ne ... que,только
