,Concept_ID,cy,sk
432,Gabel::N,fforc,vidlička
433,Löffel::N,llwy,lyžica
434,Messer::N,cyllell,nôž
435,Nagel::N,hoel,klinec
436,Netz::N,gwe,sieť
437,Netz::N,rhwyd,sieť
438,Haken::N,bach,hák
439,Haken::N,bach,háčik
440,Griff::N,carn,rukoväť
441,Schloss::N,clo,zámka
442,Bild::N,llun,obraz
443,Bild::N,pictiwr,obraz
444,Figur::N,ffigur,figúra
445,Puppe::N,dol,bábka
446,Puppe::N,dol,bábika
447,Beutel::N,cwd,vrece
448,Beutel::N,cwd,vrecko
449,Bündel::N,bwndel,uzlík
450,Bündel::N,bwndel,zväzok
451,Bündel::N,coflaid,uzlík
452,Bündel::N,coflaid,zväzok
453,Tasche::N,cod,taška
454,Tasche::N,cod,kabelka
455,Eimer::N,bwced,vedro
456,Eimer::N,cunnog,vedro
457,Deckel::N,caead,vrchnák
458,Deckel::N,caead,pokrývka
459,Geschirr::N,llestri,nádoba
460,Sack::N,sach,mech
461,Sack::N,sach,vrece
462,Tasse::N,cwpan,šálka
463,Topf::N,pot,hrniec
464,Topf::N,crochan,hrniec
465,Kessel::N,tegell,kotol
466,Essen::N,pryd o fwyd,jedlo
467,Nahrung::N,bwyd,strava
468,Nahrung::N,bwyd,potrava
469,Speise::N,saig,jedlo
470,Fleisch::N,cig,mäso
471,Getreide::N,ŷd,obilie
472,Getreide::N,llafur,obilie
473,Brei::N,uwd,kaša
474,Brot::N,bara,chlieb
475,Scheibe::N,tafell,kotúč
476,Scheibe::N,tafell,krajec
477,Fett::N,saim,tuk
478,Fett::N,saim,masť
479,Fett::N,braster,tuk
480,Fett::N,braster,masť
481,Butter::N,ymenyn,maslo
482,Öl::N,olew,olej
483,Salz::N,halen,soľ
484,Suppe::N,cawl,polievka
485,Honig::N,mêl,med
486,Milch::N,llaeth,mlieko
487,Milch::N,llefrith,mlieko
488,Tee::N,te,čaj
489,Leder::N,lledr,koža
490,Wolle::N,gwlân,vlna
491,Stoff::N,lliain,súkno
492,Stoff::N,brethyn,súkno
493,Nadel::N,nodwydd,ihla
494,Faden::N,edau,niť
495,Faden::N,edau,vlákno
496,Faden::N,edefyn,niť
497,Faden::N,edefyn,vlákno
498,Knopf::N,botwm,gombík
499,Knoten::N,cwlwm,uzol
500,Farbe::N,paent,farba
501,Kleidung::N,dillad,šaty
502,Kleidung::N,dillad,šatstvo
503,Kleidung::N,gwisgoedd,šaty
504,Kleidung::N,gwisgoedd,šatstvo
505,Hemd::N,crys,košeľa
506,Kragen::N,coler,golier
507,Ärmel::N,llawes,rukáv
508,Hose::N,trowsus,nohavice
509,Gürtel::N,gwregys,pás
510,Gürtel::N,gwregys,opasok
511,Mütze::N,cap,čiapka
512,Schuh::N,esgid,obuv
513,Schuh::N,esgid,topánka
514,Stiefel::N,botasen,čižma
515,Ring::N,modrwy,prsteň
516,Band::N,rhuban,stuha
517,Kamm::N,crib,hrebeň
518,Spiegel::N,drych,zrkadlo
519,Riemen::N,strap,remeň
