,Concept_ID,da,fa
135,Baum::N,træ,درخت
136,Stamm::N,stamme,تنه
137,Rinde::N,bark,توژ
138,Rinde::N,bark,پوست
139,Ast::N,gren,شاخه
140,Zweig::N,kvist,شاخه
141,Blatt::N,blad,برگ
142,Birke::N,birk,غان
143,Kiefer[Baum]::N,fyrretræ,کاج
144,Weide[Baum]::N,piletræ,بید
145,Tanne::N,gran,صنوبر
146,Horn::N,horn,شاخ
147,Feder::N,fjer,پر
148,Fell::N,skind,خز
149,Flügel::N,vinge,پر
150,Flügel::N,vinge,بال
151,Klaue::N,klov,چنگ
152,Klaue::N,klov,پنجه
153,Kralle::N,klo,پنجه
154,Schwanz::N,hale,دم
155,Ei::N,æg,تخم
156,Nest::N,rede,لانه
157,Bau::N,bo,بنا
158,Bau::N,bo,ساختمان
159,Tier::N,dyr,هیوان
160,Herde::N,flok,رمه
161,Kuh::N,ko,گاو
162,Bulle::N,tyr,گاو نر
163,Pferd::N,hest,اسب
164,Schaf::N,får,گوسفند
165,Schwein::N,gris,خوک
166,Hund::N,hund,سگ
167,Katze::N,kat,گربه
168,Bär::N,bjørn,خرس
169,Eichhörnchen::N,egern,سنجاب
170,Elch::N,elg,گوزن شمالی
171,Fuchs::N,ræv,روباه
172,Hase::N,hare,خرگوش
173,Maus::N,mus,موش
174,Wolf::N,ulv,گرگ
175,Vogel::N,fugl,پرنده
176,Schwarm::N,sværm,دسته
177,Huhn::N,høne,مرغ
178,Hahn::N,hane,خروس
179,Gans::N,gås,غاز
180,Adler::N,ørn,عقاب
181,Ente::N,and,اردک
182,Ente::N,and,مرغابی
183,Eule::N,ugle,جغد
184,Kranich::N,trane,درنا
185,Krähe::N,krage,زاغ
186,Krähe::N,krage,کلاغ
187,Kuckuck::N,gøg,فاخته
188,Schwan::N,svane,قو
189,Fisch::N,fisk,ماهی
190,Barsch::N,aborre,ماهی خاردار
191,Hecht::N,gedde,اردک ماهی
192,Schlange[Tier]::N,slange,مار
193,Wurm::N,orm,کرم
194,Spinne::N,edderkop,عنکبوت
195,Ameise::N,myre,مورچه
196,Laus::N,lus,شپش
197,Mücke::N,myg,پشه
198,Fliege::N,flue,مگس
199,Schmetterling::N,sommerfugl,پروانه
200,Beere::N,bær,گیله
201,Apfel::N,æble,سیب
202,Pilz::N,svamp,قارچ
203,Zwiebel::N,løg,پیاز
204,Saat::N,sæd,بذر
205,Korn::N,korn,تخم
206,Korn::N,korn,دانه
207,Heu::N,hø,علف خشک
208,Schale::N,skræl,پوست
209,Grube::N,grav,گودال
210,Falle::N,fælde,دام
211,Schlinge::N,snare,حلقه
212,Spur::N,spor,رد
213,Asche::N,aske,خاکستر
214,Dreck::N,snavs,کثافت
215,Eisen::N,jern,آهن
216,Gold::N,guld,زر
217,Gold::N,guld,طلا
218,Silber::N,sølv,نقره
219,Kohle::N,kul,زغال
220,Glas::N,glas,شیشه
221,Lehm::N,ler,گل
222,Sand::N,sand,شن
223,Sand::N,sand,ماسه
224,Mensch::N,mennesge,آدم
225,Mensch::N,mennesge,انسان
226,Mann::N,mand,مرد
227,Frau::N,kvinde,زن
228,Kind::N,barn,بچه
229,Kind::N,barn,کودک
230,Junge::N,dreng,پسر
231,Mädchen::N,pige,دختر
232,Familie::N,familie,فامیل
233,Familie::N,familie,خانواده
234,Großvater::N,bedstefar,پدربزرگ
235,Großmutter::N,bedstemor,مادر‌بزرگ
236,Eltern::N,forældre,والدین
237,Eltern::N,forældre,پدر‌و‌مادر
238,Vater::N,far,پدر
239,Mutter::N,mor,مادر
240,Sohn::N,søn,پسر
241,Tochter::N,datter,دختر
242,Bruder::N,bror,برادر
243,Schwester::N,søster,خواهر
244,Onkel::N,onkel,عمو
245,Onkel::N,onkel,دایی
246,Tante::N,tante,عمه
247,Tante::N,tante,خاله
248,Ehemann::N,ægtemand,همسر
249,Ehefrau::N,hustru,همسر
250,Freude::N,glæde,شادی
251,Gelächter::N,latter,خنده
252,Gelächter::N,latter,قاه‌قاه
253,Glück::N,lykke,اقبال
254,Kummer::N,sorg,غم
255,Kummer::N,sorg,غصه
256,Wunsch::N,ønske,آرزو
257,Lust::N,lyst,هوس
258,Geist::N,ånd,روح
259,Gedanke::N,tanke,فکر
260,Gedächtnis::N,hukommelse,حافظه
261,Verstand::N,forstand,هوش
262,Sinn::N,mening,معنا
263,Sinn::N,mening,مفهوم
264,Sinn::N,betydning,معنا
265,Sinn::N,betydning,مفهوم
266,Grund::N,grund,سبب
267,Grund::N,grund,دلیل
268,Wahrheit::N,sandhed,حقیقت
269,Gespräch::N,samtale,صحبت
270,Gespräch::N,samtale,گفتگو
271,Märchen::N,eventyr,قصه
272,Märchen::N,eventyr,افسانه
273,Erzählung::N,fortælling,داستان
274,Nachricht::N,efterretning,خبر
275,Neuigkeit::N,nyhed,خبر تازه
276,Name::N,navn,اسم
277,Rätsel::N,gåde,معما
278,Rede::N,tale,سخن
279,Sprache::N,sprog,زبان
280,Stimme::N,stemme,صدا
281,Wort::N,ord,کلمه
282,Zeichen::N,tegn,نشان
283,Zeichen::N,tegn,علامت
284,Ruf::N,råb,صدا
285,Lärm::N,larm,هیاهو
286,Laut::N,lyd,صدا
287,Ton::N,tone,آهنگ
288,Lied::N,sang,آواز
289,Lied::N,sang,ترانه
290,Ruhe::N,ro,آرامش
291,Ruhe::N,hvile,آرامش
292,Leute::N,folk,مردم
293,Leute::N,mennesker,مردم
294,Volk::N,folk,خلق
295,Arbeit::N,arbejde,کار
296,Gast::N,gæst,مهمان
297,Geschenk::N,gave,هدیه
298,Spiel::N,leg,بازی
299,Gesellschaft::N,selskab,جمعیت
300,Hilfe::N,hjælp,کمک
301,Freund::N,ven,دوست
302,Kamerad::N,kammerat,رفیق
303,Angelegenheit::N,sag,امر
304,Angelegenheit::N,sag,قضیه
305,Angelegenheit::N,anliggende,امر
306,Angelegenheit::N,anliggende,قضیه
307,Anzahl::N,antal,عده
308,Anzahl::N,antal,شمار
309,Art::N,art,نوع
310,Stück::N,stykke,تکه
311,Stück::N,stykke,قطعه
312,Teil::N,del,بخش
313,Teil::N,del,قسمت
314,Hälfte::N,halvdel,نیم
315,Kreis::N,cirkel,حلقه
316,Kreis::N,cirkel,دایره
317,Kreuz::N,kors,صلیب
318,Kreuz::N,kryds,صلیب
319,Linie::N,linie,خط
320,Linie::N,linie,سطر
321,Strich::N,streg,خط
322,Abstand::N,afstand,فاصله
323,Entfernung::N,afstand,مسافت
324,Gegend::N,egn,منطقه
325,Platz::N,plads,گنجایش
326,Ort::N,sted,جا
327,Ort::N,sted,محل
328,Ort::N,sted,مکان
329,Seite::N,side,طرف
330,Mitte::N,midte,وسط
331,Mitte::N,midte,میان
332,Gegenstand::N,genstand,چیز
333,Sache::N,sag,چیز
334,Rand::N,rand,کنار
335,Rand::N,rand,حاشیه
336,Kante::N,kant,لبه
337,Ecke::N,hjørne,گوشه
338,Spitze::N,spids,سر
339,Spitze::N,spids,نوک
340,Ende::N,ende,ته
341,Ende::N,ende,آخر
342,Loch::N,hul,سوراخ
343,Winkel::N,vinkel,کنج
344,Muster::N,mønster,نقش
345,Größe::N,størrelse,قد
346,Größe::N,størrelse,بزرگی
347,Länge::N,længde,طول
348,Höhe::N,højde,بلندی
349,Gewicht::N,vægt,وزن
350,Menge::N,mængde,مقدار
351,Menge::N,mængde,اندازه
352,Haufen::N,bunke,توده
353,Reihe::N,række,ردیف
354,Boot::N,båd,قایق
355,Ruder::N,åre,پارو
356,Schlitten::N,kælk,سورتمه
357,Schlitten::N,slæde,سورتمه
358,Ski::N,ski,اسکی
359,Lagerfeuer::N,lejrbål,آتش
360,Last::N,last,بار
361,Last::N,last,سنگینی
362,Last::N,byrde,بار
363,Last::N,byrde,سنگینی
364,Gang::N,gang,راه رفتن
365,Schritt::N,skridt,قدم
366,Norden::N,nord,شمال
367,Süden::N,syd,جنوب
368,Westen::N,vest,غرب
369,Osten::N,øst,شرق
370,Holz::N,træ,چوب
371,Brett::N,bræt,تخته
372,Platte::N,plade,صفحه
373,Stütze::N,støtte,تکیه
374,Stange::N,stang,میله
375,Stock::N,stok,چوب
376,Stab::N,stav,عصا
377,Rohr::N,rør,لوله
378,Haus::N,hus,منزل
379,Heim::N,hjem,خانه
380,Heim::N,hjem,کاشانه
381,Ofen::N,ovn,بخاری
382,Fußboden::N,gulv,کف اتاق
383,Tisch::N,bord,میز
384,Stuhl::N,stol,صندلی
385,Wiege::N,vugge,گهواره
386,Bett::N,seng,تختخواب
387,Regal::N,reol,قفسه
388,Kiste::N,kasse,صندوق
389,Fenster::N,vindue,پنجره
390,Tür::N,dør,در
391,Tür::N,dør,درب
392,Tor::N,port,دروازه
393,Zaun::N,stakit,حصار
394,Dach::N,tag,بام
395,Leiter::N,stige,نردبان
396,Besen::N,kost,جارو
397,Spaten::N,spade,بیل
398,Schaufel::N,skovl,بیل
399,Schaufel::N,skovl,پارو
400,Gabel::N,gaffel,چنگال
401,Löffel::N,ske,قاشق
402,Messer::N,kniv,کارد
403,Nagel::N,søm,میخ
404,Netz::N,net,تور
405,Netz::N,net,شبکه
406,Haken::N,krog,قلاب
407,Griff::N,tag,دسته
408,Griff::N,håndtag,دسته
409,Schloss::N,lås,قفل
410,Bild::N,billede,عکس
411,Bild::N,billede,تصویر
412,Figur::N,figur,تندیس
413,Puppe::N,dukke,عروسک
414,Beutel::N,pose,کیسه
415,Bündel::N,bylt,بسته
416,Bündel::N,bundt,بسته
417,Tasche::N,taske,کیف
418,Eimer::N,spand,سطل
419,Deckel::N,låg,در
420,Geschirr::N,husgeråd,ظرف
421,Sack::N,sæk,گونی
422,Tasse::N,kop,فنجان
423,Topf::N,gryde,دیگ
424,Topf::N,gryde,قابلمه
425,Kessel::N,kedel,دیگ
426,Essen::N,måltid,خوراک
427,Nahrung::N,mad,غذا
428,Nahrung::N,næring,غذا
429,Speise::N,ret,خوراک
430,Fleisch::N,kød,گوشت
431,Getreide::N,korn,غله
432,Brei::N,grød,فرنی
433,Brei::N,grød,حریره
434,Brot::N,brød,نان
435,Scheibe::N,skive,قاچ
436,Scheibe::N,skive,لزگه
437,Fett::N,fedt,چربی
438,Butter::N,smør,کره
439,Öl::N,olie,روغن
440,Salz::N,salt,نمک
441,Suppe::N,suppe,آش
442,Suppe::N,suppe,سوپ
443,Honig::N,honning,عسل
444,Milch::N,mælk,شیر
445,Tee::N,te,چای
446,Leder::N,skind,چرم
447,Wolle::N,uld,پشم
448,Stoff::N,stof,پارچه
449,Nadel::N,nål,سوزن
450,Faden::N,tråd,نخ
451,Knopf::N,knap,دکمه
452,Knoten::N,knude,گره
453,Farbe::N,farve,رنگ
454,Kleidung::N,påklædning,لباس
455,Kleidung::N,påklædning,پوشاک
456,Hemd::N,skjorte,پیراهن
457,Kragen::N,krave,یقه
458,Ärmel::N,ærme,آستین
459,Hose::N,bukser,شلوار
460,Gürtel::N,bælte,کمر‌بند
461,Mütze::N,hue,کلاه
462,Schuh::N,sko,کفش
463,Stiefel::N,støvle,چکمه
464,Ring::N,ring,حلقه
465,Ring::N,ring,انگشتر
466,Band::N,bånd,نوار
467,Band::N,bånd,روبان
468,Kamm::N,kam,شانه
469,Spiegel::N,spejl,آینه
470,Riemen::N,rem,تسمه
471,Schnur::N,snor,ریسمان
472,Leine::N,snor,قلاده
473,Decke::N,tæppe,پتو
474,Kissen::N,pude,بالش
475,Tuch::N,sjaltørklæde,شال
476,Handtuch::N,håndklæde,حوله
477,Kraft::N,kraft,نیرو
478,Stärke::N,styrke,زور
479,Gesundheit::N,sundhed,سلامتی
480,Gesundheit::N,sundhed,تندرستی
481,Krankheit::N,sygdom,بیماری
482,Schmerz::N,smerte,درد
483,Wunde::N,sår,زخم
484,Fieber::N,feber,تب
485,Arznei::N,medicin,دارو
486,Arznei::N,lægemiddel,دارو
487,Brücke::N,bro,پل
488,Brunnen::N,brønd,چاه
489,Weide::N,græsgang,چراگاه
490,Pfad::N,sti,راه
491,Weg::N,vej,راه
492,Weg::N,vej,طریق
493,Straße::N,gade,راه
494,Straße::N,gade,جاده
495,Dorf::N,landsby,ده
496,Dorf::N,landsby,روستا
497,Stadt::N,by,شهر
498,Brief::N,brev,نامه
499,Buch::N,bog,کتاب
500,Buchstabe::N,bogstav,حرف
501,Zeitung::N,avis,روزنامه
502,Leben::N,liv,عمر
503,Leben::N,liv,زندگی
504,Tod::N,død,مرگ
505,Grab::N,grav,گور
506,Grab::N,grav,مزار
507,Kirche::N,kirke,کلیسا
508,Sünde::N,synd,بزه
509,Sünde::N,synd,گناه
510,Gott::N,gud,خدا
511,Arbeiter::N,arbejder,کارگر
512,Chef::N,chef,رئیس
513,Meister::N,mester,استاد
514,Arzt::N,læge,پزشک
515,Lehrer::N,lærer,معلم
516,Lehrer::N,lærer,آموزگار
517,Geld::N,penge,پول
518,Geschäft::N,forretning,کار
519,Geschäft::N,forretning,بیزنس
520,Laden::N,butik,دکان
521,Laden::N,butik,مغازه
522,Laden::N,forretning,دکان
523,Laden::N,forretning,مغازه
524,Preis::N,pris,بها
525,Preis::N,pris,قیمت
526,Ware::N,vare,جنس
527,Ware::N,vare,کالا
528,Nutzen::N,nytte,مزیت
529,Nutzen::N,nytte,امتیاز
530,Reichtum::N,rigdom,مال
531,Reichtum::N,rigdom,ثروت
532,Welt::N,verden,دنیا
533,Land::N,land,کشور
534,Land::N,land,مملکت
535,Staat::N,stat,دولت
536,König::N,konge,شاه
537,König::N,konge,پادشاه
538,Macht::N,magt,قدرت
539,Macht::N,magt,اختیار
540,Grenze::N,grænse,مرز
541,Krieg::N,krig,جنگ
542,Feind::N,fjende,دشمن
543,Gewalt::N,vold,زور
544,Gewalt::N,vold,خشونت
545,Kampf::N,kamp,نبرد
546,Kampf::N,kamp,مبارزه
547,Bogen[Waffe]::N,bue,کمان
548,Pfeil::N,pil,تیر
549,Gewehr::N,gevær,تفنگ
550,Fehler::N,fejl,غلط
551,Fehler::N,fejl,اشتباه
552,Lüge::N,løgn,دروغ
553,Schaden::N,skade,آسیب
554,Schaden::N,skade,خسارت
555,Unglück::N,uheld,بلا
556,Unglück::N,ulykke,بلا
557,Schuld::N,skyld,گناه
558,Schuld::N,skyld,تقصیر
559,Alter::N,alder,سن
560,Alter::N,alder,عمر
561,Schluss::N,slut,انتها
562,Schluss::N,slutning,انتها
563,Zeit::N,tid,وقت
564,Zeit::N,tid,زمان
565,Tag::N,dag,روز
566,Morgen::N,morgen,صبح
567,Mittag::N,middag,ظهر
568,Abend::N,aften,شب
569,Abend::N,aften,عصر
570,Nacht::N,nat,شب
571,Woche::N,uge,هفته
572,Monat::N,måned,ماه
573,Jahr::N,år,سال
574,Frühling::N,forår,بهار
575,Sommer::N,sommer,تابستان
576,Herbst::N,efterår,پاییز
577,Winter::N,vinter,زمستان
578,Januar::N,januar,ژانویه
579,Februar::N,februar,فوریه
580,März::N,marts,مارس
581,April::N,april,آوریل
582,Mai::N,maj,مه
583,Juni::N,juni,ژوئن
584,Juli::N,juli,ژویه
585,August::N,august,اوت
586,September::N,september,سپتامبر
587,Oktober::N,oktober,اکتبر
588,November::N,november,نوامبر
589,Dezember::N,december,دسامبر
590,Montag::N,mandag,دو‌شنبه
591,Dienstag::N,tirsdag,سه‌شنبه
592,Mittwoch::N,onsdag,چهار‌شنبه
593,Donnerstag::N,torsdag,پنج شنبه
594,Freitag::N,fredag,جمعه
595,Samstag::N,lørdag,شنبه
596,Sonntag::N,søndag,یکشنبه
597,groß::A,stor,بزرگ
598,klein::A,lille,کوچک
599,lang::A,lang,بلند
600,kurz::A,kort,کوتاه
601,breit::A,bred,پهن
602,schmal::A,smal,تنگ
603,schmal::A,smal,نازک
604,dicht::A,tæt,چگال
605,dicht::A,tæt,انبوه
606,dick[Gegenstand]::A,tyk,ضخیم
607,dünn::A,tynd,نازک
608,fein::A,fin,ریز
609,fein::A,fin,باریک
610,fest::A,fast,محکم
611,flach::A,flad,صاف
612,flach::A,flad,مسطح
613,glatt::A,glat,لیز
614,hart::A,hård,سفت
615,weich::A,blød,نرم
616,weich::A,blød,ملایم
617,rund::A,rund,گرد
618,spitz::A,spids,تیز
619,spitz::A,spids,نوک‌تیز
620,scharf::A,skarp,تیز
621,scharf::A,skarp,برنده
622,stumpf::A,sløv,کند
623,stumpf::A,stump,کند
624,schwer::A,tung,سنگین
625,schön::A,skøn,زیبا
626,heiß::A,hed,داغ
627,warm::A,varm,گرم
628,kalt::A,kold,سرد
629,kühl::A,kølig,خنک
630,frisch::A,frisk,تازه
631,feucht::A,fugtig,مرطوب
632,nass::A,våd,تر
633,nass::A,våd,خیش
634,trocken::A,tør,خشک
635,voll::A,fuld,پر
636,leer::A,tom,خالی
637,offen::A,åben,باز
638,geschlossen::A,lukket,بسته
639,sauber::A,ren,پاک
640,sauber::A,ren,تمیز
641,schmutzig::A,snavset,کثیف
642,schmutzig::A,snavset,آلوده
643,roh::A,rå,خام
644,reif::A,moden,رسیده
645,lecker::A,lækker,لذیذ
646,lecker::A,lækker,خوشمزه
647,süß::A,sød,شیرین
648,bitter::A,bitter,تلخ
649,sauer::A,sur,ترش
650,hell::A,lys,روشن
651,dunkel::A,mørk,تاریک
652,schwarz::A,sort,سیاه
653,weiß::A,hvid,سفید
654,rot::A,rød,سرخ
655,rot::A,rød,قرمز
656,gelb::A,gul,زرد
657,blau::A,blå,آبی
658,grün::A,grøn,سبز
659,grau::A,grå,طوسی
660,grau::A,grå,خاکستری
661,bunt::A,broget,رنگارنگ
662,billig::A,billig,ارزان
663,teuer::A,dyr,گران
664,wertvoll::A,værdifuld,قیمتی
665,wertvoll::A,værdifuld,گرانبها
666,blind::A,blind,کور
667,blind::A,blind,نابینا
668,taub::A,døv,کر
669,taub::A,døv,ناشنوا
670,kräftig::A,kraftig,قوی
671,stark::A,stærk,قوی
672,stark::A,stærk,نیرومند
673,schwach::A,svag,ضعیف
674,fett::A,fed,چرب
675,schlank::A,slank,باریک‌اندام
676,hübsch::A,køn,قشنگ
677,hübsch::A,køn,خوشگل
678,böse::A,ond,بد
679,böse::A,slem,بد
680,dumm::A,dum,احمق
681,faul::A,doven,لش
682,faul::A,doven,تنبل
683,fleißig::A,flittig,زرنگ
684,geizig::A,gerrig,خسیس
685,klug::A,klog,عاقل
686,klug::A,klog,باهوش
687,geschickt::A,dygtig,ماهر
688,geschickt::A,behændig,ماهر
689,lieb::A,rar,عزیز
690,lustig::A,lystig,شاد
691,lustig::A,lystig,خوشحال
692,sanft::A,blid,لطیف
693,hungrig::A,sulten,گرسنه
694,krank::A,syg,مریض
695,krank::A,syg,بیمار
696,nackt::A,nøgen,لخت
697,nackt::A,nøgen,برهنه
698,traurig::A,bedrøvet,غمگین
699,lebendig::A,levende,زنده
700,gut::A,god,خوب
701,schlecht::A,dårlig,بد
702,richtig::A,rigtig,درست
703,schlimm::A,slem,وخيم
704,wahr::A,sand,درست
705,wahr::A,sand,حقیقی
706,alt::A,gammel,کهنه
707,neu::A,ny,نو
708,ehemalig::A,forhenværende,قبلی
709,alt[Lebewesen]::A,gammel,پیر
710,jung::A,ung,جوان
711,arm::A,fattig,فقیر
712,reich::A,rig,پولدار
713,reich::A,rig,ثروتمند
714,bekannt::A,kendt,آشنا
715,bekannt::A,kendt,معلوم
716,berühmt::A,berømt,مشهور
717,fremd::A,fremmed,خارجی
718,fremd::A,fremmed,بیگانه
719,verschieden::A,forskellig,مختلف
720,verschieden::A,forskellig,متفاوت
721,nah::A,nær,نزدیک
722,fern::A,fjern,دور
723,linker::A,venstre,چپ
724,rechter::A,højre,راست
725,anderer::A,anden,دیگر
726,erster::A,første,اول
727,zweiter::A,anden,دوم
728,dritter::A,tredje,سوم
729,letzter::A,sidste,آخر
730,allein::ADV,alene,تنها
731,auf einmal::ADV,på én gang,همزمان
732,zusammen::ADV,sammen,باهم
733,lange::ADV,længe,مدت‌ها
734,lange::ADV,længe,مدت زیادی
735,plötzlich::ADV,pludselig,ناگهان
736,sofort::ADV,straks,فوراً
737,später::ADV,senere,بعدها
738,jetzt::ADV,nu,حالا
739,jetzt::ADV,nu,اکنون
740,heute::ADV,i dag,امروز
741,morgen::ADV,i morgen,فردا
742,bald::ADV,snart,زود
743,bald::ADV,snart,بزودی
744,dann::ADV,så,سپس
745,dann::ADV,så,آنوقت
746,gestern::ADV,i går,دیروز
747,einst::ADV,engang,وقتی
748,einst::ADV,engang,زمانی
749,damals::ADV,dengang,آنوقت
750,damals::ADV,dengang,آنزمان
751,danach::ADV,derefter,بعد
752,vorher::ADV,før,قبلاً
753,vorher::ADV,forud,قبلاً
754,zuerst::ADV,først,اول
755,zuerst::ADV,først,ابتداء
756,einmal::ADV,en gang,یکدفعه
757,manchmal::ADV,sommetider,گاهی
758,manchmal::ADV,sommetider,بعضی اوقات
759,oft::ADV,ofte,اغلب
760,immer::ADV,altid,همیشه
761,niemals::ADV,aldrig,هرگز
762,hier::ADV,her,اینجا
763,hierhin::ADV,hid,به اینجا
764,hierhin::ADV,herhen,به اینجا
765,von hier::ADV,herfra,از اینجا
766,dort::ADV,der,آنجا
767,dorthin::ADV,derhen,به آنجا
768,geradeaus::ADV,lige ud,راست
769,vorwärts::ADV,fremad,جلو
770,vorwärts::ADV,fremad,به پیش
771,rückwärts::ADV,baglæns,عقب
772,zurück::ADV,tilbage,پس
773,zurück::ADV,tilbage,عقب
774,zurück::ADV,tilbage,بالعکس
775,unten::ADV,nede,زیر
776,unten::ADV,nede,پایین
777,unten::ADV,forneden,زیر
778,unten::ADV,forneden,پایین
779,hinab::ADV,ned,به پایین
780,hinab::ADV,nedad,به پایین
781,oben::ADV,oppe,بالا
782,oben::ADV,ovenpå,بالا
783,hinauf::ADV,op,به بالا
784,hinauf::ADV,opad,به بالا
785,überall::ADV,overalt,همه‌جا
786,nicht::ADV,ikke,نه
787,ein wenig::ADV,lidt,کمی
788,kaum::ADV,knap,به سختی
789,kaum::ADV,næppe,به سختی
790,sehr::ADV,meget,خیلی
791,sehr::ADV,meget,بسیار
792,so::ADV,så,چنین
793,so::ADV,så,اینطور
794,noch::ADV,endnu,هنوز
795,nur::ADV,kun,فقط
796,nur::ADV,kun,تنها
797,nur::ADV,bare,فقط
798,nur::ADV,bare,تنها
799,schon::ADV,alt,قبلاً
800,schon::ADV,alt,به این زودی
801,schon::ADV,allerede,قبلاً
802,schon::ADV,allerede,به این زودی
803,wieder::ADV,igen,باز
804,wieder::ADV,igen,دوباره
805,vergebens::ADV,forgæves,بیهوده
806,vor::PRP,foran,در جلوی
807,vor::PRP,uden for,در جلوی
808,hinter::PRP,bag,پشت
809,hinter::PRP,bagved,پشت
810,unter::PRP,under,تحت
811,durch::PRP,gennem,از وسط
812,durch::PRP,gennem,از ميان
813,durch::PRP,igennem,از وسط
814,durch::PRP,igennem,از ميان
815,neben::PRP,ved siden af,کنار
816,neben::PRP,ved siden af,پهلوی
817,zwischen::PRP,mellem,بین
818,zwischen::PRP,mellem,میان
819,wegen::PRP,på grund af,برای
820,wegen::PRP,på grund af,بخاطر
821,dies::PRN,dette,این
822,das::PRN,det,آن
823,alles::PRN,alt,تمام
824,alles::PRN,alt,همه‌چیر
825,ich::PRN,jeg,من
826,du::PRN,du,تو
827,er::PRN,han,او
828,wir::PRN,vi,ما
