,Concept_ID,te,tr
163,Bär::N,ఎలుగుబంటి,ayı
164,Eichhörnchen::N,ఉడుత,sincap
165,Elch::N,కణంజు,büyük kuzey geyiği
166,Fuchs::N,గుంటనక్క,tilki
167,Hase::N,కుందేలు,tavşan
168,Maus::N,చిట్టెలుక,fare
169,Maus::N,చిట్టెలుక,sıçan
170,Wolf::N,తోడేలు,kurt
171,Vogel::N,పక్షి,kuş
172,Schwarm::N,గుంపు,sürü
173,Huhn::N,కోడిపిల్ల,tavuk
174,Hahn::N,కోడివుంజు,horoz
175,Gans::N,ఆడుబాతు,kaz
176,Adler::N,గ్రద్ద,kartal
177,Adler::N,గ్రద్ద,karakuş
178,Ente::N,పాట్టిబాతు,ördek
179,Eule::N,గ్రుడ్లగూబ,baykuş
180,Kranich::N,కొంగ,turna
181,Krähe::N,కాకి,karga
182,Kuckuck::N,కోయల,guguk
183,Schwan::N,హంస,kuğu
184,Fisch::N,చేప,balık
185,Barsch::N,ఒకచేఁప,hani
186,Barsch::N,ఒకచేఁప,levrek
187,Hecht::N,గండుమీను,turnabalığı
188,Schlange[Tier]::N,పాము,yılan
189,Wurm::N,పురుగు,kurt
190,Wurm::N,పురుగు,solucan
191,Spinne::N,సాలె పురుగు,örümcek
192,Ameise::N,చీమ,karınca
193,Laus::N,పేను,bit
194,Mücke::N,చీకటీగ,sivrisinek
195,Fliege::N,ఈగ,sinek
196,Schmetterling::N,సీతాకోకచిలుక,kelebek
197,Beere::N,కాయ,tane
198,Apfel::N,ఆపిల్ పండు,elma
199,Pilz::N,కుక్కగొడుగు,mantar
200,Zwiebel::N,నీరుల్లి,soğan
201,Saat::N,విత్తనము,ekin
202,Korn::N,గింజ,tane
203,Heu::N,ఎండుగడ్డి,kuru ot
204,Schale::N,పొట్టు,kabuk
205,Grube::N,గొయ్యి,çukur
206,Falle::N,బోను,tuzak
207,Schlinge::N,ఉరి,ilmik
208,Spur::N,జాడ,iz
209,Asche::N,బూడిద,kül
210,Dreck::N,ముఱికి,pislik
211,Eisen::N,ఇనుము,demir
212,Gold::N,బంగారము,altın
213,Silber::N,వెండి,gümüş
214,Kohle::N,నేలబొగ్గు,kömür
215,Glas::N,గాజు,cam
216,Lehm::N,బంకమన్ను,balçık
217,Sand::N,ఇసుక,kum
218,Mensch::N,నరుడు,insan
219,Mann::N,పురుమడు,adam
220,Mann::N,పురుమడు,erkek
221,Frau::N,ఆడుది,bayan
222,Kind::N,బిడ్డ,çocuk
223,Junge::N,బాలుడు,erkek çocuk
224,Mädchen::N,బాలిక,kız
225,Familie::N,కుటుంబము,aile
226,Großvater::N,తాత,dede
227,Großvater::N,తాత,büyükbaba
228,Großmutter::N,అయ్యమ్మ,nine
229,Großmutter::N,అయ్యమ్మ,büyükanne
230,Eltern::N,తల్లితండ్రులు,ebeveyn
231,Eltern::N,తల్లితండ్రులు,ana baba
232,Vater::N,తండ్రి,ata
233,Vater::N,తండ్రి,baba
234,Mutter::N,తల్లి,ana
235,Mutter::N,తల్లి,anne
236,Sohn::N,కొడుకు,oğul
237,Tochter::N,కూతురు,kız
238,Tochter::N,కూతురు,kız evlât
239,Bruder::N,పోదరుడు,abi
240,Bruder::N,పోదరుడు,erkek kardeş
241,Schwester::N,సోదరి,abla
242,Schwester::N,సోదరి,kız kardeş
243,Onkel::N,మేనమామ,dayı
244,Tante::N,మేనత్త,hala
245,Tante::N,మేనత్త,teyze
246,Tante::N,పినతల్లి,hala
247,Tante::N,పినతల్లి,teyze
248,Ehemann::N,భర్త,koca
249,Ehefrau::N,భార్య,karı
250,Freude::N,సంతోషము,neşe
251,Freude::N,సంతోషము,sevinç
252,Gelächter::N,నవ్వు,gülme
253,Gelächter::N,నవ్వు,kahkaha
254,Glück::N,సంతోషము,mutluluk
255,Kummer::N,దుఃఖము,dert
256,Kummer::N,దుఃఖము,keder
257,Wunsch::N,కోరిక,arzu
258,Wunsch::N,కోరిక,istek
259,Lust::N,కోరిక,arzu
260,Lust::N,కోరిక,heves
261,Geist::N,ఆత్మ,tin
262,Gedanke::N,ఆలోచన,fikir
263,Gedanke::N,ఆలోచన,düşünce
264,Gedächtnis::N,జ్ఞాపకము,bellek
265,Verstand::N,మనస్సు,zekâ
266,Sinn::N,అర్థము,anlam
267,Grund::N,కారణము,sebep
268,Wahrheit::N,సత్యము,doğruluk
269,Wahrheit::N,సత్యము,gerçeklik
270,Gespräch::N,పంభాషణ,görüşme
271,Märchen::N,అద్భుతకథ,masal
272,Erzählung::N,కథ,öykü
273,Erzählung::N,కథ,hikâye
274,Nachricht::N,వార్త,haber
275,Neuigkeit::N,వార్త,haber
276,Name::N,పేరు,ad
277,Name::N,పేరు,isim
278,Rätsel::N,చిక్కు,bilmece
279,Rede::N,ఉపన్యాసము,söylev
280,Rede::N,ఉపన్యాసము,konuşma
281,Sprache::N,భాష,dil
282,Sprache::N,భాష,lisan
283,Stimme::N,కంరథ్సని,ses
284,Wort::N,మాట,kelime
285,Zeichen::N,గుర్తు,işaret
286,Ruf::N,పిలువు,çağırma
287,Lärm::N,సందడి,şamata
288,Lärm::N,సందడి,gürültü
289,Laut::N,ధ్వని,ses
290,Ton::N,స్వరము,ses
291,Lied::N,పాట,türkü
292,Ruhe::N,గాలిలేమి,sakinlik
293,Leute::N,జనులు,halk
294,Leute::N,జనులు,insanlar
295,Volk::N,జాతి,ulus
296,Volk::N,జాతి,millet
297,Arbeit::N,పని,iş
298,Arbeit::N,పని,çalışma
299,Gast::N,అతిధి,konuk
300,Gast::N,అతిధి,misafir
301,Geschenk::N,దానము,hediye
302,Geschenk::N,దానము,armağan
303,Spiel::N,ఆట,oyun
304,Gesellschaft::N,జట్టు,çevre
305,Gesellschaft::N,జట్టు,arkadaşlık
306,Hilfe::N,సాహాయ్యము,yardım
307,Freund::N,స్నేహితుడు,dost
308,Freund::N,స్నేహితుడు,arkadaş
309,Kamerad::N,చెలికాడు,arkadaş
310,Angelegenheit::N,విషయము,iş
311,Angelegenheit::N,విషయము,husus
312,Anzahl::N,లెక్క,sayı
313,Art::N,జాతి,çeşit
314,Stück::N,తునుక,tane
315,Stück::N,తునుక,parça
316,Teil::N,భాగము,kısım
317,Hälfte::N,సగము,yarı
318,Kreis::N,వృత్తము,daire
319,Kreuz::N,సిలువ,haç
320,Linie::N,గీత,hat
321,Linie::N,గీత,çizgi
322,Strich::N,గీత,çizgi
323,Abstand::N,సందు,aralık
324,Entfernung::N,దూరము,mesafe
325,Entfernung::N,దూరము,uzaklık
326,Gegend::N,విస్తీర్ణము,yöre
327,Platz::N,ఎడము,yer
328,Ort::N,స్థలము,yer
329,Seite::N,ప్రక్క,yan
330,Seite::N,ప్రక్క,taraf
331,Mitte::N,నడిమి,orta
332,Mitte::N,నడిమి,merkez
333,Gegenstand::N,పద్దు,şey
334,Sache::N,వస్తువు,iş
335,Sache::N,వస్తువు,şey
336,Rand::N,అంచు,kenar
337,Kante::N,అంచు,kenar
338,Ecke::N,మూల,köşe
339,Spitze::N,మొన,uç
340,Spitze::N,మొన,baş
341,Ende::N,కొన,uç
342,Loch::N,రంధ్రము,oyuk
343,Loch::N,రంధ్రము,delik
344,Winkel::N,కోణము,köşe
345,Muster::N,మాదిరి,örnek
346,Größe::N,పరిమాణము,büyüklük
347,Länge::N,పొడుగు,uzunluk
348,Höhe::N,పొడుగు,yükseklik
349,Gewicht::N,భారము,ağırlık
350,Menge::N,మొత్తము,miktar
351,Haufen::N,రాశి,küme
352,Haufen::N,రాశి,yığın
353,Reihe::N,వరుస,sıra
354,Boot::N,పడవ,kayık
355,Boot::N,పడవ,sandal
356,Ruder::N,అడక,kürek
357,Schlitten::N,సరవండ్లు,kızak
358,Ski::N,స్కీ,kayak
359,Lagerfeuer::N,నెగడు,kamp ateşi
360,Last::N,బరువు,yük
361,Gang::N,నడక,gidiş
362,Gang::N,నడక,yürüyüş
363,Schritt::N,అడుగు,adım
364,Norden::N,ఉత్తరదిక్కు,kuzey
365,Süden::N,దక్షిణము,güney
366,Westen::N,పడమర,batı
367,Osten::N,తూర్పు,doğu
368,Holz::N,కొయ్య,ağaç
369,Holz::N,కొయ్య,tahta
370,Brett::N,పలక,tahta
371,Platte::N,పలక,levha
372,Stütze::N,వాల్సేడ్లు,dayak
373,Stütze::N,వాల్సేడ్లు,destek
374,Stange::N,స్తంభము,çubuk
375,Stock::N,కఱ్ఱ,sopa
376,Stock::N,కఱ్ఱ,değnek
377,Stab::N,కఱ్ఱ,sırık
378,Stab::N,కఱ్ఱ,baston
379,Rohr::N,గొట్టము,boru
380,Haus::N,ఇల్లు,ev
381,Heim::N,స్వగృహము,ev
382,Heim::N,స్వగృహము,yurt
383,Ofen::N,పొయ్యి,soba
384,Fußboden::N,నేల,taban
385,Fußboden::N,నేల,döşeme
386,Tisch::N,మేజా,masa
387,Stuhl::N,కుర్చీ,iskemle
388,Stuhl::N,కుర్చీ,sandalye
389,Wiege::N,ఉయ్యాల,beşik
390,Bett::N,పడక,yatak
391,Bett::N,మంచం,yatak
392,Regal::N,అటక,raf
393,Kiste::N,వెట్టె,sandık
394,Fenster::N,కిటికి,pencere
395,Tür::N,ద్వారము,kapı
396,Tor::N,ద్వారము,kapı
397,Zaun::N,కంచె,çit
398,Dach::N,ఇంటివైకప్పు,dam
399,Dach::N,ఇంటివైకప్పు,çatı
400,Leiter::N,నిచ్చెన,merdiven
401,Besen::N,చీపురుకట్ట,süpürge
402,Spaten::N,పాఱ,bel
403,Schaufel::N,పాఱ,kürek
404,Gabel::N,ముండ్లగరిటె,çatal
405,Löffel::N,గరిటె,kaşık
406,Messer::N,కత్తి,bıçak
407,Nagel::N,మేకు,çivi
408,Netz::N,వల,ağ
409,Haken::N,కొక్కెము,çengel
410,Griff::N,పిడి,kulp
411,Griff::N,పిడి,tutamak
412,Schloss::N,తాళము,kilit
413,Bild::N,చిత్రము,imaj
414,Bild::N,చిత్రము,resim
415,Figur::N,రూపము,şekil
416,Figur::N,రూపము,heykel
417,Puppe::N,బొమ్మ,kukla
418,Beutel::N,సంచి,kese
419,Beutel::N,సంచి,torba
420,Bündel::N,మూట,deste
421,Tasche::N,సంచి,çanta
422,Eimer::N,చేద,kova
423,Deckel::N,మూత,kapak
424,Geschirr::N,వంటకాలు,kap kacak
425,Sack::N,గోనెసంచి,torba
426,Tasse::N,గిన్నె,fincan
427,Topf::N,కుండ,tencere
428,Kessel::N,నీరుకాచుపాత్ర,kazan
429,Essen::N,ఆహారము,yemek
430,Nahrung::N,ఆహారము,gıda
431,Nahrung::N,ఆహారము,besin
432,Speise::N,ఆహారము,yemek
433,Fleisch::N,మాంసము,et
434,Getreide::N,ధాన్యము,tahıl
435,Getreide::N,ధాన్యము,hububat
436,Brei::N,గుజ్జు,ezme
437,Brot::N,రొట్టె,ekmek
438,Scheibe::N,బద్ద,dilim
439,Fett::N,క్రొవ్వు,yağ
440,Butter::N,వెన్న,tereyağı
441,Öl::N,నూనె,yağ
442,Öl::N,నూనె,akar yağ
443,Salz::N,ఉప్పు,tuz
444,Suppe::N,చారు,çorba
445,Honig::N,తెనె,bal
446,Milch::N,పాలు,süt
447,Tee::N,తేనీరు,çay
448,Leder::N,బాగుచేసివతోలు,deri
449,Leder::N,బాగుచేసివతోలు,meşin
450,Wolle::N,ఉన్ని,yün
451,Stoff::N,బట్ట,kumaş
452,Nadel::N,సూది,iğne
453,Faden::N,దారము,tire
454,Faden::N,దారము,iplik
455,Knopf::N,బొత్తాము,düğme
456,Knoten::N,ముడి,düğüm
457,Farbe::N,రంగు,boya
458,Kleidung::N,బట్టలు,giyim
459,Hemd::N,చొక్కాయ,gömlek
460,Kragen::N,మాల,yaka
461,Ärmel::N,చొక్కాయచెయ్యి,yen
462,Ärmel::N,చొక్కాయచెయ్యి,elbise kolu
463,Hose::N,ఇజారు,pantolon
464,Gürtel::N,పటకా,kuşak
465,Mütze::N,టోపి,bere
466,Mütze::N,టోపి,kasket
467,Schuh::N,పాదరక్ష,kundura
468,Schuh::N,పాదరక్ష,ayakkabı
469,Stiefel::N,బూటు,çizme
470,Ring::N,ఉంగరము,yüzük
471,Band::N,నాడా,bağ
472,Band::N,నాడా,şerit
473,Kamm::N,దువ్వెన,tarak
474,Spiegel::N,అద్దము,ayna
475,Riemen::N,వాడా,kayış
476,Schnur::N,దారము,ip
477,Schnur::N,దారము,sicim
478,Leine::N,వారు,kayış
479,Decke::N,కంబళి,örtü
480,Decke::N,కంబళి,yorgan
481,Kissen::N,తలగడ,yastık
482,Tuch::N,బట్ట,bez
483,Handtuch::N,తువాలు,havlu
484,Kraft::N,బలము,güç
485,Kraft::N,బలము,kuvvet
486,Stärke::N,శక్తి,kuvvet
487,Gesundheit::N,ఆరోగ్యము,sağlık
488,Krankheit::N,రోగము,hastalık
489,Schmerz::N,నొప్పి,ağrı
490,Schmerz::N,నొప్పి,sancı
491,Wunde::N,గాయము,yara
492,Fieber::N,జ్వరము,ateş
493,Arznei::N,మందు,ilâç
494,Brücke::N,వంతెన,köprü
495,Brunnen::N,బావి,kuyu
496,Brunnen::N,బావి,çeşme
497,Brunnen::N,కూపము,kuyu
498,Brunnen::N,కూపము,çeşme
499,Brunnen::N,నుయ్యి,kuyu
500,Brunnen::N,నుయ్యి,çeşme
501,Weide::N,పచ్చికబయలు,otlak
502,Pfad::N,కాలిత్రోవ,patika
503,Pfad::N,కాలిత్రోవ,keçiyolu
504,Weg::N,మార్గము,yol
505,Straße::N,బాట,yol
506,Straße::N,బాట,cadde
507,Dorf::N,గ్రామము,köy
508,Stadt::N,పట్టణము,kent
509,Stadt::N,పట్టణము,şehir
510,Brief::N,జాబు,mektup
511,Buch::N,పుస్తకము,kitap
512,Buchstabe::N,అక్షరము,harf
513,Zeitung::N,వార్తాపత్రిక,gazete
514,Leben::N,ప్రాణము,hayat
515,Tod::N,మరణము,ölüm
516,Grab::N,సమాధి,kabir
517,Kirche::N,క్రెస్తవులగుడి,kilise
518,Sünde::N,పాపము,günah
519,Gott::N,దేవుడు,tanrı
520,Arbeiter::N,పనిపాటుచేశేవాడు,işçi
521,Chef::N,యజమానుడు,şef
522,Chef::N,యజమానుడు,müdür
523,Meister::N,కళాకారుడు,usta
524,Arzt::N,వైద్యుడు,hekim
525,Arzt::N,వైద్యుడు,doktor
526,Lehrer::N,ఉపాధ్యాయుడు,hoca
527,Lehrer::N,ఉపాధ్యాయుడు,öğretmen
528,Geld::N,ద్రవ్యము,para
529,Geschäft::N,వ్యాపారము,ticaret
530,Laden::N,అంగడి,dükkân
531,Preis::N,వెల,fiyat
532,Ware::N,సరకులు,mal
533,Nutzen::N,ప్రయోజనము,fayda
534,Reichtum::N,ధనము,servet
535,Reichtum::N,ధనము,zenginlik
536,Welt::N,ప్రపంచము,dünya
537,Land::N,దేశము,ülke
538,Staat::N,రాజ్యము,devlet
539,König::N,రాజు,kral
540,Macht::N,అధికారము,kudret
541,Macht::N,అధికారము,iktidar
542,Grenze::N,సరిహద్దు,had
543,Grenze::N,సరిహద్దు,sınır
544,Krieg::N,యుద్ధము,savaş
545,Feind::N,శత్రువు,düşman
546,Gewalt::N,దౌర్జన్యము,zor
547,Gewalt::N,దౌర్జన్యము,cebir
548,Kampf::N,పోట్లాట,savaş
549,Bogen[Waffe]::N,విల్లు,yay
550,Pfeil::N,బాణము,ok
551,Gewehr::N,తుపాకి,tüfek
552,Fehler::N,తప్ప,hata
553,Fehler::N,తప్ప,yanlış
554,Lüge::N,అసత్యము,yalan
555,Schaden::N,నష్టము,zarar
556,Unglück::N,దురదృష్టము,felâket
557,Unglück::N,దురదృష్టము,talihsizlik
558,Schuld::N,తప్పు,suç
559,Schuld::N,తప్పు,kabahat
560,Alter::N,వయస్సు,yaş
561,Schluss::N,ముగింపు,son
562,Zeit::N,కాలము,zaman
563,Tag::N,దినము,gün
564,Morgen::N,ఉదయము,sabah
565,Mittag::N,మధ్యాహ్నము,öğle
566,Abend::N,సాయంకాలము,akşam
567,Nacht::N,రత్రి,gece
568,Woche::N,వారము,hafta
569,Monat::N,నెల,ay
570,Jahr::N,సంవత్సరము,yıl
571,Jahr::N,సంవత్సరము,sene
572,Frühling::N,వసంతకాలము,ilkbahar
573,Sommer::N,వేసవికాము,yaz
574,Herbst::N,ఆకురాలుకాలము,güz
575,Herbst::N,ఆకురాలుకాలము,sonbahar
576,Winter::N,శీతకాలము,kış
577,Januar::N,జనవరి,ocak
578,Februar::N,ఫిబ్రవరి,şubat
579,März::N,మార్చి,mart
580,April::N,ఏప్రిలు,nisan
581,Mai::N,మే,mayıs
582,Juni::N,జూన్,haziran
583,Juli::N,జూలై,temmuz
584,August::N,ఆగస్టు,ağustos
585,September::N,సెప్ఠెంబరు,eylül
586,Oktober::N,అక్టోబరు,ekim
587,November::N,నవంబరు,kasım
588,Dezember::N,డిసెంబర్,aralık
589,Montag::N,సోమవారము,pazartesi
590,Dienstag::N,మంగళవారము,salı
591,Mittwoch::N,బుధవారము,çarşamba
592,Donnerstag::N,గురువారము,perşembe
593,Freitag::N,శుక్రవారము,cuma
594,Samstag::N,శనివారము,cumartesi
595,Sonntag::N,ఆదివారము,pazar
596,groß::A,గొప్పైన,büyük
597,klein::A,చిన్న,ufak
598,klein::A,చిన్న,küçük
599,lang::A,పొడుగాటి,uzun
600,kurz::A,పొట్టి,kısa
601,breit::A,వెడల్పైన,enli
602,breit::A,వెడల్పైన,geniş
603,schmal::A,ఇఱుకైన,dar
604,dicht::A,దట్టమైన,sık
605,dicht::A,దట్టమైన,yoğun
606,dick[Gegenstand]::A,దట్టమైన,kalın
607,dick[Gegenstand]::A,దట్టమైన,iri
608,dünn::A,పలుచని,ince
609,fein::A,నాజాకైన,ince
610,fein::A,నాజాకైన,narin
611,fest::A,దృడమైవ,sabit
612,fest::A,దృడమైవ,sağlam
613,flach::A,చదువైన,düz
614,flach::A,చదువైన,yassı
615,glatt::A,నున్నని,düz
616,hart::A,కఠినమైన,katı
617,weich::A,మృదువైన,yumuşak
618,rund::A,గుండ్రని,yuvarlak
619,spitz::A,మొనగల,sivri
620,scharf::A,పదనైన,keskin
621,stumpf::A,వాడిలేని,kör
622,schwer::A,బరువ్తెన,ağır
623,schön::A,సుందరమైన,güzel
624,heiß::A,వేడియైన,kızgın
625,warm::A,వెచ్చని,sıcak
626,kalt::A,చల్లని,soğuk
627,kühl::A,చల్లని,serin
628,frisch::A,తాజాయైన,taze
629,feucht::A,చెమ్మగానున్న,nemli
630,feucht::A,చెమ్మగానున్న,rutubetli
631,nass::A,తడిగామన్న,yaş
632,nass::A,తడిగామన్న,ıslak
633,trocken::A,ఎండిన,kuru
634,voll::A,నిండు,dolu
635,voll::A,నిండు,dolmuş
636,leer::A,శూన్యమైన,boş
637,offen::A,తెఱచియున్న,açık
638,geschlossen::A,మూసిన,kapalı
639,sauber::A,పరిశుద్ధమైన,pak
640,sauber::A,పరిశుద్ధమైన,temiz
641,schmutzig::A,ముఱికియైన,pis
642,schmutzig::A,ముఱికియైన,kirli
643,roh::A,పచ్చి,çiğ
644,reif::A,పండివ,olgun
645,lecker::A,రుచి గల,lezzetli
646,süß::A,తియ్యని,tatlı
647,süß::A,తియ్యని,şekerli
648,bitter::A,చేదైన,acı
649,sauer::A,పుల్లని,ekşi
650,hell::A,కాంతిగల,aydınlık
651,dunkel::A,చీకటియైన,karanlık
652,schwarz::A,నల్లని,kara
653,schwarz::A,నల్లని,siyah
654,weiß::A,తెలుపు,ak
655,weiß::A,తెలుపు,beyaz
656,rot::A,ఎఱ్ఱని,kırmızı
657,gelb::A,పసుపు పచ్చ,sarı
658,blau::A,నీలవర్ణము,mavi
659,grün::A,ఆకుపచ్చని,yeşil
660,grau::A,నెరిసిన,boz
661,bunt::A,రంగేలీ,renkli
662,billig::A,చౌకయైన,ucuz
663,teuer::A,వెలపొడుగైన,pahalı
664,wertvoll::A,విలుప్తెన,değerli
665,blind::A,గ్రుడ్డి,kör
666,taub::A,చెవిటి,sağır
667,kräftig::A,శక్తి గల,dinç
668,kräftig::A,శక్తి గల,kuvvetli
669,stark::A,బలమైన,güçlü
670,stark::A,బలమైన,kuvvetli
671,schwach::A,బలహీనమైన,zayıf
672,schwach::A,బలహీనమైన,güçsüz
673,fett::A,క్రొవ్విన,şişman
674,schlank::A,సన్నని,narin
675,hübsch::A,సాగప్తెన,güzel
676,hübsch::A,సాగప్తెన,sevimli
677,böse::A,చెడ్డ,kötü
678,dumm::A,తెలివిలేని,aptal
679,faul::A,సోమరియైన,tembel
680,fleißig::A,శ్రద్దగల,çalışkan
681,geizig::A,పిసినారియైన,cimri
682,klug::A,తెలివిగల,zekî
683,klug::A,తెలివిగల,akıllı
684,geschickt::A,నిపుణతగల,becerikli
685,lieb::A,ప్రియమైన,sevimli
686,lustig::A,ఉల్లాసము గల,neşeli
687,sanft::A,సాధువైన,nazik
688,hungrig::A,ఆకలిగొనిన,aç
689,krank::A,వ్యాధిగల,hasta
690,krank::A,వ్యాధిగల,rahatsız
691,nackt::A,దిగంబరమైన,çıplak
692,traurig::A,విచారముగల,kederli
693,traurig::A,విచారముగల,üzüntülü
694,lebendig::A,ప్రాణముతో నున్న,canlı
695,gut::A,మంచి,iyi
696,schlecht::A,చెడ్డ,kötü
697,richtig::A,సరియైన,doğru
698,schlimm::A,అసహ్యమైన,kötü
699,wahr::A,నిజమైన,doğru
