,Concept_ID,hr,en
137,Insel::N,ada,island
138,Insel::N,otok,island
139,Blume::N,cvijet,flower
140,Gras::N,trava,grass
141,Wurzel::N,korijen,root
142,Baum::N,drvo,tree
143,Baum::N,stablo,tree
144,Stamm::N,deblo,trunk
145,Stamm::N,stablo,trunk
146,Rinde::N,kora,bark
147,Ast::N,grana,limb
148,Zweig::N,grana,branch
149,Blatt::N,list,leaf
150,Birke::N,breza,birch
151,Kiefer[Baum]::N,bor,pine
152,Weide[Baum]::N,iva,willow
153,Weide[Baum]::N,vŕba,willow
154,Tanne::N,jela,fir
155,Horn::N,rog,horn
156,Feder::N,pero,feather
157,Fell::N,koža,fur
158,Flügel::N,krilo,wing
159,Klaue::N,papak,claw
160,Kralle::N,pandža,claw
161,Schwanz::N,rep,tail
162,Ei::N,jaje,egg
163,Nest::N,gnijezdo,nest
164,Bau::N,jazbina,lair
165,Tier::N,životinja,animal
166,Herde::N,krdo,flock
167,Herde::N,stado,flock
168,Kuh::N,krava,cow
169,Bulle::N,bik,bull
170,Pferd::N,konj,horse
171,Schaf::N,ovca,sheep
172,Schwein::N,svinja,pig
173,Hund::N,pas,dog
174,Hund::N,pseto,dog
175,Katze::N,mačka,cat
176,Bär::N,medvjed,bear
177,Eichhörnchen::N,vjeverica,squirrel
178,Elch::N,los,elk
179,Fuchs::N,lisica,fox
180,Hase::N,zec,hare
181,Maus::N,miš,mouse
182,Wolf::N,vuk,wolf
183,Wolf::N,kurjak,wolf
184,Vogel::N,ptica,bird
185,Schwarm::N,roj,swarm
186,Schwarm::N,jato,swarm
187,Huhn::N,kokoš,chicken
188,Hahn::N,kokot,cock
189,Hahn::N,pijevac,cock
190,Gans::N,guska,goose
191,Adler::N,orao,eagle
192,Ente::N,patka,duck
193,Eule::N,sova,owl
194,Kranich::N,ždral,crane
195,Krähe::N,vrana,crow
196,Kuckuck::N,kukavica,cuckoo
197,Schwan::N,labud,swan
198,Fisch::N,riba,fish
199,Barsch::N,grgeč,perch
200,Hecht::N,štuka,pike
201,Schlange[Tier]::N,guja,snake
202,Schlange[Tier]::N,zmija,snake
203,Wurm::N,crv,worm
204,Spinne::N,pauk,spider
205,Ameise::N,mrav,ant
206,Laus::N,uš,louse
207,Mücke::N,komarac,midge
208,Fliege::N,muha,fly
209,Schmetterling::N,leptir,butterfly
210,Beere::N,boba,berry
211,Beere::N,bobica,berry
212,Apfel::N,jabuka,apple
213,Pilz::N,pečurka,mushroom
214,Zwiebel::N,luk,onion
215,Zwiebel::N,kapula,onion
216,Saat::N,sjemenje,seed
217,Korn::N,zrno,grain
218,Heu::N,sijeno,hay
219,Schale::N,kora,husk
220,Schale::N,ljuska,husk
221,Grube::N,jama,pit
222,Falle::N,zamka,trap
223,Falle::N,klopka,trap
224,Schlinge::N,uzao,noose
225,Schlinge::N,petlja,noose
226,Spur::N,trag,track
227,Spur::N,slijed,track
228,Asche::N,pepeo,ashes
229,Dreck::N,blato,filth
230,Eisen::N,željezo,iron
231,Gold::N,zlato,gold
232,Silber::N,srebro,silver
233,Kohle::N,ugalj,coal
234,Kohle::N,ugljen,coal
235,Glas::N,staklo,glass
236,Lehm::N,glina,clay
237,Lehm::N,ilovača,clay
238,Sand::N,pijesak,sand
239,Mensch::N,čovjek,human
240,Mann::N,muškarac,man
241,Frau::N,žena,woman
242,Kind::N,čedo,child
243,Kind::N,dijete,child
244,Junge::N,momče,boy
245,Junge::N,dječak,boy
246,Mädchen::N,djevojka,girl
247,Mädchen::N,djevojčica,girl
248,Familie::N,obitelj,family
249,Familie::N,porodica,family
250,Großvater::N,djed,grandfather
251,Großmutter::N,baka,grandmother
252,Eltern::N,roditelji,parents
253,Vater::N,otac,father
254,Mutter::N,majka,mother
255,Sohn::N,sin,son
256,Tochter::N,kći,daughter
257,Tochter::N,kćerka,daughter
258,Bruder::N,brat,brother
259,Schwester::N,sestra,sister
260,Onkel::N,čika,uncle
261,Onkel::N,ujak,uncle
262,Tante::N,ujna,aunt
263,Tante::N,tetka,aunt
264,Ehemann::N,muž,husband
265,Ehemann::N,suprug,husband
266,Ehefrau::N,žena,wife
267,Ehefrau::N,supruga,wife
268,Freude::N,radost,joy
269,Gelächter::N,grohot,laughter
270,Glück::N,sreća,happiness
271,Kummer::N,jad,grief
272,Kummer::N,briga,grief
273,Wunsch::N,želja,wish
274,Lust::N,volja,desire
275,Geist::N,duh,spirit
276,Gedanke::N,misao,thought
277,Gedächtnis::N,pamćenje,memory
278,Verstand::N,um,mind
279,Verstand::N,razum,mind
280,Sinn::N,smisao,meaning
281,Sinn::N,značenje,meaning
282,Grund::N,razlog,reason
283,Wahrheit::N,istina,truth
284,Gespräch::N,razgovor,talk
285,Märchen::N,bajka,fairy tale
286,Erzählung::N,priča,story
287,Erzählung::N,pripovijest,story
288,Nachricht::N,vijest,message
289,Neuigkeit::N,novost,news
290,Name::N,ime,name
291,Rätsel::N,zagonetka,puzzle
292,Rede::N,govor,speech
293,Rede::N,besjeda,speech
294,Sprache::N,jezik,language
295,Stimme::N,glas,voice
296,Wort::N,riječ,word
297,Zeichen::N,znak,sign
298,Ruf::N,povik,call
299,Ruf::N,poklik,call
300,Lärm::N,buka,noise
301,Lärm::N,galama,noise
302,Laut::N,zvuk,sound
303,Ton::N,ton,tone
304,Lied::N,pjesma,song
305,Ruhe::N,tišina,calm
306,Ruhe::N,počinak,calm
307,Leute::N,ljudi,people
308,Volk::N,puk,nation
309,Volk::N,narod,nation
310,Arbeit::N,rad,work
311,Arbeit::N,posao,work
312,Gast::N,gost,guest
313,Geschenk::N,dar,gift
314,Geschenk::N,poklon,gift
315,Spiel::N,igra,game
316,Gesellschaft::N,društvo,company
317,Gesellschaft::N,kompanija,company
318,Hilfe::N,pomoć,help
319,Freund::N,prijatelj,friend
320,Kamerad::N,drug,companion
321,Kamerad::N,drugar,companion
322,Angelegenheit::N,posao,matter
323,Anzahl::N,broj,count
324,Anzahl::N,brojnost,count
325,Art::N,vid,sort
326,Art::N,vrst,sort
327,Stück::N,komad,piece
328,Teil::N,dio,part
329,Hälfte::N,polovina,half
330,Kreis::N,krug,circle
331,Kreuz::N,križ,cross
332,Linie::N,crta,line
333,Strich::N,crta,stroke
334,Abstand::N,razmak,gap
335,Abstand::N,odstojanje,gap
336,Entfernung::N,udaljenost,distance
337,Gegend::N,kraj,area
338,Gegend::N,predeo,area
339,Platz::N,mjesto,space
340,Ort::N,mjesto,place
341,Seite::N,bok,side
342,Seite::N,strana,side
343,Mitte::N,sredina,middle
344,Gegenstand::N,predmet,item
345,Sache::N,posao,thing
346,Rand::N,rub,fringe
347,Rand::N,kraj,fringe
348,Kante::N,brid,edge
349,Kante::N,ivica,edge
350,Ecke::N,ugao,corner
351,Spitze::N,vrh,tip
352,Spitze::N,šiljak,tip
353,Ende::N,konac,end
354,Loch::N,rupa,hole
355,Winkel::N,kut,angle
356,Winkel::N,ugao,angle
357,Muster::N,uzor,pattern
358,Größe::N,veličina,size
359,Länge::N,duljina,length
360,Höhe::N,visina,height
361,Gewicht::N,težina,weight
362,Menge::N,mnoštvo,amount
363,Menge::N,količina,amount
364,Haufen::N,hrpa,heap
365,Haufen::N,gomila,heap
366,Reihe::N,red,row
367,Boot::N,čun,boat
368,Boot::N,čamac,boat
369,Ruder::N,veslo,oar
370,Schlitten::N,saone,sleigh
371,Ski::N,ski,ski
372,Ski::N,smučka,ski
373,Lagerfeuer::N,logorska vatra,campfire
374,Last::N,tovar,load
375,Gang::N,hod,walk
376,Schritt::N,korak,step
377,Norden::N,sjever,north
378,Süden::N,jug,south
379,Westen::N,zapad,west
380,Osten::N,istok,east
381,Holz::N,drvo,wood
382,Brett::N,daska,board
383,Platte::N,ploča,slab
384,Stütze::N,potpora,bracket
385,Stange::N,motka,pole
386,Stock::N,štap,stick
387,Stock::N,palica,stick
388,Stab::N,štap,staff
389,Stab::N,šipka,staff
390,Rohr::N,cijev,pipe
391,Haus::N,kuća,house
392,Heim::N,dom,home
393,Ofen::N,peć,stove
394,Fußboden::N,pod,floor
395,Tisch::N,stol,table
396,Tisch::N,trpeza,table
397,Stuhl::N,stolac,chair
398,Stuhl::N,stolica,chair
399,Wiege::N,kolijevka,cradle
400,Bett::N,krevet,bed
401,Bett::N,postelja,bed
402,Regal::N,polica,shelf
403,Kiste::N,sanduk,box
404,Fenster::N,prozor,window
405,Tür::N,vrata,door
406,Tor::N,vrata,gate
407,Tor::N,kapija,gate
408,Zaun::N,plot,fence
409,Zaun::N,ograda,fence
410,Dach::N,krov,roof
411,Leiter::N,ljestve,ladder
412,Leiter::N,ljestvice,ladder
413,Besen::N,metla,broom
414,Spaten::N,ašov,spade
415,Schaufel::N,lopata,shovel
416,Gabel::N,viljuška,fork
417,Löffel::N,žlica,spoon
418,Messer::N,nož,knife
419,Nagel::N,čavao,nail
420,Netz::N,mreža,net
421,Haken::N,kuka,hook
422,Griff::N,držak,handle
423,Griff::N,ručica,handle
424,Schloss::N,brava,lock
425,Bild::N,slika,picture
426,Figur::N,figura,figure
427,Puppe::N,lutka,doll
428,Beutel::N,kesa,pouch
429,Bündel::N,snop,bundle
430,Bündel::N,svežanj,bundle
431,Tasche::N,torba,bag
432,Tasche::N,taška,bag
433,Eimer::N,kabao,bucket
434,Deckel::N,poklopac,cover
435,Geschirr::N,suđe,dishes
436,Geschirr::N,posuđe,dishes
437,Sack::N,džak,sack
438,Sack::N,vreća,sack
439,Tasse::N,šalica,cup
440,Topf::N,lonac,pot
441,Kessel::N,kazan,kettle
442,Essen::N,obrok,meal
443,Nahrung::N,hrana,food
444,Speise::N,jelo,dish
445,Fleisch::N,meso,meat
446,Getreide::N,žito,corn
447,Getreide::N,žitarice,corn
448,Brei::N,kaša,mush
449,Brot::N,kruh,bread
450,Scheibe::N,kriška,slice
451,Fett::N,mast,fat
452,Fett::N,salo,fat
453,Butter::N,buter,butter
454,Butter::N,maslac,butter
455,Öl::N,ulje,oil
456,Salz::N,sol,salt
457,Suppe::N,supa,soup
458,Honig::N,med,honey
459,Milch::N,mlijeko,milk
460,Tee::N,čaj,tea
461,Leder::N,koža,leather
462,Wolle::N,vuna,wool
463,Stoff::N,štof,cloth
464,Stoff::N,tkanina,cloth
465,Nadel::N,igla,needle
466,Faden::N,nit,thread
467,Faden::N,konac,thread
468,Knopf::N,dugme,button
469,Knoten::N,čvor,knot
470,Knoten::N,uzao,knot
471,Farbe::N,farba,paint
472,Kleidung::N,odjeća,clothes
473,Hemd::N,košulja,shirt
474,Kragen::N,ovratnik,collar
475,Ärmel::N,rukav,sleeve
476,Hose::N,hlače,trousers
477,Gürtel::N,pas,belt
478,Gürtel::N,pojas,belt
479,Mütze::N,kapa,cap
480,Schuh::N,cipela,shoe
481,Stiefel::N,čizma,boot
482,Ring::N,prsten,ring
483,Band::N,vrpca,ribbon
484,Kamm::N,češalj,comb
485,Spiegel::N,zrcalo,mirror
486,Spiegel::N,ogledalo,mirror
487,Riemen::N,kaiš,strap
488,Riemen::N,remen,strap
489,Schnur::N,vrpca,string
490,Leine::N,uzica,leash
491,Decke::N,ćebe,blanket
492,Decke::N,pokrivač,blanket
493,Kissen::N,jastuk,pillow
494,Tuch::N,rubac,scarf
495,Tuch::N,marama,scarf
496,Handtuch::N,ručnik,towel
497,Kraft::N,snaga,force
498,Stärke::N,jakost,strength
499,Gesundheit::N,zdravlje,health
500,Krankheit::N,bolest,illness
501,Schmerz::N,bol,pain
502,Wunde::N,rana,wound
503,Fieber::N,groznica,fever
504,Arznei::N,lijek,medicine
505,Brücke::N,most,bridge
506,Brücke::N,ćuprija,bridge
507,Brunnen::N,bunar,well
508,Brunnen::N,zdenac,well
509,Weide::N,paša,pasture
510,Weide::N,pašnjak,pasture
511,Pfad::N,staza,path
512,Weg::N,put,way
513,Straße::N,drum,road
514,Straße::N,cesta,road
515,Dorf::N,selo,village
516,Stadt::N,grad,town
517,Stadt::N,varoš,town
518,Brief::N,list,letter
519,Brief::N,pismo,letter
520,Buch::N,knjiga,book
521,Buchstabe::N,slovo,character
522,Zeitung::N,novine,newspaper
523,Leben::N,život,life
524,Tod::N,smrt,death
525,Grab::N,raka,grave
526,Kirche::N,crkva,church
527,Sünde::N,grijeh,sin
528,Gott::N,bog,god
529,Arbeiter::N,radnik,worker
530,Chef::N,šef,boss
531,Meister::N,majstor,master
532,Arzt::N,liječnik,doctor
533,Lehrer::N,učitelj,teacher
534,Geld::N,novac,money
535,Geschäft::N,posao,business
536,Geschäft::N,trgovina,business
537,Laden::N,dućan,shop
538,Preis::N,cijena,price
539,Ware::N,roba,ware
540,Nutzen::N,korist,profit
541,Reichtum::N,bogatstvo,wealth
542,Welt::N,svijet,world
543,Land::N,zemlja,country
544,Staat::N,država,state
545,König::N,kralj,king
546,Macht::N,moć,power
547,Macht::N,vlast,power
548,Grenze::N,granica,border
549,Krieg::N,rat,war
550,Feind::N,neprijatelj,enemy
551,Gewalt::N,sila,violence
552,Gewalt::N,nasilje,violence
553,Kampf::N,boj,fight
554,Kampf::N,borba,fight
555,Bogen[Waffe]::N,luk,bow
556,Pfeil::N,strijela,arrow
557,Gewehr::N,puška,gun
558,Fehler::N,pogreška,mistake
559,Fehler::N,griješka,mistake
560,Lüge::N,laž,lie
561,Schaden::N,šteta,damage
562,Unglück::N,nesreća,misfortune
563,Schuld::N,krivnja,fault
564,Alter::N,dob,age
565,Schluss::N,kraj,conclusion
566,Schluss::N,konac,conclusion
567,Zeit::N,doba,time
568,Zeit::N,vrijeme,time
569,Tag::N,dan,day
570,Morgen::N,jutro,morning
571,Mittag::N,podne,noon
572,Abend::N,veče,evening
573,Abend::N,večer,evening
574,Nacht::N,noć,night
575,Woche::N,sedmica,week
576,Monat::N,mjesec,month
577,Jahr::N,godina,year
578,Frühling::N,proljeće,spring
579,Sommer::N,ljeto,summer
580,Herbst::N,jesen,autumn
581,Winter::N,zima,winter
582,Januar::N,januar,January
583,Januar::N,siječanj,January
584,Februar::N,veljača,February
585,Februar::N,februar,February
586,März::N,mart,March
587,März::N,ožujak,March
588,April::N,april,April
589,April::N,travanj,April
590,Mai::N,maj,May
591,Mai::N,svibanj,May
592,Juni::N,juni,June
593,Juni::N,lipanj,June
594,Juli::N,juli,July
595,Juli::N,srpanj,July
596,August::N,august,August
597,August::N,kolovoz,August
598,September::N,rujan,September
599,September::N,septembar,September
600,Oktober::N,oktobar,October
601,Oktober::N,listopad,October
602,November::N,studeni,November
603,November::N,novembar,November
604,Dezember::N,prosinac,December
605,Montag::N,ponedjeljak,Monday
606,Montag::N,ponedjeljnik,Monday
607,Dienstag::N,utorak,Tuesday
608,Dienstag::N,utornik,Tuesday
609,Mittwoch::N,srijeda,Wednesday
610,Donnerstag::N,četvrtak,Thursday
611,Freitag::N,petak,Friday
612,Samstag::N,subota,Saturday
613,Sonntag::N,nedjelja,Sunday
614,groß::A,velik,big
615,klein::A,mali,little
616,klein::A,malen,little
617,lang::A,dug,long
618,lang::A,dugačak,long
619,kurz::A,kratak,short
620,breit::A,širok,wide
621,schmal::A,uski,narrow
622,schmal::A,uzak,narrow
623,dicht::A,gust,dense
624,dick[Gegenstand]::A,debeo,thick
625,dünn::A,tanak,thin
626,fein::A,fin,delicate
627,fein::A,tanak,delicate
628,fest::A,čvrst,firm
629,flach::A,ravan,flat
630,flach::A,plosnat,flat
631,glatt::A,gladak,smooth
632,hart::A,tvrd,hard
633,weich::A,mek,soft
634,weich::A,mekan,soft
635,rund::A,okrugao,round
636,spitz::A,oštar,pointed
637,spitz::A,šiljast,pointed
638,scharf::A,oštar,sharp
639,scharf::A,bridak,sharp
640,stumpf::A,tup,blunt
641,schwer::A,težak,heavy
642,schön::A,krasan,beautiful
643,heiß::A,vruć,hot
644,warm::A,topao,warm
645,kalt::A,hladan,cold
646,kühl::A,hladan,cool
647,frisch::A,svjež,fresh
648,feucht::A,vlažan,damp
649,nass::A,mokar,wet
650,trocken::A,suh,dry
651,voll::A,pun,full
652,leer::A,prazan,empty
653,offen::A,otvoren,open
654,geschlossen::A,zatvoren,closed
655,sauber::A,čist,clean
656,schmutzig::A,nečist,dirty
657,schmutzig::A,blatan,dirty
658,roh::A,sirov,raw
659,reif::A,zreo,ripe
660,lecker::A,tečan,delicious
661,lecker::A,ukusan,delicious
662,süß::A,sladak,sweet
663,bitter::A,gorak,bitter
664,sauer::A,kiseo,sour
665,hell::A,vedar,bright
666,hell::A,svijetao,bright
667,dunkel::A,taman,dark
668,schwarz::A,crn,black
669,weiß::A,bio,white
670,weiß::A,bijel,white
671,rot::A,crven,red
672,gelb::A,žut,yellow
673,blau::A,plav,blue
674,blau::A,modar,blue
675,grün::A,zelen,green
676,grau::A,siv,grey
677,bunt::A,šaren,colourful
678,bunt::A,šaren,colorful
679,billig::A,jeftin,cheap
680,teuer::A,skup,dear
681,wertvoll::A,vrijedan,precious
682,wertvoll::A,dragocjen,precious
683,blind::A,slijep,blind
684,taub::A,gluh,deaf
685,kräftig::A,snažan,powerful
686,stark::A,jak,strong
687,stark::A,snažan,strong
688,schwach::A,slab,weak
689,fett::A,pretio,fat
690,schlank::A,vitak,slim
691,hübsch::A,zgodan,pretty
692,böse::A,zao,evil
693,böse::A,opak,evil
694,dumm::A,glup,stupid
695,faul::A,lijen,lazy
696,fleißig::A,radin,diligent
697,fleißig::A,marljiv,diligent
698,geizig::A,škrt,stingy
699,klug::A,razborit,clever
700,geschickt::A,vješt,skilful
701,geschickt::A,vješt,skillful
702,lieb::A,drag,dear
703,lustig::A,veseo,merry
704,sanft::A,blag,gentle
705,hungrig::A,gladan,hungry
706,krank::A,bolestan,sick
707,nackt::A,nag,naked
708,traurig::A,tužan,sad
709,traurig::A,žalostan,sad
710,lebendig::A,živ,living
711,gut::A,dobar,good
712,schlecht::A,loš,bad
713,schlecht::A,rđav,bad
714,richtig::A,tačan,correct
715,richtig::A,ispravan,correct
716,schlimm::A,zao,nasty
717,schlimm::A,zločest,nasty
718,wahr::A,istinit,true
719,alt::A,star,old
720,neu::A,nov,new
721,ehemalig::A,bivši,former
722,alt[Lebewesen]::A,star,aged
723,jung::A,mlad,young
724,arm::A,ubog,poor
725,arm::A,siromašan,poor
726,reich::A,bogat,rich
727,bekannt::A,poznat,familiar
728,berühmt::A,čuven,famous
729,berühmt::A,slavan,famous
730,fremd::A,tuđ,foreign
731,fremd::A,stran,foreign
732,verschieden::A,razan,different
733,verschieden::A,različan,different
734,nah::A,blizak,near
735,fern::A,dalek,far
736,fern::A,daljnji,far
737,linker::A,lijevi,left
738,rechter::A,desni,right
739,anderer::A,drugi,other
740,anderer::A,drugačiji,other
741,erster::A,prvi,first
742,zweiter::A,drugi,second
743,dritter::A,treći,third
744,letzter::A,zadnji,last
745,allein::ADV,sam,alone
746,auf einmal::ADV,istodobno,at once
747,zusammen::ADV,skupa,together
748,zusammen::ADV,zajedno,together
749,lange::ADV,dugo,long
750,plötzlich::ADV,naglo,suddenly
751,plötzlich::ADV,iznenada,suddenly
752,sofort::ADV,odmah,instantly
753,später::ADV,kasnije,later
754,jetzt::ADV,sad,now
755,jetzt::ADV,sada,now
756,heute::ADV,danas,today
757,morgen::ADV,sutra,tomorrow
758,bald::ADV,skoro,soon
759,bald::ADV,doskora,soon
760,dann::ADV,zatim,then
761,gestern::ADV,juče,yesterday
762,gestern::ADV,jučer,yesterday
763,einst::ADV,negda,once
764,einst::ADV,nekada,once
765,damals::ADV,tada,at that time
766,damals::ADV,onda,at that time
767,danach::ADV,poslije,afterwards
768,danach::ADV,nakon toga,afterwards
769,vorher::ADV,prije,before
770,vorher::ADV,prije toga,before
771,zuerst::ADV,prvo,at first
772,zuerst::ADV,najprije,at first
773,einmal::ADV,jednom,once
774,einmal::ADV,jedanput,once
775,manchmal::ADV,katkad,sometimes
776,manchmal::ADV,katkada,sometimes
777,oft::ADV,često,often
778,immer::ADV,vazda,always
779,immer::ADV,uvijek,always
780,niemals::ADV,nikad,never
781,niemals::ADV,nikada,never
782,hier::ADV,tu,here
783,hier::ADV,ovdje,here
784,hierhin::ADV,amo,hither
785,hierhin::ADV,amo,to here
786,hierhin::ADV,amo,here
787,hierhin::ADV,ovamo,hither
788,hierhin::ADV,ovamo,to here
789,hierhin::ADV,ovamo,here
790,von hier::ADV,odavde,hence
791,dort::ADV,ondje,there
792,dorthin::ADV,onamo,thither
793,dorthin::ADV,onamo,there
794,dorthin::ADV,onamo,to there
795,geradeaus::ADV,ravno,ahead
796,vorwärts::ADV,naprijed,forward
797,rückwärts::ADV,natrag,backward
798,zurück::ADV,nazad,back
799,zurück::ADV,natrag,back
800,unten::ADV,dolje,below
801,hinab::ADV,nizbrdo,down
802,oben::ADV,gore,above
803,hinauf::ADV,uzbrdo,up
804,überall::ADV,svuda,everywhere
805,überall::ADV,svagdje,everywhere
806,nicht::ADV,ne,not
807,ein wenig::ADV,malo,a little
808,kaum::ADV,tek,hardly
809,kaum::ADV,jedva,hardly
810,sehr::ADV,jako,very
811,sehr::ADV,veoma,very
812,so::ADV,tako,so
813,so::ADV,ovako,so
814,noch::ADV,još,still
815,nur::ADV,samo,only
816,schon::ADV,već,already
817,wieder::ADV,opet,again
818,wieder::ADV,ponovo,again
819,vergebens::ADV,uzalud,in vain
820,vergebens::ADV,zabadava,in vain
821,vor::PRP,pred,in front of
822,vor::PRP,ispred,in front of
823,hinter::PRP,za,behind
824,hinter::PRP,iza,behind
825,unter::PRP,pod,under
826,unter::PRP,ispod,under
827,durch::PRP,po,through
828,durch::PRP,kroz,through
829,neben::PRP,kraj,next to
830,neben::PRP,pored,next to
831,neben::PRP,pokraj,next to
832,zwischen::PRP,među,between
833,zwischen::PRP,između,between
834,wegen::PRP,radi,because of
835,wegen::PRP,zbog,because of
836,dies::PRN,ovo,this
837,das::PRN,to,that
838,das::PRN,ono,that
839,alles::PRN,sve,everything
840,ich::PRN,ja,I
841,du::PRN,ti,you
842,du::PRN,ti,thou
843,er::PRN,on,he
844,wir::PRN,mi,we
845,ihr::PRN,vi,you
846,sie::PRN,oni,they
847,was::FPRN,što,what
848,wer::FPRN,tko,who
849,wo::FADV,gdje,where
850,wohin::FADV,kuda,where ... to
851,wohin::FADV,kuda,where to
852,wohin::FADV,kuda,where
853,wohin::FADV,kamo,where ... to
854,wohin::FADV,kamo,where to
855,wohin::FADV,kamo,where
856,wie::FADV,kako,how
857,warum::FADV,zašto,why
858,wieviel::FNUM,koliko,how much
859,eins::NUM,jedan,one
860,zwei::NUM,dva,two
861,drei::NUM,tri,three
862,vier::NUM,četiri,four
863,fünf::NUM,pet,five
864,sechs::NUM,šest,six
865,sieben::NUM,sedam,seven
866,acht::NUM,osam,eight
867,neun::NUM,devet,nine
868,zehn::NUM,deset,ten
869,elf::NUM,jedanaest,eleven
870,zwölf::NUM,dvanaest,twelve
871,zwanzig::NUM,dvadeset,twenty
872,dreißig::NUM,trideset,thirty
873,vierzig::NUM,četrdeset,forty
874,fünfzig::NUM,pedeset,fifty
875,sechzig::NUM,šezdeset,sixty
876,siebzig::NUM,sedamdeset,seventy
877,achtzig::NUM,osamdeset,eighty
878,neunzig::NUM,devetdeset,ninety
879,hundert::NUM,sto,a hundred
880,tausend::NUM,tisuća,a thousand
881,und::CNJ,i,and
882,und::CNJ,te,and
883,oder::CNJ,ili,or
884,stehen::V,stajati,stand
885,sitzen::V,sjediti,sit
886,liegen::V,ležati,lie
