,Concept_ID,fa,et
73,Luft::N,هوا,õhk
74,Wind::N,باد,tuul
75,Welle::N,موج,laine
76,Wasser::N,آب,vesi
77,Stein::N,سنگ,kivi
78,Boden::N,زمین,maa
79,Boden::N,زمین,pinnas
80,Erde::N,خاک,maa
81,Erde::N,زمین,maa
82,Staub::N,گرد,põrm
83,Staub::N,غبار,põrm
84,Rauch::N,دود,suits
85,Funke::N,جرقه,säde
86,Feuer::N,آتش,tuli
87,Licht::N,نور,valgus
88,Licht::N,روشنی,valgus
89,Schatten::N,سایه,vari
90,Wetter::N,هوا,ilm
91,Nebel::N,مه,udu
92,Wolke::N,ابر,pilv
93,Regen::N,باران,sadu
94,Schnee::N,برف,lumi
95,Eis::N,یخ,jää
96,Frost::N,یخبندان,pakane
97,Kälte::N,سرما,külm
98,Kälte::N,سرما,külmus
99,Hitze::N,گرما,kuumus
100,Hitze::N,گرما,palavus
101,Hitze::N,حرارت,kuumus
102,Hitze::N,حرارت,palavus
103,Raureif::N,برف ریزه,härmatis
104,Regenbogen::N,رنگین‌کمان,vikerkaar
105,Donner::N,رعد,kõu
106,Donner::N,رعد,müristamine
107,Strömung::N,جریان,voolus
108,Strömung::N,جریان,jõevool
109,Tropfen::N,قطره,tilk
110,Schaum::N,کف,vaht
111,Schmutz::N,گل,pori
112,Schmutz::N,گل,mustus
113,Schmutz::N,کثافت,pori
114,Schmutz::N,کثافت,mustus
115,See::N,دریاچه,järv
116,Sumpf::N,مرداب,soo
117,Sumpf::N,باتلاق,soo
118,Moor::N,باتلاق,raba
119,Wiese::N,چمن,aas
120,Wiese::N,چمن,nurm
121,Wald::N,جنگل,mets
122,Hügel::N,تل,küngas
123,Hügel::N,تپه,küngas
124,Anhöhe::N,بلندی,küngas
125,Berg::N,کوه,mägi
126,Gipfel::N,قله,mäetipp
127,Höhle::N,غار,koobas
128,Abhang::N,سرازیری,nõlvak
129,Quelle::N,چشمه,allikas
130,Bach::N,نهر,oja
131,Fluss::N,رود,jõgi
132,Ufer::N,ساحل,kallas
133,Ufer::N,کرانه,kallas
134,Küste::N,ساحل,rannik
135,Festland::N,خشکی,mander
136,Festland::N,خشکی,maismaa
137,Meer::N,دریا,meri
138,Bucht::N,خلیج,laht
139,Insel::N,جزیره,saar
140,Blume::N,گل,lill
141,Gras::N,علف,rohi
142,Wurzel::N,ریشه,juur
143,Baum::N,درخت,puu
144,Stamm::N,تنه,tüvi
145,Rinde::N,توژ,koor
146,Rinde::N,پوست,koor
147,Ast::N,شاخه,oks
148,Zweig::N,شاخه,oks
149,Blatt::N,برگ,leht
150,Birke::N,غان,kask
151,Kiefer[Baum]::N,کاج,mänd
152,Weide[Baum]::N,بید,paju
153,Tanne::N,صنوبر,nulg
154,Horn::N,شاخ,sarv
155,Feder::N,پر,sulg
156,Fell::N,خز,karvkate
157,Fell::N,خز,karusnahk
158,Flügel::N,پر,tiib
159,Flügel::N,پر,tiivik
160,Flügel::N,بال,tiib
161,Flügel::N,بال,tiivik
162,Klaue::N,چنگ,küüs
163,Klaue::N,پنجه,küüs
164,Kralle::N,پنجه,küünis
165,Schwanz::N,دم,saba
166,Ei::N,تخم,muna
167,Nest::N,لانه,pesa
168,Bau::N,بنا,urg
169,Bau::N,ساختمان,urg
170,Tier::N,هیوان,loom
171,Herde::N,رمه,kari
172,Kuh::N,گاو,lehm
173,Bulle::N,گاو نر,pull
174,Pferd::N,اسب,hobune
175,Schaf::N,گوسفند,lammas
176,Schwein::N,خوک,siga
177,Hund::N,سگ,koer
178,Katze::N,گربه,kass
179,Bär::N,خرس,karu
180,Eichhörnchen::N,سنجاب,orav
181,Elch::N,گوزن شمالی,põder
182,Fuchs::N,روباه,rebane
183,Hase::N,خرگوش,jänes
184,Maus::N,موش,hiir
185,Wolf::N,گرگ,hunt
186,Vogel::N,پرنده,lind
187,Schwarm::N,دسته,parv
188,Huhn::N,مرغ,kana
189,Hahn::N,خروس,kukk
190,Gans::N,غاز,hani
191,Adler::N,عقاب,kotkas
192,Ente::N,اردک,part
193,Ente::N,مرغابی,part
194,Eule::N,جغد,kakk
195,Eule::N,جغد,öökull
196,Kranich::N,درنا,kurg
197,Krähe::N,زاغ,vares
198,Krähe::N,کلاغ,vares
199,Kuckuck::N,فاخته,kägu
200,Schwan::N,قو,luik
201,Fisch::N,ماهی,kala
202,Barsch::N,ماهی خاردار,ahven
203,Hecht::N,اردک ماهی,haug
204,Schlange[Tier]::N,مار,uss
205,Wurm::N,کرم,uss
206,Wurm::N,کرم,vagel
207,Spinne::N,عنکبوت,ämblik
208,Ameise::N,مورچه,sipelgas
209,Laus::N,شپش,täi
210,Mücke::N,پشه,sääsk
211,Fliege::N,مگس,kärbes
212,Schmetterling::N,پروانه,liblikas
213,Beere::N,گیله,mari
214,Apfel::N,سیب,õun
215,Pilz::N,قارچ,seen
216,Zwiebel::N,پیاز,sibul
217,Saat::N,بذر,seeme
218,Korn::N,تخم,iva
219,Korn::N,تخم,tera
220,Korn::N,دانه,iva
221,Korn::N,دانه,tera
222,Heu::N,علف خشک,hein
223,Schale::N,پوست,koor
224,Grube::N,گودال,kaevand
225,Falle::N,دام,lõks
226,Falle::N,دام,püünis
227,Schlinge::N,حلقه,aas
228,Spur::N,رد,jälg
229,Asche::N,خاکستر,tuhk
230,Dreck::N,کثافت,saast
231,Dreck::N,کثافت,mustus
232,Eisen::N,آهن,raud
233,Gold::N,زر,kuld
234,Gold::N,طلا,kuld
235,Silber::N,نقره,hõbe
236,Kohle::N,زغال,süsi
237,Glas::N,شیشه,klaas
238,Lehm::N,گل,savi
239,Sand::N,شن,liiv
240,Sand::N,ماسه,liiv
241,Mensch::N,آدم,inimene
242,Mensch::N,انسان,inimene
243,Mann::N,مرد,mees
244,Frau::N,زن,naine
245,Kind::N,بچه,laps
246,Kind::N,کودک,laps
247,Junge::N,پسر,poiss
248,Mädchen::N,دختر,tüdruk
249,Familie::N,فامیل,perekond
250,Familie::N,خانواده,perekond
251,Großvater::N,پدربزرگ,vanaisa
252,Großmutter::N,مادر‌بزرگ,vanaema
253,Eltern::N,والدین,vanemad
254,Eltern::N,پدر‌و‌مادر,vanemad
255,Vater::N,پدر,isa
256,Mutter::N,مادر,ema
257,Sohn::N,پسر,poeg
258,Tochter::N,دختر,tütar
259,Bruder::N,برادر,vend
260,Schwester::N,خواهر,õde
261,Onkel::N,عمو,onu
262,Onkel::N,دایی,onu
263,Tante::N,عمه,tädi
264,Tante::N,خاله,tädi
265,Ehemann::N,همسر,mees
266,Ehemann::N,همسر,abikaasa
267,Ehefrau::N,همسر,naine
268,Ehefrau::N,همسر,abikaasa
269,Freude::N,شادی,rõõm
270,Gelächter::N,خنده,naer
271,Gelächter::N,قاه‌قاه,naer
272,Glück::N,اقبال,õnn
273,Kummer::N,غم,mure
274,Kummer::N,غم,kurbus
275,Kummer::N,غصه,mure
276,Kummer::N,غصه,kurbus
277,Wunsch::N,آرزو,soov
278,Lust::N,هوس,himu
279,Geist::N,روح,vaim
280,Gedanke::N,فکر,mõte
281,Gedächtnis::N,حافظه,mälu
282,Verstand::N,هوش,aru
283,Verstand::N,هوش,mõistus
284,Sinn::N,معنا,tähendus
285,Sinn::N,مفهوم,tähendus
286,Grund::N,سبب,põhjus
287,Grund::N,دلیل,põhjus
288,Wahrheit::N,حقیقت,tõde
289,Gespräch::N,صحبت,kõne
290,Gespräch::N,صحبت,vestlus
291,Gespräch::N,گفتگو,kõne
292,Gespräch::N,گفتگو,vestlus
293,Märchen::N,قصه,muinasjutt
294,Märchen::N,افسانه,muinasjutt
295,Erzählung::N,داستان,jutustus
296,Nachricht::N,خبر,teade
297,Neuigkeit::N,خبر تازه,uudis
298,Name::N,اسم,nimi
299,Rätsel::N,معما,mõistatus
300,Rede::N,سخن,kõne
301,Sprache::N,زبان,keel
302,Stimme::N,صدا,hääl
303,Wort::N,کلمه,sõna
304,Zeichen::N,نشان,märk
305,Zeichen::N,علامت,märk
306,Ruf::N,صدا,hüüe
307,Lärm::N,هیاهو,müra
308,Laut::N,صدا,hääl
309,Ton::N,آهنگ,toon
310,Lied::N,آواز,laul
311,Lied::N,ترانه,laul
312,Ruhe::N,آرامش,rahu
313,Ruhe::N,آرامش,vaikus
314,Leute::N,مردم,inimesed
315,Volk::N,خلق,rahvas
316,Arbeit::N,کار,töö
317,Gast::N,مهمان,külaline
318,Geschenk::N,هدیه,kingitus
319,Spiel::N,بازی,mäng
320,Gesellschaft::N,جمعیت,selts
321,Hilfe::N,کمک,abi
322,Freund::N,دوست,sõber
323,Kamerad::N,رفیق,sõber
324,Angelegenheit::N,امر,asi
325,Angelegenheit::N,قضیه,asi
326,Anzahl::N,عده,arv
327,Anzahl::N,عده,hulk
328,Anzahl::N,شمار,arv
329,Anzahl::N,شمار,hulk
330,Art::N,نوع,liik
331,Stück::N,تکه,tükk
332,Stück::N,قطعه,tükk
333,Teil::N,بخش,osa
334,Teil::N,قسمت,osa
335,Hälfte::N,نیم,pool
336,Kreis::N,حلقه,ring
337,Kreis::N,دایره,ring
338,Kreuz::N,صلیب,rist
339,Linie::N,خط,joon
340,Linie::N,سطر,joon
341,Strich::N,خط,joon
342,Abstand::N,فاصله,vahe
343,Entfernung::N,مسافت,kaugus
344,Entfernung::N,مسافت,vahemaa
345,Gegend::N,منطقه,ümbrus
346,Platz::N,گنجایش,ruum
347,Ort::N,جا,paik
348,Ort::N,محل,paik
349,Ort::N,مکان,paik
350,Seite::N,طرف,pool
351,Mitte::N,وسط,keskpaik
352,Mitte::N,میان,keskpaik
353,Gegenstand::N,چیز,ese
354,Sache::N,چیز,ese
355,Rand::N,کنار,äär
356,Rand::N,کنار,serv
357,Rand::N,حاشیه,äär
358,Rand::N,حاشیه,serv
359,Kante::N,لبه,kant
360,Ecke::N,گوشه,nurk
361,Spitze::N,سر,teravik
362,Spitze::N,نوک,teravik
363,Ende::N,ته,ots
364,Ende::N,ته,jupp
365,Ende::N,آخر,ots
366,Ende::N,آخر,jupp
367,Loch::N,سوراخ,auk
368,Winkel::N,کنج,nurk
369,Muster::N,نقش,muster
370,Größe::N,قد,suurus
371,Größe::N,بزرگی,suurus
372,Länge::N,طول,pikkus
373,Höhe::N,بلندی,kõrgus
374,Gewicht::N,وزن,kaal
375,Gewicht::N,وزن,raskus
376,Menge::N,مقدار,arv
377,Menge::N,مقدار,hulk
378,Menge::N,اندازه,arv
379,Menge::N,اندازه,hulk
380,Haufen::N,توده,hunnik
381,Reihe::N,ردیف,rivi
382,Boot::N,قایق,paat
383,Ruder::N,پارو,aer
384,Schlitten::N,سورتمه,saan
385,Ski::N,اسکی,suusk
386,Lagerfeuer::N,آتش,lõke
387,Last::N,بار,koorem
388,Last::N,سنگینی,koorem
389,Gang::N,راه رفتن,käik
390,Schritt::N,قدم,samm
391,Norden::N,شمال,põhi
392,Süden::N,جنوب,lõuna
393,Westen::N,غرب,lääs
394,Osten::N,شرق,ida
395,Holz::N,چوب,puu
396,Brett::N,تخته,saelaud
397,Platte::N,صفحه,plaat
398,Stütze::N,تکیه,tugi
399,Stange::N,میله,latt
400,Stange::N,میله,teivas
401,Stock::N,چوب,kepp
402,Stab::N,عصا,varras
403,Rohr::N,لوله,toru
404,Haus::N,منزل,maja
405,Heim::N,خانه,kodu
406,Heim::N,کاشانه,kodu
407,Ofen::N,بخاری,ahi
408,Fußboden::N,کف اتاق,põrand
409,Tisch::N,میز,laud
410,Stuhl::N,صندلی,tool
411,Wiege::N,گهواره,häll
412,Wiege::N,گهواره,kätki
413,Bett::N,تختخواب,voodi
414,Regal::N,قفسه,riiul
415,Kiste::N,صندوق,kast
416,Fenster::N,پنجره,aken
417,Tür::N,در,uks
418,Tür::N,درب,uks
419,Tor::N,دروازه,värav
420,Zaun::N,حصار,aed
421,Zaun::N,حصار,tara
422,Dach::N,بام,katus
423,Leiter::N,نردبان,redel
424,Besen::N,جارو,luud
425,Spaten::N,بیل,labidas
426,Schaufel::N,بیل,kühvel
427,Schaufel::N,پارو,kühvel
428,Gabel::N,چنگال,kahvel
429,Löffel::N,قاشق,lusikas
430,Messer::N,کارد,nuga
431,Nagel::N,میخ,nael
432,Netz::N,تور,võrk
433,Netz::N,شبکه,võrk
434,Haken::N,قلاب,haak
435,Haken::N,قلاب,konks
436,Griff::N,دسته,sang
437,Griff::N,دسته,käepide
438,Schloss::N,قفل,lukk
439,Bild::N,عکس,pilt
440,Bild::N,تصویر,pilt
441,Figur::N,تندیس,kuju
442,Figur::N,تندیس,kujund
443,Puppe::N,عروسک,nukk
444,Beutel::N,کیسه,paun
445,Bündel::N,بسته,kimp
446,Tasche::N,کیف,kott
447,Eimer::N,سطل,pang
448,Eimer::N,سطل,ämber
449,Deckel::N,در,kaas
450,Geschirr::N,ظرف,nõud
451,Sack::N,گونی,kott
452,Tasse::N,فنجان,tass
453,Topf::N,دیگ,pada
454,Topf::N,قابلمه,pada
455,Kessel::N,دیگ,pada
456,Essen::N,خوراک,söök
457,Nahrung::N,غذا,toit
458,Speise::N,خوراک,roog
459,Fleisch::N,گوشت,liha
460,Getreide::N,غله,teravili
461,Brei::N,فرنی,puder
462,Brei::N,حریره,puder
463,Brot::N,نان,sai
464,Brot::N,نان,leib
465,Scheibe::N,قاچ,viil
466,Scheibe::N,قاچ,viilukas
467,Scheibe::N,لزگه,viil
468,Scheibe::N,لزگه,viilukas
469,Fett::N,چربی,rasv
470,Butter::N,کره,või
471,Öl::N,روغن,õli
472,Salz::N,نمک,sool
473,Suppe::N,آش,supp
474,Suppe::N,سوپ,supp
475,Honig::N,عسل,mesi
476,Milch::N,شیر,piim
477,Tee::N,چای,tee
478,Leder::N,چرم,nahk
479,Wolle::N,پشم,vill
480,Stoff::N,پارچه,kangas
481,Nadel::N,سوزن,nõel
482,Faden::N,نخ,niit
483,Knopf::N,دکمه,nööp
484,Knoten::N,گره,sõlm
485,Farbe::N,رنگ,värv
486,Kleidung::N,لباس,riided
487,Kleidung::N,لباس,riietus
488,Kleidung::N,پوشاک,riided
489,Kleidung::N,پوشاک,riietus
490,Hemd::N,پیراهن,särk
491,Kragen::N,یقه,krae
492,Ärmel::N,آستین,varrukas
493,Hose::N,شلوار,püksid
494,Gürtel::N,کمر‌بند,vöö
495,Mütze::N,کلاه,müts
496,Schuh::N,کفش,king
497,Stiefel::N,چکمه,saabas
498,Ring::N,حلقه,sõrmus
499,Ring::N,انگشتر,sõrmus
500,Band::N,نوار,lint
501,Band::N,روبان,lint
502,Kamm::N,شانه,kamm
503,Spiegel::N,آینه,peegel
504,Riemen::N,تسمه,rihm
505,Schnur::N,ریسمان,nöör
506,Leine::N,قلاده,jalutusrihm
507,Decke::N,پتو,tekk
508,Kissen::N,بالش,padi
509,Tuch::N,شال,kalev
510,Handtuch::N,حوله,käterätik
511,Kraft::N,نیرو,jõud
512,Stärke::N,زور,tugevus
513,Gesundheit::N,سلامتی,tervis
514,Gesundheit::N,تندرستی,tervis
515,Krankheit::N,بیماری,haigus
516,Schmerz::N,درد,valu
517,Wunde::N,زخم,haav
518,Fieber::N,تب,palavik
519,Arznei::N,دارو,ravim
520,Brücke::N,پل,sild
521,Brunnen::N,چاه,kaev
522,Weide::N,چراگاه,karjamaa
523,Pfad::N,راه,rada
524,Weg::N,راه,tee
525,Weg::N,طریق,tee
526,Straße::N,راه,tee
527,Straße::N,جاده,tee
528,Dorf::N,ده,küla
529,Dorf::N,روستا,küla
530,Stadt::N,شهر,linn
531,Brief::N,نامه,kiri
532,Buch::N,کتاب,raamat
533,Buchstabe::N,حرف,täht
534,Zeitung::N,روزنامه,ajaleht
535,Leben::N,عمر,elu
536,Leben::N,زندگی,elu
537,Tod::N,مرگ,surm
538,Grab::N,گور,haud
539,Grab::N,مزار,haud
540,Kirche::N,کلیسا,kirik
541,Sünde::N,بزه,patt
542,Sünde::N,گناه,patt
543,Gott::N,خدا,jumal
544,Arbeiter::N,کارگر,tööline
545,Chef::N,رئیس,ülemus
546,Chef::N,رئیس,juhataja
547,Meister::N,استاد,meister
548,Arzt::N,پزشک,arst
549,Lehrer::N,معلم,õpetaja
550,Lehrer::N,آموزگار,õpetaja
551,Geld::N,پول,raha
552,Geschäft::N,کار,äri
553,Geschäft::N,بیزنس,äri
554,Laden::N,دکان,pood
555,Laden::N,دکان,kauplus
556,Laden::N,مغازه,pood
557,Laden::N,مغازه,kauplus
558,Preis::N,بها,hind
559,Preis::N,قیمت,hind
560,Ware::N,جنس,kaup
561,Ware::N,کالا,kaup
562,Nutzen::N,مزیت,tulu
563,Nutzen::N,مزیت,kasulikkus
564,Nutzen::N,امتیاز,tulu
565,Nutzen::N,امتیاز,kasulikkus
566,Reichtum::N,مال,rikkus
567,Reichtum::N,ثروت,rikkus
568,Welt::N,دنیا,maailm
569,Land::N,کشور,maa
570,Land::N,مملکت,maa
571,Staat::N,دولت,riik
572,König::N,شاه,kuningas
573,König::N,پادشاه,kuningas
574,Macht::N,قدرت,võim
575,Macht::N,اختیار,võim
576,Grenze::N,مرز,piir
577,Krieg::N,جنگ,sõda
578,Feind::N,دشمن,vaenlane
579,Gewalt::N,زور,väevõim
580,Gewalt::N,خشونت,väevõim
581,Kampf::N,نبرد,võitlus
582,Kampf::N,مبارزه,võitlus
583,Bogen[Waffe]::N,کمان,vibu
584,Pfeil::N,تیر,nool
585,Gewehr::N,تفنگ,püss
586,Fehler::N,غلط,viga
587,Fehler::N,اشتباه,viga
588,Lüge::N,دروغ,vale
589,Schaden::N,آسیب,kahju
590,Schaden::N,خسارت,kahju
591,Unglück::N,بلا,häda
592,Unglück::N,بلا,õnnetus
593,Schuld::N,گناه,süü
594,Schuld::N,تقصیر,süü
595,Alter::N,سن,iga
596,Alter::N,عمر,iga
597,Schluss::N,انتها,lõpp
598,Zeit::N,وقت,aeg
599,Zeit::N,زمان,aeg
600,Tag::N,روز,päev
601,Morgen::N,صبح,hommik
602,Mittag::N,ظهر,lõuna
603,Mittag::N,ظهر,keskpäev
604,Abend::N,شب,õhtu
605,Abend::N,عصر,õhtu
606,Nacht::N,شب,öö
607,Woche::N,هفته,nädal
608,Monat::N,ماه,kuu
609,Jahr::N,سال,aasta
610,Frühling::N,بهار,kevad
611,Sommer::N,تابستان,suvi
612,Herbst::N,پاییز,sügis
613,Winter::N,زمستان,talv
614,Januar::N,ژانویه,jaanuar
615,Februar::N,فوریه,veebruar
616,März::N,مارس,märts
617,April::N,آوریل,aprill
618,Mai::N,مه,mai
619,Juni::N,ژوئن,juuni
620,Juli::N,ژویه,juuli
621,August::N,اوت,august
622,September::N,سپتامبر,september
623,Oktober::N,اکتبر,oktoober
624,November::N,نوامبر,november
625,Dezember::N,دسامبر,detsember
626,Montag::N,دو‌شنبه,esmaspäev
627,Dienstag::N,سه‌شنبه,teisipäev
628,Mittwoch::N,چهار‌شنبه,kesknädal
629,Donnerstag::N,پنج شنبه,neljapäev
630,Freitag::N,جمعه,reede
631,Samstag::N,شنبه,laupäev
632,Sonntag::N,یکشنبه,pühapäev
633,groß::A,بزرگ,suur
634,klein::A,کوچک,väike
635,klein::A,کوچک,pisike
636,lang::A,بلند,pikk
637,kurz::A,کوتاه,lühike
638,breit::A,پهن,lai
639,schmal::A,تنگ,kitsas
640,schmal::A,نازک,kitsas
641,dicht::A,چگال,tihe
642,dicht::A,انبوه,tihe
643,dick[Gegenstand]::A,ضخیم,jäme
644,dünn::A,نازک,õhuke
645,dünn::A,نازک,peenike
646,fein::A,ریز,peen
647,fein::A,ریز,õhuke
648,fein::A,باریک,peen
649,fein::A,باریک,õhuke
650,fest::A,محکم,püsiv
651,fest::A,محکم,kindel
652,flach::A,صاف,lame
653,flach::A,صاف,tasane
654,flach::A,مسطح,lame
655,flach::A,مسطح,tasane
656,glatt::A,لیز,sile
657,hart::A,سفت,kõva
658,weich::A,نرم,pehme
659,weich::A,ملایم,pehme
660,rund::A,گرد,ümar
661,spitz::A,تیز,torkav
662,spitz::A,نوک‌تیز,torkav
663,scharf::A,تیز,terav
664,scharf::A,برنده,terav
665,stumpf::A,کند,nüri
666,schwer::A,سنگین,raske
667,schön::A,زیبا,kena
668,heiß::A,داغ,kuum
669,heiß::A,داغ,palav
670,warm::A,گرم,soe
671,kalt::A,سرد,külm
672,kühl::A,خنک,jahe
673,frisch::A,تازه,värske
674,feucht::A,مرطوب,niiske
675,nass::A,تر,märg
676,nass::A,خیش,märg
677,trocken::A,خشک,kuiv
678,voll::A,پر,täis
679,leer::A,خالی,tühi
680,offen::A,باز,avatud
681,offen::A,باز,lahtine
682,geschlossen::A,بسته,suletud
683,sauber::A,پاک,puhas
684,sauber::A,تمیز,puhas
685,schmutzig::A,کثیف,räpane
686,schmutzig::A,کثیف,määrdunud
687,schmutzig::A,آلوده,räpane
688,schmutzig::A,آلوده,määrdunud
689,roh::A,خام,toores
690,reif::A,رسیده,küps
691,lecker::A,لذیذ,hõrk
692,lecker::A,لذیذ,maitsev
693,lecker::A,خوشمزه,hõrk
694,lecker::A,خوشمزه,maitsev
695,süß::A,شیرین,magus
696,bitter::A,تلخ,mõru
697,sauer::A,ترش,hapu
698,hell::A,روشن,hele
699,dunkel::A,تاریک,pime
700,schwarz::A,سیاه,must
701,weiß::A,سفید,valge
702,rot::A,سرخ,punane
703,rot::A,قرمز,punane
704,gelb::A,زرد,kollane
705,blau::A,آبی,sinine
706,grün::A,سبز,roheline
707,grau::A,طوسی,hall
708,grau::A,خاکستری,hall
709,bunt::A,رنگارنگ,kirju
710,bunt::A,رنگارنگ,värviline
711,billig::A,ارزان,odav
712,teuer::A,گران,kallis
713,wertvoll::A,قیمتی,väärtuslik
714,wertvoll::A,گرانبها,väärtuslik
715,blind::A,کور,pime
716,blind::A,نابینا,pime
717,taub::A,کر,kurt
718,taub::A,ناشنوا,kurt
719,kräftig::A,قوی,jõuline
720,stark::A,قوی,tugev
721,stark::A,نیرومند,tugev
722,schwach::A,ضعیف,nõrk
723,schwach::A,ضعیف,jõuetu
724,fett::A,چرب,rasvane
725,schlank::A,باریک‌اندام,sale
726,hübsch::A,قشنگ,kena
727,hübsch::A,خوشگل,kena
728,böse::A,بد,tige
729,dumm::A,احمق,juhm
730,dumm::A,احمق,rumal
731,faul::A,لش,laisk
732,faul::A,تنبل,laisk
733,fleißig::A,زرنگ,virk
734,fleißig::A,زرنگ,hoolas
735,geizig::A,خسیس,ihne
736,klug::A,عاقل,tark
737,klug::A,عاقل,arukas
738,klug::A,عاقل,mõistlik
739,klug::A,باهوش,tark
740,klug::A,باهوش,arukas
741,klug::A,باهوش,mõistlik
742,geschickt::A,ماهر,osav
743,lieb::A,عزیز,armas
744,lustig::A,شاد,lõbus
745,lustig::A,خوشحال,lõbus
746,sanft::A,لطیف,õrn
747,hungrig::A,گرسنه,näljane
748,krank::A,مریض,haige
749,krank::A,بیمار,haige
750,nackt::A,لخت,alasti
751,nackt::A,برهنه,alasti
752,traurig::A,غمگین,kurb
753,lebendig::A,زنده,elus
754,gut::A,خوب,hea
755,schlecht::A,بد,halb
756,richtig::A,درست,õige
757,schlimm::A,وخيم,paha
758,wahr::A,درست,tõene
759,wahr::A,حقیقی,tõene
760,alt::A,کهنه,vana
761,neu::A,نو,uus
762,ehemalig::A,قبلی,endine
763,alt[Lebewesen]::A,پیر,vana
764,jung::A,جوان,noor
765,arm::A,فقیر,vaene
766,reich::A,پولدار,rikas
767,reich::A,ثروتمند,rikas
768,bekannt::A,آشنا,teada
769,bekannt::A,آشنا,tuttav
770,bekannt::A,معلوم,teada
771,bekannt::A,معلوم,tuttav
772,berühmt::A,مشهور,tuntud
773,fremd::A,خارجی,võõras
774,fremd::A,بیگانه,võõras
775,verschieden::A,مختلف,erinev
776,verschieden::A,متفاوت,erinev
777,nah::A,نزدیک,lähedane
778,fern::A,دور,kauge
779,linker::A,چپ,vasak
780,rechter::A,راست,parem
781,anderer::A,دیگر,muu
782,anderer::A,دیگر,teine
783,erster::A,اول,esimene
784,zweiter::A,دوم,teine
785,dritter::A,سوم,kolmas
786,letzter::A,آخر,viimane
787,allein::ADV,تنها,üksi
788,auf einmal::ADV,همزمان,korraga
789,auf einmal::ADV,همزمان,ühekorraga
790,zusammen::ADV,باهم,koos
791,zusammen::ADV,باهم,üheskoos
792,lange::ADV,مدت‌ها,kaua
793,lange::ADV,مدت زیادی,kaua
794,plötzlich::ADV,ناگهان,äkki
795,plötzlich::ADV,ناگهان,järsku
796,sofort::ADV,فوراً,kohe
797,später::ADV,بعدها,hiljem
798,jetzt::ADV,حالا,nüüd
799,jetzt::ADV,اکنون,nüüd
800,heute::ADV,امروز,täna
801,morgen::ADV,فردا,homme
802,bald::ADV,زود,pea
803,bald::ADV,زود,varsti
804,bald::ADV,بزودی,pea
805,bald::ADV,بزودی,varsti
806,dann::ADV,سپس,siis
807,dann::ADV,آنوقت,siis
808,gestern::ADV,دیروز,eile
809,einst::ADV,وقتی,vanasti
810,einst::ADV,زمانی,vanasti
811,damals::ADV,آنوقت,tookord
812,damals::ADV,آنزمان,tookord
813,danach::ADV,بعد,seejärel
814,vorher::ADV,قبلاً,enne
815,zuerst::ADV,اول,enne
816,zuerst::ADV,اول,esmalt
817,zuerst::ADV,ابتداء,enne
818,zuerst::ADV,ابتداء,esmalt
