,Concept_ID,mn,cv
88,Licht::N,гэгээ,ҫутӑ
89,Schatten::N,сүүдэр,сулхӑн
90,Wetter::N,тэнгэр,ҫанталӑк
91,Wetter::N,цаг уур,ҫанталӑк
92,Nebel::N,будан,тӗтре
93,Wolke::N,үүл,пӗлӗт
94,Regen::N,бороо,ҫумӑр
95,Schnee::N,цас,юр
96,Eis::N,мөс,пӑр
97,Frost::N,хүйт,сивӗ
98,Kälte::N,хүйт,сивӗ
99,Hitze::N,халуун,вӗри
100,Hitze::N,халуун,шӑрӑх
101,Raureif::N,цан,пас
102,Raureif::N,хяруу,пас
103,Regenbogen::N,солонго,асамат кӗперӗ
104,Donner::N,тэнгэрийн дуу,аслати
105,Strömung::N,урсгал,юхӑ
106,Tropfen::N,дусал,тумлам
107,Schaum::N,хөөс,кӑпӑк
108,Schmutz::N,хир,пылчӑк
109,Schmutz::N,шавхай,пылчӑк
110,See::N,нуур,кӳлӗ
111,Sumpf::N,намаг,шур
112,Sumpf::N,намаг,шурлӑх
113,Sumpf::N,балчиг,шур
114,Sumpf::N,балчиг,шурлӑх
115,Moor::N,хүлрийн намаг,торфлӑ шурлӑх
116,Wiese::N,нуга,улӑх
117,Wiese::N,нуга,ҫаран
118,Wald::N,ой,вӑрман
119,Hügel::N,болдог,сӑрт
120,Hügel::N,болдог,тӗмеске
121,Anhöhe::N,гүвээ,сӑрт
122,Berg::N,уул,ту
123,Gipfel::N,орой,тӳпе
124,Gipfel::N,оргил,тӳпе
125,Höhle::N,агуй,ҫӗр хӑвӑлӗ
126,Abhang::N,хүр,тӑвайкки
127,Quelle::N,булаг,ҫӑл куҫ
128,Bach::N,горхи,пӗчӗк шыв
129,Fluss::N,гол,юхан шыв
130,Fluss::N,мөрөн,юхан шыв
131,Ufer::N,эрэг,ҫыран
132,Küste::N,эрэг,тинӗс ҫыранӗ
133,Festland::N,хуурай газар,тип ҫӗр
134,Meer::N,далай,тинӗс
135,Meer::N,тэнгис,тинӗс
136,Bucht::N,булан,тинӗс кукӑрӗ
137,Bucht::N,далайн тохой,тинӗс кукӑрӗ
138,Insel::N,арал,утрав
139,Blume::N,цэцэг,чечек
140,Gras::N,өвс,курӑк
141,Gras::N,ногоо,курӑк
142,Wurzel::N,үндэс,тымар
143,Baum::N,мод,йывӑҫ
144,Stamm::N,иш,вулӑ
145,Stamm::N,гуалин,вулӑ
146,Rinde::N,холтос,хуйӑр
147,Ast::N,гишүү,турат
148,Zweig::N,салаа,турат
149,Blatt::N,навч,ҫулҫӑ
150,Birke::N,хус,хурӑн
151,Kiefer[Baum]::N,нарс,хыр
152,Weide[Baum]::N,уд,хӑва
153,Weide[Baum]::N,бургас,хӑва
154,Tanne::N,гачуур,чӑрӑш
155,Horn::N,эвэр,мӑйрака
156,Feder::N,өд,тӗк
157,Fell::N,арьс,ҫӑм
158,Flügel::N,жигүүр,ҫунат
159,Flügel::N,далавч,ҫунат
160,Klaue::N,савар,чӗрне
161,Klaue::N,хумс,чӗрне
162,Kralle::N,савар,ура
163,Schwanz::N,сүүл,хӳре
164,Ei::N,өндөг,ҫӑмарта
165,Nest::N,үүр,йӑва
166,Bau::N,нүх,йӗнӗ
167,Bau::N,элүү,йӗнӗ
168,Tier::N,амьтан,выльӑх
169,Tier::N,адгуус,выльӑх
170,Herde::N,сүрэг,кӗтӳ
171,Kuh::N,үнээ,ӗне
172,Bulle::N,бух,вӑкӑр
173,Pferd::N,морь,лаша
174,Pferd::N,адуу,лаша
175,Schaf::N,хонь,сурӑх
176,Schwein::N,гахай,сысна
177,Hund::N,нохой,йытӑ
178,Katze::N,муур,кушак
179,Katze::N,мигуй,кушак
180,Bär::N,баавгай,упа
181,Eichhörnchen::N,хэрэм,пакша
182,Elch::N,хандгай,пӑши
183,Fuchs::N,үнэг,тилӗ
184,Hase::N,туулай,куян
185,Hase::N,туулай,мулкач
186,Maus::N,хулгана,шӑши
187,Wolf::N,чоно,кашкӑр
188,Vogel::N,шувуу,кайӑк
189,Vogel::N,шувуу,вӗҫен кайӑк
190,Schwarm::N,сүрэг,ушкӑн
191,Huhn::N,тахиа,чӑх
192,Huhn::N,тахиа,чӑхӑ
193,Hahn::N,эр тахиа,автан
194,Gans::N,галуу,хур
195,Adler::N,бүргэд,ӑмӑрт кайӑк
196,Ente::N,нугас,кӑвакал
197,Eule::N,ууль,тӑмана
198,Kranich::N,тогоруу,тӑрна
199,Krähe::N,хэрээ,ула курак
200,Kuckuck::N,хөхөө,куккук
201,Schwan::N,хун,акӑш
202,Fisch::N,загас,пулӑ
203,Barsch::N,алгана,уланкӑ
204,Hecht::N,цурхай,ҫӑрттан
205,Schlange[Tier]::N,могой,ҫӗлен
206,Wurm::N,өт,ӑман
207,Wurm::N,хорхой,ӑман
208,Spinne::N,аалз,эрешмен
209,Ameise::N,шоргоолж,кӑткӑ
210,Laus::N,бөөс,пыйтӑ
211,Mücke::N,шумуул,вӑрӑм туна
212,Fliege::N,ялаа,шӑна
213,Schmetterling::N,эрвээхэй,лӗпӗш
214,Beere::N,жимсгэнэ,ҫырла
215,Apfel::N,алим,улма
216,Apfel::N,алим,пан улми
217,Pilz::N,мөөг,кӑмпа
218,Zwiebel::N,сонгино,сухан
219,Saat::N,тариа,вӑрӑ
220,Korn::N,үр,тӗшӗ
221,Korn::N,үр,пӗрчӗ
222,Korn::N,мөхлөг,тӗшӗ
223,Korn::N,мөхлөг,пӗрчӗ
224,Heu::N,өвс,утӑ
225,Schale::N,хальс,хупӑ
226,Grube::N,алам,шӑтӑк
227,Grube::N,нүх,шӑтӑк
228,Falle::N,хавх,тапӑ
229,Falle::N,хавх,капкӑн
230,Falle::N,занга,тапӑ
231,Falle::N,занга,капкӑн
232,Schlinge::N,урхи,йӑлӑ
233,Spur::N,мөр,йӗр
234,Asche::N,үнс,кӗл
235,Dreck::N,хир,пылчӑк
236,Eisen::N,төмөр,тимӗр
237,Gold::N,алт,ылтӑн
238,Silber::N,мөнгө,кӗмӗл
239,Kohle::N,нүүрс,кӑмрӑк
240,Glas::N,шил,кӗленче
241,Lehm::N,шавар,тӑм
242,Sand::N,элс,хӑйӑр
243,Mensch::N,хүн,ҫын
244,Mensch::N,хүн,этем
245,Mann::N,эр,ар
246,Mann::N,эрэгтэй,ар
247,Frau::N,эмэгтэй,хӗрарӑм
248,Frau::N,хатагтай,хӗрарӑм
249,Kind::N,хүүхэд,ача
250,Junge::N,хүү,ача
251,Junge::N,хүү,ар ҫын ача
252,Mädchen::N,охин,хӗр ача
253,Mädchen::N,бүсгүй,хӗр ача
254,Familie::N,айл,ҫемье
255,Familie::N,айл,кил-йыш
256,Großvater::N,өвгөн аав,кукаҫи
257,Großmutter::N,эмэг эх,кукамай
258,Großmutter::N,эмгээ,кукамай
259,Eltern::N,эцэг эх,аҫа-ама
260,Vater::N,аав,атте
261,Vater::N,эцэг,атте
262,Mutter::N,эх,анне
263,Mutter::N,ээж,анне
264,Sohn::N,хүү,ывӑл
265,Tochter::N,охин,хӗр
266,Bruder::N,ах,ар тӑван
267,Bruder::N,дүү,ар тӑван
268,Schwester::N,эгч,аппа
269,Schwester::N,эгч,йӑмӑк
270,Schwester::N,охин дүү,аппа
271,Schwester::N,охин дүү,йӑмӑк
272,Onkel::N,авга ах,мучи
273,Onkel::N,авга ах,пичче
274,Onkel::N,нагац ах,мучи
275,Onkel::N,нагац ах,пичче
276,Tante::N,авга эгч,аппа
277,Tante::N,нагац эгч,аппа
278,Ehemann::N,нөхөр,упӑшка
279,Ehefrau::N,эхнэр,арӑм
280,Ehefrau::N,гэргий,арӑм
281,Freude::N,баяр,савӑнӑҫ
282,Freude::N,баяр,хаваслӑх
283,Freude::N,баясгалан,савӑнӑҫ
284,Freude::N,баясгалан,хаваслӑх
285,Gelächter::N,инээдэм,кулӑ
286,Glück::N,жаргалан,телей
287,Glück::N,жаргалан,ӑраскал
288,Kummer::N,гаслан,хурлӑх
289,Wunsch::N,ерөөл,ӗмӗт
290,Wunsch::N,ерөөл,кӑмӑл
291,Lust::N,дур,кӑмӑл
292,Lust::N,хүсэл,кӑмӑл
293,Geist::N,оюун,чун-чӗм
294,Geist::N,оюун,ыр-усал
295,Geist::N,оюун,чун хавалӗ
296,Gedanke::N,сэтгэл,шухӑш
297,Gedächtnis::N,ой,ас
298,Gedächtnis::N,цээж,ас
299,Verstand::N,ухаан,ӑс
300,Verstand::N,ухаан,ӑс-тӑн
301,Verstand::N,ухаан,ӑс-хакӑл
302,Sinn::N,утга,тупсӑм
303,Sinn::N,утга,пӗлтерӗш
304,Grund::N,учир,сӑлтав
305,Wahrheit::N,үнэн,чӑнлӑх
306,Gespräch::N,яриа,калаҫу
307,Märchen::N,явган үлгэр,юмах
308,Erzählung::N,тууж,акалав
309,Erzählung::N,тууж,каласа пани
310,Nachricht::N,мэдээ,хыпар
311,Neuigkeit::N,сонин,ҫӗнӗ хыпар
312,Name::N,нэр,ят
313,Rätsel::N,оньсого,сутмалли юмах
314,Rede::N,хэлсэн үг,сӑмах
315,Sprache::N,хэл,чӗлхе
316,Stimme::N,дуу,сасӑ
317,Wort::N,үг,сӑмах
318,Zeichen::N,тамга,паллӑ
319,Zeichen::N,тэмдэг,паллӑ
320,Ruf::N,дуудлага,йыхрав
321,Ruf::N,дуудлага,чӗнӳ
322,Lärm::N,шуугиан,шав
323,Lärm::N,чимээ,шав
324,Laut::N,анир,сасӑ
325,Laut::N,дуу,сасӑ
326,Ton::N,авиа,сасӑ
327,Ton::N,аялгуу,сасӑ
328,Lied::N,дуу,юрӑ
329,Ruhe::N,энх,канӑҫлӑх
330,Ruhe::N,энх,лӑпкӑлӑх
331,Ruhe::N,тайван,канӑҫлӑх
332,Ruhe::N,тайван,лӑпкӑлӑх
333,Leute::N,хүмүүс,ҫамрӑксем
334,Leute::N,хүмүүс,ҫамрӑк ҫынсем
335,Volk::N,улс,халӑх
336,Arbeit::N,ажил,ӗҫхӗл
337,Arbeit::N,ажил,ӗҫлев
338,Arbeit::N,хөдөлмөр,ӗҫхӗл
339,Arbeit::N,хөдөлмөр,ӗҫлев
340,Gast::N,зочин,хӑна
341,Gast::N,айлчин,хӑна
342,Geschenk::N,бэлэг,парне
343,Geschenk::N,бэлэг,кучченеҫ
344,Spiel::N,наадам,вӑйӑ
345,Spiel::N,тоглоом,вӑйӑ
346,Gesellschaft::N,хамт байх,общество
347,Hilfe::N,тусламж,пулӑшу
348,Freund::N,найз,тус
349,Freund::N,нөхөр,тус
350,Kamerad::N,хань,юлташ
351,Kamerad::N,хань,тус
352,Kamerad::N,нөхөр,юлташ
353,Kamerad::N,нөхөр,тус
354,Angelegenheit::N,хэрэг,ӗҫ
355,Anzahl::N,тоо,йыш
356,Anzahl::N,тоо,хисеп
357,Art::N,төрөл,тӗс
358,Art::N,янз,тӗс
359,Stück::N,хэсэг,татӑк
360,Teil::N,хувь,пай
361,Teil::N,хэсэг,пай
362,Hälfte::N,хагас,ҫурӑ
363,Kreis::N,тойрог,ункӑ
364,Kreis::N,тойрог,ҫавракӑш
365,Kreis::N,хүрээ,ункӑ
366,Kreis::N,хүрээ,ҫавракӑш
367,Kreuz::N,загалмай,хӗрес
368,Linie::N,шугам,йӗр
369,Strich::N,зураас,йӗр
370,Abstand::N,зай,хушӑ
371,Entfernung::N,зай,хушӑ
372,Entfernung::N,хол ойр,хушӑ
373,Gegend::N,хавь,вырӑн
374,Gegend::N,газар,вырӑн
375,Platz::N,зай,хутлӑх
376,Platz::N,завсар,хутлӑх
377,Ort::N,газар,вырӑн
378,Ort::N,байр,вырӑн
379,Seite::N,тал,ен
380,Seite::N,тал,аяк
381,Seite::N,тал,айӑк
382,Seite::N,этгээд,ен
383,Seite::N,этгээд,аяк
384,Seite::N,этгээд,айӑк
385,Mitte::N,төв,варӑ
386,Mitte::N,дунд,варӑ
387,Gegenstand::N,юм,япала
388,Sache::N,үйл,япала
389,Sache::N,хэрэг,япала
390,Rand::N,зах,вӗҫ
391,Rand::N,зах,хӗрӗ
392,Rand::N,зах,хӗрри
393,Rand::N,хөвөө,вӗҫ
394,Rand::N,хөвөө,хӗрӗ
395,Rand::N,хөвөө,хӗрри
396,Kante::N,ирмэг,хайкача
397,Kante::N,ирмэг,хысак
398,Ecke::N,өнцөг,кӗтес
399,Spitze::N,үзүүр,вӗҫ
400,Ende::N,зах,вӗҫ
401,Ende::N,үзүүр,вӗҫ
402,Loch::N,цоорхой,шӑтӑк
403,Loch::N,онгорхой,шӑтӑк
404,Winkel::N,өнцөг,кӗтес
405,Muster::N,хээ,эреш
406,Muster::N,угалз,эреш
407,Größe::N,хэмжээ,пысӑкӑш
408,Länge::N,урт,вӑрӑмӑш
409,Höhe::N,өндөр,ҫӳллӗш
410,Gewicht::N,жин,виҫе
411,Gewicht::N,жин,йывӑрӑш
412,Menge::N,тоо,йыш
413,Haufen::N,бөөн,купа
414,Reihe::N,эгнээ,рет
415,Boot::N,завь,кимӗ
416,Ruder::N,сэлүүр,кӗсмен
417,Schlitten::N,чарга,ҫуна
418,Ski::N,цана,йӗлтӗр
419,Lagerfeuer::N,түүдэг,вут
420,Lagerfeuer::N,түүдэг,кӑвайт
421,Last::N,ачаа,сулмаклӑх
422,Last::N,ачаа,йывӑр япала
423,Gang::N,явдал,куҫӑм
424,Schritt::N,алхам,утӑм
425,Schritt::N,алхам,пусӑм
426,Norden::N,умар,ҫурҫӗр
427,Süden::N,урд,кӑнтӑр
428,Süden::N,өмнө,кӑнтӑр
429,Westen::N,өрнө,анӑҫ
430,Westen::N,өрнө,хӗвел анӑҫ
431,Westen::N,баруун,анӑҫ
432,Westen::N,баруун,хӗвел анӑҫ
433,Osten::N,зүүн,хӗвел тухӑҫ
434,Osten::N,дорно,хӗвел тухӑҫ
435,Holz::N,мод,йывӑҫ
436,Brett::N,банз,хӑма
437,Platte::N,хавтан,плита
438,Stütze::N,тулгуур,ура
439,Stütze::N,тулга,ура
440,Stange::N,сургааг,шерте
441,Stock::N,саваа,патак
442,Stab::N,таяг,шӑчӑ
443,Rohr::N,хоолой,пӑрӑх
444,Haus::N,гэр,ҫурт
445,Haus::N,байшин,ҫурт
446,Heim::N,гэр,кил
447,Ofen::N,зуух,кӑмака
448,Ofen::N,пийшин,кӑмака
449,Fußboden::N,шал,урай
450,Tisch::N,ширээ,сӗтел
451,Stuhl::N,сандал,пукан
452,Wiege::N,өлгий,сӑпка
453,Bett::N,ор,кравать
454,Regal::N,тавиур,ҫӳлӗк
455,Regal::N,тавиур,сентре
456,Kiste::N,авдар,ещӗк
457,Kiste::N,авдар,сунтӑх
458,Kiste::N,хайрцаг,ещӗк
459,Kiste::N,хайрцаг,сунтӑх
460,Fenster::N,гэгээвч,чӳрече
461,Tür::N,үүд,алӑк
462,Tür::N,хаалга,алӑк
463,Tor::N,хаалга,хапха
464,Zaun::N,хашаа,хӳме
465,Dach::N,дээвэр,тӑрӑ
466,Leiter::N,шат,пусма
467,Besen::N,хамуур,шӑпӑр
468,Besen::N,туужуу,шӑпӑр
469,Spaten::N,хүрз,кӗреҫе
470,Schaufel::N,хүрз,кӗреҫе
471,Gabel::N,сэрээ,вилка
472,Löffel::N,халбага,кашӑк
473,Messer::N,хутга,ҫӗҫӗ
474,Nagel::N,хадаас,пӑта
475,Netz::N,өөш,тетел
476,Netz::N,тор,тетел
477,Haken::N,гох,йӑрхах
478,Haken::N,гох,ҫекӗл
479,Griff::N,иш,хӑлӑп
480,Griff::N,сэнж,хӑлӑп
481,Schloss::N,цуурга,ҫӑра
482,Schloss::N,цоож,ҫӑра
483,Bild::N,зураг,сӑн
484,Bild::N,зураг,сӑнлӑх
485,Bild::N,зураг,картина
486,Figur::N,баримал,кӗлетке
487,Puppe::N,хүүхэлдэй,пукане
488,Beutel::N,агсаа,михӗ
489,Beutel::N,уут,михӗ
490,Bündel::N,боодол,ҫыхӑ
491,Bündel::N,боодол,тӗрке
492,Tasche::N,цүнх,сумка
493,Eimer::N,хөнөг,витре
494,Eimer::N,хувин,витре
495,Deckel::N,таг,хупӑ
496,Deckel::N,хавхаг,хупӑ
497,Geschirr::N,сав суулга,савӑт-сапа
498,Sack::N,шуудай,михӗ
499,Tasse::N,аяга,курка
500,Topf::N,тогоо,кастрюль
501,Kessel::N,тогоо,хуран
502,Essen::N,идээ,апат
503,Nahrung::N,хүнс,апат-ҫимӗс
504,Speise::N,идээ,апат
505,Speise::N,идээ,ҫимӗҫ
506,Fleisch::N,мах,аш
507,Fleisch::N,мах,какай
508,Getreide::N,будаа,тырӑ
509,Brei::N,богшмол,пӑтӑ
510,Brei::N,будаа,пӑтӑ
511,Brot::N,талх,ҫӑкӑр
512,Scheibe::N,зүсэм,чӗлӗ
513,Scheibe::N,зүсэм,касӑк
514,Scheibe::N,хэрчим,чӗлӗ
515,Scheibe::N,хэрчим,касӑк
516,Fett::N,өөх,ҫу
517,Butter::N,тос,ҫу
518,Öl::N,тос,ҫу
519,Salz::N,давс,тӑвар
520,Suppe::N,шөл,яшка
521,Honig::N,бал,пыл
522,Milch::N,сүү,сӗт
523,Tee::N,цай,чей
524,Leder::N,арьс,сӑран
525,Leder::N,савхи,сӑран
526,Wolle::N,ноос,ҫӑм
527,Wolle::N,унгас,ҫӑм
528,Stoff::N,бөс,тӗртӗм
529,Nadel::N,зүү,йӗп
530,Faden::N,боолт,ҫип
531,Faden::N,утас,ҫип
532,Knopf::N,товч,тӳме
533,Knoten::N,зангилаа,йӑлӑ
534,Farbe::N,будаг,сӑрӑ
535,Kleidung::N,хувцас,тум
536,Kleidung::N,хувцас,ҫипуҫ
537,Kleidung::N,хувцас,тум-тир
538,Hemd::N,цамц,кӗпе
539,Kragen::N,зах заам,ҫуха
540,Ärmel::N,ханцуй,ҫанӑ
541,Hose::N,өмд,шӑлавар
542,Gürtel::N,бүс,пиҫиххи
543,Mütze::N,малгай,ҫӗлӗк
544,Mütze::N,бүрх,ҫӗлӗк
545,Schuh::N,туфли,пушмак
546,Schuh::N,туфли,ботинок
547,Stiefel::N,гутал,атӑ
548,Ring::N,бөгж,ҫӗрӗ
549,Band::N,тууз,хаю
550,Band::N,тууз,йӗсме
551,Kamm::N,сам,тура
552,Spiegel::N,толь,тӗкӗр
553,Spiegel::N,толь,куҫ кӗски
554,Riemen::N,тасам,чӗн
555,Riemen::N,сур,чӗн
556,Schnur::N,татлага,кантра
557,Leine::N,оосор,касмӑк
558,Decke::N,хөнжил,утиял
559,Decke::N,хучлага,утиял
560,Kissen::N,дэр,ҫытар
561,Kissen::N,дэр,минтер
562,Tuch::N,алчуур,тутӑр
563,Tuch::N,даавуу,тутӑр
564,Handtuch::N,алчуур,ал шӑлли
565,Kraft::N,чадал,вӑй
566,Kraft::N,чадал,хӑват
567,Kraft::N,хүч,вӑй
568,Kraft::N,хүч,хӑват
569,Stärke::N,эрч,хал
570,Stärke::N,эрч,хӑват
571,Stärke::N,тэнхээ,хал
572,Stärke::N,тэнхээ,хӑват
573,Gesundheit::N,бие,хал
574,Gesundheit::N,бие,сывлӑх
575,Gesundheit::N,эрүүл мэнд,хал
576,Gesundheit::N,эрүүл мэнд,сывлӑх
577,Krankheit::N,эмгэг,чир
578,Schmerz::N,өвчин,ырату
579,Wunde::N,шарх,суран
580,Fieber::N,халуун,сив чир
581,Arznei::N,эм,эмел
582,Brücke::N,гүүр,кӗпер
583,Brunnen::N,худаг,ҫӑл
584,Brunnen::N,худаг,пусӑ
585,Weide::N,бэлчээр,ҫаран
586,Pfad::N,жим,йӗр
587,Pfad::N,жим,сукмак
588,Pfad::N,зөрөг,йӗр
589,Pfad::N,зөрөг,сукмак
590,Weg::N,зам,ҫул
591,Weg::N,зам,ҫул-йӗр
592,Weg::N,харгуй,ҫул
593,Weg::N,харгуй,ҫул-йӗр
594,Straße::N,зам,ҫӳрев
595,Straße::N,зам,ҫул ҫӳрени
596,Straße::N,харгуй,ҫӳрев
597,Straße::N,харгуй,ҫул ҫӳрени
598,Dorf::N,тосгон,ял
599,Dorf::N,гацаа,ял
600,Stadt::N,хот,хула
601,Brief::N,захидал,ҫыру
602,Brief::N,захиа,ҫыру
603,Buch::N,ном,кӗнеке
604,Buch::N,бичиг,кӗнеке
605,Buchstabe::N,үсэг,сас палли
606,Zeitung::N,сонин,хаҫат
607,Leben::N,амь,пурнӑҫ
608,Leben::N,амьдрал,пурнӑҫ
609,Tod::N,үхэл,вилӗм
610,Grab::N,булш,масар шӑтӑкӗ
611,Kirche::N,сүм,чиркӳ
612,Sünde::N,нүгэл,ҫылӑх
613,Sünde::N,хилэнц,ҫылӑх
614,Gott::N,бурхан,турӑ
615,Arbeiter::N,ажилчин,рабочи
616,Arbeiter::N,хөдөлмөрчин,рабочи
617,Chef::N,дарга,пуҫлӑх
618,Meister::N,дархан,ӑста
619,Meister::N,дархан,мастер
620,Arzt::N,эмч,врач
621,Arzt::N,эмч,тухтӑр
622,Lehrer::N,багш,учитель
623,Lehrer::N,багш,вӗрентекен
624,Geld::N,цаас,укҫа
625,Geld::N,мөнгө,укҫа
626,Geschäft::N,наймаа,бизнес
627,Laden::N,дэлгүүр,магазин
628,Preis::N,үнэ,хак
629,Ware::N,таваар,тавар
630,Ware::N,бараа,тавар
631,Nutzen::N,ашиг,пайта
632,Reichtum::N,баялаг,мул
633,Welt::N,дэлхий,тӗнче
634,Welt::N,орчлон,тӗнче
635,Land::N,улс,ҫӗр-шыв
636,Land::N,орон,ҫӗр-шыв
637,Staat::N,төр,патшàлӑх
638,Staat::N,гүрэн,патшàлӑх
639,König::N,ван,король
640,Macht::N,засаг,власть
641,Grenze::N,хил,чикӗ
642,Krieg::N,дайн,вӑрҫӑ
643,Feind::N,дайсан,тӑшман
644,Gewalt::N,хүчирхэх,ирӗксӗрлӳ
645,Kampf::N,тэмцэл,кӗрешӳ
646,Kampf::N,байлдаан,кӗрешӳ
647,Bogen[Waffe]::N,нум,ухӑ
648,Pfeil::N,годил,ҫӗмрен
649,Pfeil::N,годил,ухӑ йӗппи
650,Pfeil::N,сум,ҫӗмрен
651,Pfeil::N,сум,ухӑ йӗппи
652,Gewehr::N,буу,пӑшал
653,Fehler::N,эндэл,йӑнӑш
654,Fehler::N,алдаа,йӑнӑш
655,Lüge::N,худал,суя
656,Lüge::N,худал,ултав
657,Schaden::N,хор,сиен
658,Schaden::N,хөнөөл,сиен
659,Unglück::N,гай,шар
660,Unglück::N,гай,инкек
661,Unglück::N,гамшиг,шар
662,Unglück::N,гамшиг,инкек
663,Schuld::N,гэм,айӑп
664,Schuld::N,буруу,айӑп
665,Alter::N,нас,ҫул шучӗ
666,Schluss::N,эцэс,пӗтни
667,Schluss::N,эцэс,пӗтмӗш
668,Schluss::N,төгсгөл,пӗтни
669,Schluss::N,төгсгөл,пӗтмӗш
670,Zeit::N,цаг,вӑхӑт
671,Tag::N,өдөр,кун
672,Morgen::N,өглөө,ир
673,Mittag::N,үд,кӑнтӑрла
674,Abend::N,үдэш,каҫ
675,Nacht::N,шөнө,каҫ
676,Woche::N,долоо хоног,эрне
677,Monat::N,сар,уйӑх
678,Jahr::N,жил,ҫулталӑк
679,Frühling::N,хавар,ҫур
680,Frühling::N,хавар,ҫуркунне
681,Sommer::N,зун,ҫу
682,Sommer::N,зун,ҫулла
683,Herbst::N,намар,кӗр
684,Herbst::N,намар,кӗркунне
685,Winter::N,өвөл,хӗл
686,Winter::N,өвөл,хӗлле
687,Januar::N,нэгдүгээр сар,январь
688,Februar::N,хоёрдугаар сар,февраль
689,Februar::N,хоёрдугаар сар,кӗҫӗн кӑрлач
690,März::N,гуравдугаар сар,март
691,März::N,гуравдугаар сар,пуш уйӑхӗ
692,April::N,дөрөвдүгээр сар,апрель
693,Mai::N,тавдугаар сар,май
694,Juni::N,зургаадугаар сар,июнь
695,Juli::N,долдугаар сар,июль
696,August::N,наймдугаар сар,август
697,September::N,есдүгээр сар,сентябрь
698,September::N,есдүгээр сар,авӑн уйӑхӗ
699,Oktober::N,аравдугаар сар,октябрь
700,November::N,арван нэгдүгээр сар,ноябрь
701,Dezember::N,арван хоёрдугаар сар,раштав
702,Dezember::N,арван хоёрдугаар сар,декабрь
703,Montag::N,даваа,тунти кун
704,Dienstag::N,мягмар,ытлари кун
705,Mittwoch::N,лхагва,юн кун
706,Donnerstag::N,пүрэв,кӗҫнерни кун
707,Freitag::N,баасан,эрне кун
