,Concept_ID,no,be
78,Staub::N,støv,пыл
79,Rauch::N,røyk,дым
80,Funke::N,gnist,іскра
81,Feuer::N,ild,агонь
82,Licht::N,lys,святло
83,Schatten::N,skygge,цень
84,Wetter::N,vær,пагода
85,Wetter::N,vær,надворʼе
86,Nebel::N,tåke,туман
87,Wolke::N,sky,воблака
88,Regen::N,regn,дождж
89,Schnee::N,snø,снег
90,Eis::N,is,лёд
91,Frost::N,frost,мароз
92,Kälte::N,kulde,холад
93,Hitze::N,hete,спёка
94,Raureif::N,rimfrost,іней
95,Regenbogen::N,regnbue,вясёлка
96,Donner::N,torden,гром
97,Strömung::N,strømning,цячэнне
98,Tropfen::N,dråpe,кропля
99,Schaum::N,skum,пена
100,Schmutz::N,søl,гразь
101,Schmutz::N,skitt,гразь
102,See::N,sjø,возера
103,Sumpf::N,sump,багна
104,Sumpf::N,myrlende,багна
105,Moor::N,myr,балота
106,Moor::N,myrhei,балота
107,Wiese::N,eng,луг
108,Wald::N,skog,лес
109,Hügel::N,haug,узгорак
110,Hügel::N,bakke,узгорак
111,Anhöhe::N,haug,узвышша
112,Anhöhe::N,bakke,узвышша
113,Berg::N,berg,гара
114,Berg::N,fjell,гара
115,Gipfel::N,topp,вяршыня
116,Höhle::N,hule,пячора
117,Abhang::N,li,схіл
118,Abhang::N,skråning,схіл
119,Quelle::N,kilde,крыніца
120,Bach::N,bekk,ручай
121,Fluss::N,elv,рака
122,Ufer::N,bredd,бераг
123,Küste::N,kyst,узбярэжжа
124,Festland::N,fastland,суша
125,Meer::N,hav,мора
126,Bucht::N,bukt,бухта
127,Insel::N,øy,востраў
128,Blume::N,blomst,кветка
129,Gras::N,gress,трава
130,Wurzel::N,rot,корань
131,Baum::N,tre,дрэва
132,Stamm::N,stamme,ствол
133,Rinde::N,bark,кара
134,Ast::N,gren,сук
135,Zweig::N,kvist,галіна
136,Blatt::N,blad,ліст
137,Birke::N,bjørk,бяроза
138,Kiefer[Baum]::N,furu,хвоя
139,Kiefer[Baum]::N,furu,сасна
140,Weide[Baum]::N,selje,вярба
141,Weide[Baum]::N,piletre,вярба
142,Tanne::N,gran,яліна
143,Horn::N,horn,рог
144,Feder::N,fjær,пяро
145,Fell::N,skinn,шкура
146,Flügel::N,vinge,крыло
147,Klaue::N,klauv,кіпцюр
148,Kralle::N,klo,лапа
149,Schwanz::N,hale,хвост
150,Ei::N,egg,яйка
151,Nest::N,rede,гняздо
152,Bau::N,hi,нара
153,Tier::N,dyr,жывёла
154,Herde::N,flokk,статак
155,Kuh::N,ku,карова
156,Bulle::N,tyr,бык
157,Pferd::N,hest,конь
158,Schaf::N,får,авечка
159,Schwein::N,gris,свіння
160,Hund::N,hund,сабака
161,Katze::N,katt,кошка
162,Bär::N,bjørn,мядзведзь
163,Eichhörnchen::N,ekorn,вавёрка
164,Elch::N,elg,лось
165,Fuchs::N,rev,ліса
166,Hase::N,hare,заяц
167,Maus::N,mus,мыш
168,Wolf::N,ulv,воўк
169,Wolf::N,varg,воўк
170,Vogel::N,fugl,птах
171,Vogel::N,fugl,птушка
172,Schwarm::N,sverm,чарада
173,Huhn::N,høne,курыца
174,Hahn::N,hane,певень
175,Gans::N,gås,гусь
176,Adler::N,ørn,арол
177,Ente::N,and,качка
178,Eule::N,ugle,сава
179,Kranich::N,trane,жораў
180,Kranich::N,trane,журавель
181,Krähe::N,kråke,варона
182,Kuckuck::N,gjøk,зязюля
183,Schwan::N,svane,лебедзь
184,Fisch::N,fisk,рыба
185,Barsch::N,abbor,акунь
186,Hecht::N,gjedde,шчупак
187,Schlange[Tier]::N,orm,змяя
188,Schlange[Tier]::N,slange,змяя
189,Wurm::N,orm,чарвяк
190,Wurm::N,mark,чарвяк
191,Spinne::N,edderkopp,павук
192,Ameise::N,maur,мурашка
193,Laus::N,lus,вош
194,Mücke::N,mygg,камар
195,Fliege::N,flue,муха
196,Schmetterling::N,sommerfugl,матыль
197,Beere::N,bær,ягада
198,Apfel::N,eple,яблык
199,Pilz::N,sopp,грыб
200,Zwiebel::N,løk,цыбуля
201,Saat::N,sæd,семя
202,Korn::N,korn,зерне
203,Heu::N,høy,сена
204,Schale::N,skall,шалупінне
205,Grube::N,grop,яма
206,Falle::N,felle,пастка
207,Schlinge::N,snare,сіло
208,Spur::N,spor,след
209,Asche::N,aske,попел
210,Dreck::N,møkk,бруд
211,Dreck::N,skitt,бруд
212,Eisen::N,jern,жалеза
213,Gold::N,gull,золата
214,Silber::N,sølv,сребра
215,Kohle::N,kol,вугаль
216,Kohle::N,kull,вугаль
217,Glas::N,glass,шкло
218,Lehm::N,leire,гліна
219,Sand::N,sand,пясок
220,Mensch::N,menneske,чалавек
221,Mann::N,mann,мужчына
222,Frau::N,kvinne,жанчына
223,Kind::N,barn,дзіця
224,Junge::N,gutt,хлопчык
225,Mädchen::N,pike,дзяўчынка
226,Mädchen::N,jente,дзяўчынка
227,Familie::N,familie,сямʼя
228,Großvater::N,bestefar,дзядуля
229,Großmutter::N,bestemor,бабуля
230,Eltern::N,foreldre,бацькі
231,Vater::N,far,бацька
232,Mutter::N,mor,маці
233,Sohn::N,sønn,сын
234,Tochter::N,datter,дачка
235,Bruder::N,bror,брат
236,Schwester::N,søster,сястра
237,Onkel::N,onkel,дзядзька
238,Tante::N,tante,цётка
239,Ehemann::N,ektemann,муж
240,Ehefrau::N,hustru,жонка
241,Freude::N,glede,радасць
242,Gelächter::N,latter,смех
243,Glück::N,lykke,шчасце
244,Kummer::N,sorg,гора
245,Wunsch::N,ønske,жаданне
246,Lust::N,lyst,цяга
247,Geist::N,ånd,дух
248,Gedanke::N,tanke,думка
249,Gedächtnis::N,minne,памяць
250,Gedächtnis::N,hukommelse,памяць
251,Verstand::N,forstand,розум
252,Sinn::N,mening,сэнс
253,Sinn::N,betydning,сэнс
254,Grund::N,grunn,зачэпка
255,Wahrheit::N,sannhet,праўда
256,Gespräch::N,samtale,размова
257,Märchen::N,eventyr,казка
258,Erzählung::N,fortelling,расказ
259,Erzählung::N,fortelling,апавяданне
260,Nachricht::N,melding,вестка
261,Nachricht::N,melding,паведамленне
262,Neuigkeit::N,nyhet,навіна
263,Name::N,navn,імя
264,Rätsel::N,gåte,загадка
265,Rede::N,tale,прамова
266,Sprache::N,språk,мова
267,Stimme::N,stemme,голас
268,Wort::N,ord,слова
269,Zeichen::N,tegn,знак
270,Ruf::N,rop,кліч
271,Lärm::N,bråk,шум
272,Laut::N,lyd,гук
273,Ton::N,tone,гучанне
274,Lied::N,vise,песня
275,Ruhe::N,ro,спакой
276,Leute::N,folk,людзі
277,Volk::N,folk,народ
278,Arbeit::N,arbeid,праца
279,Arbeit::N,arbeid,работа
280,Gast::N,gjest,госць
281,Geschenk::N,gave,падарунак
282,Spiel::N,lek,гульня
283,Spiel::N,spill,гульня
284,Gesellschaft::N,selskap,таварыства
285,Hilfe::N,hjelp,дапамога
286,Freund::N,venn,друг
287,Freund::N,venn,сябар
288,Kamerad::N,kamerat,прыяцель
289,Angelegenheit::N,sak,справа
290,Angelegenheit::N,anliggende,справа
291,Anzahl::N,antall,колькасць
292,Art::N,art,від
293,Art::N,slag,від
294,Stück::N,stykke,кусок
295,Stück::N,stykke,кавалак
296,Teil::N,del,частка
297,Hälfte::N,halvdel,палова
298,Hälfte::N,halvdel,палавіна
299,Kreis::N,ring,круг
300,Kreis::N,sirkel,круг
301,Kreuz::N,kors,крыж
302,Kreuz::N,kryss,крыж
303,Linie::N,linje,лінія
304,Strich::N,strek,рыса
305,Abstand::N,avstand,прамежак
306,Entfernung::N,avstand,адлегласць
307,Gegend::N,strøk,мясцовасць
308,Platz::N,plass,месца
309,Ort::N,sted,месца
310,Seite::N,side,бок
311,Mitte::N,midte,сярэдзіна
312,Gegenstand::N,gjenstand,прадмет
313,Sache::N,sak,рэч
314,Rand::N,rand,край
315,Kante::N,kant,руб
316,Kante::N,kant,кант
317,Ecke::N,hjørne,вугал
318,Spitze::N,spiss,кончык
319,Ende::N,ende,канец
320,Loch::N,hull,дзірка
321,Winkel::N,vinkel,вугал
322,Muster::N,mønster,узор
323,Größe::N,størrelse,памер
324,Länge::N,lengde,даўжыня
325,Höhe::N,høyde,вышыня
326,Gewicht::N,vekt,вага
327,Menge::N,mengde,колькасць
328,Haufen::N,haug,куча
329,Haufen::N,bunke,куча
330,Reihe::N,rekke,рад
331,Boot::N,båt,лодка
332,Ruder::N,åre,вясло
333,Schlitten::N,slede,сані
334,Schlitten::N,kjelke,сані
335,Ski::N,ski,лыжа
336,Lagerfeuer::N,leirbål,вогнішча
337,Last::N,bør,цяжар
338,Last::N,last,цяжар
339,Gang::N,gang,ход
340,Schritt::N,steg,шаг
341,Schritt::N,steg,крок
342,Schritt::N,skritt,шаг
343,Schritt::N,skritt,крок
344,Norden::N,nord,поўнач
345,Süden::N,sør,поўдзень
346,Westen::N,vest,захад
347,Osten::N,øst,усход
348,Holz::N,tre,дрэва
349,Holz::N,tre,драўніна
350,Brett::N,fjøl,дошка
351,Brett::N,brett,дошка
352,Platte::N,plate,пліта
353,Stütze::N,støtte,падпорка
354,Stange::N,stang,жэрдка
355,Stock::N,pinne,палка
356,Stab::N,stav,шост
357,Stab::N,kjepp,шост
358,Rohr::N,rør,труба
359,Haus::N,hus,дом
360,Heim::N,hjem,дом
361,Heim::N,hjem,хата
362,Ofen::N,ovn,печ
363,Fußboden::N,gulv,падлога
364,Tisch::N,bord,стол
365,Stuhl::N,stol,стул
366,Stuhl::N,stol,крэсла
367,Wiege::N,vogge,калыска
368,Bett::N,seng,ложак
369,Bett::N,seng,пасцель
370,Regal::N,reol,паліца
371,Regal::N,hylle,паліца
372,Kiste::N,kasse,скрынка
373,Fenster::N,vindu,акно
374,Tür::N,dør,дзверы
375,Tor::N,port,вароты
376,Zaun::N,gjerde,агароджа
377,Dach::N,tak,дах
378,Leiter::N,stige,лесвіца
379,Besen::N,kost,мятла
380,Spaten::N,spade,лапата
381,Spaten::N,spade,жалязняк
382,Schaufel::N,skuffe,шуфлік
383,Schaufel::N,skuffe,лапатка
384,Gabel::N,gaffel,відэлец
385,Löffel::N,skje,лыжка
386,Messer::N,kniv,нож
387,Nagel::N,spiker,цвік
388,Netz::N,nett,сетка
389,Haken::N,krok,крук
390,Griff::N,tak,ручка
391,Griff::N,håndtak,ручка
392,Schloss::N,lås,замок
393,Bild::N,bilde,карціна
394,Figur::N,figur,фігура
395,Puppe::N,dukke,лялька
396,Beutel::N,pose,мяшок
397,Bündel::N,bylt,вязка
398,Tasche::N,veske,торба
399,Eimer::N,bøtte,вядро
400,Deckel::N,lokk,накрыўка
401,Geschirr::N,kjøkkentøy,пасуда
402,Sack::N,sekk,мех
403,Tasse::N,kopp,кубак
404,Topf::N,gryte,каструля
405,Kessel::N,kjele,кацёл
406,Essen::N,mål,ежа
407,Nahrung::N,mat,харч
408,Nahrung::N,næring,харч
409,Speise::N,matrett,страва
410,Fleisch::N,kjøtt,мяса
411,Getreide::N,korn,збожжа
412,Brei::N,grøt,каша
413,Brot::N,brød,хлеб
414,Scheibe::N,skive,луста
415,Scheibe::N,skive,скібка
416,Fett::N,fett,тлушч
417,Butter::N,smør,масла
418,Öl::N,olje,алей
419,Salz::N,salt,соль
420,Suppe::N,suppe,суп
421,Honig::N,honning,мёд
422,Milch::N,melk,малако
423,Tee::N,te,чай
424,Tee::N,te,гарбата
425,Leder::N,lær,скура
426,Leder::N,skinn,скура
427,Wolle::N,ull,воўна
428,Stoff::N,tøy,тканіна
429,Stoff::N,stoff,тканіна
430,Nadel::N,nål,іголка
431,Faden::N,tråd,нітка
432,Knopf::N,knapp,гузік
433,Knoten::N,knute,вузел
434,Farbe::N,farge,фарба
435,Kleidung::N,påkledning,адзенне
436,Hemd::N,skjorte,кашуля
437,Kragen::N,krage,каўнер
438,Ärmel::N,erme,рукаў
439,Hose::N,bukse,штаны
440,Gürtel::N,belte,пояс
441,Mütze::N,lue,шапка
442,Schuh::N,sko,чаравік
443,Stiefel::N,støvel,бот
444,Ring::N,ring,кольца
445,Band::N,band,стужка
446,Kamm::N,kam,расчоска
447,Spiegel::N,speil,люстра
448,Riemen::N,rem,рэмень
449,Schnur::N,snor,вяроўка
450,Leine::N,line,павадок
451,Decke::N,teppe,коўдра
452,Kissen::N,pute,падушка
453,Tuch::N,tøy,хустка
454,Handtuch::N,håndkle,ручнік
455,Kraft::N,kraft,сіла
456,Stärke::N,styrke,моц
457,Gesundheit::N,helse,здароўе
458,Gesundheit::N,sunnhet,здароўе
459,Krankheit::N,syke,хвароба
460,Krankheit::N,sykdom,хвароба
461,Schmerz::N,smerte,боль
462,Wunde::N,sår,рана
463,Fieber::N,feber,гарачка
464,Fieber::N,feber,ліхаманка
465,Arznei::N,medisin,лекі
466,Arznei::N,legemiddel,лекі
467,Brücke::N,bro,мост
468,Brunnen::N,brønn,калодзеж
469,Weide::N,beite,паша
470,Pfad::N,sti,сцежка
471,Weg::N,vei,шлях
472,Weg::N,vei,дарога
473,Straße::N,gate,вуліца
474,Dorf::N,landsby,вёска
475,Stadt::N,by,горад
476,Brief::N,brev,ліст
477,Brief::N,brev,пісьмо
478,Buch::N,bok,кніга
479,Buchstabe::N,bokstav,літара
480,Zeitung::N,avis,газета
481,Leben::N,liv,жыццё
482,Tod::N,død,смерць
483,Grab::N,grav,магіла
484,Kirche::N,kirke,касцёл
485,Kirche::N,kirke,царква
486,Sünde::N,synd,грэх
487,Gott::N,gud,бог
488,Arbeiter::N,arbeider,рабочы
489,Chef::N,sjef,начальнік
490,Meister::N,mester,майстар
491,Arzt::N,lege,урач
492,Lehrer::N,lærer,настаўнік
493,Geld::N,penger,грошы
494,Geschäft::N,forretning,заняцце
495,Laden::N,butikk,крама
496,Laden::N,butikk,магазін
497,Preis::N,pris,цана
498,Ware::N,vare,тавар
499,Nutzen::N,nytte,выгада
500,Reichtum::N,rikdom,багацце
501,Welt::N,verden,свет
502,Land::N,land,краіна
503,Staat::N,stat,дзяржава
504,König::N,konge,кароль
505,Macht::N,makt,улада
506,Grenze::N,grense,граніца
507,Krieg::N,krig,вайна
508,Feind::N,fiende,вораг
509,Gewalt::N,vold,насілле
510,Kampf::N,kamp,барацьба
511,Bogen[Waffe]::N,bue,лук
512,Pfeil::N,pil,страла
513,Gewehr::N,gevær,ружжо
514,Fehler::N,feil,памылка
515,Lüge::N,løgn,хлусня
516,Schaden::N,skade,шкода
517,Unglück::N,uhell,ліха
518,Unglück::N,uhell,бядота
519,Schuld::N,skyld,віна
520,Alter::N,alder,узрост
521,Schluss::N,slutt,канец
522,Zeit::N,tid,час
523,Tag::N,dag,дзень
524,Morgen::N,morgen,ранак
525,Morgen::N,morgen,раніца
526,Mittag::N,middag,паўдня
527,Mittag::N,middag,поўдзень
528,Abend::N,aften,вечар
529,Nacht::N,natt,ноч
530,Woche::N,uke,тыдзень
531,Monat::N,måned,месяц
532,Jahr::N,år,год
533,Frühling::N,vår,вясна
534,Sommer::N,sommer,лета
535,Herbst::N,høst,восень
536,Winter::N,vinter,зіма
537,Januar::N,januar,студзень
538,Februar::N,februar,люты
539,März::N,mars,сакавік
540,April::N,april,красавік
541,Mai::N,mai,май
542,Mai::N,mai,травень
543,Juni::N,juni,чэрвень
544,Juli::N,juli,ліпень
545,August::N,august,жнівень
546,September::N,september,верасень
547,Oktober::N,oktober,кастрычнік
548,November::N,november,лістапад
549,Dezember::N,desember,снежань
550,Montag::N,mandag,панядзелак
551,Dienstag::N,tirsdag,аўторак
552,Mittwoch::N,onsdag,серада
553,Donnerstag::N,torsdag,чацвер
554,Freitag::N,fredag,пятніца
555,Samstag::N,lørdag,субота
556,Sonntag::N,søndag,нядзеля
557,groß::A,stor,вялікі
558,klein::A,liten,маленькі
559,lang::A,lang,доўгі
560,kurz::A,kort,кароткі
561,breit::A,bred,шырокі
562,schmal::A,smal,вузкі
563,dicht::A,tett,густы
564,dick[Gegenstand]::A,tykk,тоўсты
565,dünn::A,tynn,тонкі
566,fein::A,fin,тонкі
567,fest::A,fast,моцны
568,flach::A,flat,плоскі
569,glatt::A,glatt,гладкі
570,hart::A,hard,цвёрды
571,weich::A,myk,мяккі
572,weich::A,bløt,мяккі
573,rund::A,rund,круглы
574,spitz::A,spiss,спічасты
575,spitz::A,spiss,востраканцовы
576,scharf::A,kvass,востры
577,stumpf::A,stubb,тупы
578,schwer::A,tung,цяжкі
579,schön::A,pen,прыгожы
580,schön::A,vakker,прыгожы
581,heiß::A,het,гарачы
582,warm::A,varm,цёплы
583,kalt::A,kald,холадны
584,kühl::A,kjølig,халаднаваты
585,frisch::A,fersk,свежы
586,feucht::A,fuktig,вільготны
587,nass::A,våt,мокры
588,trocken::A,tørr,сухі
589,voll::A,full,поўны
590,leer::A,tom,пусты
591,offen::A,åpen,адкрыты
592,offen::A,åpen,адчынены
593,geschlossen::A,lukket,закрыты
594,geschlossen::A,lukket,зачынены
595,sauber::A,ren,чысты
596,schmutzig::A,skitten,брудны
597,roh::A,rå,сыры
598,reif::A,moden,спелы
599,lecker::A,lekker,смачны
600,süß::A,søt,салодкі
601,bitter::A,besk,горкі
602,bitter::A,bitter,горкі
603,sauer::A,sur,кіслы
604,hell::A,lys,светлы
605,dunkel::A,mørk,цёмны
606,schwarz::A,svart,чорны
607,weiß::A,hvit,белы
608,rot::A,rød,чырвоны
609,gelb::A,gul,жоўты
610,blau::A,blå,сіні
611,grün::A,grønn,зялёны
612,grau::A,grå,шэры
613,bunt::A,broket,пяресты
614,billig::A,billig,танны
615,teuer::A,dyr,дарагі
616,wertvoll::A,verdifull,цэнны
617,wertvoll::A,verdifull,каштоўны
618,blind::A,blind,сляпы
619,taub::A,døv,глухі
620,kräftig::A,kraftig,магутны
621,stark::A,sterk,сільны
622,schwach::A,svak,слабы
623,fett::A,fet,тлусты
624,schlank::A,slank,стройны
625,hübsch::A,pen,чароўны
626,böse::A,slem,злы
627,dumm::A,dum,дурны
628,faul::A,lat,лянівы
629,faul::A,doven,лянівы
630,fleißig::A,flittig,руплівы
631,geizig::A,gjerrig,прагны
632,klug::A,klok,разумны
633,geschickt::A,hendig,умелы
634,geschickt::A,skikket,умелы
635,lieb::A,kjær,мілы
636,lieb::A,snill,мілы
637,lustig::A,morsom,вясёлы
638,sanft::A,blid,ласкавы
639,hungrig::A,sulten,галодны
640,krank::A,syk,хворы
641,nackt::A,naken,голы
642,traurig::A,sørgmodig,сумны
643,lebendig::A,levende,жывы
644,gut::A,god,добры
645,schlecht::A,dårlig,кепскі
646,richtig::A,riktig,правільны
647,schlimm::A,slem,агідны
648,wahr::A,sann,сапраўдны
649,alt::A,gammel,стары
650,neu::A,ny,новы
651,ehemalig::A,forhenværende,былы
652,alt[Lebewesen]::A,gammel,стары
653,jung::A,ung,малады
654,arm::A,fattig,бедны
655,reich::A,rik,багаты
656,bekannt::A,kjent,знаёмы
657,berühmt::A,berømt,славуты
658,fremd::A,fremmed,чужы
659,verschieden::A,forskjellig,розны
660,nah::A,nær,блізкі
661,fern::A,fjern,далёкі
662,linker::A,venstre,левы
663,rechter::A,høyre,правы
664,anderer::A,annen,іншы
665,anderer::A,annen,другі
666,erster::A,første,першы
667,zweiter::A,annen,другі
668,dritter::A,tredje,трэці
669,letzter::A,sist,апошні
670,allein::ADV,alene,сам
671,allein::ADV,alene,адзін
672,auf einmal::ADV,med ett,адразу
673,zusammen::ADV,sammen,разам
674,lange::ADV,lenge,доўга
675,plötzlich::ADV,plutselig,раптам
676,sofort::ADV,straks,зараз
677,später::ADV,senere,пазней
678,jetzt::ADV,nå,цяпер
679,heute::ADV,i dag,сёння
680,morgen::ADV,i morgen,заўтра
681,bald::ADV,snart,хутка
682,bald::ADV,snart,неўзабаве
683,dann::ADV,så,потым
684,gestern::ADV,i går,учора
685,einst::ADV,engang,аднойчы
686,damals::ADV,den gang,тады
687,danach::ADV,deretter,затым
688,vorher::ADV,før,раней
689,vorher::ADV,i forveien,раней
690,zuerst::ADV,først,спярша
691,zuerst::ADV,først,спачатку
692,einmal::ADV,en gang,адзін раз
693,manchmal::ADV,somme tider,часам
694,oft::ADV,ofte,часта
695,immer::ADV,alltid,заўсёды
696,niemals::ADV,aldri,ніколі
697,hier::ADV,her,тут
698,hierhin::ADV,hit,сюды
699,von hier::ADV,herfra,адсюль
700,von hier::ADV,herfra,адгэтуль
701,dort::ADV,der,там
702,dorthin::ADV,dit,туды
703,geradeaus::ADV,rett fram,прама
704,vorwärts::ADV,fram,наперад
705,vorwärts::ADV,framover,наперад
706,rückwärts::ADV,baklengs,назад
707,zurück::ADV,tilbake,назад
708,unten::ADV,nede,унізе
709,hinab::ADV,ned,уніз
710,hinab::ADV,nedover,уніз
711,oben::ADV,oppe,угары
712,oben::ADV,oppe,наверсе
713,oben::ADV,ovenpå,угары
714,oben::ADV,ovenpå,наверсе
715,hinauf::ADV,opp,угару
716,hinauf::ADV,oppover,угару
717,überall::ADV,overalt,усюды
718,nicht::ADV,ikke,не
719,ein wenig::ADV,litt,трошкі
720,kaum::ADV,neppe,ледзьве
721,sehr::ADV,svært,вельмі
722,so::ADV,så,так
723,noch::ADV,enda,яшчэ
724,nur::ADV,bare,толькі
725,schon::ADV,alt,ужо
726,schon::ADV,allerede,ужо
727,wieder::ADV,igjen,зноў
728,vergebens::ADV,forgjeves,дарма
729,vergebens::ADV,forgjeves,дарэмна
730,vor::PRP,foran,перад
731,vor::PRP,utenfor,перад
732,hinter::PRP,bak,за
733,hinter::PRP,bak,ззаду
734,hinter::PRP,bakom,за
735,hinter::PRP,bakom,ззаду
736,unter::PRP,under,пад
737,durch::PRP,gjennom,праз
738,durch::PRP,igjennom,праз
739,neben::PRP,ved siden av,каля
740,zwischen::PRP,mellom,між
741,zwischen::PRP,mellom,паміж
742,wegen::PRP,på grunn av,з-за
743,dies::PRN,dette,гэта
744,das::PRN,det,тое
745,alles::PRN,alt,усё
746,ich::PRN,jeg,я
747,du::PRN,du,ты
748,er::PRN,han,ён
749,wir::PRN,vi,мы
750,ihr::PRN,dere,вы
751,sie::PRN,de,яны
752,was::FPRN,hva,што
753,wer::FPRN,hvem,хто
754,wo::FADV,hvor,дзе
755,wohin::FADV,hvor ... hen,куды
756,wie::FADV,hvordan,як
757,warum::FADV,hvorfor,чаму
758,wieviel::FNUM,hvor mye,колькі
759,eins::NUM,en,адзін
760,eins::NUM,ett,адзін
761,zwei::NUM,to,два
762,drei::NUM,tre,тры
763,vier::NUM,fire,чатыры
764,fünf::NUM,fem,пяць
765,sechs::NUM,seks,шесць
766,sieben::NUM,sju,сем
767,acht::NUM,åtte,восем
768,neun::NUM,ni,дзевяць
769,zehn::NUM,ti,дзесяць
770,elf::NUM,elleve,адзінаццаць
771,zwölf::NUM,tolv,дванаццаць
772,zwanzig::NUM,tjue,дваццаць
773,dreißig::NUM,tretti,трыццаць
774,vierzig::NUM,førti,сорак
775,fünfzig::NUM,femti,пядзесят
776,sechzig::NUM,seksti,шесдзесят
777,siebzig::NUM,sytti,семдзесят
778,achtzig::NUM,åtti,восемдзесят
779,neunzig::NUM,nitti,дзевяноста
780,hundert::NUM,hundre,сто
781,tausend::NUM,tusen,тысяча
782,und::CNJ,og,і
783,und::CNJ,og,ды
784,oder::CNJ,eller,або
785,stehen::V,stå,стаяць
786,sitzen::V,sitte,сядзець
787,liegen::V,ligge,ляжаць
788,hängen::V,henge,вісець
789,werden::V,bli,стаць
790,werden::V,bli,зрабіцца
791,passieren::V,skje,трапіцца
792,passieren::V,hende,трапіцца
793,beginnen::V,begynne,пачацца
794,enden::V,ende,кончыцца
795,enden::V,slutte,кончыцца
796,wechseln::V,veksle,мяняцца
797,aufgehen[Sonne]::V,stå opp,узысці
798,untergehen[Sonne]::V,gå ned,зайсці
799,scheinen[Sonne]::V,skinne,свяціць
800,donnern::V,tordne,грымець
801,wehen::V,blåse,дзьмуць
802,strömen::V,strømme,ліцца
803,fließen::V,flyte,цячы
804,sich drehen::V,dreie seg,круціцца
805,sich drehen::V,dreie seg,варочацца
806,schwanken::V,svaie,хістацца
807,schwingen::V,svinge,гайдацца
808,schwingen::V,svinge,калыхацца
809,fallen::V,falle,падаць
810,brennen::V,brenne,гарэць
811,rauchen::V,ryke,дымець
812,regnen::V,regne,дажджыць
813,gefrieren::V,fryse,замерзнуць
814,tauen::V,tine,раставаць
815,schmelzen::V,smelte,плавіцца
816,trocknen::V,tørre,сохнуць
817,sieden::V,koke,кіпець
818,faulen::V,råtne,гнісці
819,verfaulen::V,råtne,згнісці
820,reißen::V,briste,ірвацца
821,versinken::V,synke,тануць
822,versinken::V,synke ned,тануць
823,vergehen::V,forløpe,праходзіць
824,erscheinen::V,synes,зʼявіцца
825,verschwinden::V,forsvinne,знікнуць
826,sinken::V,synke,спадаць
827,abnehmen::V,avta,паменшыцца
828,abnehmen::V,minske,паменшыцца
829,zunehmen::V,tilta,павялічвацца
830,steigen::V,stige,паднімацца
831,wachsen::V,gro,расці
832,wachsen::V,vokse,расці
833,glänzen::V,skinne,блішчаць
834,funkeln::V,tindre,бліскаць
835,lärmen::V,bråke,шумець
836,läuten::V,ringe,званіць
837,klingeln::V,ringe,званіць
838,klirren::V,klirre,бразгаць
839,brausen::V,bruse,бушаваць
