,Concept_ID,uk,ta
58,Mond::N,місяць,சந்திரன்
59,Stern::N,зірка,நட்சத்திரம்
60,Luft::N,повітря,காறறு
61,Wind::N,вітер,காற்று
62,Welle::N,хвиля,அலை
63,Wasser::N,вода,நீர்
64,Stein::N,камінь,கல்
65,Boden::N,ґрунт,தரை
66,Erde::N,земля,மண்
67,Staub::N,пил,தூசி
68,Rauch::N,дим,புகை
69,Funke::N,іскра,தீப்பொறி
70,Feuer::N,вогонь,தீ
71,Licht::N,світло,வெளிச்சம்
72,Schatten::N,тінь,நிழல்
73,Wetter::N,погода,வானிலை
74,Nebel::N,туман,பனிமூட்டம்
75,Wolke::N,хмара,மேகம்
76,Regen::N,дощ,மழை
77,Schnee::N,сніг,உறைபனி
78,Eis::N,лід,பனிக்கட்டி
79,Frost::N,мороз,உறைபனி
80,Kälte::N,холод,குளிர்ந்த
81,Hitze::N,жар,சூடு
82,Raureif::N,іній,உறைபனி வெண்திரை
83,Regenbogen::N,райдуга,வானவில்
84,Donner::N,грім,இடி
85,Strömung::N,струмина,நீரோட்டம்
86,Tropfen::N,крапля,துளி
87,Schaum::N,піна,நுரை
88,Schmutz::N,бруд,அழுக்கு
89,See::N,озеро,ஏரி
90,Sumpf::N,драговина,சதுப்பு நிலம்
91,Moor::N,болото,முட்புதற்காடு
92,Wiese::N,луг,பசும் புல்தரை
93,Wiese::N,лука,பசும் புல்தரை
94,Wald::N,ліс,காடு
95,Hügel::N,горб,குன்று
96,Anhöhe::N,височина,பதுக்கை
97,Berg::N,гора,மலை
98,Gipfel::N,вершина,உச்சி மாநாடு
99,Höhle::N,печера,குகை
100,Abhang::N,схил,சரிவு
101,Quelle::N,джерело,மூலம்
102,Bach::N,струмок,ஓடை
103,Fluss::N,річка,ஆறு
104,Ufer::N,берег,நீர்க்கரை
105,Küste::N,узбережжя,கடற்கரை
106,Festland::N,суша,நிலம்
107,Meer::N,море,கடல்
108,Bucht::N,бухта,சிறுகுடா
109,Bucht::N,затока,சிறுகுடா
110,Insel::N,острів,தீவு
111,Blume::N,квітка,பூ
112,Gras::N,трава,புல்தரை
113,Wurzel::N,корінь,வேர்
114,Baum::N,дерево,மரம்
115,Stamm::N,стовбур,அடிமரம்
116,Rinde::N,кора,பட்டை
117,Rinde::N,кора,மரப்பட்டை
118,Ast::N,гілка,கினை
119,Zweig::N,галузь,குச்சி
120,Blatt::N,лист,இலை
121,Birke::N,береза,பிர்ச் மரம்
122,Kiefer[Baum]::N,сосна,தேவதாரு மரம்
123,Weide[Baum]::N,верба,மர வகைகளுள் ஒன்று
124,Tanne::N,ялиця,சாதிக்கய்
125,Horn::N,ріг,கொம்பு
126,Feder::N,перо,இறகு
127,Fell::N,хутро,மென்முடி
128,Flügel::N,крило,இறக்கை
129,Klaue::N,кіготь,நகம்
130,Kralle::N,лапа,நகம்
131,Schwanz::N,хвіст,வால்
132,Ei::N,яйце,முட்டை
133,Nest::N,гніздо,கூடு
134,Bau::N,лігво,குகை
135,Tier::N,тварина,விலங்கு
136,Herde::N,стадо,கூட்டம்
137,Kuh::N,корова,பசு
138,Bulle::N,бик,காளை
139,Bulle::N,бугай,காளை
140,Pferd::N,кінь,குதிரை
141,Schaf::N,вівця,செம்மறிஆடு
142,Schwein::N,свиня,பன்றி
143,Hund::N,собака,நாய்
144,Katze::N,кішка,பூனை
145,Bär::N,ведмідь,கரடி
146,Eichhörnchen::N,білка,அணில்
147,Elch::N,лось,கடம்பை
148,Fuchs::N,лисиця,நரி
149,Hase::N,заєць,முயல்
150,Maus::N,миша,எலி
151,Wolf::N,вовк,ஓநாய்
152,Vogel::N,птах,பறவை
153,Schwarm::N,зграя,தொகுதி
154,Huhn::N,курка,கோழிக்குஞசு
155,Hahn::N,півень,சேவல்
156,Gans::N,гуска,பெண் வாத்து
157,Adler::N,орел,பருநது
158,Ente::N,качка,வாத்து
159,Eule::N,сова,ஆந்தை
160,Kranich::N,журавель,நாரை
161,Krähe::N,ворона,காகம்
162,Kuckuck::N,зозуля,குயில்
163,Schwan::N,лебідь,அன்னம்
164,Fisch::N,риба,மீன்
165,Barsch::N,окунь,பேர்ச்
166,Hecht::N,щука,கோலாச்சி மீன்
167,Schlange[Tier]::N,змія,பாம்பு
168,Wurm::N,черв’як,புழு
169,Spinne::N,павук,சிலந்தி
170,Ameise::N,мурашка,எறும்பு
171,Laus::N,воша,பேன்
172,Mücke::N,комар,கொசுவினப்பூச்சி
173,Fliege::N,муха,ஈ
174,Schmetterling::N,метелик,வண்ணத்துப்பூச்சி
175,Beere::N,ягода,சதைப்பழம்
176,Apfel::N,яблуко,ஆப்பிள பழம்
177,Pilz::N,гриб,காளான்
178,Zwiebel::N,цибуля,வெங்காயம்
179,Saat::N,сім’я,விதை
180,Korn::N,зерно,தானியம்
181,Heu::N,сіно,வைக்கோல்
182,Schale::N,шкірка,தோல்
183,Grube::N,яма,குழி
184,Falle::N,пастка,பொறி
185,Schlinge::N,петля,கண்ணி
186,Spur::N,слід,சுவடு
187,Asche::N,зола,சாம்பல்
188,Asche::N,попіл,சாம்பல்
189,Dreck::N,бруд,அழுக்கு
190,Eisen::N,залізо,இரும்பு
191,Gold::N,золото,தங்கம்
192,Silber::N,срібло,வெள்ளி
193,Kohle::N,вугілля,நிலக்கரி
194,Glas::N,скло,கண்ணாடி
195,Lehm::N,глина,களிமண்
196,Sand::N,пісок,மணல்
197,Mensch::N,людина,மனிதர்கள்
198,Mann::N,чоловік,மனிதன்
199,Frau::N,жінка,பெண்
200,Kind::N,дитина,குழந்தை
201,Junge::N,хлопець,பையன்
202,Mädchen::N,дівчина,சிறுமி
203,Familie::N,сім’я,குடும்பம்
204,Familie::N,родина,குடும்பம்
205,Großvater::N,дідусь,தாத்தா
206,Großmutter::N,бабуся,பாட்டி
207,Eltern::N,батьки,பெற்றோர்
208,Vater::N,батько,தந்தை
209,Mutter::N,мати,தாய்
210,Sohn::N,син,மகன்
211,Tochter::N,дочка,மகள்
212,Bruder::N,брат,சகோதரன்
213,Schwester::N,сестра,அக்கா
214,Onkel::N,дядько,தாய் மாமன்
215,Tante::N,тітка,அத்தை
216,Ehemann::N,чоловік,கணவன்
217,Ehefrau::N,жінка,மனைவி
218,Ehefrau::N,дружина,மனைவி
219,Freude::N,радощі,கொண்டாட்டம்
220,Gelächter::N,сміх,சிரிப்பு
221,Glück::N,щастя,மகிழ்ச்சி
222,Kummer::N,горе,துயரம்
223,Wunsch::N,бажання,விருப்பம்
224,Lust::N,бажання,விருப்பம்
225,Geist::N,дух,ஆன்மா
226,Gedanke::N,думка,எண்ணம்
227,Gedächtnis::N,пам’ять,ஞாபகம்
228,Verstand::N,розум,மனம்
229,Sinn::N,зміст,அர்த்தம்
230,Sinn::N,значення,அர்த்தம்
231,Grund::N,причина,காரணம்
232,Wahrheit::N,правда,உண்நை
233,Gespräch::N,розмова,பெசு
234,Märchen::N,байка,நம்பத்தகாத கதை
235,Erzählung::N,повість,கதை
236,Erzählung::N,оповідання,கதை
237,Nachricht::N,повідомлення,செய்தி
238,Neuigkeit::N,новина,செய்தி
239,Name::N,ім’я,பெயர்
240,Rätsel::N,загадка,புதிர்
241,Rede::N,промова,பேச்சு
242,Sprache::N,мова,மொழி
243,Stimme::N,голос,குரல்
244,Wort::N,слово,வார்த்தை
245,Zeichen::N,знак,குறி
246,Ruf::N,оклик,அழைப்பு
247,Lärm::N,шум,சத்தம்
248,Laut::N,звук,ஒலி
249,Ton::N,тон,குரல்
250,Lied::N,пісня,பாட்டு
251,Ruhe::N,спокій,அமைதி
252,Leute::N,люди,மக்கள்
253,Volk::N,народ,மக்கள்
254,Arbeit::N,робота,வேலை
255,Gast::N,гість,விருந்தாளி
256,Geschenk::N,подарунок,பரிசுப் பொருள்
257,Spiel::N,гра,விளையாட்டு
258,Gesellschaft::N,товариство,சமுதாயம்
259,Hilfe::N,допомога,உதவி
260,Freund::N,друг,நண்பன்
261,Freund::N,приятель,நண்பன்
262,Kamerad::N,товариш,உடனிருப்பவன்
263,Angelegenheit::N,справа,செய்தி
264,Anzahl::N,число,எண்ணிக்கை
265,Art::N,рід,வகை
266,Stück::N,кусок,துண்டம்
267,Teil::N,частина,பகுதி
268,Hälfte::N,половина,பாதி
269,Kreis::N,круг,வட்டம்
270,Kreis::N,коло,வட்டம்
271,Kreuz::N,хрест,சிலுவை
272,Linie::N,лінія,கோடு
273,Strich::N,штрих,வாத நோய்
274,Abstand::N,проміжок,இடைவெளி
275,Entfernung::N,відстань,தூரம்
276,Gegend::N,місцевість,வட்டாரம்
277,Platz::N,площа,வெற்றிடம்
278,Ort::N,місце,இடம்
279,Seite::N,сторона,பக்கம்
280,Mitte::N,середина,இடைப்பகுதி
281,Gegenstand::N,предмет,உருப்படி
282,Sache::N,річ,பொருள்
283,Rand::N,край,தொங்கு
284,Kante::N,ребро,விளிம்பு
285,Ecke::N,ріг,மூலை
286,Spitze::N,кінчик,முனை
287,Ende::N,кінець,முடிவு
288,Loch::N,діра,துளை
289,Winkel::N,куток,கோணம்
290,Muster::N,узор,பாங்கு
291,Größe::N,розмір,அளவு
292,Länge::N,довжина,நீளம்
293,Höhe::N,висота,உயரம்
294,Gewicht::N,вага,எடை
295,Menge::N,кількість,தொகை
296,Haufen::N,купа,குவியல்
297,Reihe::N,ряд,வரிசை
298,Boot::N,човен,படகு
299,Ruder::N,весло,துடுப்பு
300,Schlitten::N,сани,சகடையிலா வண்டி
301,Ski::N,лижа,பனிச் சறுக்கல்
302,Lagerfeuer::N,вогнище,மூட்டம்
303,Last::N,тягар,பாரம்
304,Last::N,вантаж,பாரம்
305,Gang::N,хід,நடை
306,Schritt::N,крок,காலடி
307,Norden::N,північ,வடக்கு
308,Süden::N,південь,தெற்கு
309,Westen::N,захід,மேற்கு திசை
310,Osten::N,схід,கிழக்கு
311,Holz::N,дрова,மரக்கட்டை
312,Brett::N,дошка,பலகை
313,Platte::N,плита,பலகம்
314,Stütze::N,підпірка,அடைப்புகன்
315,Stange::N,жердина,கம்பம்
316,Stock::N,палиця,குச்சி
317,Stab::N,палиця,கம்பு
318,Rohr::N,труба,குழாய்
319,Haus::N,дім,வீடு
320,Haus::N,хата,வீடு
321,Heim::N,житло,வீடு
322,Ofen::N,піч,அடுப்பு
323,Fußboden::N,підлога,தரை
324,Tisch::N,стіл,மேசை
325,Stuhl::N,стілець,நாற்காலி
326,Wiege::N,колиска,தொட்டில்
327,Bett::N,ліжко,படுக்கை
328,Bett::N,постіль,படுக்கை
329,Regal::N,полиця,அலமாரி
330,Kiste::N,ящик,பெட்டி
331,Fenster::N,вікно,சாளரம்
332,Tür::N,двері,கதவு
333,Tor::N,ворота,வாசற்கதவு
334,Zaun::N,паркан,வேலி
335,Zaun::N,огорожа,வேலி
336,Dach::N,дах,கூரை
337,Leiter::N,драбина,ஏணி
338,Besen::N,мітла,விளக்குமாறு
339,Spaten::N,заступ,மண்வெட்டி
340,Schaufel::N,совок,அடிதண்டா
341,Schaufel::N,лопата,அடிதண்டா
342,Gabel::N,виделка,முட்கரண்டி
343,Löffel::N,ложка,கரண்டி
344,Messer::N,ніж,கத்தி
345,Nagel::N,цвях,ஆணி
346,Netz::N,сіть,வலை
347,Haken::N,крюк,கொக்கி
348,Griff::N,ручка,கைப்பிடி
349,Griff::N,держак,கைப்பிடி
350,Schloss::N,замок,பூட்டு
351,Bild::N,картина,படம்
352,Figur::N,фігура,எண்ணிக்கை
353,Puppe::N,лялька,பொம்மை
354,Beutel::N,мішечок,பை
355,Beutel::N,торбинка,பை
356,Bündel::N,в’язка,பொதி
357,Tasche::N,сумка,பை
358,Eimer::N,відро,வாளி
359,Deckel::N,кришка,உறை
360,Geschirr::N,посуд,பாத்திரம்
361,Sack::N,мішок,பை
362,Tasse::N,чашка,கிண்ணம்
363,Topf::N,горщик,பானை
364,Kessel::N,котел,கெண்டி
365,Essen::N,їжа,உணவருந்துதல்
366,Nahrung::N,харч,உணவு
367,Speise::N,страва,உணவு வகை
368,Fleisch::N,м’ясо,இறைச்சி
369,Getreide::N,хліб,மக்காச்சோளம்
370,Getreide::N,збіжжя,மக்காச்சோளம்
371,Brei::N,каша,கஞ்சி
372,Brot::N,хліб,ரொட்டி
373,Scheibe::N,скибочка,துண்டு
374,Fett::N,жир,கொழுப்பு
375,Butter::N,масло,வெண்ணெய்
376,Öl::N,олія,எண்ணெய்
377,Salz::N,сіль,உப்பு
378,Suppe::N,суп,ரசம்
379,Honig::N,мед,தேன்
380,Milch::N,молоко,பால்
381,Tee::N,чай,தெனீர்
382,Leder::N,шкіра,பதம் செய்யப்பட்ட தோல்
383,Wolle::N,шерсть,கம்பளி
384,Stoff::N,тканина,துணி
385,Nadel::N,голка,ஊசி
386,Faden::N,нитка,நூல்
387,Knopf::N,ґудзик,பொத்தான்
388,Knoten::N,вузол,முடிச்சு
389,Farbe::N,фарба,வண்ணக் குழம்பு
390,Kleidung::N,одяг,ஆடைகள்
391,Kleidung::N,убрання,ஆடைகள்
392,Hemd::N,сорочка,சட்டை
393,Kragen::N,комір,கழுத்துப் பட்டை
394,Ärmel::N,рукав,சட்டைக்கை
395,Hose::N,брюки,கால்சட்டை
396,Gürtel::N,пояс,பெல்ட்
397,Mütze::N,шапка,தொப்பி
398,Schuh::N,ботинок,காலணி
399,Stiefel::N,чобіт,காலணி
400,Ring::N,кільце,மோதிரம்
401,Band::N,стрічка,நாடா
402,Kamm::N,гребінець,கீப்பு
403,Spiegel::N,дзеркало,ஆடி
404,Spiegel::N,дзеркало,கண்ணாடி
405,Riemen::N,ремінь,வார்
406,Schnur::N,вірьовка,கயிறு
407,Leine::N,шворка,தோல்வார்
408,Decke::N,ковдра,போர்வை
409,Kissen::N,подушка,தலையணை
410,Tuch::N,хустка,துணி
411,Handtuch::N,рушник,தண்டு
412,Kraft::N,сила,நிர்பந்தம்
413,Stärke::N,сила,பலம்
414,Gesundheit::N,здоров’я,ஆரோக்கியம்
415,Krankheit::N,хвороба,நோய்
416,Schmerz::N,біль,வலி
417,Wunde::N,рана,காயம்
418,Fieber::N,гарячка,காய்ச்சல்
419,Arznei::N,ліки,மருந்து
420,Brücke::N,міст,பாலம்
421,Brunnen::N,колодязь,கேணி
422,Weide::N,пасовище,மேய்ச்சல் நிலம்
423,Pfad::N,стежка,நடை வழி
424,Weg::N,шлях,வழி
425,Weg::N,дорога,வழி
426,Straße::N,вулиця,சாலை
427,Dorf::N,село,கிராமம்
428,Stadt::N,місто,நகரம்
429,Brief::N,лист,கடிதம்
430,Buch::N,книга,புத்தகம்
431,Buch::N,книжка,புத்தகம்
432,Buchstabe::N,буква,எழத்து
433,Buchstabe::N,літера,எழத்து
434,Zeitung::N,газета,செய்தித்தாள்
435,Leben::N,життя,வாழ்க்கை
436,Tod::N,смерть,மரணம்
437,Grab::N,могила,சமாதி
438,Kirche::N,церква,தேவாலயம்
439,Sünde::N,гріх,பாவம்
440,Gott::N,бог,கடவுள்
441,Arbeiter::N,робітник,தொழிலாளி
442,Chef::N,хазяїн,மேலாளர்
443,Meister::N,умілець,தலைவன்
444,Arzt::N,лікар,மருத்துவர்
445,Lehrer::N,вчитель,ஆசிரியர்
446,Geld::N,гроші,பணம்
447,Geschäft::N,заняття,வாணிபம்
448,Laden::N,магазин,கடை
449,Laden::N,крамниця,கடை
450,Preis::N,ціна,விலை
451,Ware::N,товар,சாமன்கள்
452,Nutzen::N,вигода,இலாபம்
453,Nutzen::N,користь,இலாபம்
454,Reichtum::N,багатство,சொத்து
455,Welt::N,світ,உலகம்
456,Land::N,країна,நாடு
457,Staat::N,держава,நாடு
458,König::N,король,அரசன்
459,Macht::N,влада,அதிகாரம்
460,Grenze::N,кордон,எல்லை
461,Krieg::N,війна,போர்
462,Feind::N,ворог,எதிரி
463,Gewalt::N,насильство,வன்முறை
464,Kampf::N,бій,போராட்டம்
465,Kampf::N,боротьба,போராட்டம்
466,Bogen[Waffe]::N,лук,வில்
467,Pfeil::N,стріла,அம்பு
468,Gewehr::N,рушниця,துப்பாக்கி
469,Gewehr::N,гвинтівка,துப்பாக்கி
470,Fehler::N,помилка,தவறு
471,Lüge::N,брехня,பொய்
472,Schaden::N,шкода,சேதாரம்
473,Schaden::N,збиток,சேதாரம்
474,Unglück::N,нещастя,இடையூறு
475,Schuld::N,провина,குற்றம்
476,Alter::N,вік,வயது
477,Alter::N,літа,வயது
478,Schluss::N,кінець,முடிவு
479,Zeit::N,час,காலம்
480,Tag::N,день,நாள்
481,Morgen::N,ранок,காலை நேரம்
482,Mittag::N,південь,மதியம்
483,Abend::N,вечір,மாலைப் பொழுது
484,Nacht::N,ніч,இரவு
485,Woche::N,тиждень,வாரம்
486,Monat::N,місяць,மாதம்
487,Jahr::N,рік,வருடம்
488,Frühling::N,весна,வசந்தம்
489,Sommer::N,літо,கோடை
490,Herbst::N,осінь,இலையுதிர் காலம்
491,Winter::N,зима,குளிர்காலம்
492,Januar::N,січень,ஜனவரி
493,Februar::N,лютий,பிபரவரி மாதம்
494,März::N,березень,மார்ச் மாதம்
495,April::N,квітень,ஏப்ரல் மாதம்
496,Mai::N,травень,மே மாதம்
497,Juni::N,червень,ஜூன் மாதம்
498,Juli::N,липень,ஜூலை மாதம்
499,August::N,серпень,ஆகஸ்ட் மாதம்
500,September::N,вересень,செப்டம்பர் மாதம்
501,Oktober::N,жовтень,அக்டோபர் மாதம்
502,November::N,листопад,நவம்பர் மாதம்
503,Dezember::N,грудень,டிசம்பர்
504,Montag::N,понеділок,திங்கட் கிழமை
505,Dienstag::N,вівторок,செவ்வாய்க்கிழமை
506,Mittwoch::N,середа,புதன் கிழமை
507,Donnerstag::N,четвер,வியாழக் கிழமை
508,Freitag::N,п’ятниця,வெள்ளிக்கிழமை
509,Samstag::N,субота,சனிக்கிழமை
510,Sonntag::N,неділя,ஞாயிறுக் கிழமை
511,groß::A,великий,பெரிய
512,klein::A,малий,சிறிய
513,klein::A,маленький,சிறிய
514,lang::A,довгий,நீண்ட
515,kurz::A,короткий,குட்டையான
516,breit::A,широкий,அகலமான
517,schmal::A,вузький,குறுகலான
518,dicht::A,густий,அடர்த்தியான
519,dick[Gegenstand]::A,товстий,தடித்த
520,dünn::A,тонкий,சன்னமான
521,fein::A,дрібний,மெல்லிய
522,fest::A,міцний,உறுதியாள
523,flach::A,плоский,தட்டையான
524,glatt::A,рівний,வழுவழுப்பான
525,glatt::A,гладенький,வழுவழுப்பான
526,hart::A,твердий,கடினமான
527,weich::A,м’який,மென்மையான
528,rund::A,круглий,உருண்டையான
529,spitz::A,гострокінцевий,திகந்தமாக
530,scharf::A,гострий,கூரான
531,stumpf::A,тупий,உளம் திறந்த
532,schwer::A,важкий,கனமான
533,schön::A,вродливий,அழகான
534,heiß::A,жаркий,சூடான
535,heiß::A,гарячий,சூடான
536,warm::A,теплий,இதமான
537,kalt::A,холодний,குளிர்ச்சியான
538,kühl::A,прохолодний,குளிர்ச்சியான
539,frisch::A,свіжий,சுத்தமான
540,feucht::A,вогкий,ஈரமான
541,nass::A,мокрий,ஈரமான
542,trocken::A,сухий,உலர்ந்த
543,voll::A,повний,நிரம்பிய
544,leer::A,пустий,காலியான
545,offen::A,відкритий,திறந்த
546,geschlossen::A,закритий,மூடப்பட்ட
547,geschlossen::A,зачинений,மூடப்பட்ட
548,sauber::A,чистий,சுத்தமான
549,sauber::A,охайний,சுத்தமான
550,schmutzig::A,брудний,அழக்கான
551,roh::A,сирий,கச்சா
552,reif::A,зрілий,பழுத்த
553,lecker::A,смачний,சுவைமிக்க
554,süß::A,солодкий,இனிப்பான
555,bitter::A,гіркий,கசப்பான
556,sauer::A,кислий,புளிப்பாக
557,hell::A,світлий,பளபளப்பான
558,dunkel::A,темний,கருமையான
559,schwarz::A,чорний,கருப்பு வண்ண
560,weiß::A,сивий,வெண்மையன
561,rot::A,червоний,சிவப்பு
562,gelb::A,жовтий,மஞ்சள் வண்ணம்
563,blau::A,синій,நீல வண்ண
564,grün::A,зелений,பச்சை வண்ண
565,grau::A,сірий,சாம்பல் நிற
566,bunt::A,барвистий,வண்ண மயமான
567,billig::A,дешевий,மலிவான
568,teuer::A,дорогий,விலை அதிகமான
569,wertvoll::A,цінний,மதிப்புள்ள
570,blind::A,сліпий,பார்வையற்ற
571,taub::A,глухий,செவிடான
572,kräftig::A,могутній,வலிமையான
573,stark::A,сильний,பலமான
574,schwach::A,слабкий,பலவீனமான
575,fett::A,жирний,பருமனாக
576,fett::A,товстий,பருமனாக
577,schlank::A,тонкий,ஒல்லியான
578,schlank::A,стрункий,ஒல்லியான
579,hübsch::A,чарівний,அழகிய
580,böse::A,злий,கேடு விளைவிக்கும்
581,böse::A,лихий,கேடு விளைவிக்கும்
582,dumm::A,дурний,முட்டாள்தனமான
583,faul::A,ледачий,சோம்பலான
584,fleißig::A,старанний,ஊக்கந்தளராத
585,geizig::A,скупий,கஞேசத்தனமான
586,klug::A,мудрий,சாதுரியமான
587,klug::A,розумний,சாதுரியமான
588,geschickt::A,умілий,திறமையள்ள
589,lieb::A,милий,அன்புக்குரிய
590,lustig::A,веселий,களிப்புமிக்க
591,sanft::A,лагідний,சாதுவான
592,hungrig::A,голодний,பசியுடன்
593,krank::A,слабий,நோயுற்று
594,nackt::A,голий,ஆடையற்ற
595,traurig::A,сумний,சோகமான
596,lebendig::A,живий,பிழைப்பு
597,gut::A,добрий,நல்ல
598,schlecht::A,поганий,கெட்ட
599,schlecht::A,кепський,கெட்ட
600,richtig::A,правильний,சரியான
601,schlimm::A,бридкий,அருவருப்பான
602,wahr::A,справжній,உண்மையான
603,alt::A,старий,பழைய
604,neu::A,новий,புதிய
605,ehemalig::A,колишній,முன்நாள்
606,alt[Lebewesen]::A,старий,வயதான
607,jung::A,молодий,இளமையான
608,arm::A,бідний,ஏழ்மையான
609,reich::A,багатий,செல்வம் படைத்த
610,bekannt::A,знайомий,பழக்கப்பட்ட
611,berühmt::A,славетний,புகழ்பெற்ற
612,fremd::A,чужий,அயல் நாட்டு
613,verschieden::A,різний,வித்தியாசமான
614,nah::A,близький,பக்கத்தில் உள்ள
615,fern::A,далекий,தொலை தூரத்தில்
616,linker::A,лівий,மீந்திருக்கும்
617,rechter::A,правий,வலதுபக்கம்
618,anderer::A,інакший,மற்ற
619,erster::A,перший,முதனமையான
620,zweiter::A,другий,இரண்டாவது
621,dritter::A,третій,மூன்றாவது
622,letzter::A,останній,கடைசி
623,allein::ADV,сам,தனியாக
624,allein::ADV,один,தனியாக
625,auf einmal::ADV,відразу,தடீரென்று
626,zusammen::ADV,разом,சேர்ந்து
627,zusammen::ADV,спільно,சேர்ந்து
628,lange::ADV,довго,அதிக நோம்
629,plötzlich::ADV,раптом,தடீரென்று
630,sofort::ADV,зараз,உடனடியாக
631,später::ADV,пізніше,பிறகு
632,jetzt::ADV,тепер,இப்பொழது
633,heute::ADV,сьогодні,இன்று
634,morgen::ADV,завтра,நாளைக்கு
635,bald::ADV,незабаром,சீக்கிரம்
636,dann::ADV,потім,அப்பொழுது
637,gestern::ADV,вчора,நேற்று
638,einst::ADV,колись,ஒரே முறை
639,damals::ADV,тоді,அப்பொழுது
640,danach::ADV,згодом,பிற்பாடு
641,vorher::ADV,раніше,முன்பாக
642,zuerst::ADV,спершу,முதலில்
643,zuerst::ADV,спочатку,முதலில்
644,einmal::ADV,один раз,ஒரே முறை
645,manchmal::ADV,іноді,சில நேரங்களில்
646,manchmal::ADV,інколи,சில நேரங்களில்
647,oft::ADV,часто,அடிக்கடி
648,immer::ADV,завжди,எப்பொழுதும்
649,niemals::ADV,ніколи,ஒருபோதும் இல்லை
650,hier::ADV,тут,இங்கே
651,hierhin::ADV,сюди,இவ்விடத்திற்கு
652,von hier::ADV,звідси,இனி
653,dort::ADV,там,அங்கே
654,dorthin::ADV,туди,அவ்விடத்திற்கு
655,geradeaus::ADV,прямо,முன்னாலிருக்கும்
656,vorwärts::ADV,вперед,முன்புறமாக
657,rückwärts::ADV,назад,பின்னோக்கி
658,zurück::ADV,назад,பின்பக்கம்
659,unten::ADV,внизу,கீழாக
660,hinab::ADV,вниз,கீழ் நோக்கி
661,oben::ADV,вгорі,மேலே
662,hinauf::ADV,вгору,மேலே
663,überall::ADV,скрізь,எல்லா இடத்திலும்
664,nicht::ADV,не,இல்லை
665,ein wenig::ADV,трохи,கொஞ்சம்
666,ein wenig::ADV,небагато,கொஞ்சம்
667,kaum::ADV,ледве,அரிதாக
668,sehr::ADV,дуже,மிக்க
669,so::ADV,так,மிகவும்
670,noch::ADV,ще,இப்பொழுதும்
671,nur::ADV,лише,மட்டும்
672,nur::ADV,тільки,மட்டும்
673,schon::ADV,вже,ஏற்கனவே
674,wieder::ADV,знову,மறுபடியும்
675,vergebens::ADV,дарма,வீண்
676,vor::PRP,перед,முன்
677,hinter::PRP,ззаду,பின்பக்கம்
678,hinter::PRP,позаду,பின்பக்கம்
679,unter::PRP,під,கீழே
680,durch::PRP,крізь,ஊடே
681,neben::PRP,біля,அடுத்து
682,zwischen::PRP,між,இடையில்
683,wegen::PRP,з-за,ஏனெனில்
684,wegen::PRP,через,ஏனெனில்
685,dies::PRN,це,இது
686,das::PRN,то,அது
687,alles::PRN,все,ஒவ்வொன்றும்
688,ich::PRN,я,நான்
689,du::PRN,ти,நீ
690,er::PRN,він,அவன்
691,wir::PRN,ми,நாம்
692,wir::PRN,ми,நாங்கள்
693,ihr::PRN,ви,நீங்கள்
694,sie::PRN,вони,அவர்கள்
695,was::FPRN,що,என்ன
