,Concept_ID,mhr,lez
274,Rätsel::N,ту́што,мискӏал
275,Rede::N,ойлыма́ш,рахун
276,Sprache::N,йы́лме,чӏал
277,Stimme::N,йӱк,ван
278,Wort::N,ой,гаф
279,Wort::N,мут,гаф
280,Zeichen::N,ти́ште,ишара
281,Zeichen::N,знак,ишара
282,Ruf::N,ӱжма́ш,эвер
283,Lärm::N,лӱшкыма́ш,ван-сес
284,Lärm::N,йӱк-йӱа́н,ван-сес
285,Laut::N,йӱк,ван
286,Laut::N,йӱк,сес
287,Ton::N,йӱксе́м,ван-сес
288,Lied::N,му́ро,мани
289,Ruhe::N,ты́мык,ласвал
290,Ruhe::N,ты́мык,фаракъат
291,Ruhe::N,ты́мык,асайиш
292,Leute::N,еҥ-влак,инсанар
293,Volk::N,ка́лык,халкь
294,Arbeit::N,паша́,кӏвалах
295,Gast::N,уна́,мугьман
296,Geschenk::N,пӧле́к,савкьат
297,Spiel::N,мо́дыш,къугъун
298,Spiel::N,модма́ш,къугъун
299,Gesellschaft::N,тӱшка́,жемят
300,Gesellschaft::N,тӱшка́,общество
301,Hilfe::N,по́лыш,куьмек
302,Freund::N,таҥ,дуст
303,Freund::N,йолта́ш,дуст
304,Kamerad::N,таҥ,яр-дуст
305,Angelegenheit::N,паша́,кар
306,Anzahl::N,чот,сан
307,Anzahl::N,чот,кьадар
308,Art::N,вид,жуьре
309,Stück::N,ка́тыш,кӏус
310,Stück::N,ла́стык,кӏус
311,Teil::N,ужа́ш,пай
312,Hälfte::N,пел,зур
313,Hälfte::N,пел,зур пай
314,Hälfte::N,пе́ле,зур
315,Hälfte::N,пе́ле,зур пай
316,Kreis::N,ты́ртыш,круг
317,Kreis::N,ты́ртыш,чкаяр
318,Kreis::N,ты́ртыш,элкъвей цӏар
319,Kreuz::N,ыре́с,хаш
320,Linie::N,ли́ний,цӏар
321,Strich::N,коре́ш,цӏар
322,Abstand::N,кокла́,ара
323,Entfernung::N,тора́,мензил
324,Entfernung::N,ку́жыт,мензил
325,Gegend::N,кунде́м,чка
326,Platz::N,ку́мдык,ара
327,Ort::N,вер,чка
328,Ort::N,о́лмо,чка
329,Seite::N,ӧ́рдыж,пад
330,Mitte::N,покше́л,юкь
331,Gegenstand::N,наста́,затӏ
332,Sache::N,наста́,шей
333,Sache::N,наста́,затӏ
334,Rand::N,тӱр,къерех
335,Kante::N,тӱр,син
336,Ecke::N,лук,пӏипӏ
337,Spitze::N,вуй,кӏвенкӏв
338,Ende::N,муча́ш,кьил
339,Loch::N,рож,тӏеквен
340,Winkel::N,лук,пӏипӏ
341,Muster::N,пеза́к,гишир
342,Muster::N,узо́р,гишир
343,Muster::N,ӱ́лгӧ,гишир
344,Größe::N,кӱ́кшыт,кьадар
345,Länge::N,ку́тыш,яргъивал
346,Höhe::N,кӱ́кшыт,кьакьанвал
347,Gewicht::N,не́лыт,заланвал
348,Menge::N,чот,кьадар
349,Haufen::N,кы́шыл,хара
350,Reihe::N,рада́м,жерге
351,Boot::N,пуш,луьткве
352,Ruder::N,эшка́к,кьусу
353,Schlitten::N,тер,гъелерар
354,Schlitten::N,изде́р,гъелерар
355,Ski::N,е́че,
356,Lagerfeuer::N,туло́то,цӏай
357,Last::N,нӧ́лтыш,заланвал
358,Gang::N,ошкылма́ш,ериш
359,Schritt::N,о́шкыл,къадам
360,Norden::N,йӱдйыма́л,кефер
361,Norden::N,йӱдйыма́л,кефер пад
362,Süden::N,кечывалве́л,кьибле
363,Westen::N,касве́л,рагъакӏидай пад
364,Osten::N,эрве́л,рагъэкъечӏдай пад
365,Holz::N,пу,кӏарас
366,Brett::N,оҥа́,кьул
367,Brett::N,оҥа́,тахта
368,Platte::N,аста́р,
369,Stütze::N,чара́к,даях
370,Stange::N,лома́ш,юрк
