,Concept_ID,he,eu
73,Boden::N,קרקע,zoru
74,Erde::N,אדמה,lur
75,Staub::N,אבק,hauts
76,Rauch::N,עשן,ke
77,Funke::N,ניצוץ,zirta
78,Funke::N,ניצוץ,txinparta
79,Feuer::N,אש,su
80,Licht::N,אור,argi
81,Schatten::N,צל,itzal
82,Schatten::N,צל,geriza
83,Wetter::N,מזג אויר,eguraldi
84,Nebel::N,ערפל,laino
85,Wolke::N,ענן,hodei
86,Regen::N,גשם,euri
87,Schnee::N,שלג,elur
88,Eis::N,קרח,horma
89,Frost::N,צנה,izotzaldi
90,Kälte::N,קר,hotz
91,Hitze::N,חם,bero
92,Raureif::N,כפור,antzigar
93,Regenbogen::N,קשת,ostadar
94,Regenbogen::N,קשת,ortzadar
95,Donner::N,רעם,ostots
96,Donner::N,רעם,ihurtzuri
97,Strömung::N,זרימה,laster
98,Tropfen::N,טפה,xorta
99,Schaum::N,קצף,bits
100,Schmutz::N,לכלוך,lohi
101,Schmutz::N,לכלוך,zikin
102,See::N,אגם,laku
103,See::N,אגם,aintzira
104,Sumpf::N,בצה,zingira
105,Moor::N,בצה,zohikaztegi
106,Wiese::N,מרעה,larre
107,Wiese::N,מרעה,belardi
108,Wald::N,יער,baso
109,Wald::N,יער,oihan
110,Hügel::N,תל,muino
111,Hügel::N,תל,pentoka
112,Anhöhe::N,מעלה,garai
113,Anhöhe::N,מעלה,goragune
114,Berg::N,הר,mendi
115,Gipfel::N,פסגה,gain
116,Gipfel::N,פסגה,tontor
117,Höhle::N,מערה,kobazulo
118,Abhang::N,מדרון,aldapa
119,Abhang::N,שפוע,aldapa
120,Quelle::N,מעין,iturri
121,Quelle::N,מעין,iturbegi
122,Bach::N,נחל,lats
123,Bach::N,נחל,erreka
124,Fluss::N,נהר,ibai
125,Fluss::N,נהר,uhaitz
126,Ufer::N,גדה,bazter
127,Küste::N,חוף,itsasalde
128,Festland::N,יבשה,lehor
129,Meer::N,ים,itsaso
130,Bucht::N,מפרץ,golko
131,Insel::N,אי,irla
132,Insel::N,אי,uharte
133,Blume::N,פרח,lili
134,Gras::N,דשא,belar
135,Wurzel::N,שרש,zuztar
136,Wurzel::N,שרש,sustrai
137,Baum::N,עץ,zuhaitz
138,Stamm::N,גזע,enbor
139,Rinde::N,קלפת עץ,azal
140,Ast::N,ענף,adar
141,Zweig::N,ענף,abar
142,Blatt::N,עלה,hosto
143,Birke::N,שדר,urki
144,Kiefer[Baum]::N,ארן,ler
145,Weide[Baum]::N,ערבה,zume
146,Weide[Baum]::N,ערבה,sahats
147,Tanne::N,אשוח,izei
148,Horn::N,קרן,adar
149,Feder::N,נוצה,luma
150,Feder::N,נוצה,hegaki
151,Fell::N,פרוה,ile
152,Fell::N,פרוה,larru
153,Flügel::N,כנף,hego
154,Klaue::N,טלף,atzapar
155,Kralle::N,טפר,erpe
156,Kralle::N,טפר,atzapar
157,Schwanz::N,זנב,isats
158,Schwanz::N,זנב,buztan
159,Ei::N,ביצה,arrautza
160,Nest::N,קן,habia
161,Bau::N,מחלה,ohantze
162,Tier::N,חיה,abere
163,Tier::N,חיה,piztia
164,Herde::N,עדר,saldo
165,Herde::N,עדר,abere talde
166,Kuh::N,פרה,behi
167,Bulle::N,פר,zezen
168,Pferd::N,סוס,zaldi
169,Schaf::N,כבשה,ardi
170,Schwein::N,חזיר,urde
171,Schwein::N,חזיר,txerri
172,Hund::N,כלב,txakur
173,Katze::N,חתול,katu
174,Bär::N,דב,hartz
175,Eichhörnchen::N,סנאי,urtxintxa
176,Elch::N,דישון,altze
177,Fuchs::N,שועל,azeri
178,Hase::N,ארנב,erbi
179,Maus::N,עכבר,sagu
180,Wolf::N,זאב,otso
181,Vogel::N,צפור,txori
182,Vogel::N,צפור,hegazti
183,Schwarm::N,נחיל,aldra
184,Schwarm::N,להקה,aldra
185,Huhn::N,תרנגלת,oilo
186,Hahn::N,תרנגול,oilar
187,Gans::N,אוז,antzara
188,Adler::N,עיט,arrano
189,Ente::N,ברוז,ahate
190,Eule::N,ינשוף,hontza
191,Kranich::N,עגור,kurrilo
192,Kranich::N,כרוכיה,kurrilo
193,Krähe::N,עורב,bele
194,Kuckuck::N,קוקיה,kuku
195,Schwan::N,ברבור,beltxarga
196,Fisch::N,דג,arrain
197,Barsch::N,אוקונוס,perka
198,Hecht::N,זאב הים,lutxo
199,Schlange[Tier]::N,נחש,suge
200,Wurm::N,תולעת,har
201,Spinne::N,עכביש,armiarma
202,Ameise::N,נמלה,inurri
203,Laus::N,כנה,zorri
204,Mücke::N,יתוש,eltxo
205,Fliege::N,זבוב,euli
206,Schmetterling::N,פרפר,pinpirin
207,Schmetterling::N,פרפר,tximeleta
208,Beere::N,ענבה,baia
209,Apfel::N,תפוח,sagar
210,Pilz::N,פטריה,onddo
211,Pilz::N,פטריה,perretxiko
212,Zwiebel::N,בצל,tipula
213,Saat::N,זרעים,haziak
214,Korn::N,גרעין,ale
215,Korn::N,גרעין,pikor
216,Heu::N,חציר,belar ondu
217,Schale::N,קלפה,azal
218,Grube::N,בור,hobi
219,Grube::N,שוחה,hobi
220,Falle::N,מלכדת,harrapagailu
221,Schlinge::N,לולאה,bilur
222,Schlinge::N,לולאה,xedera
223,Spur::N,עקבה,lorratz
224,Asche::N,אפר,errauts
225,Dreck::N,זהמה,satsukeria
226,Eisen::N,ברזל,burdina
227,Gold::N,זהב,urre
228,Gold::N,זהב,urregorri
229,Silber::N,כסף,zilar
230,Silber::N,כסף,urrezuri
231,Kohle::N,פחם,ikatz
232,Glas::N,זכוכית,beira
233,Lehm::N,חרסית,buztin
234,Sand::N,חול,harea
235,Sand::N,חול,hondar
236,Mensch::N,אדם,gizaki
237,Mann::N,איש,gizon
238,Mann::N,גבר,gizon
239,Frau::N,אשה,andere
240,Frau::N,אשה,emakume
241,Frau::N,גברת,andere
242,Frau::N,גברת,emakume
243,Kind::N,ילד,haur
244,Junge::N,ילד,mutil
245,Mädchen::N,נערה,neska
246,Familie::N,משפחה,sendi
247,Familie::N,משפחה,familia
248,Großvater::N,סבא,aitona
249,Großvater::N,סבא,aitatxi
250,Großmutter::N,סבתא,amona
251,Großmutter::N,סבתא,amatxi
252,Eltern::N,הורים,gurasoak
253,Vater::N,אב,aita
254,Mutter::N,אם,ama
255,Sohn::N,בן,seme
256,Tochter::N,בת,alaba
257,Bruder::N,אח,neba
258,Bruder::N,אח,anaia
259,Schwester::N,אחות,ahizpa
260,Onkel::N,דוד,osaba
261,Tante::N,דודה,izeba
262,Ehemann::N,איש,senar
263,Ehemann::N,בעל,senar
264,Ehefrau::N,אשה,emazte
265,Freude::N,שמחה,poz
266,Freude::N,שמחה,pozkari
267,Gelächter::N,צחוק,barre
268,Gelächter::N,צחוק,karkara
269,Glück::N,אשר,zori
270,Kummer::N,יגון,xangrin
271,Kummer::N,יגון,atsekabe
272,Kummer::N,עגמה,xangrin
273,Kummer::N,עגמה,atsekabe
274,Wunsch::N,אחול,nahi
275,Wunsch::N,אחול,nahikunde
276,Wunsch::N,משאלה,nahi
277,Wunsch::N,משאלה,nahikunde
278,Lust::N,חשק,gogo
279,Lust::N,תשוקה,gogo
280,Geist::N,רוח,gogo
281,Gedanke::N,מחשבה,gogoeta
282,Gedächtnis::N,זכרון,oroimen
283,Gedächtnis::N,זכרון,gogoramen
284,Verstand::N,שכל,adimen
285,Verstand::N,שכל,ulermen
286,Sinn::N,מובן,zentzu
287,Sinn::N,משמעות,zentzu
288,Grund::N,סבה,zergati
289,Wahrheit::N,אמת,egia
290,Gespräch::N,דיון,hizketa
291,Gespräch::N,דיון,elkarrizketa
292,Märchen::N,אגדה,ipuin
293,Erzählung::N,ספור,edesti
294,Erzählung::N,ספור,kontakizun
295,Nachricht::N,ידיעה,albiste
296,Neuigkeit::N,חדשה,berri
297,Name::N,שם,izen
298,Rätsel::N,תעלומה,asmakizun
299,Rede::N,נאום,hitzaldi
300,Rede::N,נאום,mintzaldi
301,Sprache::N,לשון,hizkuntza
302,Stimme::N,קול,ahots
303,Wort::N,מלה,hitz
304,Zeichen::N,סימן,agerbide
305,Zeichen::N,סימן,agergarri
306,Ruf::N,קריאה,dei
307,Lärm::N,רעש,zarata
308,Lärm::N,רעש,harrabots
309,Laut::N,הגה,hots
310,Ton::N,צליל,tonu
311,Ton::N,צליל,soinu
312,Lied::N,שיר,abesti
313,Ruhe::N,שלוה,nasaitasun
314,Leute::N,אנשים,jende
315,Volk::N,עם,herri
316,Volk::N,עם,populu
317,Arbeit::N,עבודה,lan
318,Gast::N,אורח,arrotz
319,Gast::N,אורח,apopilo
320,Geschenk::N,מתנה,opari
321,Spiel::N,משחק,jolas
322,Gesellschaft::N,חברה,gizarte
323,Hilfe::N,עזרה,helpide
324,Hilfe::N,עזרה,laguntza
325,Freund::N,חבר,lagun
326,Freund::N,ידיד,lagun
327,Kamerad::N,רע,adiskide
328,Kamerad::N,רע,lagunkide
329,Angelegenheit::N,ענין,afera
330,Anzahl::N,מספר,kopuru
331,Art::N,סוג,mota
332,Stück::N,חתיכה,puska
333,Teil::N,פרק,atal
334,Hälfte::N,חצי,erdi
335,Kreis::N,מעגל,biribilki
336,Kreuz::N,צלב,gurutze
337,Linie::N,קו,linea
338,Strich::N,קו קצר,marra
339,Abstand::N,מרחק,tarte
340,Entfernung::N,מרחק,urrunera
341,Gegend::N,נוף,alderdi
342,Gegend::N,נוף,eskualde
343,Platz::N,שטח,leku
344,Ort::N,אתר,toki
345,Ort::N,מקום,toki
346,Seite::N,צד,albo
347,Mitte::N,אמצע,erdi
348,Gegenstand::N,אוביקט,gauzaki
349,Sache::N,דבר,gauza
350,Rand::N,פרור,ertz
351,Kante::N,קצה,ertz
352,Ecke::N,פנה,kantoi
353,Spitze::N,קצה,punta
354,Ende::N,סוף,buru
355,Ende::N,סוף,mutur
356,Loch::N,חר,zulo
357,Winkel::N,פנה,zoko
358,Winkel::N,פנה,bazter
359,Muster::N,תבנית,eredu
360,Muster::N,תבנית,marrazki
361,Größe::N,גדל,kaizu
362,Größe::N,גדל,tamaina
363,Länge::N,ארך,luzera
364,Höhe::N,קומה,goiera
365,Höhe::N,קומה,garaiera
366,Höhe::N,גבה,goiera
367,Höhe::N,גבה,garaiera
368,Gewicht::N,משקל,hazta
369,Menge::N,כמות,kopuru
370,Haufen::N,ערמה,pila
371,Haufen::N,ערמה,mendoi
372,Reihe::N,רצף,ilara
373,Reihe::N,רצף,errenkada
374,Boot::N,סירה,potin
375,Boot::N,סירה,txalupa
376,Ruder::N,משוט,arraun
377,Schlitten::N,מזחלת,lera
378,Schlitten::N,מזחלת,narra
379,Ski::N,מגלשים,eski
380,Lagerfeuer::N,מדורה,su
381,Last::N,משא,zama
382,Last::N,משא,karga
383,Gang::N,הליכה,ibilera
384,Schritt::N,צעד,pauso
385,Schritt::N,צעד,urrats
386,Norden::N,צפון,ipar
387,Norden::N,צפון,iparralde
388,Süden::N,דרום,hego
389,Süden::N,דרום,hegoalde
390,Westen::N,מערב,sartalde
391,Westen::N,מערב,mendebalde
392,Osten::N,מזרח,ekialde
393,Osten::N,מזרח,sortalde
394,Holz::N,עץ,zur
395,Brett::N,קרש,ohol
396,Platte::N,לוח,lauza
397,Stütze::N,משען,irozgarri
398,Stütze::N,משען,bermagailu
399,Stange::N,מוט,haga
400,Stock::N,מקל,makila
401,Stab::N,מוט,makila
402,Rohr::N,צנור,hodi
403,Haus::N,בית,etxe
404,Heim::N,בית,etxe
405,Heim::N,בית,etxaleku
406,Ofen::N,תנור,berogailu
407,Fußboden::N,רצפה,zoru
408,Tisch::N,שלחן,mahai
409,Stuhl::N,כסא,aulki
410,Wiege::N,ערש,kuma
411,Wiege::N,ערש,sehaska
412,Bett::N,מטה,ohe
413,Bett::N,מטה,ohatze
414,Regal::N,מדף,apalategi
415,Kiste::N,תבה,kutxa
416,Kiste::N,ארגז,kutxa
417,Fenster::N,חלון,leiho
418,Tür::N,דלת,ate
419,Tor::N,שער,atari
420,Zaun::N,גדר,hesi
421,Dach::N,גג,teilatu
422,Leiter::N,סלם,zurubi
423,Besen::N,מטאטא,erratz
424,Spaten::N,את,burdinpala
425,Schaufel::N,את,pala
426,Gabel::N,מזלג,sardexka
427,Löffel::N,כף,koilara
428,Messer::N,סכין,aizto
429,Nagel::N,מסמר,iltze
430,Netz::N,רשת,sare
431,Haken::N,וו,mako
432,Haken::N,קרס,mako
433,Griff::N,ידית,eskutoki
434,Schloss::N,מנעול,sarraila
435,Bild::N,תמונה,irudi
436,Figur::N,פסל,figura
437,Puppe::N,בבה,panpina
438,Puppe::N,בבה,andrakila
439,Beutel::N,שק,zorro
440,Bündel::N,צרור,azao
441,Bündel::N,צרור,espal
442,Tasche::N,שקית,poltsa
443,Eimer::N,דלי,treska
444,Deckel::N,מכסה,tapa
445,Deckel::N,מכסה,estalki
446,Geschirr::N,כלים,baxera
447,Geschirr::N,כלים,ontziteria
448,Sack::N,שק,zaku
449,Tasse::N,ספל,kikara
450,Topf::N,סיר,ontzi
451,Topf::N,סיר,lapiko
452,Kessel::N,קנקן,pazia
453,Essen::N,אכל,janaldi
454,Essen::N,ארוחה,janaldi
455,Nahrung::N,הזנה,jan
456,Nahrung::N,תזונה,jan
457,Speise::N,מאכל,jaki
458,Speise::N,ארוחה,jaki
459,Fleisch::N,בשר,okela
460,Fleisch::N,בשר,haragi
461,Getreide::N,דגן,labore
462,Brei::N,מחית,ahi
463,Brei::N,מחית,pure
464,Brot::N,לחם,ogi
465,Scheibe::N,עגול,xerra
466,Scheibe::N,עגול,pirripita
467,Scheibe::N,פרוסה,xerra
468,Scheibe::N,פרוסה,pirripita
469,Fett::N,שמן,urin
470,Fett::N,שמן,koipe
471,Butter::N,חמאה,gurin
472,Öl::N,שמן,olio
473,Salz::N,מלח,gatz
474,Suppe::N,מרק,zopa
475,Suppe::N,מרק,salda
476,Honig::N,דבש,ezti
477,Milch::N,חלב,esne
478,Tee::N,תה,te
479,Leder::N,עור,larru
480,Wolle::N,צמר,artile
481,Stoff::N,בד,ehun
482,Stoff::N,אריג,ehun
483,Nadel::N,מחט,orratz
484,Nadel::N,מחט,jostorratz
485,Faden::N,חוט,hari
486,Knopf::N,כפתור,botoi
487,Knoten::N,קשר,korapilo
488,Farbe::N,צבע,pintura
489,Kleidung::N,בגדים,arropa
490,Kleidung::N,בגדים,jantziak
491,Hemd::N,חלצה,atorra
492,Hemd::N,חלצה,alkandora
493,Kragen::N,צוארון,idun
494,Ärmel::N,שרוול,mahuka
495,Hose::N,מכנסים,prakak
496,Hose::N,מכנסים,galtzak
497,Gürtel::N,חגורה,gerriko
498,Mütze::N,כובע,txano
499,Mütze::N,כובע,txapel
500,Schuh::N,נעל,oski
501,Schuh::N,נעל,oinetako
502,Stiefel::N,מגף,bota
503,Ring::N,טבעת,uztai
504,Band::N,סרט,zinta
505,Band::N,סרט,xingola
506,Kamm::N,מסרק,orrazi
507,Spiegel::N,מראה,mirail
508,Riemen::N,רצועה,uhal
509,Schnur::N,חבל,lokailu
510,Leine::N,מושכות,lotura
511,Decke::N,שמיכה,burusi
512,Kissen::N,כרית,kuxin
513,Tuch::N,צעיף,zapi
514,Tuch::N,צעיף,oihal
515,Handtuch::N,מגבת,eskuzapi
516,Handtuch::N,מגבת,eskuoihal
517,Kraft::N,כוח,indar
518,Stärke::N,און,indar
519,Gesundheit::N,בריאות,osasun
520,Krankheit::N,מחלה,eritasun
521,Krankheit::N,מחלה,gaixotasun
522,Schmerz::N,כאב,min
523,Wunde::N,פציעה,zauri
524,Fieber::N,חם,sukar
525,Arznei::N,תרופה,osagai
526,Arznei::N,תרופה,sendagai
527,Brücke::N,גשר,zubi
528,Brunnen::N,באר,putzu
529,Weide::N,אחו,alha
530,Weide::N,אחו,bazkaleku
531,Weide::N,מרעה,alha
532,Weide::N,מרעה,bazkaleku
533,Pfad::N,שביל,zidor
534,Pfad::N,שביל,bidexka
535,Pfad::N,מדרכה,zidor
536,Pfad::N,מדרכה,bidexka
537,Weg::N,דרך,bide
538,Straße::N,כביש,errepide
539,Dorf::N,כפר,herri
540,Stadt::N,עיר,hiri
541,Brief::N,מכתב,gutun
542,Brief::N,מכתב,eskutitz
543,Buch::N,ספר,liburu
544,Buchstabe::N,אות,hizki
545,Zeitung::N,עתון,egunkari
546,Leben::N,חיים,bizi
547,Leben::N,חיים,bizitza
548,Tod::N,מות,herio
549,Tod::N,מות,heriotza
550,Grab::N,קבר,hobi
551,Grab::N,קבר,hilobi
552,Kirche::N,כנסיה,eliza
553,Sünde::N,חטא,hoben
554,Sünde::N,חטא,bekatu
555,Gott::N,אל,jainko
556,Arbeiter::N,פועל,langile
557,Arbeiter::N,פועל,behargin
558,Chef::N,ראש,nagusi
559,Chef::N,מנהל,nagusi
560,Meister::N,ממחה,maisu
561,Arzt::N,רופא,osagile
562,Arzt::N,רופא,sendagile
563,Lehrer::N,מורה,irakasle
564,Geld::N,כסף,diru
565,Geschäft::N,עסקה,negozio
566,Laden::N,חנות,denda
567,Laden::N,חנות,saltegi
568,Preis::N,מחיר,prezio
569,Preis::N,מחיר,salneurri
570,Ware::N,סחורה,salgai
571,Nutzen::N,תועלת,onura
572,Nutzen::N,תועלת,probetxu
573,Reichtum::N,עשר,aberastasun
574,Welt::N,עולם,ludi
575,Welt::N,עולם,mundu
576,Land::N,ארץ,herrialde
577,Staat::N,מדינה,estatu
578,König::N,מלך,errege
579,Macht::N,כוח,botere
580,Grenze::N,גבול,muga
581,Krieg::N,מלחמה,guda
582,Feind::N,אויב,etsai
583,Feind::N,אויב,arerio
584,Gewalt::N,אלימות,bortxa
585,Gewalt::N,אלימות,bortizkeria
586,Kampf::N,קרב,gudu
587,Kampf::N,קרב,auska
588,Kampf::N,לחימה,gudu
589,Kampf::N,לחימה,auska
590,Bogen[Waffe]::N,קשת,arku
591,Pfeil::N,חץ,gezi
592,Gewehr::N,רובה,fusil
593,Fehler::N,טעות,huts
594,Fehler::N,טעות,hutsegin
595,Lüge::N,שקר,gezur
596,Schaden::N,נזק,kalte
597,Unglück::N,מזל רע,zoritxar
598,Unglück::N,מזל רע,zorigaitz
599,Schuld::N,אשמה,erru
600,Alter::N,גיל,adin
601,Schluss::N,סיום,bukaera
602,Zeit::N,זמן,aldi
603,Zeit::N,זמן,denbora
604,Tag::N,יום,egun
605,Morgen::N,בקר,goiz
606,Mittag::N,צהרים,eguerdi
607,Abend::N,ערב,arrats
608,Nacht::N,לילה,gau
609,Woche::N,שבוע,aste
610,Monat::N,חדש,hil
611,Jahr::N,שנה,urte
612,Frühling::N,אביב,udalehen
613,Sommer::N,קיץ,uda
614,Herbst::N,סתו,udazken
615,Herbst::N,סתו,neguantz
616,Winter::N,חרף,negu
617,Januar::N,ינואר,urtarril
618,Februar::N,פברואר,otsail
619,März::N,מרץ,martxo
620,April::N,אפריל,apiril
621,Mai::N,מאי,maiatz
622,Juni::N,יוני,ekain
623,Juli::N,יולי,uztail
624,August::N,אוגוסט,abuztu
625,September::N,ספטמבר,irail
626,Oktober::N,אוקטובר,urri
627,November::N,נובמבר,azaro
628,Dezember::N,דצמבר,abendu
629,Montag::N,יום שני,astelehen
630,Dienstag::N,יום שלישי,astearte
631,Mittwoch::N,יום רביעי,asteazken
632,Donnerstag::N,יום חמישי,ostegun
633,Freitag::N,יום ששי,ostiral
634,Samstag::N,יום שבת,larunbat
635,Sonntag::N,יום ראשון,igande
636,groß::A,גדול,handi
637,klein::A,קטן,txiki
638,lang::A,ארך,luze
639,kurz::A,קצר,labur
640,breit::A,רחב,zabal
641,schmal::A,צר,mehar
642,dicht::A,צפוף,sarri
643,dicht::A,צפוף,trinko
644,dick[Gegenstand]::A,עבה,lodi
645,dünn::A,דק,mehe
646,fein::A,מעדן,fin
647,fest::A,מוצק,tinko
648,flach::A,שטוח,lau
649,flach::A,שטוח,ordoki
650,glatt::A,חלק,leun
651,hart::A,קשיח,gogor
652,weich::A,רך,bigun
653,weich::A,רך,beratz
654,rund::A,עגל,biribil
655,spitz::A,חד,puntadun
656,scharf::A,חד,zorrotz
657,stumpf::A,קהה,kamuts
658,schwer::A,כבד,astun
659,schwer::A,כבד,pisutsu
660,schön::A,יפה,eder
661,heiß::A,חם,bero
662,heiß::A,חם,oso bero
663,warm::A,חם,bero
664,kalt::A,קר,hotz
665,kühl::A,צונן,hotzil
666,frisch::A,טרי,fresko
667,frisch::A,טרי,hozkirri
668,feucht::A,לח,heze
669,nass::A,רטוב,busti
670,trocken::A,יבש,siku
671,trocken::A,יבש,lehor
672,voll::A,מלא,bete
673,leer::A,ריק,huts
674,offen::A,פתוח,ireki
675,geschlossen::A,סגור,itxita
676,sauber::A,נקי,xahu
677,sauber::A,נקי,garbi
678,schmutzig::A,מלכלך,lohi
679,schmutzig::A,מלכלך,zikin
680,roh::A,חי,gordin
681,reif::A,בשל,umo
682,reif::A,בשל,heldu
683,lecker::A,טעים,goxo
684,süß::A,מתוק,goxo
685,bitter::A,מר,karmin
686,bitter::A,מר,garratz
687,sauer::A,חמוץ,mingots
688,hell::A,בהיר,argi
689,dunkel::A,עמום,ilun
690,schwarz::A,שחר,beltz
691,weiß::A,לבן,zuri
692,rot::A,אדם,gorri
693,gelb::A,צהב,hori
694,blau::A,כחל,urdin
695,grün::A,ירק,berde
696,grün::A,ירק,musker
697,grau::A,אפר,urdin
698,grau::A,אפר,urdinabar
699,bunt::A,צבעוני,koloretsu
700,billig::A,זול,merke
701,teuer::A,יקר,garesti
702,wertvoll::A,יקר ערך,baliotsu
703,blind::A,עור,itsu
704,taub::A,חרש,gor
705,kräftig::A,חסן,kementsu
706,stark::A,חזק,bizkor
707,stark::A,חזק,indartsu
708,schwach::A,חלש,ahul
709,schwach::A,חלש,indargabe
710,fett::A,שמן,gizen
711,schlank::A,רזה,lerden
712,hübsch::A,יפה תאר,polit
713,böse::A,רשע,tzar
714,böse::A,רשע,gaizto
715,dumm::A,טפש,lelo
716,dumm::A,טפש,pello
717,faul::A,עצלן,nagi
718,faul::A,עצלן,alfer
719,fleißig::A,חרוץ,maratz
720,fleißig::A,חרוץ,lanzale
721,geizig::A,קמצן,zeken
722,geizig::A,קמצן,zikoitz
723,klug::A,נבון,zuhur
724,klug::A,פקח,zuhur
725,geschickt::A,מימן,trebe
726,geschickt::A,מימן,antzetsu
727,lieb::A,יקר,maite
728,lieb::A,יקר,laztan
729,lieb::A,אהוב,maite
730,lieb::A,אהוב,laztan
731,lustig::A,עליז,alaitsu
732,sanft::A,עדין,eme
733,sanft::A,עדין,ezti
734,hungrig::A,רעב,gose
735,krank::A,חולה,eri
736,krank::A,חולה,gaixo
737,nackt::A,ערום,biluzi
738,traurig::A,עצוב,itun
739,traurig::A,עצוב,betilun
740,lebendig::A,חי,bizirik
741,gut::A,טוב,on
742,schlecht::A,גרוע,txar
743,richtig::A,נכון,zuzen
744,schlimm::A,רע,larri
745,wahr::A,אמתי,egiazko
746,alt::A,ישן,zahar
747,neu::A,חדש,berri
748,ehemalig::A,לשעבר,lehengo
749,alt[Lebewesen]::A,זקן,adindun
750,jung::A,צעיר,gazte
751,arm::A,עני,txiro
752,arm::A,עני,behartsu
753,reich::A,עשיר,dirudun
754,bekannt::A,ידוע,ezagun
755,berühmt::A,מפרסם,entzun
756,berühmt::A,מפרסם,ospetsu
757,fremd::A,זר,arrotz
758,verschieden::A,שונה,ezberdin
759,verschieden::A,שונה,desberdin
760,nah::A,קרוב,hurre
761,nah::A,קרוב,hurbil
762,fern::A,רחוק,urrun
763,linker::A,שמאלי,ezker
764,rechter::A,ימין,eskuin
765,anderer::A,אחר,beste
766,erster::A,ראשון,lehen
767,erster::A,ראשון,aurren
768,zweiter::A,שני,bigarren
769,dritter::A,שלישי,hirugarren
770,letzter::A,אחרון,azken
771,letzter::A,אחרון,hondar
772,allein::ADV,לבד,bakarrik
773,auf einmal::ADV,בו-זמנית,batera
774,zusammen::ADV,ביחד,elkarrekin
775,lange::ADV,הרבה זמן,luzaro
776,plötzlich::ADV,לפתע,bat-batean
777,plötzlich::ADV,פתאום,bat-batean
778,sofort::ADV,מיד,berehala
779,später::ADV,לאחר זמן,gero
780,später::ADV,יותר מאחר,gero
781,jetzt::ADV,עכשיו,orain
782,heute::ADV,היום,gaur
783,morgen::ADV,מחר,bihar
784,bald::ADV,בקרוב,aurki
785,bald::ADV,בקרוב,laster
786,dann::ADV,אחר-כך,ondoren
787,gestern::ADV,אתמול,atzo
788,einst::ADV,לפנים,antzina
789,damals::ADV,אז,orduan
790,danach::ADV,אחר-כך,gerora
791,danach::ADV,אחר-כך,ondoren
792,vorher::ADV,לפני זה,lehenago
793,zuerst::ADV,קדם,aurrena
794,zuerst::ADV,קדם,lehenbizi
795,einmal::ADV,פעם,behin
796,einmal::ADV,פעם,aldi bat
797,manchmal::ADV,לפעמים,batzuetan
798,manchmal::ADV,לפעמים,zenbaitetan
799,oft::ADV,לעתים קרובות,maiz
800,oft::ADV,לעתים קרובות,askotan
801,immer::ADV,תמיד,beti
802,niemals::ADV,אף פעם,inoiz ez
803,niemals::ADV,אף פעם,sekula ez
804,hier::ADV,כאן,hemen
805,hierhin::ADV,פה,hona
806,von hier::ADV,מפה,hemendik
807,von hier::ADV,מפה,honetatik
808,dort::ADV,שם,han
809,dorthin::ADV,שם,hara
