,Concept_ID,et,lbe
55,Atem::N,hingamine,ссихӏ бигьаву
56,Hunger::N,nälg,ккаши
57,Träne::N,pisar,макь
58,Geschmack::N,maitse,тӏин
59,Geschmack::N,maitse,тӏааьн
60,Geruch::N,lõhn,кьанкь
61,Schlaf::N,uni,шану
62,Traum::N,unenägu,макӏру
63,Himmel::N,taevas,ссав
64,Sonne::N,päike,баргъ
65,Mond::N,kuu,барз
66,Stern::N,täht,цӏуку
67,Luft::N,õhk,гьава
68,Wind::N,tuul,марч
69,Welle::N,laine,щатӏи
70,Wasser::N,vesi,щин
71,Stein::N,kivi,чару
72,Boden::N,maa,аьрщи
73,Boden::N,pinnas,аьрщи
74,Erde::N,maa,аьрщи
75,Staub::N,põrm,ххит
76,Rauch::N,suits,пуркӏу
77,Funke::N,säde,пиягь
78,Feuer::N,tuli,цӏу
79,Licht::N,valgus,чани
80,Schatten::N,vari,ххют
81,Wetter::N,ilm,гьава
82,Nebel::N,udu,шархь ттурлу
83,Wolke::N,pilv,ттурлу
84,Regen::N,sadu,гъарал
85,Schnee::N,lumi,марххала
86,Eis::N,jää,микӏ
87,Frost::N,pakane,дяркъу
88,Frost::N,pakane,замгьар
89,Kälte::N,külm,дяркъу
90,Kälte::N,külmus,дяркъу
91,Hitze::N,kuumus,кӏиришиву
92,Hitze::N,palavus,кӏиришиву
93,Raureif::N,härmatis,сил
94,Raureif::N,härmatis,бурса
95,Regenbogen::N,vikerkaar,ссурул ккуртта
96,Donner::N,kõu,къув
97,Donner::N,müristamine,къув
98,Strömung::N,voolus,экьинанаву
99,Strömung::N,jõevool,экьинанаву
100,Tropfen::N,tilk,кӏунтӏ
101,Schaum::N,vaht,хьама
102,Schmutz::N,pori,кьяркьи
103,Schmutz::N,mustus,кьяркьи
104,See::N,järv,бяр
105,Sumpf::N,soo,кунцӏа
106,Moor::N,raba,
107,Wiese::N,aas,кьан
108,Wiese::N,nurm,кьан
109,Wald::N,mets,вацӏа
110,Hügel::N,küngas,бакӏу
111,Anhöhe::N,küngas,
112,Berg::N,mägi,зунтту
113,Gipfel::N,mäetipp,мицӏ
114,Höhle::N,koobas,нух
115,Abhang::N,nõlvak,сун
116,Quelle::N,allikas,дайдихьу
117,Quelle::N,allikas,бакӏ
118,Bach::N,oja,чӏрир нех
119,Fluss::N,jõgi,нех
120,Ufer::N,kallas,зума
121,Küste::N,rannik,зумаинхалу
122,Küste::N,rannik,зуманицӏалу
123,Festland::N,mander,кьири
124,Festland::N,maismaa,кьири
125,Meer::N,meri,хьхьири
126,Bucht::N,laht,
127,Insel::N,saar,жазира
128,Blume::N,lill,тӏутӏи
129,Gras::N,rohi,уртту
130,Wurzel::N,juur,мархха
131,Baum::N,puu,мурхь
132,Stamm::N,tüvi,ттарцӏ
133,Rinde::N,koor,ккамара
134,Ast::N,oks,матӏи
135,Zweig::N,oks,къяртта
136,Blatt::N,leht,чӏапӏи
137,Birke::N,kask,кӏялахӏи
138,Birke::N,kask,кӏялахӏилул мурхь
139,Kiefer[Baum]::N,mänd,ттар
140,Kiefer[Baum]::N,mänd,ттарлил мурхь
141,Weide[Baum]::N,paju,щавщи
142,Tanne::N,nulg,ттарлил мурхь
143,Horn::N,sarv,хъи
144,Feder::N,sulg,лелуххул тӏиму
145,Fell::N,karvkate,бурчу
146,Fell::N,karusnahk,бурчу
147,Flügel::N,tiib,хъа
148,Flügel::N,tiib,ххурупӏайрал тӏиму
149,Flügel::N,tiivik,хъа
150,Flügel::N,tiivik,ххурупӏайрал тӏиму
151,Klaue::N,küüs,михь
152,Kralle::N,küünis,ххяппа
153,Schwanz::N,saba,магъ
154,Ei::N,muna,ккунук
155,Nest::N,pesa,кюру
156,Bau::N,urg,цукъуккутӏ
157,Tier::N,loom,хӏайван
158,Herde::N,kari,газу
159,Kuh::N,lehm,оьл
160,Bulle::N,pull,ниц
161,Pferd::N,hobune,чу
162,Schaf::N,lammas,тта
163,Schwein::N,siga,дунгъуз
164,Hund::N,koer,ккаччи
165,Katze::N,kass,ччиту
166,Bär::N,karu,цуша
167,Eichhörnchen::N,orav,бюрхттукку
168,Elch::N,põder,ниц-бюрин
169,Fuchs::N,rebane,цулчӏа
170,Fuchs::N,rebane,куча цулчӏа
171,Hase::N,jänes,бюрх
172,Maus::N,hiir,кӏулу
173,Wolf::N,hunt,барцӏ
174,Vogel::N,lind,лелуххи
175,Schwarm::N,parv,гьухъала
176,Huhn::N,kana,аьнакӏи
177,Hahn::N,kukk,ажари
178,Gans::N,hani,къаз
179,Adler::N,kotkas,барзу
180,Ente::N,part,урдак
181,Eule::N,kakk,ису
182,Eule::N,kakk,ччиккумяв
183,Eule::N,öökull,ису
184,Eule::N,öökull,ччиккумяв
185,Kranich::N,kurg,кьурукь
186,Krähe::N,vares,хъатӏу
187,Kuckuck::N,kägu,ччикку
188,Schwan::N,luik,урттил къаз
189,Fisch::N,kala,чавахъ
190,Barsch::N,ahven,
191,Hecht::N,haug,
192,Schlange[Tier]::N,uss,шатта
193,Wurm::N,uss,кьюнукьай шатта
194,Wurm::N,vagel,кьюнукьай шатта
195,Spinne::N,ämblik,ххялцу
196,Ameise::N,sipelgas,митӏикьукьу
197,Laus::N,täi,
198,Mücke::N,sääsk,мичӏак
199,Fliege::N,kärbes,зимиз
200,Schmetterling::N,liblikas,чӏимучӏали
201,Beere::N,mari,хӏаллил ахъулсса
202,Apfel::N,õun,гьивч
203,Pilz::N,seen,ттуккул иис
204,Zwiebel::N,sibul,лаччул чсмусул бакӏ
205,Saat::N,seeme,гьанна
206,Korn::N,iva,къама
207,Korn::N,tera,къама
208,Heu::N,hein,ххулув
209,Schale::N,koor,ккиртту
210,Grube::N,kaevand,кӏаланг
211,Falle::N,lõks,къатӏа
212,Falle::N,püünis,къатӏа
213,Schlinge::N,aas,хӏатӏ
214,Spur::N,jälg,ша
215,Asche::N,tuhk,лах
216,Dreck::N,saast,кьяркьи
217,Dreck::N,saast,венп
218,Dreck::N,mustus,кьяркьи
219,Dreck::N,mustus,венп
220,Eisen::N,raud,мах
221,Gold::N,kuld,муси
222,Silber::N,hõbe,арцу
223,Kohle::N,süsi,кӏалаш
224,Kohle::N,süsi,хъуручӏ
225,Glas::N,klaas,пюрун
226,Lehm::N,savi,сина аьрщи
227,Sand::N,liiv,къун
228,Mensch::N,inimene,инсан
229,Mann::N,mees,чув
230,Mann::N,mees,адимина
231,Frau::N,naine,щарсса
232,Frau::N,naine,хъамитайпа
233,Kind::N,laps,чӏиви оьрчӏ
234,Junge::N,poiss,оьрчӏ
235,Junge::N,poiss,бурхьин оьрчӏ
236,Mädchen::N,tüdruk,душ
237,Familie::N,perekond,кулпат
238,Großvater::N,vanaisa,ттатта
239,Großvater::N,vanaisa,ниттил ппу
240,Großmutter::N,vanaema,буттал нину
241,Eltern::N,vanemad,нину-ппу
242,Vater::N,isa,ппу
243,Mutter::N,ema,нину
244,Sohn::N,poeg,арс
245,Tochter::N,tütar,душ
246,Bruder::N,vend,уссу
247,Schwester::N,õde,ссу
248,Onkel::N,onu,буттауссу
249,Tante::N,tädi,буттал ссу
250,Ehemann::N,mees,лас
251,Ehemann::N,abikaasa,лас
252,Ehefrau::N,naine,щар
253,Ehefrau::N,naine,щарсса
254,Ehefrau::N,abikaasa,щар
255,Ehefrau::N,abikaasa,щарсса
256,Freude::N,rõõm,шадшиву
257,Freude::N,rõõm,ххаришиву
258,Gelächter::N,naer,хъяхъаву
259,Glück::N,õnn,талихӏ
260,Kummer::N,mure,дард
261,Kummer::N,kurbus,дард
262,Wunsch::N,soov,мурад
263,Lust::N,himu,гьавас
264,Lust::N,himu,ччаву
265,Geist::N,vaim,рухӏ
266,Gedanke::N,mõte,пикри
267,Gedächtnis::N,mälu,дакӏний личӏаву
268,Verstand::N,aru,аькьлу
269,Verstand::N,mõistus,аькьлу
270,Sinn::N,tähendus,мяъна
271,Grund::N,põhjus,багьана
272,Wahrheit::N,tõde,тӏайламур
273,Wahrheit::N,tõde,хӏакьмур
274,Gespräch::N,kõne,ихтилат
275,Gespräch::N,vestlus,ихтилат
276,Märchen::N,muinasjutt,магьа
277,Erzählung::N,jutustus,хавар
278,Nachricht::N,teade,хавар
279,Neuigkeit::N,uudis,хавар
280,Name::N,nimi,цӏа
281,Rätsel::N,mõistatus,ссигьа
282,Rede::N,kõne,гъалгъа
283,Sprache::N,keel,маз
284,Stimme::N,hääl,чӏу
285,Stimme::N,hääl,чӏукӏа
286,Wort::N,sõna,махъ
287,Zeichen::N,märk,лишан
288,Ruf::N,hüüe,
289,Lärm::N,müra,чӏу
290,Laut::N,hääl,чӏу
291,Ton::N,toon,чӏу
292,Lied::N,laul,балай
293,Ruhe::N,rahu,дигьалагру
294,Ruhe::N,vaikus,дигьалагру
295,Leute::N,inimesed,инсантал
296,Volk::N,rahvas,ил
297,Volk::N,rahvas,халкь
298,Arbeit::N,töö,заву
299,Gast::N,külaline,хъамаличу
300,Geschenk::N,kingitus,бухчакарши
301,Geschenk::N,kingitus,лажинккакку
302,Spiel::N,mäng,тӏуркӏу
303,Gesellschaft::N,selts,жямат
304,Gesellschaft::N,selts,ккуран
305,Hilfe::N,abi,кумаг
306,Freund::N,sõber,дус
307,Kamerad::N,sõber,хӏаласу
308,Angelegenheit::N,asi,иш
309,Anzahl::N,arv,аьдад
310,Anzahl::N,hulk,аьдад
311,Art::N,liik,жинс
312,Stück::N,tükk,касак
313,Teil::N,osa,бутӏа
314,Hälfte::N,pool,дачӏи
315,Kreis::N,ring,кюрщан
316,Kreuz::N,rist,ххач
317,Linie::N,joon,щва
318,Strich::N,joon,щва
319,Abstand::N,vahe,манзил
320,Entfernung::N,kaugus,манзил
321,Entfernung::N,vahemaa,манзил
322,Gegend::N,ümbrus,кӏану
323,Platz::N,ruum,
324,Ort::N,paik,кӏану
325,Seite::N,pool,чул
326,Seite::N,pool,чулухалу
327,Mitte::N,keskpaik,дя
328,Gegenstand::N,ese,зат
329,Sache::N,ese,зат
330,Rand::N,äär,зума
331,Rand::N,serv,зума
332,Kante::N,kant,
333,Ecke::N,nurk,мурцӏу
334,Spitze::N,teravik,мицӏ
335,Ende::N,ots,зума
336,Ende::N,jupp,зума
337,Loch::N,auk,ккутӏ
338,Winkel::N,nurk,мурцӏу
339,Muster::N,muster,накьич
340,Größe::N,suurus,
341,Länge::N,pikkus,лахъишиву
342,Höhe::N,kõrgus,лахъшиву
343,Gewicht::N,kaal,дуццин
344,Gewicht::N,kaal,кӏушиву
345,Gewicht::N,raskus,дуццин
346,Gewicht::N,raskus,кӏушиву
347,Menge::N,arv,
348,Menge::N,hulk,
349,Haufen::N,hunnik,бакӏу
350,Reihe::N,rivi,кьюкьа
351,Boot::N,paat,луткка
352,Ruder::N,aer,весло
353,Ruder::N,aer,чӏатӏа
354,Schlitten::N,saan,чана
355,Schlitten::N,saan,санкка
356,Ski::N,suusk,лижарду
357,Lagerfeuer::N,lõke,къавтӏн
358,Last::N,koorem,гьиву
359,Gang::N,käik,нанаву
360,Schritt::N,samm,ша
361,Norden::N,põhi,ухссав
362,Norden::N,põhi,ухссавнил чулухалу
363,Süden::N,lõuna,кьилва
364,Westen::N,lääs,баргълагавал
365,Westen::N,lääs,баргълагавал чул
366,Osten::N,ida,баргъбуккай чулухалу
367,Holz::N,puu,тӏама
368,Brett::N,saelaud,тахта
369,Platte::N,plaat,гъуни
370,Stütze::N,tugi,гьалакӏу
371,Stange::N,latt,къазихъ
372,Stange::N,teivas,къазихъ
373,Stock::N,kepp,ттархь
374,Stab::N,varras,ччантӏакъу
375,Rohr::N,toru,бургъу
376,Haus::N,maja,къатта
377,Heim::N,kodu,къатта
378,Ofen::N,ahi,пач
379,Fußboden::N,põrand,чӏанкъатта
380,Tisch::N,laud,усттул
381,Stuhl::N,tool,кӏану
382,Wiege::N,häll,оьрчӏал кӏану
383,Wiege::N,kätki,оьрчӏал кӏану
384,Bett::N,voodi,тах
385,Regal::N,riiul,чӏаму
386,Kiste::N,kast,яшикӏ
387,Kiste::N,kast,къурши
388,Fenster::N,aken,чӏавахьулу
389,Tür::N,uks,нуз
390,Tür::N,uks,нузкьун
391,Tor::N,värav,къапу
392,Tor::N,värav,дарваза
393,Zaun::N,aed,дайгьузанну
394,Zaun::N,tara,дайгьузанну
395,Dach::N,katus,магъи
396,Dach::N,katus,цӏиялу
397,Leiter::N,redel,чуртту
398,Besen::N,luud,чӏатлу
399,Spaten::N,labidas,бил
400,Schaufel::N,kühvel,чӏатӏа
401,Gabel::N,kahvel,гьиссилу
402,Löffel::N,lusikas,къуса
403,Messer::N,nuga,чӏила
404,Nagel::N,nael,мяр
405,Netz::N,võrk,къери
406,Haken::N,haak,къича
407,Haken::N,konks,къича
408,Griff::N,sang,куяму
409,Griff::N,käepide,куяму
410,Schloss::N,lukk,кьункьула
411,Bild::N,pilt,сурат
412,Figur::N,kuju,
413,Figur::N,kujund,
414,Puppe::N,nukk,ссихьу
415,Beutel::N,paun,чантай
416,Bündel::N,kimp,гьи
417,Bündel::N,kimp,къар
418,Tasche::N,kott,
419,Eimer::N,pang,бадра
420,Eimer::N,ämber,бадра
421,Deckel::N,kaas,къапаза
422,Geschirr::N,nõud,пюрунчӏул
423,Geschirr::N,nõud,тӏахӏникӏичӏу
424,Sack::N,kott,къап
425,Sack::N,kott,дарваг
426,Tasse::N,tass,пижан
427,Tasse::N,tass,пинжан
428,Tasse::N,tass,инкираччатӏи
429,Tasse::N,tass,цинцилттал бушкъап
430,Topf::N,pada,кӏункӏур
431,Kessel::N,pada,чаг
432,Kessel::N,pada,кӏункӏур
433,Essen::N,söök,дукия
434,Essen::N,söök,дукин
435,Nahrung::N,toit,дукра
436,Speise::N,roog,дукра
437,Fleisch::N,liha,дикӏ
438,Getreide::N,teravili,къама
439,Brei::N,puder,ккурч
440,Brot::N,sai,ччатӏ
441,Brot::N,leib,ччатӏ
442,Scheibe::N,viil,парча
443,Scheibe::N,viilukas,парча
444,Fett::N,rasv,аьгъушиву
445,Butter::N,või,нагь
446,Butter::N,või,лагаву
447,Öl::N,õli,
448,Salz::N,sool,цӏву
449,Suppe::N,supp,накь
450,Honig::N,mesi,ницӏ
451,Milch::N,piim,накӏ
452,Tee::N,tee,чяй
453,Leder::N,nahk,бурчу
454,Wolle::N,vill,ппал
455,Stoff::N,kangas,янна
456,Nadel::N,nõel,ххалаххи
457,Faden::N,niit,ххал
458,Knopf::N,nööp,банд
459,Knoten::N,sõlm,къурхъ
460,Farbe::N,värv,сир
461,Kleidung::N,riided,янна
462,Kleidung::N,riided,лаххия
463,Kleidung::N,riietus,янна
464,Kleidung::N,riietus,лаххия
465,Hemd::N,särk,гьухъа
466,Kragen::N,krae,дарвач
467,Ärmel::N,varrukas,кахха
468,Hose::N,püksid,хӏажак
469,Gürtel::N,vöö,мухӏлу
470,Mütze::N,müts,кьяпа
471,Schuh::N,king,
472,Stiefel::N,saabas,чакма
473,Ring::N,sõrmus,кӏисса
474,Band::N,lint,линт
475,Kamm::N,kamm,ттарал
476,Spiegel::N,peegel,дагьани
477,Riemen::N,rihm,эн
478,Schnur::N,nöör,хьхьа
479,Leine::N,jalutusrihm,
480,Decke::N,tekk,виргъан
481,Kissen::N,padi,кӏаралу
482,Tuch::N,kalev,карщи
483,Handtuch::N,käterätik,калихьу
484,Handtuch::N,käterätik,лажинлихьу
485,Kraft::N,jõud,эллаж
486,Stärke::N,tugevus,гуж
487,Gesundheit::N,tervis,цӏуллу-сагъшиву
488,Krankheit::N,haigus,къашайшиву
489,Schmerz::N,valu,къюву
490,Wunde::N,haav,щаву
491,Fieber::N,palavik,кӏиришиву
492,Arznei::N,ravim,дару
493,Brücke::N,sild,ламу
494,Brunnen::N,kaev,къуй
495,Weide::N,karjamaa,бизантту
496,Pfad::N,rada,жегъир ххуллу
497,Weg::N,tee,ххуллу
498,Straße::N,tee,ххуллу
499,Dorf::N,küla,щар
500,Dorf::N,küla,шяравалу
501,Stadt::N,linn,шагьру
502,Brief::N,kiri,чагъар
503,Buch::N,raamat,лу
504,Buchstabe::N,täht,хӏарп
505,Zeitung::N,ajaleht,кказит
506,Leben::N,elu,оьрму
507,Tod::N,surm,ажал
508,Tod::N,surm,бивкӏу
509,Tod::N,surm,ивчӏаву
510,Grab::N,haud,гьав
511,Kirche::N,kirik,килиса
512,Sünde::N,patt,бунагъ
513,Gott::N,jumal,зал
514,Arbeiter::N,tööline,зузала
515,Chef::N,ülemus,ялувма
516,Chef::N,juhataja,ялувма
517,Meister::N,meister,усттар
518,Arzt::N,arst,хӏакин
519,Lehrer::N,õpetaja,учитель
520,Geld::N,raha,арцу
521,Geschäft::N,äri,даву
522,Laden::N,pood,ттучан
523,Laden::N,kauplus,ттучан
524,Preis::N,hind,багъа
525,Ware::N,kaup,хъус
526,Nutzen::N,tulu,хайр
527,Nutzen::N,tulu,мюнпат
528,Nutzen::N,kasulikkus,хайр
529,Nutzen::N,kasulikkus,мюнпат
530,Reichtum::N,rikkus,давлат
531,Reichtum::N,rikkus,аваданшиву
532,Welt::N,maailm,дуниял
533,Land::N,maa,билаят
534,Staat::N,riik,паччахӏлугъ
535,König::N,kuningas,
536,Macht::N,võim,власть
537,Grenze::N,piir,дазу
538,Krieg::N,sõda,дяъви
539,Feind::N,vaenlane,душман
540,Gewalt::N,väevõim,къия
541,Kampf::N,võitlus,лачӏуи уккаву
542,Bogen[Waffe]::N,vibu,ккуртта
543,Pfeil::N,nool,чӏатӏаракӏ
544,Gewehr::N,püss,ттупанг
545,Fehler::N,viga,гъалатӏ
546,Lüge::N,vale,щялмахъ
547,Schaden::N,kahju,зарал
548,Unglück::N,häda,бала
549,Unglück::N,õnnetus,бала
550,Schuld::N,süü,тахсир
551,Alter::N,iga,оьрму
552,Schluss::N,lõpp,ахир
553,Zeit::N,aeg,чӏун
554,Tag::N,päev,кьини
555,Morgen::N,hommik,кӏюрх
556,Mittag::N,lõuna,ахттайн
557,Mittag::N,lõuna,дяахттайн
558,Mittag::N,lõuna,ахттайн чӏун
559,Mittag::N,keskpäev,ахттайн
560,Mittag::N,keskpäev,дяахттайн
561,Mittag::N,keskpäev,ахттайн чӏун
562,Abend::N,õhtu,маркӏачӏан
563,Nacht::N,öö,хьхьу
564,Woche::N,nädal,нюжмар
565,Monat::N,kuu,барз
566,Jahr::N,aasta,шин
567,Frühling::N,kevad,инт
568,Sommer::N,suvi,гъи
569,Herbst::N,sügis,ссут
570,Winter::N,talv,кӏи
571,Januar::N,jaanuar,цалчинмур барз
572,Februar::N,veebruar,кӏилчинмур барз
573,März::N,märts,шамилчинмур барз
574,April::N,aprill,апрель
575,April::N,aprill,мукьилчинмур барз
576,Mai::N,mai,май
577,Mai::N,mai,ххюлчинмур барз
578,Juni::N,juuni,июнь
579,Juni::N,juuni,ряххилчинмур барз
580,Juli::N,juuli,июль
581,Juli::N,juuli,Арулчинмур барз
582,August::N,august,мяйлчинмур барз
583,September::N,september,урчӏилчинмур барз
584,Oktober::N,oktoober,ацӏилчинмур барз
585,November::N,november,ацӏния цалчинмур барз
586,Dezember::N,detsember,ацӏния кӏилчинмур барз
587,Montag::N,esmaspäev,итин
588,Montag::N,esmaspäev,итин кьини
589,Dienstag::N,teisipäev,тталат
590,Dienstag::N,teisipäev,тталат кьини
591,Mittwoch::N,kesknädal,арвахӏ
592,Donnerstag::N,neljapäev,хамис
593,Freitag::N,reede,нюжмар
594,Freitag::N,reede,нюжмар кьини
595,Samstag::N,laupäev,ххуллун
596,Samstag::N,laupäev,ххуллун кьини
597,Sonntag::N,pühapäev,алхӏат
598,Sonntag::N,pühapäev,алхӏат кьини
599,groß::A,suur,бугъарасса
600,klein::A,väike,чӏивисса
601,klein::A,pisike,чӏивисса
602,lang::A,pikk,лахъисса
603,kurz::A,lühike,кутӏасса
604,breit::A,lai,уттасса
605,schmal::A,kitsas,уттакӏюласса
606,dicht::A,tihe,ццунсса
607,dick[Gegenstand]::A,jäme,ганзсса
608,dünn::A,õhuke,кӏюласса
609,dünn::A,peenike,кӏюласса
610,fein::A,peen,
611,fein::A,õhuke,
612,fest::A,püsiv,цӏакьсса
613,fest::A,püsiv,кьянкьасса
614,fest::A,kindel,цӏакьсса
615,fest::A,kindel,кьянкьасса
616,flach::A,lame,баягъисса
617,flach::A,lame,цӏубакъасса
618,flach::A,lame,куртӏ дакъасса
619,flach::A,tasane,баягъисса
620,flach::A,tasane,цӏубакъасса
621,flach::A,tasane,куртӏ дакъасса
622,glatt::A,sile,дюрчӏусса
623,hart::A,kõva,кьянкьасса
624,weich::A,pehme,кӏукӏлусса
625,rund::A,ümar,ккурккисса
626,spitz::A,torkav,ярксса
627,spitz::A,torkav,дайлсса
628,spitz::A,torkav,мицӏ бусса
629,scharf::A,terav,ярксса
630,scharf::A,terav,дайлсса
631,scharf::A,terav,мицӏ бусса
632,stumpf::A,nüri,къуркъасса
633,schwer::A,raske,кӏусса
634,schön::A,kena,аьнтӏикӏасса
635,heiß::A,kuum,кӏирисса
636,heiß::A,palav,кӏирисса
637,warm::A,soe,гъелисса
638,kalt::A,külm,дяркъусса
639,kühl::A,jahe,дюхлулсса
640,frisch::A,värske,цӏусса
641,feucht::A,niiske,атилсса
642,feucht::A,niiske,хъавтусса
643,nass::A,märg,атилсса
644,nass::A,märg,хъавтусса
645,trocken::A,kuiv,кьавкьсса
646,trocken::A,kuiv,кьакьан бувсса
647,voll::A,täis,бувцӏусса
648,leer::A,tühi,бачӏвасса
649,offen::A,avatud,тӏивтӏусса
650,offen::A,lahtine,тӏивтӏусса
651,geschlossen::A,suletud,лавкьусса
652,sauber::A,puhas,марцӏсса
653,schmutzig::A,räpane,чапалсса
654,schmutzig::A,määrdunud,чапалсса
655,roh::A,toores,шакъавхьсса
656,reif::A,küps,дирсса
657,lecker::A,hõrk,нахӏусса
658,lecker::A,hõrk,тӏааьнсса
659,lecker::A,maitsev,нахӏусса
660,lecker::A,maitsev,тӏааьнсса
661,süß::A,magus,нацӏусса
662,bitter::A,mõru,кьурчӏисса
663,sauer::A,hapu,туршсса
664,hell::A,hele,чаннасса
665,dunkel::A,pime,цӏансса
666,schwarz::A,must,лухӏисса
667,weiß::A,valge,кӏяласса
668,rot::A,punane,ятӏулсса
669,gelb::A,kollane,хъахъисса
670,blau::A,sinine,някӏсса
671,grün::A,roheline,щюлисса
672,grau::A,hall,оьрусса
673,bunt::A,kirju,оьрчӏикӏурисса
674,bunt::A,värviline,оьрчӏикӏурисса
675,billig::A,odav,кьювкьусса
676,teuer::A,kallis,ххирасса
677,wertvoll::A,väärtuslik,багьасса
678,blind::A,pime,мурчӏисса
679,taub::A,kurt,къюкӏсса
680,kräftig::A,jõuline,гужсса
681,stark::A,tugev,кьянкьасса
682,schwach::A,nõrk,заэвсса
683,schwach::A,jõuetu,заэвсса
684,fett::A,rasvane,бучсса
685,schlank::A,sale,бювхъусса
686,hübsch::A,kena,янусса
687,böse::A,tige,оьсса
688,dumm::A,juhm,ахӏмакьсса
689,dumm::A,rumal,ахӏмакьсса
690,faul::A,laisk,танмалсса
691,faul::A,laisk,курчӏилсса
692,fleißig::A,virk,хӏарачат бусса
693,fleißig::A,hoolas,хӏарачат бусса
694,geizig::A,ihne,янттарцӏансса
695,klug::A,tark,аькьлу бусса
696,klug::A,arukas,аькьлу бусса
697,klug::A,mõistlik,аькьлу бусса
698,geschickt::A,osav,паргалсса
699,lieb::A,armas,аьзизсса
700,lustig::A,lõbus,тяхъасса
701,sanft::A,õrn,иминсса
702,hungrig::A,näljane,ккашилсса
703,krank::A,haige,къашавайсса
704,nackt::A,alasti,кӏачӏасса
705,traurig::A,kurb,пашмансса
706,lebendig::A,elus,уттавасса
707,gut::A,hea,ххуйсса
708,schlecht::A,halb,оьккисса
709,richtig::A,õige,саргъунсса
710,schlimm::A,paha,оьккисса
711,wahr::A,tõene,хӏакьсса
712,alt::A,vana,кугьнасса
713,neu::A,uus,цӏусса
714,ehemalig::A,endine,хъхъичӏвасса
715,alt[Lebewesen]::A,vana,агьилсса
716,jung::A,noor,чӏавасса
717,jung::A,noor,жагьилсса
718,arm::A,vaene,мискинсса
719,reich::A,rikas,авадансса
720,bekannt::A,teada,дусъсса
721,bekannt::A,tuttav,дусъсса
722,berühmt::A,tuntud,машгьурсса
723,fremd::A,võõras,чил
724,verschieden::A,erinev,личӏи-личӏисса
725,nah::A,lähedane,гъансса
726,fern::A,kauge,архсса
727,linker::A,vasak,кияхсса
728,linker::A,vasak,кюччахсса
729,rechter::A,parem,урчӏахсса
730,anderer::A,muu,цамур
731,anderer::A,teine,цамур
732,erster::A,esimene,цалчинмур
733,erster::A,esimene,цалчиннсса
734,zweiter::A,teine,кӏилчиимур
735,dritter::A,kolmas,шамулчинмур
736,letzter::A,viimane,махъва-махъмур
737,allein::ADV,üksi,ялгъузну
738,auf einmal::ADV,korraga,
739,auf einmal::ADV,ühekorraga,
740,zusammen::ADV,koos,цачӏу
741,zusammen::ADV,koos,архӏал
742,zusammen::ADV,üheskoos,цачӏу
743,zusammen::ADV,üheskoos,архӏал
744,lange::ADV,kaua,батӏи къабуклай
745,lange::ADV,kaua,хъунмасса хӏаллай
746,plötzlich::ADV,äkki,цакуну
747,plötzlich::ADV,järsku,цакуну
748,sofort::ADV,kohe,мугьлат бакъа
749,später::ADV,hiljem,махъ
750,jetzt::ADV,nüüd,утти
751,jetzt::ADV,nüüd,цӏана
752,heute::ADV,täna,хӏакьину
753,morgen::ADV,homme,гьуит
754,morgen::ADV,homme,гьунттий
755,bald::ADV,pea,
756,bald::ADV,varsti,
757,dann::ADV,siis,яла
758,gestern::ADV,eile,лахьхьу
759,einst::ADV,vanasti,
