,Concept_ID,tr,ru
496,Schmerz::N,sancı,боль
497,Wunde::N,yara,рана
498,Fieber::N,ateş,лихорадка
499,Fieber::N,ateş,температура
500,Arznei::N,ilâç,лекарство
501,Brücke::N,köprü,мост
502,Brunnen::N,kuyu,колодец
503,Brunnen::N,çeşme,колодец
504,Weide::N,otlak,пастбище
505,Pfad::N,patika,тропа
506,Pfad::N,keçiyolu,тропа
507,Weg::N,yol,путь
508,Weg::N,yol,дорога
509,Straße::N,yol,улица
510,Straße::N,yol,дорога
511,Straße::N,cadde,улица
512,Straße::N,cadde,дорога
513,Dorf::N,köy,деревня
514,Stadt::N,kent,город
515,Stadt::N,şehir,город
516,Brief::N,mektup,письмо
517,Buch::N,kitap,книга
518,Buchstabe::N,harf,буква
519,Zeitung::N,gazete,газета
520,Leben::N,hayat,жизнь
521,Tod::N,ölüm,смерть
522,Grab::N,kabir,могила
523,Kirche::N,kilise,церковь
524,Sünde::N,günah,грех
525,Gott::N,tanrı,бог
526,Arbeiter::N,işçi,рабочий
527,Chef::N,şef,начальник
528,Chef::N,müdür,начальник
529,Meister::N,usta,мастер
530,Arzt::N,hekim,врач
531,Arzt::N,doktor,врач
532,Lehrer::N,hoca,учитель
533,Lehrer::N,öğretmen,учитель
534,Geld::N,para,деньги
535,Geschäft::N,ticaret,занятие
536,Laden::N,dükkân,магазин
537,Preis::N,fiyat,цена
538,Ware::N,mal,товар
539,Nutzen::N,fayda,выгода
540,Reichtum::N,servet,богатство
541,Reichtum::N,zenginlik,богатство
542,Welt::N,dünya,мир
543,Land::N,ülke,страна
544,Staat::N,devlet,государство
545,König::N,kral,король
546,Macht::N,kudret,власть
547,Macht::N,iktidar,власть
548,Grenze::N,had,граница
549,Grenze::N,sınır,граница
550,Krieg::N,savaş,война
551,Feind::N,düşman,враг
552,Gewalt::N,zor,насилие
553,Gewalt::N,cebir,насилие
554,Kampf::N,savaş,борьба
555,Bogen[Waffe]::N,yay,лук
556,Pfeil::N,ok,стрела
557,Gewehr::N,tüfek,ружье
558,Fehler::N,hata,ошибка
559,Fehler::N,yanlış,ошибка
560,Lüge::N,yalan,ложь
561,Schaden::N,zarar,вред
562,Unglück::N,felâket,беда
563,Unglück::N,talihsizlik,беда
564,Schuld::N,suç,вина
565,Schuld::N,kabahat,вина
566,Alter::N,yaş,возраст
567,Schluss::N,son,окончание
568,Zeit::N,zaman,время
569,Tag::N,gün,день
570,Morgen::N,sabah,утро
571,Mittag::N,öğle,полдень
572,Abend::N,akşam,вечер
573,Nacht::N,gece,ночь
574,Woche::N,hafta,неделя
575,Monat::N,ay,месяц
576,Jahr::N,yıl,год
577,Jahr::N,sene,год
578,Frühling::N,ilkbahar,весна
579,Sommer::N,yaz,лето
580,Herbst::N,güz,осень
581,Herbst::N,sonbahar,осень
582,Winter::N,kış,зима
583,Januar::N,ocak,январь
584,Februar::N,şubat,февраль
585,März::N,mart,март
586,April::N,nisan,апрель
587,Mai::N,mayıs,май
588,Juni::N,haziran,июнь
589,Juli::N,temmuz,июль
590,August::N,ağustos,август
591,September::N,eylül,сентябрь
592,Oktober::N,ekim,октябрь
593,November::N,kasım,ноябрь
594,Dezember::N,aralık,декабрь
595,Montag::N,pazartesi,понедельник
596,Dienstag::N,salı,вторник
597,Mittwoch::N,çarşamba,среда
598,Donnerstag::N,perşembe,четверг
599,Freitag::N,cuma,пятница
600,Samstag::N,cumartesi,суббота
601,Sonntag::N,pazar,воскресенье
602,groß::A,büyük,большой
603,klein::A,ufak,маленький
604,klein::A,küçük,маленький
605,lang::A,uzun,длинный
606,kurz::A,kısa,короткий
607,breit::A,enli,широкий
608,breit::A,geniş,широкий
