,Concept_ID,fi,uz
86,Eis::N,jää,muz
87,Frost::N,halla,ajoz
88,Frost::N,pakkanen,ajoz
89,Kälte::N,vilu,ajoz
90,Kälte::N,kylmyys,ajoz
91,Hitze::N,helle,issiq
92,Hitze::N,kuumuus,issiq
93,Raureif::N,huurre,qirov
94,Regenbogen::N,sateenkaari,kamalak
95,Donner::N,jyrinä,guldur
96,Strömung::N,virtaus,oqim
97,Tropfen::N,tippa,tomchi
98,Tropfen::N,pisara,tomchi
99,Schaum::N,vaahto,ko'pik
100,Schmutz::N,loka,gard
101,See::N,järvi,ko'l
102,Sumpf::N,suo,botqoq
103,Moor::N,räme,qir-adir
104,Wiese::N,niitty,o'tzor
105,Wald::N,metsä,o'rmon
106,Hügel::N,mäki,tepa
107,Hügel::N,kumpu,tepa
108,Hügel::N,kukkula,tepa
109,Anhöhe::N,mäki,adir
110,Anhöhe::N,kumpare,adir
111,Berg::N,mäki,tog'
112,Berg::N,vuori,tog'
113,Gipfel::N,laki,cho'qqi
114,Gipfel::N,huippu,cho'qqi
115,Höhle::N,luola,kavak
116,Abhang::N,rinne,to'sh
117,Quelle::N,lähde,buloq
118,Bach::N,puro,o'zan
119,Fluss::N,joki,daryo
120,Ufer::N,ranta,sohil
121,Küste::N,rannikko,qirg'oq
122,Festland::N,manner,materik
123,Meer::N,meri,dengiz
124,Bucht::N,lahti,qo'ltiq
125,Insel::N,saari,orol
126,Blume::N,kukka,gul
127,Gras::N,ruoho,sabza
128,Wurzel::N,juuri,tub
129,Wurzel::N,juuri,tomir
130,Baum::N,puu,daraxt
131,Stamm::N,runko,o'simta
132,Rinde::N,kuori,qobiq
133,Rinde::N,parkki,qobiq
134,Ast::N,oksa,shox
135,Zweig::N,haara,butoq
136,Blatt::N,lehti,barg
137,Birke::N,koivu,qayin
138,Kiefer[Baum]::N,mänty,qarag'ay
139,Kiefer[Baum]::N,petäjä,qarag'ay
140,Weide[Baum]::N,paju,shum
141,Tanne::N,kuusi,archa
142,Horn::N,sarvi,mugiz
143,Feder::N,sulka,par
144,Feder::N,höyhen,par
145,Fell::N,talja,mo'yna
146,Flügel::N,siipi,qanot
147,Klaue::N,kynsi,tirnoq
148,Kralle::N,kynsi,tirnoq
149,Schwanz::N,häntä,quyruq
150,Schwanz::N,pyrstö,quyruq
151,Ei::N,muna,tuxum
152,Nest::N,pesä,oshyon
153,Bau::N,pesä,o'pqon
154,Tier::N,eläin,hayvon
155,Herde::N,lauma,gala
156,Kuh::N,lehmä,inak
157,Bulle::N,sonni,ho'kiz
158,Pferd::N,hevonen,ot
159,Schaf::N,lammas,qo'y
160,Schwein::N,sika,cho'chqa
161,Hund::N,koira,it
162,Katze::N,kissa,mushuk
163,Bär::N,karhu,ayiq
164,Eichhörnchen::N,orava,tiyin
165,Elch::N,hirvi,los
166,Fuchs::N,kettu,tulki
167,Hase::N,jänis,kuyon
168,Maus::N,hiiri,sichqon
169,Wolf::N,susi,bo'ri
170,Vogel::N,lintu,qush
171,Schwarm::N,parvi,to'da
172,Huhn::N,kana,tovuq
173,Hahn::N,kukko,xo'roz
174,Gans::N,hanhi,g'oz
175,Adler::N,kotka,burgut
176,Ente::N,ankka,o'rdak
177,Eule::N,pöllö,boyo'g'li
178,Kranich::N,kurki,turna
179,Krähe::N,varis,qarg'a
180,Kuckuck::N,käki,kakku
181,Schwan::N,joutsen,oqkush
182,Fisch::N,kala,baliq
183,Barsch::N,ahven,olabug'a
184,Hecht::N,hauki,cho'rtan
185,Schlange[Tier]::N,käärme,ilon
186,Wurm::N,mato,qurt
187,Spinne::N,hämähäkki,o'rgimchak
188,Ameise::N,muurahainen,chumoli
189,Laus::N,täi,bit
190,Mücke::N,sääski,chivin
191,Mücke::N,hyttynen,chivin
192,Fliege::N,kärpänen,pashsha
193,Schmetterling::N,perhonen,kapalak
194,Beere::N,marja,meva
195,Apfel::N,omena,olma
196,Pilz::N,sieni,qo'ziqorin
197,Zwiebel::N,sipuli,piyoz
198,Saat::N,siemenet,äkin
199,Korn::N,jyvä,zarra
200,Korn::N,vilja,zarra
201,Heu::N,heinä,xashak
202,Schale::N,kuori,po'choq
203,Grube::N,kuoppa,co'ra
204,Falle::N,loukku,qopqon
205,Schlinge::N,ansa,sirtmoq
206,Spur::N,jälki,iz
207,Asche::N,tuhka,kul
208,Dreck::N,lika,kir
209,Eisen::N,rauta,temir
210,Gold::N,kulta,tilla
211,Silber::N,hopea,kumush
212,Kohle::N,hiili,ko'mir
213,Glas::N,lasi,oyna
214,Lehm::N,savi,loy
215,Sand::N,hiekka,qum
216,Mensch::N,ihminen,odam
217,Mann::N,mies,ärkak
218,Frau::N,nainen,ayol
219,Kind::N,lapsi,bola
220,Kind::N,lapsi,kichkintoy
221,Junge::N,poika,bola
222,Mädchen::N,tyttö,qiz
223,Familie::N,perhe,oila
224,Großvater::N,isoisä,buva
225,Großvater::N,isoisä,katta ota
226,Großmutter::N,isoäiti,buvi
227,Großmutter::N,isoäiti,katta oyi
228,Eltern::N,vanhemmat,ota-ona
229,Vater::N,isä,ota
230,Mutter::N,äiti,ona
231,Sohn::N,poika,o'g'il
232,Tochter::N,tytär,qiz
233,Bruder::N,veli,og'a
234,Bruder::N,veli,uka
235,Schwester::N,sisko,opa
236,Schwester::N,sisko,singil
237,Onkel::N,eno,amaki
238,Onkel::N,setä,amaki
239,Tante::N,täti,amma
240,Tante::N,täti,xola
241,Ehemann::N,mies,är
242,Ehemann::N,aviomies,är
243,Ehefrau::N,vaimo,rafiqa
244,Ehefrau::N,aviovaimo,rafiqa
245,Freude::N,ilo,ayish
246,Freude::N,riemu,ayish
247,Gelächter::N,nauru,kulgi
248,Glück::N,onni,saodat
249,Kummer::N,suru,g'am
250,Kummer::N,murhe,g'am
251,Wunsch::N,toive,orzu
252,Wunsch::N,toivomus,orzu
253,Lust::N,himo,rag'bat
254,Geist::N,henki,ruh
255,Gedanke::N,aate,fikr
256,Gedanke::N,ajatus,fikr
257,Gedächtnis::N,muisti,äs
258,Verstand::N,äly,aql
259,Verstand::N,järki,aql
260,Verstand::N,ymmärrys,aql
261,Sinn::N,merkitys,ma'ni
262,Grund::N,syy,sabab
263,Grund::N,peruste,sabab
264,Wahrheit::N,tosi,haq
265,Wahrheit::N,totuus,haq
266,Gespräch::N,puhelu,gap
267,Gespräch::N,keskustelu,gap
268,Märchen::N,satu,ärtak
269,Erzählung::N,tarina,rivoyat
270,Erzählung::N,kertomus,rivoyat
271,Nachricht::N,tieto,xabar
272,Nachricht::N,ilmoitus,xabar
273,Neuigkeit::N,uutinen,yangilik
274,Name::N,nimi,ot
275,Rätsel::N,arvoitus,topishmoq
276,Rede::N,puhe,nutq
277,Sprache::N,kieli,til
278,Stimme::N,ääni,ovoz
279,Wort::N,sana,so'z
280,Zeichen::N,merkki,alomat
281,Ruf::N,kutsu,chaqiriq
282,Lärm::N,melu,taraq
283,Lärm::N,hälinä,taraq
284,Laut::N,ääni,tovush
285,Ton::N,sävel,un
286,Lied::N,laulu,ashula
287,Ruhe::N,lepo,tinchlik
288,Ruhe::N,rauha,tinchlik
289,Leute::N,väki,xaloyiq
290,Leute::N,ihmiset,xaloyiq
291,Volk::N,kansa,xalq
292,Arbeit::N,työ,ish
293,Gast::N,vieras,mehmon
294,Geschenk::N,lahja,hadya
295,Spiel::N,peli,o'yin
296,Spiel::N,leikki,o'yin
297,Gesellschaft::N,seura,jamiyat
298,Hilfe::N,apu,yordam
299,Freund::N,ystävä,do'st
300,Kamerad::N,toveri,yo'ldosh
301,Angelegenheit::N,asia,daxl
302,Anzahl::N,lukumäärä,son
303,Art::N,laji,tur
304,Stück::N,pala,parcha
305,Stück::N,kappale,parcha
306,Teil::N,osa,bo'lak
307,Hälfte::N,puoli,yarim
308,Kreis::N,ympyrä,aylana
309,Kreuz::N,risti,xoch
310,Linie::N,viiva,liniya
311,Strich::N,piirto,chiziq
312,Abstand::N,väli,oralik
313,Abstand::N,väljyys,oralik
314,Entfernung::N,etäisyys,uzoqlik
315,Gegend::N,seutu,yer
316,Platz::N,tila,oralig
317,Ort::N,kohta,joy
318,Ort::N,paikka,joy
319,Seite::N,sivu,yon
320,Seite::N,kylki,yon
321,Mitte::N,keskus,o'rta
322,Mitte::N,puoliväli,o'rta
323,Gegenstand::N,kalu,ashyo
324,Gegenstand::N,esine,ashyo
325,Sache::N,asia,buyum
326,Rand::N,ääri,chek
327,Rand::N,syrjä,chek
328,Kante::N,särmä,tig'
329,Ecke::N,nurkka,burchak
330,Spitze::N,terä,uch
331,Spitze::N,kärki,uch
332,Ende::N,pää,oxir
333,Ende::N,perä,oxir
334,Loch::N,kolo,teshik
335,Loch::N,reikä,teshik
336,Winkel::N,kulma,go'sha
337,Muster::N,kuvio,nusha
338,Größe::N,koko,kattalik
339,Größe::N,suuruus,kattalik
340,Länge::N,pituus,uzunlik
341,Höhe::N,korkeus,yuksaklik
342,Gewicht::N,paino,solmoq
343,Menge::N,määrä,miqdor
344,Haufen::N,kasa,uyum
345,Reihe::N,rivi,saf
346,Boot::N,vene,qayiq
347,Ruder::N,airo,äshkak
348,Schlitten::N,reki,chana
349,Schlitten::N,kelkka,chana
350,Ski::N,suksi,chang'i
351,Lagerfeuer::N,nuotio,gulxan
352,Last::N,kuorma,yuk
353,Gang::N,kulku,yurish
354,Gang::N,käynti,yurish
355,Schritt::N,askel,qadam
356,Norden::N,pohjoinen,shimol
357,Süden::N,etelä,janub
358,Westen::N,länsi,g'arb
359,Osten::N,itä,sharq
360,Holz::N,puu,yog'och
361,Brett::N,lauta,taxta
362,Platte::N,levy,tabaqa
363,Stütze::N,noja,tayanchi
364,Stange::N,tanko,qo'noq
365,Stock::N,keppi,tayoq
366,Stab::N,sauva,gavron
367,Stab::N,seiväs,gavron
368,Rohr::N,putki,tarnov
369,Haus::N,talo,uy
370,Heim::N,koti,makon
371,Ofen::N,uuni,pechka
372,Fußboden::N,lattia,pol
373,Tisch::N,pöytä,mosa
374,Stuhl::N,tuoli,o'rindiq
375,Wiege::N,kehto,beshik
376,Bett::N,sänky,yotoq
377,Regal::N,hylly,tokcha
378,Kiste::N,arkku,sandiq
379,Kiste::N,kirstu,sandiq
380,Kiste::N,laatikko,sandiq
381,Fenster::N,ikkuna,deraza
382,Tür::N,ovi,äshik
383,Tor::N,portti,darvoza
384,Zaun::N,aita,panjara
385,Dach::N,katto,tom
386,Leiter::N,tikkaat,narvon
387,Leiter::N,tikapuut,narvon
388,Besen::N,luuta,supurgi
389,Spaten::N,lapio,bel
390,Schaufel::N,lapio,kurak
391,Gabel::N,haarukka,bilka
392,Löffel::N,lusikka,qoshiq
393,Messer::N,veitsi,pichoq
394,Nagel::N,naula,mix
395,Netz::N,verkko,to'r
396,Haken::N,haka,ilgak
397,Haken::N,koukku,ilgak
398,Griff::N,ripa,sop
399,Griff::N,ripa,tutqich
400,Griff::N,kahva,sop
401,Griff::N,kahva,tutqich
402,Schloss::N,lukko,qulf
403,Bild::N,kuva,rasm
404,Figur::N,kuvio,shakl
405,Puppe::N,nukke,ko'g'irchoq
406,Beutel::N,pussi,to'rva
407,Bündel::N,nippu,bog'lam
408,Bündel::N,kimppu,bog'lam
409,Tasche::N,laukku,kissa
410,Eimer::N,sanko,chelak
411,Eimer::N,ämpäri,chelak
412,Deckel::N,kansi,qopqoq
413,Geschirr::N,astia,idish
414,Sack::N,säkki,qop
415,Tasse::N,kuppi,piyola
416,Topf::N,pata,tuvak
417,Kessel::N,kattila,qozon
418,Essen::N,syönti,tomoq
419,Nahrung::N,ruoka,emak
420,Nahrung::N,ravinto,emak
421,Speise::N,ruoka,taom
422,Fleisch::N,liha,go'sht
423,Getreide::N,vilja,g'alla
424,Brei::N,puuro,bo'tqa
425,Brot::N,leipä,non
426,Scheibe::N,viipale,disk
427,Fett::N,rasva,moy
428,Butter::N,voi,yog'
429,Öl::N,öljy,moy
430,Salz::N,suola,tuz
431,Suppe::N,keitto,sho'rva
432,Honig::N,hunaja,asal
433,Milch::N,maito,sut
434,Tee::N,tee,choy
435,Leder::N,nahka,charm
436,Wolle::N,villa,jun
437,Stoff::N,kangas,mato
438,Nadel::N,neula,igna
439,Faden::N,lanka,ip
440,Knopf::N,nappi,tugma
441,Knoten::N,solmu,tugun
442,Farbe::N,maali,bo'yok
443,Kleidung::N,vaatteet,kiyim
444,Hemd::N,paita,ko'ylak
445,Kragen::N,kaulus,yoqa
446,Ärmel::N,hiha,yeng
447,Hose::N,housut,shim
448,Gürtel::N,vyö,tasma
449,Mütze::N,lakki,shapka
450,Schuh::N,kenkä,but
451,Stiefel::N,saapas,botinka
452,Ring::N,sormus,yuzuk
453,Band::N,nauha,rishta
454,Kamm::N,kampa,taroq
455,Spiegel::N,peili,ko'zgu
456,Riemen::N,hihna,qayish
457,Schnur::N,naru,bog'ich
458,Schnur::N,nuora,bog'ich
459,Leine::N,talutushihna,etak
460,Decke::N,peite,odyol
461,Kissen::N,tyyny,yostiq
462,Kissen::N,pielus,yostiq
463,Tuch::N,huivi,gazlama
464,Handtuch::N,pyyheliina,sochiq
465,Kraft::N,väki,kuch
466,Kraft::N,voima,kuch
467,Stärke::N,vahvuus,quvvat
468,Gesundheit::N,terveys,sog'lik
469,Krankheit::N,tauti,kasallik
470,Krankheit::N,sairaus,kasallik
471,Schmerz::N,kipu,og'riq
472,Schmerz::N,särky,og'riq
473,Wunde::N,haava,yara
474,Fieber::N,kuume,bezgak
475,Arznei::N,lääke,dori
476,Brücke::N,silta,ko'prik
477,Brunnen::N,kaivo,buloq
478,Weide::N,laidun,yaylov
479,Pfad::N,polku,dorojka
480,Weg::N,tie,yo'l
481,Straße::N,katu,ko'cha
482,Dorf::N,kylä,ovul
483,Stadt::N,kaupunki,shahar
484,Brief::N,kirje,maktub
485,Buch::N,kirja,kitob
486,Buchstabe::N,kirjain,harf
487,Zeitung::N,lehti,gazet
488,Zeitung::N,sanomalehti,gazet
489,Leben::N,elo,hayot
490,Leben::N,elämä,hayot
491,Tod::N,kuolema,o'lim
492,Grab::N,hauta,go'r
493,Kirche::N,kirkko,cherkov
494,Sünde::N,synti,gunoh
495,Gott::N,jumala,olloh
496,Arbeiter::N,työläinen,ishchi
497,Chef::N,päällikkö,rais
498,Meister::N,mestari,usta
499,Arzt::N,lääkäri,hakim
500,Lehrer::N,opettaja,muallim
501,Geld::N,raha,pul
502,Geschäft::N,liike,savdo
503,Laden::N,puoti,do'kon
504,Laden::N,kauppa,do'kon
505,Preis::N,hinta,baho
506,Ware::N,tavara,mol
507,Nutzen::N,hyöty,foyda
508,Reichtum::N,rikkaus,boylik
509,Welt::N,maailma,olam
510,Land::N,maa,o'lka
511,Staat::N,valtio,davlat
512,König::N,kuningas,qirol
513,Macht::N,mahti,iqtidor
514,Grenze::N,raja,chegara
515,Krieg::N,sota,harb
516,Feind::N,vihollinen,dushman
517,Gewalt::N,väkivalta,zo'rlik
518,Kampf::N,taistelu,kurash
519,Bogen[Waffe]::N,jousi,yoy
520,Pfeil::N,nuoli,o'q
521,Gewehr::N,kivääri,vintovka
522,Fehler::N,vika,xato
523,Fehler::N,virhe,xato
524,Lüge::N,valhe,yolg'on
525,Schaden::N,vaurio,ziyon
526,Schaden::N,vahinko,ziyon
527,Unglück::N,vahinko,balo
528,Unglück::N,onnettomuus,balo
529,Schuld::N,syy,ayb
530,Alter::N,ikä,yosh
531,Schluss::N,loppu,tamom
532,Zeit::N,aika,vaqt
533,Tag::N,päivä,kun
534,Morgen::N,aamu,saboh
535,Morgen::N,huomen,saboh
536,Mittag::N,keskipäivä,kun tushlik
537,Abend::N,ilta,oqshom
538,Nacht::N,yö,tun
539,Woche::N,viikko,hafta
540,Monat::N,kuukausi,oy
541,Jahr::N,vuosi,yil
542,Frühling::N,kevät,bahor
543,Sommer::N,kesä,yoz
544,Herbst::N,syksy,kuz
545,Herbst::N,syksy,xazon
546,Winter::N,talvi,qish
547,Januar::N,tammikuu,yanvar'
548,Februar::N,helmikuu,fevral'
549,März::N,maaliskuu,mart
550,April::N,huhtikuu,aprel'
551,Mai::N,toukokuu,may
552,Juni::N,kesäkuu,iyun'
553,Juli::N,heinäkuu,iyul'
554,August::N,elokuu,avgust
555,September::N,syyskuu,sentyabr'
556,Oktober::N,lokakuu,oktyabr'
557,November::N,marraskuu,noyabr'
558,Dezember::N,joulukuu,dekabr'
559,Montag::N,maanantai,dushanba
560,Dienstag::N,tiistai,seshanba
561,Mittwoch::N,keskiviikko,chorshanba
562,Donnerstag::N,torstai,payshanba
563,Freitag::N,perjantai,juma
564,Samstag::N,lauantai,shanba
565,Sonntag::N,sunnuntai,yakshanba
566,groß::A,iso,buyuk
567,groß::A,suuri,buyuk
568,klein::A,pieni,kichik
569,lang::A,pitkä,uzun
570,kurz::A,lyhyt,qisqa
571,breit::A,leveä,keng
572,schmal::A,kapea,änsiz
573,dicht::A,taaja,quyuq
574,dick[Gegenstand]::A,paksu,qalin
575,dünn::A,ohut,ingichka
576,fein::A,hieno,mayin
577,fest::A,luja,qattiq
578,flach::A,litteä,yalpoq
579,flach::A,tasainen,yalpoq
580,glatt::A,sileä,tekis
581,glatt::A,siloinen,tekis
582,hart::A,kova,qattiq
583,weich::A,pehmeä,yumshoq
584,rund::A,pyöreä,yumaloq
585,spitz::A,terävä,uchli
586,scharf::A,terävä,keskir
587,stumpf::A,tylsä,to'mtoq
588,schwer::A,raskas,salmoqli
589,schwer::A,painava,salmoqli
590,schön::A,kaunis,go'zal
591,heiß::A,kuuma,qiziq
592,warm::A,lämmin,issiq
593,kalt::A,kylmä,sovuq
594,kalt::A,viluinen,sovuq
595,kühl::A,viileä,salqin
596,frisch::A,tuore,toza
597,feucht::A,kostea,namli
598,nass::A,märkä,nam
599,trocken::A,kuiva,quruq
600,voll::A,täysi,to'la
601,leer::A,tyhjä,puch
602,offen::A,avonainen,ochiq
603,geschlossen::A,suljettu,berk
604,sauber::A,puhdas,ozoda
605,schmutzig::A,likainen,kir
606,roh::A,raaka,xom
607,reif::A,kypsä,pishiq
608,lecker::A,herkullinen,shirin
609,süß::A,makea,shirin
610,bitter::A,karvas,achchiq
611,bitter::A,kitkerä,achchiq
612,sauer::A,hapan,achchiq
613,hell::A,kirkas,yorug'
614,hell::A,valoisa,yorug'
615,dunkel::A,pimeä,qorong'i
616,schwarz::A,musta,qora
617,weiß::A,valkea,oq
618,rot::A,punainen,qizil
619,gelb::A,keltainen,sariq
620,blau::A,sininen,zangori
621,grün::A,vihreä,yashil
622,grau::A,harmaa,bo'z
623,bunt::A,kirjava,ola
624,billig::A,halpa,arzon
625,billig::A,huokea,arzon
626,teuer::A,kallis,qimmat
627,wertvoll::A,arvokas,qimmat
628,blind::A,sokea,ko'r
629,taub::A,kuuro,garang
630,kräftig::A,väkevä,kuchli
631,kräftig::A,voimakas,kuchli
632,stark::A,vahva,quvvatli
633,schwach::A,heikko,kuchsiz
634,fett::A,lihava,semiz
635,schlank::A,hoikka,ingichka
636,schlank::A,solakka,ingichka
637,hübsch::A,soma,ko'rkam
638,hübsch::A,sievä,ko'rkam
639,böse::A,paha,yovuz
640,böse::A,häijy,yovuz
641,dumm::A,tyhmä,aqlsiz
642,dumm::A,typerä,aqlsiz
643,faul::A,laiska,ärinchak
644,fleißig::A,ahkera,ishchan
645,geizig::A,saita,qurumsoq
646,klug::A,älykäs,oqil
647,geschickt::A,taitava,äpchil
648,lieb::A,rakas,aziz
649,lustig::A,hauska,chaqchaq
650,lustig::A,iloinen,chaqchaq
651,sanft::A,lauha,asta
652,sanft::A,lempeä,asta
653,hungrig::A,nälkäinen,och
654,krank::A,sairas,kasal
655,nackt::A,alaston,yalang
656,traurig::A,surullinen,xafa
657,traurig::A,murheellinen,xafa
658,lebendig::A,elävä,hayotiy
659,gut::A,hyvä,soz
660,schlecht::A,paha,yomon
661,schlecht::A,huono,yomon
662,richtig::A,oikea,rost
663,schlimm::A,paha,yovuz
664,wahr::A,tosi,haqiqiy
665,alt::A,vanha,äski
666,neu::A,uusi,yangi
667,ehemalig::A,entinen,sobiq
668,ehemalig::A,muinainen,sobiq
669,alt[Lebewesen]::A,vanha,qari
670,jung::A,nuori,navqiron
671,arm::A,köyhä,abgor
672,reich::A,rikas,boy
673,bekannt::A,tuttu,ma'lum
674,bekannt::A,tunnettu,ma'lum
675,berühmt::A,kuuluisa,mashhur
676,fremd::A,vieras,yot
677,verschieden::A,eri,turli
678,verschieden::A,erilainen,turli
679,nah::A,läheinen,yaqindagi
680,fern::A,etäinen,uzoq
681,linker::A,vasen,so'l
682,rechter::A,oikea,o'ng
683,anderer::A,muu,boshqa
684,anderer::A,toinen,boshqa
685,erster::A,ensimmäinen,birinchi
686,zweiter::A,toinen,ikkinchi
687,dritter::A,kolmas,uchinchi
688,letzter::A,viimeinen,oxirgi
689,allein::ADV,yksin,o'zicha
690,auf einmal::ADV,yhdellä kertaa,varakay
691,zusammen::ADV,yhdessä,barobar
692,lange::ADV,kauan,uzoq
693,lange::ADV,pitkään,uzoq
694,plötzlich::ADV,äkkiä,qo'qqisdan
695,sofort::ADV,heti,darrov
696,später::ADV,myöhemmin,so'ngra
697,jetzt::ADV,nyt,hozirgina
698,heute::ADV,tänään,bugun
699,morgen::ADV,huomenna,ärta
700,bald::ADV,pian,toz
701,dann::ADV,sitten,keyin
702,gestern::ADV,eilen,kecha
703,einst::ADV,aikanaan,avvallari
704,damals::ADV,silloin,ugal
705,damals::ADV,siihen aikaan,ugal
706,danach::ADV,sen jälkeen,so'ngra
707,vorher::ADV,ennen,avval
708,zuerst::ADV,ensin,avval
709,zuerst::ADV,ensiksi,avval
710,einmal::ADV,kerran,bir marta
711,manchmal::ADV,joskus,onda-sonda
712,oft::ADV,usein,tez-tez
713,immer::ADV,aina,har vaqt
714,niemals::ADV,ei koskaan,hargiz
715,hier::ADV,tässä,shu erda
716,hier::ADV,täällä,shu erda
717,hierhin::ADV,tähän,beri
718,von hier::ADV,tästä,shu erdan
719,von hier::ADV,täältä,shu erdan
720,dort::ADV,siinä,ana
721,dort::ADV,siellä,ana
722,dorthin::ADV,sinne,u yerga
723,dorthin::ADV,tuonne,u yerga
724,geradeaus::ADV,suoraan,to'g'ri
725,vorwärts::ADV,eteenpäin,ilgari
726,rückwärts::ADV,taaksepäin,qoloq
727,zurück::ADV,takaisin,orqada
728,unten::ADV,alhaalla,pastda
729,hinab::ADV,alas,tubanga
730,oben::ADV,ylhäällä,ustida
731,hinauf::ADV,ylös,yuqorida
732,überall::ADV,kaikkialla,har erda
733,nicht::ADV,ei,ämas
734,ein wenig::ADV,vähän,biroz
735,kaum::ADV,tuskin,arang
736,sehr::ADV,kovin,ancha
737,sehr::ADV,oikein,ancha
738,so::ADV,näin,shunday
739,noch::ADV,vielä,hali
740,nur::ADV,vain,yolg'iz
741,nur::ADV,ainoastaan,yolg'iz
742,schon::ADV,jo,endi
743,wieder::ADV,taas,yana
744,wieder::ADV,jälleen,yana
745,vergebens::ADV,turhaan,bekorga
746,vor::PRP,edessä,burun
747,hinter::PRP,takana,ketida
748,unter::PRP,alla,ostida
749,durch::PRP,läpi,bo'ylab
750,durch::PRP,kautta,bo'ylab
751,neben::PRP,vieressä,yonida
752,zwischen::PRP,välillä,orada
753,wegen::PRP,takia,sababli
754,wegen::PRP,vuoksi,sababli
755,dies::PRN,tämä,o'sha
756,das::PRN,se,narigi
757,alles::PRN,kaikki,har nima
758,ich::PRN,minä,men
759,du::PRN,sinä,sen
760,er::PRN,hän,u
761,wir::PRN,me,biz
762,ihr::PRN,te,siz
763,sie::PRN,he,ular
764,was::FPRN,mikä,nima
765,wer::FPRN,ken,kim
766,wer::FPRN,kuka,kim
767,wo::FADV,missä,qaerda
768,wohin::FADV,mihin,qayerga
769,wie::FADV,miten,qanday
770,wie::FADV,kuinka,qanday
771,warum::FADV,miksi,nega
772,wieviel::FNUM,paljonko,qancha
773,wieviel::FNUM,kuinka paljon,qancha
774,eins::NUM,yksi,bir
775,zwei::NUM,kaksi,ikki
776,drei::NUM,kolme,uch
777,vier::NUM,neljä,to'rt
778,fünf::NUM,viisi,besh
779,sechs::NUM,kuusi,olti
780,sieben::NUM,seitsemän,etti
781,acht::NUM,kahdeksan,sakkiz
782,neun::NUM,yhdeksän,to'qqiz
783,zehn::NUM,kymmenen,o'n
784,elf::NUM,yksitoista,o'n bir
785,zwölf::NUM,kaksitoista,o'n ikki
786,zwanzig::NUM,kaksikymmentä,yigirma
787,dreißig::NUM,kolmekymmentä,o'ttiz
788,vierzig::NUM,neljäkymmentä,qirq
789,fünfzig::NUM,viisikymmentä,ällik
790,sechzig::NUM,kuusikymmentä,oltmish
791,siebzig::NUM,seitsemänkymmentä,etmish
792,achtzig::NUM,kahdeksankymmentä,sakson
793,neunzig::NUM,yhdeksänkymmentä,to'qson
