,Concept_ID,ab,hr
64,Schlaf::N,ацəа,san
65,Traum::N,аҧхыӡ,san
66,Himmel::N,ажəҩан,nebo
67,Sonne::N,амра,sunce
68,Mond::N,амза,mjesec
69,Stern::N,аеҵəа,zvijezda
70,Luft::N,аҳаир,zrak
71,Wind::N,аҧша,vjetar
72,Welle::N,ацəқəырҧа,val
73,Welle::N,ацəқəырҧа,talas
74,Wasser::N,аӡы,voda
75,Stein::N,ахаҳə,kamen
76,Boden::N,адгьыл,tlo
77,Boden::N,адгьыл,zemlja
78,Erde::N,адгьыл,zemlja
79,Staub::N,асаба,prah
80,Staub::N,асаба,prašina
81,Rauch::N,алҩа,dim
82,Funke::N,акəиц,iskra
83,Funke::N,акəиц,varnica
84,Funke::N,ацҧхь,iskra
85,Funke::N,ацҧхь,varnica
86,Feuer::N,амца,vatra
87,Licht::N,алашара,svjetlo
88,Schatten::N,ашəшьыра,hlad
89,Schatten::N,ашəшьыра,sjena
90,Wetter::N,амш,vrijeme
91,Nebel::N,анаҟəа,magla
92,Wolke::N,аҧсҭҳəа,oblak
93,Regen::N,ақəа,kiša
94,Schnee::N,асы,snijeg
95,Eis::N,аҵаа,led
96,Frost::N,аҵаа,mraz
97,Kälte::N,ахьҭа,studen
98,Kälte::N,ахьҭа,hladnoća
99,Hitze::N,ашоура,vrućina
100,Raureif::N,аҵааҧшқа,inje
101,Regenbogen::N,ацəаҟəа,duga
102,Donner::N,адыд,grom
103,Donner::N,адыд,grmljavina
104,Strömung::N,аиасра,struja
105,Strömung::N,аиасра,strujanje
106,Strömung::N,амҩасра,struja
107,Strömung::N,амҩасра,strujanje
108,Tropfen::N,ацəыкəбар,kap
109,Tropfen::N,ацəыкəбар,kaplja
110,Schaum::N,ашəах,pjena
111,Schmutz::N,алымт,nečistoća
112,Schmutz::N,алымт,prljavština
113,See::N,аӡиа,jezero
114,Sumpf::N,аӡмах,bara
115,Wiese::N,адəы,livada
116,Wald::N,абна,šuma
117,Hügel::N,ахəы,brijeg
118,Hügel::N,ахəы,brežuljak
119,Anhöhe::N,аҳаракыра,uzvišica
120,Berg::N,ашьха,brdo
121,Gipfel::N,ацəқəа,vrh
122,Höhle::N,аҳаҧы,pećina
123,Höhle::N,аҳаҧы,spilja
124,Abhang::N,анаара,obronak
125,Abhang::N,анаара,nizbrdica
126,Quelle::N,аҵҵырҭа,izvor
127,Quelle::N,аҵҵырҭа,vrelo
128,Bach::N,акəараҷҷа,potok
129,Fluss::N,аӡиас,rijeka
130,Ufer::N,ахықə,obala
131,Küste::N,ахықə,obala
132,Küste::N,ахықə,morska obala
133,Festland::N,абарра,kopno
134,Meer::N,амшын,more
135,Bucht::N,аӡбжьахала,zaliv
136,Insel::N,адгьылбжьаха,ada
137,Insel::N,адгьылбжьаха,otok
138,Blume::N,ашəҭ,cvijet
139,Gras::N,аҳасакьын,trava
140,Wurzel::N,адац,korijen
141,Baum::N,аҵла,drvo
142,Baum::N,аҵла,stablo
143,Stamm::N,ашьапы,deblo
144,Stamm::N,ашьапы,stablo
145,Rinde::N,ацəа,kora
146,Ast::N,амахə,grana
147,Ast::N,амахəҭа,grana
148,Zweig::N,амахə,grana
149,Zweig::N,амахəҭа,grana
150,Blatt::N,абҕьы,list
151,Birke::N,аҵааҵла,breza
152,Kiefer[Baum]::N,амза,bor
153,Weide[Baum]::N,аҧслыш,iva
154,Weide[Baum]::N,аҧслыш,vŕba
155,Tanne::N,аҧсаӡ,jela
156,Horn::N,атəыҩа,rog
157,Feder::N,ахӡы,pero
158,Fell::N,ацəа,koža
159,Flügel::N,амҵəыжəа,krilo
160,Klaue::N,ашьапхыц,papak
161,Schwanz::N,аҵыхəа,rep
162,Ei::N,акəтаӷь,jaje
163,Nest::N,аҭра,gnijezdo
164,Nest::N,аҵысҭра,gnijezdo
165,Bau::N,аҭыҩра,jazbina
166,Tier::N,аҧстəы,životinja
167,Tier::N,агыгшəыг,životinja
168,Herde::N,агəарҭа,krdo
169,Herde::N,агəарҭа,stado
170,Kuh::N,ажə,krava
171,Bulle::N,ацə,bik
172,Pferd::N,аҽы,konj
173,Schaf::N,ауаса,ovca
174,Schwein::N,аҳəа,svinja
175,Hund::N,ала,pas
176,Hund::N,ала,pseto
177,Katze::N,ацгəы,mačka
178,Bär::N,амшə,medvjed
179,Eichhörnchen::N,аеш,vjeverica
180,Elch::N,аҽаҩа,los
181,Fuchs::N,абгахəыҷы,lisica
182,Hase::N,ажьа,zec
183,Maus::N,аҳəынаҧ,miš
184,Wolf::N,абгаду,vuk
185,Wolf::N,абгаду,kurjak
186,Vogel::N,аҧсаатə,ptica
187,Huhn::N,акəты,kokoš
188,Hahn::N,арбаҕь,kokot
189,Hahn::N,арбаҕь,pijevac
190,Gans::N,аҟыз,guska
191,Adler::N,ауарба,orao
192,Ente::N,акəата,patka
193,Eule::N,аты,sova
194,Kranich::N,апҟа,ždral
195,Krähe::N,аҟəараан,vrana
196,Kuckuck::N,акəыкəу,kukavica
197,Schwan::N,агьад,labud
198,Fisch::N,аҧсыӡ,riba
199,Barsch::N,ацəыбла,grgeč
200,Hecht::N,ахиаала,štuka
201,Schlange[Tier]::N,амаҭ,guja
202,Schlange[Tier]::N,амаҭ,zmija
203,Wurm::N,ахəа,crv
204,Wurm::N,ахəац,crv
205,Spinne::N,абызкаҭаҳа,pauk
206,Ameise::N,ашышкамс,mrav
207,Laus::N,аҵа,uš
208,Mücke::N,акəыбры,komarac
209,Fliege::N,амҵ,muha
210,Schmetterling::N,аҧарҧалыкь,leptir
211,Beere::N,аргуц,boba
212,Beere::N,аргуц,bobica
213,Apfel::N,аҵəа,jabuka
214,Pilz::N,акəкəбаа,pečurka
215,Zwiebel::N,аџьымшьы,luk
216,Zwiebel::N,аџьымшьы,kapula
217,Zwiebel::N,аџьымшьхы,luk
218,Zwiebel::N,аџьымшьхы,kapula
219,Saat::N,ажəла,sjemenje
220,Korn::N,арыц,zrno
221,Heu::N,аҭəа,sijeno
222,Schale::N,ацəа,kora
223,Schale::N,ацəа,ljuska
224,Grube::N,ажра,jama
225,Grube::N,атыша,jama
226,Falle::N,арыҧҟьа,zamka
227,Falle::N,арыҧҟьа,klopka
228,Schlinge::N,аҟəараҟəантə,uzao
229,Schlinge::N,аҟəараҟəантə,petlja
230,Spur::N,ашьҭа,trag
231,Spur::N,ашьҭа,slijed
232,Asche::N,ахəа,pepeo
233,Dreck::N,аҳəынҵəа,blato
234,Dreck::N,аҟьамсар,blato
235,Eisen::N,аиха,željezo
236,Gold::N,ахьы,zlato
237,Silber::N,аразны,srebro
238,Kohle::N,арацəа,ugalj
239,Kohle::N,арацəа,ugljen
240,Glas::N,асаркьа,staklo
241,Lehm::N,анышəаҧшь,glina
242,Lehm::N,анышəаҧшь,ilovača
243,Sand::N,аҧслымӡ,pijesak
244,Mensch::N,ауаҩы,čovjek
245,Mann::N,ахаҵа,muškarac
246,Frau::N,аҧҳəыс,žena
247,Kind::N,ахəыҷы,čedo
248,Kind::N,ахəыҷы,dijete
249,Junge::N,аҷкəын,momče
250,Junge::N,аҷкəын,dječak
251,Junge::N,ахаҵарҧыс,momče
252,Junge::N,ахаҵарҧыс,dječak
253,Mädchen::N,аӡӷаб,djevojka
254,Mädchen::N,аӡӷаб,djevojčica
255,Familie::N,аҭаацəа,obitelj
256,Familie::N,аҭаацəа,porodica
257,Großvater::N,абду,djed
258,Großmutter::N,анду,baka
259,Eltern::N,ани аби,roditelji
260,Vater::N,аб,otac
261,Mutter::N,ан,majka
262,Sohn::N,аҧа,sin
263,Tochter::N,аҧҳа,kći
264,Tochter::N,аҧҳа,kćerka
265,Bruder::N,аиашьа,brat
266,Schwester::N,Аҳəшьа,sestra
267,Onkel::N,абиашьа,čika
268,Onkel::N,абиашьа,ujak
269,Onkel::N,аншьа,čika
270,Onkel::N,аншьа,ujak
271,Tante::N,абиаҳəшьа,ujna
272,Tante::N,абиаҳəшьа,tetka
273,Ehemann::N,ахаҵа,muž
274,Ehemann::N,ахаҵа,suprug
275,Ehemann::N,аҧшəма,muž
276,Ehemann::N,аҧшəма,suprug
277,Ehefrau::N,аҧҳəыс,žena
278,Ehefrau::N,аҧҳəыс,supruga
279,Freude::N,агəырӷьара,radost
280,Gelächter::N,ачча,grohot
281,Gelächter::N,аччара,grohot
282,Glück::N,аразҟы,sreća
283,Kummer::N,агəырҩа,jad
284,Kummer::N,агəырҩа,briga
285,Wunsch::N,агəхəтəы,želja
286,Wunsch::N,аҭахра,želja
287,Lust::N,агəазыҳəара,volja
288,Geist::N,аҧсы,duh
289,Gedanke::N,ахəыцырҭа,misao
290,Gedächtnis::N,агəынкылара,pamćenje
291,Verstand::N,ахшыҩ,um
292,Verstand::N,ахшыҩ,razum
293,Sinn::N,аҵакы,smisao
294,Sinn::N,аҵакы,značenje
295,Grund::N,амзыз,razlog
296,Wahrheit::N,аиаша,istina
297,Gespräch::N,аиҿцәажәара,razgovor
298,Märchen::N,алакə,bajka
299,Erzählung::N,ажәабжь,priča
300,Erzählung::N,ажәабжь,pripovijest
301,Nachricht::N,адырраҭара,vijest
302,Neuigkeit::N,ажәабжь ҿыц,novost
303,Name::N,ахьӡ,ime
304,Rätsel::N,ацуфара,zagonetka
305,Rede::N,ажәа,govor
306,Rede::N,ажәа,besjeda
307,Sprache::N,абызшəа,jezik
308,Stimme::N,абжьы,glas
309,Wort::N,ажәа,riječ
310,Zeichen::N,адырга,znak
311,Ruf::N,аҿҭы,povik
312,Ruf::N,аҿҭы,poklik
313,Lärm::N,ашьҭыбжь,buka
314,Lärm::N,ашьҭыбжь,galama
315,Laut::N,ашьҭыбжь,zvuk
316,Ton::N,атон,ton
317,Lied::N,ашəа,pjesma
318,Ruhe::N,аҭынчра,tišina
319,Ruhe::N,аҭынчра,počinak
320,Leute::N,ауаа,ljudi
321,Volk::N,ажəлар,puk
322,Volk::N,ажəлар,narod
323,Arbeit::N,аусура,rad
324,Arbeit::N,аусура,posao
325,Gast::N,асас,gost
326,Geschenk::N,аҳамҭа,dar
327,Geschenk::N,аҳамҭа,poklon
328,Geschenk::N,аҿанҵа,dar
329,Geschenk::N,аҿанҵа,poklon
330,Spiel::N,ахəмарра,igra
331,Gesellschaft::N,агəыҧ,društvo
332,Gesellschaft::N,агəыҧ,kompanija
333,Hilfe::N,ацхыраара,pomoć
334,Freund::N,аҩыза,prijatelj
335,Kamerad::N,Аҧхнагьла,drug
336,Kamerad::N,Аҧхнагьла,drugar
337,Angelegenheit::N,аус,posao
338,Anzahl::N,ахыҧхьаӡара,broj
339,Anzahl::N,ахыҧхьаӡара,brojnost
340,Art::N,ахкы,vid
341,Art::N,ахкы,vrst
342,Stück::N,аҽыҭ,komad
343,Teil::N,ахəҭа,dio
344,Hälfte::N,абжа,polovina
345,Kreis::N,агьагьа,krug
346,Kreuz::N,аџьар,križ
347,Linie::N,аицтәар,crta
348,Strich::N,ацəаҳəа,crta
349,Abstand::N,абжьара,razmak
350,Abstand::N,абжьара,odstojanje
351,Entfernung::N,абжьара,udaljenost
352,Gegend::N,аҭыҧ,kraj
353,Gegend::N,аҭыҧ,predeo
354,Platz::N,аҭыҧ,mjesto
355,Ort::N,аҭыҧ,mjesto
356,Seite::N,аган,bok
357,Seite::N,аган,strana
358,Mitte::N,агəҭа,sredina
359,Gegenstand::N,амаҭəар,predmet
360,Rand::N,аҵкар,rub
361,Rand::N,аҵкар,kraj
362,Kante::N,авардым,brid
363,Kante::N,авардым,ivica
364,Ecke::N,акəакь,ugao
365,Spitze::N,аҧынҵа,vrh
366,Spitze::N,аҧынҵа,šiljak
367,Ende::N,анаӡара,konac
368,Loch::N,акылҵəара,rupa
369,Winkel::N,агҿаҩра,kut
370,Winkel::N,агҿаҩра,ugao
371,Winkel::N,акəындхə,kut
372,Winkel::N,акəындхə,ugao
373,Winkel::N,акəакь,kut
374,Winkel::N,акəакь,ugao
375,Muster::N,аҟҟа,uzor
376,Größe::N,изаҟароу,veličina
377,Länge::N,аура,duljina
378,Höhe::N,агылара,visina
379,Gewicht::N,акапан,težina
380,Haufen::N,ачаҟəа,hrpa
381,Haufen::N,ачаҟəа,gomila
382,Reihe::N,ацəаҳəа,red
383,Boot::N,анышь,čun
384,Boot::N,анышь,čamac
385,Ruder::N,ажəҩа,veslo
386,Schlitten::N,ашəаҩауардын,saone
387,Ski::N,ашəаҩа,ski
388,Ski::N,ашəаҩа,smučka
389,Ski::N,ашьахаха,ski
390,Ski::N,ашьахаха,smučka
391,Lagerfeuer::N,еиқуу амца,logorska vatra
392,Last::N,ахьанҭара,tovar
393,Gang::N,аныҟəара,hod
394,Schritt::N,ашьаҿа,korak
395,Norden::N,аҩада,sjever
396,Süden::N,алада,jug
397,Westen::N,амраҭашəара,zapad
398,Osten::N,амрагылара,istok
399,Holz::N,амҿымаҭəахə,drvo
400,Brett::N,аӷəы,daska
401,Platte::N,ахаҳәцәы,ploča
402,Stütze::N,аҵаргəа,potpora
403,Stütze::N,агəышьаҟа,potpora
404,Stange::N,акьат,motka
405,Stock::N,алаба,štap
406,Stock::N,алаба,palica
407,Stab::N,акьат,štap
408,Stab::N,акьат,šipka
409,Rohr::N,абыкь,cijev
410,Haus::N,аҩны,kuća
411,Heim::N,аҭаацəа,dom
412,Ofen::N,аҳақə,peć
413,Ofen::N,ауаџьаҟ,peć
414,Ofen::N,афрына,peć
415,Fußboden::N,адашьма,pod
416,Tisch::N,аишәа,stol
417,Tisch::N,аишәа,trpeza
418,Stuhl::N,аҟəардə,stolac
419,Stuhl::N,аҟəардə,stolica
420,Wiege::N,агара,kolijevka
421,Bett::N,акаруаҭ,krevet
422,Bett::N,акаруаҭ,postelja
423,Regal::N,акыӷəра,polica
424,Kiste::N,аидчаҧала,sanduk
425,Fenster::N,аҧенџьыр,prozor
426,Tür::N,ашə,vrata
427,Tor::N,агəашə,vrata
428,Tor::N,агəашə,kapija
429,Zaun::N,аанда,plot
430,Zaun::N,аанда,ograda
431,Dach::N,ахыб,krov
432,Leiter::N,амардуан,ljestve
433,Leiter::N,амардуан,ljestvice
434,Besen::N,аҧссага,metla
435,Spaten::N,ажыга,ašov
436,Schaufel::N,аҭəарӷəы,lopata
437,Gabel::N,ачқьыҧ,viljuška
438,Löffel::N,амҳаҵə,žlica
439,Messer::N,аҳəызба,nož
440,Nagel::N,аҵəымӷ,čavao
441,Netz::N,акаҭа,mreža
442,Haken::N,аҵəаҳə,kuka
443,Griff::N,амаа,držak
444,Griff::N,амаа,ručica
445,Schloss::N,асаҧаҭ,brava
446,Bild::N,асахьа,slika
447,Figur::N,афигура,figura
448,Puppe::N,акьанџьа,lutka
449,Beutel::N,асакь,kesa
450,Bündel::N,аҿаҳəара,snop
451,Bündel::N,аҿаҳəара,svežanj
452,Tasche::N,арҭмаҟ,torba
453,Tasche::N,арҭмаҟ,taška
454,Eimer::N,аведра,kabao
455,Deckel::N,ахҩа,poklopac
456,Geschirr::N,ачысмаҭəа,suđe
457,Geschirr::N,ачысмаҭəа,posuđe
458,Sack::N,асакь,džak
459,Sack::N,асакь,vreća
460,Tasse::N,аҵəца,šalica
461,Topf::N,акаструлиа,lonac
462,Kessel::N,ачуан,kazan
463,Nahrung::N,афатə,hrana
464,Speise::N,афатə,jelo
465,Fleisch::N,акəац,meso
466,Getreide::N,ачакуа,žito
467,Getreide::N,ачакуа,žitarice
468,Brei::N,ақашь,kaša
469,Brot::N,ача,kruh
470,Scheibe::N,аҽыҭ,kriška
471,Scheibe::N,аҿаҵа,kriška
472,Fett::N,ашша,mast
473,Fett::N,ашша,salo
474,Butter::N,ахəша,buter
475,Butter::N,ахəша,maslac
476,Öl::N,азеҭ,ulje
477,Salz::N,аџьыка,sol
478,Suppe::N,асуҧ,supa
479,Honig::N,ацха,med
480,Milch::N,ахш,mlijeko
481,Tee::N,ачаи,čaj
482,Leder::N,ацəа,koža
483,Wolle::N,аласа,vuna
484,Stoff::N,Аба,štof
485,Stoff::N,Аба,tkanina
486,Nadel::N,агəыр,igla
487,Faden::N,арахəыц,nit
488,Faden::N,арахəыц,konac
489,Knopf::N,аҳəынҵəра,dugme
490,Knoten::N,аиқəҳəала,čvor
491,Knoten::N,аиқəҳəала,uzao
492,Farbe::N,ашəыга,farba
493,Kleidung::N,амаҭəа,odjeća
494,Hemd::N,акьаҿ,košulja
495,Kragen::N,ахəда,ovratnik
496,Ärmel::N,амаӷра,rukav
497,Hose::N,аиқəа,hlače
498,Gürtel::N,амаҟа,pas
499,Gürtel::N,амаҟа,pojas
500,Mütze::N,ахылҧа,kapa
501,Schuh::N,аимаа,cipela
502,Stiefel::N,амагə,čizma
503,Ring::N,амацəаз,prsten
504,Band::N,алента,vrpca
505,Kamm::N,ахҳəа,češalj
506,Spiegel::N,асаркьа,zrcalo
507,Spiegel::N,асаркьа,ogledalo
508,Riemen::N,аа,kaiš
509,Riemen::N,аа,remen
510,Schnur::N,ашаха,vrpca
511,Leine::N,аҕура,uzica
512,Decke::N,ахыза,ćebe
513,Decke::N,ахыза,pokrivač
514,Kissen::N,ахчы,jastuk
515,Tuch::N,акасы,rubac
516,Tuch::N,акасы,marama
517,Handtuch::N,ампахьшьы,ručnik
518,Kraft::N,амч,snaga
519,Stärke::N,амч,jakost
520,Gesundheit::N,агəабзиара,zdravlje
521,Krankheit::N,ачымазара,bolest
522,Schmerz::N,ахьаа,bol
523,Wunde::N,ахəра,rana
524,Fieber::N,ашоура,groznica
525,Arznei::N,ахəшə,lijek
526,Brücke::N,ацҳа,most
527,Brücke::N,ацҳа,ćuprija
528,Brunnen::N,аҵыџь,bunar
529,Brunnen::N,аҵыџь,zdenac
530,Weide::N,аҳəырҭа,paša
531,Weide::N,аҳəырҭа,pašnjak
532,Pfad::N,амхəасҭа,staza
533,Weg::N,амҩа,put
534,Straße::N,амҩа,drum
535,Straße::N,амҩа,cesta
536,Dorf::N,ақыҭа,selo
537,Stadt::N,ақалақь,grad
538,Stadt::N,ақалақь,varoš
539,Brief::N,ашəҟəы,list
540,Brief::N,ашəҟəы,pismo
541,Buch::N,ашəҟəы,knjiga
542,Buchstabe::N,анбан,slovo
543,Zeitung::N,агазеҭ,novine
544,Leben::N,аҧсҭазаара,život
545,Tod::N,аҧсра,smrt
546,Grab::N,анышəынҭра,raka
547,Kirche::N,ауахəама,crkva
548,Sünde::N,агəнаҳа,grijeh
549,Gott::N,анцəа,bog
550,Arbeiter::N,аусуҩ,radnik
551,Chef::N,Аиҳабы,šef
552,Meister::N,аҟаза,majstor
553,Arzt::N,аҳақьым,liječnik
554,Lehrer::N,арҵаҩы,učitelj
555,Geld::N,аҧара,novac
556,Laden::N,амагазин,dućan
557,Preis::N,ахə,cijena
558,Ware::N,атауар,roba
559,Nutzen::N,ақьар,korist
560,Reichtum::N,абеиара,bogatstvo
561,Welt::N,адунеи,svijet
562,Land::N,атəыла,zemlja
563,Staat::N,аҳəынҭқарра,država
564,König::N,акрал,kralj
565,Macht::N,амчра,moć
566,Macht::N,амчра,vlast
567,Grenze::N,аҳəаа,granica
568,Krieg::N,аибашьра,rat
569,Feind::N,Аҕа,neprijatelj
570,Gewalt::N,ақəымчра,sila
571,Gewalt::N,ақəымчра,nasilje
572,Kampf::N,ақəҧара,boj
573,Kampf::N,ақəҧара,borba
574,Bogen[Waffe]::N,ахыц,luk
575,Pfeil::N,ахəымпал,strijela
576,Gewehr::N,ашəақь,puška
577,Fehler::N,агха,pogreška
578,Fehler::N,агха,griješka
579,Lüge::N,амц,laž
580,Schaden::N,аҧырхага,šteta
581,Unglück::N,арыцҳара,nesreća
582,Schuld::N,ахара,krivnja
583,Alter::N,ақəра,dob
584,Schluss::N,анҵəамҭа,kraj
585,Schluss::N,анҵəамҭа,konac
586,Zeit::N,аамта,doba
587,Zeit::N,аамта,vrijeme
588,Tag::N,амш,dan
589,Morgen::N,ашара,jutro
590,Morgen::N,ашьыбжь,jutro
591,Mittag::N,шьыбжьон,podne
592,Abend::N,ахəылҧаз,veče
593,Abend::N,ахəылҧаз,večer
594,Abend::N,ахəлбыҽха,veče
595,Abend::N,ахəлбыҽха,večer
596,Nacht::N,аҵх,noć
597,Woche::N,амчыбжь,sedmica
598,Frühling::N,ааҕын,proljeće
599,Sommer::N,аҧхын,ljeto
600,Herbst::N,ҭагалан,jesen
601,Herbst::N,хкаарачан,jesen
602,Winter::N,аӡын,zima
603,Januar::N,ианвар,januar
604,Januar::N,ианвар,siječanj
605,Februar::N,февраль,veljača
606,Februar::N,февраль,februar
607,März::N,март,mart
608,März::N,март,ožujak
609,April::N,апрель,april
610,April::N,апрель,travanj
611,Mai::N,маи,maj
612,Mai::N,маи,svibanj
613,Juni::N,иуун,juni
614,Juni::N,иуун,lipanj
615,Juli::N,иууль,juli
616,Juli::N,иууль,srpanj
617,August::N,август,august
618,August::N,август,kolovoz
619,September::N,сентиабр,rujan
620,September::N,сентиабр,septembar
621,Oktober::N,октиабр,oktobar
622,Oktober::N,октиабр,listopad
623,November::N,ноиабр,studeni
624,November::N,ноиабр,novembar
625,Dezember::N,декабр,prosinac
626,Montag::N,ашəахьа,ponedjeljak
627,Montag::N,ашəахьа,ponedjeljnik
628,Dienstag::N,аҩаша,utorak
629,Dienstag::N,аҩаша,utornik
630,Mittwoch::N,ахаша,srijeda
631,Donnerstag::N,аҧшьаша,četvrtak
632,Freitag::N,ахəаша,petak
633,Samstag::N,асабша,subota
634,Sonntag::N,амҽыша,nedjelja
635,groß::A,аду,velik
636,klein::A,амаҷ,mali
637,klein::A,амаҷ,malen
638,lang::A,ахəхəа,dug
639,lang::A,ахəхəа,dugačak
640,kurz::A,акьаҿ,kratak
641,breit::A,аиужь,širok
642,breit::A,аиҵых,širok
643,schmal::A,аҭшəа,uski
644,schmal::A,аҭшəа,uzak
645,dicht::A,аилач,gust
646,dick[Gegenstand]::A,ажəпа,debeo
647,fein::A,апа,fin
648,fein::A,апа,tanak
649,fein::A,аҵаӷа,fin
650,fein::A,аҵаӷа,tanak
651,fein::A,аӡа,fin
652,fein::A,аӡа,tanak
653,fest::A,аҟаца,čvrst
654,fest::A,аӷəӷəаҟаца,čvrst
655,flach::A,ақəаҟьа,ravan
656,flach::A,ақəаҟьа,plosnat
657,flach::A,аҧаҟьа,ravan
658,flach::A,аҧаҟьа,plosnat
659,glatt::A,аимаҩзы,gladak
660,hart::A,акьакьа,tvrd
661,weich::A,атата,mek
662,weich::A,атата,mekan
663,rund::A,акəмпыл,okrugao
664,spitz::A,аҵар,oštar
665,spitz::A,аҵар,šiljast
666,scharf::A,аҵар,oštar
667,scharf::A,аҵар,bridak
668,stumpf::A,ацагə,tup
669,schwer::A,ахьанҭа,težak
670,schön::A,аҧшӡа,krasan
671,heiß::A,ашы,vruć
672,warm::A,аҧха,topao
673,kalt::A,ахьшəашəа,hladan
674,kühl::A,ахьшəашəа,hladan
675,kühl::A,ицәыхьшәашәоу,hladan
676,frisch::A,цқьа,svjež
677,feucht::A,ацəаак,vlažan
678,nass::A,абааӡа,mokar
679,trocken::A,Аба,suh
680,trocken::A,аҩа,suh
681,voll::A,азна,pun
682,leer::A,аҭацəы,prazan
683,offen::A,аарта,otvoren
684,geschlossen::A,ихҩоу,zatvoren
685,geschlossen::A,иаркыу,zatvoren
686,sauber::A,ацқьа,čist
687,schmutzig::A,аҟьашь,nečist
688,schmutzig::A,аҟьашь,blatan
689,reif::A,Арҭ,zreo
690,reif::A,аҟала,zreo
691,reif::A,иҟалахьоу,zreo
692,lecker::A,ахаа,tečan
693,lecker::A,ахаа,ukusan
694,süß::A,азла,sladak
695,bitter::A,аша,gorak
696,sauer::A,аҵəҵəы,kiseo
697,hell::A,алаша,vedar
698,hell::A,алаша,svijetao
699,dunkel::A,алашьца,taman
700,schwarz::A,аиқуаҵәа,crn
701,weiß::A,ашкəакəа,bio
702,weiß::A,ашкəакəа,bijel
703,rot::A,аҟаҧшь,crven
704,gelb::A,аҩеижь,žut
705,blau::A,аҽҵәа,plav
706,blau::A,аҽҵәа,modar
707,grün::A,ашьацҧшҭəала,zelen
708,grün::A,аеҵəа,zelen
709,grau::A,ацəыш,siv
710,bunt::A,Аилыҕраа,šaren
711,bunt::A,аҕраҷкəын,šaren
712,billig::A,амариа,jeftin
713,teuer::A,амҩан,skup
714,wertvoll::A,кыр иаҕсоу,vrijedan
715,wertvoll::A,кыр иаҕсоу,dragocjen
716,wertvoll::A,акыр иаҕсоу,vrijedan
717,wertvoll::A,акыр иаҕсоу,dragocjen
718,blind::A,алашə,slijep
719,taub::A,адагəа,gluh
720,kräftig::A,аӷəӷəа,snažan
721,stark::A,абаҟа,jak
722,stark::A,абаҟа,snažan
723,schwach::A,акəада,slab
724,fett::A,аҧсыла,pretio
725,schlank::A,акала,vitak
726,schlank::A,акьалантар,vitak
727,schlank::A,аиҿартə,vitak
728,hübsch::A,аҧшӡа,zgodan
729,böse::A,абааҧсы,zao
730,böse::A,абааҧсы,opak
731,dumm::A,агаӡа,glup
732,faul::A,аашьа,lijen
733,fleißig::A,иҟубҷоу,radin
734,fleißig::A,иҟубҷоу,marljiv
735,geizig::A,акы,škrt
736,geizig::A,акаҷбеи,škrt
737,geizig::A,аҟəџьыр,škrt
738,klug::A,аҟəыш,razborit
739,klug::A,аҟəыӷа,razborit
