,Concept_ID,hy,no
137,Baum::N,ծառ,tre
138,Stamm::N,իրան,stamme
139,Rinde::N,կեղեւ,bark
140,Rinde::N,հաչոց,bark
141,Ast::N,ճյուղ,gren
142,Zweig::N,ճյուղ,kvist
143,Blatt::N,տերեւ,blad
144,Birke::N,ցարասի,bjørk
145,Kiefer[Baum]::N,սոճի,furu
146,Weide[Baum]::N,ուռենի,selje
147,Weide[Baum]::N,ուռենի,piletre
148,Tanne::N,եղեւին,gran
149,Feder::N,փետուր,fjær
150,Fell::N,մորթի,skinn
151,Flügel::N,թեւ,vinge
152,Klaue::N,չանչ,klauv
153,Kralle::N,ճանկ,klo
154,Schwanz::N,պոչ,hale
155,Ei::N,ձու,egg
156,Nest::N,բույն,rede
157,Bau::N,որջ,hi
158,Bau::N,բայոց,hi
159,Tier::N,կենդանի,dyr
160,Herde::N,հոտ,flokk
161,Kuh::N,կով,ku
162,Bulle::N,ցուլ,tyr
163,Pferd::N,ձի,hest
164,Schaf::N,ոչխար,får
165,Schwein::N,խոզ,gris
166,Hund::N,շուն,hund
167,Katze::N,կատու,katt
168,Bär::N,արջ,bjørn
169,Eichhörnchen::N,սկյուռ,ekorn
170,Elch::N,հիւսիսային եղջերու,elg
171,Fuchs::N,աղվես,rev
172,Hase::N,նապաստակ,hare
173,Maus::N,մուկ,mus
174,Wolf::N,գայլ,ulv
175,Wolf::N,գայլ,varg
176,Vogel::N,թռչուն,fugl
177,Schwarm::N,երամ,sverm
178,Huhn::N,հավ,høne
179,Hahn::N,աքաղաղ,hane
180,Gans::N,սագ,gås
181,Adler::N,արծիվ,ørn
182,Ente::N,բադ,and
183,Eule::N,բու,ugle
184,Kranich::N,կռունկ,trane
185,Krähe::N,ագռավ,kråke
186,Kuckuck::N,կուկու,gjøk
187,Schwan::N,կարապ,svane
188,Fisch::N,ձուկ,fisk
189,Barsch::N,պերկես,abbor
190,Hecht::N,գայլաձուկ,gjedde
191,Schlange[Tier]::N,օձ,orm
192,Schlange[Tier]::N,օձ,slange
193,Wurm::N,որդ,orm
194,Wurm::N,որդ,mark
195,Wurm::N,ճիճու,orm
196,Wurm::N,ճիճու,mark
197,Spinne::N,սարդ,edderkopp
198,Ameise::N,միջյուն,maur
199,Laus::N,ոջիլ,lus
200,Mücke::N,մժղուկ,mygg
201,Fliege::N,ճանճ,flue
202,Schmetterling::N,թիթեռ,sommerfugl
203,Beere::N,հատապտուղ,bær
204,Apfel::N,խնձոր,eple
205,Pilz::N,սունկ,sopp
206,Zwiebel::N,սոխ,løk
207,Saat::N,սերմ,sæd
208,Korn::N,հատիկ,korn
209,Heu::N,խոտ,høy
210,Schale::N,կեղեւ,skall
211,Grube::N,փոս,grop
212,Falle::N,ծուղակ,felle
213,Schlinge::N,խեղդան,snare
214,Spur::N,հետք,spor
215,Asche::N,մոխիր,aske
216,Dreck::N,աղտ,møkk
217,Dreck::N,աղտ,skitt
218,Eisen::N,երկաթ,jern
219,Gold::N,ոսկի,gull
220,Silber::N,արծաթ,sølv
221,Kohle::N,քարածուխ,kol
222,Kohle::N,քարածուխ,kull
223,Glas::N,ապակի,glass
224,Lehm::N,կավ,leire
225,Sand::N,ավազ,sand
226,Mensch::N,մարդ,menneske
227,Mann::N,մարդ,mann
228,Mann::N,տղամարդ,mann
229,Frau::N,կին,kvinne
230,Kind::N,զավակ,barn
231,Junge::N,տղա,gutt
232,Mädchen::N,աղջիկ,pike
233,Mädchen::N,աղջիկ,jente
234,Familie::N,ընտանիք,familie
235,Großvater::N,պապ,bestefar
236,Großmutter::N,տատ,bestemor
237,Eltern::N,ծնողներ,foreldre
238,Vater::N,հայր,far
239,Mutter::N,մայր,mor
240,Sohn::N,որդի,sønn
241,Tochter::N,աղջիկ,datter
242,Tochter::N,դուստր,datter
243,Bruder::N,եղբայր,bror
244,Schwester::N,քույր,søster
245,Onkel::N,քեռի,onkel
246,Onkel::N,հորեղբայր,onkel
247,Tante::N,մորաքույր,tante
248,Ehemann::N,մարդ,ektemann
249,Ehemann::N,ամուսին,ektemann
250,Ehefrau::N,կին ամուսին,hustru
251,Freude::N,ուրախություն,glede
252,Gelächter::N,ծիծաղ,latter
253,Glück::N,երջանկություն,lykke
254,Kummer::N,վիշտ,sorg
255,Wunsch::N,ցանկություն,ønske
256,Lust::N,փափագ,lyst
257,Lust::N,իղձ,lyst
258,Geist::N,ոգի,ånd
259,Gedanke::N,միտք,tanke
260,Gedächtnis::N,հիշողություն,minne
261,Gedächtnis::N,հիշողություն,hukommelse
262,Verstand::N,խելք,forstand
263,Sinn::N,իմաստ,mening
264,Sinn::N,իմաստ,betydning
265,Grund::N,պատճառ,grunn
266,Wahrheit::N,ճշմարտություն,sannhet
267,Gespräch::N,զրույց,samtale
268,Märchen::N,պայիկի պատմություն,eventyr
269,Erzählung::N,պատմվածք,fortelling
270,Erzählung::N,պատմություն,fortelling
271,Nachricht::N,հաղորդագրություն,melding
272,Neuigkeit::N,լուր,nyhet
273,Neuigkeit::N,նորություն,nyhet
274,Name::N,անուն,navn
275,Rätsel::N,բարդ խնդիր,gåte
276,Rede::N,ճառ,tale
277,Rede::N,ելույթ,tale
278,Sprache::N,լեզու,språk
279,Stimme::N,ձայն,stemme
280,Wort::N,բառ,ord
281,Zeichen::N,նշան,tegn
282,Ruf::N,կոչ,rop
283,Ruf::N,կանչ,rop
284,Lärm::N,աղմուկ,bråk
285,Laut::N,հնչյուն,lyd
286,Laut::N,ձայն,lyd
287,Ton::N,տոն,tone
288,Lied::N,երգ,vise
289,Ruhe::N,անդորրություն,ro
290,Leute::N,մարդիկ,folk
291,Volk::N,ազգ,folk
292,Arbeit::N,գործ,arbeid
293,Arbeit::N,աշխատանք,arbeid
294,Gast::N,հյուր,gjest
295,Geschenk::N,նվեր,gave
296,Spiel::N,խաղ,lek
297,Spiel::N,խաղ,spill
298,Gesellschaft::N,ընկերություն,selskap
299,Hilfe::N,օգնությթուն,hjelp
300,Freund::N,ընկեր,venn
301,Freund::N,բարեկամ,venn
302,Kamerad::N,ուղեկից,kamerat
303,Angelegenheit::N,բան,sak
304,Angelegenheit::N,բան,anliggende
305,Angelegenheit::N,գործ,sak
306,Angelegenheit::N,գործ,anliggende
307,Anzahl::N,քանակ,antall
308,Anzahl::N,գումար,antall
309,Art::N,տեսակ,art
310,Art::N,տեսակ,slag
311,Stück::N,կտոր,stykke
312,Teil::N,մաս,del
313,Hälfte::N,կես,halvdel
314,Kreis::N,շիջանակ,ring
315,Kreis::N,շիջանակ,sirkel
316,Kreuz::N,խաչ,kors
317,Kreuz::N,խաչ,kryss
318,Linie::N,գիծ,linje
319,Strich::N,գիծ,strek
320,Abstand::N,անջրպետ,avstand
321,Entfernung::N,հեռավորություն,avstand
322,Gegend::N,շրջան,strøk
323,Platz::N,տարածություն,plass
324,Ort::N,տեղ,sted
325,Ort::N,վայր,sted
326,Seite::N,կողմ,side
327,Mitte::N,մեջտեղ,midte
328,Gegenstand::N,առարկա,gjenstand
329,Sache::N,բան,sak
330,Rand::N,վերջք,rand
331,Kante::N,եզր,kant
332,Ecke::N,անկյուն,hjørne
333,Spitze::N,ծայր,spiss
334,Ende::N,ծայր,ende
335,Loch::N,անցք,hull
336,Winkel::N,անկյուն,vinkel
337,Muster::N,օրինակ,mønster
338,Größe::N,մեծություն,størrelse
339,Länge::N,երկարություն,lengde
340,Höhe::N,բարձրություն,høyde
341,Gewicht::N,կշիռ,vekt
342,Menge::N,քանակ,mengde
343,Haufen::N,դեզ,haug
344,Haufen::N,դեզ,bunke
345,Haufen::N,կույտ,haug
346,Haufen::N,կույտ,bunke
347,Reihe::N,շարք,rekke
348,Reihe::N,կարգ,rekke
349,Boot::N,նավակ,båt
350,Ruder::N,թի,åre
351,Ruder::N,թիակ,åre
352,Schlitten::N,բալխիր,slede
353,Schlitten::N,բալխիր,kjelke
354,Ski::N,դահուկ,ski
355,Lagerfeuer::N,բացօդեայ կրակ,leirbål
356,Last::N,բեռ,bør
357,Last::N,բեռ,last
358,Gang::N,զբոսանք,gang
359,Schritt::N,քայլ,steg
360,Schritt::N,քայլ,skritt
361,Norden::N,հյուսիս,nord
362,Süden::N,հարավ,sør
363,Westen::N,արեւմուտք,vest
364,Osten::N,արեւելք,øst
365,Holz::N,փայտ,tre
366,Brett::N,տախտակ,fjøl
367,Brett::N,տախտակ,brett
368,Platte::N,թիթեղ,plate
369,Stütze::N,նեցուկ,støtte
370,Stange::N,ձող,stang
371,Stock::N,փայտ,pinne
372,Stab::N,ցուպ,stav
373,Stab::N,ցուպ,kjepp
374,Stab::N,գավազան,stav
375,Stab::N,գավազան,kjepp
376,Rohr::N,խողովակ,rør
377,Haus::N,տուն,hus
378,Heim::N,տուն,hjem
379,Ofen::N,վառարան,ovn
380,Fußboden::N,հատակ,gulv
381,Tisch::N,սեղան,bord
382,Stuhl::N,աթոռ,stol
383,Wiege::N,օրորոց,vogge
384,Bett::N,անկողին,seng
385,Regal::N,դարակ,reol
386,Regal::N,դարակ,hylle
387,Kiste::N,տուփ,kasse
388,Fenster::N,պատուհան,vindu
389,Tür::N,դուռ,dør
390,Tor::N,դարպաս,port
391,Zaun::N,ցանկապատ,gjerde
392,Dach::N,տանիք,tak
393,Dach::N,կտուր,tak
394,Leiter::N,սանդուղք,stige
395,Besen::N,ավել,kost
396,Spaten::N,բահ,spade
397,Schaufel::N,թի,skuffe
398,Gabel::N,պատառաքաղ,gaffel
399,Löffel::N,գդալ,skje
400,Messer::N,դանակ,kniv
401,Nagel::N,մեխ,spiker
402,Netz::N,ցանց,nett
403,Haken::N,կարթ,krok
404,Griff::N,կոթ,tak
405,Griff::N,կոթ,håndtak
406,Griff::N,բռնակ,tak
407,Griff::N,բռնակ,håndtak
408,Schloss::N,կողպեք,lås
409,Bild::N,նկար,bilde
410,Bild::N,պատկեր,bilde
411,Figur::N,քանդակ,figur
412,Figur::N,պատկեր,figur
413,Puppe::N,տիկնիկ,dukke
414,Beutel::N,տոպրակ,pose
415,Bündel::N,կապոց,bylt
416,Tasche::N,պայուսակ,veske
417,Eimer::N,դույլ,bøtte
418,Deckel::N,կափարիչ,lokk
419,Geschirr::N,ամանեղեն,kjøkkentøy
420,Sack::N,պարկ,sekk
421,Sack::N,տոպրակ,sekk
422,Tasse::N,թաս,kopp
423,Tasse::N,գավաթ,kopp
424,Topf::N,անոթ,gryte
425,Kessel::N,կաթսա,kjele
426,Essen::N,կերակուր,mål
427,Nahrung::N,ուտելիք,mat
428,Nahrung::N,ուտելիք,næring
429,Speise::N,խորտիկ,matrett
430,Speise::N,կերակուր,matrett
431,Fleisch::N,միս,kjøtt
432,Getreide::N,հացահատիկ,korn
433,Brei::N,լանդակ,grøt
434,Brot::N,հաց,brød
435,Scheibe::N,կտոր,skive
436,Scheibe::N,պատառ,skive
437,Fett::N,ճարպ,fett
438,Butter::N,կարագ,smør
439,Öl::N,ձեթ,olje
440,Salz::N,աղ,salt
441,Suppe::N,սուպ,suppe
442,Suppe::N,ապուր,suppe
443,Honig::N,մեղր,honning
444,Milch::N,կաթ,melk
445,Tee::N,թեյ,te
446,Leder::N,կաշի,lær
447,Leder::N,կաշի,skinn
448,Wolle::N,բուրդ,ull
449,Stoff::N,գործվածք,tøy
450,Stoff::N,գործվածք,stoff
451,Nadel::N,ասեղ,nål
452,Faden::N,թել,tråd
453,Knopf::N,կոճակ,knapp
454,Knoten::N,հանգույց,knute
455,Farbe::N,ներկ,farge
456,Kleidung::N,հագուստ,påkledning
457,Hemd::N,վերնաշապիկ,skjorte
458,Kragen::N,օձիք,krage
459,Ärmel::N,թեւք,erme
460,Hose::N,շալվար,bukse
461,Gürtel::N,գոտի,belte
462,Mütze::N,կեպի,lue
463,Schuh::N,կոշիկ,sko
464,Stiefel::N,երկարաճիթ կոշիկ,støvel
465,Ring::N,զնգալ,ring
466,Band::N,ժապավեն,band
467,Kamm::N,սանր,kam
468,Spiegel::N,հայելի,speil
469,Riemen::N,փոկ,rem
470,Schnur::N,լար,snor
471,Leine::N,փոկ,line
472,Decke::N,վերմակ,teppe
473,Kissen::N,բարձ,pute
474,Tuch::N,թաշկինակ,tøy
475,Handtuch::N,սրբիչ,håndkle
476,Kraft::N,ուժ,kraft
477,Stärke::N,պնդություն,styrke
478,Stärke::N,ամրություն,styrke
479,Gesundheit::N,առողջություն,helse
480,Gesundheit::N,առողջություն,sunnhet
481,Krankheit::N,ախտ,syke
482,Krankheit::N,ախտ,sykdom
483,Krankheit::N,հիվանդություն,syke
484,Krankheit::N,հիվանդություն,sykdom
485,Schmerz::N,ցավ,smerte
486,Schmerz::N,տանջանք,smerte
487,Wunde::N,վերք,sår
488,Fieber::N,տենդ,feber
489,Arznei::N,դեղ,medisin
490,Arznei::N,դեղ,legemiddel
491,Brücke::N,կամուրջ,bro
492,Brunnen::N,հոր,brønn
493,Brunnen::N,ջրհոր,brønn
494,Weide::N,արոտավայր,beite
495,Pfad::N,արահետ,sti
496,Weg::N,ուղի,vei
497,Straße::N,ճանապարհ,gate
498,Dorf::N,գյուղ,landsby
499,Stadt::N,քաղաք,by
500,Brief::N,նամակ,brev
501,Buch::N,գիրք,bok
502,Buchstabe::N,տառ,bokstav
503,Buchstabe::N,գիր,bokstav
504,Zeitung::N,լրագիր,avis
505,Leben::N,կյանք,liv
506,Tod::N,մահ,død
507,Grab::N,գերեզման,grav
508,Kirche::N,եկեղեցի,kirke
509,Sünde::N,մեղք,synd
510,Gott::N,աստված,gud
511,Arbeiter::N,բանվոր,arbeider
512,Arbeiter::N,աշխատող,arbeider
513,Chef::N,տեր,sjef
514,Meister::N,վարպետ,mester
515,Arzt::N,բժիշկ,lege
516,Lehrer::N,ուսուցիչ,lærer
517,Geld::N,փող,penger
518,Geschäft::N,գործ,forretning
519,Geschäft::N,աշխատանք,forretning
520,Laden::N,կրպակ,butikk
521,Laden::N,խանութ,butikk
522,Preis::N,գին,pris
523,Ware::N,ապրանք,vare
524,Nutzen::N,օգուտ,nytte
525,Reichtum::N,հարստություն,rikdom
526,Welt::N,աշխարհ,verden
527,Land::N,երկիր,land
528,Staat::N,պետություն,stat
529,König::N,արքա,konge
530,König::N,թագավոր,konge
531,Macht::N,իշխանություն,makt
532,Grenze::N,սահման,grense
533,Krieg::N,պատերազմ,krig
534,Feind::N,թշնամի,fiende
535,Gewalt::N,բռնություն,vold
536,Gewalt::N,սաստկություն,vold
537,Kampf::N,մարտ,kamp
538,Bogen[Waffe]::N,աղեղ,bue
539,Pfeil::N,նետ,pil
540,Gewehr::N,հրացան,gevær
541,Fehler::N,սխալ,feil
542,Lüge::N,սուտ,løgn
543,Schaden::N,վնաս,skade
544,Unglück::N,դժբախտություն,uhell
545,Schuld::N,պակասություն,skyld
546,Alter::N,հասակ,alder
547,Schluss::N,վերջ,slutt
548,Schluss::N,վախճան,slutt
549,Zeit::N,ժամանակ,tid
550,Tag::N,օր,dag
551,Morgen::N,առավոտ,morgen
552,Mittag::N,կեսօր,middag
553,Abend::N,երեկո,aften
554,Nacht::N,գիշեր,natt
555,Woche::N,շաբաթ,uke
556,Monat::N,ամիս,måned
557,Jahr::N,տարի,år
558,Frühling::N,գարուն,vår
559,Sommer::N,ամառ,sommer
560,Herbst::N,աշուն,høst
561,Winter::N,ձմեռ,vinter
562,Januar::N,հունվար,januar
563,Februar::N,փետրվար,februar
564,März::N,մարտ,mars
565,April::N,ապրիլ,april
566,Mai::N,մայիս,mai
567,Juni::N,հունիս,juni
568,Juli::N,հուլիս,juli
569,August::N,օգոստոս,august
570,September::N,սեպտեմբեր,september
571,Oktober::N,հոկտեմբեր,oktober
572,November::N,նոյեմբեր,november
573,Dezember::N,դեկտեմբեր,desember
574,Montag::N,երկուշաբթի,mandag
575,Dienstag::N,երեքշաբթի,tirsdag
576,Mittwoch::N,չորեքշաբթի,onsdag
577,Donnerstag::N,հինգշաբթի,torsdag
578,Freitag::N,ուրբաթ,fredag
579,Samstag::N,շաբաթ,lørdag
580,Sonntag::N,կիրակի,søndag
581,groß::A,մեծ,stor
582,groß::A,խոշոր,stor
583,klein::A,պստիկ,liten
584,klein::A,փոքրիկ,liten
585,lang::A,երկար,lang
586,kurz::A,կարճ,kort
587,breit::A,լայն,bred
588,schmal::A,նեղ,smal
589,dicht::A,խիտ,tett
590,dick[Gegenstand]::A,հաստ,tykk
591,dünn::A,բարակ,tynn
592,fein::A,նուրբ,fin
593,fest::A,ամուր,fast
594,fest::A,պինդ,fast
595,flach::A,տափակ,flat
596,glatt::A,հարթ,glatt
597,hart::A,կարծր,hard
598,weich::A,մեղմ,myk
599,weich::A,մեղմ,bløt
600,weich::A,փափուկ,myk
601,weich::A,փափուկ,bløt
602,rund::A,կլոր,rund
603,spitz::A,սրածայր,spiss
604,scharf::A,սուր,kvass
605,stumpf::A,գուլ,stubb
606,schwer::A,ծանր,tung
607,schön::A,սիրուն,pen
608,schön::A,սիրուն,vakker
609,schön::A,գեղեցիկ,pen
610,schön::A,գեղեցիկ,vakker
611,heiß::A,թեժ,het
612,warm::A,տաք,varm
613,warm::A,ջերմ,varm
614,kalt::A,ցուրտ,kald
615,kühl::A,զով,kjølig
616,frisch::A,թարմ,fersk
617,feucht::A,ղոնավ,fuktig
618,nass::A,թաց,våt
619,trocken::A,ցամաք,tørr
620,voll::A,լի,full
621,voll::A,լիքը,full
622,leer::A,դատարկ,tom
623,offen::A,բաց,åpen
624,geschlossen::A,գոց,lukket
625,sauber::A,մաքուր,ren
626,schmutzig::A,կեղտոտ,skitten
627,roh::A,հում,rå
628,reif::A,հասած,moden
629,reif::A,հասուն,moden
630,lecker::A,համեղ,lekker
631,süß::A,անուշ,søt
632,bitter::A,կծու,besk
633,bitter::A,կծու,bitter
634,sauer::A,թթու,sur
635,sauer::A,թթված,sur
636,hell::A,պայծառ,lys
637,hell::A,խելամիտ,lys
638,dunkel::A,մութ,mørk
639,schwarz::A,սեւ,svart
640,weiß::A,սպիտակ,hvit
641,rot::A,կարմիր,rød
642,gelb::A,դեղին,gul
643,blau::A,կապույտ,blå
644,grün::A,կանաչ,grønn
645,grau::A,գորշ,grå
646,bunt::A,գոյնզգոյն,broket
647,billig::A,էժան,billig
648,teuer::A,թանկ,dyr
649,wertvoll::A,թանկարժեք,verdifull
650,blind::A,կույր,blind
651,taub::A,խուլ,døv
652,kräftig::A,հզոր,kraftig
653,stark::A,ուժեղ,sterk
654,schwach::A,տկար,svak
655,schwach::A,թույլ,svak
656,fett::A,գեր,fet
657,schlank::A,նիհար,slank
658,hübsch::A,գրավիչ,pen
659,hübsch::A,սիրունիկ,pen
660,böse::A,չար,slem
661,dumm::A,հիմար,dum
662,faul::A,ծույլ,lat
663,faul::A,ծույլ,doven
664,fleißig::A,ջանասեր,flittig
665,fleißig::A,փութաջան,flittig
666,geizig::A,ագահ,gjerrig
667,geizig::A,կծծի,gjerrig
668,klug::A,խելոք,klok
669,klug::A,ընդունակ,klok
670,geschickt::A,ճարտար,hendig
671,geschickt::A,ճարտար,skikket
672,lieb::A,սիրելի,kjær
673,lieb::A,սիրելի,snill
674,lustig::A,զվարթ,morsom
675,sanft::A,հեզ,blid
676,hungrig::A,քաղցած,sulten
677,krank::A,հիվանդ,syk
678,nackt::A,մերկ,naken
679,traurig::A,տխուր,sørgmodig
680,lebendig::A,կենդանի,levende
681,gut::A,լավ,god
682,schlecht::A,վատ,dårlig
683,richtig::A,ձիշտ,riktig
684,schlimm::A,լղրճուկ,slem
685,wahr::A,ճիշտ,sann
686,wahr::A,իրական,sann
687,alt::A,հին,gammel
688,neu::A,նոր,ny
689,ehemalig::A,նախկին,forhenværende
690,alt[Lebewesen]::A,ծեր,gammel
691,alt[Lebewesen]::A,պառավ,gammel
692,jung::A,մատաղ,ung
693,arm::A,աղքատ,fattig
694,reich::A,հարուստ,rik
695,bekannt::A,ծանոթ,kjent
696,berühmt::A,հայտնի,berømt
697,berühmt::A,հռչակավոր,berømt
698,fremd::A,օտար,fremmed
699,verschieden::A,տարբեր,forskjellig
700,nah::A,մոտ,nær
701,nah::A,մերձ,nær
702,fern::A,հեռավոր,fjern
703,linker::A,ձախ,venstre
704,rechter::A,աջ,høyre
705,anderer::A,այլ,annen
706,anderer::A,ուրիշ,annen
707,erster::A,առաջին,første
708,zweiter::A,երկրորդ,annen
709,dritter::A,երրորդ,tredje
710,letzter::A,վերջին,sist
711,allein::ADV,միայնակ,alene
712,auf einmal::ADV,միասնաբար,med ett
713,zusammen::ADV,միասին,sammen
714,zusammen::ADV,իրար հետ,sammen
715,lange::ADV,երկար ժամանակ,lenge
716,plötzlich::ADV,հանկարծ,plutselig
717,sofort::ADV,իսկույն,straks
718,später::ADV,ավելի ուշ,senere
719,später::ADV,հետո,senere
720,jetzt::ADV,այժմ,nå
721,heute::ADV,այսօր,i dag
722,morgen::ADV,վաղը,i morgen
723,bald::ADV,շուտով,snart
724,dann::ADV,ապա,så
725,dann::ADV,հետո,så
726,gestern::ADV,երեկ,i går
727,einst::ADV,հին ատեն,engang
728,damals::ADV,ատէնին,den gang
729,danach::ADV,ապա,deretter
730,danach::ADV,այն ժամանակ,deretter
731,vorher::ADV,առաջ,før
732,vorher::ADV,առաջ,i forveien
733,zuerst::ADV,նախ,først
734,einmal::ADV,մի անգամ,en gang
735,manchmal::ADV,երբեմն,somme tider
736,oft::ADV,հաճախ,ofte
737,immer::ADV,միշտ,alltid
738,niemals::ADV,երբեք,aldri
739,hier::ADV,այստեղ,her
740,hierhin::ADV,այստեղ,hit
741,von hier::ADV,այդտեղից,herfra
742,dort::ADV,այնտեղ,der
743,dorthin::ADV,այնտեղ,dit
744,geradeaus::ADV,ուղիղ,rett fram
745,vorwärts::ADV,առաջ,fram
746,vorwärts::ADV,առաջ,framover
747,rückwärts::ADV,դեպի ետ,baklengs
748,zurück::ADV,ետ,tilbake
749,unten::ADV,ներքեւում,nede
750,hinab::ADV,ներքեւ,ned
751,hinab::ADV,ներքեւ,nedover
752,oben::ADV,վերեւում,oppe
753,oben::ADV,վերեւում,ovenpå
754,hinauf::ADV,վերեւ,opp
755,hinauf::ADV,վերեւ,oppover
756,überall::ADV,ամենուր,overalt
757,nicht::ADV,չէ,ikke
758,ein wenig::ADV,մի քիչ,litt
759,kaum::ADV,հազիվ,neppe
760,sehr::ADV,շատ,svært
761,so::ADV,այդպես,så
762,noch::ADV,դեռ,enda
763,nur::ADV,միայն,bare
764,schon::ADV,արդեն,alt
765,schon::ADV,արդեն,allerede
766,wieder::ADV,նորից,igjen
767,wieder::ADV,դարձյալ,igjen
768,vergebens::ADV,իզուր,forgjeves
769,vor::PRP,դիմացը,foran
770,vor::PRP,դիմացը,utenfor
771,hinter::PRP,ետեւը,bak
772,hinter::PRP,ետեւը,bakom
773,unter::PRP,տակ,under
774,durch::PRP,միջով,gjennom
775,durch::PRP,միջով,igjennom
776,neben::PRP,քովը,ved siden av
