,Concept_ID,eu,la
169,Ei::N,arrautza,ovum
170,Nest::N,habia,nidus
171,Bau::N,ohantze,cavum
172,Bau::N,ohantze,latibulum
173,Tier::N,abere,bestia
174,Tier::N,piztia,bestia
175,Herde::N,saldo,grex
176,Herde::N,abere talde,grex
177,Kuh::N,behi,vacca
178,Bulle::N,zezen,taurus
179,Pferd::N,zaldi,equus
180,Schaf::N,ardi,ovis
181,Schwein::N,urde,sus
182,Schwein::N,urde,porcus
183,Schwein::N,txerri,sus
184,Schwein::N,txerri,porcus
185,Hund::N,txakur,canis
186,Katze::N,katu,felis
187,Bär::N,hartz,ursus
188,Eichhörnchen::N,urtxintxa,sciurus
189,Elch::N,altze,alces
190,Fuchs::N,azeri,vulpes
191,Hase::N,erbi,lepus
192,Maus::N,sagu,mus
193,Wolf::N,otso,lupus
194,Vogel::N,txori,avis
195,Vogel::N,hegazti,avis
196,Schwarm::N,aldra,examen
197,Huhn::N,oilo,gallina
198,Hahn::N,oilar,gallus
199,Gans::N,antzara,anser
200,Adler::N,arrano,aquila
201,Ente::N,ahate,anas
202,Eule::N,hontza,ulula
203,Eule::N,hontza,noctua
204,Kranich::N,kurrilo,grus
205,Krähe::N,bele,cornix
206,Kuckuck::N,kuku,cuculus
207,Schwan::N,beltxarga,olor
208,Schwan::N,beltxarga,cycnus
209,Fisch::N,arrain,piscis
210,Barsch::N,perka,perca
211,Hecht::N,lutxo,esox
212,Schlange[Tier]::N,suge,serpens
213,Wurm::N,har,vermis
214,Spinne::N,armiarma,aranea
215,Ameise::N,inurri,formica
216,Laus::N,zorri,pediculus
217,Mücke::N,eltxo,culex
218,Fliege::N,euli,musca
219,Schmetterling::N,pinpirin,papilio
220,Schmetterling::N,tximeleta,papilio
221,Beere::N,baia,baca
222,Apfel::N,sagar,malum
223,Pilz::N,onddo,fungus
224,Pilz::N,perretxiko,fungus
225,Zwiebel::N,tipula,cepa
226,Saat::N,haziak,seges
227,Korn::N,ale,granum
228,Korn::N,pikor,granum
229,Heu::N,belar ondu,faenum
230,Schale::N,azal,putamen
231,Grube::N,hobi,fovea
232,Falle::N,harrapagailu,pedica
233,Schlinge::N,bilur,laqueus
234,Schlinge::N,xedera,laqueus
235,Spur::N,lorratz,vestigium
236,Asche::N,errauts,cinis
237,Dreck::N,satsukeria,lutum
238,Eisen::N,burdina,ferrum
239,Gold::N,urre,aurum
240,Gold::N,urregorri,aurum
241,Silber::N,zilar,argentum
242,Silber::N,urrezuri,argentum
243,Kohle::N,ikatz,carbo
244,Glas::N,beira,vitrum
245,Lehm::N,buztin,lutum
246,Sand::N,harea,arena
247,Sand::N,hondar,arena
248,Mensch::N,gizaki,homo
249,Mann::N,gizon,vir
250,Frau::N,andere,mulier
251,Frau::N,emakume,mulier
252,Kind::N,haur,puer
253,Kind::N,haur,infans
254,Junge::N,mutil,puer
255,Mädchen::N,neska,puella
256,Familie::N,sendi,familia
257,Familie::N,familia,familia
258,Großvater::N,aitona,avus
259,Großvater::N,aitatxi,avus
260,Großmutter::N,amona,avia
261,Großmutter::N,amatxi,avia
262,Eltern::N,gurasoak,parentes
263,Vater::N,aita,pater
264,Mutter::N,ama,mater
265,Sohn::N,seme,filius
266,Tochter::N,alaba,filia
267,Bruder::N,neba,frater
268,Bruder::N,anaia,frater
269,Schwester::N,ahizpa,soror
270,Onkel::N,osaba,patruus
271,Onkel::N,osaba,avunculus
272,Tante::N,izeba,amita
273,Ehemann::N,senar,maritus
274,Ehefrau::N,emazte,uxor
275,Freude::N,poz,gaudium
276,Freude::N,poz,laetitia
277,Freude::N,pozkari,gaudium
278,Freude::N,pozkari,laetitia
279,Gelächter::N,barre,risus
280,Gelächter::N,karkara,risus
281,Glück::N,zori,felicitas
282,Kummer::N,xangrin,aegritudo
283,Kummer::N,atsekabe,aegritudo
284,Wunsch::N,nahi,voluntas
285,Wunsch::N,nahi,desiderium
286,Wunsch::N,nahikunde,voluntas
287,Wunsch::N,nahikunde,desiderium
288,Lust::N,gogo,libido
289,Lust::N,gogo,voluptas
290,Geist::N,gogo,mens
291,Geist::N,gogo,animus
292,Gedanke::N,gogoeta,sententia
293,Gedächtnis::N,oroimen,memoria
294,Gedächtnis::N,gogoramen,memoria
295,Verstand::N,adimen,ratio
296,Verstand::N,adimen,ingenium
297,Verstand::N,ulermen,ratio
298,Verstand::N,ulermen,ingenium
299,Sinn::N,zentzu,sensus
300,Grund::N,zergati,causa
301,Wahrheit::N,egia,veritas
302,Gespräch::N,hizketa,sermo
303,Gespräch::N,elkarrizketa,sermo
304,Märchen::N,ipuin,fabula
305,Erzählung::N,edesti,fabula
306,Erzählung::N,edesti,narratio
307,Erzählung::N,kontakizun,fabula
308,Erzählung::N,kontakizun,narratio
309,Nachricht::N,albiste,nuntius
310,Neuigkeit::N,berri,novitas
311,Name::N,izen,nomen
312,Rätsel::N,asmakizun,aenigma
313,Rede::N,hitzaldi,oratio
314,Rede::N,mintzaldi,oratio
315,Sprache::N,hizkuntza,lingua
316,Stimme::N,ahots,vox
317,Wort::N,hitz,verbum
318,Wort::N,hitz,vocabulum
319,Zeichen::N,agerbide,signum
320,Zeichen::N,agergarri,signum
321,Ruf::N,dei,clamor
322,Lärm::N,zarata,strepitus
323,Lärm::N,harrabots,strepitus
324,Laut::N,hots,sonus
325,Ton::N,tonu,sonus
326,Ton::N,soinu,sonus
327,Lied::N,abesti,carmen
328,Ruhe::N,nasaitasun,quies
329,Leute::N,jende,homines
330,Volk::N,herri,populus
331,Volk::N,populu,populus
332,Arbeit::N,lan,labor
333,Gast::N,arrotz,hospes
334,Gast::N,arrotz,conviva
335,Gast::N,apopilo,hospes
336,Gast::N,apopilo,conviva
337,Geschenk::N,opari,munus
338,Spiel::N,jolas,ludus
339,Gesellschaft::N,gizarte,societas
340,Hilfe::N,helpide,auxilium
341,Hilfe::N,helpide,subsidium
342,Hilfe::N,laguntza,auxilium
343,Hilfe::N,laguntza,subsidium
344,Freund::N,lagun,amicus
345,Kamerad::N,adiskide,socius
346,Kamerad::N,lagunkide,socius
347,Angelegenheit::N,afera,res
348,Anzahl::N,kopuru,numerus
349,Art::N,mota,genus
350,Stück::N,puska,frustum
351,Stück::N,puska,fragmentum
352,Teil::N,atal,pars
353,Hälfte::N,erdi,dimidium
354,Kreis::N,biribilki,orbis
355,Kreis::N,biribilki,circus
356,Kreuz::N,gurutze,crux
357,Linie::N,linea,linea
358,Strich::N,marra,lineamentum
359,Abstand::N,tarte,intervallum
360,Entfernung::N,urrunera,spatium
361,Gegend::N,alderdi,loca
362,Gegend::N,alderdi,regio
363,Gegend::N,eskualde,loca
364,Gegend::N,eskualde,regio
365,Platz::N,leku,locus
366,Ort::N,toki,locus
367,Seite::N,albo,latus
368,Mitte::N,erdi,medium
369,Gegenstand::N,gauzaki,res
370,Sache::N,gauza,res
371,Rand::N,ertz,margo
372,Kante::N,ertz,angulus
373,Ecke::N,kantoi,angulus
374,Spitze::N,punta,cacumen
375,Ende::N,buru,caput
376,Ende::N,mutur,caput
377,Loch::N,zulo,foramen
378,Winkel::N,zoko,angulus
379,Winkel::N,bazter,angulus
380,Muster::N,eredu,exemplum
381,Muster::N,marrazki,exemplum
382,Größe::N,kaizu,magnitudo
383,Größe::N,tamaina,magnitudo
384,Länge::N,luzera,longitudo
385,Höhe::N,goiera,altitudo
386,Höhe::N,garaiera,altitudo
387,Gewicht::N,hazta,pondus
388,Menge::N,kopuru,copia
389,Haufen::N,pila,acervus
390,Haufen::N,mendoi,acervus
391,Reihe::N,ilara,ordo
392,Reihe::N,errenkada,ordo
393,Boot::N,potin,navicula
394,Boot::N,txalupa,navicula
395,Ruder::N,arraun,remus
396,Schlitten::N,lera,sclodia
397,Schlitten::N,narra,sclodia
398,Ski::N,eski,narta
399,Lagerfeuer::N,su,ignis
400,Last::N,zama,onus
401,Last::N,karga,onus
402,Gang::N,ibilera,cursus
403,Schritt::N,pauso,gradus
404,Schritt::N,urrats,gradus
405,Norden::N,ipar,septentriones
406,Norden::N,iparralde,septentriones
407,Süden::N,hego,meridies
408,Süden::N,hegoalde,meridies
409,Westen::N,sartalde,occidens
410,Westen::N,mendebalde,occidens
411,Osten::N,ekialde,oriens
412,Osten::N,sortalde,oriens
413,Holz::N,zur,lignum
414,Brett::N,ohol,tabula
415,Platte::N,lauza,lamina
416,Stütze::N,irozgarri,adminiculum
417,Stütze::N,bermagailu,adminiculum
418,Stange::N,haga,pertica
419,Stock::N,makila,baculum
420,Stab::N,makila,scipio
421,Rohr::N,hodi,tubus
422,Haus::N,etxe,aedes
423,Heim::N,etxe,domicilium
424,Heim::N,etxaleku,domicilium
425,Ofen::N,berogailu,fornax
426,Fußboden::N,zoru,solum
427,Tisch::N,mahai,mensa
428,Stuhl::N,aulki,sella
429,Wiege::N,kuma,cunae
430,Wiege::N,sehaska,cunae
431,Bett::N,ohe,lectus
432,Bett::N,ohatze,lectus
433,Regal::N,apalategi,foruli
434,Kiste::N,kutxa,cista
435,Fenster::N,leiho,fenestra
436,Tür::N,ate,ianua
437,Tor::N,atari,porta
438,Zaun::N,hesi,saepes
439,Dach::N,teilatu,tectum
440,Leiter::N,zurubi,scalae
441,Besen::N,erratz,scopae
442,Spaten::N,burdinpala,pala
443,Schaufel::N,pala,pala
444,Gabel::N,sardexka,fuscinula
445,Löffel::N,koilara,coclear
446,Messer::N,aizto,culter
447,Nagel::N,iltze,clavus
448,Netz::N,sare,rete
449,Haken::N,mako,hamus
450,Griff::N,eskutoki,manubrium
451,Schloss::N,sarraila,claustra
452,Bild::N,irudi,tabula
453,Bild::N,irudi,pictura
454,Figur::N,figura,statunculum
455,Puppe::N,panpina,pupa
456,Puppe::N,andrakila,pupa
457,Beutel::N,zorro,sacculus
458,Bündel::N,azao,fascis
459,Bündel::N,espal,fascis
460,Tasche::N,poltsa,sacculus
461,Eimer::N,treska,situla
462,Deckel::N,tapa,operculum
463,Deckel::N,estalki,operculum
464,Geschirr::N,baxera,vasa
465,Geschirr::N,ontziteria,vasa
466,Sack::N,zaku,saccus
467,Tasse::N,kikara,pocillum
468,Topf::N,ontzi,olla
469,Topf::N,lapiko,olla
470,Kessel::N,pazia,aenum
471,Essen::N,janaldi,cena
472,Nahrung::N,jan,cibus
473,Nahrung::N,jan,alimenta
474,Speise::N,jaki,cibus
475,Fleisch::N,okela,caro
476,Fleisch::N,haragi,caro
477,Getreide::N,labore,frumentum
478,Brei::N,ahi,puls
479,Brei::N,pure,puls
480,Brot::N,ogi,panis
481,Scheibe::N,xerra,frustum
482,Scheibe::N,pirripita,frustum
483,Fett::N,urin,pingue
484,Fett::N,koipe,pingue
485,Butter::N,gurin,butȳrum
486,Öl::N,olio,oleum
487,Salz::N,gatz,sal
488,Suppe::N,zopa,ius
489,Suppe::N,salda,ius
490,Honig::N,ezti,mel
491,Milch::N,esne,lac
492,Tee::N,te,thea
493,Leder::N,larru,corium
494,Wolle::N,artile,lana
495,Stoff::N,ehun,textum
496,Nadel::N,orratz,acus
497,Nadel::N,jostorratz,acus
498,Faden::N,hari,filum
499,Knopf::N,botoi,bulla
500,Knoten::N,korapilo,nodus
501,Farbe::N,pintura,pigmentum
502,Kleidung::N,arropa,vestimenta
503,Kleidung::N,jantziak,vestimenta
504,Hemd::N,atorra,tunica
505,Hemd::N,alkandora,tunica
506,Kragen::N,idun,collare
507,Ärmel::N,mahuka,manica
508,Hose::N,prakak,bracae
509,Hose::N,galtzak,bracae
510,Gürtel::N,gerriko,cingulum
511,Mütze::N,txano,pilleus
512,Mütze::N,txapel,pilleus
513,Schuh::N,oski,calceus
514,Schuh::N,oinetako,calceus
515,Stiefel::N,bota,pero
516,Stiefel::N,bota,caliga
517,Ring::N,uztai,anulus
518,Band::N,zinta,redimiculum
519,Band::N,xingola,redimiculum
520,Kamm::N,orrazi,pecten
521,Spiegel::N,mirail,speculum
522,Riemen::N,uhal,lorum
523,Schnur::N,lokailu,linum
524,Leine::N,lotura,retinaculum
525,Decke::N,burusi,lodix
526,Kissen::N,kuxin,pulvinus
527,Tuch::N,zapi,velum
528,Tuch::N,oihal,velum
529,Handtuch::N,eskuzapi,mantele
530,Handtuch::N,eskuoihal,mantele
531,Kraft::N,indar,vis
532,Stärke::N,indar,robur
533,Gesundheit::N,osasun,valetudo
534,Krankheit::N,eritasun,morbus
535,Krankheit::N,gaixotasun,morbus
536,Schmerz::N,min,dolor
537,Wunde::N,zauri,vulnus
538,Fieber::N,sukar,febris
539,Arznei::N,osagai,remedium
540,Arznei::N,sendagai,remedium
541,Brücke::N,zubi,pons
542,Brunnen::N,putzu,puteus
543,Weide::N,alha,pascua
544,Weide::N,bazkaleku,pascua
545,Pfad::N,zidor,semita
546,Pfad::N,bidexka,semita
547,Weg::N,bide,iter
548,Straße::N,errepide,via
549,Dorf::N,herri,vicus
550,Stadt::N,hiri,urbs
551,Stadt::N,hiri,oppidum
552,Brief::N,gutun,epistula
553,Brief::N,eskutitz,epistula
554,Buch::N,liburu,liber
555,Buchstabe::N,hizki,littera
556,Zeitung::N,egunkari,diurnum
557,Leben::N,bizi,vita
558,Leben::N,bizitza,vita
559,Tod::N,herio,mors
560,Tod::N,heriotza,mors
561,Grab::N,hobi,sepulcrum
562,Grab::N,hilobi,sepulcrum
563,Kirche::N,eliza,ecclesia
564,Sünde::N,hoben,peccatum
565,Sünde::N,bekatu,peccatum
566,Gott::N,jainko,deus
567,Arbeiter::N,langile,operarius
568,Arbeiter::N,behargin,operarius
569,Chef::N,nagusi,praefectus
570,Meister::N,maisu,magister
571,Arzt::N,osagile,medicus
572,Arzt::N,sendagile,medicus
573,Lehrer::N,irakasle,magister
574,Geld::N,diru,aes
575,Geld::N,diru,pecunia
576,Geschäft::N,negozio,negotium
577,Laden::N,denda,taberna
578,Laden::N,saltegi,taberna
579,Preis::N,prezio,pretium
580,Preis::N,salneurri,pretium
581,Ware::N,salgai,merx
582,Nutzen::N,onura,utilitas
583,Nutzen::N,probetxu,utilitas
584,Reichtum::N,aberastasun,opes
585,Reichtum::N,aberastasun,divitiae
586,Welt::N,ludi,mundus
587,Welt::N,mundu,mundus
588,Land::N,herrialde,terra
589,Staat::N,estatu,res publica
590,König::N,errege,rex
591,Macht::N,botere,potestas
592,Grenze::N,muga,limes
593,Krieg::N,guda,bellum
594,Feind::N,etsai,inimicus
595,Feind::N,arerio,inimicus
596,Gewalt::N,bortxa,vis
597,Gewalt::N,bortizkeria,vis
598,Kampf::N,gudu,pugna
599,Kampf::N,auska,pugna
600,Bogen[Waffe]::N,arku,arcus
601,Pfeil::N,gezi,sagitta
602,Gewehr::N,fusil,sclopetum
603,Fehler::N,huts,error
604,Fehler::N,hutsegin,error
605,Lüge::N,gezur,mendacium
606,Schaden::N,kalte,damnum
607,Schaden::N,kalte,detrimentum
608,Unglück::N,zoritxar,miseria
609,Unglück::N,zoritxar,calamitas
610,Unglück::N,zorigaitz,miseria
611,Unglück::N,zorigaitz,calamitas
612,Schuld::N,erru,culpa
613,Alter::N,adin,aetas
614,Schluss::N,bukaera,finis
615,Zeit::N,aldi,tempus
616,Zeit::N,denbora,tempus
617,Tag::N,egun,dies
618,Morgen::N,goiz,mane
619,Mittag::N,eguerdi,meridies
620,Abend::N,arrats,vesper
621,Nacht::N,gau,nox
622,Woche::N,aste,septimana
623,Monat::N,hil,mensis
624,Jahr::N,urte,annus
625,Frühling::N,udalehen,ver
626,Sommer::N,uda,aestas
627,Herbst::N,udazken,autumnus
628,Herbst::N,neguantz,autumnus
629,Winter::N,negu,hiems
630,Januar::N,urtarril,Ianuarius
631,Februar::N,otsail,Februarius
632,März::N,martxo,Martius
633,April::N,apiril,Aprilis
634,Mai::N,maiatz,Maius
635,Juni::N,ekain,Iunius
636,Juli::N,uztail,Iulius
637,August::N,abuztu,Augustus
638,September::N,irail,September
639,Oktober::N,urri,Octobris
640,November::N,azaro,Novembris
641,Dezember::N,abendu,December
642,Montag::N,astelehen,dies lunae
643,Dienstag::N,astearte,dies Martis 
644,Mittwoch::N,asteazken,dies Mercurii
645,Donnerstag::N,ostegun,dies Iovis
646,Freitag::N,ostiral,dies Veneris
647,Samstag::N,larunbat,dies Saturni
648,Sonntag::N,igande,dominicus
649,Sonntag::N,igande,dies solis
650,groß::A,handi,magnus
651,klein::A,txiki,parvus
652,lang::A,luze,longus
653,kurz::A,labur,brevis
654,breit::A,zabal,latus
655,schmal::A,mehar,angustus
656,dicht::A,sarri,densus
657,dicht::A,trinko,densus
658,dick[Gegenstand]::A,lodi,crassus
659,dünn::A,mehe,tenuis
660,fein::A,fin,subtilis
661,fest::A,tinko,solidus
662,fest::A,tinko,stabilis
663,flach::A,lau,planus
664,flach::A,ordoki,planus
665,glatt::A,leun,levis
666,hart::A,gogor,durus
667,weich::A,bigun,mollis
668,weich::A,beratz,mollis
669,rund::A,biribil,rotundus
670,spitz::A,puntadun,acutus
671,scharf::A,zorrotz,acer
672,stumpf::A,kamuts,hebes
673,schwer::A,astun,gravis
674,schwer::A,pisutsu,gravis
675,schön::A,eder,pulcher
676,schön::A,eder,formosus
677,heiß::A,bero,fervidus
678,heiß::A,oso bero,fervidus
679,warm::A,bero,calidus
680,kalt::A,hotz,frigidus
681,kühl::A,hotzil,frigidus
682,frisch::A,fresko,recens
683,frisch::A,hozkirri,recens
684,feucht::A,heze,umidus
685,nass::A,busti,madidus
686,trocken::A,siku,aridus
687,trocken::A,lehor,aridus
688,voll::A,bete,plenus
689,leer::A,huts,vacuus
690,offen::A,ireki,apertus
691,geschlossen::A,itxita,clausus
692,sauber::A,xahu,lautus
693,sauber::A,garbi,lautus
694,schmutzig::A,lohi,sordidus
695,schmutzig::A,zikin,sordidus
696,roh::A,gordin,crudus
697,reif::A,umo,maturus
698,reif::A,heldu,maturus
699,lecker::A,goxo,delicatus
700,süß::A,goxo,dulcis
701,bitter::A,karmin,amarus
702,bitter::A,karmin,acerbus
703,bitter::A,garratz,amarus
704,bitter::A,garratz,acerbus
705,sauer::A,mingots,acidus
706,hell::A,argi,clarus
707,dunkel::A,ilun,obscurus
708,schwarz::A,beltz,niger
709,weiß::A,zuri,albus
710,rot::A,gorri,ruber
711,gelb::A,hori,flavus
712,blau::A,urdin,caeruleus
713,grün::A,berde,viridis
714,grün::A,musker,viridis
715,grau::A,urdin,canus
716,grau::A,urdinabar,canus
717,bunt::A,koloretsu,varius
718,billig::A,merke,vilis
719,teuer::A,garesti,carus
720,wertvoll::A,baliotsu,pretiosus
721,blind::A,itsu,caecus
722,taub::A,gor,surdus
723,kräftig::A,kementsu,robustus
724,stark::A,bizkor,firmus
725,stark::A,bizkor,validus
726,stark::A,indartsu,firmus
727,stark::A,indartsu,validus
728,schwach::A,ahul,debilis
729,schwach::A,ahul,infirmus
730,schwach::A,indargabe,debilis
731,schwach::A,indargabe,infirmus
732,fett::A,gizen,crassus
733,schlank::A,lerden,procerus
734,hübsch::A,polit,pulcher
735,böse::A,tzar,improbus
736,böse::A,gaizto,improbus
737,dumm::A,lelo,stultus
738,dumm::A,lelo,stupidus
739,dumm::A,pello,stultus
740,dumm::A,pello,stupidus
741,faul::A,nagi,piger
742,faul::A,alfer,piger
743,fleißig::A,maratz,sedulus
744,fleißig::A,lanzale,sedulus
745,geizig::A,zeken,avarus
746,geizig::A,zikoitz,avarus
747,klug::A,zuhur,prudens
748,geschickt::A,trebe,sollers
749,geschickt::A,antzetsu,sollers
750,lieb::A,maite,carus
751,lieb::A,laztan,carus
752,lustig::A,alaitsu,iocosus
753,sanft::A,eme,clemens
754,sanft::A,ezti,clemens
755,hungrig::A,gose,impastus
756,krank::A,eri,aeger
757,krank::A,gaixo,aeger
758,nackt::A,biluzi,nudus
759,traurig::A,itun,maestus
760,traurig::A,betilun,maestus
761,lebendig::A,bizirik,vivus
762,gut::A,on,bonus
763,schlecht::A,txar,malus
764,richtig::A,zuzen,rectus
765,schlimm::A,larri,malus
766,wahr::A,egiazko,verus
767,alt::A,zahar,antiquus
768,neu::A,berri,novus
769,ehemalig::A,lehengo,pristinus
770,alt[Lebewesen]::A,adindun,vetus
771,jung::A,gazte,iuvenis
772,arm::A,txiro,pauper
773,arm::A,behartsu,pauper
774,reich::A,dirudun,dives
775,bekannt::A,ezagun,notus
776,berühmt::A,entzun,celeber
777,berühmt::A,entzun,illustris
778,berühmt::A,ospetsu,celeber
779,berühmt::A,ospetsu,illustris
780,fremd::A,arrotz,peregrinus
781,verschieden::A,ezberdin,varius
782,verschieden::A,desberdin,varius
783,nah::A,hurre,propinquus
784,nah::A,hurbil,propinquus
785,fern::A,urrun,longinquus
786,linker::A,ezker,sinister
787,rechter::A,eskuin,dexter
788,anderer::A,beste,alius
789,erster::A,lehen,primus
790,erster::A,aurren,primus
791,zweiter::A,bigarren,secundus
792,dritter::A,hirugarren,tertius
793,letzter::A,azken,ultimus
794,letzter::A,hondar,ultimus
795,allein::ADV,bakarrik,solum
796,auf einmal::ADV,batera,simul
797,zusammen::ADV,elkarrekin,una
798,lange::ADV,luzaro,diu
799,plötzlich::ADV,bat-batean,subito
800,plötzlich::ADV,bat-batean,repente
801,sofort::ADV,berehala,statim
802,später::ADV,gero,postea
803,jetzt::ADV,orain,nunc
804,heute::ADV,gaur,hodie
805,morgen::ADV,bihar,cras
806,bald::ADV,aurki,mox
807,bald::ADV,laster,mox
808,dann::ADV,ondoren,deinde
809,gestern::ADV,atzo,heri
810,einst::ADV,antzina,olim
811,damals::ADV,orduan,tum
812,danach::ADV,gerora,postea
813,danach::ADV,ondoren,postea
814,vorher::ADV,lehenago,antea
815,zuerst::ADV,aurrena,primo
816,zuerst::ADV,lehenbizi,primo
817,einmal::ADV,behin,semel
818,einmal::ADV,aldi bat,semel
819,manchmal::ADV,batzuetan,interdum
820,manchmal::ADV,zenbaitetan,interdum
821,oft::ADV,maiz,saepe
822,oft::ADV,askotan,saepe
823,immer::ADV,beti,semper
824,niemals::ADV,inoiz ez,numquam
825,niemals::ADV,sekula ez,numquam
826,hier::ADV,hemen,hic
827,hierhin::ADV,hona,huc
828,von hier::ADV,hemendik,hinc
829,von hier::ADV,honetatik,hinc
830,dort::ADV,han,ibi
