,Concept_ID,kn,az
42,Sehne::N,ನರ,vətər
43,Knochen::N,ಮೂಳೆ,sümük
44,Gehirn::N,ಮಿದುಳು,beyin
45,Herz::N,ಹೃದಯ,ürək
46,Magen::N,ಉದರ,mədə
47,Leber::N,ಯಕೃತ್ತು,qara ciyər
48,Atem::N,ಉಸಿರು,nəfəs
49,Hunger::N,ಹಸಿವು,aclıq
50,Träne::N,ಕಣ್ಣೀರು,göz yaşı
51,Geschmack::N,ರುಚಿ,tam
52,Geschmack::N,ರುಚಿ,ləzzət
53,Geruch::N,ವಾಸನೆ,qoxu
54,Schlaf::N,ನಿದ್ರೆ,yuxu
55,Traum::N,ಕನಸು,röya
56,Himmel::N,ಬಾನು,göy
57,Himmel::N,ಬಾನು,səma
58,Sonne::N,ಸೂರ್ಯ,günəş
59,Mond::N,ಚಂದ್ರ,ay
60,Stern::N,ಚುಕ್ಕಿ,ulduz
61,Luft::N,ವಾಯು,hava
62,Wind::N,ಗಾಳಿ,yel
63,Wind::N,ಗಾಳಿ,külək
64,Welle::N,ಅಲೆ,dalğa
65,Wasser::N,ನೀರು,su
66,Stein::N,ಕಲ್ಲು,daş
67,Boden::N,ನೆಲ,yer
68,Boden::N,ನೆಲ,zəmin
69,Erde::N,ಭೂಮಿ,yer torpaq
70,Staub::N,ದೂಳು,toz
71,Rauch::N,ಹೊಗೆ,tüstü
72,Funke::N,ಕಿಡಿ,qığılcım
73,Feuer::N,ಬೆಂಕಿ,od
74,Licht::N,ಬೆಳಕು,işıq
75,Schatten::N,ನೆರಳು,kölgə
76,Wetter::N,ಹವ,hava
77,Nebel::N,ಮಂಜು,duman
78,Wolke::N,ಮೋಡ,bulud
79,Regen::N,ಮಳೆ,yağış
80,Regen::N,ಮಳೆ,yağmur
81,Schnee::N,ಹಿಮ,qar
82,Eis::N,ಮಂಜುಗಡ್ಡೆ,buz
83,Frost::N,ಮಂಜು,ayaz
84,Kälte::N,ಹಿಮ,soyuq
85,Hitze::N,ಉಷ್ಣ,coşğunluq
86,Raureif::N,ಇಬ್ಬನಿ,qırov
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,göy qurşağı
88,Donner::N,ಗುಡುಗು,göy gurultusu
89,Strömung::N,ಪ್ರವಾಹ,axın
90,Tropfen::N,ತೊಟ್ಟು,damcı
91,Schaum::N,ನೊರೆ,köpük
92,Schmutz::N,ಕಸ,çamır
93,See::N,ಸರೋವರ,göl
94,Sumpf::N,ಜೌಗುಸ್ಥಳ,bataqlıq
95,Moor::N,ಬಂಜರು ಭೂಮಿ,bataqlıq
96,Wiese::N,ಹುಲ್ಲುಗಾವಲು,çəmən
97,Wald::N,ಕಾಡು,meşə
98,Hügel::N,ಗುಡ್ಡೆ,təpə
99,Anhöhe::N,ದಿಬ್ಬ,təpə
100,Berg::N,ಮಲೆ,dağ
101,Berg::N,ಪರ್ವತ,dağ
102,Gipfel::N,ಶೃಂಗ,zirvə
103,Höhle::N,ಗುಹೆ,mağara
104,Abhang::N,ಇಳಿಜಾರು,yamac
105,Quelle::N,ಮೂಲ,bulaq
106,Bach::N,ತೊರೆ,kiçik çay
107,Fluss::N,ನದಿ,çay
108,Ufer::N,ತೀರ,kənar
109,Küste::N,ದಂಡೆ,sahil
110,Festland::N,ಭೂಮಿ,materik
111,Meer::N,ಕಡಲು,dəniz
112,Bucht::N,ಖಾರಿ,körfəz
113,Insel::N,ದ್ವೀಪ,ada
114,Blume::N,ಸುಮ,çiçək
115,Gras::N,ಹುಲ್ಲು,ot
116,Wurzel::N,ಬೇರು,kök
117,Baum::N,ಮರ,ağac
118,Stamm::N,ಕಾಂಡ,gövdə
119,Rinde::N,ತೂಗಟಿ,qabıq
120,Ast::N,ಶಾಖೆ,şax
121,Zweig::N,ರೆಂಬೆ,budaq
122,Blatt::N,ಎಲೆ,yarpaq
123,Birke::N,ಬರ್ಚ್ ಮರ,tozağacı
124,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,şam
125,Weide[Baum]::N,ವಿಲೋಮರ,söyüd
126,Tanne::N,ಭದ್ರದಾರು,küknar
127,Horn::N,ಕೊಂಬು,buynuz
128,Feder::N,ಪುಕ್ಕ,tük
129,Feder::N,ಪುಕ್ಕ,lələk
130,Fell::N,ರೋಮ,xəz
131,Flügel::N,ರೆಕ್ಕೆ,qanad
132,Klaue::N,ಪಂಜ,pəncə
133,Kralle::N,ಉಗುರು,dırnaq
134,Schwanz::N,ಬಾಲ,quyruq
135,Ei::N,ಮೊಟ್ಟೆ,yumurta
136,Nest::N,ಗೂಡು,yuva
137,Bau::N,ಅಡಗುದಾಣ,yuva
138,Tier::N,ಪ್ರಾಣಿ,heyvan
139,Herde::N,ಗುಂಪು,sürü
140,Kuh::N,ಹಸು,inək
141,Bulle::N,ಗೂಳಿ,öküz
142,Pferd::N,ಕುದುರೆ,at
143,Schaf::N,ಕುರಿ,qoyun
144,Schwein::N,ಹಂದಿ,donuz
145,Hund::N,ನಾಯಿ,it
146,Hund::N,ನಾಯಿ,köpək
147,Katze::N,ಬೆಕ್ಕು,pişik
148,Bär::N,ಕರಡಿ,ayı
149,Eichhörnchen::N,ಉಡುತೆ,dələ
150,Elch::N,ಕಡವೆ,sığın
151,Fuchs::N,ನರಿ,tülkü
152,Hase::N,ಮೊಲ,dovşan
153,Maus::N,ಇಲಿ,siçan
154,Wolf::N,ತೋಳ,qurd
155,Vogel::N,ಪಕ್ಷಿ,quş
156,Schwarm::N,ಗುಂಪು,sürü
157,Huhn::N,ಚಿಕ್,toyuq
158,Hahn::N,ಹುಂಜ,xoruz
159,Gans::N,ವರಟೆ,qaz
160,Adler::N,ಗರುಡ,qartal
161,Adler::N,ಗರುಡ,qaraquş
162,Ente::N,ಬಾತು,ördək
163,Eule::N,ಗೂಬೆ,bayquş
164,Kranich::N,ಕೊಕ್ಕರ,durna
165,Krähe::N,ಕಾಗೆ,qarğa
166,Kuckuck::N,ಕೋಗಿಲೆ,ququ
167,Schwan::N,ಹಂಸಪಕ್ಷಿ,qu quşu
168,Fisch::N,ಮೀನು,balıq
169,Barsch::N,ಪರ್ಚ್ ಮೀನು,tar
170,Hecht::N,ಪೈಕ್ ಮೀನು,durnabalığı
171,Schlange[Tier]::N,ಹಾವು,ilan
172,Wurm::N,ಹುಳು,qurd
173,Spinne::N,ಊರ್ಣನಾಭ,hörümçək
174,Ameise::N,ಇರುವೆ,qarışqa
175,Laus::N,ಹೇನು,bit
176,Mücke::N,ಸೊಳ್ಳೆ,ağcaqanad
177,Fliege::N,ನೊಣ,milçək
178,Schmetterling::N,ಪತಂಗ,kəpənək
179,Beere::N,ನಯವಣ್ಣು,gilə
180,Apfel::N,ಸೇಬು,alma
181,Pilz::N,ಅಣಬೆ,göbələk
182,Zwiebel::N,ನೀರುಳ್ಳಿ,soğan
183,Saat::N,ಬಿತ್ತ,əkin
184,Korn::N,ಬೀಜ,taxıl
185,Heu::N,ಕರಡ,quru ot
186,Schale::N,ಹೊಟ್ಟು,qabıq
187,Grube::N,ಗುಂಡಿ,çuxur
188,Falle::N,ಬೋನು,tələ
189,Falle::N,ಬೋನು,duzaq
190,Schlinge::N,ಉರುಲು,ilmək
191,Spur::N,ಜಾಡು,iz
192,Asche::N,ಬೂದಿ,kül
193,Dreck::N,ಹೊಲಸು,kir
194,Eisen::N,ಕಬ್ಬಿಣ,dəmir
195,Gold::N,ಚಿನ್ನ,altun
196,Silber::N,ಬೆಳ್ಳಿ,gümüş
197,Kohle::N,ಕಲ್ಲಿದ್ದಲು,kömür
198,Glas::N,ಗಾಜು,şüşə
199,Lehm::N,ಜೇಡಿಮಣ್ಣು,gil
200,Lehm::N,ಜೇಡಿಮಣ್ಣು,palçıq
201,Sand::N,ಮರಳು,qum
202,Mensch::N,ಪುರುಷ,adam
203,Mensch::N,ಪುರುಷ,insan
204,Mann::N,ಆಳು,kişi
205,Frau::N,ಹೆಣ್ಣು,qadın
206,Kind::N,ಮಗು,uşaq
207,Junge::N,ಹುಡುಗ,oğlan
208,Mädchen::N,ಹುಡುಗಿ,qız
209,Familie::N,ಕುಟುಂಬ,ailə
210,Großvater::N,ಅಜ್ಜ,baba
211,Großmutter::N,ಅಮ್ಮ,nənə
212,Eltern::N,ಹೆತ್ತವರು,valideyn
213,Vater::N,ತಂದೆ,ata
214,Mutter::N,ಅಮ್ಮ,ana
215,Sohn::N,ಮಗ ,oğul
216,Tochter::N,ಮಗಳು,qız
217,Bruder::N,ತಮ್ಮ,qardaş
218,Schwester::N,ತಂಗಿ,bacı
219,Onkel::N,ಸೋದರಮಾವ,əmi
220,Onkel::N,ಸೋದರಮಾವ,dayı
221,Onkel::N,ದೊಡ್ಡಪ್ಪ,əmi
222,Onkel::N,ದೊಡ್ಡಪ್ಪ,dayı
223,Tante::N,ಚಿಕ್ಕಮ್ಮ,bibi
224,Ehemann::N,ಗಂಡ,ər
225,Ehefrau::N,ಹೆಂಡತಿ,arvad
226,Freude::N,ನಲಿವು,nəşə
227,Freude::N,ನಲಿವು,sevinc
228,Gelächter::N,ನಗೆ,gülüş
229,Gelächter::N,ನಗೆ,qəhqəhə
230,Glück::N,ಆನಂದ,səadət
231,Glück::N,ಆನಂದ,xoşbəxtlik
232,Kummer::N,ದುಃಖ,qəm
233,Kummer::N,ದುಃಖ,kədər
234,Wunsch::N,ಬಯಕೆ,arzu
235,Lust::N,ಇಷ್ಟ,həvəs
236,Geist::N,ಆತ್ಮ,ruh
237,Gedanke::N,ಯೋಚನೆ,fikir
238,Gedanke::N,ಯೋಚನೆ,düşüncə
239,Gedächtnis::N,ಸ್ಮರಣೆ,xatir
240,Gedächtnis::N,ಸ್ಮರಣೆ,hafizə
241,Verstand::N,ಮನಸ್ಸು,ağıl
242,Sinn::N,ಅರ್ಥ,məna
243,Grund::N,ಕಾರಣ,səbəb
244,Wahrheit::N,ಸತ್ಯ,haqq
245,Wahrheit::N,ಸತ್ಯ,doğruluq
246,Gespräch::N,ಸಂಭಾಷಣೆ,söhbət
247,Gespräch::N,ಸಂಭಾಷಣೆ,qonuşma
248,Märchen::N,ಸುಳ್ಳು ಕಥೆ,nağıl
249,Erzählung::N,ಕಥೆ,hekayə
250,Nachricht::N,ಸಂದೇಶ,xəbər
251,Neuigkeit::N,ಸುದ್ದಿ,xəbər
252,Neuigkeit::N,ಸುದ್ದಿ,yenilik
253,Name::N,ಹೆಸರು,ad
254,Rätsel::N,ಒಗಟು,tapmaca
255,Rede::N,ಮಾತು,nitq
256,Sprache::N,ಭಾಷೆ,dil
257,Stimme::N,ಧ್ವನಿ,səs
258,Wort::N,ಮಾತು,söz
259,Wort::N,ಮಾತು,kəlmə
260,Zeichen::N,ಗುರುತು,nişan
261,Ruf::N,ಕೂಗು,çığırtı
262,Lärm::N,ಸದ್ದು,gurultu
263,Laut::N,ಶಬ್ದ,səs
264,Ton::N,ನಾದ,ton
265,Lied::N,ಗಾನ,mahnı
266,Ruhe::N,ಶಾಂತಿ,sakitlik
267,Leute::N,ಮಂದಿ,xalq
268,Volk::N,ಜನಾಂಗ,millət
269,Arbeit::N,ಕೆಲಸ,iş
270,Arbeit::N,ಕೆಲಸ,əmək
271,Gast::N,ಅತಿಥಿ,qonaq
272,Gast::N,ಅತಿಥಿ,müsafir
273,Geschenk::N,ಕಾಣಿಕೆ,hədiyyə
274,Spiel::N,ಆಟ,oyun
275,Spiel::N,ಆಟ,tamaşa
276,Gesellschaft::N,ಸಂಗ,cəmiyyet
277,Hilfe::N,ಸಹಾಯ,kömək
278,Hilfe::N,ಸಹಾಯ,yardım
279,Freund::N,ಸ್ನೇಹಿತ,dost
280,Kamerad::N,ಜೊತೆಗಾರ,yoldaş
281,Angelegenheit::N,ವಿಚಾರ,iş
282,Anzahl::N,ಎಣಿಕೆ,say
283,Art::N,ತರ,çeşid
284,Stück::N,ತುಂಡು,dənə
285,Stück::N,ತುಂಡು,parça
286,Teil::N,ಭಾಗ,qisim
287,Hälfte::N,ಅರ್ಧ,yarım
288,Kreis::N,ವೃತ್ತ,dairə
289,Kreuz::N,ಶಿಲುಬೆ,xaç
290,Linie::N,ರೀಖೆ,xətt
291,Strich::N,ಗೀಟು,cızıq
292,Abstand::N,ಅಂತರ,məsafə
293,Entfernung::N,ದೂರ,məsafə
294,Entfernung::N,ದೂರ,uzaqlıq
295,Gegend::N,ವಿಸ್ತೀರ್ಣ,bölgə
296,Platz::N,ಅಂತರ,yer
297,Ort::N,ಸ್ಥಳ,yer
298,Seite::N,ಪಕ್ಷ,yan
299,Seite::N,ಪಕ್ಷ,tərəf
300,Mitte::N,ನಡು,orta
301,Gegenstand::N,ವಸ್ತು,şey
302,Sache::N,ವಸ್ತು,şey
303,Rand::N,ಅಂಚು,kənar
304,Kante::N,ಅಂಚು,tiyə
305,Kante::N,ಅಂಚು,kənar
306,Ecke::N,ಮೂಲೆ,bucaq
307,Spitze::N,ತುದಿ,uc
308,Ende::N,ಕೊನೆ,son
309,Ende::N,ಕೊನೆ,axır
310,Loch::N,ತೂತು,deşik
311,Winkel::N,ಕೋನ,guşə
312,Muster::N,ನಮೂನೆ,ülgü
313,Größe::N,ಪ್ರಮಾಣ,böyüklük
314,Länge::N,ಉದ್ದ,uzunluq
315,Höhe::N,ಎತ್ತರ,yüksəklik
316,Gewicht::N,ತೂಕ,çəki
317,Gewicht::N,ತೂಕ,ağırlıq
318,Menge::N,ಮೊತ್ತ,miqdar
319,Haufen::N,ರಾಶಿ,yığın
320,Reihe::N,ಸಾಲು,səf
321,Reihe::N,ಸಾಲು,sıra
322,Boot::N,ದೋಣಿ,qayıq
323,Ruder::N,ಹುಟ್ಟು,kürək
324,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,kirşə
325,Ski::N,ಜಾರುಪಟ್ಟಿ,xizək
326,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,düşərgə tonqalı
327,Last::N,ಹೊರೆ,yük
328,Gang::N,ತಿರುಗಾಟ,yeriş
329,Schritt::N,ಹೆಜ್ಜೆ,addım
330,Norden::N,ಉತ್ತರ,şimal
331,Süden::N,ದಕ್ಷಿಣ,cənub
332,Westen::N,ಪಶ್ಚಿಮ,qərb
333,Osten::N,ಮೂಡಲು,şərq
334,Holz::N,ಚೌಬೀನೆ,ağac
335,Holz::N,ಚೌಬೀನೆ,taxta
336,Brett::N,ಹಲಗೆ,taxta
337,Platte::N,ಹಲಗೆ,lövhə
338,Stütze::N,ಆಸರೆ,dayaq
339,Stütze::N,ಆಸರೆ,dəstək
340,Stange::N,ಕಂಬ,şüvül
341,Stock::N,ಕೋಲು,dəyənək
342,Stab::N,ದೊಣ್ಣೆ,əsa
343,Stab::N,ದೊಣ್ಣೆ,şüvül
344,Rohr::N,ನಳಿಕೆ,boru
345,Rohr::N,ನಳಿಕೆ,truba
346,Haus::N,ಮನೆ,ev
347,Heim::N,ಗೃಹ,ev
348,Ofen::N,ಒಲೆ,peç
349,Ofen::N,ಒಲೆ,soba
350,Fußboden::N,ನೆಲ,döşəmə
351,Tisch::N,ಮೇಜು,masa
352,Stuhl::N,ಕುರ್ಚಿ,stul
353,Wiege::N,ತೊಟ್ಟಿಲು,beşik
354,Bett::N,ಹಾಸಿಗೆ,yataq
355,Regal::N,ಬೀರು,rəf
356,Kiste::N,ಪಟ್ಟಿಗೆ,yeşik
357,Kiste::N,ಪಟ್ಟಿಗೆ,sandıq
358,Fenster::N,ಕಿಟಕಿ,pəncərə
359,Tür::N,ಬಾಗಿಲು,qapı
360,Tor::N,ಹೆಬ್ಬಾಗಿಲು,darvaza
361,Zaun::N,ಬೇಲಿ,çəpər
362,Dach::N,ಮಾಳಿಗೆ,dam
363,Leiter::N,ಏಣಿ,nərdivan
364,Besen::N,ಪೊರಕೆ,süpürgə
365,Spaten::N,ಗುದ್ದಲಿ,kürək
366,Schaufel::N,ಸನಿಕೆ,kürək
367,Gabel::N,ಕವಲು,çəngəl
368,Löffel::N,ಚಮಚ,qaşıq
369,Messer::N,ಚಾಕು,bıçaq
370,Nagel::N,ಆಣಿ,mıx
371,Netz::N,ಬಲೆ,tor
372,Haken::N,ಕೊಂಡಿ,çəngəl
373,Griff::N,ಹಿಡಿ,qulp
374,Griff::N,ಹಿಡಿ,tutacaq
375,Schloss::N,ವೀಗ,qıfıl
376,Bild::N,ಚಿತ್ರ,rəsm
377,Figur::N,ಆಕಾರ,şəkil
378,Figur::N,ಆಕಾರ,heykəl
379,Puppe::N,ಗೊಂಬೆ,kukla
380,Puppe::N,ಗೊಂಬೆ,gəlincik
381,Beutel::N,ಸಂಚಿ,kisə
382,Beutel::N,ಸಂಚಿ,torba
383,Bündel::N,ಕಟ್ಟು,bağlama
384,Tasche::N,ಚೀಲ,çanta
385,Eimer::N,ಬಾನೆ,vedrə
386,Eimer::N,ಬಾನೆ,çəllək
387,Deckel::N,ಮುಚ್ಚಳ,qapaq
388,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,qab-qazan
389,Sack::N,ಮೂಟೆ,çuval
390,Tasse::N,ಬಟ್ಟಲು,fincan
391,Topf::N,ಮಡಕೆ,qazan
392,Kessel::N,ಕೆಟಲ್,qazan
393,Essen::N,ಊಟ,yemək
394,Nahrung::N,ಆಹಾರ,qida
395,Speise::N,ಊಟ,xörək
396,Fleisch::N,ಮಾಂಸ,ət
397,Getreide::N,ಧಾನ್ಯ,taxıl
398,Brei::N,ಗಂಜಿ,aş
399,Brei::N,ಗಂಜಿ,sıyıq
400,Brot::N,ರೊಟ್ಟಿ,çörək
401,Scheibe::N,ಹೋಳು,dilim
402,Fett::N,ಕೊಬ್ಬು,yağ
403,Butter::N,ಬೆಣ್ಣೆ,kərə yağı
404,Öl::N,ಎಣ್ಣೆ,yağ
405,Salz::N,ಉಪ್ಪು,duz
406,Suppe::N,ಎಸರು,şorba
407,Honig::N,ಮಧು,bal
408,Milch::N,ಹಾಲು,süd
409,Tee::N,ಚಹ,çay
410,Leder::N,ಚಕ್ಕಳ,dəri
411,Wolle::N,ಉಣ್ಣೆ,yun
412,Stoff::N,ಬಟ್ಟೆ,qumaş
413,Nadel::N,ಸೂಜಿ,iynə
414,Faden::N,ದಾರ,sap
415,Knopf::N,ಗುಂಡು,düymə
416,Knoten::N,ಗಂಟು,düyün
417,Farbe::N,ಬಣ್ಣ,boya
418,Kleidung::N,ಅರಿವೆ,geyim
419,Hemd::N,ಅಂಗಿ,köynək
420,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,yaxa
421,Ärmel::N,ತೋಳು,qol
422,Hose::N,ಇಜಾರ,şalvar
423,Gürtel::N,ಬೆಲ್ಟು,kəmər
424,Mütze::N,ಟೋಪಿ,şapka
425,Schuh::N,ಪಾದರಕ್ಷೆ,tufli
426,Schuh::N,ಪಾದರಕ್ಷೆ,ayaqqabı
427,Stiefel::N,ಬೂಟು,çəkmə
428,Ring::N,ಉಂಗುರ,üzük
429,Band::N,ರಿಬ್ಬನ್,lent
430,Kamm::N,ಹಣಿಗೆ,daraq
431,Spiegel::N,ಕನ್ನಡಿ,güzgü
432,Riemen::N,ಬಾರು,qayış
433,Schnur::N,ಹುರಿ,ip
434,Leine::N,ಹಗ್ಗ,kəmsik
435,Decke::N,ಕಂಬಳಿ,ədyal
436,Decke::N,ಕಂಬಳಿ,yorğan
437,Kissen::N,ದಿಂಬು,yastıq
438,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,şarf
439,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,kaşne
440,Handtuch::N,ಚೌಕ,dəsmal
441,Kraft::N,ಬಲ,güc
442,Stärke::N,ಶಕ್ತಿ,qüvvət
443,Gesundheit::N,ಆರೋಗ್ಯ,sağlamlıq
444,Krankheit::N,ರೋಗ,xəstəlik
445,Schmerz::N,ನೋವು,ağrı
446,Schmerz::N,ನೋವು,sancı
447,Wunde::N,ಗಾಯ,yara
448,Fieber::N,ಜ್ವರ,isitmə
449,Fieber::N,ಜ್ವರ,qızdırma
450,Arznei::N,ಔಷಧ,ilaç
451,Arznei::N,ಔಷಧ,dərman
452,Brücke::N,ಸೇತುವೆ,körpü
453,Brunnen::N,ಬಾವಿ,quyu
454,Weide::N,ಗೋಮಾಳ,otlaq
455,Pfad::N,ದಾರಿ,cığır
456,Weg::N,ಹಾದಿ,yol
457,Straße::N,ರಸ್ತೆ,küçə
458,Dorf::N,ಹಳ್ಳಿ,kənd
459,Stadt::N,ಪಟ್ಟಣ,şəhər
460,Brief::N,ಕಾಗದ,məktub
461,Buch::N,ಪುಸ್ತಕ,kitab
462,Buchstabe::N,ಅಕ್ಷರ,hərf
463,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,qəzet
464,Leben::N,ಜೀವನ,həyat
465,Tod::N,ಮರಣ,ölüm
466,Grab::N,ಗೋರಿ,qəbir
467,Kirche::N,ಚರ್ಚು,kilsə
468,Sünde::N,ಪಾಪ,günah
469,Gott::N,ದೇವರು,tanrı
470,Arbeiter::N,ಕೆಲಸಗಾರ,işçi
471,Chef::N,ದಣಿ,şef
472,Chef::N,ದಣಿ,rəis
473,Meister::N,ಶಿಕ್ಷಕ,usta
474,Arzt::N,ವೈದ್ಯ,həkim
475,Arzt::N,ವೈದ್ಯ,doktor
476,Lehrer::N,ಉಪಾಧ್ಯಾಯ,müəllim
477,Geld::N,ಹಣ,pul
478,Geschäft::N,ವಾಣಿಜ್ಯ,ticarət
479,Laden::N,ಅಂಗಡಿ,dükan
480,Preis::N,ಬೆಲೆ,qiymət
481,Ware::N,ಸರಕು,mal
482,Nutzen::N,ಲಾಭ,fayda
483,Reichtum::N,ಸಂಪತ್ತು,zənginlik
484,Welt::N,ಭೂಲೋಕ,aləm
485,Welt::N,ಭೂಲೋಕ,dünya
486,Land::N,ದೇಶ,ölkə
487,Staat::N,ರಾಜ್ಯ,dövlət
488,König::N,ರಾಜ,kral
489,König::N,ರಾಜ,məlik
490,Macht::N,ಅಧಿಕಾರ,qüdrət
491,Grenze::N,ಗಡಿ,hüdud
492,Grenze::N,ಗಡಿ,sərhət
493,Krieg::N,ಯುದ್ಧ,hərb
494,Krieg::N,ಯುದ್ಧ,müharibə
495,Feind::N,ಶತ್ರು,düşmən
496,Gewalt::N,ಹಿಂಸೆ,cəbr
497,Kampf::N,ಹೋರಾಟ,savaş
498,Bogen[Waffe]::N,ಬಿಲ್ಲು,yay
499,Pfeil::N,ಅಂಬು,ox
500,Gewehr::N,ಬಂದೂಕು,tüfəng
501,Fehler::N,ತಪ್ಪು,xəta
502,Lüge::N,ಸುಳ್ಳು,yalan
503,Schaden::N,ಹಾನಿ,ziyan
504,Unglück::N,ಅಪಾಯ,bəla
505,Schuld::N,ದೋಷ,təqsir
506,Alter::N,ಮುಪ್ಪು,yaş
507,Schluss::N,ಮುಕ್ತಾಯ,son
508,Zeit::N,ಕಾಲ,vaxt
509,Zeit::N,ಕಾಲ,zaman
510,Tag::N,ದಿನ,gün
511,Morgen::N,ಮುಂಜಾನೆ,sabah
512,Mittag::N,ನಡುಹಗಲು,günorta
513,Abend::N,ಸಂಜೆ,axşam
514,Nacht::N,ರಾತ್ರಿ,gecə
515,Woche::N,ವಾರ,həftə
516,Monat::N,ತಿಂಗಳು,ay
517,Jahr::N,ಸಂವತ್ಸರ,il
518,Frühling::N,ವಸಂತ,yaz
519,Frühling::N,ವಸಂತ,bahar
520,Sommer::N,ಬಿಸಿಲುಕಾಲ,yay
521,Herbst::N,ಶರತ್ಕಾಲ,payız
522,Winter::N,ಚಳಿಗಾಲ,qış
523,Januar::N,ನಾಲ್ಚಳಿ,Janvar
524,Februar::N,ಅಯ್ಚಳಿ,Fevral
525,März::N,ಮೊಬ್ಬೇಸಿಗೆ,Mart
526,April::N,ಇಬ್ಬೇಸಿಗೆ,Aprel
527,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,May
528,Juni::N,ಮೊಮ್ಮಳೆ,İyun
529,Juli::N,ಇಮ್ಮಳೆ,İyul
530,August::N,ಮುಮ್ಮಳೆ,Avqust
531,September::N,ನಾಲ್ಮಳೆ,Sentyabr
532,Oktober::N,ಮೊಚ್ಚಳಿ,Oktyabr
533,November::N,ಇಚ್ಚಳಿ,Noyabr
534,Dezember::N,ಮುಚ್ಚಳಿ,Dekabr
535,Montag::N,ಸೋಮುವಾರ,bazar ertəsi
536,Dienstag::N,ಮಂಗಳವಾರ,çərşənbə axşamı
537,Mittwoch::N,ಬುಧವಾರ,çərşənbə
538,Donnerstag::N,ಗುರುವಾರ,cüme axşamı
539,Freitag::N,ಶುಕ್ರವಾರ,cüme
540,Samstag::N,ಶನಿವಾರ,şənbə
541,Sonntag::N,ಭಾನುವಾರ,bazar
542,groß::A,ದೊಡ್ಡ,böyük
543,klein::A,ಪುಟ್ಟ,kiçik
544,lang::A,ದೀರ್ಘ,uzun
545,kurz::A,ಚಕ್ಕ,qısa
546,breit::A,ಅಗಲವಾದ,enli
547,breit::A,ಅಗಲವಾದ,geniş
548,schmal::A,ಇಕ್ಕಟ್ಟಾದ,dar
549,dicht::A,ದಟ್ಟ,sıx
550,dick[Gegenstand]::A,ದಟ್ಟ,qalın
551,dünn::A,ತೆಳು,nazik
552,fein::A,ಕೋಮಲ,incə
553,fest::A,ಘನ,bərk
554,fest::A,ಘನ,möhkəm
555,flach::A,ಚಪ್ಪಟೆ,düz
556,glatt::A,ನಯ,hamar
557,hart::A,ಗಟ್ಟಿ,sərt
558,weich::A,ಮೃದುವಾದ,yumşaq
559,rund::A,ವರ್ತುಳ,yuvarlaq
560,spitz::A,ಮೊನಚಾದ,uclu
561,spitz::A,ಮೊನಚಾದ,sivri
