,Concept_ID,fi,nl
654,rund::A,pyöreä,rond
655,spitz::A,terävä,spits
656,spitz::A,terävä,puntig
657,scharf::A,terävä,scherp
658,stumpf::A,tylsä,stomp
659,schwer::A,raskas,zwaar
660,schwer::A,painava,zwaar
661,schön::A,kaunis,mooi
662,schön::A,kaunis,fraai
663,heiß::A,kuuma,heet
664,warm::A,lämmin,warm
665,kalt::A,kylmä,koud
666,kalt::A,viluinen,koud
667,kühl::A,viileä,koel
668,frisch::A,tuore,fris
669,feucht::A,kostea,vochtig
670,nass::A,märkä,nat
671,trocken::A,kuiva,droog
672,voll::A,täysi,vol
673,leer::A,tyhjä,leeg
674,offen::A,avonainen,open
675,geschlossen::A,suljettu,gesloten
676,sauber::A,puhdas,net
677,sauber::A,puhdas,schoon
678,schmutzig::A,likainen,vuil
679,roh::A,raaka,rauw
680,reif::A,kypsä,rijp
681,lecker::A,herkullinen,lekker
682,süß::A,makea,zoet
683,bitter::A,karvas,bitter
684,bitter::A,kitkerä,bitter
685,sauer::A,hapan,zuur
686,hell::A,kirkas,licht
687,hell::A,kirkas,helder
688,hell::A,valoisa,licht
689,hell::A,valoisa,helder
690,dunkel::A,pimeä,donker
691,schwarz::A,musta,zwart
692,weiß::A,valkea,wit
693,rot::A,punainen,rood
694,gelb::A,keltainen,geel
695,blau::A,sininen,blauw
696,grün::A,vihreä,groen
697,grau::A,harmaa,grijs
698,bunt::A,kirjava,bont
699,billig::A,halpa,goedkoop
700,billig::A,huokea,goedkoop
701,teuer::A,kallis,duur
702,wertvoll::A,arvokas,kostbaar
703,wertvoll::A,arvokas,waardevol
704,blind::A,sokea,blind
705,taub::A,kuuro,doof
706,kräftig::A,väkevä,krachtig
707,kräftig::A,voimakas,krachtig
708,stark::A,vahva,sterk
709,schwach::A,heikko,zwak
710,fett::A,lihava,vet
711,schlank::A,hoikka,slank
712,schlank::A,solakka,slank
713,hübsch::A,soma,leuk
714,hübsch::A,sievä,leuk
715,böse::A,paha,kwaad
716,böse::A,häijy,kwaad
717,dumm::A,tyhmä,dom
718,dumm::A,typerä,dom
719,faul::A,laiska,lui
720,fleißig::A,ahkera,vlijtig
721,geizig::A,saita,gierig
722,klug::A,älykäs,slim
723,klug::A,älykäs,schrander
724,klug::A,älykäs,verstandig
725,geschickt::A,taitava,handig
726,geschickt::A,taitava,vaardig
727,lieb::A,rakas,lief
728,lustig::A,hauska,vrolijk
729,lustig::A,iloinen,vrolijk
730,sanft::A,lauha,zacht
731,sanft::A,lempeä,zacht
732,hungrig::A,nälkäinen,hongerig
733,krank::A,sairas,ziek
734,nackt::A,alaston,naakt
735,traurig::A,surullinen,treurig
736,traurig::A,surullinen,bedroefd
737,traurig::A,murheellinen,treurig
738,traurig::A,murheellinen,bedroefd
739,lebendig::A,elävä,levend
740,gut::A,hyvä,goed
741,schlecht::A,paha,slecht
742,schlecht::A,huono,slecht
743,richtig::A,oikea,juist
744,schlimm::A,paha,erg
745,schlimm::A,paha,kwaad
746,wahr::A,tosi,waar
747,alt::A,vanha,oud
748,neu::A,uusi,nieuw
749,ehemalig::A,entinen,voormalig
750,ehemalig::A,muinainen,voormalig
751,alt[Lebewesen]::A,vanha,oud
752,jung::A,nuori,jong
753,arm::A,köyhä,arm
754,reich::A,rikas,rijk
755,bekannt::A,tuttu,bekend
756,bekannt::A,tunnettu,bekend
757,berühmt::A,kuuluisa,beroemd
758,fremd::A,vieras,vreemd
759,verschieden::A,eri,verscheiden
760,verschieden::A,eri,verschillend
761,verschieden::A,erilainen,verscheiden
762,verschieden::A,erilainen,verschillend
763,nah::A,läheinen,nabij
764,nah::A,läheinen,nabijgelegen
765,fern::A,etäinen,ver
766,linker::A,vasen,linker
767,rechter::A,oikea,rechter
