,Concept_ID,av,fr
167,Schaf::N,чахъу,mouton
168,Schwein::N,болъон,porc
169,Schwein::N,болъон,cochon
170,Hund::N,гьой,chien
171,Katze::N,кету,chat
172,Bär::N,ци,ours
173,Eichhörnchen::N,гвангва,écureuil
174,Fuchs::N,цер,renard
175,Hase::N,гӏанкӏ,lièvre
176,Maus::N,гӏункӏкӏ,souris
177,Wolf::N,бацӏ,loup
178,Vogel::N,хӏинчӏ,oiseau
179,Schwarm::N,тӏел,nuée
180,Schwarm::N,тӏел,volée
181,Huhn::N,гӏанкӏу,poule
182,Hahn::N,хӏелеко,coq
183,Gans::N,хъаз,oie
184,Adler::N,цӏум,aigle
185,Ente::N,ордек,canard
186,Eule::N,беццаруз,hibou
187,Kranich::N,къункъра,grue
188,Krähe::N,гъеду,corneille
189,Kuckuck::N,гагу,coucou
190,Schwan::N,хӏанкъва,cygne
191,Fisch::N,ччугӏа,poisson
192,Barsch::N,окунь,perche
193,Hecht::N,щука,brochet
194,Schlange[Tier]::N,борохь,serpent
195,Wurm::N,хӏапара,ver
196,Spinne::N,хъанхъра,araignée
197,Ameise::N,цӏунцӏра,fourmi
198,Laus::N,нацӏ,pou
199,Mücke::N,кӏкӏара,moucheron
200,Fliege::N,тӏутӏ,mouche
201,Schmetterling::N,кӏалкӏучӏ,papillon
202,Apfel::N,гӏеч,pomme
203,Pilz::N,гӏурдахӏан,champignon
204,Zwiebel::N,кӏочӏопер,oignon
205,Saat::N,хьон,semence
206,Korn::N,мугь,grain
207,Heu::N,хер,foin
208,Schale::N,хъал,pelure
209,Grube::N,гвенд,fosse
210,Falle::N,къор,piège
211,Falle::N,къотен,piège
212,Schlinge::N,кӏичӏ,lacs
213,Spur::N,лъалкӏ,trace
214,Asche::N,рахъу,cendre
215,Dreck::N,гъиз,crotte
216,Dreck::N,хӏарщ,crotte
217,Eisen::N,махх,fer
218,Gold::N,месед,or
219,Silber::N,гӏарац,argent
220,Kohle::N,тӏурччи,charbon
221,Glas::N,цӏер,verre
222,Lehm::N,хӏатӏ,glaise
223,Sand::N,сали,sable
224,Mensch::N,чи,homme
225,Mann::N,бихьинчи,homme
226,Frau::N,гӏадан,femme
227,Kind::N,лъимер,enfant
228,Junge::N,вас,garçon
229,Mädchen::N,яс,fille
230,Mädchen::N,яс,jeune fille
231,Familie::N,хъизан,famille
232,Großvater::N,кӏудада,grand-père
233,Großmutter::N,кӏодо,grand-mère
234,Eltern::N,эбел-эмен,parents
235,Vater::N,эмен,père
236,Mutter::N,эбел,mère
237,Sohn::N,вас,fils
238,Tochter::N,яс,fille
239,Bruder::N,вац,frère
240,Schwester::N,яц,sœur
241,Onkel::N,даци,oncle
242,Tante::N,ада,tante
243,Ehemann::N,рос,mari
244,Ehemann::N,рос,époux
245,Ehefrau::N,чӏужу,femme
246,Ehefrau::N,чӏужу,épouse
247,Freude::N,ракӏбохи,joie
248,Freude::N,ракӏбохи,plaisir
249,Gelächter::N,релъи,rires
250,Glück::N,талихӏ,bonheur
251,Glück::N,талихӏ-рохел,bonheur
252,Kummer::N,хӏалкъай,peine
253,Kummer::N,хӏалкъай,chagrin
254,Wunsch::N,къасд,désir
255,Lust::N,гъира,envie
256,Geist::N,чӏанкӏ,esprit
257,Geist::N,рухӏ-жан,esprit
258,Gedanke::N,пикру,idée
259,Gedanke::N,пикру,pensée
260,Verstand::N,лумалъи,raison
261,Verstand::N,цӏодорлъи,raison
262,Sinn::N,магӏна,sens
263,Grund::N,багьана,cause
264,Grund::N,багьана,raison
265,Wahrheit::N,ритӏухълъи,vérité
266,Gespräch::N,накъит,conversation
267,Märchen::N,маргьа,conte
268,Märchen::N,маргьа,conte de fées
269,Erzählung::N,къиса,conte
270,Erzählung::N,къиса,narration
271,Nachricht::N,хабар,message
272,Neuigkeit::N,хабар-гӏазаб,nouvelle
273,Name::N,цӏар,nom
274,Rätsel::N,бицанкӏо,énigme
275,Rätsel::N,бицанкӏо,devinette
276,Rede::N,речь,parole
277,Rede::N,речь,discours
278,Rede::N,калам,parole
279,Rede::N,калам,discours
280,Sprache::N,мацӏ,langue
281,Sprache::N,мацӏ,langage
282,Stimme::N,гьаракь,voix
283,Wort::N,рагӏи,mot
284,Zeichen::N,ишара,signe
285,Zeichen::N,гӏаламат,signe
286,Ruf::N,ахӏи,cri
287,Ruf::N,ахӏи,appel
288,Lärm::N,хъуй,bruit
289,Lärm::N,хъуди,bruit
290,Laut::N,гьаракь,son
291,Laut::N,сас,son
292,Lied::N,кечӏ,chant
293,Lied::N,кечӏ,chanson
294,Ruhe::N,рахӏат,calme
295,Ruhe::N,рахӏат,tranquillité
296,Leute::N,гӏадамал,gens
297,Volk::N,халкъ,peuple
298,Arbeit::N,хӏалтӏи,travail
299,Gast::N,гьобол,hôte
300,Gast::N,гьобол,invité
301,Geschenk::N,сайигъат,cadeau
302,Geschenk::N,сайигъат,présent
303,Spiel::N,хӏай,jeu
304,Spiel::N,расанди,jeu
305,Gesellschaft::N,жамагӏат,compagnie
306,Hilfe::N,кумек,aide
307,Hilfe::N,кумек,secours
308,Freund::N,гьудул,ami
309,Kamerad::N,гьалмагъ,copain
310,Kamerad::N,гьалмагъ,camarade
311,Angelegenheit::N,къваригӏел,affaire
312,Anzahl::N,рикӏкӏен,nombre
313,Art::N,жинс,sorte
314,Art::N,жинс,espèce
315,Stück::N,кесек,morceau
316,Teil::N,пай,part
317,Teil::N,пай,partie
318,Hälfte::N,бащдаб,moitié
319,Kreis::N,гор,cercle
320,Kreuz::N,хъанч,croix
321,Linie::N,мухъ,ligne
322,Strich::N,хӏучч,trait
323,Abstand::N,манзил,écart
324,Entfernung::N,манзил,distance
325,Gegend::N,рахъ,région
326,Gegend::N,рахъ,contrée
327,Platz::N,бакӏ,place
328,Ort::N,бакӏ,lieu
329,Ort::N,бакӏ,endroit
330,Seite::N,рахъ,côté
331,Mitte::N,бакьулъбакӏ,milieu
332,Gegenstand::N,жо,objet
333,Sache::N,жо,chose
334,Rand::N,мицӏир,bord
335,Kante::N,рагӏал,arête
336,Kante::N,рагӏа-ракьан,arête
337,Ecke::N,цили,coin
338,Ecke::N,цили,tournant
339,Spitze::N,тӏогь,cime
340,Spitze::N,тӏогь,pointe
341,Ende::N,кӏал,bout
342,Loch::N,каратӏ,trou
343,Muster::N,накъиш,dessin
344,Größe::N,кӏодо́лъи,grandeur
345,Länge::N,халалъи,longueur
346,Höhe::N,борхалъи,hauteur
347,Höhe::N,борхалъи,altitude
348,Gewicht::N,бакӏлъи,poids
