,Concept_ID,ar,et
63,Sonne::N,شمس,päike
64,Mond::N,قمر,kuu
65,Stern::N,نجم,täht
66,Stern::N,كوكب,täht
67,Luft::N,هواء,õhk
68,Wind::N,ريح,tuul
69,Welle::N,موجة,laine
70,Wasser::N,ماء,vesi
71,Stein::N,حجر,kivi
72,Boden::N,تراب,maa
73,Boden::N,تراب,pinnas
74,Erde::N,أرض,maa
75,Staub::N,غبار,põrm
76,Rauch::N,دخان,suits
77,Funke::N,شرارة,säde
78,Feuer::N,نار,tuli
79,Licht::N,نور,valgus
80,Licht::N,ضوء,valgus
81,Schatten::N,ظل,vari
82,Schatten::N,فيء,vari
83,Wetter::N,جو,ilm
84,Wetter::N,طقس,ilm
85,Nebel::N,ضباب,udu
86,Wolke::N,غيمة,pilv
87,Wolke::N,سحابة,pilv
88,Regen::N,مطر,sadu
89,Schnee::N,ثلج,lumi
90,Eis::N,جليد,jää
91,Frost::N,صقيع,pakane
92,Kälte::N,برد,külm
93,Kälte::N,برد,külmus
94,Hitze::N,حر,kuumus
95,Hitze::N,حر,palavus
96,Hitze::N,حرارة,kuumus
97,Hitze::N,حرارة,palavus
98,Raureif::N,صقيع,härmatis
99,Regenbogen::N,قوس قزح,vikerkaar
100,Donner::N,رعد,kõu
101,Donner::N,رعد,müristamine
102,Strömung::N,تيار,voolus
103,Strömung::N,تيار,jõevool
104,Tropfen::N,قطرة,tilk
105,Schaum::N,زبد,vaht
106,Schaum::N,رغوة,vaht
107,Schmutz::N,وسخ,pori
108,Schmutz::N,وسخ,mustus
109,See::N,بحيرة,järv
110,Sumpf::N,مستنقع,soo
111,Moor::N,مستنقع,raba
112,Wiese::N,مرج,aas
113,Wiese::N,مرج,nurm
114,Wald::N,غابة,mets
115,Hügel::N,تل,küngas
116,Anhöhe::N,تل,küngas
117,Berg::N,جبل,mägi
118,Gipfel::N,قمة,mäetipp
119,Höhle::N,كهف,koobas
120,Abhang::N,منحدر,nõlvak
121,Quelle::N,منبع,allikas
122,Bach::N,مجرى,oja
123,Fluss::N,نهر,jõgi
124,Ufer::N,ضفة,kallas
125,Küste::N,ساحل,rannik
126,Festland::N,بر,mander
127,Festland::N,بر,maismaa
128,Meer::N,بحر,meri
129,Bucht::N,خليج,laht
130,Insel::N,جزيرة,saar
131,Blume::N,زهرة,lill
132,Gras::N,حشيش,rohi
133,Wurzel::N,أصل,juur
134,Baum::N,شجرة,puu
135,Stamm::N,جذع,tüvi
136,Rinde::N,قشرة,koor
137,Ast::N,فرع,oks
138,Zweig::N,غصن,oks
139,Blatt::N,ورقة,leht
140,Birke::N,قضبان,kask
141,Kiefer[Baum]::N,صنوبرة,mänd
142,Weide[Baum]::N,صفصاف,paju
143,Tanne::N,شوح,nulg
144,Tanne::N,تبوب,nulg
145,Horn::N,قرن,sarv
146,Feder::N,ريشة,sulg
147,Fell::N,فرو,karvkate
148,Fell::N,فرو,karusnahk
149,Flügel::N,جناح,tiib
150,Flügel::N,جناح,tiivik
151,Klaue::N,مخلب,küüs
152,Kralle::N,مخلب,küünis
153,Schwanz::N,ذيل,saba
154,Ei::N,بيض,muna
155,Nest::N,عش,pesa
156,Bau::N,جحر,urg
157,Tier::N,حيوان,loom
158,Herde::N,قطيع,kari
159,Kuh::N,بقرة,lehm
160,Bulle::N,ثور,pull
161,Pferd::N,خيل,hobune
162,Schaf::N,شاة,lammas
163,Schwein::N,خنزير,siga
164,Hund::N,كلب,koer
165,Katze::N,قطة,kass
166,Bär::N,دب,karu
167,Eichhörnchen::N,سنجاب,orav
168,Elch::N,موظ,põder
169,Fuchs::N,ثعلب,rebane
170,Hase::N,أرنب,jänes
171,Maus::N,فأرة,hiir
172,Wolf::N,ذئب,hunt
173,Vogel::N,طير,lind
174,Schwarm::N,سرب,parv
175,Huhn::N,دجاجة,kana
176,Hahn::N,ديك,kukk
177,Gans::N,وزة,hani
178,Adler::N,نسر,kotkas
179,Ente::N,بطة,part
180,Eule::N,بوم,kakk
181,Eule::N,بوم,öökull
182,Kranich::N,كركي,kurg
183,Krähe::N,غراب,vares
184,Kuckuck::N,وقواق,kägu
185,Schwan::N,إوز عراقي,luik
186,Fisch::N,سمك,kala
187,Barsch::N,فرخ أوربي,ahven
188,Hecht::N,سمك الكراكي,haug
189,Schlange[Tier]::N,حية,uss
190,Schlange[Tier]::N,ثعبان,uss
191,Wurm::N,دودة,uss
192,Wurm::N,دودة,vagel
193,Spinne::N,عنكبوت,ämblik
194,Ameise::N,نملة,sipelgas
195,Laus::N,قملة,täi
196,Mücke::N,ناموسة,sääsk
197,Fliege::N,ذبابة,kärbes
198,Schmetterling::N,فراشة,liblikas
199,Beere::N,حبة,mari
200,Apfel::N,تفاح,õun
201,Pilz::N,فطر,seen
202,Zwiebel::N,بصل,sibul
203,Saat::N,زرع,seeme
204,Korn::N,حبة,iva
205,Korn::N,حبة,tera
206,Heu::N,دريس,hein
207,Schale::N,قشرة,koor
208,Grube::N,نقرة,kaevand
209,Falle::N,فخ,lõks
210,Falle::N,فخ,püünis
211,Falle::N,مصيدة,lõks
212,Falle::N,مصيدة,püünis
213,Schlinge::N,عروة,aas
214,Spur::N,أثر,jälg
215,Asche::N,رماد,tuhk
216,Dreck::N,قذر,saast
217,Dreck::N,قذر,mustus
218,Eisen::N,حديد,raud
219,Gold::N,ذهب,kuld
220,Silber::N,فضة,hõbe
221,Kohle::N,فحم,süsi
222,Glas::N,زجاج,klaas
223,Lehm::N,طين,savi
224,Sand::N,رمل,liiv
225,Mensch::N,إنسان,inimene
226,Mann::N,رجل,mees
227,Frau::N,امرأة,naine
228,Kind::N,طفل,laps
229,Junge::N,ولد,poiss
230,Mädchen::N,بنت,tüdruk
231,Familie::N,عائلة,perekond
232,Großvater::N,جد,vanaisa
233,Großmutter::N,جدة,vanaema
234,Eltern::N,أبوان,vanemad
235,Eltern::N,والدان,vanemad
236,Vater::N,أب,isa
237,Mutter::N,أم,ema
238,Sohn::N,إبن,poeg
239,Tochter::N,بنت,tütar
240,Tochter::N,إبنة,tütar
241,Bruder::N,أخ,vend
242,Bruder::N,شقيق,vend
243,Schwester::N,أخت,õde
244,Onkel::N,عم,onu
245,Tante::N,عمة,tädi
246,Ehemann::N,زوج,mees
247,Ehemann::N,زوج,abikaasa
248,Ehefrau::N,زوجة,naine
249,Ehefrau::N,زوجة,abikaasa
250,Freude::N,فرح,rõõm
251,Freude::N,سرور,rõõm
252,Gelächter::N,قهقهة,naer
253,Glück::N,سعادة,õnn
254,Kummer::N,غم,mure
255,Kummer::N,غم,kurbus
256,Wunsch::N,منية,soov
257,Lust::N,شهوة,himu
258,Geist::N,روح,vaim
259,Gedanke::N,فكرة,mõte
260,Gedächtnis::N,ذاكرة,mälu
261,Verstand::N,عقل,aru
262,Verstand::N,عقل,mõistus
263,Sinn::N,معنى,tähendus
264,Grund::N,سبب,põhjus
265,Wahrheit::N,حقيقة,tõde
266,Gespräch::N,محادثة,kõne
267,Gespräch::N,محادثة,vestlus
268,Märchen::N,خرافة,muinasjutt
269,Erzählung::N,قصة,jutustus
270,Erzählung::N,حكاية,jutustus
271,Nachricht::N,خبر,teade
272,Neuigkeit::N,خبر جديد,uudis
273,Name::N,اسم,nimi
274,Rätsel::N,لغز,mõistatus
275,Rede::N,خطبة,kõne
276,Sprache::N,لغة,keel
277,Stimme::N,صوت,hääl
278,Wort::N,كلمة,sõna
279,Zeichen::N,رمز,märk
280,Zeichen::N,إشارة,märk
281,Ruf::N,نداء,hüüe
282,Lärm::N,صخب,müra
283,Lärm::N,ضجة,müra
284,Laut::N,صوت,hääl
285,Ton::N,نغمة,toon
286,Lied::N,أغنية,laul
287,Ruhe::N,هدوء,rahu
288,Ruhe::N,هدوء,vaikus
289,Leute::N,ناس,inimesed
290,Volk::N,شعب,rahvas
291,Arbeit::N,عمل,töö
292,Gast::N,ضيف,külaline
293,Geschenk::N,هدية,kingitus
294,Spiel::N,لعب,mäng
295,Gesellschaft::N,صحبة,selts
296,Hilfe::N,عون,abi
297,Hilfe::N,مساعدة,abi
298,Freund::N,صديق,sõber
299,Kamerad::N,زميل,sõber
300,Angelegenheit::N,أمر,asi
301,Angelegenheit::N,شأن,asi
302,Anzahl::N,عدد,arv
303,Anzahl::N,عدد,hulk
304,Art::N,نوع,liik
305,Stück::N,قطعة,tükk
306,Teil::N,قسم,osa
307,Hälfte::N,نصف,pool
308,Kreis::N,دائرة,ring
309,Kreuz::N,صليب,rist
310,Linie::N,خط,joon
311,Strich::N,شرطة,joon
312,Abstand::N,مسافة,vahe
313,Entfernung::N,بعد,kaugus
314,Entfernung::N,بعد,vahemaa
315,Gegend::N,ناحية,ümbrus
316,Platz::N,فراغ,ruum
317,Ort::N,مكان,paik
318,Seite::N,جانب,pool
319,Mitte::N,وسط,keskpaik
320,Gegenstand::N,موضوع,ese
321,Sache::N,شيء,ese
322,Rand::N,حافة,äär
323,Rand::N,حافة,serv
324,Kante::N,حافة,kant
325,Ecke::N,ركن,nurk
326,Spitze::N,سن,teravik
327,Ende::N,طرف,ots
328,Ende::N,طرف,jupp
329,Loch::N,ثقب,auk
330,Winkel::N,زاوية,nurk
331,Muster::N,عينة,muster
332,Größe::N,حجم,suurus
333,Länge::N,طول,pikkus
334,Höhe::N,علو,kõrgus
335,Höhe::N,ارتفاع,kõrgus
336,Gewicht::N,وزن,kaal
337,Gewicht::N,وزن,raskus
338,Menge::N,كمية,arv
339,Menge::N,كمية,hulk
340,Haufen::N,كوم,hunnik
341,Reihe::N,صف,rivi
342,Boot::N,قارب,paat
343,Boot::N,زورق,paat
344,Ruder::N,مجذاف,aer
345,Schlitten::N,مزلقة,saan
346,Ski::N,زلاجة,suusk
347,Lagerfeuer::N,نار المخيم,lõke
348,Last::N,حمل,koorem
349,Gang::N,مشية,käik
350,Schritt::N,خطوة,samm
351,Norden::N,شمال,põhi
352,Süden::N,جنوب,lõuna
353,Westen::N,غرب,lääs
354,Osten::N,شرق,ida
355,Holz::N,خشب,puu
356,Brett::N,لوح,saelaud
357,Platte::N,صفيحة,plaat
358,Stütze::N,سند,tugi
359,Stütze::N,دعامة,tugi
360,Stange::N,عود,latt
361,Stange::N,عود,teivas
362,Stock::N,عصا,kepp
363,Stab::N,قضيب,varras
364,Rohr::N,أنبوبة,toru
365,Haus::N,دار,maja
366,Haus::N,بيت,maja
367,Heim::N,بيت,kodu
368,Heim::N,مسكن,kodu
369,Ofen::N,مدفأة,ahi
370,Fußboden::N,أرضية,põrand
371,Tisch::N,مائدة,laud
372,Stuhl::N,كرسي,tool
373,Wiege::N,مهد,häll
374,Wiege::N,مهد,kätki
375,Bett::N,سرير,voodi
376,Regal::N,رف,riiul
377,Kiste::N,صندوق,kast
378,Fenster::N,شباك,aken
379,Fenster::N,نافذة,aken
380,Tür::N,باب,uks
381,Tor::N,بوابة,värav
382,Zaun::N,سياج,aed
383,Zaun::N,سياج,tara
384,Dach::N,سطح,katus
385,Leiter::N,سلم,redel
386,Besen::N,مكنسة,luud
387,Spaten::N,مسحاة,labidas
388,Schaufel::N,مجرفة,kühvel
389,Gabel::N,شوكة,kahvel
390,Löffel::N,ملعقة,lusikas
391,Messer::N,سكين,nuga
392,Nagel::N,مسمار,nael
393,Netz::N,شبكة,võrk
394,Haken::N,خطاف,haak
395,Haken::N,خطاف,konks
396,Haken::N,صنارة,haak
397,Haken::N,صنارة,konks
398,Griff::N,قبضة,sang
399,Griff::N,قبضة,käepide
400,Schloss::N,قفل,lukk
401,Bild::N,صورة,pilt
402,Figur::N,تمثال,kuju
403,Figur::N,تمثال,kujund
404,Puppe::N,دمية,nukk
405,Beutel::N,كيس,paun
406,Bündel::N,ربطة,kimp
407,Tasche::N,شنطة,kott
408,Tasche::N,محفظة,kott
409,Eimer::N,سطل,pang
410,Eimer::N,سطل,ämber
411,Eimer::N,جردل,pang
412,Eimer::N,جردل,ämber
413,Deckel::N,سداد,kaas
414,Geschirr::N,أوان,nõud
415,Sack::N,زكيبة,kott
416,Tasse::N,فنجان,tass
417,Topf::N,قدر,pada
418,Topf::N,طنجرة,pada
419,Kessel::N,قدر,pada
420,Kessel::N,غلاية,pada
421,Essen::N,طعام,söök
422,Nahrung::N,غذاء,toit
423,Speise::N,أكل,roog
424,Fleisch::N,لحم,liha
425,Getreide::N,حبوب,teravili
426,Brei::N,عصيدة,puder
427,Brot::N,خبز,sai
428,Brot::N,خبز,leib
429,Scheibe::N,شريحة,viil
430,Scheibe::N,شريحة,viilukas
431,Fett::N,سمن,rasv
432,Butter::N,زبدة,või
433,Öl::N,زيت,õli
434,Salz::N,ملح,sool
435,Suppe::N,حساء,supp
436,Suppe::N,شربة,supp
437,Honig::N,عسل,mesi
438,Milch::N,حليب,piim
439,Tee::N,شاي,tee
440,Leder::N,جلد,nahk
441,Wolle::N,صوف,vill
442,Stoff::N,قماش,kangas
443,Nadel::N,إبرة,nõel
444,Faden::N,خيط,niit
445,Knopf::N,زر,nööp
446,Knoten::N,عقدة,sõlm
447,Farbe::N,صبغة,värv
448,Kleidung::N,ملابس,riided
449,Kleidung::N,ملابس,riietus
450,Hemd::N,قميص,särk
451,Kragen::N,ياقة,krae
452,Ärmel::N,كم,varrukas
453,Hose::N,سروال,püksid
454,Hose::N,بنطلون,püksid
455,Gürtel::N,حزام,vöö
456,Mütze::N,طاقية,müts
457,Schuh::N,حذاء,king
458,Stiefel::N,جزمة,saabas
459,Stiefel::N,حذاء طويل,saabas
460,Ring::N,حلقة,sõrmus
461,Band::N,شريط,lint
462,Kamm::N,مشط,kamm
463,Spiegel::N,مرآة,peegel
464,Riemen::N,سير,rihm
465,Schnur::N,حبل,nöör
466,Schnur::N,دوبارة,nöör
467,Leine::N,قيد,jalutusrihm
468,Decke::N,بطانية,tekk
469,Kissen::N,وسادة,padi
470,Tuch::N,منديل,kalev
471,Handtuch::N,فوطة,käterätik
472,Handtuch::N,منشفة,käterätik
473,Kraft::N,قدرة,jõud
474,Stärke::N,قوة,tugevus
475,Gesundheit::N,صحة,tervis
476,Krankheit::N,مرض,haigus
477,Schmerz::N,ألم,valu
478,Schmerz::N,وجع,valu
479,Wunde::N,جرح,haav
480,Fieber::N,حمى,palavik
481,Arznei::N,دواء,ravim
482,Brücke::N,جسر,sild
483,Brunnen::N,بئر,kaev
484,Weide::N,مرعى,karjamaa
485,Pfad::N,درب,rada
486,Weg::N,سكة,tee
487,Straße::N,طريق,tee
488,Dorf::N,قرية,küla
489,Stadt::N,مدينة,linn
490,Brief::N,خطاب,kiri
491,Brief::N,مكتوب,kiri
492,Buch::N,كتاب,raamat
493,Buchstabe::N,حرف,täht
494,Zeitung::N,جريدة,ajaleht
495,Leben::N,عيش,elu
496,Leben::N,حياة,elu
497,Tod::N,موت,surm
498,Tod::N,وفاة,surm
499,Grab::N,قبر,haud
500,Kirche::N,كنيسة,kirik
501,Sünde::N,خطيئة,patt
502,Gott::N,إله,jumal
503,Arbeiter::N,عامل,tööline
504,Chef::N,رئيس,ülemus
505,Chef::N,رئيس,juhataja
506,Meister::N,أسطى,meister
507,Arzt::N,طبيب,arst
508,Lehrer::N,مدرس,õpetaja
509,Geld::N,نقود,raha
510,Geschäft::N,صفقة,äri
511,Laden::N,دكان,pood
512,Laden::N,دكان,kauplus
513,Preis::N,سعر,hind
514,Ware::N,بضاعة,kaup
515,Nutzen::N,فائدة,tulu
516,Nutzen::N,فائدة,kasulikkus
517,Reichtum::N,غنى,rikkus
518,Reichtum::N,ثروة,rikkus
519,Welt::N,عالم,maailm
520,Welt::N,دنيا,maailm
521,Land::N,بلد,maa
522,Staat::N,دولة,riik
523,König::N,ملك,kuningas
524,Macht::N,سلطة,võim
525,Grenze::N,حدود,piir
526,Krieg::N,حرب,sõda
527,Feind::N,عدو,vaenlane
528,Gewalt::N,عنف,väevõim
529,Kampf::N,قتال,võitlus
530,Bogen[Waffe]::N,قوس,vibu
531,Pfeil::N,سهم,nool
532,Gewehr::N,بندقية,püss
533,Fehler::N,خطأ,viga
534,Lüge::N,كذب,vale
535,Schaden::N,تلف,kahju
536,Unglück::N,نحس,häda
537,Unglück::N,نحس,õnnetus
538,Schuld::N,ذنب,süü
539,Alter::N,سن,iga
540,Alter::N,عمر,iga
541,Schluss::N,ختام,lõpp
542,Schluss::N,نهاية,lõpp
543,Zeit::N,وقت,aeg
544,Tag::N,يوم,päev
545,Morgen::N,صباح,hommik
546,Mittag::N,ظهر,lõuna
547,Mittag::N,ظهر,keskpäev
548,Abend::N,مساء,õhtu
549,Nacht::N,ليلة,öö
550,Woche::N,أسبوع,nädal
551,Monat::N,شهر,kuu
552,Jahr::N,عام,aasta
553,Jahr::N,سنة,aasta
554,Frühling::N,ربيع,kevad
555,Sommer::N,صيف,suvi
556,Herbst::N,خريف,sügis
557,Winter::N,شتاء,talv
558,Januar::N,يناير,jaanuar
559,Januar::N,كانون الثاني,jaanuar
560,Februar::N,شباط,veebruar
561,Februar::N,فبراير,veebruar
562,März::N,آذار,märts
563,März::N,مارس,märts
564,April::N,نيسان,aprill
565,Mai::N,مايو,mai
566,Juni::N,يونيو,juuni
567,Juni::N,حزيران,juuni
568,Juli::N,تموز,juuli
569,Juli::N,يوليو,juuli
570,August::N,آب,august
571,August::N,أغسطس,august
572,September::N,أيلول,september
573,September::N,سبتمبر,september
574,Oktober::N,أكتوبر,oktoober
575,Oktober::N,تشرين الأول,oktoober
576,November::N,نوفمبر,november
577,November::N,تشرين الثاني,november
578,Dezember::N,ديسمبر,detsember
579,Dezember::N,كانون الأول,detsember
580,Montag::N,يوم الاثنين,esmaspäev
581,Dienstag::N,يوم الثلاثاء,teisipäev
582,Mittwoch::N,يوم الأربعاء,kesknädal
583,Donnerstag::N,يوم الخميس,neljapäev
584,Freitag::N,يوم الجمعة,reede
585,Samstag::N,يوم السبت,laupäev
586,Sonntag::N,يوم الأحد,pühapäev
587,groß::A,كبير,suur
588,klein::A,صغير,väike
589,klein::A,صغير,pisike
590,lang::A,طويل,pikk
591,kurz::A,قصير,lühike
592,breit::A,واسع,lai
593,schmal::A,ضيق,kitsas
594,dicht::A,كث,tihe
595,dicht::A,كثيف,tihe
596,dick[Gegenstand]::A,غليظ,jäme
597,dünn::A,رفيع,õhuke
598,dünn::A,رفيع,peenike
599,fein::A,رقيق,peen
600,fein::A,رقيق,õhuke
601,fest::A,متين,püsiv
602,fest::A,متين,kindel
603,flach::A,سهل,lame
604,flach::A,سهل,tasane
605,flach::A,منبسط,lame
606,flach::A,منبسط,tasane
607,glatt::A,ناعم,sile
608,hart::A,صلب,kõva
609,hart::A,جامد,kõva
610,weich::A,لين,pehme
611,rund::A,مستدير,ümar
612,spitz::A,مدبب,torkav
613,scharf::A,حاد,terav
614,stumpf::A,ثالم,nüri
615,schwer::A,ثقيل,raske
616,schön::A,جميل,kena
617,heiß::A,حار,kuum
618,heiß::A,حار,palav
619,heiß::A,ساخن,kuum
620,heiß::A,ساخن,palav
621,warm::A,دافئ,soe
622,kalt::A,بارد,külm
623,kühl::A,قر,jahe
624,frisch::A,طازج,värske
625,feucht::A,رطب,niiske
626,nass::A,مبلول,märg
627,trocken::A,جاف,kuiv
628,voll::A,ملء,täis
629,leer::A,خال,tühi
630,leer::A,فارغ,tühi
631,offen::A,مفتوح,avatud
632,offen::A,مفتوح,lahtine
633,geschlossen::A,مغلق,suletud
634,sauber::A,نظيف,puhas
635,schmutzig::A,قذر,räpane
636,schmutzig::A,قذر,määrdunud
637,roh::A,نيء,toores
638,reif::A,ناضج,küps
639,lecker::A,لذيذ,hõrk
640,lecker::A,لذيذ,maitsev
641,süß::A,حلو,magus
642,bitter::A,مر,mõru
643,sauer::A,حامض,hapu
644,hell::A,نير,hele
645,dunkel::A,مظلم,pime
646,schwarz::A,أسود,must
647,weiß::A,أبيض,valge
648,rot::A,أحمر,punane
649,gelb::A,أصفر,kollane
650,blau::A,أزرق,sinine
651,grün::A,أخضر,roheline
652,grau::A,رمادي,hall
653,bunt::A,ملوب,kirju
654,bunt::A,ملوب,värviline
655,billig::A,رخيص,odav
656,teuer::A,غال,kallis
657,wertvoll::A,ثمين,väärtuslik
658,blind::A,أعمى,pime
659,taub::A,أصم,kurt
660,taub::A,أطرش,kurt
661,kräftig::A,قوي,jõuline
662,stark::A,قوي,tugev
663,schwach::A,ضعيف,nõrk
664,schwach::A,ضعيف,jõuetu
665,fett::A,سمين,rasvane
666,schlank::A,أهيف,sale
667,hübsch::A,جميل,kena
668,böse::A,رديء,tige
669,dumm::A,أبله,juhm
670,dumm::A,أبله,rumal
671,dumm::A,أحمق,juhm
672,dumm::A,أحمق,rumal
673,faul::A,كسلان,laisk
674,fleißig::A,مجتهد,virk
675,fleißig::A,مجتهد,hoolas
676,geizig::A,بخيل,ihne
677,klug::A,ذكي,tark
678,klug::A,ذكي,arukas
679,klug::A,ذكي,mõistlik
680,klug::A,عاقل,tark
681,klug::A,عاقل,arukas
682,klug::A,عاقل,mõistlik
683,geschickt::A,ماهر,osav
684,lieb::A,عزيز,armas
685,lustig::A,مرح,lõbus
686,sanft::A,حليم,õrn
687,hungrig::A,جائع,näljane
688,krank::A,مريض,haige
689,nackt::A,عار,alasti
690,traurig::A,حزين,kurb
691,lebendig::A,حي,elus
692,gut::A,جيد,hea
693,schlecht::A,سيء,halb
694,richtig::A,صحيح,õige
695,schlimm::A,خبيث,paha
696,wahr::A,حق,tõene
697,alt::A,قديم,vana
698,neu::A,جديد,uus
699,ehemalig::A,سابق,endine
700,alt[Lebewesen]::A,مسن,vana
701,jung::A,شاب,noor
702,jung::A,صغير,noor
703,arm::A,فقير,vaene
704,reich::A,غني,rikas
705,bekannt::A,معلوم,teada
706,bekannt::A,معلوم,tuttav
707,berühmt::A,مشهور,tuntud
708,fremd::A,أجنبي,võõras
709,verschieden::A,مختلف,erinev
710,nah::A,قريب,lähedane
711,fern::A,بعيد,kauge
712,linker::A,يسار,vasak
713,rechter::A,يمين,parem
714,anderer::A,آخر,muu
715,anderer::A,آخر,teine
716,erster::A,أول,esimene
717,zweiter::A,ثان,teine
718,dritter::A,ثالث,kolmas
719,letzter::A,أخير,viimane
720,allein::ADV,وحده,üksi
721,auf einmal::ADV,بالمرة,korraga
722,auf einmal::ADV,بالمرة,ühekorraga
723,zusammen::ADV,معا,koos
724,zusammen::ADV,معا,üheskoos
725,lange::ADV,مدة طويلة,kaua
726,plötzlich::ADV,فجأة,äkki
727,plötzlich::ADV,فجأة,järsku
728,sofort::ADV,حالا,kohe
729,sofort::ADV,فورا,kohe
730,später::ADV,فيما بعد,hiljem
731,jetzt::ADV,الآن,nüüd
732,jetzt::ADV,حاليا,nüüd
733,heute::ADV,اليوم,täna
734,morgen::ADV,غدا,homme
735,bald::ADV,قريبا,pea
736,bald::ADV,قريبا,varsti
737,dann::ADV,ثم,siis
738,gestern::ADV,أمس,eile
739,gestern::ADV,البارحة,eile
740,einst::ADV,قديما,vanasti
741,damals::ADV,حينئذ,tookord
742,danach::ADV,ثم,seejärel
743,danach::ADV,بعد ذلك,seejärel
744,vorher::ADV,من قبل,enne
745,vorher::ADV,قبل ذلك,enne
746,zuerst::ADV,أولا,enne
747,zuerst::ADV,أولا,esmalt
748,einmal::ADV,مرة,kord
749,einmal::ADV,مرة,üks kord
750,manchmal::ADV,أحيانا,mõnikord
751,oft::ADV,كثيرا,tihti
752,oft::ADV,كثيرا,sageli
753,immer::ADV,دائما,ikka
754,immer::ADV,دائما,alati
755,niemals::ADV,لا أبدا,mitte kunagi
756,hier::ADV,هنا,siin
757,hierhin::ADV,إلى هنا,siia
758,von hier::ADV,من هنا,siit
759,dort::ADV,هناك,seal
760,dorthin::ADV,إلى هناك,sinna
761,geradeaus::ADV,إلى الأمام,otse edasi
762,vorwärts::ADV,إلى الأمام,edasi
763,rückwärts::ADV,إلى الوراء,tagurpidi
764,zurück::ADV,عودا,tagasi
765,zurück::ADV,إلى الخلف,tagasi
766,unten::ADV,تحت,all
767,unten::ADV,تحت,allpool
768,unten::ADV,في الأسفل,all
769,unten::ADV,في الأسفل,allpool
770,hinab::ADV,إلى تحت,alla
771,oben::ADV,فوق,ülal
772,oben::ADV,في الأعلى,ülal
773,hinauf::ADV,إلى فوق,üles
774,hinauf::ADV,إلى الأعلى,üles
775,überall::ADV,في كل مكان,kõikjal
776,nicht::ADV,لا,ei
777,nicht::ADV,لا,mitte
778,nicht::ADV,لم,ei
779,nicht::ADV,لم,mitte
780,ein wenig::ADV,قليلا,veidi
781,ein wenig::ADV,قليلا,natuke
782,kaum::ADV,كاد لا,vaevalt
783,sehr::ADV,جدا,väga
784,sehr::ADV,كثيرا,väga
785,so::ADV,كذا,nii
786,so::ADV,كذلك,nii
787,noch::ADV,ما زال,veel
788,nur::ADV,فقط,ainult
789,schon::ADV,قد,juba
790,wieder::ADV,من جديد,jälle
791,wieder::ADV,مرة أخرى,jälle
792,vergebens::ADV,عبثا,asjata
793,vor::PRP,أمام,ees
794,hinter::PRP,خلف,taha
795,hinter::PRP,وراء,taha
796,unter::PRP,تحت,all
797,durch::PRP,عبر,läbi
798,durch::PRP,عبر,kaudu
799,durch::PRP,خلال,läbi
800,durch::PRP,خلال,kaudu
801,neben::PRP,جنب,kõrval
802,neben::PRP,بجانب,kõrval
803,zwischen::PRP,بين,vahel
804,wegen::PRP,بسبب,tõttu
805,wegen::PRP,بسبب,pärast
806,dies::PRN,هذا,see
807,das::PRN,ذلك,see
808,alles::PRN,الكل,kõik
809,ich::PRN,أنا,mina
810,du::PRN,أنت,sina
811,er::PRN,هو,tema
812,wir::PRN,نحن,me
813,ihr::PRN,أنتم,te
