,Concept_ID,bn,ps
51,Atem::N,শ্বাস,نفس
52,Hunger::N,ক্ষুধা,ولږه
53,Träne::N,অশ্রু,اوښکه
54,Geschmack::N,স্বাদ,مزه
55,Geschmack::N,স্বাদ,خوند
56,Geruch::N,গন্ধ,بوی
57,Schlaf::N,ঘুম,خوب
58,Traum::N,স্বপ্ন,خوب
59,Himmel::N,আকাশ,اسمان
60,Sonne::N,সূর্য,لمر
61,Mond::N,চন্দ্র,سپوږمۍ
62,Stern::N,নক্ষত্র,ستوری
63,Luft::N,বায়ু,هوا
64,Wind::N,বাতাস,ورښ
65,Welle::N,ঢেউ,موج
66,Welle::N,তরঙ্গ,موج
67,Wasser::N,জল,اوبه
68,Stein::N,ঢিল,ډبره
69,Stein::N,প্রস্তর,ډبره
70,Boden::N,ভূতল,مځکه
71,Erde::N,ভূমি,خاوره
72,Staub::N,ধুলা,ګرد
73,Staub::N,ধুলা,خاوره
74,Rauch::N,ধোঁয়া,دود
75,Rauch::N,ধোঁয়া,لوګی
76,Funke::N,স্ফুলিঙ্গ,سپرغۍ
77,Feuer::N,অগ্নি,اور
78,Licht::N,আলো,رڼا
79,Schatten::N,ছায়া,سیوری
80,Wetter::N,আবহাওয়া,هوا
81,Nebel::N,কুহেলিকা,لړه
82,Wolke::N,মেঘ,ورېځ
83,Regen::N,বৃষ্টি,وریا
84,Regen::N,বৃষ্টি,باران
85,Schnee::N,তুষার,واوره
86,Eis::N,বরফ,یخ
87,Eis::N,বরফ,کنګل
88,Frost::N,তুষার,یخ
89,Kälte::N,শৈত্য,ساړه
90,Hitze::N,তাপ,تودوخي
91,Raureif::N,তুহিন,سپینه پرخه
92,Regenbogen::N,রামধনু,بوډۍ ټال
93,Regenbogen::N,রামধনু,سره زرغونه
94,Donner::N,বজ্রধ্বনি,تالنده
95,Strömung::N,স্রোত,بهېدنه
96,Tropfen::N,ফোঁটা,قطره
97,Tropfen::N,ফোঁটা,څاڅکی
98,Schaum::N,ফেনা,ځګ
99,Schmutz::N,ধুলা,ناپاکي
100,See::N,হ্রদ,جهیل
101,Sumpf::N,জলা,جبه
102,Moor::N,মাঠ,جبه
103,Wiese::N,তৃণভূমি,چمن
104,Wiese::N,তৃণভূমি,شنېلی
105,Wald::N,বন,ځنګل
106,Hügel::N,পাহাড়,تپه
107,Anhöhe::N,টিলা,غونډۍ
108,Berg::N,পর্বত,غ‍‍‍‍‍ر
109,Gipfel::N,শীর্ষ,څوکه
110,Höhle::N,গুহা,کاز
111,Abhang::N,ঢাল,لمن
112,Quelle::N,উৎস,چینه
113,Bach::N,ক্ষুদ্র নদী,واله
114,Fluss::N,নদী,سیند
115,Ufer::N,উপকূল,غاړه
116,Küste::N,তীর,ساحل
117,Festland::N,ভূমি,وچه
118,Meer::N,সমুদ্র,بحر
119,Meer::N,সমুদ্র,سمندر
120,Bucht::N,উপসাগর,کارۍ
121,Insel::N,দ্বীপ,ټاپو
122,Insel::N,দ্বীপ,جزيره
123,Blume::N,ফুল,ګل
124,Gras::N,ঘাস,واښه
125,Wurzel::N,শিকড়,ریښه
126,Baum::N,গাছ,ونه
127,Stamm::N,স্কন্ধ,ډډ
128,Rinde::N,বল্কল,پوستکی
129,Ast::N,শাখা,ښاخ
130,Zweig::N,ডাল,څانګه
131,Blatt::N,পর্ণ,پاڼه
132,Birke::N,ভুর্জ,توس
133,Kiefer[Baum]::N,পাইন গাছ,نښتر
134,Weide[Baum]::N,উইলো,وله
135,Tanne::N,দেবদারূ গাছ,ناجو
136,Horn::N,শিং,ښکر
137,Feder::N,পালক,بڼکه
138,Fell::N,রোম,پوستکی
139,Flügel::N,ডানা,وزر
140,Klaue::N,নখর,پنجه
141,Klaue::N,নখর,منګول
142,Kralle::N,নখর,پنجه
143,Kralle::N,নখর,منګول
144,Schwanz::N,লেজ,لکۍ
145,Ei::N,ডিম,وۍ
146,Ei::N,ডিম,هګۍ
147,Nest::N,কুলায়,جاله
148,Bau::N,ডেরা,کاز
149,Tier::N,জন্তু,ژوی
150,Tier::N,জন্তু,حیوان
151,Herde::N,ঝাঁক,رمه
152,Herde::N,ঝাঁক,غېله
153,Kuh::N,গোরু,غوا
154,Bulle::N,বৃষ,غوئی
155,Pferd::N,ঘোড়া,آس
156,Schaf::N,ভেড়া,پسه
157,Schwein::N,শূকর,سرکوزی
158,Hund::N,কুকুর,سپی
159,Katze::N,বেড়াল,پشه
160,Bär::N,ভল্লুক,خرس
161,Eichhörnchen::N,কাঠবিড়াল,خړ لمی
162,Elch::N,হরিণবিশেষ,ګوزن
163,Fuchs::N,পাঁতিশিয়াল,سپلم
164,Hase::N,শশক,سوی
165,Maus::N,নেংটি ইঁদুর,مږک
166,Wolf::N,নেকড়ে,لېوه
167,Vogel::N,পক্ষী,مرغه
168,Schwarm::N,ঝাঁক,سېل
169,Huhn::N,মোরগ,چرګه
170,Hahn::N,কুক্কুট,چرګ
171,Gans::N,হংসী,بته
172,Adler::N,ইগল,عقاب
173,Ente::N,হংসী,ایلۍ
174,Eule::N,পেচক,ګونګی
175,Kranich::N,সারস,کلنګ
176,Krähe::N,কাক,کارغه
177,Kuckuck::N,কোকিল,فاخته
178,Schwan::N,মরাল,قو
179,Fisch::N,মাছ,کب
180,Fisch::N,মাছ,ماهی
181,Barsch::N,মৎন্যবিশেষ,
182,Hecht::N,বানমাছ,
183,Schlange[Tier]::N,সর্প,مار
184,Wurm::N,কীট,چینجی
185,Spinne::N,মাকড়সা,غڼه
186,Spinne::N,মাকড়সা,تارکښ
187,Ameise::N,পিপীলিকা,مېږی
188,Laus::N,উকুন,سپږه
189,Mücke::N,মশা,ماشی
190,Fliege::N,মাছি,مچ
191,Schmetterling::N,প্রজাপতি,پتنګ
192,Beere::N,বেরি,مېوۍ
193,Apfel::N,আপেল,مڼه
194,Pilz::N,ছত্রক,خرېړی
195,Zwiebel::N,পিয়াজ,پیاز
196,Saat::N,বীজ,تخم
197,Korn::N,শস্য,تخم
198,Korn::N,শস্য,دانه
199,Heu::N,খড়,بوس
200,Heu::N,খড়,پروړه
201,Schale::N,খোসা,پوستکی
202,Grube::N,গর্ত,کنده
203,Falle::N,ফাঁদ,دام
204,Falle::N,ফাঁদ,لومه
205,Schlinge::N,পাশ,کړۍ
206,Spur::N,চিহ্ন,نښه
207,Asche::N,ভস্ম,آس
208,Asche::N,ভস্ম,ایره
209,Dreck::N,ময়লা,ناپاکي
210,Eisen::N,লোহা,اوسپنه
211,Gold::N,স্বর্ণ,سره زر
212,Silber::N,রৌপ্য,نقره
213,Silber::N,রৌপ্য,سپین زر
214,Kohle::N,অঙ্গার,سکور
215,Kohle::N,অঙ্গার,سکاره
216,Glas::N,কাচ,ښيښه
217,Lehm::N,মৃত্তিকা,خټه
218,Sand::N,বালি,شګه
219,Mensch::N,নর,انسان
220,Mensch::N,মানুষ,انسان
221,Mann::N,মানুষ,سړی
222,Mann::N,মানুষ,نارینه
223,Frau::N,নারী,ښځه
224,Kind::N,বাচ্চা,بچی
225,Kind::N,বাচ্চা,ماشوم
226,Junge::N,ছেলে,هلک
227,Mädchen::N,মেয়ে,نجلۍ
228,Familie::N,পরিবার,کورنۍ
229,Großvater::N,মাতামহ,بابا
230,Großmutter::N,মাতামহী,انا
231,Eltern::N,মাতাপিতা,مور او پلار
232,Vater::N,পিতা,پلار
233,Mutter::N,মাতা,مور
234,Sohn::N,ছেলে,زوی
235,Tochter::N,মেয়ে,لور
236,Bruder::N,দাদা,ورور
237,Schwester::N,বোন,خور
238,Schwester::N,দিদি,خور
239,Onkel::N,মামা,تره
240,Onkel::N,মামা,ماما
241,Tante::N,মাসী,خاله
242,Ehemann::N,স্বামী,مېړه
243,Ehefrau::N,পত্নী,مېرمن
244,Freude::N,উল্লাস,خوشحالي
245,Gelächter::N,হাসি,خندا
246,Glück::N,সুখ,بخت
247,Kummer::N,দুঃখ,غم
248,Wunsch::N,আকাঙ্ক্ষা,هيله
249,Wunsch::N,আকাঙ্ক্ষা,غوښتنه
250,Lust::N,বাসনা,شوق
251,Lust::N,বাসনা,مینه
252,Geist::N,আত্না,روح
253,Gedanke::N,চিন্তা,فکر
254,Gedächtnis::N,স্মরণশক্তি,یاد
255,Gedächtnis::N,স্মরণশক্তি,حافظه
256,Verstand::N,মন,عقل
257,Verstand::N,মন,شعور
258,Sinn::N,পদার্থ,معنی
259,Grund::N,কারণ,علت
260,Grund::N,কারণ,اساس
261,Wahrheit::N,সত্য,حقیقت
262,Gespräch::N,কথাবার্তা,مرکه
263,Gespräch::N,কথাবার্তা,خبرې اترې
264,Märchen::N,রূপকথা,افسانه
265,Erzählung::N,গল্প,قصه
266,Erzählung::N,গল্প,کیسه
267,Nachricht::N,তথ্য,خبر
268,Neuigkeit::N,খবরাখবর,نوی خبر
269,Name::N,নাম,نوم
270,Rätsel::N,ধাঁধা,کیسۍ
271,Rätsel::N,ধাঁধা,چیستان
272,Rede::N,বক্তৃতা,وینا
273,Sprache::N,ভাষা,ژبه
274,Stimme::N,স্বর,غږ
275,Stimme::N,স্বর,اواز
276,Wort::N,শব্দ,لغت
277,Wort::N,শব্দ,کلمه
278,Zeichen::N,প্রতীক,نښه
279,Zeichen::N,প্রতীক,اشاره
280,Ruf::N,ডাক,ږغ
281,Ruf::N,ডাক,بلنه
282,Lärm::N,হৈচৈ,غالمغال
283,Laut::N,ধ্বনি,ږغ
284,Ton::N,স্বর,اواز
285,Lied::N,গান,غزله
286,Lied::N,গান,سندره
287,Ruhe::N,শান্তি,ارامي
288,Leute::N,প্রজাপুঞ্জ,خلک
289,Volk::N,জাতি,ولس
290,Arbeit::N,চাকরি,کار
291,Gast::N,অতিথি,مېلمه
292,Geschenk::N,উপহার,تحفه
293,Geschenk::N,উপহার,سوغات
294,Spiel::N,খেলা,لوبه
295,Gesellschaft::N,সঙ্গিগণ,ډله
296,Hilfe::N,সাহায্য,کومک
297,Hilfe::N,সাহায্য,مرسته
298,Freund::N,বন্ধু,ملګری
299,Kamerad::N,সঙ্গী,انډيوال
300,Angelegenheit::N,বিষয়,موضوع
301,Anzahl::N,পরিমাণ,شمېر
302,Anzahl::N,পরিমাণ,تعداد
303,Art::N,রকম,ډول
304,Stück::N,টুকরো,ټوټه
305,Teil::N,অংশ,برخه
306,Hälfte::N,অর্ধেক,نیم
307,Kreis::N,বৃত্ত,دایره
308,Kreuz::N,ক্রুশ,صلیب
309,Linie::N,রেখা,خط
310,Linie::N,রেখা,لیکه
311,Strich::N,কষি,کرښه
312,Abstand::N,ফাঁক,فاصله
313,Entfernung::N,ব্যবধান,واټن
314,Gegend::N,ক্ষেত্র,سیمه
315,Gegend::N,ক্ষেত্র,منطقه
316,Platz::N,জায়গা,ځای
317,Ort::N,স্থান,ځای
318,Seite::N,পার্শ্ব,مخ
319,Seite::N,পার্শ্ব,اړخ
320,Mitte::N,মধ্য,وسط
321,Mitte::N,মধ্য,مینځ
322,Gegenstand::N,জিনিস,شی
323,Sache::N,বস্তু,شی
324,Sache::N,বস্তু,څيز
325,Rand::N,কানা,څنډه
326,Rand::N,কানা,کناره
327,Kante::N,ধার,اړخ
328,Ecke::N,কোণ,ګوټ
329,Spitze::N,ডগা,څوکه
330,Ende::N,প্রান্ত,څوکه
331,Loch::N,গর্ত,سوری
332,Winkel::N,কোণ,کنج
333,Winkel::N,কোণ,کوتی
334,Muster::N,নমুন্,نمونه
335,Größe::N,আয়তন,قد
336,Größe::N,আয়তন,لويوالی
337,Länge::N,দৈর্ঘ্য,طول
338,Länge::N,দৈর্ঘ্য,اوږد والی
339,Höhe::N,উচ্চতা,جګوالی
340,Gewicht::N,ওজন,وزن
341,Menge::N,পরিমাণ,اندازه
342,Haufen::N,পুঞ্জ,کوټه
343,Reihe::N,শ্রেণী,صف
344,Reihe::N,শ্রেণী,کتار
345,Boot::N,নৌকা,قايق
346,Ruder::N,দাঁড়,چپه
347,Schlitten::N,স্নেজ্-গাড়ি,ښویېدونی
348,Ski::N,শী,سکي
349,Lagerfeuer::N,অগ্নি,اور
350,Last::N,বোঝা,بار
351,Last::N,বোঝা,پېټی
352,Gang::N,হণ্টন,تګ
353,Schritt::N,পদ,ګام
354,Norden::N,উত্তরদিক্,شمال
355,Süden::N,দক্ষিণদিক,سوېل
356,Westen::N,পশ্চিমদিক্,لوېدېځ
357,Osten::N,পূর্বদিক,شرق
358,Osten::N,পূর্বদিক,ختیځ
359,Holz::N,কাঠ,لرګی
360,Brett::N,তক্তা,تخته
361,Platte::N,ফলক,تخته
362,Stütze::N,নাগদণ্ড,تکیوان
363,Stange::N,দণ্ড,ډاګه
364,Stock::N,ছড়ি,لرګی
365,Stab::N,যষ্টি,چيخله
366,Rohr::N,নল,نل
367,Haus::N,ঘর,کور
368,Heim::N,বাসা,کور
369,Ofen::N,স্টোভ্,تودنۍ
370,Fußboden::N,গহতল,غولی
371,Tisch::N,মেজ,مېز
372,Tisch::N,টেবিল,مېز
373,Stuhl::N,চেয়ার,چوکۍ
374,Stuhl::N,কেদারা,چوکۍ
375,Wiege::N,দোলনা,زانګو
376,Bett::N,শয্যা,کټ
377,Bett::N,শয্যা,چپرکټ
378,Regal::N,তাক,تاخچۍ
379,Kiste::N,বাক্স,صندوق
380,Fenster::N,জানালা,کړکۍ
381,Tür::N,দ্বার,دروازه
382,Tor::N,দ্বার,دروازه
383,Zaun::N,বেড়া,کټاره
384,Dach::N,ছাদ,بام
385,Leiter::N,মই,زينه
386,Besen::N,গুল্মবিশেষ,جارو
387,Spaten::N,কোদাল,یوم
388,Schaufel::N,বেলচা,بېلچه
389,Gabel::N,কাঁটা,پنجه
390,Löffel::N,চামচ,کاشوغه
391,Messer::N,ছুরি,چاقو
392,Nagel::N,পেরেক,ميخ
393,Netz::N,জাল,جال
394,Haken::N,কাচি,څنګک
395,Griff::N,হাতল,لاستی
396,Schloss::N,তালা,کلپ
397,Bild::N,ছবি,رسم
398,Bild::N,চিত্র,رسم
399,Figur::N,আকার,قدوقامت
400,Puppe::N,পুতুল,ګوډۍ
401,Beutel::N,বটুয়া,کڅوړه
402,Bündel::N,আঁটি,دسته
403,Tasche::N,থলি,بکس
404,Tasche::N,থলি,توبره
405,Eimer::N,বাল্তি,سطل
406,Deckel::N,আবরণ,سرپوښ
407,Geschirr::N,থালা-বাসন,لوښی
408,Sack::N,বস্তা,جوال
409,Tasse::N,কাপ,پیاله
410,Topf::N,পাত্র,دېګی
411,Kessel::N,কেটলি,دېګ
412,Essen::N,আহার,خوراک
413,Nahrung::N,খাদ্য,خوراک
414,Speise::N,খাদ্য,خواړه
415,Fleisch::N,মাংস,غوښه
416,Getreide::N,শস্য,غله
417,Brei::N,মণ্ড,اوګره
418,Brot::N,রুটি,ډوډۍ
419,Scheibe::N,ফালি,مړۍ
420,Fett::N,মেদ,غوړي
421,Butter::N,মাখন,کوچ
422,Öl::N,তৈল,تېل
423,Salz::N,নুন,مالګه
424,Suppe::N,শুরুয়া,شوربا
425,Honig::N,মধু,شات
426,Milch::N,দুধ,شوده
427,Tee::N,চা,چای
428,Leder::N,পাকা চামড়া,څرمن
429,Wolle::N,পশম,پشم
430,Stoff::N,বস্ত্র,ټوټه
431,Nadel::N,সুচ,ستن
432,Faden::N,সূত্র,تار
433,Knopf::N,বোতাম,تڼۍ
434,Knopf::N,বোতাম,تکمه
435,Knoten::N,গিঁট,غوټه
436,Farbe::N,রং,رنګ
437,Kleidung::N,কাপড়,کالي
438,Hemd::N,শার্ট,کميس
439,Kragen::N,গলবন্ধ,غاړه
440,Ärmel::N,আস্তিন্,لستوڼی
441,Hose::N,ট্রাউজার,پطلون
442,Gürtel::N,কটিবন্ধ,کمربند
443,Mütze::N,টুপি,خولۍ
444,Schuh::N,জুতো,بوټ
445,Stiefel::N,বুট,موزه
446,Ring::N,আংটি,ګوته
447,Band::N,ফিতা,فيته
448,Kamm::N,চিরুনি,ګمنځ
449,Spiegel::N,আয়না,ایینه
450,Spiegel::N,আয়না,هنداره
451,Riemen::N,চাবুক,تسمه
452,Schnur::N,দড়ি,مزی
453,Leine::N,শিকল,رسۍ
454,Decke::N,কম্বল,بړستن
455,Kissen::N,উপাধান,بالښت
456,Tuch::N,বস্ত্র,ټیکری
457,Handtuch::N,তোয়ালে,دسمال
458,Kraft::N,জোর,زور
459,Kraft::N,জোর,توان
460,Stärke::N,শক্তি,قوت
461,Gesundheit::N,স্বাস্থ্য,صحت
462,Gesundheit::N,স্বাস্থ্য,روغتیا
463,Krankheit::N,অসুখ,مرض
464,Krankheit::N,অসুখ,ناروغي
465,Krankheit::N,ব্যামো,مرض
466,Krankheit::N,ব্যামো,ناروغي
467,Schmerz::N,যন্ত্রণা,درد
468,Wunde::N,ক্ষত,ټپ
469,Wunde::N,ক্ষত,زخم
470,Fieber::N,জ্বর,تبه
471,Arznei::N,ঔষধ,دوا
472,Arznei::N,ঔষধ,دارو
473,Brücke::N,সেতু,پول
474,Brunnen::N,কূপ,څاه
475,Brunnen::N,কূপ,کوهی
476,Weide::N,পশুচারণভূমি,وله
477,Pfad::N,পথ,تړه
478,Weg::N,পথ,لیار
479,Straße::N,রাস্তা,سړک
480,Dorf::N,গ্রাম,کلی
481,Stadt::N,শহর,ښار
482,Brief::N,চিঠি,لیک
483,Brief::N,চিঠি,مکتوب
484,Buch::N,বই,کتاب
485,Buchstabe::N,অক্ষর,حرف
486,Buchstabe::N,অক্ষর,توری
487,Zeitung::N,সংবাদপত্র,اخبار
488,Leben::N,জীবন,ژوند
489,Tod::N,মৃত্যু,مرګ
490,Tod::N,মৃত্যু,مړینه
491,Grab::N,কবর,قبر
492,Grab::N,কবর,ډورۍ
493,Kirche::N,গির্জা,کلیسا
494,Sünde::N,পাপ,ګناه
495,Gott::N,দেবতা,خدای
496,Arbeiter::N,শ্রমিক,کاریګر
497,Chef::N,নেতা,آمر
498,Meister::N,ব্যক্তি,استاد
499,Arzt::N,চিকিৎসক,طبیب
500,Arzt::N,চিকিৎসক,ډاکټر
501,Lehrer::N,অধ্যাপক,معلم
502,Lehrer::N,অধ্যাপক,ښوونکی
503,Geld::N,মুদ্রা,پیسې
504,Geld::N,টাকাপয়সা,پیسې
505,Geschäft::N,ব্যস্ততা,سوداګري
506,Laden::N,দোকান,دکان
507,Laden::N,দোকান,مغازه
508,Preis::N,মূল্য,بیه
509,Ware::N,পণ্যদ্রব্য,مال
510,Nutzen::N,সুবিধা,ګټه
511,Reichtum::N,ধনদৌলত,شتمني
512,Welt::N,জগৎ,نړۍ
513,Welt::N,জগৎ,دنیا
514,Land::N,খেত,هېواد
515,Staat::N,রাষ্ট্র,دولت
516,König::N,রাজা,باچا
517,König::N,রাজা,پادشاه
518,Macht::N,প্রভাব,قدرت
519,Grenze::N,সীমা,حد
520,Grenze::N,সীমা,سرحد
521,Krieg::N,যুদ্ধ,جګړه
522,Feind::N,শত্রু,دښمن
523,Gewalt::N,জোর,زور
524,Gewalt::N,জোর,تشدد
525,Kampf::N,লড়াই,جنګ
526,Kampf::N,লড়াই,مبارزه
527,Bogen[Waffe]::N,ধনুক,لیندۍ
528,Pfeil::N,বাণ,غشی
529,Gewehr::N,বন্দুক,ټوپک
530,Fehler::N,ভুল,خطا
531,Fehler::N,ভুল,غلطي
532,Lüge::N,মিথ্যা,دروغ
533,Schaden::N,ক্ষতি,زیان
534,Schaden::N,ক্ষতি,تاوان
535,Unglück::N,দুর্ভাগ্য,بدبختي
536,Schuld::N,অপরাধ,ګناه
537,Alter::N,আয়ু,منګ
538,Schluss::N,শেষ,اخر
539,Zeit::N,সময়,وخت
540,Tag::N,দিন,ورځ
541,Morgen::N,সকাল,سبا
542,Morgen::N,সকাল,سهار
543,Mittag::N,মধ্যাহু,غرمه
544,Abend::N,সন্ধ্যা,ماښام
545,Nacht::N,রাত্রি,شپه
546,Woche::N,সপ্তাহ,اونۍ
547,Monat::N,মাস,مياشت
548,Jahr::N,সৌরবর্ষ,کال
549,Frühling::N,বসন্তকাল,پسرلی
550,Sommer::N,গ্রীষ্মকাল,دوبی
551,Herbst::N,শরংঋতু,منی
552,Herbst::N,শরংঋতু,خزان
553,Winter::N,শীতকাল,ژمی
554,Januar::N,জানুয়ারী,جنوري
555,Februar::N,ফেব্রুয়ারী,فبروري
556,März::N,মার্চ,مارچ
557,April::N,এপ্রিল,اپریل
558,Mai::N,মে,مې
559,Juni::N,জুন,جون
560,Juli::N,জুলাই,جولای
561,August::N,অগাস্ট,اګست
562,September::N,সেপ্টেম্বর,سپټامبر
563,Oktober::N,অক্টোবর,اکتوبر
564,November::N,নভেম্বর,نومبر
565,Dezember::N,ডিসেম্বর,دسمبر
566,Montag::N,সোমবার,دوشنبه
567,Dienstag::N,মঙ্গলবার,سه شنبه
568,Mittwoch::N,বুধবার,چارشنبه
569,Donnerstag::N,বৃহম্পতিবার,پنجشنبه
570,Freitag::N,শুক্রবার,جمعه
571,Samstag::N,শনিবার,خالي
572,Sonntag::N,রবিবার,یکشنبه
573,groß::A,বৃহৎ,لوی
574,klein::A,ছোট,وړوکی
575,lang::A,দীর্ঘ,اوړد
576,kurz::A,খর্ব,لنډ
577,kurz::A,হ্রস্ব,لنډ
578,breit::A,চওড়া,پراخه
579,schmal::A,সরু,تنګ
580,dicht::A,ঘন,ګڼ
581,dick[Gegenstand]::A,পুরু,پنډ
582,dünn::A,কৃশ,نری
583,fein::A,সূক্ষ্ম,نازک
584,fest::A,দৃঢ়,کلک
585,fest::A,দৃঢ়,ټینګ
586,flach::A,সমতল,هوار
587,glatt::A,মসৃণ,ښوی
588,hart::A,শক্ত,کلک
589,weich::A,নরম,نرم
590,weich::A,নরম,پوست
591,rund::A,গোলাকার,ګرد
592,spitz::A,তীক্ষ্ন,تېره
593,scharf::A,শাণিত,تېز
594,scharf::A,শাণিত,تېره
595,stumpf::A,ভোঁতা,پڅ
596,schwer::A,ভারী,دروند
597,schön::A,সুন্দর,ښکلی
598,heiß::A,গরম,تود
599,warm::A,ঈষদুষ্ণ,تود
600,kalt::A,ঠাণ্ডা,ېخ
601,kalt::A,ঠাণ্ডা,سوړ
602,kühl::A,শীতল,ېخ
603,kühl::A,শীতল,سوړ
604,frisch::A,তাজা,تازه
605,feucht::A,ভিজা,مرطوب
606,nass::A,ভিজা,لوند
607,trocken::A,শুষ্ক,وچ
608,voll::A,পূর্ণ,ډک
609,leer::A,খালি,خالی
610,offen::A,খোলা,خلاص
611,offen::A,খোলা,پرانیستی
612,geschlossen::A,বন্ধ,تړلی
613,sauber::A,নির্মল,پاک
614,schmutzig::A,নোংরা,چټل
615,roh::A,কাঁচা,خام
616,reif::A,পাকা,پوخ
617,reif::A,পাকা,رسېدلی
618,lecker::A,সুস্বাদ,خوندور
619,lecker::A,সুস্বাদ,مزه دار
620,süß::A,মিষ্ট,خوږ
621,süß::A,মিষ্ট,شیرین
622,bitter::A,তিক্ত,تریخ
623,sauer::A,টক,ټاک
624,sauer::A,টক,تريو
625,hell::A,উজ্জ্বল,روڼ
626,hell::A,উজ্জ্বল,روښان
627,dunkel::A,অন্ধকারময়,تیاره
628,schwarz::A,কালো,تور
629,weiß::A,সাদা,سپين
630,rot::A,লাল,سور
631,gelb::A,হলদে,زېړ
632,blau::A,নীল,شین
633,blau::A,নীল,اسماني رنګه
634,grün::A,সবুজ,زرغون
635,grau::A,ছাই-রঙা,خړ
636,bunt::A,রঙিন,رنګارنګ
637,billig::A,সস্তা,ارزان
638,teuer::A,আক্রা,ګران
639,wertvoll::A,মহার্ঘ,قیمتي
640,blind::A,কানা,ړوند
641,taub::A,বধির,کوڼ
642,kräftig::A,বিশাল,قوی
643,stark::A,শক্তিশালী,قوی
644,stark::A,শক্তিশালী,تکړه
645,schwach::A,দুর্বল,ضعیف
646,schwach::A,দুর্বল,کمزوری
647,fett::A,মোটা,چاغ
648,schlank::A,কৃশ,خوش اندام
649,hübsch::A,সুন্দর,ښکلی
650,hübsch::A,সুন্দর,ښایسته
651,böse::A,খারাপ,شریر
652,böse::A,খারাপ,قهرناک
653,dumm::A,মূর্খ,احمق
654,faul::A,শ্রমবিমুখ,لټ
655,faul::A,শ্রমবিমুখ,تنبل
656,fleißig::A,পরিশ্রমী,زحمت کښ
657,geizig::A,ব্যয়কুণ্ঠ,بخیل
658,klug::A,দক্ষ,عاقل
659,klug::A,দক্ষ,هوښیار
660,geschickt::A,পটু,ماهر
661,lieb::A,প্রেয়,عزیز
662,lieb::A,প্রেয়,محبوب
663,lustig::A,প্রফুল্ল,خوشحال
664,sanft::A,নম্র,پوست
665,sanft::A,নম্র,ملایم
666,hungrig::A,ক্ষুধার্ত,وږی
667,krank::A,অসুস্থ,مريض
668,krank::A,অসুস্থ,ناروغ
669,nackt::A,উলঙ্গ,لوڅ
670,traurig::A,দুঃখিত,غمجن
671,lebendig::A,জীবিত,ژوندی
672,gut::A,ভালো,ښه
673,schlecht::A,মন্দ,بد
674,schlecht::A,মন্দ,خراب
675,richtig::A,ঠিক,سم
676,richtig::A,ঠিক,صحیح
677,schlimm::A,কদর্য,بد
678,schlimm::A,কদর্য,مخوف
679,wahr::A,বাস্তব,واقعي
680,alt::A,পুরাতন,زوړ
681,neu::A,নব,نوی
682,neu::A,নূতন,نوی
683,ehemalig::A,পূর্বকালীন,پخوانی
684,alt[Lebewesen]::A,বৃদ্ধ,زوړ
685,jung::A,তরুণ,ځوان
686,arm::A,ক্ষুদ্র,غریب
687,arm::A,ক্ষুদ্র,بې وزله
688,reich::A,ধনবান্,شتمن
689,reich::A,ধনবান্,دولتمند
690,bekannt::A,সুপরিচিত,اشنا
691,berühmt::A,বিখ্যাত,مشهور
692,fremd::A,বিদেশি,پردی
693,fremd::A,বিদেশি,بېګانه
694,verschieden::A,বিসদৃশ,مختلف
