,Concept_ID,it,ro
59,Gehirn::N,cervello,creier
60,Herz::N,cuore,inimă
61,Magen::N,stòmaco,stomac
62,Leber::N,fegato,ficat
63,Atem::N,fiato,răsuflare
64,Atem::N,fiato,respirație
65,Atem::N,respiro,răsuflare
66,Atem::N,respiro,respirație
67,Hunger::N,fame,foame
68,Träne::N,làcrima,lacrimă
69,Geschmack::N,gusto,gust
70,Geschmack::N,sapore,gust
71,Geruch::N,odore,miros
72,Schlaf::N,sonno,somn
73,Traum::N,sogno,vis
74,Himmel::N,cielo,cer
75,Sonne::N,sole,soare
76,Mond::N,luna,lună
77,Stern::N,stella,stea
78,Luft::N,aria,aer
79,Wind::N,vento,vânt
80,Welle::N,onda,val
81,Welle::N,onda,undă
82,Wasser::N,acqua,apă
83,Stein::N,sasso,piatră
84,Stein::N,pietra,piatră
85,Boden::N,suolo,sol
86,Boden::N,suolo,pământ
87,Boden::N,terreno,sol
88,Boden::N,terreno,pământ
89,Erde::N,terra,pământ
90,Staub::N,polvere,praf
91,Rauch::N,fumo,fum
92,Funke::N,scintilla,scânteie
93,Feuer::N,fuoco,foc
94,Licht::N,luce,lumină
95,Schatten::N,ombra,umbră
96,Wetter::N,tempo,timp
97,Wetter::N,tempo,vreme
98,Nebel::N,nebbia,ceață
99,Nebel::N,nebbia,negură
100,Wolke::N,nube,nor
101,Wolke::N,nùvola,nor
102,Regen::N,pioggia,ploaie
103,Schnee::N,neve,zăpadă
104,Eis::N,ghiaccio,gheață
105,Frost::N,gelo,ger
106,Kälte::N,freddo,frig
107,Hitze::N,caldo,arșiță
108,Hitze::N,caldo,căldură
109,Hitze::N,calura,arșiță
110,Hitze::N,calura,căldură
111,Raureif::N,brina,chiciură
112,Regenbogen::N,arcobaleno,curcubeu
113,Donner::N,tuono,tunet
114,Strömung::N,corrente,curent
115,Tropfen::N,goccia,picătură
116,Schaum::N,spuma,spumă
117,Schaum::N,schiuma,spumă
118,Schmutz::N,sudiciume,murdărie
119,See::N,lago,lac
120,Sumpf::N,palude,mlaștină
121,Moor::N,torbiera,bărăgan
122,Wiese::N,prato,fânaț
123,Wiese::N,prato,livadă
124,Wald::N,bosco,codru
125,Wald::N,bosco,pădure
126,Wald::N,foresta,codru
127,Wald::N,foresta,pădure
128,Hügel::N,colle,deal
129,Hügel::N,colle,movilă
130,Hügel::N,collina,deal
131,Hügel::N,collina,movilă
132,Anhöhe::N,altura,deal
133,Anhöhe::N,altura,ridicătură
134,Berg::N,monte,munte
135,Berg::N,montagna,munte
136,Gipfel::N,cima,pisc
137,Höhle::N,grotta,peșteră
138,Höhle::N,caverna,peșteră
139,Abhang::N,pendìo,pantă
140,Abhang::N,pendìo,versant
141,Quelle::N,sorgente,izvor
142,Bach::N,ruscello,gârlă
143,Fluss::N,fiume,râu
144,Fluss::N,fiume,fluviu
145,Ufer::N,riva,mal
146,Ufer::N,riva,țărm
147,Küste::N,costa,coastă
148,Festland::N,terraferma,uscat
149,Meer::N,mare,mare
150,Bucht::N,cala,golf
151,Insel::N,ìsola,insulă
152,Blume::N,fiore,floare
153,Gras::N,erba,iarbă
154,Wurzel::N,radice,rădăcină
155,Baum::N,àlbero,copac
156,Baum::N,àlbero,arbore
157,Stamm::N,tronco,tulpină
158,Rinde::N,corteccia,scoarță
159,Ast::N,ramo,cracă
160,Ast::N,ramo,creangă
161,Zweig::N,ramo,ramură
162,Zweig::N,ramo,creangă
163,Blatt::N,foglia,frunză
164,Birke::N,betulla,mesteacăn
165,Kiefer[Baum]::N,pino,pin
166,Weide[Baum]::N,sàlice,salcie
167,Weide[Baum]::N,sàlice,răchită
168,Tanne::N,abete,brad
169,Horn::N,corno,corn
170,Feder::N,penna,pană
171,Fell::N,manto,piele
172,Fell::N,pelame,piele
173,Flügel::N,ala,aripă
174,Klaue::N,grinfia,gheară
175,Kralle::N,unghia,labă
176,Kralle::N,unghia,gheară
177,Kralle::N,artiglio,labă
178,Kralle::N,artiglio,gheară
179,Schwanz::N,coda,coadă
180,Ei::N,uovo,ou
181,Nest::N,nido,cuib
182,Bau::N,covo,bârlog
183,Bau::N,covo,vizuină
184,Tier::N,bestia,animal
185,Tier::N,animale,animal
186,Herde::N,gregge,turmă
187,Herde::N,gregge,cireadă
188,Kuh::N,vacca,vacă
189,Bulle::N,toro,taur
190,Pferd::N,cavallo,cal
191,Schaf::N,pècora,oaie
192,Schwein::N,porco,porc
193,Schwein::N,maiale,porc
194,Hund::N,cane,câine
195,Katze::N,gatta,pisică
196,Bär::N,orso,urs
197,Eichhörnchen::N,scoiàttolo,veveriță
198,Elch::N,alce,elan
199,Fuchs::N,volpe,vulpe
200,Hase::N,lepre,iepure
201,Maus::N,topo,șoarece
202,Maus::N,sorcio,șoarece
203,Wolf::N,lupo,lup
204,Vogel::N,uccello,pasăre
205,Schwarm::N,stormo,cârd
206,Huhn::N,gallina,găină
207,Hahn::N,gallo,cocoș
208,Gans::N,oca,gâscă
209,Adler::N,àquila,vultur
210,Ente::N,ànatra,rață
211,Eule::N,gufo,bufniță
212,Eule::N,civetta,bufniță
213,Kranich::N,gru,cocor
214,Krähe::N,cornacchia,cioară
215,Kuckuck::N,cuccù,cuc
216,Kuckuck::N,cùculo,cuc
217,Schwan::N,cigno,lebădă
218,Fisch::N,pesce,pește
219,Barsch::N,pèrsico,biban
220,Hecht::N,luccio,știucă
221,Schlange[Tier]::N,serpente,șarpe
222,Wurm::N,baco,vierme
223,Wurm::N,verme,vierme
224,Spinne::N,ragno,păianjen
225,Ameise::N,formica,furnică
226,Laus::N,pidocchio,păduche
227,Mücke::N,zanzara,țânțar
228,Fliege::N,mosca,muscă
229,Schmetterling::N,farfalla,fluture
230,Beere::N,bacca,boabă
231,Apfel::N,mela,măr
232,Pilz::N,fungo,burete
233,Pilz::N,fungo,ciupercă
234,Zwiebel::N,cipolla,ceapă
235,Saat::N,semente,semănătură
236,Korn::N,grano,grâu
237,Heu::N,fieno,fân
238,Schale::N,buccia,coajă
239,Grube::N,cava,groapă
240,Grube::N,fossa,groapă
241,Falle::N,tràppola,cursă
242,Falle::N,tràppola,capcană
243,Schlinge::N,laccio,laț
244,Spur::N,traccia,dâră
245,Asche::N,cenere,cenușă
246,Dreck::N,fango,noroi
247,Dreck::N,fango,murdărie
248,Eisen::N,ferro,fier
249,Gold::N,oro,aur
250,Silber::N,argento,argint
251,Kohle::N,carbone,cărbune
252,Glas::N,vetro,sticlă
253,Lehm::N,argilla,lut
254,Lehm::N,argilla,humă
255,Sand::N,arena,nisip
256,Sand::N,sabbia,nisip
257,Mensch::N,uomo,om
258,Mensch::N,uomo,persoană
259,Mensch::N,èssere umano,om
260,Mensch::N,èssere umano,persoană
261,Mann::N,uomo,om
262,Mann::N,uomo,bărbat
263,Frau::N,donna,femeie
264,Kind::N,bambino,copil
265,Junge::N,ragazzo,băiat
266,Junge::N,ragazzo,flăcău
267,Mädchen::N,ragazza,fată
268,Familie::N,famiglia,familie
269,Großvater::N,nonno,bunic
270,Großvater::N,nonno,tată mare
271,Großmutter::N,nonna,bunică
272,Großmutter::N,nonna,mamă mare
273,Eltern::N,genitori,părinți
274,Vater::N,padre,tată
275,Vater::N,padre,părinte
276,Mutter::N,madre,mamă
277,Sohn::N,figlio,fiu
278,Sohn::N,figlio,fecior
279,Tochter::N,figlia,fiică
280,Bruder::N,fratello,frate
281,Schwester::N,sorella,soră
282,Onkel::N,zio,unchi
283,Tante::N,zia,mătușă
284,Ehemann::N,marito,soț
285,Ehemann::N,marito,bărbat
286,Ehefrau::N,moglie,soție
287,Freude::N,gioia,bucurie
288,Freude::N,piacere,bucurie
289,Gelächter::N,risata,râset
290,Glück::N,felicità,fericire
291,Kummer::N,afflizione,mâhnire
292,Wunsch::N,desiderio,dorință
293,Wunsch::N,desiderio,deziderat
294,Lust::N,voglia,poftă
295,Lust::N,voglia,înclinare
296,Geist::N,mente,duh
297,Geist::N,mente,minte
298,Geist::N,mente,suflet
299,Geist::N,spìrito,duh
300,Geist::N,spìrito,minte
301,Geist::N,spìrito,suflet
302,Gedanke::N,idea,gând
303,Gedanke::N,idea,cuget
304,Gedanke::N,pensiero,gând
305,Gedanke::N,pensiero,cuget
306,Gedächtnis::N,memoria,memorie
307,Verstand::N,intelletto,minte
308,Verstand::N,intelletto,intelect
309,Sinn::N,senso,sens
310,Sinn::N,senso,înțeles
311,Sinn::N,significato,sens
312,Sinn::N,significato,înțeles
313,Grund::N,causa,cauză
314,Grund::N,causa,pricină
315,Grund::N,motivo,cauză
316,Grund::N,motivo,pricină
317,Grund::N,ragione,cauză
318,Grund::N,ragione,pricină
319,Wahrheit::N,verità,adevăr
320,Gespräch::N,discorso,convorbire
321,Gespräch::N,discorso,conversație
322,Gespräch::N,conversazione,convorbire
323,Gespräch::N,conversazione,conversație
324,Märchen::N,fiaba,basm
325,Märchen::N,fiaba,poveste
326,Märchen::N,fàvola,basm
327,Märchen::N,fàvola,poveste
328,Erzählung::N,racconto,poveste
329,Erzählung::N,narrazione,poveste
330,Nachricht::N,messaggio,veste
331,Neuigkeit::N,notizia,noutate
332,Neuigkeit::N,notizia,actualitate
333,Name::N,nome,nume
334,Rätsel::N,indovinello,ghicitoare
335,Rede::N,discorso,discurs
336,Sprache::N,lingua,limbă
337,Sprache::N,lingua,limbaj
338,Sprache::N,linguaggio,limbă
339,Sprache::N,linguaggio,limbaj
340,Stimme::N,voce,glas
341,Wort::N,parola,cuvânt
342,Zeichen::N,segno,semn
343,Zeichen::N,segno,semnal
344,Zeichen::N,segnale,semn
345,Zeichen::N,segnale,semnal
346,Ruf::N,chiamata,chemare
347,Lärm::N,chiasso,zgomot
348,Lärm::N,chiasso,tărăboi
349,Lärm::N,strèpito,zgomot
350,Lärm::N,strèpito,tărăboi
351,Laut::N,suono,sunet
352,Ton::N,tono,ton
353,Lied::N,canto,cântec
354,Lied::N,canzone,cântec
355,Ruhe::N,calma,odihnă
356,Ruhe::N,calma,liniște
357,Ruhe::N,tranquillità,odihnă
358,Ruhe::N,tranquillità,liniște
359,Leute::N,gente,lume
360,Leute::N,gente,oameni
361,Volk::N,pòpolo,popor
362,Volk::N,pòpolo,națiune
363,Arbeit::N,lavoro,lucru
364,Gast::N,òspite,musafir
365,Gast::N,invitato,musafir
366,Geschenk::N,regalo,dar
367,Geschenk::N,regalo,cadou
368,Spiel::N,gioco,joc
369,Gesellschaft::N,compagnìa,societate
370,Hilfe::N,aiuto,ajutor
371,Hilfe::N,soccorso,ajutor
372,Freund::N,amico,amic
373,Freund::N,amico,prieten
374,Kamerad::N,camerata,tovarăș
375,Angelegenheit::N,affare,afacere
376,Angelegenheit::N,faccenda,afacere
377,Anzahl::N,nùmero,număr
378,Anzahl::N,nùmero,cantitate
379,Anzahl::N,quantità,număr
380,Anzahl::N,quantità,cantitate
381,Art::N,tipo,fel
382,Art::N,tipo,specie
383,Art::N,specie,fel
384,Art::N,specie,specie
385,Stück::N,pezzo,bucată
386,Teil::N,parte,parte
387,Teil::N,parte,porție
388,Hälfte::N,metà,jumătate
389,Kreis::N,cìrcolo,cerc
390,Kreuz::N,croce,cruce
391,Linie::N,lìnea,linie
392,Strich::N,tratto,linie
393,Strich::N,tratto,trăsătură
394,Abstand::N,distanza,distanță
395,Abstand::N,distanza,depărtare
396,Entfernung::N,distanza,distanță
397,Entfernung::N,distanza,depărtare
398,Entfernung::N,lontananza,distanță
399,Entfernung::N,lontananza,depărtare
400,Gegend::N,regione,regiune
401,Platz::N,posto,loc
402,Platz::N,spazio,loc
403,Ort::N,luogo,loc
404,Ort::N,località,loc
405,Seite::N,lato,latură
406,Seite::N,parte,latură
407,Mitte::N,mezzo,centru
408,Mitte::N,centro,centru
409,Gegenstand::N,oggetto,obiect
410,Sache::N,cosa,lucru
411,Sache::N,cosa,chestie
412,Rand::N,orlo,bordură
413,Rand::N,bordo,bordură
414,Kante::N,spìgolo,muchie
415,Kante::N,spìgolo,bordură
416,Ecke::N,canto,colț
417,Spitze::N,punta,vârf
418,Spitze::N,punta,creștet
419,Ende::N,capo,capăt
420,Ende::N,estremità,capăt
421,Loch::N,buco,gaură
422,Winkel::N,àngolo,colț
423,Muster::N,disegno,desen
424,Größe::N,taglia,mărime
425,Größe::N,grandezza,mărime
426,Länge::N,lunghezza,lungime
427,Höhe::N,altezza,înălțime
428,Gewicht::N,peso,greutate
429,Menge::N,quantità,cantitate
430,Haufen::N,cùmulo,grămadă
431,Haufen::N,mucchio,grămadă
432,Reihe::N,fila,șir
433,Reihe::N,fila,rând
434,Boot::N,barca,barcă
435,Boot::N,barca,luntre
436,Boot::N,battello,barcă
437,Boot::N,battello,luntre
438,Ruder::N,remo,vâslă
439,Ruder::N,remo,lopată
440,Schlitten::N,slitta,sanie
441,Ski::N,sci,schi
442,Lagerfeuer::N,falò,foc de tabără
443,Lagerfeuer::N,fuoco di bivacco,foc de tabără
444,Last::N,càrico,povară
445,Last::N,càrico,sarcină
446,Gang::N,andata,mers
447,Gang::N,andata,umblet
448,Schritt::N,passo,pas
449,Norden::N,nord,nord
450,Norden::N,nord,miazănoapte
451,Norden::N,settentrione,nord
452,Norden::N,settentrione,miazănoapte
453,Süden::N,sud,sud
454,Süden::N,sud,miazăzi
455,Süden::N,meridione,sud
456,Süden::N,meridione,miazăzi
457,Westen::N,òvest,apus
458,Westen::N,occidente,apus
459,Osten::N,est,est
460,Osten::N,est,răsărit
461,Osten::N,oriente,est
462,Osten::N,oriente,răsărit
463,Holz::N,legno,lemn
464,Brett::N,asse,scândură
465,Brett::N,tàvola,scândură
466,Platte::N,lastra,placă
467,Platte::N,piastra,placă
468,Stütze::N,supporto,proptea
469,Stange::N,sbarra,bară
470,Stange::N,sbarra,prăjină
471,Stange::N,pèrtica,bară
472,Stange::N,pèrtica,prăjină
473,Stock::N,verga,băț
474,Stock::N,verga,baston
475,Stock::N,bastone,băț
476,Stock::N,bastone,baston
477,Stock::N,bacchetta,băț
478,Stock::N,bacchetta,baston
479,Stab::N,asta,baston
480,Stab::N,asta,prăjină
481,Rohr::N,tubo,tub
482,Rohr::N,tubo,țeavă
483,Haus::N,casa,casă
484,Heim::N,casa,casă
485,Heim::N,casa,cămin
486,Ofen::N,stufa,sobă
487,Fußboden::N,pavimento,podea
488,Fußboden::N,pavimento,dușumea
489,Tisch::N,tàvolo,masă
490,Stuhl::N,sedia,scaun
491,Wiege::N,culla,leagăn
492,Bett::N,letto,pat
493,Regal::N,scaffale,rafturi
494,Kiste::N,cassa,ladă
495,Kiste::N,cassa,cutie
496,Fenster::N,finestra,fereastră
497,Tür::N,porta,ușă
498,Tor::N,portone,poartă
499,Zaun::N,recinto,gard
500,Dach::N,tetto,acoperiș
501,Leiter::N,scala,scară
502,Leiter::N,scala a pioli,scară
503,Besen::N,scopa,mătură
504,Spaten::N,vanga,cazma
505,Spaten::N,vanga,hârleț
506,Schaufel::N,pala,lopată
507,Gabel::N,forchetta,furculiță
508,Löffel::N,cucchiaio,lingură
509,Messer::N,coltello,cuțit
510,Nagel::N,chiodo,cui
511,Netz::N,rete,plasă
512,Haken::N,uncino,cârlig
513,Griff::N,mànico,mâner
514,Griff::N,maniglia,mâner
515,Schloss::N,serratura,lacăt
516,Bild::N,quadro,tablou
517,Bild::N,quadro,imagine
518,Bild::N,immàgine,tablou
519,Bild::N,immàgine,imagine
520,Figur::N,figura,chip
521,Figur::N,figura,figură
522,Puppe::N,bàmbola,păpușă
523,Beutel::N,borsa,pungă
524,Beutel::N,borsa,săculeț
525,Beutel::N,sacchetto,pungă
526,Beutel::N,sacchetto,săculeț
527,Bündel::N,fascio,mănunchi
528,Bündel::N,fagotto,mănunchi
529,Tasche::N,borsa,geantă
530,Eimer::N,secchio,găleată
531,Deckel::N,coperchio,capac
532,Geschirr::N,stoviglie,vase
533,Geschirr::N,stoviglie,tacâmuri
534,Sack::N,sacco,sac
535,Tasse::N,tazza,ceașcă
536,Topf::N,pèntola,oală
537,Kessel::N,paiolo,cazan
538,Kessel::N,paiolo,căldare
539,Kessel::N,calderone,cazan
540,Kessel::N,calderone,căldare
541,Essen::N,pasto,mâncare
542,Essen::N,mangiare,mâncare
543,Nahrung::N,cibo,hrană
544,Nahrung::N,cibo,aliment
545,Nahrung::N,alimento,hrană
546,Nahrung::N,alimento,aliment
547,Speise::N,piatto,bucate
548,Speise::N,piatto,fel de bucate
549,Fleisch::N,carne,carne
550,Getreide::N,cereali,cereale
551,Brei::N,purè,pireu
552,Brei::N,pappa,pireu
553,Brot::N,pane,pâine
554,Scheibe::N,fetta,felie
555,Scheibe::N,fetta,bucată
556,Scheibe::N,trancia,felie
557,Scheibe::N,trancia,bucată
558,Fett::N,grasso,untură
559,Fett::N,grasso,grăsime
560,Butter::N,burro,unt
561,Öl::N,olio,ulei
562,Salz::N,sale,sare
563,Suppe::N,zuppa,supă
564,Suppe::N,zuppa,ciorbă
565,Suppe::N,minestra,supă
566,Suppe::N,minestra,ciorbă
567,Honig::N,miele,miere
568,Milch::N,latte,lapte
569,Tee::N,tè,ceai
570,Leder::N,pelle,piele
571,Wolle::N,lana,lână
572,Stoff::N,panno,stofă
573,Stoff::N,tessuto,stofă
574,Nadel::N,ago,ac
575,Faden::N,filo,ață
576,Knopf::N,bottone,buton
577,Knoten::N,nodo,nod
578,Farbe::N,pittura,vopsea
579,Kleidung::N,vestiti,haine
580,Kleidung::N,vestiti,îmbrăcăminte
581,Kleidung::N,vestiario,haine
582,Kleidung::N,vestiario,îmbrăcăminte
583,Hemd::N,camicia,cămașă
584,Kragen::N,bàvero,guler
585,Kragen::N,colletto,guler
586,Ärmel::N,mànica,mânecă
587,Hose::N,calzoni,pantaloni
588,Gürtel::N,cintura,cordon
589,Mütze::N,berretto,șapcă
590,Schuh::N,scarpa,gheată
591,Stiefel::N,stivale,cizmă
592,Ring::N,anello,inel
593,Ring::N,anello,verigă
594,Band::N,nastro,panglică
595,Band::N,nastro,șiret
596,Band::N,fettuccia,panglică
597,Band::N,fettuccia,șiret
598,Kamm::N,pèttine,pieptene
599,Spiegel::N,specchio,oglindă
600,Riemen::N,cinghia,curea
601,Schnur::N,corda,funie
602,Schnur::N,corda,sfoară
603,Leine::N,guinzaglio,lesă
604,Leine::N,guinzaglio,curea
605,Decke::N,coperta,pătură
606,Kissen::N,cuscino,pernă
607,Kissen::N,guanciale,pernă
608,Tuch::N,fazzoletto,batic
609,Handtuch::N,asciugamano,prosop
610,Handtuch::N,asciugamano,ștergar
611,Kraft::N,forza,forță
612,Kraft::N,forza,putere
613,Stärke::N,forza,tărie
614,Stärke::N,forza,vigoare
615,Stärke::N,vigore,tărie
616,Stärke::N,vigore,vigoare
617,Stärke::N,fortezza,tărie
618,Stärke::N,fortezza,vigoare
619,Gesundheit::N,salute,sănătate
620,Krankheit::N,malattìa,boală
621,Krankheit::N,malattìa,maladie
622,Schmerz::N,dolore,durere
623,Wunde::N,piaga,rană
624,Wunde::N,ferita,rană
625,Fieber::N,febbre,febră
626,Arznei::N,fàrmaco,leac
627,Arznei::N,fàrmaco,medicament
628,Arznei::N,medicina,leac
629,Arznei::N,medicina,medicament
630,Brücke::N,ponte,pod
631,Brücke::N,ponte,punte
632,Brunnen::N,pozzo,puț
633,Weide::N,pàscolo,izlaz
634,Weide::N,pàscolo,pășune
635,Pfad::N,sentiero,cărare
636,Weg::N,via,drum
637,Weg::N,cammino,drum
638,Straße::N,strada,cale
639,Straße::N,strada,stradă
640,Dorf::N,paese,sat
641,Dorf::N,villaggio,sat
642,Stadt::N,città,oraș
643,Brief::N,lèttera,scrisoare
644,Buch::N,libro,carte
645,Buchstabe::N,lèttera,literă
646,Buchstabe::N,lèttera,caracter
647,Zeitung::N,giornale,ziar
648,Zeitung::N,giornale,gazetă
649,Leben::N,vita,viață
650,Tod::N,morte,moarte
651,Grab::N,tomba,groapă
652,Grab::N,tomba,mormânt
653,Grab::N,sepolcro,groapă
654,Grab::N,sepolcro,mormânt
655,Kirche::N,chiesa,biserică
656,Sünde::N,peccato,păcat
657,Gott::N,dio,zeu
658,Arbeiter::N,operaio,muncitor
659,Arbeiter::N,lavoratore,muncitor
660,Chef::N,capo,șef
661,Chef::N,padrone,șef
662,Meister::N,mastro,meșter
663,Meister::N,mastro,maestru
664,Meister::N,maestro,meșter
665,Meister::N,maestro,maestru
666,Arzt::N,mèdico,medic
667,Arzt::N,mèdico,doctor
668,Arzt::N,dottore,medic
669,Arzt::N,dottore,doctor
670,Lehrer::N,professore,profesor
671,Lehrer::N,professore,învățător
672,Geld::N,soldi,bani
673,Geld::N,soldi,parale
674,Geld::N,denaro,bani
675,Geld::N,denaro,parale
676,Geschäft::N,affare,treabă
677,Geschäft::N,affare,afacere
678,Geschäft::N,negozio,treabă
679,Geschäft::N,negozio,afacere
680,Laden::N,negozio,magazin
681,Laden::N,negozio,prăvălie
682,Preis::N,prezzo,preț
683,Ware::N,merce,marfă
684,Nutzen::N,ùtile,folos
685,Nutzen::N,ùtile,profit
686,Nutzen::N,profitto,folos
687,Nutzen::N,profitto,profit
688,Reichtum::N,ricchezza,avuție
689,Reichtum::N,ricchezza,bogăție
690,Welt::N,mondo,lume
691,Land::N,paese,țară
692,Staat::N,Stato,stat
693,König::N,re,rege
694,Macht::N,potere,putere
695,Macht::N,potere,putință
696,Grenze::N,confine,hotar
697,Grenze::N,confine,graniță
698,Grenze::N,confine,frontieră
699,Grenze::N,frontiera,hotar
700,Grenze::N,frontiera,graniță
701,Grenze::N,frontiera,frontieră
702,Krieg::N,guerra,război
703,Feind::N,nemico,dușman
704,Gewalt::N,violenza,violență
705,Kampf::N,lotta,luptă
706,Bogen[Waffe]::N,arco,arc
707,Pfeil::N,freccia,săgeată
708,Gewehr::N,fucile,armă
709,Gewehr::N,fucile,pușcă
710,Fehler::N,errore,eroare
711,Fehler::N,errore,greșeală
712,Fehler::N,sbaglio,eroare
713,Fehler::N,sbaglio,greșeală
714,Lüge::N,bugìa,minciună
715,Lüge::N,menzogna,minciună
716,Schaden::N,danno,daună
717,Schaden::N,danno,pagubă
718,Unglück::N,sfortuna,nenorocire
719,Schuld::N,colpa,vină
720,Alter::N,età,etate
721,Alter::N,età,vârstă
722,Schluss::N,fine,sfârșit
723,Zeit::N,tempo,timp
724,Zeit::N,tempo,vreme
725,Tag::N,giorno,zi
726,Tag::N,giornata,zi
727,Morgen::N,mattina,dimineață
728,Mittag::N,mezzogiorno,prânz
729,Mittag::N,mezzogiorno,amiază
730,Abend::N,sera,seară
731,Abend::N,serata,seară
732,Nacht::N,notte,noapte
733,Woche::N,settimana,săptămână
734,Monat::N,mese,lună
735,Jahr::N,anno,an
736,Frühling::N,primavera,primăvară
737,Sommer::N,estate,vară
738,Herbst::N,autunno,toamnă
739,Winter::N,inverno,iarnă
740,Januar::N,gennaio,ianuarie
741,Februar::N,febbraio,februarie
742,März::N,marzo,martie
743,April::N,aprile,aprilie
744,Mai::N,maggio,mai
745,Juni::N,giugno,iunie
746,Juli::N,luglio,iulie
747,August::N,agosto,august
748,September::N,settembre,septembrie
749,Oktober::N,ottobre,octombrie
750,November::N,novembre,noiembrie
751,Dezember::N,dicembre,decembrie
752,Montag::N,lunedì,luni
753,Dienstag::N,martedì,marți
754,Mittwoch::N,mercoledì,miercuri
755,Donnerstag::N,giovedì,joi
756,Freitag::N,venerdì,vineri
757,Samstag::N,sàbato,sâmbătă
758,Sonntag::N,domenica,duminică
759,groß::A,grande,mare
760,klein::A,pìccolo,mic
761,lang::A,lungo,lung
762,kurz::A,corto,scurt
763,breit::A,largo,lat
764,breit::A,largo,larg
765,schmal::A,stretto,strâmt
766,dicht::A,denso,des
767,dick[Gegenstand]::A,spesso,gros
768,dünn::A,sottile,subțire
769,fein::A,fine,fin
770,fein::A,fine,subțire
771,fein::A,delicato,fin
772,fein::A,delicato,subțire
773,fest::A,sodo,tare
774,fest::A,sodo,solid
775,fest::A,fisso,tare
776,fest::A,fisso,solid
777,flach::A,piano,șes
778,flach::A,piano,plan
779,flach::A,piatto,șes
780,flach::A,piatto,plan
781,glatt::A,liscio,lins
782,hart::A,duro,dur
783,weich::A,molle,moale
784,rund::A,rotondo,rotund
785,rund::A,rotondo,circular
786,spitz::A,aguzzo,ascuțit
787,spitz::A,appuntito,ascuțit
788,scharf::A,affilato,tăios
789,scharf::A,affilato,ascuțit
790,scharf::A,tagliente,tăios
791,scharf::A,tagliente,ascuțit
792,stumpf::A,smussato,tocit
793,schwer::A,pesante,greu
794,schön::A,bello,frumos
795,heiß::A,caldo,cald
796,heiß::A,caldo,fierbinte
797,heiß::A,bollente,cald
798,heiß::A,bollente,fierbinte
799,warm::A,caldo,cald
800,warm::A,caldo,fierbinte
801,kalt::A,freddo,rece
802,kühl::A,fresco,rece
803,kühl::A,fresco,răcoros
804,frisch::A,fresco,răcoros
805,frisch::A,fresco,proaspăt
806,feucht::A,ùmido,umed
807,feucht::A,ùmido,jilav
808,nass::A,bagnato,ud
809,trocken::A,secco,sec
810,trocken::A,secco,uscat
811,voll::A,pieno,plin
812,leer::A,vuoto,gol
813,offen::A,aperto,deschis
814,geschlossen::A,chiuso,închis
815,sauber::A,netto,curat
816,sauber::A,pulito,curat
817,schmutzig::A,sporco,murdar
818,schmutzig::A,sùdicio,murdar
819,roh::A,crudo,crud
820,reif::A,maturo,copt
821,lecker::A,ghiotto,gustos
822,lecker::A,squisito,gustos
823,süß::A,dolce,dulce
824,bitter::A,amaro,amar
825,sauer::A,aspro,acru
826,sauer::A,acerbo,acru
827,hell::A,chiaro,clar
828,hell::A,chiaro,luminos
829,dunkel::A,buio,obscur
830,dunkel::A,buio,întunecos
831,dunkel::A,oscuro,obscur
832,dunkel::A,oscuro,întunecos
833,schwarz::A,nero,negru
834,weiß::A,bianco,alb
835,rot::A,rosso,roșu
