,Concept_ID,no,nl
588,Dienstag::N,tirsdag,dinsdag
589,Mittwoch::N,onsdag,woensdag
590,Donnerstag::N,torsdag,donderdag
591,Freitag::N,fredag,vrijdag
592,Samstag::N,lørdag,zaterdag
593,Sonntag::N,søndag,zondag
594,groß::A,stor,groot
595,klein::A,liten,klein
596,lang::A,lang,lang
597,kurz::A,kort,kort
598,breit::A,bred,breed
599,schmal::A,smal,smal
600,dicht::A,tett,dicht
601,dick[Gegenstand]::A,tykk,dik
602,dünn::A,tynn,dun
603,fein::A,fin,fijn
604,fest::A,fast,vast
605,flach::A,flat,plat
606,glatt::A,glatt,glad
607,hart::A,hard,hard
608,weich::A,myk,week
609,weich::A,bløt,week
610,rund::A,rund,rond
611,spitz::A,spiss,spits
612,spitz::A,spiss,puntig
613,scharf::A,kvass,scherp
614,stumpf::A,stubb,stomp
615,schwer::A,tung,zwaar
616,schön::A,pen,mooi
617,schön::A,pen,fraai
618,schön::A,vakker,mooi
619,schön::A,vakker,fraai
620,heiß::A,het,heet
621,warm::A,varm,warm
622,kalt::A,kald,koud
623,kühl::A,kjølig,koel
624,frisch::A,fersk,fris
625,feucht::A,fuktig,vochtig
626,nass::A,våt,nat
627,trocken::A,tørr,droog
628,voll::A,full,vol
629,leer::A,tom,leeg
630,offen::A,åpen,open
631,geschlossen::A,lukket,gesloten
632,sauber::A,ren,net
633,sauber::A,ren,schoon
634,schmutzig::A,skitten,vuil
635,roh::A,rå,rauw
636,reif::A,moden,rijp
637,lecker::A,lekker,lekker
638,süß::A,søt,zoet
639,bitter::A,besk,bitter
640,bitter::A,bitter,bitter
641,sauer::A,sur,zuur
642,hell::A,lys,licht
643,hell::A,lys,helder
644,dunkel::A,mørk,donker
645,schwarz::A,svart,zwart
646,weiß::A,hvit,wit
647,rot::A,rød,rood
648,gelb::A,gul,geel
649,blau::A,blå,blauw
650,grün::A,grønn,groen
651,grau::A,grå,grijs
652,bunt::A,broket,bont
653,billig::A,billig,goedkoop
654,teuer::A,dyr,duur
655,wertvoll::A,verdifull,kostbaar
656,wertvoll::A,verdifull,waardevol
657,blind::A,blind,blind
658,taub::A,døv,doof
659,kräftig::A,kraftig,krachtig
660,stark::A,sterk,sterk
661,schwach::A,svak,zwak
662,fett::A,fet,vet
663,schlank::A,slank,slank
664,hübsch::A,pen,leuk
665,böse::A,slem,kwaad
666,dumm::A,dum,dom
667,faul::A,lat,lui
668,faul::A,doven,lui
669,fleißig::A,flittig,vlijtig
670,geizig::A,gjerrig,gierig
671,klug::A,klok,slim
672,klug::A,klok,schrander
673,klug::A,klok,verstandig
674,geschickt::A,hendig,handig
675,geschickt::A,hendig,vaardig
676,geschickt::A,skikket,handig
677,geschickt::A,skikket,vaardig
678,lieb::A,kjær,lief
679,lieb::A,snill,lief
680,lustig::A,morsom,vrolijk
681,sanft::A,blid,zacht
682,hungrig::A,sulten,hongerig
683,krank::A,syk,ziek
684,nackt::A,naken,naakt
685,traurig::A,sørgmodig,treurig
686,traurig::A,sørgmodig,bedroefd
687,lebendig::A,levende,levend
688,gut::A,god,goed
689,schlecht::A,dårlig,slecht
690,richtig::A,riktig,juist
691,schlimm::A,slem,erg
692,schlimm::A,slem,kwaad
693,wahr::A,sann,waar
694,alt::A,gammel,oud
695,neu::A,ny,nieuw
696,ehemalig::A,forhenværende,voormalig
697,alt[Lebewesen]::A,gammel,oud
698,jung::A,ung,jong
699,arm::A,fattig,arm
700,reich::A,rik,rijk
701,bekannt::A,kjent,bekend
702,berühmt::A,berømt,beroemd
703,fremd::A,fremmed,vreemd
704,verschieden::A,forskjellig,verscheiden
705,verschieden::A,forskjellig,verschillend
706,nah::A,nær,nabij
707,nah::A,nær,nabijgelegen
708,fern::A,fjern,ver
709,linker::A,venstre,linker
710,rechter::A,høyre,rechter
711,anderer::A,annen,andere
712,erster::A,første,eerste
713,zweiter::A,annen,tweede
714,dritter::A,tredje,derde
715,letzter::A,sist,laatste
716,allein::ADV,alene,alleen
717,auf einmal::ADV,med ett,ineens
718,auf einmal::ADV,med ett,tegelijk
719,zusammen::ADV,sammen,samen
720,zusammen::ADV,sammen,bijeen
721,lange::ADV,lenge,lang
722,plötzlich::ADV,plutselig,eensklaps
723,plötzlich::ADV,plutselig,plotsklaps
724,sofort::ADV,straks,terstond
725,sofort::ADV,straks,aanstonds
726,sofort::ADV,straks,onmiddelijk
727,später::ADV,senere,later
728,jetzt::ADV,nå,nu
729,jetzt::ADV,nå,nou
730,jetzt::ADV,nå,thans
731,heute::ADV,i dag,heden
732,heute::ADV,i dag,vandaag
733,morgen::ADV,i morgen,morgen
734,bald::ADV,snart,gauw
735,bald::ADV,snart,weldra
736,dann::ADV,så,dan
737,dann::ADV,så,toen
738,gestern::ADV,i går,gisteren
739,einst::ADV,engang,eens
740,damals::ADV,den gang,toen
741,damals::ADV,den gang,destijds
742,danach::ADV,deretter,daarna
743,vorher::ADV,før,vooraf
744,vorher::ADV,før,van tevoren
745,vorher::ADV,i forveien,vooraf
746,vorher::ADV,i forveien,van tevoren
747,zuerst::ADV,først,eerst
748,zuerst::ADV,først,het eerst
749,einmal::ADV,en gang,eens
750,einmal::ADV,en gang,eenmaal
751,manchmal::ADV,somme tider,soms
752,oft::ADV,ofte,vaak
753,oft::ADV,ofte,dikwijls
754,immer::ADV,alltid,altijd
755,niemals::ADV,aldri,nooit
756,hier::ADV,her,hier
757,hierhin::ADV,hit,hierheen
758,von hier::ADV,herfra,van hier
759,von hier::ADV,herfra,hiervandaan
760,dort::ADV,der,daar
761,dort::ADV,der,ginds
762,dorthin::ADV,dit,daarheen
763,geradeaus::ADV,rett fram,rechtuit
764,geradeaus::ADV,rett fram,rechtdoor
765,vorwärts::ADV,fram,vooruit
766,vorwärts::ADV,fram,voorwaarts
767,vorwärts::ADV,framover,vooruit
768,vorwärts::ADV,framover,voorwaarts
769,rückwärts::ADV,baklengs,achteruit
770,rückwärts::ADV,baklengs,achterwaarts
771,zurück::ADV,tilbake,terug
772,unten::ADV,nede,beneden
773,unten::ADV,nede,onderaan
774,hinab::ADV,ned,omlaag
775,hinab::ADV,ned,naar beneden
776,hinab::ADV,nedover,omlaag
777,hinab::ADV,nedover,naar beneden
778,oben::ADV,oppe,boven
779,oben::ADV,ovenpå,boven
780,hinauf::ADV,opp,omhoog
781,hinauf::ADV,opp,naar boven
782,hinauf::ADV,oppover,omhoog
783,hinauf::ADV,oppover,naar boven
784,überall::ADV,overalt,alom
785,überall::ADV,overalt,overal
786,nicht::ADV,ikke,niet
787,ein wenig::ADV,litt,wat
788,kaum::ADV,neppe,amper
789,kaum::ADV,neppe,nauwelijks
790,sehr::ADV,svært,erg
791,sehr::ADV,svært,zeer
792,so::ADV,så,zo
793,noch::ADV,enda,nog
794,nur::ADV,bare,maar
795,nur::ADV,bare,alleen
796,schon::ADV,alt,al
797,schon::ADV,alt,reeds
798,schon::ADV,allerede,al
799,schon::ADV,allerede,reeds
800,wieder::ADV,igjen,weer
801,wieder::ADV,igjen,terug
802,vergebens::ADV,forgjeves,vergeefs
803,vergebens::ADV,forgjeves,tevergeefs
804,vor::PRP,foran,voor
805,vor::PRP,utenfor,voor
806,hinter::PRP,bak,achter
807,hinter::PRP,bakom,achter
808,unter::PRP,under,onder
809,unter::PRP,under,beneden
810,durch::PRP,gjennom,door
811,durch::PRP,igjennom,door
812,neben::PRP,ved siden av,naast
813,zwischen::PRP,mellom,tussen
814,wegen::PRP,på grunn av,wegens
815,wegen::PRP,på grunn av,vanwege
816,dies::PRN,dette,dit
817,das::PRN,det,dat
818,alles::PRN,alt,alles
819,ich::PRN,jeg,ik
820,du::PRN,du,je
821,du::PRN,du,jij
822,er::PRN,han,hij
823,wir::PRN,vi,we
824,wir::PRN,vi,wij
825,ihr::PRN,dere,jullie
826,sie::PRN,de,ze
827,sie::PRN,de,zij
828,was::FPRN,hva,wat
829,wer::FPRN,hvem,wie
830,wo::FADV,hvor,waar
831,wohin::FADV,hvor ... hen,waarheen
832,wie::FADV,hvordan,hoe
833,warum::FADV,hvorfor,waarom
834,wieviel::FNUM,hvor mye,hoeveel
835,eins::NUM,en,één
836,eins::NUM,ett,één
837,zwei::NUM,to,twee
838,drei::NUM,tre,drie
839,vier::NUM,fire,vier
840,fünf::NUM,fem,vijf
841,sechs::NUM,seks,zes
842,sieben::NUM,sju,zeven
843,acht::NUM,åtte,acht
844,neun::NUM,ni,negen
845,zehn::NUM,ti,tien
846,elf::NUM,elleve,elf
847,zwölf::NUM,tolv,twaalf
848,zwanzig::NUM,tjue,twintig
849,dreißig::NUM,tretti,dertig
850,vierzig::NUM,førti,veertig
851,fünfzig::NUM,femti,vijftig
852,sechzig::NUM,seksti,zestig
853,siebzig::NUM,sytti,zeventig
854,achtzig::NUM,åtti,tachtig
855,neunzig::NUM,nitti,negentig
856,hundert::NUM,hundre,honderd
857,tausend::NUM,tusen,duizend
858,und::CNJ,og,en
859,oder::CNJ,eller,of
860,stehen::V,stå,staan
