,Concept_ID,ce,de
1017,sprechen::V,баха,sprechen
1018,sprechen::V,мотт бийца,sprechen
1019,reden::V,къамел дан,reden
1020,sich unterhalten::V,къамел дан,sich unterhalten
1021,fragen::V,хатта,fragen
1022,bitten::V,деха,bitten
1023,erzählen::V,дийца,erzählen
1024,mitteilen::V,хаам бан,mitteilen
1025,nennen::V,цӏе яккха,nennen
1026,rufen::V,кхайкха,rufen
1027,prahlen::V,куралла ян,prahlen
1028,prahlen::V,дозалла дан,prahlen
1029,übersetzen::V,гоч дан,übersetzen
1030,denken::V,ойла ян,denken
1031,glauben::V,теша,glauben
1032,bemerken::V,ган,bemerken
1033,erkennen::V,довза,erkennen
1034,begreifen::V,кхета,begreifen
1035,verstehen::V,кхета,verstehen
1036,lernen::V,деша,lernen
1037,wissen::V,хаа,wissen
1038,sich erinnern an::V,дагадан,sich erinnern an
1039,vergessen::V,дицдала,vergessen
1040,messen::V,дуста,messen
1041,zählen::V,дагардан,zählen
1042,rechnen::V,лара,rechnen
1043,lesen::V,еша,lesen
1044,malen::V,сурт дилла,malen
1045,zeichnen::V,сурт дилла,zeichnen
1046,schreiben::V,яздан,schreiben
1047,besitzen::V,доладан,besitzen
1048,kaufen::V,эца,kaufen
1049,verkaufen::V,дохка,verkaufen
1050,bezahlen::V,мах бала,bezahlen
1051,zahlen::V,мах бала,zahlen
1052,beherrschen::V,собаре хила,beherrschen
1053,ertragen::V,лан,ertragen
1054,ertragen::V,сатоха,ertragen
1055,ertragen::V,садетта,ertragen
1056,Schwarm::N,,Schwarm
1057,Schlinge::N,,Schlinge
1058,Art::N,,Art
1059,Entfernung::N,,Entfernung
1060,Griff::N,,Griff
1061,Figur::N,,Figur
1062,Bogen[Waffe]::N,,Bogen
1063,so::ADV,,so
1064,abnehmen::V,,abnehmen
1065,sausen::V,,sausen
1066,wenden::V,,wenden
1067,hacken::V,,hacken
1068,stricken::V,,stricken
1069,anziehen::V,,anziehen
