,Concept_ID,ml,ab
106,Abhang::N,ചരിവ്,анаара
107,Quelle::N,ഉറവിടം,аҵҵырҭа
108,Bach::N,അരുവി,акəараҷҷа
109,Fluss::N,നദി,аӡиас
110,Ufer::N,തീരം,ахықə
111,Küste::N,കടൽത്തീരം,ахықə
112,Festland::N,കര,абарра
113,Meer::N,കടൽ,амшын
114,Bucht::N,ഉൾക്കടല്,аӡбжьахала
115,Insel::N,ദ്വീപ്,адгьылбжьаха
116,Blume::N,പൂവ്,ашəҭ
117,Gras::N,പുല്ല്,аҳасакьын
118,Wurzel::N,വേര്,адац
119,Baum::N,മരം,аҵла
120,Stamm::N,തായ്ത്തടി,ашьапы
121,Rinde::N,പട്ട,ацəа
122,Ast::N,ശാഖ,амахə
123,Ast::N,ശാഖ,амахəҭа
124,Zweig::N,ശാഖ,амахə
125,Zweig::N,ശാഖ,амахəҭа
126,Blatt::N,ഇല,абҕьы
127,Birke::N,പൂവരശ്,аҵааҵла
128,Kiefer[Baum]::N,പൈൻമരം,амза
129,Weide[Baum]::N,വില്ലോ,аҧслыш
130,Tanne::N,ദേവദാരു,аҧсаӡ
131,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,атəыҩа
132,Feder::N,തൂവൽ,ахӡы
133,Fell::N,മൃദുരോമം,ацəа
134,Flügel::N,ചിറക്,амҵəыжəа
135,Klaue::N,നഖം,ашьапхыц
136,Kralle::N,നഖം,
137,Schwanz::N,വാൽ,аҵыхəа
138,Ei::N,മുട്ട,акəтаӷь
139,Nest::N,കൂട്,аҭра
140,Nest::N,കൂട്,аҵысҭра
141,Bau::N,മാളം,аҭыҩра
142,Tier::N,മൃഗം,аҧстəы
143,Tier::N,മൃഗം,агыгшəыг
144,Herde::N,കൂട്ടം,агəарҭа
145,Kuh::N,പശു,ажə
146,Bulle::N,കാള,ацə
147,Pferd::N,കുതിര,аҽы
148,Schaf::N,ആട്,ауаса
149,Schwein::N,പന്നി,аҳəа
150,Hund::N,നായ്,ала
151,Katze::N,പൂച്ച,ацгəы
152,Bär::N,കരടി,амшə
153,Eichhörnchen::N,അണ്ണാൻ,аеш
154,Elch::N,കടമാന്,аҽаҩа
155,Fuchs::N,കുറുക്കൻ,абгахəыҷы
156,Hase::N,മുയൽ,ажьа
157,Maus::N,ചുണ്ടലി,аҳəынаҧ
158,Wolf::N,ചെന്നായ,абгаду
159,Vogel::N,പക്ഷി,аҧсаатə
160,Schwarm::N,കൂട്ടം,
161,Huhn::N,കോഴി,акəты
162,Hahn::N,പൂവൻകോഴി,арбаҕь
163,Gans::N,അരയന്നം,аҟыз
164,Adler::N,കഴുകൻ,ауарба
165,Ente::N,താറാവ്,акəата
166,Eule::N,മൂങ്ങ,аты
167,Kranich::N,കൊക്ക്,апҟа
168,Krähe::N,കാക്ക,аҟəараан
169,Kuckuck::N,കുയിൽ,акəыкəу
170,Schwan::N,അരയന്നം,агьад
171,Fisch::N,മത്സ്യം,аҧсыӡ
172,Barsch::N,ഒരിനം മത്സ്യം,ацəыбла
173,Hecht::N,ഒരു മത്സ്യം,ахиаала
174,Schlange[Tier]::N,പാമ്പ്,амаҭ
175,Wurm::N,വിര,ахəа
176,Wurm::N,വിര,ахəац
177,Spinne::N,ചിലന്തി,абызкаҭаҳа
178,Ameise::N,ഉറുമ്പ്,ашышкамс
179,Laus::N,പേന്,аҵа
180,Mücke::N,മശകം,акəыбры
181,Fliege::N,ഈച്ച,амҵ
182,Schmetterling::N,ചിത്രശലഭം,аҧарҧалыкь
183,Beere::N,ബെറി,аргуц
184,Apfel::N,ആപ്പിൾ,аҵəа
185,Pilz::N,കൂൺ,акəкəбаа
186,Zwiebel::N,സവാള,аџьымшьы
187,Zwiebel::N,സവാള,аџьымшьхы
188,Saat::N,വിത്ത്,ажəла
189,Korn::N,ധാന്യം,арыц
190,Heu::N,വയ്ക്കോൽ,аҭəа
191,Schale::N,തൊലി,ацəа
192,Grube::N,കുഴി,ажра
193,Grube::N,കുഴി,атыша
194,Falle::N,കെണി,арыҧҟьа
195,Schlinge::N,കുടുക്ക്,аҟəараҟəантə
196,Spur::N,ചുവട്,ашьҭа
197,Asche::N,ചാരം,ахəа
198,Dreck::N,അഴുക്ക്,аҳəынҵəа
199,Dreck::N,അഴുക്ക്,аҟьамсар
200,Eisen::N,ഇരുമ്പ്,аиха
201,Gold::N,സ്വർണ്ണം,ахьы
202,Silber::N,വെള്ളി,аразны
203,Kohle::N,കൽക്കരി,арацəа
204,Glas::N,ഗ്ലാസ്,асаркьа
205,Lehm::N,കളിമണ്ണ്,анышəаҧшь
206,Sand::N,മണൽ,аҧслымӡ
207,Mensch::N,മനുഷ്യർ,ауаҩы
208,Mann::N,പുരുഷൻ,ахаҵа
209,Frau::N,സ്ത്രീ,аҧҳəыс
210,Kind::N,കുഞ്ഞ്,ахəыҷы
211,Junge::N,ആൺകുട്ടി,аҷкəын
212,Junge::N,ആൺകുട്ടി,ахаҵарҧыс
213,Mädchen::N,പെൺകുട്ടി,аӡӷаб
214,Familie::N,കുടുംബം,аҭаацəа
215,Großvater::N,അപ്പൂപ്പൻ,абду
216,Großmutter::N,അമ്മുമ്മ,анду
217,Eltern::N,മാതാപിതാക്കള്,ани аби
218,Vater::N,അച്ഛൻ,аб
219,Mutter::N,അമ്മ,ан
220,Sohn::N,മകൻ,аҧа
221,Tochter::N,മകൾ,аҧҳа
222,Bruder::N,ചേട്ടൻ,аиашьа
223,Bruder::N,അനിയൻ,аиашьа
224,Schwester::N,ചേച്ചി,Аҳəшьа
225,Schwester::N,അനിയത്തി,Аҳəшьа
226,Onkel::N,അമ്മാവൻ,абиашьа
227,Onkel::N,അമ്മാവൻ,аншьа
228,Tante::N,മാമി,абиаҳəшьа
229,Ehemann::N,ഭർത്താവ്,ахаҵа
230,Ehemann::N,ഭർത്താവ്,аҧшəма
231,Ehefrau::N,ഭാര്യ,аҧҳəыс
232,Freude::N,ആഹ്ലാദം,агəырӷьара
233,Gelächter::N,ചിരിയുടെ ശബ്ദം,ачча
234,Gelächter::N,ചിരിയുടെ ശബ്ദം,аччара
235,Glück::N,സന്തോഷം,аразҟы
236,Glück::N,സന്തുഷ്ടി,аразҟы
237,Kummer::N,ശോകം,агəырҩа
238,Wunsch::N,ആഗ്രഹം,агəхəтəы
239,Wunsch::N,ആഗ്രഹം,аҭахра
240,Lust::N,ആഗ്രഹം,агəазыҳəара
241,Geist::N,ചുറുചുറുക്ക്,аҧсы
242,Gedanke::N,ചിന്ത,ахəыцырҭа
243,Gedächtnis::N,ഓർമ്മശക്തി,агəынкылара
244,Verstand::N,മനസ്സ്,ахшыҩ
245,Sinn::N,അർത്ഥം,аҵакы
246,Grund::N,കാരണം,амзыз
247,Wahrheit::N,സത്യം,аиаша
248,Gespräch::N,സല്ലാപം,аиҿцәажәара
249,Märchen::N,യക്ഷിക്കഥ,алакə
250,Erzählung::N,കഥ,ажәабжь
251,Nachricht::N,സന്ദേശം,адырраҭара
252,Neuigkeit::N,വാർത്ത,ажәабжь ҿыц
253,Name::N,പേര്,ахьӡ
254,Rätsel::N,പ്രഹേളിക,ацуфара
255,Rede::N,സംസാരം,ажәа
256,Sprache::N,ഭാഷ,абызшəа
257,Stimme::N,സ്വരം,абжьы
258,Wort::N,വാക്ക്,ажәа
259,Zeichen::N,സംജ്ഞ,адырга
260,Ruf::N,വിളി,аҿҭы
261,Lärm::N,ആരവം,ашьҭыбжь
262,Laut::N,ശബ്ദം,ашьҭыбжь
263,Ton::N,സ്വരഭേദം,атон
264,Lied::N,പാട്ട്,ашəа
265,Ruhe::N,നിശ്ചലത,аҭынчра
266,Leute::N,ജനങ്ങൾ,ауаа
267,Volk::N,രാഷ്ടം,ажəлар
268,Arbeit::N,ജോലി,аусура
269,Gast::N,അതിലി,асас
270,Geschenk::N,സമ്മാനം,аҳамҭа
271,Geschenk::N,സമ്മാനം,аҿанҵа
272,Spiel::N,കളി,ахəмарра
273,Gesellschaft::N,കൂട്ടായ്മ,агəыҧ
274,Hilfe::N,സഹായം,ацхыраара
275,Freund::N,സുഹൃത്ത്,аҩыза
276,Kamerad::N,കൂട്ടാളി,Аҧхнагьла
277,Angelegenheit::N,കാര്യം,аус
278,Anzahl::N,എണ്ണം,ахыҧхьаӡара
279,Art::N,തരം,ахкы
280,Stück::N,കഷണം,аҽыҭ
281,Teil::N,ഭാഗം,ахəҭа
282,Hälfte::N,പകുതി,абжа
283,Kreis::N,വൃത്തം,агьагьа
284,Kreuz::N,കുരിശടയാളം,аџьар
285,Linie::N,വര,аицтәар
286,Linie::N,രേഖ,аицтәар
287,Strich::N,പക്ഷാഘാതം,ацəаҳəа
288,Abstand::N,വിടവ്,абжьара
289,Entfernung::N,അകലം,абжьара
290,Gegend::N,പ്രദേശം,аҭыҧ
291,Platz::N,ഇടം,аҭыҧ
292,Ort::N,സ്ഥലം,аҭыҧ
293,Seite::N,വശം,аган
294,Mitte::N,മധ്യസ്ഥാനം,агəҭа
295,Gegenstand::N,സാധനം,амаҭəар
296,Sache::N,വസ്തു,
297,Rand::N,തൊങ്ങൽ,аҵкар
298,Kante::N,അറ്റം,авардым
299,Ecke::N,മൂല,акəакь
300,Spitze::N,അഗ്രം,аҧынҵа
301,Ende::N,അവസാനം,анаӡара
302,Loch::N,ദ്വാരം,акылҵəара
303,Winkel::N,കോൺ,агҿаҩра
304,Winkel::N,കോൺ,акəындхə
305,Winkel::N,കോൺ,акəакь
306,Muster::N,ക്രമം,аҟҟа
307,Größe::N,വലുപ്പം,изаҟароу
308,Länge::N,നീളം,аура
309,Höhe::N,ഉയരം,агылара
310,Gewicht::N,കട്ടി,акапан
311,Menge::N,അളവ്,
312,Haufen::N,കൂമ്പാരം,ачаҟəа
313,Reihe::N,വരി,ацəаҳəа
314,Boot::N,ബോട്ട്,анышь
315,Ruder::N,പങ്കായം,ажəҩа
316,Schlitten::N,ഉരുളില്ലാവണ്ടി,ашəаҩауардын
317,Ski::N,ഹിമപാദുകം,ашəаҩа
318,Ski::N,ഹിമപാദുകം,ашьахаха
319,Lagerfeuer::N,തീ,еиқуу амца
320,Last::N,ഭാരം,ахьанҭара
321,Gang::N,നടത്തം,аныҟəара
322,Schritt::N,ചുവട്,ашьаҿа
323,Norden::N,വടക്ക്,аҩада
324,Süden::N,തെക്ക്,алада
325,Westen::N,പടിഞ്ഞാറ്,амраҭашəара
326,Osten::N,കിഴക്ക്,амрагылара
327,Holz::N,തടി,амҿымаҭəахə
328,Brett::N,ബോർഡ്,аӷəы
329,Platte::N,തകിട്,ахаҳәцәы
330,Stütze::N,താങ്ങ്,аҵаргəа
331,Stütze::N,താങ്ങ്,агəышьаҟа
332,Stange::N,കമ്പ്,акьат
333,Stock::N,വടി,алаба
334,Stab::N,കുറുവടി,акьат
335,Rohr::N,കുഴൽ,абыкь
336,Haus::N,വീട്,аҩны
337,Heim::N,വീട്,аҭаацəа
338,Ofen::N,സ്റ്റൌ,аҳақə
339,Ofen::N,സ്റ്റൌ,ауаџьаҟ
340,Ofen::N,സ്റ്റൌ,афрына
341,Fußboden::N,തറ,адашьма
342,Tisch::N,മേശ,аишәа
343,Stuhl::N,കസേര,аҟəардə
344,Wiege::N,തൊട്ടിൽ,агара
345,Bett::N,കിടക്ക,акаруаҭ
346,Regal::N,ഷെൽഫ്,акыӷəра
347,Kiste::N,പെട്ടി,аидчаҧала
348,Fenster::N,ജനൽ,аҧенџьыр
349,Tür::N,വാതിൽ,ашə
350,Tor::N,കവാടം,агəашə
351,Zaun::N,വേലി,аанда
352,Dach::N,മേൽക്കുര,ахыб
353,Leiter::N,ഏണി,амардуан
354,Besen::N,ചൂല്,аҧссага
355,Spaten::N,തൂമ്പ,ажыга
356,Schaufel::N,തൂമ്പ,аҭəарӷəы
357,Gabel::N,മുൾക്കത്തി,ачқьыҧ
358,Löffel::N,സ്പൂൺ,амҳаҵə
359,Messer::N,കത്തി,аҳəызба
360,Nagel::N,ആണി,аҵəымӷ
361,Netz::N,വല,акаҭа
362,Haken::N,കൊളുത്ത്,аҵəаҳə
363,Griff::N,കൈപ്പിടി,амаа
364,Schloss::N,പൂട്ട്,асаҧаҭ
365,Bild::N,ചിത്രം,асахьа
366,Figur::N,കണക്ക്,афигура
367,Puppe::N,പാവ,акьанџьа
368,Beutel::N,ബാഗ്,асакь
369,Bündel::N,കെട്ട്,аҿаҳəара
370,Tasche::N,ബാഗ്,арҭмаҟ
371,Eimer::N,ബക്കറ്റ്,аведра
372,Deckel::N,ഉറ,ахҩа
373,Geschirr::N,പിഞ്ഞാണം,ачысмаҭəа
374,Sack::N,ചാക്ക്,асакь
375,Tasse::N,കപ്പ്,аҵəца
376,Topf::N,പാത്രം,акаструлиа
377,Kessel::N,കെറ്റ്ല്,ачуан
378,Essen::N,ആഹാരസമയം,
379,Nahrung::N,ഭക്ഷണം,афатə
380,Speise::N,ഡിഷ്,афатə
381,Fleisch::N,മാംസം,акəац
382,Getreide::N,ചോളം,ачакуа
383,Brei::N,കഞ്ഞി,ақашь
384,Brot::N,റോട്ടി,ача
385,Scheibe::N,തുണ്ട്,аҽыҭ
386,Scheibe::N,തുണ്ട്,аҿаҵа
387,Fett::N,കൊഴുപ്പ്,ашша
388,Butter::N,വെണ്ണ,ахəша
389,Öl::N,എണ്ണ,азеҭ
390,Salz::N,ഉപ്പ്,аџьыка
391,Suppe::N,സൂപ്പ്,асуҧ
392,Honig::N,തേൻ,ацха
393,Milch::N,പാൽ,ахш
394,Tee::N,ചായ,ачаи
395,Leder::N,തുകൽ,ацəа
396,Wolle::N,കമ്പിളി,аласа
397,Stoff::N,തുണി,Аба
398,Nadel::N,സൂചി,агəыр
399,Faden::N,നൂല്,арахəыц
400,Knopf::N,ബട്ടൺ,аҳəынҵəра
401,Knoten::N,കുരുക്ക്,аиқəҳəала
402,Farbe::N,പെയിൻറ്,ашəыга
403,Kleidung::N,വസ്ത്രങ്ങൾ,амаҭəа
404,Hemd::N,ഷർട്ട്,акьаҿ
405,Kragen::N,കുപ്പായക്കഴുത്ത്,ахəда
406,Ärmel::N,കുപ്പായക്കൈ,амаӷра
407,Hose::N,ട്രൌസർ,аиқəа
408,Gürtel::N,ബെൽറ്റ്,амаҟа
409,Mütze::N,തൊപ്പി,ахылҧа
410,Schuh::N,ഷൂ,аимаа
411,Stiefel::N,ബൂട്ട്,амагə
412,Ring::N,മോതിരം,амацəаз
413,Band::N,റിബൺ,алента
414,Kamm::N,ചീപ്പ്,ахҳəа
415,Spiegel::N,കണ്ണാടി,асаркьа
416,Riemen::N,സ്ട്രാപ്പ്,аа
417,Schnur::N,ചരട്,ашаха
418,Leine::N,കെട്ടാനുള്ള തോൽവാർ,аҕура
419,Decke::N,പുതപ്പ്,ахыза
420,Kissen::N,തലയിണ,ахчы
421,Tuch::N,സ്കാർഫ്,акасы
422,Handtuch::N,തോർത്ത്,ампахьшьы
423,Kraft::N,ശക്തി,амч
424,Stärke::N,ശക്തി,амч
425,Gesundheit::N,ആരോഗ്യം,агəабзиара
426,Krankheit::N,അസുഖം,ачымазара
427,Schmerz::N,വേദന,ахьаа
428,Wunde::N,മുറിവ്,ахəра
429,Fieber::N,പനി,ашоура
430,Arznei::N,മരുന്ന്,ахəшə
431,Brücke::N,പാലം,ацҳа
432,Brunnen::N,കിണർ,аҵыџь
433,Weide::N,മേച്ചൽ,аҳəырҭа
434,Pfad::N,വഴി,амхəасҭа
435,Weg::N,വഴി,амҩа
436,Straße::N,റോഡ്,амҩа
437,Dorf::N,ഗ്രാമം,ақыҭа
438,Stadt::N,നഗരം,ақалақь
439,Brief::N,കത്ത്,ашəҟəы
440,Buch::N,പുസ്തകം,ашəҟəы
441,Buchstabe::N,അക്ഷരം,анбан
442,Zeitung::N,വർത്തമാനപത്രം,агазеҭ
443,Leben::N,ജീവൻ,аҧсҭазаара
444,Tod::N,മരണം,аҧсра
445,Grab::N,ശവക്കുഴി,анышəынҭра
446,Kirche::N,പള്ളി,ауахəама
447,Sünde::N,പാപം,агəнаҳа
448,Gott::N,ദൈവം,анцəа
449,Arbeiter::N,ജോലിക്കാരൻ,аусуҩ
450,Chef::N,മേധാവി,Аиҳабы
451,Meister::N,യജമാനൻ,аҟаза
452,Arzt::N,ഡോക്ടർ,аҳақьым
453,Lehrer::N,അധ്യാപകൻ,арҵаҩы
454,Geld::N,പണം,аҧара
455,Geschäft::N,ബിസിനസ്,
456,Laden::N,കട,амагазин
457,Preis::N,വില,ахə
458,Ware::N,ചരക്ക്,атауар
459,Nutzen::N,ലാഭം,ақьар
460,Reichtum::N,ധനം,абеиара
461,Welt::N,ലോകം,адунеи
462,Land::N,രാജ്യം,атəыла
463,Staat::N,രാജ്യം,аҳəынҭқарра
464,König::N,രാജാവ്,акрал
465,Macht::N,അധികാരം,амчра
466,Grenze::N,അതിർത്തി,аҳəаа
467,Krieg::N,യുദ്ധം,аибашьра
468,Feind::N,ശത്രു,Аҕа
469,Gewalt::N,അക്രമം,ақəымчра
470,Kampf::N,പോരാട്ടം,ақəҧара
471,Bogen[Waffe]::N,വില്ല്,ахыц
472,Pfeil::N,അമ്പ്,ахəымпал
473,Gewehr::N,തോക്ക്,ашəақь
474,Fehler::N,പിശക്,агха
475,Lüge::N,കള്ളം,амц
476,Schaden::N,കേടുപാട്,аҧырхага
477,Unglück::N,ദൌർഭാഗ്യം,арыцҳара
478,Schuld::N,തെറ്റ്,ахара
479,Alter::N,വയസ്സ്,ақəра
480,Schluss::N,നിഗമനം,анҵəамҭа
481,Zeit::N,സമയം,аамта
482,Tag::N,ദിവസം,амш
483,Morgen::N,പ്രഭാതം,ашара
484,Morgen::N,പ്രഭാതം,ашьыбжь
485,Mittag::N,ഉച്ച,шьыбжьон
486,Abend::N,സായാഹ്നം,ахəылҧаз
487,Abend::N,സായാഹ്നം,ахəлбыҽха
488,Nacht::N,രാത്രി,аҵх
489,Woche::N,ആഴ്ച,амчыбжь
490,Monat::N,മാസം,
491,Jahr::N,വർഷം,
492,Frühling::N,വസന്തം,ааҕын
493,Sommer::N,വേനൽ,аҧхын
494,Herbst::N,ശരത്കാലം,ҭагалан
495,Herbst::N,ശരത്കാലം,хкаарачан
496,Winter::N,ശൈത്യം,аӡын
497,Januar::N,ജനുവരി,ианвар
498,Februar::N,ഫെബ്രുവരി,февраль
499,März::N,മാർച്ച്,март
500,April::N,ഏപ്രിൾ മാസം,апрель
501,Mai::N,മെയ് മാസം,маи
502,Juni::N,ജൂൺ,иуун
503,Juli::N,ജൂലൈ,иууль
504,August::N,ആഗസ്റ്റ്,август
505,September::N,സെപ്തംബർ,сентиабр
506,Oktober::N,ഒക്ടോബർ,октиабр
507,November::N,നവംബർ,ноиабр
508,Dezember::N,ഡിസംബർ,декабр
509,Montag::N,തിങ്കളാഴ്ച,ашəахьа
510,Dienstag::N,ചൊവ്വ,аҩаша
511,Mittwoch::N,ബുധനാഴ്ച,ахаша
512,Donnerstag::N,വ്യാഴാഴ്ച,аҧшьаша
513,Freitag::N,വെള്ളിയാഴ്ച,ахəаша
514,Samstag::N,ശനിയാഴ്ച,асабша
515,Sonntag::N,ഞായറാഴ്ച,амҽыша
516,groß::A,വലിയ,аду
517,klein::A,ചെറിയ,амаҷ
518,lang::A,നീണ്ട,ахəхəа
519,kurz::A,ഹ്രസ്വമായ,акьаҿ
520,breit::A,വിശാലമായ,аиужь
521,breit::A,വിശാലമായ,аиҵых
522,schmal::A,ഇടുങ്ങിയ,аҭшəа
523,dicht::A,നിബിഡമായ,аилач
524,dick[Gegenstand]::A,തടിച്ച,ажəпа
525,dünn::A,മെലിഞ്ഞ,
526,fein::A,നേർത്ത,апа
527,fein::A,നേർത്ത,аҵаӷа
528,fein::A,നേർത്ത,аӡа
529,fest::A,ഉറപ്പുള്ള,аҟаца
530,fest::A,ഉറപ്പുള്ള,аӷəӷəаҟаца
531,flach::A,പരന്ന,ақəаҟьа
532,flach::A,പരന്ന,аҧаҟьа
533,glatt::A,മിനുസമുള്ള,аимаҩзы
534,hart::A,കട്ടിയുള്ള,акьакьа
535,weich::A,മൃദുവായ,атата
536,rund::A,വട്ടത്തിലുള്ള,акəмпыл
537,spitz::A,മുനയുള്ള,аҵар
538,scharf::A,മൂർച്ചയുള്ള,аҵар
539,stumpf::A,തുറന്നടിക്കുന്ന,ацагə
540,schwer::A,ഭാരമുള്ള,ахьанҭа
541,schön::A,മനോഹരമായ,аҧшӡа
542,heiß::A,ചൂടുള്ള,ашы
543,warm::A,ചൂടുള്ള,аҧха
544,kalt::A,തണുത്ത,ахьшəашəа
545,kühl::A,തണുപ്പുള്ള,ахьшəашəа
546,kühl::A,തണുപ്പുള്ള,ицәыхьшәашәоу
547,frisch::A,ശുദ്ധമായ,цқьа
548,feucht::A,ഈറനുള്ള,ацəаак
549,nass::A,നനഞ്ഞ,абааӡа
550,trocken::A,വരണ്ട,Аба
551,trocken::A,വരണ്ട,аҩа
552,voll::A,നിറയെ,азна
553,leer::A,ഒഴിഞ്ഞ,аҭацəы
554,offen::A,തുറന്ന,аарта
555,geschlossen::A,അടച്ച,ихҩоу
556,geschlossen::A,അടച്ച,иаркыу
557,sauber::A,വൃത്തിയുള്ള,ацқьа
558,schmutzig::A,അഴുക്കുനിറഞ്ഞ,аҟьашь
559,roh::A,അസംസ്കൃതമായ,
560,reif::A,പഴുത്ത,Арҭ
561,reif::A,പഴുത്ത,аҟала
562,reif::A,പഴുത്ത,иҟалахьоу
563,lecker::A,രുചികരമായ,ахаа
564,süß::A,മധുരമുള്ള,азла
565,bitter::A,കടുത്ത,аша
566,sauer::A,പുളിപ്പുള്ള,аҵəҵəы
567,hell::A,ജ്വലിക്കുന്ന,алаша
568,dunkel::A,ഇരുണ്ട,алашьца
569,schwarz::A,കറുത്ത,аиқуаҵәа
570,weiß::A,വെളുത്ത,ашкəакəа
571,rot::A,ചുവന്ന,аҟаҧшь
572,gelb::A,മഞ്ഞനിറമായ,аҩеижь
573,blau::A,നീലനിറമുള്ള,аҽҵәа
574,grün::A,പച്ചനിറമുള്ള,ашьацҧшҭəала
575,grün::A,പച്ചനിറമുള്ള,аеҵəа
576,grau::A,ചാരനിറത്തിലുള്ള,ацəыш
577,bunt::A,വർണ്ണശബളമായ,Аилыҕраа
578,bunt::A,വർണ്ണശബളമായ,аҕраҷкəын
579,billig::A,വിലകുറഞ്ഞ,амариа
580,teuer::A,ചെലവേറിയ,амҩан
581,wertvoll::A,വിലപിടിപ്പുള്ള,кыр иаҕсоу
582,wertvoll::A,വിലപിടിപ്പുള്ള,акыр иаҕсоу
583,blind::A,അന്ധനായ,алашə
584,taub::A,കേൾവിക്കുറവുള്ള,адагəа
585,kräftig::A,ശക്തിയുള്ള,аӷəӷəа
586,stark::A,ബലമുള്ള,абаҟа
