,Concept_ID,bg,uk
63,Schlaf::N,сън,сплячка
64,Traum::N,сън,сон
65,Himmel::N,небе,небо
66,Sonne::N,слънце,сонце
67,Mond::N,луна,місяць
68,Mond::N,месец,місяць
69,Stern::N,звезда,зірка
70,Luft::N,въздух,повітря
71,Wind::N,вятър,вітер
72,Welle::N,вълна,хвиля
73,Wasser::N,вода,вода
74,Stein::N,камък,камінь
75,Boden::N,земя,ґрунт
76,Boden::N,почва,ґрунт
77,Erde::N,земя,земля
78,Erde::N,почва,земля
79,Staub::N,прах,пил
80,Rauch::N,дим,дим
81,Rauch::N,пушек,дим
82,Funke::N,искра,іскра
83,Feuer::N,огън,вогонь
84,Licht::N,светлина,світло
85,Schatten::N,сянка,тінь
86,Wetter::N,време,погода
87,Nebel::N,мъгла,туман
88,Wolke::N,облак,хмара
89,Regen::N,дъжд,дощ
90,Schnee::N,сняг,сніг
91,Eis::N,лед,лід
92,Frost::N,мраз,мороз
93,Kälte::N,студ,холод
94,Hitze::N,жега,жар
95,Hitze::N,горещина,жар
96,Raureif::N,скреж,іній
97,Raureif::N,слана,іній
98,Regenbogen::N,дъга,райдуга
99,Donner::N,гръм,грім
100,Strömung::N,течение,струмина
101,Tropfen::N,капка,крапля
102,Schaum::N,пяна,піна
103,Schmutz::N,кал,бруд
104,Schmutz::N,мръсотия,бруд
105,See::N,езеро,озеро
106,Sumpf::N,блато,драговина
107,Moor::N,мочурище,болото
108,Wiese::N,ливада,луг
109,Wiese::N,ливада,лука
110,Wald::N,гора,ліс
111,Hügel::N,рид,горб
112,Hügel::N,хълм,горб
113,Anhöhe::N,могила,височина
114,Anhöhe::N,възвишение,височина
115,Berg::N,планина,гора
116,Gipfel::N,връх,вершина
117,Höhle::N,пещера,печера
118,Abhang::N,склон,схил
119,Abhang::N,стръмнина,схил
120,Quelle::N,извор,джерело
121,Bach::N,поток,струмок
122,Fluss::N,река,річка
123,Ufer::N,бряг,берег
124,Küste::N,бряг,узбережжя
125,Küste::N,крайбрежие,узбережжя
126,Festland::N,суша,суша
127,Meer::N,море,море
128,Bucht::N,залив,бухта
129,Bucht::N,залив,затока
130,Insel::N,остров,острів
131,Blume::N,цвете,квітка
132,Gras::N,трева,трава
133,Wurzel::N,корен,корінь
134,Baum::N,дърво,дерево
135,Stamm::N,стъбло,стовбур
136,Rinde::N,кора,кора
137,Ast::N,клон,гілка
138,Zweig::N,клон,галузь
139,Blatt::N,лист,лист
140,Birke::N,бреза,береза
141,Kiefer[Baum]::N,бор,сосна
142,Weide[Baum]::N,върба,верба
143,Tanne::N,ела,ялиця
144,Horn::N,рог,ріг
145,Feder::N,перо,перо
146,Fell::N,кожа,хутро
147,Flügel::N,крило,крило
148,Klaue::N,нокът,кіготь
149,Kralle::N,нокът,лапа
150,Schwanz::N,опашка,хвіст
151,Ei::N,яйце,яйце
152,Nest::N,гнездо,гніздо
153,Bau::N,дупка,лігво
154,Tier::N,животно,тварина
155,Herde::N,стадо,стадо
156,Kuh::N,крава,корова
157,Bulle::N,бик,бик
158,Bulle::N,бик,бугай
159,Pferd::N,кон,кінь
160,Schaf::N,овца,вівця
161,Schwein::N,свиня,свиня
162,Hund::N,куче,собака
163,Katze::N,котка,кішка
164,Bär::N,мечка,ведмідь
165,Eichhörnchen::N,катерица,білка
166,Elch::N,лос,лось
167,Fuchs::N,лисица,лисиця
168,Hase::N,заек,заєць
169,Maus::N,мишка,миша
170,Wolf::N,вълк,вовк
171,Vogel::N,птица,птах
172,Schwarm::N,рой,зграя
173,Schwarm::N,рояк,зграя
174,Huhn::N,кокошка,курка
175,Hahn::N,петел,півень
176,Gans::N,гъска,гуска
177,Adler::N,орел,орел
178,Ente::N,патица,качка
179,Eule::N,сова,сова
180,Kranich::N,жерав,журавель
181,Krähe::N,врана,ворона
182,Kuckuck::N,кукувица,зозуля
183,Schwan::N,лебед,лебідь
184,Fisch::N,риба,риба
185,Barsch::N,костур,окунь
186,Hecht::N,щука,щука
187,Schlange[Tier]::N,змия,змія
188,Wurm::N,червей,черв’як
189,Spinne::N,паяк,павук
190,Ameise::N,мравка,мурашка
191,Laus::N,въшка,воша
192,Mücke::N,комар,комар
193,Fliege::N,муха,муха
194,Schmetterling::N,пеперуда,метелик
195,Beere::N,плод,ягода
196,Apfel::N,ябълка,яблуко
197,Pilz::N,гъба,гриб
198,Zwiebel::N,лук,цибуля
199,Zwiebel::N,кромид,цибуля
200,Saat::N,семе,сім’я
201,Korn::N,зърно,зерно
202,Heu::N,сено,сіно
203,Schale::N,кора,шкірка
204,Grube::N,яма,яма
205,Grube::N,дупка,яма
206,Falle::N,примка,пастка
207,Schlinge::N,клуп,петля
208,Spur::N,диря,слід
209,Spur::N,следа,слід
210,Asche::N,пепел,зола
211,Asche::N,пепел,попіл
212,Dreck::N,кал,бруд
213,Eisen::N,желязо,залізо
214,Gold::N,злато,золото
215,Silber::N,сребро,срібло
216,Kohle::N,въглища,вугілля
217,Glas::N,стъкло,скло
218,Lehm::N,глина,глина
219,Sand::N,пясък,пісок
220,Mensch::N,човек,людина
221,Mann::N,мъж,чоловік
222,Frau::N,жена,жінка
223,Kind::N,дете,дитина
224,Junge::N,момче,хлопець
225,Mädchen::N,момиче,дівчина
226,Familie::N,фамилия,сім’я
227,Familie::N,фамилия,родина
228,Familie::N,семейство,сім’я
229,Familie::N,семейство,родина
230,Großvater::N,дядо,дідусь
231,Großmutter::N,баба,бабуся
232,Eltern::N,родители,батьки
233,Vater::N,баща,батько
234,Mutter::N,майка,мати
235,Sohn::N,син,син
236,Tochter::N,дъщеря,дочка
237,Bruder::N,брат,брат
238,Schwester::N,сестра,сестра
239,Onkel::N,чичо,дядько
240,Onkel::N,вуйчо,дядько
241,Tante::N,леля,тітка
242,Ehemann::N,съпруг,чоловік
243,Ehefrau::N,съпруга,жінка
244,Ehefrau::N,съпруга,дружина
245,Freude::N,радост,радощі
246,Gelächter::N,смях,сміх
247,Glück::N,щастие,щастя
248,Kummer::N,тъга,горе
249,Wunsch::N,желание,бажання
250,Lust::N,желание,бажання
251,Geist::N,дух,дух
252,Gedanke::N,мисъл,думка
253,Gedächtnis::N,памет,пам’ять
254,Verstand::N,ум,розум
255,Verstand::N,разум,розум
256,Sinn::N,смисъл,зміст
257,Sinn::N,смисъл,значення
258,Grund::N,причина,причина
259,Wahrheit::N,правда,правда
260,Gespräch::N,разговор,розмова
261,Märchen::N,приказка,байка
262,Erzählung::N,разказ,повість
263,Erzählung::N,разказ,оповідання
264,Nachricht::N,вест,повідомлення
265,Nachricht::N,известие,повідомлення
266,Neuigkeit::N,новина,новина
267,Name::N,име,ім’я
268,Rätsel::N,гатанка,загадка
269,Rede::N,реч,промова
270,Rede::N,слово,промова
271,Sprache::N,език,мова
272,Stimme::N,глас,голос
273,Wort::N,дума,слово
274,Zeichen::N,знак,знак
275,Ruf::N,зов,оклик
276,Lärm::N,шум,шум
277,Lärm::N,глъчка,шум
278,Laut::N,звук,звук
279,Ton::N,тон,тон
280,Lied::N,песен,пісня
281,Ruhe::N,тишина,спокій
282,Ruhe::N,спокойствие,спокій
283,Leute::N,хора,люди
284,Volk::N,народ,народ
285,Arbeit::N,труд,робота
286,Arbeit::N,работа,робота
287,Gast::N,гост,гість
288,Geschenk::N,дар,подарунок
289,Geschenk::N,подарък,подарунок
290,Spiel::N,игра,гра
291,Gesellschaft::N,общество,товариство
292,Hilfe::N,помощ,допомога
293,Freund::N,приятел,друг
294,Freund::N,приятел,приятель
295,Kamerad::N,другар,товариш
296,Angelegenheit::N,работа,справа
297,Anzahl::N,брой,число
298,Anzahl::N,количество,число
299,Art::N,вид,рід
300,Stück::N,къс,кусок
301,Stück::N,парче,кусок
302,Teil::N,дял,частина
303,Teil::N,част,частина
304,Hälfte::N,половина,половина
305,Kreis::N,кръг,круг
306,Kreis::N,кръг,коло
307,Kreuz::N,кръст,хрест
308,Linie::N,черта,лінія
309,Strich::N,щрих,штрих
310,Strich::N,черта,штрих
311,Abstand::N,дистанция,проміжок
312,Abstand::N,разстояние,проміжок
313,Entfernung::N,разстояние,відстань
314,Gegend::N,местност,місцевість
315,Platz::N,място,площа
316,Ort::N,място,місце
317,Seite::N,страна,сторона
318,Mitte::N,среда,середина
319,Gegenstand::N,предмет,предмет
320,Sache::N,вещ,річ
321,Rand::N,ръб,край
322,Kante::N,ръб,ребро
323,Kante::N,кант,ребро
324,Ecke::N,ъгъл,ріг
325,Spitze::N,връх,кінчик
326,Spitze::N,острие,кінчик
327,Ende::N,край,кінець
328,Loch::N,дупка,діра
329,Winkel::N,кът,куток
330,Winkel::N,ъгъл,куток
331,Muster::N,десен,узор
332,Muster::N,образец,узор
333,Größe::N,големина,розмір
334,Länge::N,дължина,довжина
335,Höhe::N,висота,висота
336,Höhe::N,височина,висота
337,Gewicht::N,тегло,вага
338,Gewicht::N,тежест,вага
339,Menge::N,количество,кількість
340,Haufen::N,куп,купа
341,Haufen::N,грамада,купа
342,Reihe::N,ред,ряд
343,Reihe::N,редица,ряд
344,Boot::N,лодка,човен
345,Ruder::N,весло,весло
346,Ruder::N,гребло,весло
347,Schlitten::N,шейна,сани
348,Ski::N,ски,лижа
349,Lagerfeuer::N,огнище,вогнище
350,Last::N,товар,тягар
351,Last::N,товар,вантаж
352,Gang::N,ход,хід
353,Gang::N,вървеж,хід
354,Schritt::N,стъпка,крок
355,Norden::N,север,північ
356,Süden::N,юг,південь
357,Westen::N,запад,захід
358,Osten::N,изток,схід
359,Holz::N,дърво,дрова
360,Brett::N,дъска,дошка
361,Stange::N,прът,жердина
362,Stange::N,върлина,жердина
363,Stock::N,прът,палиця
364,Stock::N,тояга,палиця
365,Stab::N,прът,палиця
366,Rohr::N,цев,труба
367,Rohr::N,тръба,труба
368,Haus::N,къща,дім
369,Haus::N,къща,хата
370,Heim::N,дом,житло
371,Ofen::N,печка,піч
372,Fußboden::N,под,підлога
373,Tisch::N,маса,стіл
374,Stuhl::N,стол,стілець
375,Wiege::N,люлка,колиска
376,Bett::N,легло,ліжко
377,Bett::N,легло,постіль
378,Bett::N,креват,ліжко
379,Bett::N,креват,постіль
380,Regal::N,рафт,полиця
381,Regal::N,етажерка,полиця
382,Kiste::N,кутия,ящик
383,Kiste::N,сандък,ящик
384,Fenster::N,прозорец,вікно
385,Tür::N,врата,двері
386,Tor::N,врата,ворота
387,Zaun::N,ограда,паркан
388,Zaun::N,ограда,огорожа
389,Dach::N,покрив,дах
390,Leiter::N,стълба,драбина
391,Besen::N,метла,мітла
392,Spaten::N,лопата,заступ
393,Schaufel::N,лопата,совок
394,Schaufel::N,лопата,лопата
395,Gabel::N,вилица,виделка
396,Löffel::N,лъжица,ложка
397,Messer::N,нож,ніж
398,Nagel::N,гвоздей,цвях
399,Netz::N,мрежа,сіть
400,Haken::N,кука,крюк
401,Haken::N,закачалка,крюк
402,Griff::N,ръчка,ручка
403,Griff::N,ръчка,держак
404,Griff::N,дръжка,ручка
405,Griff::N,дръжка,держак
406,Schloss::N,брава,замок
407,Schloss::N,ключалка,замок
408,Bild::N,картина,картина
409,Figur::N,фигура,фігура
410,Puppe::N,кукла,лялька
411,Beutel::N,кесия,мішечок
412,Beutel::N,кесия,торбинка
413,Bündel::N,връзка,в’язка
414,Tasche::N,чанта,сумка
415,Eimer::N,кофа,відро
416,Deckel::N,капак,кришка
417,Deckel::N,похлупак,кришка
418,Geschirr::N,съдове,посуд
419,Sack::N,чувал,мішок
420,Tasse::N,чаша,чашка
421,Topf::N,гърне,горщик
422,Topf::N,тенджера,горщик
423,Kessel::N,котел,котел
424,Essen::N,ядене,їжа
425,Nahrung::N,храна,харч
426,Speise::N,ястие,страва
427,Fleisch::N,месо,м’ясо
428,Getreide::N,зърнено храни,хліб
429,Getreide::N,зърнено храни,збіжжя
430,Brei::N,каша,каша
431,Brot::N,хляб,хліб
432,Scheibe::N,резен,скибочка
433,Fett::N,мазнина,жир
434,Butter::N,масло,масло
435,Öl::N,олио,олія
436,Öl::N,оливия,олія
437,Salz::N,сол,сіль
438,Suppe::N,супа,суп
439,Honig::N,мед,мед
440,Milch::N,мляко,молоко
441,Tee::N,чай,чай
442,Leder::N,кожа,шкіра
443,Wolle::N,вълна,шерсть
444,Stoff::N,плат,тканина
445,Stoff::N,материал,тканина
446,Nadel::N,игла,голка
447,Faden::N,конец,нитка
448,Knopf::N,копче,ґудзик
449,Knoten::N,възел,вузол
450,Farbe::N,боя,фарба
451,Kleidung::N,дрехи,одяг
452,Kleidung::N,дрехи,убрання
453,Kleidung::N,облекло,одяг
454,Kleidung::N,облекло,убрання
455,Hemd::N,риза,сорочка
456,Kragen::N,яка,комір
457,Ärmel::N,ръкав,рукав
458,Hose::N,панталони,брюки
459,Gürtel::N,пояс,пояс
460,Gürtel::N,колан,пояс
461,Mütze::N,каскет,шапка
462,Mütze::N,фуражка,шапка
463,Schuh::N,обувка,ботинок
464,Stiefel::N,ботуш,чобіт
465,Ring::N,пръстен,кільце
466,Band::N,лента,стрічка
467,Band::N,връзка,стрічка
468,Kamm::N,гребен,гребінець
469,Spiegel::N,огледало,дзеркало
470,Riemen::N,каиш,ремінь
471,Riemen::N,ремък,ремінь
472,Schnur::N,връв,вірьовка
473,Leine::N,връв,шворка
474,Leine::N,въже,шворка
475,Decke::N,покривка,ковдра
476,Kissen::N,възглавница,подушка
477,Tuch::N,сукно,хустка
478,Handtuch::N,пешкир,рушник
479,Handtuch::N,кърпа за лице,рушник
480,Kraft::N,мощ,сила
481,Kraft::N,сила,сила
482,Stärke::N,сила,сила
483,Gesundheit::N,здраве,здоров’я
484,Krankheit::N,болест,хвороба
485,Schmerz::N,болка,біль
486,Wunde::N,рана,рана
487,Fieber::N,треска,гарячка
488,Fieber::N,температура,гарячка
489,Arznei::N,лек,ліки
490,Arznei::N,лекарство,ліки
491,Brücke::N,мост,міст
492,Brunnen::N,чешма,колодязь
493,Brunnen::N,кладенец,колодязь
494,Weide::N,паша,пасовище
495,Weide::N,пасище,пасовище
496,Pfad::N,пътека,стежка
497,Weg::N,път,шлях
498,Weg::N,път,дорога
499,Straße::N,шосе,вулиця
500,Dorf::N,село,село
501,Stadt::N,град,місто
502,Brief::N,писмо,лист
503,Buch::N,книга,книга
504,Buch::N,книга,книжка
505,Buchstabe::N,буква,буква
506,Buchstabe::N,буква,літера
507,Zeitung::N,вестник,газета
508,Leben::N,живот,життя
509,Tod::N,смърт,смерть
510,Grab::N,гроб,могила
511,Kirche::N,църква,церква
512,Sünde::N,грях,гріх
513,Gott::N,бог,бог
514,Arbeiter::N,работник,робітник
515,Chef::N,шеф,хазяїн
516,Chef::N,началник,хазяїн
517,Meister::N,майстор,умілець
518,Arzt::N,лекар,лікар
519,Lehrer::N,учител,вчитель
520,Geld::N,пари,гроші
521,Geschäft::N,сделка,заняття
522,Laden::N,дюкян,магазин
523,Laden::N,дюкян,крамниця
524,Laden::N,магазин,магазин
525,Laden::N,магазин,крамниця
526,Preis::N,цена,ціна
527,Ware::N,стока,товар
528,Nutzen::N,полза,вигода
529,Nutzen::N,полза,користь
530,Nutzen::N,облага,вигода
531,Nutzen::N,облага,користь
532,Reichtum::N,богатство,багатство
533,Welt::N,свят,світ
534,Land::N,страна,країна
535,Staat::N,щат,держава
536,Staat::N,държава,держава
537,König::N,крал,король
538,Macht::N,мощ,влада
539,Macht::N,власт,влада
540,Grenze::N,граница,кордон
541,Krieg::N,война,війна
542,Feind::N,враг,ворог
543,Feind::N,неприятел,ворог
544,Gewalt::N,сила,насильство
545,Gewalt::N,насилие,насильство
546,Kampf::N,борба,бій
547,Kampf::N,борба,боротьба
548,Kampf::N,сражение,бій
549,Kampf::N,сражение,боротьба
550,Bogen[Waffe]::N,лък,лук
551,Pfeil::N,стрела,стріла
552,Gewehr::N,пушка,рушниця
553,Gewehr::N,пушка,гвинтівка
554,Fehler::N,грешка,помилка
555,Lüge::N,лъжа,брехня
556,Schaden::N,повреда,шкода
557,Schaden::N,повреда,збиток
558,Unglück::N,нещастие,нещастя
559,Schuld::N,вина,провина
560,Alter::N,възраст,вік
561,Alter::N,възраст,літа
562,Schluss::N,край,кінець
563,Zeit::N,време,час
564,Tag::N,ден,день
565,Morgen::N,утро,ранок
566,Morgen::N,сутрин,ранок
567,Mittag::N,обед,південь
568,Mittag::N,пладне,південь
569,Abend::N,вечер,вечір
570,Nacht::N,нощ,ніч
571,Woche::N,седмица,тиждень
572,Monat::N,месец,місяць
573,Jahr::N,година,рік
574,Frühling::N,пролет,весна
575,Sommer::N,лято,літо
576,Herbst::N,есен,осінь
577,Winter::N,зима,зима
578,Januar::N,януари,січень
579,Februar::N,февруари,лютий
580,März::N,март,березень
581,April::N,април,квітень
582,Mai::N,май,травень
583,Juni::N,юни,червень
584,Juli::N,юли,липень
585,August::N,август,серпень
586,September::N,септември,вересень
587,Oktober::N,октомври,жовтень
588,November::N,ноември,листопад
589,Dezember::N,декември,грудень
590,Montag::N,понеделник,понеділок
591,Dienstag::N,вторник,вівторок
592,Mittwoch::N,сряда,середа
593,Donnerstag::N,четвъртък,четвер
594,Freitag::N,петък,п’ятниця
595,Samstag::N,събота,субота
596,Sonntag::N,неделя,неділя
597,groß::A,едър,великий
598,groß::A,голям,великий
599,klein::A,малък,малий
600,klein::A,малък,маленький
601,klein::A,дребен,малий
602,klein::A,дребен,маленький
603,lang::A,дълъг,довгий
604,kurz::A,къс,короткий
605,breit::A,широк,широкий
606,schmal::A,тесен,вузький
607,dicht::A,гъст,густий
608,dick[Gegenstand]::A,дебел,товстий
609,dünn::A,тънък,тонкий
610,fein::A,фин,дрібний
611,fein::A,тънък,дрібний
612,fest::A,твърд,міцний
613,fest::A,плътен,міцний
614,flach::A,равен,плоский
615,flach::A,плосък,плоский
616,glatt::A,гладък,рівний
617,glatt::A,гладък,гладенький
618,hart::A,твърд,твердий
619,hart::A,корав,твердий
620,weich::A,мек,м’який
621,rund::A,кръгъл,круглий
622,spitz::A,островръх,гострокінцевий
623,scharf::A,остър,гострий
624,stumpf::A,тъп,тупий
625,schwer::A,тежък,важкий
626,schön::A,хубав,вродливий
627,schön::A,красив,вродливий
628,heiß::A,жарък,жаркий
629,heiß::A,жарък,гарячий
630,warm::A,топъл,теплий
631,kalt::A,студен,холодний
632,kühl::A,хладен,прохолодний
633,frisch::A,свеж,свіжий
634,feucht::A,влажен,вогкий
635,nass::A,мокър,мокрий
636,trocken::A,сух,сухий
637,voll::A,пълен,повний
638,leer::A,празен,пустий
639,offen::A,откровен,відкритий
640,geschlossen::A,закрит,закритий
641,geschlossen::A,закрит,зачинений
642,geschlossen::A,затворен,закритий
643,geschlossen::A,затворен,зачинений
644,sauber::A,чист,чистий
645,sauber::A,чист,охайний
646,schmutzig::A,мръсен,брудний
647,roh::A,суров,сирий
648,reif::A,зрял,зрілий
649,lecker::A,вкусен,смачний
650,süß::A,сладък,солодкий
651,bitter::A,горчив,гіркий
652,sauer::A,кисел,кислий
653,hell::A,ясен,світлий
654,hell::A,светъл,світлий
655,dunkel::A,тъмен,темний
656,schwarz::A,черен,чорний
657,weiß::A,бял,сивий
658,rot::A,червен,червоний
659,gelb::A,жълт,жовтий
660,blau::A,син,синій
661,grün::A,зелен,зелений
662,grau::A,сив,сірий
663,bunt::A,шарен,барвистий
664,bunt::A,пъстър,барвистий
665,billig::A,евтин,дешевий
666,teuer::A,скъп,дорогий
667,wertvoll::A,ценен,цінний
668,blind::A,сляп,сліпий
669,taub::A,глух,глухий
670,kräftig::A,силен,могутній
671,stark::A,здрав,сильний
672,stark::A,силен,сильний
673,schwach::A,слаб,слабкий
674,fett::A,тлъст,жирний
675,fett::A,тлъст,товстий
676,schlank::A,тънък,тонкий
677,schlank::A,тънък,стрункий
678,schlank::A,строен,тонкий
679,schlank::A,строен,стрункий
680,hübsch::A,хубав,чарівний
681,böse::A,зъл,злий
682,böse::A,зъл,лихий
683,dumm::A,глупав,дурний
684,faul::A,ленив,ледачий
685,faul::A,мързелив,ледачий
686,fleißig::A,прилежен,старанний
687,geizig::A,скъпернически,скупий
688,klug::A,умен,мудрий
689,klug::A,умен,розумний
690,klug::A,разумен,мудрий
691,klug::A,разумен,розумний
692,geschickt::A,умел,умілий
693,geschickt::A,сръчен,умілий
694,lieb::A,мил,милий
695,lieb::A,драг,милий
696,lustig::A,весел,веселий
697,sanft::A,нежен,лагідний
698,sanft::A,кротък,лагідний
699,hungrig::A,гладен,голодний
700,krank::A,болен,слабий
701,nackt::A,гол,голий
702,traurig::A,тъжен,сумний
703,traurig::A,печален,сумний
704,lebendig::A,жив,живий
705,gut::A,добър,добрий
706,schlecht::A,лош,поганий
707,schlecht::A,лош,кепський
708,richtig::A,правилен,правильний
709,schlimm::A,лош,бридкий
710,wahr::A,верен,справжній
711,wahr::A,истински,справжній
712,alt::A,стар,старий
713,alt::A,древен,старий
714,neu::A,нов,новий
715,ehemalig::A,бивш,колишній
716,alt[Lebewesen]::A,стар,старий
717,jung::A,млад,молодий
718,arm::A,беден,бідний
719,reich::A,богат,багатий
720,bekannt::A,познат,знайомий
721,bekannt::A,известен,знайомий
722,berühmt::A,почут,славетний
723,berühmt::A,известен,славетний
724,fremd::A,чужд,чужий
725,verschieden::A,разен,різний
726,verschieden::A,различен,різний
727,nah::A,близък,близький
728,fern::A,далечен,далекий
729,linker::A,ляв,лівий
730,rechter::A,прав,правий
731,anderer::A,друг,інакший
732,erster::A,пръв,перший
733,erster::A,първи,перший
734,zweiter::A,втори,другий
735,dritter::A,трети,третій
736,letzter::A,последен,останній
737,allein::ADV,само,сам
738,allein::ADV,само,один
739,auf einmal::ADV,същевременно,відразу
740,zusammen::ADV,заедно,разом
741,zusammen::ADV,заедно,спільно
742,lange::ADV,дълго,довго
743,plötzlich::ADV,изведнъж,раптом
744,sofort::ADV,веднага,зараз
745,später::ADV,по-късно,пізніше
746,jetzt::ADV,сега,тепер
747,heute::ADV,днес,сьогодні
748,morgen::ADV,утре,завтра
749,bald::ADV,скоро,незабаром
750,dann::ADV,после,потім
751,dann::ADV,тогава,потім
752,gestern::ADV,вчера,вчора
753,einst::ADV,някога,колись
754,damals::ADV,тогава,тоді
755,danach::ADV,после,згодом
756,danach::ADV,след това,згодом
757,vorher::ADV,преди,раніше
758,vorher::ADV,преди това,раніше
759,zuerst::ADV,най-напред,спершу
760,zuerst::ADV,най-напред,спочатку
761,einmal::ADV,веднъж,один раз
762,einmal::ADV,един път,один раз
763,manchmal::ADV,понякога,іноді
764,manchmal::ADV,понякога,інколи
765,oft::ADV,често,часто
766,immer::ADV,винаги,завжди
767,niemals::ADV,никога,ніколи
768,hier::ADV,тук,тут
769,hier::ADV,тука,тут
770,hierhin::ADV,насам,сюди
771,von hier::ADV,оттук,звідси
772,von hier::ADV,оттука,звідси
773,dort::ADV,там,там
774,dorthin::ADV,натам,туди
775,dorthin::ADV,нататък,туди
776,geradeaus::ADV,направо,прямо
777,vorwärts::ADV,напред,вперед
778,rückwärts::ADV,назад,назад
779,zurück::ADV,обратно,назад
780,unten::ADV,долу,внизу
781,hinab::ADV,надолу,вниз
782,oben::ADV,горе,вгорі
783,hinauf::ADV,нагоре,вгору
784,überall::ADV,навсякъде,скрізь
785,nicht::ADV,не,не
786,ein wenig::ADV,малко,трохи
787,ein wenig::ADV,малко,небагато
788,kaum::ADV,едва,ледве
789,kaum::ADV,едвам,ледве
790,sehr::ADV,много,дуже
791,sehr::ADV,твърде,дуже
792,so::ADV,тъй,так
793,so::ADV,така,так
794,noch::ADV,още,ще
795,nur::ADV,само,лише
796,nur::ADV,само,тільки
797,schon::ADV,вече,вже
798,wieder::ADV,пак,знову
799,wieder::ADV,отново,знову
800,vergebens::ADV,напразно,дарма
801,vor::PRP,пред,перед
802,hinter::PRP,зад,ззаду
803,hinter::PRP,зад,позаду
804,unter::PRP,под,під
805,durch::PRP,през,крізь
806,neben::PRP,до,біля
807,neben::PRP,при,біля
808,zwischen::PRP,между,між
809,zwischen::PRP,помежду,між
810,wegen::PRP,заради,з-за
811,wegen::PRP,заради,через
812,dies::PRN,този,це
813,das::PRN,туй,то
814,das::PRN,това,то
815,alles::PRN,всичко,все
816,ich::PRN,аз,я
817,du::PRN,ти,ти
818,er::PRN,той,він
819,wir::PRN,ние,ми
820,ihr::PRN,вие,ви
821,sie::PRN,те,вони
822,was::FPRN,що,що
823,was::FPRN,какво,що
824,wer::FPRN,кой,хто
825,wo::FADV,къде,де
826,wohin::FADV,накъде,куди
827,wohin::FADV,накъдето,куди
828,wie::FADV,как,як
829,warum::FADV,защо,чому
830,wieviel::FNUM,колко,скільки
831,eins::NUM,един,один
832,zwei::NUM,два,два
833,drei::NUM,три,три
834,vier::NUM,четири,чотири
835,fünf::NUM,пет,п’ять
836,sechs::NUM,шест,шість
837,sieben::NUM,седем,сім
838,acht::NUM,осем,вісім
839,neun::NUM,девет,дев’ять
840,zehn::NUM,десет,десять
841,elf::NUM,единайсет,одинадцять
842,elf::NUM,единадесет,одинадцять
843,zwölf::NUM,дванайсет,дванадцять
844,zwölf::NUM,дванадесет,дванадцять
845,zwanzig::NUM,двайсет,двадцять
846,zwanzig::NUM,двадесет,двадцять
847,dreißig::NUM,тридесет,тридцять
848,vierzig::NUM,четиридесет,сорок
849,fünfzig::NUM,петдесет,п’ятдесят
850,sechzig::NUM,шестдесет,шістдесят
851,siebzig::NUM,седемдесет,сімдесят
852,achtzig::NUM,осемдесет,вісімдесят
853,neunzig::NUM,деветдесет,дев’яносто
854,hundert::NUM,сто,сто
855,tausend::NUM,хиляда,тисяча
856,und::CNJ,а,і
857,und::CNJ,та,і
858,oder::CNJ,или,або
859,stehen::V,стоя,стояти
