,Concept_ID,lt,ja
67,Luft::N,oras,空気
68,Wind::N,vėjas,風
69,Welle::N,banga,波
70,Welle::N,vilnis,波
71,Wasser::N,vanduo,水
72,Stein::N,akmuo,石
73,Boden::N,žemė,土地
74,Boden::N,dugnas,土地
75,Erde::N,žemė,土
76,Staub::N,dulkės,埃
77,Rauch::N,dūmai,煙
78,Funke::N,kibirkštis,火花
79,Feuer::N,ugnis,火
80,Licht::N,šviesa,光
81,Schatten::N,paūksmė,陰
82,Wetter::N,oras,天気
83,Nebel::N,migla,霧
84,Nebel::N,rūkas,霧
85,Wolke::N,debesis,雲
86,Regen::N,lietus,雨
87,Schnee::N,sniegas,雪
88,Eis::N,ledas,氷
89,Frost::N,šalna,霜
90,Kälte::N,šaltis,寒さ
91,Hitze::N,karštis,暑さ
92,Raureif::N,šerkšnas,霧氷
93,Regenbogen::N,vaivorykštė,虹
94,Donner::N,perkūnas,雷
95,Donner::N,griaustinis,雷
96,Strömung::N,tėkmė,流れ
97,Tropfen::N,lašas,滴
98,Schaum::N,putos,泡
99,Schmutz::N,purvas,汚れ
100,See::N,ežeras,湖
101,Sumpf::N,klampynė,沼
102,Sumpf::N,liūnas,沼
103,Moor::N,pelkė,湿原
104,Wiese::N,pieva,草原
105,Wald::N,miškas,森
106,Hügel::N,kalva,丘
107,Anhöhe::N,kauburys,高み
108,Berg::N,kalnas,山
109,Gipfel::N,viršūnė,頂上
110,Höhle::N,ola,洞窟
111,Abhang::N,šlaitas,斜面
112,Abhang::N,nuokalnė,斜面
113,Quelle::N,versmė,泉
114,Quelle::N,šaltinis,泉
115,Bach::N,upelis,小川
116,Fluss::N,upė,川
117,Ufer::N,krantas,岸
118,Küste::N,pajūris,海岸
119,Festland::N,sausuma,陸
120,Meer::N,jūra,海
121,Bucht::N,įlanka,湾
122,Bucht::N,užutekis,湾
123,Insel::N,sala,島
124,Blume::N,gėlė,花
125,Gras::N,žolė,草
126,Wurzel::N,šaknis,根
127,Baum::N,medis,木
128,Stamm::N,kamienas,幹
129,Rinde::N,žievė,皮層
130,Ast::N,šaka,枝
131,Zweig::N,šakelė,小枝
132,Blatt::N,lapas,葉
133,Birke::N,beržas,樺
134,Kiefer[Baum]::N,pušis,松
135,Weide[Baum]::N,karklas,柳
136,Tanne::N,eglė,樅
137,Tanne::N,kėnis,樅
138,Horn::N,ragas,角
139,Feder::N,plunksna,羽根
140,Fell::N,kailis,毛皮
141,Flügel::N,sparnas,羽
142,Klaue::N,kanopa,鉤爪
143,Kralle::N,nagas,爪
144,Schwanz::N,uodega,尻尾
145,Ei::N,kiaušinis,卵
146,Nest::N,gūžta,巣
147,Nest::N,lizdas,巣
148,Bau::N,ola,穴
149,Tier::N,gyvūnas,動物
150,Herde::N,banda,群れ
151,Herde::N,kaimenė,群れ
152,Kuh::N,karvė,牛
153,Bulle::N,bulius,雄牛
154,Pferd::N,arklys,馬
155,Schaf::N,avis,羊
156,Schwein::N,kiaulė,豚
157,Hund::N,šuo,犬
158,Katze::N,katė,猫
159,Bär::N,lokys,熊
160,Eichhörnchen::N,voveraitė,栗鼠
161,Elch::N,briedis,ヘラジカ
162,Fuchs::N,lapė,狐
163,Hase::N,kiškas,兎
164,Maus::N,pelė,鼠
165,Wolf::N,vilkas,狼
166,Vogel::N,paukštis,鳥
167,Schwarm::N,spiečius,群れ
168,Huhn::N,višta,鶏
169,Hahn::N,gaidys,雄鶏
170,Gans::N,žąsis,ガチョウ
171,Adler::N,erelis,鷲
172,Ente::N,antis,鴨
173,Eule::N,pelėda,フクロウ
174,Kranich::N,gervė,鶴
175,Krähe::N,varna,烏
176,Kuckuck::N,gegužė,郭公
177,Schwan::N,gulbė,白鳥
178,Fisch::N,žuvis,魚
179,Barsch::N,ešerys,鱸
180,Hecht::N,lydeka,川魳
181,Schlange[Tier]::N,gyvatė,蛇
182,Wurm::N,kirmėlė,虫
183,Spinne::N,voras,蜘蛛
184,Ameise::N,skruzdė,蟻
185,Laus::N,utėlė,虱
186,Mücke::N,uodas,蚊
187,Fliege::N,musė,蝿
188,Schmetterling::N,drugys,蝶
189,Schmetterling::N,peteliškė,蝶
190,Beere::N,uoga,漿果
191,Apfel::N,obuolys,林檎
192,Pilz::N,grybas,茸
193,Zwiebel::N,svogūnas,玉葱
194,Saat::N,sėkla,種
195,Korn::N,grūdai,粒
196,Heu::N,šienas,干し草
197,Schale::N,žievelė,皮
198,Grube::N,duobė,穴
199,Falle::N,pinklės,わな
200,Falle::N,žabangai,わな
201,Schlinge::N,kilpa,輪
202,Spur::N,vėžė,跡
203,Spur::N,pėdos,跡
204,Spur::N,pėdsakas,跡
205,Asche::N,pelenai,灰
206,Dreck::N,purvas,泥
207,Eisen::N,geležis,鉄
208,Gold::N,auksas,金
209,Silber::N,sidabras,銀
210,Kohle::N,anglis,炭
211,Glas::N,stiklas,ガラス
212,Lehm::N,molis,ローム
213,Sand::N,smėlis,砂
214,Mensch::N,žmogus,人
215,Mann::N,vyras,男
216,Mann::N,vyras,男性
217,Mann::N,vyriškis,男
218,Mann::N,vyriškis,男性
219,Frau::N,moteris,女
220,Frau::N,moteris,女性
221,Kind::N,vaikas,子
222,Kind::N,vaikas,子供
223,Junge::N,vaikinas,男の子
224,Junge::N,berniukas,男の子
225,Mädchen::N,mergytė,女の子
226,Mädchen::N,mergaitė,女の子
227,Familie::N,šeima,家族
228,Großvater::N,senelis,祖父
229,Großvater::N,senelis,おじいさん
230,Großmutter::N,senelė,祖母
231,Großmutter::N,senelė,おばあさん
232,Eltern::N,tėvai,親
233,Eltern::N,tėvai,両親
234,Vater::N,tėvas,父
235,Vater::N,tėvas,お父さん
236,Mutter::N,motina,母
237,Mutter::N,motina,お母さん
238,Sohn::N,sūnus,息子
239,Sohn::N,sūnus,息子さん
240,Tochter::N,duktė,娘
241,Tochter::N,duktė,お嬢さん
242,Bruder::N,brolis,弟
243,Schwester::N,sesuo,妹
244,Onkel::N,dėdė,伯父
245,Onkel::N,dėdė,伯父さん
246,Tante::N,teta,叔母
247,Tante::N,teta,叔母さん
248,Ehemann::N,vyras,夫
249,Ehemann::N,vyras,主人
250,Ehefrau::N,žmona,妻
251,Ehefrau::N,žmona,奥さん
252,Freude::N,džiaugsmas,喜び
253,Gelächter::N,juokas,笑い
254,Glück::N,laimė,幸せ
255,Kummer::N,vargas,悩み
256,Kummer::N,rūpestis,悩み
257,Wunsch::N,troškimas,希望
258,Wunsch::N,pageidavimas,希望
259,Lust::N,noras,気
260,Lust::N,geidulys,気
261,Geist::N,dvasia,精神
262,Gedanke::N,mintis,考え
263,Gedächtnis::N,atmintis,記憶
264,Verstand::N,protas,理解力
265,Sinn::N,prasmė,意味
266,Grund::N,priežastis,理由
267,Wahrheit::N,tiesa,真実
268,Wahrheit::N,teisybė,真実
269,Gespräch::N,pokalbis,会話
270,Märchen::N,pasaka,童話
271,Erzählung::N,apsakymas,物語
272,Erzählung::N,pasakojimas,物語
273,Nachricht::N,žinia,報告
274,Neuigkeit::N,naujiena,ニュース
275,Name::N,vardas,名前
276,Rätsel::N,mįslė,謎
277,Rede::N,kalba,演説
278,Sprache::N,kalba,言語
279,Stimme::N,balsas,声
280,Wort::N,žodis,言葉
281,Zeichen::N,žymė,記号
282,Zeichen::N,ženklas,記号
283,Ruf::N,šauksmas,呼び声
284,Lärm::N,triukšmas,騒音
285,Laut::N,garsas,音
286,Ton::N,tonas,音
287,Ton::N,garsas,音
288,Lied::N,daina,歌
289,Lied::N,giesmė,歌
290,Ruhe::N,ramybė,静けさ
291,Ruhe::N,ramumas,静けさ
292,Leute::N,žmonės,人々
293,Volk::N,tauta,民族
294,Arbeit::N,darbas,仕事
295,Arbeit::N,triūsas,仕事
296,Gast::N,svečias,客
297,Geschenk::N,dovana,贈り物
298,Spiel::N,žaismas,遊び
299,Spiel::N,žaidimas,遊び
300,Gesellschaft::N,draugija,社会
301,Gesellschaft::N,kompanija,社会
302,Hilfe::N,pagalba,援助
303,Freund::N,draugas,友達
304,Freund::N,bičiulis,友達
305,Kamerad::N,draugas,同志
306,Angelegenheit::N,dalykas,件
307,Angelegenheit::N,reikalas,件
308,Anzahl::N,kiekis,数
309,Anzahl::N,skaičius,数
310,Art::N,rūšis,種類
311,Stück::N,gabalas,部分
312,Teil::N,dalis,部分
313,Hälfte::N,pusė,半分
314,Kreis::N,ratas,円
315,Kreis::N,apskritis,円
316,Kreis::N,apskritimas,円
317,Kreuz::N,kryžius,十字
318,Linie::N,linija,線
319,Strich::N,brėžis,線
320,Strich::N,brūkšnys,線
321,Abstand::N,atstumas,距離
322,Entfernung::N,atstumas,距離
323,Gegend::N,vietovė,辺
324,Gegend::N,vietovė,地域
325,Platz::N,vieta,ゆとり
326,Ort::N,vieta,所
327,Ort::N,vieta,場所
328,Ort::N,vietovė,所
329,Ort::N,vietovė,場所
330,Seite::N,pusė,横
331,Seite::N,šonas,横
332,Mitte::N,vidurys,真ん中
333,Gegenstand::N,dalykas,物件
334,Sache::N,daiktas,物
335,Rand::N,kraštas,端
336,Rand::N,pakraštys,端
337,Kante::N,kraštas,縁
338,Ecke::N,kertė,角
339,Ecke::N,kampas,角
340,Spitze::N,priekis,先頭
341,Spitze::N,priešakys,先頭
342,Ende::N,galas,端
343,Loch::N,skylė,穴
344,Winkel::N,kampas,片隅
345,Winkel::N,kampelis,片隅
346,Muster::N,raštas,模様
347,Größe::N,dydis,大きさ
348,Größe::N,didumas,大きさ
349,Länge::N,ilgis,長さ
350,Länge::N,ilgumas,長さ
351,Höhe::N,aukštis,高さ
352,Höhe::N,aukštuma,高さ
353,Gewicht::N,svoris,重さ
354,Gewicht::N,svarstis,重さ
355,Menge::N,kiekis,量
356,Menge::N,daugybė,量
357,Haufen::N,krūva,堆積
358,Haufen::N,šūsnis,堆積
359,Reihe::N,greta,並び
360,Boot::N,valtis,ボート
361,Boot::N,laivelis,ボート
362,Ruder::N,irklas,オール
363,Schlitten::N,rogės,そり
364,Schlitten::N,rogutės,そり
365,Ski::N,slidė,スキー
366,Lagerfeuer::N,laužas,篝火
367,Last::N,našta,荷物
368,Last::N,nešulys,荷物
369,Gang::N,eisena,歩み
370,Schritt::N,žingsnis,歩
371,Norden::N,šiaurė,北
372,Norden::N,žiemiai,北
373,Süden::N,pietūs,南
374,Westen::N,vakarai,西
375,Osten::N,rytai,東
376,Holz::N,mediena,木
377,Holz::N,mediena,木材
378,Brett::N,lenta,板
379,Platte::N,plokštė,盤
380,Stütze::N,atrama,支柱
381,Stütze::N,atspara,支柱
382,Stange::N,lazda,棒
383,Stange::N,kartis,棒
384,Stock::N,lazda,杖
385,Stab::N,kartis,棒
386,Rohr::N,vamzdis,管
387,Haus::N,namas,家
388,Heim::N,namai,家
389,Ofen::N,krosnis,ストーブ
390,Fußboden::N,grindys,床
391,Tisch::N,stalas,机
392,Stuhl::N,kėdė,椅子
393,Wiege::N,lopšys,揺籃
394,Bett::N,lova,ベッド
395,Bett::N,patalai,ベッド
396,Regal::N,lentyna,棚
397,Kiste::N,dėžė,箱
398,Fenster::N,langas,窓
399,Tür::N,durys,戸
400,Tür::N,durys,ドア
401,Tor::N,vartai,門
402,Zaun::N,tvora,垣根
403,Dach::N,stogas,屋根
404,Leiter::N,kopėčios,梯子
405,Besen::N,šluota,ほうき
406,Spaten::N,lopeta,スコップ
407,Spaten::N,kastuvas,スコップ
408,Schaufel::N,semtuvas,シャベル
409,Gabel::N,šakutė,フォーク
410,Löffel::N,šaukštas,スプーン
411,Messer::N,peilis,ナイフ
412,Nagel::N,vinis,釘
413,Netz::N,tinklas,網
414,Haken::N,vagis,鉤
415,Haken::N,vagis,フック
416,Haken::N,kablys,鉤
417,Haken::N,kablys,フック
418,Griff::N,kotas,取っ手
419,Griff::N,rankena,取っ手
420,Schloss::N,spyna,錠
421,Schloss::N,užraktas,錠
422,Bild::N,paveikslas,絵
423,Figur::N,figūra,像
424,Puppe::N,lėlė,人形
425,Beutel::N,krepšys,袋
426,Beutel::N,maišelis,袋
427,Bündel::N,ryšulys,束
428,Bündel::N,ryšulys,包み
429,Tasche::N,krepšelis,かばん
430,Eimer::N,kibiras,バケツ
431,Deckel::N,dangtis,蓋
432,Geschirr::N,indai,食器
433,Sack::N,maišas,袋
434,Tasse::N,puodukas,カップ
435,Topf::N,puodas,鍋
436,Kessel::N,katilas,釜
437,Essen::N,valgis,食事
438,Nahrung::N,penas,食物
439,Nahrung::N,maistas,食物
440,Speise::N,patiekalas,料理
441,Fleisch::N,mėsa,肉
442,Getreide::N,javai,麦
443,Getreide::N,javai,穀物
444,Brei::N,košė,粥
445,Brot::N,duona,パン
446,Scheibe::N,riekė,枚
447,Scheibe::N,riekė,切れ
448,Fett::N,taukai,脂肪
449,Fett::N,riebalai,脂肪
450,Butter::N,sviestas,バター
451,Öl::N,aliejus,油
452,Salz::N,druska,塩
453,Suppe::N,sriuba,スープ
454,Honig::N,medus,蜂蜜
455,Milch::N,pienas,牛乳
456,Tee::N,arbata,茶
457,Tee::N,arbata,お茶
458,Leder::N,oda,革
459,Wolle::N,vilna,毛糸
460,Stoff::N,audeklas,布
461,Nadel::N,adata,針
462,Faden::N,gija,糸
463,Faden::N,siūlas,糸
464,Knopf::N,saga,ボタン
465,Knoten::N,mazgas,結び目
466,Farbe::N,dažai,ペンキ
467,Kleidung::N,rūbai,衣服
468,Kleidung::N,drabužiai,衣服
469,Hemd::N,marškiniai,シャツ
470,Kragen::N,apykaklė,襟
471,Ärmel::N,rankovė,袖
472,Hose::N,kelnės,ズボン
473,Gürtel::N,juosta,帯
474,Gürtel::N,juosta,ベルト
475,Gürtel::N,diržas,帯
476,Gürtel::N,diržas,ベルト
477,Mütze::N,kepurė,帽子
478,Schuh::N,batas,靴
479,Stiefel::N,auliniai batai,ブーツ
480,Ring::N,žiedas,輪
481,Band::N,kaspinas,リボン
482,Kamm::N,šukos,櫛
483,Spiegel::N,veidrodis,鏡
484,Riemen::N,diržas,緒
485,Schnur::N,virvė,紐
486,Leine::N,pavadėlis,綱
487,Decke::N,antklodė,掛け布団
488,Kissen::N,pagalvė,枕
489,Kissen::N,priegalvis,枕
490,Tuch::N,skarelė,スカーフ
491,Handtuch::N,rankšluostis,タオル
492,Kraft::N,jėga,力
493,Stärke::N,stiprumas,強さ
494,Gesundheit::N,sveikata,健康
495,Krankheit::N,liga,病気
496,Schmerz::N,skausmas,痛み
497,Wunde::N,žaizda,傷
498,Fieber::N,karštis,熱
499,Arznei::N,vaistas,薬
500,Brücke::N,tiltas,橋
501,Brunnen::N,šulinys,井戸
502,Weide::N,ganykla,牧場
503,Weide::N,gluosnis,牧場
504,Pfad::N,takas,小路
505,Weg::N,kelias,道
506,Straße::N,gatvė,街道
507,Dorf::N,kaimas,村
508,Dorf::N,sodžius,村
509,Stadt::N,miestas,町
510,Stadt::N,miestas,都市
511,Brief::N,laiškas,手紙
512,Buch::N,knyga,本
513,Buchstabe::N,raidė,文字
514,Zeitung::N,laikraštis,新聞
515,Leben::N,gyvybė,生活
516,Leben::N,gyvenimas,生活
517,Tod::N,mirtis,死
518,Grab::N,kapas,墓
519,Kirche::N,bažnyčia,教会
520,Sünde::N,nuodėmė,罪
521,Sünde::N,nusidėjimas,罪
522,Gott::N,dievas,神
523,Arbeiter::N,darbininkas,労働者
524,Chef::N,šefas,上司
525,Chef::N,vadovas,上司
526,Chef::N,viršininkas,上司
527,Meister::N,meistras,達人
528,Meister::N,meistras,マイスター
529,Arzt::N,gydytojas,医者
530,Lehrer::N,mokytojas,先生
531,Geld::N,pinigai,金
532,Geschäft::N,biznis,取り引き
533,Laden::N,krautuvė,店
534,Laden::N,parduotuvė,店
535,Preis::N,kaina,値段
536,Ware::N,prekė,商品
537,Nutzen::N,nauda,利益
538,Nutzen::N,pelnas,利益
539,Reichtum::N,turtas,豊かさ
540,Welt::N,pasaulis,世界
541,Land::N,žemė,国
542,Land::N,šalis,国
543,Staat::N,valstija,国家
544,König::N,karalius,国王
545,Macht::N,galia,権力
546,Macht::N,valdžia,権力
547,Grenze::N,riba,国境
548,Grenze::N,siena,国境
549,Krieg::N,karas,戦争
550,Feind::N,priešas,敵
551,Gewalt::N,jėga,暴力
552,Gewalt::N,smurtas,暴力
553,Gewalt::N,prievarta,暴力
554,Kampf::N,kova,戦い
555,Bogen[Waffe]::N,lankas,弓
556,Pfeil::N,strėlė,矢
557,Gewehr::N,šautuvas,銃
558,Fehler::N,klaida,間違い
559,Lüge::N,melas,嘘
560,Schaden::N,nuostolis,損害
561,Schaden::N,apgadinimas,損害
562,Unglück::N,nelaimė,不幸
563,Schuld::N,kaltė,罪
564,Alter::N,amžius,年
565,Alter::N,amžius,年齢
566,Schluss::N,pabaiga,終わり
567,Zeit::N,laikas,時
568,Zeit::N,laikas,時間
569,Tag::N,diena,日
570,Morgen::N,rytas,朝
571,Mittag::N,vidurdienis,昼
572,Abend::N,vakaras,晩
573,Abend::N,vakaras,夕方
574,Nacht::N,naktis,夜
575,Woche::N,savaitė,週
576,Monat::N,mėnuo,月
577,Jahr::N,metai,年
578,Frühling::N,pavasaris,春
579,Sommer::N,vasara,夏
580,Herbst::N,ruduo,秋
581,Winter::N,žiema,冬
582,Januar::N,sausis,一月
583,Februar::N,vasaris,二月
584,März::N,kovas,三月
585,April::N,balandis,四月
586,Mai::N,gegužė,五月
587,Juni::N,birželis,六月
588,Juli::N,liepa,七月
589,August::N,rugpjūtis,八月
590,September::N,rugsėjis,九月
591,Oktober::N,spalis,十月
592,November::N,lapkritis,十一月
593,Dezember::N,gruodis,十二月
594,Montag::N,pirmadienis,月曜日
595,Dienstag::N,antradienis,火曜日
596,Mittwoch::N,trečiadienis,水曜日
597,Donnerstag::N,ketvirtadienis,木曜日
598,Freitag::N,penktadienis,金曜日
599,Samstag::N,šeštadienis,土曜日
600,Sonntag::N,sekmadienis,日曜日
601,groß::A,didis,大きい
602,groß::A,didelis,大きい
603,klein::A,mažas,小さい
604,lang::A,ilgas,長い
605,kurz::A,trumpas,短い
606,breit::A,platus,広い
607,schmal::A,smulkus,狭い
608,dicht::A,tankus,密な
609,dick[Gegenstand]::A,storas,厚い
610,dünn::A,plonas,薄い
611,fein::A,smulkus,細い
612,fest::A,kietas,硬い
613,fest::A,tvirtas,硬い
614,flach::A,lėkštas,平らな
615,flach::A,plokščias,平らな
616,glatt::A,slidus,滑らかな
617,hart::A,kietas,堅い
618,weich::A,minkštas,柔らかい
619,rund::A,apvalus,丸い
620,rund::A,apskritas,丸い
621,spitz::A,aštrus,尖った
622,spitz::A,smailus,尖った
623,scharf::A,aštrus,鋭い
624,stumpf::A,bukas,鈍い
625,stumpf::A,atšipęs,鈍い
626,schwer::A,sunkus,重い
627,schön::A,gražus,綺麗な
628,heiß::A,karštas,熱い
629,warm::A,šiltas,温かい
630,kalt::A,šaltas,寒い
631,kalt::A,šaltas,冷たい
632,kühl::A,vėsus,涼しい
633,kühl::A,bejausmis,涼しい
634,frisch::A,šviežias,ひんやりした
635,feucht::A,drėgnas,湿った
636,nass::A,šlapias,濡れた
637,trocken::A,sausas,乾いた
638,voll::A,pilnas,いっぱいの
639,leer::A,tuščias,空の
640,offen::A,atviras,開いた
641,geschlossen::A,uždaras,閉まった
642,geschlossen::A,uždarytas,閉まった
643,sauber::A,švarus,清潔な
644,schmutzig::A,nešvarus,汚い
645,schmutzig::A,purvinas,汚い
646,roh::A,žalias,生の
647,reif::A,prinokęs,熟した
648,reif::A,pribrendęs,熟した
649,lecker::A,gardus,美味しい
650,süß::A,saldus,甘い
651,bitter::A,kartus,苦い
652,sauer::A,gižus,酸っぱい
653,sauer::A,rūgštus,酸っぱい
654,hell::A,šviesus,明るい
655,hell::A,skaistus,明るい
656,dunkel::A,tamsus,暗い
657,schwarz::A,juodas,黒い
658,weiß::A,baltas,白い
659,rot::A,raudonas,赤い
660,gelb::A,geltonas,黄色い
661,blau::A,mėlynas,青い
662,grün::A,žalias,緑の
663,grau::A,pilkas,灰色の
664,bunt::A,margas,色取り取りの
665,bunt::A,spalvotas,色取り取りの
666,billig::A,pigus,安い
667,teuer::A,brangus,高い
668,wertvoll::A,vertingas,貴重な
669,blind::A,aklas,盲目の
670,taub::A,kurčias,耳が聞こえない
671,kräftig::A,stiprus,強力な
672,stark::A,stiprus,強い
673,schwach::A,silpnas,弱い
674,fett::A,riebus,太った
675,schlank::A,laibas,ほっそりした
676,schlank::A,lieknas,ほっそりした
677,hübsch::A,gražus,素敵な
678,böse::A,blogas,悪い
679,dumm::A,paikas,馬鹿な
680,dumm::A,kvailas,馬鹿な
681,faul::A,tingus,怠惰な
682,fleißig::A,stropus,勤勉な
683,fleißig::A,kruopštus,勤勉な
684,geizig::A,šykštus,けちな
685,klug::A,sumanus,賢い
686,klug::A,sumanus,頭のいい
687,klug::A,protingas,賢い
688,klug::A,protingas,頭のいい
689,geschickt::A,apsukrus,器用な
690,lieb::A,mielas,愛らしい
691,lustig::A,smagus,楽しい
692,lustig::A,linksmas,楽しい
693,sanft::A,švelnus,温和な
694,sanft::A,minkštas,温和な
695,hungrig::A,alkanas,空腹の
696,krank::A,ligotas,病気の
697,krank::A,sergantis,病気の
698,nackt::A,nuogas,裸の
699,traurig::A,liūdnas,悲しい
700,lebendig::A,gyvas,生きた
701,gut::A,geras,良い
702,schlecht::A,blogas,悪い
703,schlecht::A,blogas,駄目な
704,schlecht::A,prastas,悪い
705,schlecht::A,prastas,駄目な
706,richtig::A,tikras,正しい
707,richtig::A,teisingas,正しい
708,schlimm::A,blogas,ひどい
709,schlimm::A,prastas,ひどい
710,wahr::A,tikras,本当の
711,alt::A,senas,古い
712,neu::A,naujas,新しい
713,ehemalig::A,buvęs,以前の
714,alt[Lebewesen]::A,pagyvenęs,年を取った
715,jung::A,jaunas,若い
716,arm::A,neturtingas,貧乏な
717,reich::A,turtingas,裕福な
718,bekannt::A,žinomas,有名な
719,bekannt::A,pažįstamas,有名な
720,berühmt::A,žymus,有名な
721,berühmt::A,garsus,有名な
722,fremd::A,svetimas,見知らぬ
723,verschieden::A,įvairus,色々な
724,nah::A,artimas,近い
725,fern::A,tolimas,遠い
726,linker::A,kairys,左の
727,rechter::A,dešinys,右の
728,anderer::A,kitas,別の
729,erster::A,pirmas,一番目
730,zweiter::A,antras,二番目
731,dritter::A,trečias,三番目
732,letzter::A,paskutinis,最後の
733,allein::ADV,vienas,一人で
734,auf einmal::ADV,iš karto,同時に
735,zusammen::ADV,kartu,一緒に
736,zusammen::ADV,drauge,一緒に
737,lange::ADV,ilgai,長い間
738,plötzlich::ADV,staiga,急に
739,sofort::ADV,tuojau,すぐに
740,später::ADV,vėliau,後で
741,später::ADV,paskiau,後で
742,jetzt::ADV,dabãr,今
743,heute::ADV,šiandien,今日
744,morgen::ADV,rytoj,明日
745,bald::ADV,greitai,間もなく
746,bald::ADV,netrukus,間もなく
747,dann::ADV,po to,それから
748,gestern::ADV,vakar,昨日
749,einst::ADV,kadaise,過去に
750,einst::ADV,kitą kartą,過去に
751,damals::ADV,anuomet,あの時
752,damals::ADV,anuokart,あの時
753,danach::ADV,po to,その後で
754,danach::ADV,paskui,その後で
755,vorher::ADV,anksčiau,以前に
756,zuerst::ADV,pirma,まず
757,zuerst::ADV,pirma,最初に
758,zuerst::ADV,iš pradžių̃,まず
759,zuerst::ADV,iš pradžių̃,最初に
760,einmal::ADV,kartą,一回
761,einmal::ADV,vieną kartą,一回
762,manchmal::ADV,kai kada,時々
763,oft::ADV,dažnai,よく
764,immer::ADV,visada,いつも
765,immer::ADV,visuomet,いつも
766,niemals::ADV,niekada,一度も...ない
767,niemals::ADV,niekuomet,一度も...ない
768,hier::ADV,čia,こちら
769,hierhin::ADV,šen,ここへ
770,hierhin::ADV,šen,こちらへ
771,hierhin::ADV,čionai,ここへ
772,hierhin::ADV,čionai,こちらへ
773,von hier::ADV,iš čia,ここから
774,dort::ADV,ten,そちら
775,dort::ADV,tenai,そちら
776,dorthin::ADV,ten,そこへ
777,dorthin::ADV,ten,そちらへ
778,dorthin::ADV,ten link,そこへ
779,dorthin::ADV,ten link,そちらへ
780,geradeaus::ADV,tiesiai,真っ直ぐに
781,vorwärts::ADV,pirmyn,前へ
782,rückwärts::ADV,atbulai,後ろへ
783,zurück::ADV,atgal,後ろへ
784,unten::ADV,žemai,下に
785,unten::ADV,apačioje,下に
786,hinab::ADV,žemyn,下へ
787,oben::ADV,viršuj,上に
788,hinauf::ADV,aukštyn,上へ
789,hinauf::ADV,į viršų,上へ
790,überall::ADV,visur,どこでも
791,nicht::ADV,ne,ない
792,ein wenig::ADV,truputį,少し
793,ein wenig::ADV,truputį,ちょっと
794,kaum::ADV,vos,ほとんど～ない
795,sehr::ADV,labai,とても
796,sehr::ADV,baisiai,とても
797,so::ADV,taip,こう
798,noch::ADV,dar,まだ
799,nur::ADV,tik,～だけ
800,nur::ADV,vien,～だけ
801,schon::ADV,jau,もう
802,wieder::ADV,vėl,再び
803,wieder::ADV,iš naujo,再び
804,vergebens::ADV,veltui,無駄に
805,vergebens::ADV,bergždžiai,無駄に
806,vor::PRP,prieš,前に
807,hinter::PRP,už,後ろに
808,unter::PRP,po,下に
809,durch::PRP,pro,通して
810,durch::PRP,per,通して
811,neben::PRP,prie,横に
812,neben::PRP,šalia,横に
813,zwischen::PRP,tarp,間に
814,wegen::PRP,dėl,為に
815,wegen::PRP,dėl,せいで
816,wegen::PRP,dėlei,為に
817,wegen::PRP,dėlei,せいで
818,dies::PRN,šis,これ
