,Concept_ID,av,mrj
674,krank::A,щокъаб,церлӹ
675,krank::A,щокъаб,хворой
676,krank::A,унтараб,церлӹ
677,krank::A,унтараб,хворой
678,nackt::A,гӏицӏаб,цӓрӓ
679,nackt::A,чӏанкӏараб,цӓрӓ
680,traurig::A,пашманаб,сы́лыкан
681,traurig::A,пашманаб,кымы́лдымы
682,lebendig::A,чӏагояб,живой
683,gut::A,лъикӏаб,яжо
684,schlecht::A,къадараб,уда
685,schlecht::A,къадараб,худа
686,richtig::A,битӏараб,вургамла
687,schlimm::A,нажасаб,йӹрнык
688,schlimm::A,къабихӏаб,йӹрнык
689,wahr::A,хӏакъаб,настоящий
690,wahr::A,хӏакъаб,настояшый
691,wahr::A,битӏараб,настоящий
692,wahr::A,битӏараб,настояшый
693,alt::A,басрияб,шонгы
694,neu::A,цӏияб,у
695,ehemalig::A,цебе́госеб,тошты
696,alt[Lebewesen]::A,хераб,ӹлалшӹ
697,jung::A,тӏинчӏаб,нöргӹ
698,jung::A,тӏинчӏаб,молода
699,jung::A,гӏолохъанаб,нöргӹ
700,jung::A,гӏолохъанаб,молода
