,Concept_ID,sv,no
195,Vogel::N,fågel,fugl
196,Schwarm::N,svärm,sverm
197,Huhn::N,höns,høne
198,Hahn::N,tupp,hane
199,Gans::N,gås,gås
200,Adler::N,örn,ørn
201,Ente::N,anka,and
202,Eule::N,uggla,ugle
203,Kranich::N,trana,trane
204,Krähe::N,kråka,kråke
205,Kuckuck::N,gök,gjøk
206,Schwan::N,svan,svane
207,Fisch::N,fisk,fisk
208,Barsch::N,abborre,abbor
209,Hecht::N,gädda,gjedde
210,Schlange[Tier]::N,orm,orm
211,Schlange[Tier]::N,orm,slange
212,Wurm::N,mask,orm
213,Wurm::N,mask,mark
214,Spinne::N,spindel,edderkopp
215,Ameise::N,myra,maur
216,Laus::N,lus,lus
217,Mücke::N,mygga,mygg
218,Fliege::N,fluga,flue
219,Schmetterling::N,fjäril,sommerfugl
220,Beere::N,bär,bær
221,Apfel::N,äpple,eple
222,Pilz::N,svamp,sopp
223,Zwiebel::N,lök,løk
224,Saat::N,sådd,sæd
225,Korn::N,korn,korn
226,Heu::N,hö,høy
227,Schale::N,skal,skall
228,Grube::N,grop,grop
229,Falle::N,fälla,felle
230,Schlinge::N,snara,snare
231,Spur::N,spår,spor
232,Asche::N,aska,aske
233,Dreck::N,lort,møkk
234,Dreck::N,lort,skitt
235,Eisen::N,järn,jern
236,Gold::N,guld,gull
237,Silber::N,silver,sølv
238,Kohle::N,kol,kol
239,Kohle::N,kol,kull
240,Glas::N,glas,glass
241,Lehm::N,lera,leire
242,Sand::N,sand,sand
243,Mensch::N,människa,menneske
244,Mann::N,man,mann
245,Frau::N,kvinna,kvinne
246,Kind::N,barn,barn
247,Junge::N,pojke,gutt
248,Mädchen::N,flicka,pike
249,Mädchen::N,flicka,jente
250,Familie::N,familj,familie
251,Großvater::N,morfar,bestefar
252,Großmutter::N,farmor,bestemor
253,Eltern::N,föräldrar,foreldre
254,Vater::N,far,far
255,Mutter::N,mor,mor
256,Sohn::N,son,sønn
257,Tochter::N,dotter,datter
258,Bruder::N,bror,bror
259,Schwester::N,syster,søster
260,Onkel::N,morbror,onkel
261,Tante::N,tant,tante
262,Ehemann::N,äkta man,ektemann
263,Ehefrau::N,hustru,hustru
264,Freude::N,fröjd,glede
265,Freude::N,glädje,glede
266,Gelächter::N,åtlöje,latter
267,Glück::N,lycka,lykke
268,Kummer::N,sorg,sorg
269,Wunsch::N,önskan,ønske
270,Lust::N,lust,lyst
271,Geist::N,ande,ånd
272,Gedanke::N,tanke,tanke
273,Gedächtnis::N,minne,minne
274,Gedächtnis::N,minne,hukommelse
275,Verstand::N,förstånd,forstand
276,Sinn::N,mening,mening
277,Sinn::N,mening,betydning
278,Sinn::N,betydelse,mening
279,Sinn::N,betydelse,betydning
280,Grund::N,skäl,grunn
281,Grund::N,grund,grunn
282,Wahrheit::N,sanning,sannhet
283,Gespräch::N,samtal,samtale
284,Märchen::N,saga,eventyr
285,Erzählung::N,berättelse,fortelling
286,Nachricht::N,meddelande,melding
287,Neuigkeit::N,nyhet,nyhet
288,Name::N,namn,navn
289,Rätsel::N,gåta,gåte
290,Rede::N,tal,tale
291,Sprache::N,språk,språk
292,Stimme::N,stämma,stemme
293,Wort::N,ord,ord
294,Zeichen::N,tecken,tegn
295,Ruf::N,rop,rop
296,Lärm::N,bråk,bråk
297,Lärm::N,oväsen,bråk
298,Laut::N,ljud,lyd
299,Ton::N,ton,tone
300,Lied::N,sång,vise
301,Ruhe::N,ro,ro
302,Ruhe::N,lugn,ro
303,Leute::N,folk,folk
304,Volk::N,folk,folk
305,Arbeit::N,arbete,arbeid
306,Gast::N,gäst,gjest
307,Geschenk::N,gåva,gave
308,Geschenk::N,present,gave
309,Spiel::N,lek,lek
310,Spiel::N,lek,spill
311,Spiel::N,spel,lek
312,Spiel::N,spel,spill
313,Gesellschaft::N,sällskap,selskap
314,Hilfe::N,hjälp,hjelp
315,Freund::N,vän,venn
316,Kamerad::N,kamrat,kamerat
317,Angelegenheit::N,ärende,sak
318,Angelegenheit::N,ärende,anliggende
319,Angelegenheit::N,angelägenhet,sak
320,Angelegenheit::N,angelägenhet,anliggende
321,Anzahl::N,antal,antall
322,Art::N,art,art
323,Art::N,art,slag
324,Art::N,slag,art
325,Art::N,slag,slag
326,Stück::N,stycke,stykke
327,Teil::N,del,del
328,Hälfte::N,halva,halvdel
329,Kreis::N,krets,ring
330,Kreis::N,krets,sirkel
331,Kreis::N,cirkel,ring
332,Kreis::N,cirkel,sirkel
333,Kreuz::N,kors,kors
334,Kreuz::N,kors,kryss
335,Kreuz::N,kryss,kors
336,Kreuz::N,kryss,kryss
337,Linie::N,linje,linje
338,Strich::N,streck,strek
339,Abstand::N,avstånd,avstand
340,Entfernung::N,avstånd,avstand
341,Gegend::N,trakt,strøk
342,Platz::N,plats,plass
343,Ort::N,plats,sted
344,Ort::N,ställe,sted
345,Seite::N,sida,side
346,Mitte::N,mitt,midte
347,Gegenstand::N,föremål,gjenstand
348,Sache::N,sak,sak
349,Rand::N,rand,rand
350,Kante::N,kant,kant
351,Ecke::N,vrå,hjørne
352,Ecke::N,hörn,hjørne
353,Spitze::N,spets,spiss
354,Ende::N,ända,ende
355,Loch::N,hål,hull
356,Winkel::N,vinkel,vinkel
357,Muster::N,mönster,mønster
358,Größe::N,storlek,størrelse
359,Länge::N,längd,lengde
360,Höhe::N,höjd,høyde
361,Gewicht::N,tyngd,vekt
362,Menge::N,mängd,mengde
363,Haufen::N,hög,haug
364,Haufen::N,hög,bunke
365,Reihe::N,rad,rekke
366,Boot::N,båt,båt
367,Ruder::N,åra,åre
368,Schlitten::N,släde,slede
369,Schlitten::N,släde,kjelke
370,Ski::N,skida,ski
371,Lagerfeuer::N,lägereld,leirbål
372,Last::N,last,bør
373,Last::N,last,last
374,Last::N,börda,bør
375,Last::N,börda,last
376,Gang::N,gång,gang
377,Schritt::N,steg,steg
378,Schritt::N,steg,skritt
379,Norden::N,norr,nord
380,Süden::N,söder,sør
381,Westen::N,väster,vest
382,Osten::N,öster,øst
383,Holz::N,trä,tre
384,Brett::N,bräda,fjøl
385,Brett::N,bräda,brett
386,Platte::N,platta,plate
387,Stütze::N,stöd,støtte
388,Stütze::N,stötta,støtte
389,Stange::N,stång,stang
390,Stock::N,käpp,pinne
391,Stock::N,pinne,pinne
392,Stab::N,stav,stav
393,Stab::N,stav,kjepp
394,Rohr::N,rör,rør
395,Haus::N,hus,hus
396,Heim::N,hem,hjem
397,Ofen::N,ugn,ovn
398,Fußboden::N,golv,gulv
399,Tisch::N,bord,bord
400,Stuhl::N,stol,stol
401,Wiege::N,vagga,vogge
402,Bett::N,säng,seng
403,Regal::N,hylla,reol
404,Regal::N,hylla,hylle
405,Kiste::N,låda,kasse
406,Fenster::N,fönster,vindu
407,Tür::N,dörr,dør
408,Tor::N,port,port
409,Zaun::N,staket,gjerde
410,Zaun::N,stängsel,gjerde
411,Dach::N,tak,tak
412,Leiter::N,stege,stige
413,Besen::N,kvast,kost
414,Spaten::N,spade,spade
415,Schaufel::N,skovel,skuffe
416,Schaufel::N,skyffel,skuffe
417,Gabel::N,gaffel,gaffel
418,Löffel::N,sked,skje
419,Messer::N,kniv,kniv
420,Nagel::N,spik,spiker
421,Netz::N,nät,nett
422,Haken::N,krok,krok
423,Griff::N,tag,tak
424,Griff::N,tag,håndtak
425,Griff::N,handtag,tak
426,Griff::N,handtag,håndtak
427,Schloss::N,las,lås
428,Bild::N,bild,bilde
429,Figur::N,figur,figur
430,Puppe::N,docka,dukke
431,Beutel::N,påse,pose
432,Bündel::N,bunt,bylt
433,Bündel::N,knippa,bylt
434,Tasche::N,väska,veske
435,Eimer::N,hink,bøtte
436,Eimer::N,ämbar,bøtte
437,Deckel::N,lock,lokk
438,Geschirr::N,servis,kjøkkentøy
439,Geschirr::N,porslin,kjøkkentøy
440,Sack::N,säck,sekk
441,Tasse::N,kopp,kopp
442,Topf::N,gryta,gryte
443,Topf::N,kastrull,gryte
444,Kessel::N,kittel,kjele
445,Essen::N,mål,mål
446,Nahrung::N,näring,mat
447,Nahrung::N,näring,næring
448,Speise::N,maträtt,matrett
449,Fleisch::N,kött,kjøtt
450,Getreide::N,säd,korn
451,Getreide::N,spannmål,korn
452,Brei::N,gröt,grøt
453,Brot::N,bröd,brød
454,Scheibe::N,skiva,skive
455,Fett::N,fett,fett
456,Butter::N,smör,smør
457,Öl::N,olja,olje
458,Salz::N,salt,salt
459,Suppe::N,soppa,suppe
460,Honig::N,honung,honning
461,Milch::N,mjölk,melk
462,Tee::N,te,te
463,Leder::N,läder,lær
464,Leder::N,läder,skinn
465,Wolle::N,ull,ull
466,Wolle::N,ylle,ull
467,Stoff::N,tyg,tøy
468,Stoff::N,tyg,stoff
469,Stoff::N,stoff,tøy
470,Stoff::N,stoff,stoff
471,Nadel::N,nål,nål
472,Faden::N,tråd,tråd
473,Knopf::N,knapp,knapp
474,Knoten::N,knut,knute
475,Farbe::N,färg,farge
476,Kleidung::N,klädsel,påkledning
477,Hemd::N,skjorta,skjorte
478,Kragen::N,krage,krage
479,Ärmel::N,ärm,erme
480,Hose::N,byxor,bukse
481,Gürtel::N,bälte,belte
482,Mütze::N,mössa,lue
483,Schuh::N,sko,sko
484,Stiefel::N,stövel,støvel
485,Ring::N,ring,ring
486,Band::N,band,band
487,Kamm::N,kam,kam
488,Spiegel::N,spegel,speil
489,Riemen::N,rem,rem
490,Schnur::N,snöre,snor
491,Leine::N,lina,line
492,Decke::N,täcke,teppe
493,Kissen::N,dyna,pute
494,Kissen::N,kudde,pute
495,Tuch::N,sjal,tøy
496,Handtuch::N,handduk,håndkle
497,Kraft::N,kraft,kraft
498,Stärke::N,styrka,styrke
499,Gesundheit::N,hälsa,helse
500,Gesundheit::N,hälsa,sunnhet
501,Krankheit::N,sjukdom,syke
502,Krankheit::N,sjukdom,sykdom
503,Schmerz::N,smärta,smerte
504,Wunde::N,sår,sår
505,Fieber::N,feber,feber
506,Arznei::N,medicin,medisin
507,Arznei::N,medicin,legemiddel
508,Arznei::N,läkemedel,medisin
509,Arznei::N,läkemedel,legemiddel
510,Brücke::N,bro,bro
511,Brunnen::N,brunn,brønn
512,Weide::N,bete,beite
513,Pfad::N,stig,sti
514,Weg::N,väg,vei
515,Straße::N,gata,gate
516,Dorf::N,by,landsby
517,Stadt::N,stad,by
518,Brief::N,brev,brev
519,Buch::N,bok,bok
520,Buchstabe::N,bokstav,bokstav
521,Zeitung::N,tidning,avis
522,Leben::N,liv,liv
523,Tod::N,död,død
524,Grab::N,grav,grav
525,Kirche::N,kyrka,kirke
526,Sünde::N,synd,synd
527,Gott::N,gud,gud
528,Arbeiter::N,arbetare,arbeider
529,Chef::N,chef,sjef
530,Meister::N,mästare,mester
531,Arzt::N,läkare,lege
532,Lehrer::N,lärare,lærer
533,Geld::N,pengar,penger
534,Geschäft::N,rörelse,forretning
535,Laden::N,affär,butikk
536,Preis::N,pris,pris
537,Ware::N,vara,vare
538,Nutzen::N,gagn,nytte
539,Nutzen::N,nytta,nytte
540,Reichtum::N,rikedom,rikdom
541,Welt::N,värld,verden
542,Land::N,land,land
543,Staat::N,stat,stat
544,König::N,kung,konge
545,König::N,konung,konge
546,Macht::N,makt,makt
547,Grenze::N,gräns,grense
548,Krieg::N,krig,krig
549,Feind::N,fiende,fiende
550,Gewalt::N,våld,vold
551,Kampf::N,kamp,kamp
552,Kampf::N,strid,kamp
553,Bogen[Waffe]::N,båge,bue
554,Pfeil::N,pil,pil
555,Gewehr::N,gevär,gevær
556,Fehler::N,fel,feil
557,Lüge::N,lögn,løgn
558,Schaden::N,skada,skade
559,Unglück::N,otur,uhell
560,Unglück::N,olycka,uhell
561,Schuld::N,skuld,skyld
562,Alter::N,ålder,alder
563,Schluss::N,slut,slutt
564,Zeit::N,tid,tid
565,Tag::N,dag,dag
566,Morgen::N,morgon,morgen
567,Mittag::N,middag,middag
568,Abend::N,kväll,aften
569,Nacht::N,natt,natt
570,Woche::N,vecka,uke
571,Monat::N,månad,måned
572,Jahr::N,år,år
573,Frühling::N,vår,vår
574,Sommer::N,sommar,sommer
575,Herbst::N,höst,høst
576,Winter::N,vinter,vinter
577,Januar::N,januari,januar
578,Februar::N,februari,februar
579,März::N,mars,mars
580,April::N,april,april
581,Mai::N,maj,mai
582,Juni::N,juni,juni
583,Juli::N,juli,juli
584,August::N,augusti,august
585,September::N,september,september
586,Oktober::N,oktober,oktober
587,November::N,november,november
588,Dezember::N,december,desember
589,Montag::N,måndag,mandag
590,Dienstag::N,tisdag,tirsdag
591,Mittwoch::N,onsdag,onsdag
592,Donnerstag::N,torsdag,torsdag
593,Freitag::N,fredag,fredag
594,Samstag::N,lördag,lørdag
595,Sonntag::N,söndag,søndag
596,groß::A,stor,stor
597,klein::A,liten,liten
598,lang::A,lång,lang
599,kurz::A,kort,kort
600,breit::A,bred,bred
601,schmal::A,smal,smal
602,dicht::A,tät,tett
603,dick[Gegenstand]::A,tjock,tykk
604,dünn::A,tunn,tynn
605,fein::A,fin,fin
606,fest::A,fast,fast
607,flach::A,platt,flat
608,glatt::A,glatt,glatt
609,hart::A,hård,hard
610,weich::A,mjuk,myk
611,weich::A,mjuk,bløt
612,rund::A,rund,rund
613,spitz::A,toppig,spiss
614,spitz::A,spetsig,spiss
615,scharf::A,vass,kvass
616,scharf::A,skarp,kvass
617,stumpf::A,slö,stubb
618,schwer::A,tung,tung
619,schön::A,skön,pen
620,schön::A,skön,vakker
621,schön::A,vacker,pen
622,schön::A,vacker,vakker
623,heiß::A,het,het
624,warm::A,varm,varm
625,kalt::A,kall,kald
626,kühl::A,sval,kjølig
627,kühl::A,kylig,kjølig
628,frisch::A,färsk,fersk
629,feucht::A,fuktig,fuktig
630,nass::A,våt,våt
631,trocken::A,torr,tørr
632,voll::A,full,full
633,leer::A,tom,tom
634,offen::A,öppen,åpen
635,geschlossen::A,stängd,lukket
636,sauber::A,ren,ren
637,schmutzig::A,snuskig,skitten
638,roh::A,rå,rå
639,reif::A,mogen,moden
640,lecker::A,läcker,lekker
641,süß::A,söt,søt
642,bitter::A,besk,besk
643,bitter::A,besk,bitter
644,bitter::A,bitter,besk
645,bitter::A,bitter,bitter
646,sauer::A,sur,sur
647,hell::A,ljus,lys
648,dunkel::A,mörk,mørk
649,schwarz::A,svart,svart
650,weiß::A,vit,hvit
651,rot::A,röd,rød
652,gelb::A,gul,gul
653,blau::A,blå,blå
654,grün::A,grön,grønn
655,grau::A,grå,grå
656,bunt::A,brokig,broket
657,billig::A,billig,billig
658,teuer::A,dyr,dyr
659,wertvoll::A,värdefull,verdifull
660,blind::A,blind,blind
661,taub::A,döv,døv
662,kräftig::A,kraftig,kraftig
663,stark::A,stark,sterk
664,schwach::A,svag,svak
665,fett::A,fet,fet
666,schlank::A,slank,slank
667,hübsch::A,snygg,pen
668,hübsch::A,vacker,pen
669,böse::A,ond,slem
670,böse::A,elak,slem
671,dumm::A,dum,dum
672,faul::A,lat,lat
673,faul::A,lat,doven
674,fleißig::A,flitig,flittig
675,geizig::A,snål,gjerrig
676,geizig::A,girig,gjerrig
677,klug::A,klok,klok
678,geschickt::A,händig,hendig
679,geschickt::A,händig,skikket
680,geschickt::A,skicklig,hendig
681,geschickt::A,skicklig,skikket
682,lieb::A,kär,kjær
683,lieb::A,kär,snill
684,lieb::A,snäll,kjær
685,lieb::A,snäll,snill
686,lustig::A,rolig,morsom
687,lustig::A,lustig,morsom
688,sanft::A,mild,blid
689,hungrig::A,hungrig,sulten
690,krank::A,sjuk,syk
691,nackt::A,naken,naken
692,traurig::A,ledsen,sørgmodig
693,traurig::A,sorgsen,sørgmodig
694,lebendig::A,levande,levende
695,gut::A,bra,god
696,schlecht::A,dålig,dårlig
697,richtig::A,riktig,riktig
698,schlimm::A,illa,slem
699,wahr::A,sann,sann
700,alt::A,gammal,gammel
701,neu::A,ny,ny
702,ehemalig::A,forn,forhenværende
703,ehemalig::A,tidigare,forhenværende
704,alt[Lebewesen]::A,gammal,gammel
705,jung::A,ung,ung
706,arm::A,fattig,fattig
707,reich::A,rik,rik
708,bekannt::A,känd,kjent
709,berühmt::A,berömd,berømt
710,fremd::A,främmande,fremmed
711,verschieden::A,åtskillig,forskjellig
712,nah::A,nära,nær
713,fern::A,fjärran,fjern
714,linker::A,vänster,venstre
715,rechter::A,höger,høyre
716,anderer::A,annan,annen
717,erster::A,första,første
718,zweiter::A,andra,annen
719,dritter::A,tredje,tredje
720,letzter::A,sist,sist
721,allein::ADV,allena,alene
722,auf einmal::ADV,på en gång,med ett
723,zusammen::ADV,tillsammans,sammen
724,lange::ADV,länge,lenge
725,plötzlich::ADV,plötsligt,plutselig
726,sofort::ADV,strax,straks
727,sofort::ADV,genast,straks
728,später::ADV,senare,senere
729,jetzt::ADV,nu,nå
730,heute::ADV,i dag,i dag
731,morgen::ADV,i morgon,i morgen
732,bald::ADV,snart,snart
733,dann::ADV,då,så
734,gestern::ADV,i går,i går
735,einst::ADV,en gång,engang
736,damals::ADV,då,den gang
737,damals::ADV,den gången,den gang
738,danach::ADV,därefter,deretter
739,vorher::ADV,före,før
740,vorher::ADV,före,i forveien
741,vorher::ADV,förut,før
742,vorher::ADV,förut,i forveien
743,zuerst::ADV,först,først
744,einmal::ADV,en gång,en gang
745,manchmal::ADV,ibland,somme tider
746,oft::ADV,ofta,ofte
747,immer::ADV,alltid,alltid
748,niemals::ADV,aldrig,aldri
749,hier::ADV,här,her
750,hierhin::ADV,hit,hit
751,von hier::ADV,härifrån,herfra
752,dort::ADV,där,der
753,dorthin::ADV,dit,dit
754,geradeaus::ADV,rätt fram,rett fram
755,vorwärts::ADV,fram,fram
756,vorwärts::ADV,fram,framover
757,vorwärts::ADV,framåt,fram
758,vorwärts::ADV,framåt,framover
759,rückwärts::ADV,baklänges,baklengs
760,zurück::ADV,tillbaka,tilbake
761,unten::ADV,nere,nede
762,unten::ADV,nedanför,nede
763,hinab::ADV,ned,ned
764,hinab::ADV,ned,nedover
765,hinab::ADV,nedåt,ned
766,hinab::ADV,nedåt,nedover
767,oben::ADV,ovan,oppe
768,oben::ADV,ovan,ovenpå
769,oben::ADV,ovanpå,oppe
770,oben::ADV,ovanpå,ovenpå
771,hinauf::ADV,upp,opp
772,hinauf::ADV,upp,oppover
773,hinauf::ADV,uppåt,opp
774,hinauf::ADV,uppåt,oppover
775,überall::ADV,överallt,overalt
776,nicht::ADV,ej,ikke
777,nicht::ADV,inte,ikke
778,ein wenig::ADV,litet,litt
779,kaum::ADV,knappt,neppe
780,kaum::ADV,knappast,neppe
781,sehr::ADV,mycket,svært
782,so::ADV,så,så
783,noch::ADV,än,enda
784,noch::ADV,ännu,enda
785,nur::ADV,bara,bare
786,nur::ADV,endast,bare
787,schon::ADV,redan,alt
788,schon::ADV,redan,allerede
789,wieder::ADV,åter,igjen
790,vergebens::ADV,förgäves,forgjeves
791,vor::PRP,utanför,foran
792,vor::PRP,utanför,utenfor
793,hinter::PRP,bakom,bak
794,hinter::PRP,bakom,bakom
795,unter::PRP,under,under
796,durch::PRP,genom,gjennom
797,durch::PRP,genom,igjennom
798,durch::PRP,igenom,gjennom
799,durch::PRP,igenom,igjennom
800,neben::PRP,bredvid,ved siden av
801,neben::PRP,vid sidan av,ved siden av
802,zwischen::PRP,mellan,mellom
803,wegen::PRP,på grund av,på grunn av
804,dies::PRN,detta,dette
805,das::PRN,det,det
806,alles::PRN,allt,alt
807,ich::PRN,jag,jeg
808,du::PRN,du,du
809,er::PRN,han,han
810,wir::PRN,vi,vi
811,ihr::PRN,ni,dere
812,sie::PRN,de,de
813,was::FPRN,vad,hva
814,wer::FPRN,vem,hvem
815,wo::FADV,var,hvor
816,wohin::FADV,vart,hvor ... hen
817,wie::FADV,hur,hvordan
818,warum::FADV,varför,hvorfor
819,wieviel::FNUM,hur mycket,hvor mye
820,eins::NUM,en,en
821,eins::NUM,en,ett
822,eins::NUM,ett,en
823,eins::NUM,ett,ett
824,zwei::NUM,två,to
825,drei::NUM,tre,tre
826,vier::NUM,fyra,fire
827,fünf::NUM,fem,fem
828,sechs::NUM,sex,seks
829,sieben::NUM,sju,sju
830,acht::NUM,åtta,åtte
831,neun::NUM,nio,ni
832,zehn::NUM,tio,ti
833,elf::NUM,elva,elleve
834,zwölf::NUM,tolv,tolv
835,zwanzig::NUM,tjugo,tjue
836,dreißig::NUM,trettio,tretti
837,vierzig::NUM,fyrtio,førti
838,fünfzig::NUM,femtio,femti
839,sechzig::NUM,sextio,seksti
840,siebzig::NUM,sjuttio,sytti
841,achtzig::NUM,åttio,åtti
842,neunzig::NUM,nittio,nitti
843,hundert::NUM,hundra,hundre
844,tausend::NUM,tusen,tusen
845,und::CNJ,och,og
846,oder::CNJ,eller,eller
847,stehen::V,stå,stå
848,sitzen::V,sitta,sitte
849,liegen::V,ligga,ligge
850,hängen::V,hänga,henge
851,werden::V,bli,bli
852,passieren::V,ske,skje
853,passieren::V,ske,hende
854,passieren::V,hända,skje
855,passieren::V,hända,hende
856,beginnen::V,börja,begynne
857,enden::V,ända,ende
858,enden::V,ända,slutte
859,wechseln::V,växla,veksle
860,aufgehen[Sonne]::V,gå upp,stå opp
861,untergehen[Sonne]::V,gå ned,gå ned
862,scheinen[Sonne]::V,skina,skinne
863,donnern::V,dundra,tordne
864,wehen::V,blåsa,blåse
865,strömen::V,forsa,strømme
866,strömen::V,strömma,strømme
867,fließen::V,flyta,flyte
868,sich drehen::V,snurra,dreie seg
869,schwanken::V,vackla,svaie
870,schwingen::V,svinga,svinge
