,Concept_ID,uk,da
170,Schlange[Tier]::N,змія,slange
171,Wurm::N,черв’як,orm
172,Spinne::N,павук,edderkop
173,Ameise::N,мурашка,myre
174,Laus::N,воша,lus
175,Mücke::N,комар,myg
176,Fliege::N,муха,flue
177,Schmetterling::N,метелик,sommerfugl
178,Beere::N,ягода,bær
179,Apfel::N,яблуко,æble
180,Pilz::N,гриб,svamp
181,Zwiebel::N,цибуля,løg
182,Saat::N,сім’я,sæd
183,Korn::N,зерно,korn
184,Heu::N,сіно,hø
185,Schale::N,шкірка,skræl
186,Grube::N,яма,grav
187,Falle::N,пастка,fælde
188,Schlinge::N,петля,snare
189,Spur::N,слід,spor
190,Asche::N,зола,aske
191,Asche::N,попіл,aske
192,Dreck::N,бруд,snavs
193,Eisen::N,залізо,jern
194,Gold::N,золото,guld
195,Silber::N,срібло,sølv
196,Kohle::N,вугілля,kul
197,Glas::N,скло,glas
198,Lehm::N,глина,ler
199,Sand::N,пісок,sand
200,Mensch::N,людина,mennesge
201,Mann::N,чоловік,mand
202,Frau::N,жінка,kvinde
203,Kind::N,дитина,barn
204,Junge::N,хлопець,dreng
205,Mädchen::N,дівчина,pige
206,Familie::N,сім’я,familie
207,Familie::N,родина,familie
208,Großvater::N,дідусь,bedstefar
209,Großmutter::N,бабуся,bedstemor
210,Eltern::N,батьки,forældre
211,Vater::N,батько,far
212,Mutter::N,мати,mor
213,Sohn::N,син,søn
214,Tochter::N,дочка,datter
215,Bruder::N,брат,bror
216,Schwester::N,сестра,søster
217,Onkel::N,дядько,onkel
218,Tante::N,тітка,tante
219,Ehemann::N,чоловік,ægtemand
220,Ehefrau::N,жінка,hustru
221,Ehefrau::N,дружина,hustru
222,Freude::N,радощі,glæde
223,Gelächter::N,сміх,latter
224,Glück::N,щастя,lykke
225,Kummer::N,горе,sorg
226,Wunsch::N,бажання,ønske
227,Lust::N,бажання,lyst
228,Geist::N,дух,ånd
229,Gedanke::N,думка,tanke
230,Gedächtnis::N,пам’ять,hukommelse
231,Verstand::N,розум,forstand
232,Sinn::N,зміст,mening
233,Sinn::N,зміст,betydning
234,Sinn::N,значення,mening
235,Sinn::N,значення,betydning
236,Grund::N,причина,grund
237,Wahrheit::N,правда,sandhed
238,Gespräch::N,розмова,samtale
239,Märchen::N,байка,eventyr
240,Erzählung::N,повість,fortælling
241,Erzählung::N,оповідання,fortælling
242,Nachricht::N,повідомлення,efterretning
243,Neuigkeit::N,новина,nyhed
244,Name::N,ім’я,navn
245,Rätsel::N,загадка,gåde
246,Rede::N,промова,tale
247,Sprache::N,мова,sprog
248,Stimme::N,голос,stemme
249,Wort::N,слово,ord
250,Zeichen::N,знак,tegn
251,Ruf::N,оклик,råb
252,Lärm::N,шум,larm
253,Laut::N,звук,lyd
254,Ton::N,тон,tone
255,Lied::N,пісня,sang
256,Ruhe::N,спокій,ro
257,Ruhe::N,спокій,hvile
258,Leute::N,люди,folk
259,Leute::N,люди,mennesker
260,Volk::N,народ,folk
261,Arbeit::N,робота,arbejde
262,Gast::N,гість,gæst
263,Geschenk::N,подарунок,gave
264,Spiel::N,гра,leg
265,Gesellschaft::N,товариство,selskab
266,Hilfe::N,допомога,hjælp
267,Freund::N,друг,ven
268,Freund::N,приятель,ven
269,Kamerad::N,товариш,kammerat
270,Angelegenheit::N,справа,sag
271,Angelegenheit::N,справа,anliggende
272,Anzahl::N,число,antal
273,Art::N,рід,art
274,Stück::N,кусок,stykke
275,Teil::N,частина,del
276,Hälfte::N,половина,halvdel
277,Kreis::N,круг,cirkel
278,Kreis::N,коло,cirkel
279,Kreuz::N,хрест,kors
280,Kreuz::N,хрест,kryds
281,Linie::N,лінія,linie
282,Strich::N,штрих,streg
283,Abstand::N,проміжок,afstand
284,Entfernung::N,відстань,afstand
285,Gegend::N,місцевість,egn
286,Platz::N,площа,plads
287,Ort::N,місце,sted
288,Seite::N,сторона,side
289,Mitte::N,середина,midte
290,Gegenstand::N,предмет,genstand
291,Sache::N,річ,sag
292,Rand::N,край,rand
293,Kante::N,ребро,kant
294,Ecke::N,ріг,hjørne
295,Spitze::N,кінчик,spids
296,Ende::N,кінець,ende
297,Loch::N,діра,hul
298,Winkel::N,куток,vinkel
299,Muster::N,узор,mønster
300,Größe::N,розмір,størrelse
301,Länge::N,довжина,længde
302,Höhe::N,висота,højde
303,Gewicht::N,вага,vægt
304,Menge::N,кількість,mængde
305,Haufen::N,купа,bunke
306,Reihe::N,ряд,række
307,Boot::N,човен,båd
308,Ruder::N,весло,åre
309,Schlitten::N,сани,kælk
310,Schlitten::N,сани,slæde
311,Ski::N,лижа,ski
312,Lagerfeuer::N,вогнище,lejrbål
313,Last::N,тягар,last
314,Last::N,тягар,byrde
315,Last::N,вантаж,last
316,Last::N,вантаж,byrde
317,Gang::N,хід,gang
318,Schritt::N,крок,skridt
319,Norden::N,північ,nord
320,Süden::N,південь,syd
321,Westen::N,захід,vest
322,Osten::N,схід,øst
323,Holz::N,дрова,træ
324,Brett::N,дошка,bræt
325,Platte::N,плита,plade
326,Stütze::N,підпірка,støtte
327,Stange::N,жердина,stang
328,Stock::N,палиця,stok
329,Stab::N,палиця,stav
330,Rohr::N,труба,rør
331,Haus::N,дім,hus
332,Haus::N,хата,hus
333,Heim::N,житло,hjem
334,Ofen::N,піч,ovn
335,Fußboden::N,підлога,gulv
336,Tisch::N,стіл,bord
337,Stuhl::N,стілець,stol
338,Wiege::N,колиска,vugge
339,Bett::N,ліжко,seng
340,Bett::N,постіль,seng
341,Regal::N,полиця,reol
342,Kiste::N,ящик,kasse
343,Fenster::N,вікно,vindue
344,Tür::N,двері,dør
345,Tor::N,ворота,port
346,Zaun::N,паркан,stakit
347,Zaun::N,огорожа,stakit
348,Dach::N,дах,tag
349,Leiter::N,драбина,stige
350,Besen::N,мітла,kost
351,Spaten::N,заступ,spade
352,Schaufel::N,совок,skovl
353,Schaufel::N,лопата,skovl
354,Gabel::N,виделка,gaffel
355,Löffel::N,ложка,ske
356,Messer::N,ніж,kniv
357,Nagel::N,цвях,søm
358,Netz::N,сіть,net
359,Haken::N,крюк,krog
360,Griff::N,ручка,tag
361,Griff::N,ручка,håndtag
362,Griff::N,держак,tag
363,Griff::N,держак,håndtag
364,Schloss::N,замок,lås
365,Bild::N,картина,billede
366,Figur::N,фігура,figur
367,Puppe::N,лялька,dukke
368,Beutel::N,мішечок,pose
369,Beutel::N,торбинка,pose
370,Bündel::N,в’язка,bylt
371,Bündel::N,в’язка,bundt
372,Tasche::N,сумка,taske
373,Eimer::N,відро,spand
374,Deckel::N,кришка,låg
375,Geschirr::N,посуд,husgeråd
376,Sack::N,мішок,sæk
377,Tasse::N,чашка,kop
378,Topf::N,горщик,gryde
379,Kessel::N,котел,kedel
380,Essen::N,їжа,måltid
381,Nahrung::N,харч,mad
382,Nahrung::N,харч,næring
383,Speise::N,страва,ret
384,Fleisch::N,м’ясо,kød
385,Getreide::N,хліб,korn
386,Getreide::N,збіжжя,korn
387,Brei::N,каша,grød
388,Brot::N,хліб,brød
389,Scheibe::N,скибочка,skive
390,Fett::N,жир,fedt
391,Butter::N,масло,smør
392,Öl::N,олія,olie
393,Salz::N,сіль,salt
394,Suppe::N,суп,suppe
395,Honig::N,мед,honning
396,Milch::N,молоко,mælk
397,Tee::N,чай,te
398,Leder::N,шкіра,skind
399,Wolle::N,шерсть,uld
400,Stoff::N,тканина,stof
401,Nadel::N,голка,nål
402,Faden::N,нитка,tråd
403,Knopf::N,ґудзик,knap
404,Knoten::N,вузол,knude
405,Farbe::N,фарба,farve
406,Kleidung::N,одяг,påklædning
407,Kleidung::N,убрання,påklædning
408,Hemd::N,сорочка,skjorte
409,Kragen::N,комір,krave
410,Ärmel::N,рукав,ærme
411,Hose::N,брюки,bukser
412,Gürtel::N,пояс,bælte
413,Mütze::N,шапка,hue
414,Schuh::N,ботинок,sko
415,Stiefel::N,чобіт,støvle
416,Ring::N,кільце,ring
417,Band::N,стрічка,bånd
418,Kamm::N,гребінець,kam
419,Spiegel::N,дзеркало,spejl
420,Riemen::N,ремінь,rem
421,Schnur::N,вірьовка,snor
422,Leine::N,шворка,snor
423,Decke::N,ковдра,tæppe
424,Kissen::N,подушка,pude
425,Tuch::N,хустка,sjaltørklæde
426,Handtuch::N,рушник,håndklæde
427,Kraft::N,сила,kraft
428,Stärke::N,сила,styrke
429,Gesundheit::N,здоров’я,sundhed
430,Krankheit::N,хвороба,sygdom
431,Schmerz::N,біль,smerte
432,Wunde::N,рана,sår
433,Fieber::N,гарячка,feber
434,Arznei::N,ліки,medicin
435,Arznei::N,ліки,lægemiddel
436,Brücke::N,міст,bro
437,Brunnen::N,колодязь,brønd
438,Weide::N,пасовище,græsgang
439,Pfad::N,стежка,sti
440,Weg::N,шлях,vej
441,Weg::N,дорога,vej
442,Straße::N,вулиця,gade
443,Dorf::N,село,landsby
444,Stadt::N,місто,by
445,Brief::N,лист,brev
446,Buch::N,книга,bog
447,Buch::N,книжка,bog
448,Buchstabe::N,буква,bogstav
449,Buchstabe::N,літера,bogstav
450,Zeitung::N,газета,avis
451,Leben::N,життя,liv
452,Tod::N,смерть,død
453,Grab::N,могила,grav
454,Kirche::N,церква,kirke
455,Sünde::N,гріх,synd
456,Gott::N,бог,gud
457,Arbeiter::N,робітник,arbejder
458,Chef::N,хазяїн,chef
459,Meister::N,умілець,mester
460,Arzt::N,лікар,læge
461,Lehrer::N,вчитель,lærer
462,Geld::N,гроші,penge
463,Geschäft::N,заняття,forretning
464,Laden::N,магазин,butik
465,Laden::N,магазин,forretning
466,Laden::N,крамниця,butik
467,Laden::N,крамниця,forretning
468,Preis::N,ціна,pris
469,Ware::N,товар,vare
470,Nutzen::N,вигода,nytte
471,Nutzen::N,користь,nytte
472,Reichtum::N,багатство,rigdom
473,Welt::N,світ,verden
474,Land::N,країна,land
475,Staat::N,держава,stat
476,König::N,король,konge
477,Macht::N,влада,magt
478,Grenze::N,кордон,grænse
479,Krieg::N,війна,krig
480,Feind::N,ворог,fjende
481,Gewalt::N,насильство,vold
482,Kampf::N,бій,kamp
483,Kampf::N,боротьба,kamp
484,Bogen[Waffe]::N,лук,bue
485,Pfeil::N,стріла,pil
486,Gewehr::N,рушниця,gevær
487,Gewehr::N,гвинтівка,gevær
488,Fehler::N,помилка,fejl
489,Lüge::N,брехня,løgn
490,Schaden::N,шкода,skade
491,Schaden::N,збиток,skade
492,Unglück::N,нещастя,uheld
493,Unglück::N,нещастя,ulykke
494,Schuld::N,провина,skyld
495,Alter::N,вік,alder
496,Alter::N,літа,alder
497,Schluss::N,кінець,slut
498,Schluss::N,кінець,slutning
499,Zeit::N,час,tid
500,Tag::N,день,dag
501,Morgen::N,ранок,morgen
502,Mittag::N,південь,middag
503,Abend::N,вечір,aften
504,Nacht::N,ніч,nat
505,Woche::N,тиждень,uge
506,Monat::N,місяць,måned
507,Jahr::N,рік,år
508,Frühling::N,весна,forår
509,Sommer::N,літо,sommer
510,Herbst::N,осінь,efterår
511,Winter::N,зима,vinter
512,Januar::N,січень,januar
513,Februar::N,лютий,februar
514,März::N,березень,marts
515,April::N,квітень,april
516,Mai::N,травень,maj
517,Juni::N,червень,juni
518,Juli::N,липень,juli
519,August::N,серпень,august
520,September::N,вересень,september
521,Oktober::N,жовтень,oktober
522,November::N,листопад,november
523,Dezember::N,грудень,december
524,Montag::N,понеділок,mandag
525,Dienstag::N,вівторок,tirsdag
526,Mittwoch::N,середа,onsdag
527,Donnerstag::N,четвер,torsdag
528,Freitag::N,п’ятниця,fredag
529,Samstag::N,субота,lørdag
530,Sonntag::N,неділя,søndag
531,groß::A,великий,stor
532,klein::A,малий,lille
533,klein::A,маленький,lille
534,lang::A,довгий,lang
535,kurz::A,короткий,kort
536,breit::A,широкий,bred
537,schmal::A,вузький,smal
538,dicht::A,густий,tæt
539,dick[Gegenstand]::A,товстий,tyk
540,dünn::A,тонкий,tynd
541,fein::A,дрібний,fin
542,fest::A,міцний,fast
543,flach::A,плоский,flad
544,glatt::A,рівний,glat
545,glatt::A,гладенький,glat
546,hart::A,твердий,hård
547,weich::A,м’який,blød
548,rund::A,круглий,rund
549,spitz::A,гострокінцевий,spids
550,scharf::A,гострий,skarp
551,stumpf::A,тупий,sløv
552,stumpf::A,тупий,stump
553,schwer::A,важкий,tung
554,schön::A,вродливий,skøn
555,heiß::A,жаркий,hed
556,heiß::A,гарячий,hed
557,warm::A,теплий,varm
558,kalt::A,холодний,kold
559,kühl::A,прохолодний,kølig
560,frisch::A,свіжий,frisk
561,feucht::A,вогкий,fugtig
562,nass::A,мокрий,våd
563,trocken::A,сухий,tør
564,voll::A,повний,fuld
565,leer::A,пустий,tom
566,offen::A,відкритий,åben
567,geschlossen::A,закритий,lukket
568,geschlossen::A,зачинений,lukket
569,sauber::A,чистий,ren
570,sauber::A,охайний,ren
571,schmutzig::A,брудний,snavset
572,roh::A,сирий,rå
573,reif::A,зрілий,moden
574,lecker::A,смачний,lækker
575,süß::A,солодкий,sød
576,bitter::A,гіркий,bitter
577,sauer::A,кислий,sur
578,hell::A,світлий,lys
579,dunkel::A,темний,mørk
580,schwarz::A,чорний,sort
581,weiß::A,сивий,hvid
582,rot::A,червоний,rød
583,gelb::A,жовтий,gul
584,blau::A,синій,blå
585,grün::A,зелений,grøn
586,grau::A,сірий,grå
587,bunt::A,барвистий,broget
588,billig::A,дешевий,billig
589,teuer::A,дорогий,dyr
590,wertvoll::A,цінний,værdifuld
591,blind::A,сліпий,blind
592,taub::A,глухий,døv
593,kräftig::A,могутній,kraftig
594,stark::A,сильний,stærk
595,schwach::A,слабкий,svag
596,fett::A,жирний,fed
597,fett::A,товстий,fed
598,schlank::A,тонкий,slank
599,schlank::A,стрункий,slank
600,hübsch::A,чарівний,køn
601,böse::A,злий,ond
602,böse::A,злий,slem
603,böse::A,лихий,ond
604,böse::A,лихий,slem
605,dumm::A,дурний,dum
606,faul::A,ледачий,doven
607,fleißig::A,старанний,flittig
608,geizig::A,скупий,gerrig
609,klug::A,мудрий,klog
610,klug::A,розумний,klog
611,geschickt::A,умілий,dygtig
612,geschickt::A,умілий,behændig
613,lieb::A,милий,rar
614,lustig::A,веселий,lystig
615,sanft::A,лагідний,blid
616,hungrig::A,голодний,sulten
617,krank::A,слабий,syg
618,nackt::A,голий,nøgen
619,traurig::A,сумний,bedrøvet
620,lebendig::A,живий,levende
621,gut::A,добрий,god
622,schlecht::A,поганий,dårlig
623,schlecht::A,кепський,dårlig
624,richtig::A,правильний,rigtig
625,schlimm::A,бридкий,slem
626,wahr::A,справжній,sand
627,alt::A,старий,gammel
628,neu::A,новий,ny
629,ehemalig::A,колишній,forhenværende
630,alt[Lebewesen]::A,старий,gammel
631,jung::A,молодий,ung
632,arm::A,бідний,fattig
633,reich::A,багатий,rig
634,bekannt::A,знайомий,kendt
635,berühmt::A,славетний,berømt
636,fremd::A,чужий,fremmed
637,verschieden::A,різний,forskellig
638,nah::A,близький,nær
639,fern::A,далекий,fjern
640,linker::A,лівий,venstre
641,rechter::A,правий,højre
642,anderer::A,інакший,anden
643,erster::A,перший,første
644,zweiter::A,другий,anden
645,dritter::A,третій,tredje
646,letzter::A,останній,sidste
647,allein::ADV,сам,alene
648,allein::ADV,один,alene
649,auf einmal::ADV,відразу,på én gang
650,zusammen::ADV,разом,sammen
651,zusammen::ADV,спільно,sammen
652,lange::ADV,довго,længe
653,plötzlich::ADV,раптом,pludselig
654,sofort::ADV,зараз,straks
655,später::ADV,пізніше,senere
656,jetzt::ADV,тепер,nu
657,heute::ADV,сьогодні,i dag
658,morgen::ADV,завтра,i morgen
659,bald::ADV,незабаром,snart
660,dann::ADV,потім,så
661,gestern::ADV,вчора,i går
662,einst::ADV,колись,engang
663,damals::ADV,тоді,dengang
664,danach::ADV,згодом,derefter
665,vorher::ADV,раніше,før
666,vorher::ADV,раніше,forud
667,zuerst::ADV,спершу,først
668,zuerst::ADV,спочатку,først
669,einmal::ADV,один раз,en gang
670,manchmal::ADV,іноді,sommetider
671,manchmal::ADV,інколи,sommetider
672,oft::ADV,часто,ofte
673,immer::ADV,завжди,altid
674,niemals::ADV,ніколи,aldrig
675,hier::ADV,тут,her
676,hierhin::ADV,сюди,hid
677,hierhin::ADV,сюди,herhen
678,von hier::ADV,звідси,herfra
679,dort::ADV,там,der
680,dorthin::ADV,туди,derhen
681,geradeaus::ADV,прямо,lige ud
682,vorwärts::ADV,вперед,fremad
683,rückwärts::ADV,назад,baglæns
684,zurück::ADV,назад,tilbage
685,unten::ADV,внизу,nede
686,unten::ADV,внизу,forneden
687,hinab::ADV,вниз,ned
688,hinab::ADV,вниз,nedad
689,oben::ADV,вгорі,oppe
690,oben::ADV,вгорі,ovenpå
691,hinauf::ADV,вгору,op
692,hinauf::ADV,вгору,opad
693,überall::ADV,скрізь,overalt
694,nicht::ADV,не,ikke
695,ein wenig::ADV,трохи,lidt
696,ein wenig::ADV,небагато,lidt
697,kaum::ADV,ледве,knap
698,kaum::ADV,ледве,næppe
699,sehr::ADV,дуже,meget
700,so::ADV,так,så
701,noch::ADV,ще,endnu
702,nur::ADV,лише,kun
703,nur::ADV,лише,bare
704,nur::ADV,тільки,kun
705,nur::ADV,тільки,bare
706,schon::ADV,вже,alt
707,schon::ADV,вже,allerede
708,wieder::ADV,знову,igen
709,vergebens::ADV,дарма,forgæves
710,vor::PRP,перед,foran
711,vor::PRP,перед,uden for
712,hinter::PRP,ззаду,bag
713,hinter::PRP,ззаду,bagved
714,hinter::PRP,позаду,bag
715,hinter::PRP,позаду,bagved
716,unter::PRP,під,under
717,durch::PRP,крізь,gennem
718,durch::PRP,крізь,igennem
719,neben::PRP,біля,ved siden af
720,zwischen::PRP,між,mellem
721,wegen::PRP,з-за,på grund af
722,wegen::PRP,через,på grund af
723,dies::PRN,це,dette
724,das::PRN,то,det
725,alles::PRN,все,alt
726,ich::PRN,я,jeg
727,du::PRN,ти,du
728,er::PRN,він,han
729,wir::PRN,ми,vi
730,ihr::PRN,ви,I
731,sie::PRN,вони,de
732,was::FPRN,що,hvad
733,wer::FPRN,хто,hvem
734,wo::FADV,де,hvor
735,wohin::FADV,куди,hvorhen
736,wie::FADV,як,hvordan
737,warum::FADV,чому,hvorfor
738,wieviel::FNUM,скільки,hvor meget
739,eins::NUM,один,én
740,zwei::NUM,два,to
741,drei::NUM,три,tre
742,vier::NUM,чотири,fire
743,fünf::NUM,п’ять,fem
744,sechs::NUM,шість,seks
745,sieben::NUM,сім,syv
746,acht::NUM,вісім,otte
747,neun::NUM,дев’ять,ni
748,zehn::NUM,десять,ti
749,elf::NUM,одинадцять,elleve
750,zwölf::NUM,дванадцять,tolv
751,zwanzig::NUM,двадцять,tyve
752,dreißig::NUM,тридцять,tredive
753,vierzig::NUM,сорок,fyrre
754,vierzig::NUM,сорок,fyrretyve
755,fünfzig::NUM,п’ятдесят,halvtreds
756,sechzig::NUM,шістдесят,tres
757,siebzig::NUM,сімдесят,halvfjerds
758,achtzig::NUM,вісімдесят,firs
759,neunzig::NUM,дев’яносто,halvfems
760,hundert::NUM,сто,hundrede
761,tausend::NUM,тисяча,tusind
762,und::CNJ,і,og
763,oder::CNJ,або,eller
764,stehen::V,стояти,stå
765,sitzen::V,сидіти,sidde
766,liegen::V,лежати,ligge
767,hängen::V,висіти,hænge
768,werden::V,стати,blive
769,werden::V,робитися,blive
770,passieren::V,трапитися,ske
771,passieren::V,трапитися,hænde
772,beginnen::V,початися,begynde
773,enden::V,кінчитися,ende
774,wechseln::V,мінятися,veksle
775,aufgehen[Sonne]::V,зійти,gå op
776,aufgehen[Sonne]::V,зійти,stå op
777,untergehen[Sonne]::V,зайти,gå ned
778,scheinen[Sonne]::V,світити,skinne
779,donnern::V,гриміти,tordne
780,wehen::V,віяти,blæse
781,strömen::V,литися,strømme
782,fließen::V,текти,flyde
783,sich drehen::V,обертатися,dreje sig
784,schwanken::V,коливатися,vakle
785,schwingen::V,хитатися,svinge
786,schwingen::V,гойдатися,svinge
787,fallen::V,падати,falde
788,brennen::V,горіти,brænde
789,rauchen::V,диміти,ryge
790,regnen::V,дощити,regne
791,gefrieren::V,змерзнути,fryse
792,tauen::V,танути,tø
793,schmelzen::V,плавитися,smelte
794,trocknen::V,сохнути,tørre
795,sieden::V,кипіти,koge
796,faulen::V,гнити,rådne
797,verfaulen::V,згнити,rådne
798,reißen::V,рватися,briste
799,versinken::V,тонути,synke
800,versinken::V,тонути,synke ned
801,vergehen::V,проходити,forløbe
802,erscheinen::V,з’явитися,vise sig
803,verschwinden::V,щезнути,forsvinde
804,verschwinden::V,зникнути,forsvinde
805,sinken::V,спадати,synke
806,abnehmen::V,поменшитися,aftage
807,zunehmen::V,збільшуватися,tiltage
808,steigen::V,підніматися,stige
809,wachsen::V,рости,gro
810,wachsen::V,рости,vokse
811,glänzen::V,блищати,glinse
812,funkeln::V,блискати,tindre
813,lärmen::V,шуміти,larme
814,läuten::V,дзвонити,ringe
815,klingeln::V,дзвонити,ringe
816,klirren::V,дзвякати,klirre
817,brausen::V,бушувати,bruse
818,rauschen::V,шелестіти,suse
819,klingen::V,лунати,lyde
820,klingen::V,лунати,klinge
821,klingen::V,звучати,lyde
822,klingen::V,звучати,klinge
823,bellen::V,гавкати,gø
824,heulen::V,вити,hyle
825,blasen::V,дунути,blæse
826,pfeifen::V,свистіти,fløjte
827,schreien::V,кричати,skrige
828,stöhnen::V,стогнати,stønne
829,zittern::V,тремтіти,dirre
830,zittern::V,тремтіти,skælve
831,leben::V,жити,leve
832,geboren werden::V,народитися,fødes
833,atmen::V,дихати,ånde
834,trinken::V,пити,drikke
835,essen::V,їсти,spise
836,schlucken::V,ковтати,synke
837,müde werden::V,втомитися,blive træt
838,einschlafen::V,заснути,falde i søvn
839,schlafen::V,спати,sove
840,aufwachen::V,прокинутися,vågne
841,aufstehen::V,встати,stå op
842,sich erholen::V,відпочивати,komme sig
843,krank werden::V,захворіти,blive syg
844,krank sein::V,хворіти,være syg
845,schmerzen::V,боліти,smerte
846,husten::V,кашляти,hoste
847,genesen::V,одужати,komme sig
848,genesen::V,видужати,komme sig
849,sterben::V,померти,dø
850,umkommen::V,згинути,omkomme
851,sich bewegen::V,рухатися,bevæge sig
852,sich rühren::V,ворушитися,røre på sig
