,Concept_ID,ja,no
118,Ufer::N,岸,bredd
119,Küste::N,海岸,kyst
120,Festland::N,陸,fastland
121,Meer::N,海,hav
122,Bucht::N,湾,bukt
123,Insel::N,島,øy
124,Blume::N,花,blomst
125,Gras::N,草,gress
126,Wurzel::N,根,rot
127,Baum::N,木,tre
128,Stamm::N,幹,stamme
129,Rinde::N,皮層,bark
130,Ast::N,枝,gren
131,Zweig::N,小枝,kvist
132,Blatt::N,葉,blad
133,Birke::N,樺,bjørk
134,Kiefer[Baum]::N,松,furu
135,Weide[Baum]::N,柳,selje
136,Weide[Baum]::N,柳,piletre
137,Tanne::N,樅,gran
138,Horn::N,角,horn
139,Feder::N,羽根,fjær
140,Fell::N,毛皮,skinn
141,Flügel::N,羽,vinge
142,Klaue::N,鉤爪,klauv
143,Kralle::N,爪,klo
144,Schwanz::N,尻尾,hale
145,Ei::N,卵,egg
146,Nest::N,巣,rede
147,Bau::N,穴,hi
148,Tier::N,動物,dyr
149,Herde::N,群れ,flokk
150,Kuh::N,牛,ku
151,Bulle::N,雄牛,tyr
152,Pferd::N,馬,hest
153,Schaf::N,羊,får
154,Schwein::N,豚,gris
155,Hund::N,犬,hund
156,Katze::N,猫,katt
157,Bär::N,熊,bjørn
158,Eichhörnchen::N,栗鼠,ekorn
159,Elch::N,ヘラジカ,elg
160,Fuchs::N,狐,rev
161,Hase::N,兎,hare
162,Maus::N,鼠,mus
163,Wolf::N,狼,ulv
164,Wolf::N,狼,varg
165,Vogel::N,鳥,fugl
166,Schwarm::N,群れ,sverm
167,Huhn::N,鶏,høne
168,Hahn::N,雄鶏,hane
169,Gans::N,ガチョウ,gås
170,Adler::N,鷲,ørn
171,Ente::N,鴨,and
172,Eule::N,フクロウ,ugle
173,Kranich::N,鶴,trane
174,Krähe::N,烏,kråke
175,Kuckuck::N,郭公,gjøk
176,Schwan::N,白鳥,svane
177,Fisch::N,魚,fisk
178,Barsch::N,鱸,abbor
179,Hecht::N,川魳,gjedde
180,Schlange[Tier]::N,蛇,orm
181,Schlange[Tier]::N,蛇,slange
182,Wurm::N,虫,orm
183,Wurm::N,虫,mark
184,Spinne::N,蜘蛛,edderkopp
185,Ameise::N,蟻,maur
186,Laus::N,虱,lus
187,Mücke::N,蚊,mygg
188,Fliege::N,蝿,flue
189,Schmetterling::N,蝶,sommerfugl
190,Beere::N,漿果,bær
191,Apfel::N,林檎,eple
192,Pilz::N,茸,sopp
193,Zwiebel::N,玉葱,løk
194,Saat::N,種,sæd
195,Korn::N,粒,korn
196,Heu::N,干し草,høy
197,Schale::N,皮,skall
198,Grube::N,穴,grop
199,Falle::N,わな,felle
200,Schlinge::N,輪,snare
201,Spur::N,跡,spor
202,Asche::N,灰,aske
203,Dreck::N,泥,møkk
204,Dreck::N,泥,skitt
205,Eisen::N,鉄,jern
206,Gold::N,金,gull
207,Silber::N,銀,sølv
208,Kohle::N,炭,kol
209,Kohle::N,炭,kull
210,Glas::N,ガラス,glass
211,Lehm::N,ローム,leire
212,Sand::N,砂,sand
213,Mensch::N,人,menneske
214,Mann::N,男,mann
215,Mann::N,男性,mann
216,Frau::N,女,kvinne
217,Frau::N,女性,kvinne
218,Kind::N,子,barn
219,Kind::N,子供,barn
220,Junge::N,男の子,gutt
221,Mädchen::N,女の子,pike
222,Mädchen::N,女の子,jente
223,Familie::N,家族,familie
224,Großvater::N,祖父,bestefar
225,Großvater::N,おじいさん,bestefar
226,Großmutter::N,祖母,bestemor
227,Großmutter::N,おばあさん,bestemor
228,Eltern::N,親,foreldre
229,Eltern::N,両親,foreldre
230,Vater::N,父,far
231,Vater::N,お父さん,far
232,Mutter::N,母,mor
233,Mutter::N,お母さん,mor
234,Sohn::N,息子,sønn
235,Sohn::N,息子さん,sønn
236,Tochter::N,娘,datter
237,Tochter::N,お嬢さん,datter
238,Bruder::N,弟,bror
239,Schwester::N,妹,søster
240,Onkel::N,伯父,onkel
241,Onkel::N,伯父さん,onkel
242,Tante::N,叔母,tante
243,Tante::N,叔母さん,tante
244,Ehemann::N,夫,ektemann
245,Ehemann::N,主人,ektemann
246,Ehefrau::N,妻,hustru
247,Ehefrau::N,奥さん,hustru
248,Freude::N,喜び,glede
249,Gelächter::N,笑い,latter
250,Glück::N,幸せ,lykke
251,Kummer::N,悩み,sorg
252,Wunsch::N,希望,ønske
253,Lust::N,気,lyst
254,Geist::N,精神,ånd
255,Gedanke::N,考え,tanke
256,Gedächtnis::N,記憶,minne
257,Gedächtnis::N,記憶,hukommelse
258,Verstand::N,理解力,forstand
259,Sinn::N,意味,mening
260,Sinn::N,意味,betydning
261,Grund::N,理由,grunn
262,Wahrheit::N,真実,sannhet
263,Gespräch::N,会話,samtale
264,Märchen::N,童話,eventyr
265,Erzählung::N,物語,fortelling
266,Nachricht::N,報告,melding
267,Neuigkeit::N,ニュース,nyhet
268,Name::N,名前,navn
269,Rätsel::N,謎,gåte
270,Rede::N,演説,tale
271,Sprache::N,言語,språk
272,Stimme::N,声,stemme
273,Wort::N,言葉,ord
274,Zeichen::N,記号,tegn
275,Ruf::N,呼び声,rop
276,Lärm::N,騒音,bråk
277,Laut::N,音,lyd
278,Ton::N,音,tone
279,Lied::N,歌,vise
280,Ruhe::N,静けさ,ro
281,Leute::N,人々,folk
282,Volk::N,民族,folk
283,Arbeit::N,仕事,arbeid
284,Gast::N,客,gjest
285,Geschenk::N,贈り物,gave
286,Spiel::N,遊び,lek
287,Spiel::N,遊び,spill
288,Gesellschaft::N,社会,selskap
289,Hilfe::N,援助,hjelp
290,Freund::N,友達,venn
291,Kamerad::N,同志,kamerat
292,Angelegenheit::N,件,sak
293,Angelegenheit::N,件,anliggende
294,Anzahl::N,数,antall
295,Art::N,種類,art
296,Art::N,種類,slag
297,Stück::N,部分,stykke
298,Teil::N,部分,del
299,Hälfte::N,半分,halvdel
300,Kreis::N,円,ring
301,Kreis::N,円,sirkel
302,Kreuz::N,十字,kors
303,Kreuz::N,十字,kryss
304,Linie::N,線,linje
305,Strich::N,線,strek
306,Abstand::N,距離,avstand
307,Entfernung::N,距離,avstand
308,Gegend::N,辺,strøk
309,Gegend::N,地域,strøk
310,Platz::N,ゆとり,plass
311,Ort::N,所,sted
312,Ort::N,場所,sted
313,Seite::N,横,side
314,Mitte::N,真ん中,midte
315,Gegenstand::N,物件,gjenstand
316,Sache::N,物,sak
317,Rand::N,端,rand
318,Kante::N,縁,kant
319,Ecke::N,角,hjørne
320,Spitze::N,先頭,spiss
321,Ende::N,端,ende
322,Loch::N,穴,hull
323,Winkel::N,片隅,vinkel
324,Muster::N,模様,mønster
325,Größe::N,大きさ,størrelse
326,Länge::N,長さ,lengde
327,Höhe::N,高さ,høyde
328,Gewicht::N,重さ,vekt
329,Menge::N,量,mengde
330,Haufen::N,堆積,haug
331,Haufen::N,堆積,bunke
332,Reihe::N,並び,rekke
333,Boot::N,ボート,båt
334,Ruder::N,オール,åre
335,Schlitten::N,そり,slede
336,Schlitten::N,そり,kjelke
337,Ski::N,スキー,ski
338,Lagerfeuer::N,篝火,leirbål
339,Last::N,荷物,bør
340,Last::N,荷物,last
341,Gang::N,歩み,gang
342,Schritt::N,歩,steg
343,Schritt::N,歩,skritt
344,Norden::N,北,nord
345,Süden::N,南,sør
346,Westen::N,西,vest
347,Osten::N,東,øst
348,Holz::N,木,tre
349,Holz::N,木材,tre
350,Brett::N,板,fjøl
351,Brett::N,板,brett
352,Platte::N,盤,plate
353,Stütze::N,支柱,støtte
354,Stange::N,棒,stang
355,Stock::N,杖,pinne
356,Stab::N,棒,stav
357,Stab::N,棒,kjepp
358,Rohr::N,管,rør
359,Haus::N,家,hus
360,Heim::N,家,hjem
361,Ofen::N,ストーブ,ovn
362,Fußboden::N,床,gulv
363,Tisch::N,机,bord
364,Stuhl::N,椅子,stol
365,Wiege::N,揺籃,vogge
366,Bett::N,ベッド,seng
367,Regal::N,棚,reol
368,Regal::N,棚,hylle
369,Kiste::N,箱,kasse
370,Fenster::N,窓,vindu
371,Tür::N,戸,dør
372,Tür::N,ドア,dør
373,Tor::N,門,port
374,Zaun::N,垣根,gjerde
375,Dach::N,屋根,tak
376,Leiter::N,梯子,stige
377,Besen::N,ほうき,kost
378,Spaten::N,スコップ,spade
379,Schaufel::N,シャベル,skuffe
380,Gabel::N,フォーク,gaffel
381,Löffel::N,スプーン,skje
382,Messer::N,ナイフ,kniv
383,Nagel::N,釘,spiker
384,Netz::N,網,nett
385,Haken::N,鉤,krok
386,Haken::N,フック,krok
387,Griff::N,取っ手,tak
388,Griff::N,取っ手,håndtak
389,Schloss::N,錠,lås
390,Bild::N,絵,bilde
391,Figur::N,像,figur
392,Puppe::N,人形,dukke
393,Beutel::N,袋,pose
394,Bündel::N,束,bylt
395,Bündel::N,包み,bylt
396,Tasche::N,かばん,veske
397,Eimer::N,バケツ,bøtte
398,Deckel::N,蓋,lokk
399,Geschirr::N,食器,kjøkkentøy
400,Sack::N,袋,sekk
401,Tasse::N,カップ,kopp
402,Topf::N,鍋,gryte
403,Kessel::N,釜,kjele
404,Essen::N,食事,mål
405,Nahrung::N,食物,mat
406,Nahrung::N,食物,næring
407,Speise::N,料理,matrett
408,Fleisch::N,肉,kjøtt
409,Getreide::N,麦,korn
410,Getreide::N,穀物,korn
411,Brei::N,粥,grøt
412,Brot::N,パン,brød
413,Scheibe::N,枚,skive
414,Scheibe::N,切れ,skive
415,Fett::N,脂肪,fett
416,Butter::N,バター,smør
417,Öl::N,油,olje
418,Salz::N,塩,salt
419,Suppe::N,スープ,suppe
420,Honig::N,蜂蜜,honning
421,Milch::N,牛乳,melk
422,Tee::N,茶,te
423,Tee::N,お茶,te
424,Leder::N,革,lær
425,Leder::N,革,skinn
426,Wolle::N,毛糸,ull
427,Stoff::N,布,tøy
428,Stoff::N,布,stoff
429,Nadel::N,針,nål
430,Faden::N,糸,tråd
431,Knopf::N,ボタン,knapp
432,Knoten::N,結び目,knute
433,Farbe::N,ペンキ,farge
434,Kleidung::N,衣服,påkledning
435,Hemd::N,シャツ,skjorte
436,Kragen::N,襟,krage
437,Ärmel::N,袖,erme
438,Hose::N,ズボン,bukse
439,Gürtel::N,帯,belte
440,Gürtel::N,ベルト,belte
441,Mütze::N,帽子,lue
442,Schuh::N,靴,sko
443,Stiefel::N,ブーツ,støvel
444,Ring::N,輪,ring
445,Band::N,リボン,band
446,Kamm::N,櫛,kam
447,Spiegel::N,鏡,speil
448,Riemen::N,緒,rem
449,Schnur::N,紐,snor
450,Leine::N,綱,line
451,Decke::N,掛け布団,teppe
452,Kissen::N,枕,pute
453,Tuch::N,スカーフ,tøy
454,Handtuch::N,タオル,håndkle
455,Kraft::N,力,kraft
456,Stärke::N,強さ,styrke
457,Gesundheit::N,健康,helse
458,Gesundheit::N,健康,sunnhet
459,Krankheit::N,病気,syke
460,Krankheit::N,病気,sykdom
461,Schmerz::N,痛み,smerte
462,Wunde::N,傷,sår
463,Fieber::N,熱,feber
464,Arznei::N,薬,medisin
465,Arznei::N,薬,legemiddel
466,Brücke::N,橋,bro
467,Brunnen::N,井戸,brønn
468,Weide::N,牧場,beite
469,Pfad::N,小路,sti
470,Weg::N,道,vei
471,Straße::N,街道,gate
472,Dorf::N,村,landsby
473,Stadt::N,町,by
474,Stadt::N,都市,by
475,Brief::N,手紙,brev
476,Buch::N,本,bok
477,Buchstabe::N,文字,bokstav
478,Zeitung::N,新聞,avis
479,Leben::N,生活,liv
480,Tod::N,死,død
481,Grab::N,墓,grav
482,Kirche::N,教会,kirke
483,Sünde::N,罪,synd
484,Gott::N,神,gud
485,Arbeiter::N,労働者,arbeider
486,Chef::N,上司,sjef
487,Meister::N,達人,mester
488,Meister::N,マイスター,mester
489,Arzt::N,医者,lege
490,Lehrer::N,先生,lærer
491,Geld::N,金,penger
492,Geschäft::N,取り引き,forretning
493,Laden::N,店,butikk
494,Preis::N,値段,pris
495,Ware::N,商品,vare
496,Nutzen::N,利益,nytte
497,Reichtum::N,豊かさ,rikdom
498,Welt::N,世界,verden
499,Land::N,国,land
500,Staat::N,国家,stat
501,König::N,国王,konge
502,Macht::N,権力,makt
503,Grenze::N,国境,grense
504,Krieg::N,戦争,krig
505,Feind::N,敵,fiende
506,Gewalt::N,暴力,vold
507,Kampf::N,戦い,kamp
508,Bogen[Waffe]::N,弓,bue
509,Pfeil::N,矢,pil
510,Gewehr::N,銃,gevær
511,Fehler::N,間違い,feil
512,Lüge::N,嘘,løgn
513,Schaden::N,損害,skade
514,Unglück::N,不幸,uhell
515,Schuld::N,罪,skyld
516,Alter::N,年,alder
517,Alter::N,年齢,alder
518,Schluss::N,終わり,slutt
519,Zeit::N,時,tid
520,Zeit::N,時間,tid
521,Tag::N,日,dag
522,Morgen::N,朝,morgen
523,Mittag::N,昼,middag
524,Abend::N,晩,aften
525,Abend::N,夕方,aften
526,Nacht::N,夜,natt
527,Woche::N,週,uke
528,Monat::N,月,måned
529,Jahr::N,年,år
530,Frühling::N,春,vår
531,Sommer::N,夏,sommer
532,Herbst::N,秋,høst
533,Winter::N,冬,vinter
534,Januar::N,一月,januar
535,Februar::N,二月,februar
536,März::N,三月,mars
537,April::N,四月,april
538,Mai::N,五月,mai
539,Juni::N,六月,juni
540,Juli::N,七月,juli
541,August::N,八月,august
542,September::N,九月,september
543,Oktober::N,十月,oktober
544,November::N,十一月,november
545,Dezember::N,十二月,desember
546,Montag::N,月曜日,mandag
547,Dienstag::N,火曜日,tirsdag
548,Mittwoch::N,水曜日,onsdag
549,Donnerstag::N,木曜日,torsdag
550,Freitag::N,金曜日,fredag
551,Samstag::N,土曜日,lørdag
552,Sonntag::N,日曜日,søndag
553,groß::A,大きい,stor
554,klein::A,小さい,liten
555,lang::A,長い,lang
556,kurz::A,短い,kort
557,breit::A,広い,bred
558,schmal::A,狭い,smal
559,dicht::A,密な,tett
560,dick[Gegenstand]::A,厚い,tykk
561,dünn::A,薄い,tynn
562,fein::A,細い,fin
563,fest::A,硬い,fast
564,flach::A,平らな,flat
565,glatt::A,滑らかな,glatt
566,hart::A,堅い,hard
567,weich::A,柔らかい,myk
568,weich::A,柔らかい,bløt
569,rund::A,丸い,rund
570,spitz::A,尖った,spiss
571,scharf::A,鋭い,kvass
572,stumpf::A,鈍い,stubb
573,schwer::A,重い,tung
574,schön::A,綺麗な,pen
575,schön::A,綺麗な,vakker
576,heiß::A,熱い,het
577,warm::A,温かい,varm
578,kalt::A,寒い,kald
579,kalt::A,冷たい,kald
580,kühl::A,涼しい,kjølig
581,frisch::A,ひんやりした,fersk
582,feucht::A,湿った,fuktig
583,nass::A,濡れた,våt
584,trocken::A,乾いた,tørr
585,voll::A,いっぱいの,full
586,leer::A,空の,tom
587,offen::A,開いた,åpen
588,geschlossen::A,閉まった,lukket
589,sauber::A,清潔な,ren
590,schmutzig::A,汚い,skitten
591,roh::A,生の,rå
592,reif::A,熟した,moden
593,lecker::A,美味しい,lekker
594,süß::A,甘い,søt
595,bitter::A,苦い,besk
596,bitter::A,苦い,bitter
597,sauer::A,酸っぱい,sur
598,hell::A,明るい,lys
599,dunkel::A,暗い,mørk
600,schwarz::A,黒い,svart
601,weiß::A,白い,hvit
602,rot::A,赤い,rød
603,gelb::A,黄色い,gul
604,blau::A,青い,blå
605,grün::A,緑の,grønn
606,grau::A,灰色の,grå
607,bunt::A,色取り取りの,broket
608,billig::A,安い,billig
609,teuer::A,高い,dyr
610,wertvoll::A,貴重な,verdifull
611,blind::A,盲目の,blind
612,taub::A,耳が聞こえない,døv
613,kräftig::A,強力な,kraftig
614,stark::A,強い,sterk
615,schwach::A,弱い,svak
616,fett::A,太った,fet
617,schlank::A,ほっそりした,slank
618,hübsch::A,素敵な,pen
619,böse::A,悪い,slem
620,dumm::A,馬鹿な,dum
621,faul::A,怠惰な,lat
622,faul::A,怠惰な,doven
623,fleißig::A,勤勉な,flittig
624,geizig::A,けちな,gjerrig
625,klug::A,賢い,klok
626,klug::A,頭のいい,klok
627,geschickt::A,器用な,hendig
628,geschickt::A,器用な,skikket
629,lieb::A,愛らしい,kjær
630,lieb::A,愛らしい,snill
631,lustig::A,楽しい,morsom
632,sanft::A,温和な,blid
633,hungrig::A,空腹の,sulten
634,krank::A,病気の,syk
635,nackt::A,裸の,naken
636,traurig::A,悲しい,sørgmodig
637,lebendig::A,生きた,levende
638,gut::A,良い,god
639,schlecht::A,悪い,dårlig
640,schlecht::A,駄目な,dårlig
641,richtig::A,正しい,riktig
642,schlimm::A,ひどい,slem
643,wahr::A,本当の,sann
644,alt::A,古い,gammel
645,neu::A,新しい,ny
646,ehemalig::A,以前の,forhenværende
647,alt[Lebewesen]::A,年を取った,gammel
648,jung::A,若い,ung
649,arm::A,貧乏な,fattig
650,reich::A,裕福な,rik
651,bekannt::A,有名な,kjent
652,berühmt::A,有名な,berømt
653,fremd::A,見知らぬ,fremmed
654,verschieden::A,色々な,forskjellig
655,nah::A,近い,nær
656,fern::A,遠い,fjern
657,linker::A,左の,venstre
658,rechter::A,右の,høyre
659,anderer::A,別の,annen
660,erster::A,一番目,første
661,zweiter::A,二番目,annen
662,dritter::A,三番目,tredje
663,letzter::A,最後の,sist
664,allein::ADV,一人で,alene
665,auf einmal::ADV,同時に,med ett
666,zusammen::ADV,一緒に,sammen
667,lange::ADV,長い間,lenge
668,plötzlich::ADV,急に,plutselig
669,sofort::ADV,すぐに,straks
670,später::ADV,後で,senere
671,jetzt::ADV,今,nå
672,heute::ADV,今日,i dag
673,morgen::ADV,明日,i morgen
674,bald::ADV,間もなく,snart
675,dann::ADV,それから,så
676,gestern::ADV,昨日,i går
677,einst::ADV,過去に,engang
678,damals::ADV,あの時,den gang
679,danach::ADV,その後で,deretter
680,vorher::ADV,以前に,før
681,vorher::ADV,以前に,i forveien
682,zuerst::ADV,まず,først
683,zuerst::ADV,最初に,først
684,einmal::ADV,一回,en gang
685,manchmal::ADV,時々,somme tider
686,oft::ADV,よく,ofte
687,immer::ADV,いつも,alltid
688,niemals::ADV,一度も...ない,aldri
689,hier::ADV,こちら,her
690,hierhin::ADV,ここへ,hit
691,hierhin::ADV,こちらへ,hit
692,von hier::ADV,ここから,herfra
693,dort::ADV,そちら,der
694,dorthin::ADV,そこへ,dit
695,dorthin::ADV,そちらへ,dit
696,geradeaus::ADV,真っ直ぐに,rett fram
697,vorwärts::ADV,前へ,fram
698,vorwärts::ADV,前へ,framover
699,rückwärts::ADV,後ろへ,baklengs
700,zurück::ADV,後ろへ,tilbake
701,unten::ADV,下に,nede
702,hinab::ADV,下へ,ned
703,hinab::ADV,下へ,nedover
704,oben::ADV,上に,oppe
705,oben::ADV,上に,ovenpå
706,hinauf::ADV,上へ,opp
707,hinauf::ADV,上へ,oppover
708,überall::ADV,どこでも,overalt
709,nicht::ADV,ない,ikke
710,ein wenig::ADV,少し,litt
711,ein wenig::ADV,ちょっと,litt
712,kaum::ADV,ほとんど～ない,neppe
713,sehr::ADV,とても,svært
714,so::ADV,こう,så
715,noch::ADV,まだ,enda
716,nur::ADV,～だけ,bare
717,schon::ADV,もう,alt
718,schon::ADV,もう,allerede
719,wieder::ADV,再び,igjen
720,vergebens::ADV,無駄に,forgjeves
721,vor::PRP,前に,foran
722,vor::PRP,前に,utenfor
723,hinter::PRP,後ろに,bak
724,hinter::PRP,後ろに,bakom
725,unter::PRP,下に,under
726,durch::PRP,通して,gjennom
727,durch::PRP,通して,igjennom
728,neben::PRP,横に,ved siden av
729,zwischen::PRP,間に,mellom
730,wegen::PRP,為に,på grunn av
731,wegen::PRP,せいで,på grunn av
732,dies::PRN,これ,dette
733,das::PRN,それ,det
734,alles::PRN,全部,alt
735,ich::PRN,私,jeg
736,du::PRN,あなた,du
737,er::PRN,彼,han
738,wir::PRN,私達,vi
739,ihr::PRN,あなた達,dere
740,sie::PRN,彼ら,de
741,was::FPRN,何,hva
742,wer::FPRN,誰,hvem
743,wer::FPRN,どなた,hvem
744,wo::FADV,どこ,hvor
745,wo::FADV,どこに,hvor
746,wohin::FADV,どこへ,hvor ... hen
747,wie::FADV,どう,hvordan
748,warum::FADV,何故,hvorfor
749,warum::FADV,どうして,hvorfor
750,wieviel::FNUM,どのくらい,hvor mye
751,eins::NUM,一,en
752,eins::NUM,一,ett
753,zwei::NUM,二,to
754,zwei::NUM,二つ,to
755,drei::NUM,三,tre
756,drei::NUM,三つ,tre
757,vier::NUM,四,fire
758,vier::NUM,四つ,fire
759,fünf::NUM,五,fem
760,fünf::NUM,五つ,fem
761,sechs::NUM,六,seks
762,sechs::NUM,六つ,seks
763,sieben::NUM,七,sju
764,sieben::NUM,七つ,sju
765,acht::NUM,八,åtte
766,acht::NUM,八つ,åtte
767,neun::NUM,九,ni
768,neun::NUM,九つ,ni
769,zehn::NUM,十,ti
770,elf::NUM,十一,elleve
771,zwölf::NUM,十二,tolv
772,zwanzig::NUM,二十,tjue
773,dreißig::NUM,三十,tretti
774,vierzig::NUM,四十,førti
775,fünfzig::NUM,五十,femti
776,sechzig::NUM,六十,seksti
777,siebzig::NUM,七十,sytti
778,achtzig::NUM,八十,åtti
779,neunzig::NUM,九十,nitti
780,hundert::NUM,百,hundre
781,tausend::NUM,千,tusen
782,und::CNJ,-と,og
783,und::CNJ,そして,og
784,oder::CNJ,或いは,eller
785,stehen::V,立っている,stå
786,sitzen::V,座っている,sitte
787,liegen::V,横になっている,ligge
788,hängen::V,掛かっている,henge
789,werden::V,なる,bli
790,passieren::V,起こる,skje
791,passieren::V,起こる,hende
792,beginnen::V,始まる,begynne
793,enden::V,終わる,ende
794,enden::V,終わる,slutte
795,wechseln::V,変わる,veksle
796,aufgehen[Sonne]::V,出る,stå opp
797,untergehen[Sonne]::V,沈む,gå ned
798,scheinen[Sonne]::V,輝く,skinne
799,donnern::V,雷が鳴る,tordne
800,wehen::V,吹く,blåse
801,strömen::V,流れる,strømme
802,fließen::V,流れる,flyte
803,sich drehen::V,回転する,dreie seg
804,schwanken::V,揺れる,svaie
805,schwingen::V,振動する,svinge
806,fallen::V,落ちる,falle
807,brennen::V,燃える,brenne
808,rauchen::V,煙を出す,ryke
809,regnen::V,雨が降る,regne
810,gefrieren::V,凍る,fryse
811,tauen::V,溶ける,tine
812,schmelzen::V,溶ける,smelte
813,trocknen::V,乾く,tørre
814,sieden::V,沸く,koke
815,faulen::V,腐る,råtne
816,verfaulen::V,朽ちる,råtne
817,reißen::V,切れる,briste
818,versinken::V,沈む,synke
819,versinken::V,沈む,synke ned
820,vergehen::V,経つ,forløpe
821,erscheinen::V,現れる,synes
822,verschwinden::V,消える,forsvinne
823,sinken::V,下がる,synke
824,abnehmen::V,減る,avta
825,abnehmen::V,減る,minske
826,zunehmen::V,増える,tilta
827,steigen::V,上がる,stige
828,wachsen::V,伸びる,gro
829,wachsen::V,伸びる,vokse
830,glänzen::V,輝く,skinne
831,funkeln::V,ぴかぴか光る,tindre
832,lärmen::V,騒ぐ,bråke
833,läuten::V,鳴る,ringe
834,klingeln::V,鳴る,ringe
835,klirren::V,がらんがらんと鳴る,klirre
836,brausen::V,逆巻く,bruse
837,rauschen::V,戦ぐ,suse
838,klingen::V,鳴る,lyde
839,klingen::V,鳴る,klinge
840,bellen::V,吠える,gjø
841,bellen::V,吠える,bjeffe
842,heulen::V,きゃんきゃん鳴く,ule
843,blasen::V,吹く,blåse
844,pfeifen::V,口笛を吹く,plystre
845,schreien::V,叫ぶ,skrike
846,stöhnen::V,うめく,stønne
847,zittern::V,震える,dirre
848,zittern::V,震える,skjelve
849,leben::V,生きている,leve
850,geboren werden::V,生まれる,fødes
851,atmen::V,呼吸する,ånde
852,atmen::V,呼吸する,puste
853,trinken::V,飲む,drikke
854,essen::V,食べる,spise
855,schlucken::V,飲み込む,svelge
856,müde werden::V,眠くなる,bli trett
857,einschlafen::V,寝付く,sovne
858,schlafen::V,眠る,sove
859,aufwachen::V,目が覚める,våkne
860,aufstehen::V,起きる,stå opp
861,sich erholen::V,休養する,bli bra
862,sich erholen::V,休養する,komme seg
863,krank werden::V,病気になる,bli syk
864,krank sein::V,病気である,være syk
