,Concept_ID,br,cy
114,Küste::N,aod,traeth
115,Küste::N,aod,arfordir
116,Festland::N,douar,tir
117,Meer::N,mor,môr
118,Bucht::N,mor-bihan,bae
119,Insel::N,enez,ynys
120,Blume::N,bleunienn,blodyn
121,Gras::N,geot,glaswellt
122,Wurzel::N,gwrizienn,gwreiddyn
123,Baum::N,gwezenn,coeden
124,Stamm::N,kef,colfen
125,Stamm::N,kef,boncyff
126,Rinde::N,rusk,rhisgl
127,Ast::N,barr,cangen
128,Zweig::N,bod,cainc
129,Zweig::N,bod,cangen
130,Blatt::N,delienn,deilen
131,Birke::N,bezvenn,bedwen
132,Kiefer[Baum]::N,pinenn,pinwydden
133,Weide[Baum]::N,halegenn,helygen
134,Tanne::N,sapenn,ffynidwydden
135,Horn::N,korn,corn
136,Feder::N,pluñv,plufyn
137,Fell::N,kreoñ,ffwr
138,Flügel::N,askell,adain
139,Klaue::N,skilf,crafanc
140,Kralle::N,skilf,ewin
141,Schwanz::N,lost,cwt
142,Schwanz::N,lost,cynffon
143,Ei::N,vi,wy
144,Nest::N,neizh,nyth
145,Bau::N,douarenn,ffau
146,Tier::N,loen,anifail
147,Herde::N,tropell,praidd
148,Herde::N,tropell,diadell
149,Kuh::N,buoc'h,buwch
150,Bulle::N,tarv,tarw
151,Pferd::N,marc'h,ceffyl
152,Schaf::N,dañvad,dafad
153,Schwein::N,pemoc'h,mochyn
154,Hund::N,ki,ci
155,Katze::N,kazh,cath
156,Bär::N,arzh,arth
157,Eichhörnchen::N,gwiñver,gwiwer
158,Elch::N,karv-dour,elc
159,Fuchs::N,louarn,cadno
160,Hase::N,gad,ysgyfarnog
161,Maus::N,logodenn,llygoden
162,Wolf::N,bleiz,blaidd
163,Vogel::N,labous,aderyn
164,Schwarm::N,nijad,haid
165,Huhn::N,yar,cyw
166,Hahn::N,kilhog,ceiliog
167,Gans::N,gwazenn,gŵydd
168,Adler::N,erer,eryr
169,Ente::N,houad,hwyad
170,Eule::N,toud,tylluan
171,Kranich::N,garan,garan
172,Kranich::N,garan,crychydd
173,Krähe::N,bran,brân
174,Kuckuck::N,koukoug,cog
175,Kuckuck::N,koukoug,cwcw
176,Schwan::N,alarc'h,alarch
177,Fisch::N,pesk,pysgod
178,Barsch::N,brell,draenog
179,Hecht::N,beked,penhwyad
180,Schlange[Tier]::N,naer,neidr
181,Wurm::N,preñv,abwydyn
182,Wurm::N,preñv,pryf genwair
183,Spinne::N,kevnidenn,cor
184,Spinne::N,kevnidenn,pryf copyn
185,Ameise::N,merion,morgrugyn
186,Laus::N,laouenn,lleuen
187,Mücke::N,moustik,gwybedyn
188,Fliege::N,kelienenn,cleren
189,Schmetterling::N,balafenn,glöyn byw
190,Schmetterling::N,balafenn,iâr fach yr haf
191,Beere::N,hog,aeronen
192,Apfel::N,aval,afal
193,Pilz::N,kabell-touseg,madarch
194,Zwiebel::N,ognonenn,nionyn
195,Zwiebel::N,ognonenn,winwnsyn
196,Saat::N,had,had
197,Korn::N,ed,grawn
198,Heu::N,foenn,gwair
199,Schale::N,peliadur,croen
200,Schale::N,peliadur,plisgyn
201,Falle::N,pech,magl
202,Schlinge::N,krouglas,cwlwm rhedeg
203,Asche::N,ludu,lludw
204,Dreck::N,fank,baw
205,Dreck::N,fank,budreddi
206,Eisen::N,houarn,haearn
207,Gold::N,aour,aur
208,Silber::N,arc'hant,arian
209,Kohle::N,glaou,glo
210,Glas::N,gwer,gwydr
211,Sand::N,traezh,tywod
212,Mensch::N,den,dyn
213,Mann::N,den,dyn
214,Frau::N,maouez,merch
215,Frau::N,maouez,gwraig
216,Kind::N,bugel,plentyn
217,Junge::N,paotr,hogyn
218,Junge::N,paotr,bachgen
219,Mädchen::N,plac'h,merch
220,Mädchen::N,plac'h,geneth
221,Familie::N,familh,teulu
222,Familie::N,familh,tylwyth
223,Großvater::N,tad-kozh,taid
224,Großvater::N,tad-kozh,tad-cu
225,Großmutter::N,mamm-gozh,nain
226,Großmutter::N,mamm-gozh,mam-gu
227,Eltern::N,kerent,rhieni
228,Vater::N,tad,tad
229,Mutter::N,mamm,mam
230,Sohn::N,mab,mab
231,Tochter::N,merc'h,merch
232,Bruder::N,breur,brawd
233,Schwester::N,c'hoar,chwaer
234,Onkel::N,eontr,ewythr
235,Tante::N,moereb,modryb
236,Ehemann::N,gwaz,gŵr
237,Ehefrau::N,gwreg,gwraig
238,Freude::N,levenez,gorfoledd
239,Gelächter::N,c'hoarzherezh,chwerthin
240,Glück::N,chañs,hapusrwydd
241,Kummer::N,doan,galar
242,Wunsch::N,c'hoant,dymuniad
243,Lust::N,c'hoant,chwant
244,Geist::N,spered,ysbryd
245,Gedanke::N,soñj,meddwl
246,Gedächtnis::N,eñvor,cof
247,Verstand::N,skiant,meddwl
248,Sinn::N,ster,ystyr
249,Grund::N,kaoz,achos
250,Grund::N,kaoz,rheswm
251,Wahrheit::N,gwirionez,gwir
252,Wahrheit::N,gwirionez,gwirionedd
253,Gespräch::N,kaozeadenn,sgwrs
254,Märchen::N,kaoz korriganez,chwedl werin
255,Erzählung::N,kontadenn,stori
256,Nachricht::N,keloù,neges
257,Neuigkeit::N,kelaouenn,newydd
258,Name::N,anv,enw
259,Rätsel::N,divinatez,pos
260,Rede::N,diskour,araith
261,Sprache::N,yezh,iaith
262,Stimme::N,mouezh,llais
263,Wort::N,ger,gair
264,Zeichen::N,sin,arwydd
265,Ruf::N,galv,galwad
266,Lärm::N,trouz,trwst
267,Ton::N,ton,tôn
268,Lied::N,kanaouenn,cân
269,Ruhe::N,sioulded,tawelwch
270,Leute::N,tud,pobl
271,Volk::N,pobl,pobl
272,Arbeit::N,labour,gwaith
273,Gast::N,kouviad,gwestai
274,Geschenk::N,prof,rhodd
275,Geschenk::N,prof,anrheg
276,Spiel::N,c'hoari,chwarae
277,Gesellschaft::N,kompagnunezh,cwmni
278,Gesellschaft::N,kavandad,cwmni
279,Hilfe::N,sikour,cymorth
280,Freund::N,mignon,cyfaill
281,Kamerad::N,kamarad,cydymaith
282,Angelegenheit::N,afer,pwnc
283,Anzahl::N,niver,cyfrif
284,Art::N,sort,bath
285,Stück::N,tamm,darn
286,Teil::N,pezh,rhan
287,Hälfte::N,hanterenn,hanner
288,Kreis::N,kelc'h,cylch
289,Kreuz::N,kroaz,croes
290,Linie::N,linenn,llinell
291,Strich::N,tenn,strôc
292,Strich::N,tenn,trawiad
293,Abstand::N,distok,bwlch
294,Abstand::N,distok,pellter
295,Entfernung::N,keid,pellter
296,Entfernung::N,kehid,pellter
297,Gegend::N,korn-bro,cylch
298,Platz::N,plasenn,lle
299,Ort::N,lec'h,lle
300,Seite::N,tu,ochr
301,Mitte::N,kreiz,canol
302,Gegenstand::N,tra,eitem
303,Sache::N,tra,peth
304,Rand::N,kantenn,cwr
305,Rand::N,kantenn,ymyl
306,Kante::N,kantenn,min
307,Kante::N,kantenn,ymyl
308,Ecke::N,korn,cornel
309,Spitze::N,begell,blaen
310,Ende::N,dibenn,pen
311,Loch::N,toull,twll
312,Muster::N,tresadenn,patrwm
313,Größe::N,ment,maint
314,Größe::N,ment,maintioli
315,Länge::N,hirder,hyd
316,Höhe::N,uhelder,uchder
317,Gewicht::N,pouez,pwysau
318,Menge::N,bern,swm
319,Menge::N,bern,maint
320,Haufen::N,bern,pentwr
321,Reihe::N,steud,rhes
322,Boot::N,bag,cwch
323,Ruder::N,roeñv,rhwyf
324,Schlitten::N,trainell,sled
325,Schlitten::N,trainell,car llusg
326,Ski::N,ski,sgi
327,Last::N,karg,llwyth
328,Gang::N,kerzh,tro
329,Schritt::N,paz,cam
330,Norden::N,norzh,gogledd
331,Norden::N,hanternoz,gogledd
332,Süden::N,su,de
333,Süden::N,kreisteiz,de
334,Westen::N,kuzh-heol,gorllewin
335,Osten::N,reter,dwyrain
336,Osten::N,sav-heol,dwyrain
337,Holz::N,koad,pren
338,Brett::N,plankenn,bwrdd
339,Brett::N,plankenn,astell
340,Platte::N,plakenn,llech
341,Stütze::N,harp,ateg
342,Stütze::N,harp,cynhalydd
343,Stange::N,sparl,polyn
344,Stock::N,bazh,ffon
345,Stock::N,bazh,brigyn
346,Stab::N,bazh,ffon
347,Rohr::N,tub,pibell
348,Rohr::N,korz,pibell
349,Haus::N,ti,tŷ
350,Heim::N,kêr,cartref
351,Ofen::N,forn,stof
352,Fußboden::N,plañchod,llawr
353,Tisch::N,taol,bwrdd
354,Stuhl::N,kador,cadair
355,Wiege::N,kavell,crud
356,Bett::N,gwele,gwely
357,Regal::N,estajerenn,silff
358,Kiste::N,kased,bocs
359,Kiste::N,kased,blwch
360,Fenster::N,prenestr,ffenestr
361,Tür::N,dor,drws
362,Tor::N,portal,porth
363,Zaun::N,sklotur,ffens
364,Dach::N,toenn,to
365,Leiter::N,skeul,ysgol
366,Besen::N,skubell,ysgub
367,Spaten::N,pal,rhaw
368,Schaufel::N,pal,rhaw
369,Gabel::N,fourchetez,fforc
370,Löffel::N,loa,llwy
371,Messer::N,kontell,cyllell
372,Nagel::N,tach,hoel
373,Netz::N,roued,gwe
374,Netz::N,roued,rhwyd
375,Haken::N,krog,bach
376,Griff::N,kemer,carn
377,Schloss::N,potenn,clo
378,Bild::N,skeudenn,llun
379,Bild::N,skeudenn,pictiwr
380,Figur::N,skeud,ffigur
381,Figur::N,figur,ffigur
382,Puppe::N,merc'hodenn,dol
383,Beutel::N,sac'h,cwd
384,Bündel::N,feskenn,bwndel
385,Bündel::N,feskenn,coflaid
386,Tasche::N,sac'h,cod
387,Eimer::N,sailh,bwced
388,Eimer::N,sailh,cunnog
389,Deckel::N,pallenn,caead
390,Geschirr::N,listriaj,llestri
391,Sack::N,sac'h,sach
392,Tasse::N,tas,cwpan
393,Topf::N,pod,pot
394,Topf::N,pod,crochan
395,Kessel::N,chaodouron,tegell
396,Essen::N,pred,pryd o fwyd
397,Nahrung::N,boued,bwyd
398,Speise::N,meuz,saig
399,Fleisch::N,kig,cig
400,Getreide::N,ed,ŷd
401,Getreide::N,ed,llafur
402,Brei::N,yod,uwd
403,Brot::N,bara,bara
404,Scheibe::N,tailhenn,tafell
405,Fett::N,lard,saim
406,Fett::N,lard,braster
407,Butter::N,amann,ymenyn
408,Öl::N,eoul,olew
409,Salz::N,holen,halen
410,Suppe::N,soubenn,cawl
411,Honig::N,mel,mêl
412,Milch::N,laezh,llaeth
413,Milch::N,laezh,llefrith
414,Tee::N,te,te
415,Leder::N,lêr,lledr
416,Wolle::N,gloan,gwlân
417,Stoff::N,danvez,lliain
418,Stoff::N,danvez,brethyn
419,Nadel::N,nadoz,nodwydd
420,Faden::N,neudenn,edau
421,Faden::N,neudenn,edefyn
422,Knopf::N,bouton,botwm
423,Knoten::N,skoulm,cwlwm
424,Farbe::N,liv,paent
425,Kleidung::N,dilhad,dillad
426,Kleidung::N,dilhad,gwisgoedd
427,Hemd::N,roc'hed,crys
428,Kragen::N,gouzoug,coler
429,Ärmel::N,milgin,llawes
430,Hose::N,bragoù,trowsus
431,Gürtel::N,gouriz,gwregys
432,Mütze::N,boned,cap
433,Schuh::N,botez,esgid
434,Stiefel::N,botez,botasen
435,Ring::N,gwalenn,modrwy
436,Band::N,bagad,rhuban
437,Kamm::N,krib,crib
438,Spiegel::N,melezour,drych
439,Riemen::N,lerenn,strap
440,Schnur::N,kordenn,llinyn
441,Leine::N,roll,tennyn
442,Decke::N,golo,blanced
443,Decke::N,golo,gwrthban
444,Kissen::N,goubenner,clustog
445,Kissen::N,goubenner,gobennydd
446,Tuch::N,mezher,sgarff
447,Handtuch::N,toailhon,tywel
448,Handtuch::N,toailhon,lliain sychu
449,Kraft::N,nerzh,grym
450,Stärke::N,nerzhder,nerth
451,Stärke::N,nerzhder,cryfder
452,Gesundheit::N,yec'hed,iechyd
453,Krankheit::N,klañved,afiechyd
454,Krankheit::N,klañved,anhwylder
455,Schmerz::N,poan,poen
456,Schmerz::N,poan,gwayw
457,Schmerz::N,droug,poen
458,Schmerz::N,droug,gwayw
459,Wunde::N,gloazadenn,clwyf
460,Fieber::N,terzhienn,twymyn
461,Arznei::N,louzoù,meddyginiaeth
462,Brücke::N,pont,pont
463,Brunnen::N,puñs,ffynnon
464,Weide::N,prad,porfa
465,Pfad::N,gwenodenn,llwybr
466,Weg::N,hent,ffordd
467,Straße::N,ru,heol
468,Straße::N,ru,ffordd
469,Straße::N,hent,heol
470,Straße::N,hent,ffordd
471,Dorf::N,kêr,pentref
472,Dorf::N,kêriadenn,pentref
473,Stadt::N,kêr,tref
474,Brief::N,lizher,llythyr
475,Buch::N,levr,llyfr
476,Buchstabe::N,lizherenn,llythyren
477,Zeitung::N,kazetenn,papur newydd
478,Leben::N,buhez,bywyd
479,Tod::N,marv,marwolaeth
480,Grab::N,bez,bedd
481,Kirche::N,iliz,eglwys
482,Sünde::N,pec'hed,pechod
483,Gott::N,doue,duw
484,Arbeiter::N,labourer,gweithiwr
485,Arbeiter::N,micherour,gweithiwr
486,Chef::N,penn,pennaeth
487,Meister::N,mestr,meistr
488,Arzt::N,mezeg,meddyg
489,Arzt::N,medisin,meddyg
490,Lehrer::N,skolaer,athro
491,Lehrer::N,kelenner,athro
492,Geld::N,arc'hant,pres
493,Geld::N,arc'hant,arian
494,Geschäft::N,stal,busnes
495,Laden::N,stal,siop
496,Preis::N,priz,pris
497,Ware::N,marc'hadourezh,nwydd
498,Nutzen::N,gounidegezh,elw
499,Nutzen::N,gounidegezh,budd
500,Nutzen::N,lañs,elw
501,Nutzen::N,lañs,budd
502,Nutzen::N,profit,elw
503,Nutzen::N,profit,budd
504,Nutzen::N,spleit,elw
505,Nutzen::N,spleit,budd
506,Reichtum::N,pinvidigezh,cyfoeth
507,Welt::N,douar,byd
508,Land::N,bro,gwlad
509,Staat::N,stad,gwladwriaeth
510,König::N,roue,brenin
511,Macht::N,galloud,grym
512,Macht::N,galloud,awdurdod
513,Grenze::N,harzoù,ffin
514,Grenze::N,harzoù,goror
515,Krieg::N,brezel,rhyfel
516,Feind::N,eneber,gelyn
517,Gewalt::N,tâerder,ffyrnigrwydd
518,Kampf::N,kann,brwydr
519,Bogen[Waffe]::N,gwareg,bwa
520,Pfeil::N,saezh,saeth
521,Gewehr::N,fuzuilh,dryll
522,Fehler::N,fazi,gwall
523,Fehler::N,fazi,camgymeriad
524,Lüge::N,gaou,celwydd
525,Lüge::N,gaou,anwiredd
526,Schaden::N,gwall,niwed
527,Schaden::N,gwall,difrod
528,Unglück::N,gwalleur,anffawd
529,Schuld::N,kablusted,bai
530,Schuld::N,pec'hedigezh,bai
531,Alter::N,oad,oed
532,Schluss::N,diwezh,diwedd
533,Zeit::N,amzer,amser
534,Tag::N,deizh,dydd
535,Tag::N,deizh,diwrnod
536,Morgen::N,beure,bore
537,Morgen::N,mintin,bore
538,Mittag::N,kreisteiz,nawn
539,Abend::N,abardaez,noswaith
540,Nacht::N,noz,nos
541,Woche::N,sizhun,wythnos
542,Monat::N,miz,mis
543,Jahr::N,bloaz,blwyddyn
544,Frühling::N,nevezamzer,gwanwyn
545,Sommer::N,hañv,haf
546,Herbst::N,diskaramzer,hydref
547,Winter::N,goañv,gaeaf
548,Januar::N,Genver,Ionawr
549,Februar::N,C'hwevrer,Chwefror
550,März::N,Meurzh,Mawrth
551,April::N,Ebrel,Ebrill
552,Mai::N,Mae,Mai
553,Juni::N,Mezheven,Mehefin
554,Juli::N,Gouhere,Gorffennaf
555,August::N,Eost,Awst
556,September::N,Gwengolo,Medi
557,Oktober::N,Here,Hydref
558,November::N,Du,Tachwedd
559,Dezember::N,Kerzu,Rhagfyr
560,Montag::N,Lun,dydd Llun
561,Dienstag::N,Meurzh,dydd Mawrth
562,Mittwoch::N,Merc'her,dydd Mercher
563,Donnerstag::N,Yaou,dydd Iau
564,Freitag::N,Gwener,dydd Gwener
565,Samstag::N,Sadorn,dydd Sadwrn
566,Sonntag::N,Sul,dydd Sul
567,groß::A,bras,mawr
568,klein::A,bihan,bach
569,lang::A,hir,hir
570,kurz::A,berr,byr
571,kurz::A,berr,cwta
572,breit::A,ledan,llydan
573,schmal::A,strizh,cul
574,dicht::A,stank,dwys
575,dick[Gegenstand]::A,tev,trwchus
576,dünn::A,moan,tenau
577,fein::A,munut,main
578,fest::A,start,cadarn
579,flach::A,plaen,gwastad
580,glatt::A,lintr,llyfn
581,glatt::A,levn,llyfn
582,hart::A,kalet,caled
583,weich::A,blot,meddal
584,rund::A,ront,crwn
585,spitz::A,poentet,pigfain
586,scharf::A,dremm,miniog
587,stumpf::A,talsoc'h,pŵl
588,schwer::A,pounner,trwm
589,schön::A,kaer,teg
590,schön::A,kaer,hardd
591,schön::A,kaer,prydferth
592,heiß::A,tomm,poeth
593,warm::A,tomm,twym
594,warm::A,tomm,cynnes
595,kalt::A,yen,oer
596,kühl::A,yen,oeraidd
597,frisch::A,fresk,iach
598,feucht::A,gleb,llaith
599,nass::A,gleb,gwlyb
600,trocken::A,sec'h,sych
601,voll::A,leun,llawn
602,leer::A,goullo,gwag
603,offen::A,digor,agored
604,geschlossen::A,serr,caead
605,geschlossen::A,serr,caeëdig
606,sauber::A,naet,glân
607,schmutzig::A,lous,budr
608,schmutzig::A,lous,brwnt
609,roh::A,kriz,amrwd
610,reif::A,darev,aeddfed
611,lecker::A,lipous,blasus
612,lecker::A,lipous,danteithiol
613,lecker::A,saourus,blasus
614,lecker::A,saourus,danteithiol
615,süß::A,dous,melys
616,bitter::A,c'hwerv,chwerw
617,sauer::A,trenk,sur
618,hell::A,sklaer,disglair
619,dunkel::A,teñval,tywyll
620,schwarz::A,du,du
621,weiß::A,gwenn,gwyn
622,rot::A,ruz,coch
623,gelb::A,melen,melyn
624,blau::A,glas,glas
625,grün::A,gwer,gwyrdd
626,grau::A,louet,llwyd
627,bunt::A,liesliv,lliwgar
628,billig::A,marc'had-mat,rhad
629,teuer::A,ker,drud
630,wertvoll::A,prizius,gwerthfawr
631,blind::A,dall,dall
632,taub::A,bouzar,byddar
633,kräftig::A,start,nerthol
634,kräftig::A,start,grymus
635,stark::A,kreñv,cryf
636,stark::A,kreñv,cadarn
637,schwach::A,gwan,gwan
638,fett::A,lard,tew
639,schlank::A,sinkl,main
640,hübsch::A,koant,tlws
641,böse::A,gwall,drwg
642,dumm::A,glep,twp
643,faul::A,lezirek,diog
644,fleißig::A,studius,dyfal
645,geizig::A,tost,crintach
646,geizig::A,tost,cybyddlyd
647,klug::A,speredek,deallus
648,geschickt::A,dornet,medrus
649,geschickt::A,dornet,deheuig
650,lieb::A,koant,hoff
651,lieb::A,koant,annwyl
652,lustig::A,laouen,llon
653,sanft::A,flour,mwyn
654,hungrig::A,marnaon,newynog
655,krank::A,klañv,sâl
656,krank::A,klañv,gwael
657,nackt::A,noazh,noeth
658,traurig::A,trist,trist
659,lebendig::A,bev,yn fyw
660,gut::A,mad,da
661,schlecht::A,fall,drwg
662,schlecht::A,fall,gwael
663,schlecht::A,gwall,drwg
664,schlecht::A,gwall,gwael
665,richtig::A,reizh,cywir
666,schlimm::A,gwall,enbyd
667,wahr::A,gwir,gwir
668,alt::A,kozh,hen
669,neu::A,nevez,newydd
670,ehemalig::A,kozh,blaenorol
671,alt[Lebewesen]::A,kozh,oedrannus
672,jung::A,yaouank,ifanc
673,arm::A,paour,tlawd
674,reich::A,pinvidik,cyfoethog
675,bekannt::A,anavezet,cynefin
676,bekannt::A,anavezet,cyfarwydd
677,berühmt::A,brudet,enwog
678,fremd::A,dizanav,estron
679,verschieden::A,disheñel,gwahanol
680,nah::A,nes,agos
681,fern::A,diabell,pell
682,linker::A,kleiz,aswy
683,linker::A,kleiz,chwith
684,rechter::A,dehoù,de
685,rechter::A,dehoù,deau
686,anderer::A,all,arall
687,erster::A,kentañ,cyntaf
688,zweiter::A,eil,ail
689,dritter::A,trede,trydydd
690,letzter::A,diwezhañ,olaf
691,allein::ADV,e-unan,unig
692,allein::ADV,e-unan,ar ei ben ei hun
693,auf einmal::ADV,ar un dro,ar yr un pryd
694,zusammen::ADV,asambles,ynghyd
695,zusammen::ADV,asambles,gyda'i gilydd
696,lange::ADV,pell,amser hir
697,plötzlich::ADV,en un taol,yn sydyn
698,sofort::ADV,diouzhtu,ar unwaith
699,später::ADV,diwezhatoc'h,yn ddiweddarach
700,jetzt::ADV,bremañ,yn awr
701,heute::ADV,hiziv,heddiw
702,morgen::ADV,arc'hoazh,yfory
703,bald::ADV,hepdale,yn fuan
704,bald::ADV,hepdale,gyda hyn
705,dann::ADV,a-c'houde,yna
706,dann::ADV,a-c'houde,y pryd hwnnw
707,gestern::ADV,dec'h,ddoe
708,einst::ADV,gwechall,gynt
709,damals::ADV,neuze,ar y pryd
710,damals::ADV,neuze,bryd hynny
711,danach::ADV,goude,wedyn
712,vorher::ADV,diagent,o'r blaen
713,zuerst::ADV,da gentañ,yn gyntaf
714,einmal::ADV,ur wech,unwaith
715,manchmal::ADV,a-wechoù,weithiau
716,manchmal::ADV,a-wechoù,ar brydiau
717,oft::ADV,alies,yn aml
718,oft::ADV,alies,yn fynych
719,immer::ADV,atav,bob amser
720,immer::ADV,bepred,bob amser
721,niemals::ADV,gwech ebet,ni ... byth
722,niemals::ADV,gwech ebet,ni ... erioed
723,hier::ADV,amañ,yma
724,hierhin::ADV,dre amañ,hyd yma
725,von hier::ADV,alemañ,oddi yma
726,dort::ADV,aze,acw
727,dort::ADV,ahont,acw
728,dorthin::ADV,di,tuag yno
729,dorthin::ADV,aze,tuag yno
730,dorthin::ADV,ahont,tuag yno
731,geradeaus::ADV,war-eeun,syth ymlaen
732,vorwärts::ADV,war-raok,ymlaen
733,rückwärts::ADV,war-lerc'h,yn ôl
734,zurück::ADV,war-dreñv,yn ôl
735,unten::ADV,en traoñ,isod
736,unten::ADV,en traoñ,oddi tanodd
737,hinab::ADV,a-izel,i lawr
738,hinab::ADV,a-izel,i waered
739,oben::ADV,en nec'h,fry
740,hinauf::ADV,e-krec'h,i fyny
741,hinauf::ADV,e-krec'h,i'r lan
742,überall::ADV,dre-holl,ym mhobman
743,nicht::ADV,ne ... ket,ni
744,nicht::ADV,ne ... ket,nid
745,ein wenig::ADV,un tammig,tipyn
746,ein wenig::ADV,un tammig,ychydig
747,kaum::ADV,a-boan,prin
748,sehr::ADV,-tre,iawn
749,sehr::ADV,-kenañ,iawn
750,so::ADV,evel-se,fel
751,so::ADV,evel-se,felly
752,noch::ADV,c'hoazh,eto
753,nur::ADV,hepken,yn unig
754,schon::ADV,dija,eisoes
755,schon::ADV,dija,yn barod
756,wieder::ADV,adarre,drachefn
757,vor::PRP,dirak,o flaen
758,hinter::PRP,a-drek,ar ôl
759,hinter::PRP,a-dreñv,ar ôl
760,unter::PRP,dindan,islaw
761,durch::PRP,dre,trwy
762,neben::PRP,e-kichen,ar bwys
763,zwischen::PRP,etre,rhwng
764,zwischen::PRP,etre,cydrhwng
765,wegen::PRP,abalamour da,o achos
766,wegen::PRP,abalamour da,oherwydd
767,dies::PRN,hemañ,hyn
768,das::PRN,se,hynny
769,das::PRN,hennezh,hynny
770,alles::PRN,pep tra,popeth
771,ich::PRN,me,fi
772,du::PRN,te,ti
773,er::PRN,eñ,fe
774,wir::PRN,ni,ni
775,ihr::PRN,c'hwi,chi
776,sie::PRN,int,hwy
777,was::FPRN,petra,pa beth
778,wer::FPRN,piv,pwy
779,wo::FADV,pelec'h,ble
780,wo::FADV,pelec'h,ym mha le
781,wohin::FADV,da belec'h,i ble
782,wohin::FADV,da belec'h,i ba le
783,wie::FADV,penaos,sut
784,warum::FADV,perak,pam
785,wieviel::FNUM,pet,faint
786,eins::NUM,unan,un
787,zwei::NUM,daou,dau
788,drei::NUM,tri,tri
789,vier::NUM,pevar,pedwar
790,fünf::NUM,pemp,pump
791,sechs::NUM,c'hwec'h,chwech
792,sieben::NUM,seizh,saith
793,acht::NUM,eizh,wyth
794,neun::NUM,nav,naw
