,Concept_ID,lt,ku
143,Feder::N,plunksna,pîrtîk
144,Fell::N,kailis,heyar
145,Flügel::N,sparnas,per
146,Klaue::N,kanopa,napîk
147,Kralle::N,nagas,dinik
148,Kralle::N,nagas,dirnax
149,Schwanz::N,uodega,dûv
150,Ei::N,kiaušinis,hêk
151,Nest::N,gūžta,hêlîn
152,Nest::N,lizdas,hêlîn
153,Bau::N,ola,avahî
154,Tier::N,gyvūnas,heywan
155,Herde::N,banda,hoz
156,Herde::N,kaimenė,hoz
157,Kuh::N,karvė,çêlek
158,Bulle::N,bulius,ga
159,Pferd::N,arklys,hesp
160,Schaf::N,avis,mîh
161,Schwein::N,kiaulė,beraz
162,Hund::N,šuo,seh
163,Katze::N,katė,pişîk
164,Bär::N,lokys,hirç
165,Eichhörnchen::N,voveraitė,pilûr
166,Elch::N,briedis,pazkovî
167,Fuchs::N,lapė,rovî
168,Hase::N,kiškas,kîroşk
169,Maus::N,pelė,mişk
170,Wolf::N,vilkas,gur
171,Vogel::N,paukštis,çûk
172,Schwarm::N,spiečius,lufik
173,Huhn::N,višta,mirîşk
174,Hahn::N,gaidys,dîk
175,Gans::N,žąsis,qaz
176,Adler::N,erelis,eylo
177,Ente::N,antis,werdek
178,Eule::N,pelėda,bûm
179,Eule::N,pelėda,kund
180,Kranich::N,gervė,quling
181,Krähe::N,varna,qijik
182,Kuckuck::N,gegužė,pepûk
183,Schwan::N,gulbė,qû
184,Fisch::N,žuvis,masî
185,Barsch::N,ešerys,okûn
186,Hecht::N,lydeka,mesîyê lûf
187,Schlange[Tier]::N,gyvatė,mar
188,Wurm::N,kirmėlė,kurm
189,Spinne::N,voras,pîrê
190,Ameise::N,skruzdė,mîro
191,Ameise::N,skruzdė,gêrîk
192,Laus::N,utėlė,spi
193,Mücke::N,uodas,mêş
194,Fliege::N,musė,mêş
195,Schmetterling::N,drugys,perperîk
196,Schmetterling::N,peteliškė,perperîk
197,Beere::N,uoga,hirç
198,Apfel::N,obuolys,sêv
199,Pilz::N,grybas,bîrov
200,Zwiebel::N,svogūnas,pîvaz
201,Saat::N,sėkla,tov
202,Korn::N,grūdai,dexl
203,Heu::N,šienas,sap
204,Schale::N,žievelė,qaşik
205,Grube::N,duobė,çahl
206,Falle::N,pinklės,dafik
207,Falle::N,žabangai,dafik
208,Schlinge::N,kilpa,dahf
209,Spur::N,vėžė,rêç
210,Spur::N,pėdos,rêç
211,Spur::N,pėdsakas,rêç
212,Asche::N,pelenai,xweli
213,Dreck::N,purvas,gemarî
214,Eisen::N,geležis,hesing
215,Gold::N,auksas,zêr
216,Silber::N,sidabras,zîv
217,Kohle::N,anglis,komir
218,Glas::N,stiklas,qedeh
219,Lehm::N,molis,kelpîç
220,Sand::N,smėlis,qûm
221,Mensch::N,žmogus,mirov
222,Mann::N,vyras,mêr
223,Mann::N,vyriškis,mêr
224,Frau::N,moteris,jin
225,Kind::N,vaikas,zarok
226,Junge::N,vaikinas,kur
227,Junge::N,berniukas,kur
228,Mädchen::N,mergytė,keç
229,Mädchen::N,mergytė,keçik
230,Mädchen::N,mergaitė,keç
231,Mädchen::N,mergaitė,keçik
232,Familie::N,šeima,malbat
233,Großvater::N,senelis,bapîr
234,Großmutter::N,senelė,pîrik
235,Eltern::N,tėvai,bavudê
236,Vater::N,tėvas,bav
237,Mutter::N,motina,dê
238,Mutter::N,motina,dayik
239,Sohn::N,sūnus,kur
240,Tochter::N,duktė,keç
241,Bruder::N,brolis,bira
242,Schwester::N,sesuo,xweh
243,Onkel::N,dėdė,am
244,Onkel::N,dėdė,xal
245,Tante::N,teta,metik
246,Tante::N,teta,xaltîk
247,Ehemann::N,vyras,mêr
248,Ehefrau::N,žmona,kulfet
249,Freude::N,džiaugsmas,kêfxweşî
250,Gelächter::N,juokas,pîrqînî
251,Glück::N,laimė,bext
252,Kummer::N,vargas,derd
253,Kummer::N,rūpestis,derd
254,Wunsch::N,troškimas,daxwaz
255,Wunsch::N,troškimas,xwestek
256,Wunsch::N,pageidavimas,daxwaz
257,Wunsch::N,pageidavimas,xwestek
258,Lust::N,noras,şewq
259,Lust::N,geidulys,şewq
260,Geist::N,dvasia,aqil
261,Gedanke::N,mintis,fikir
262,Gedächtnis::N,atmintis,aqil
263,Verstand::N,protas,fêm
264,Sinn::N,prasmė,aqil
265,Grund::N,priežastis,asas
266,Wahrheit::N,tiesa,rastî
267,Wahrheit::N,teisybė,rastî
268,Gespräch::N,pokalbis,guftûgo
269,Märchen::N,pasaka,çirok
270,Erzählung::N,apsakymas,çirok
271,Erzählung::N,apsakymas,vegotin
272,Erzählung::N,pasakojimas,çirok
273,Erzählung::N,pasakojimas,vegotin
274,Nachricht::N,žinia,nûçe
275,Neuigkeit::N,naujiena,hewal
276,Name::N,vardas,nav
277,Name::N,vardas,paşnav
278,Rätsel::N,mįslė,tiştonek
279,Rede::N,kalba,gotar
280,Rede::N,kalba,axavtin
281,Sprache::N,kalba,ziman
282,Stimme::N,balsas,pejn
283,Wort::N,žodis,gotin
284,Zeichen::N,žymė,şanek
285,Zeichen::N,ženklas,şanek
286,Ruf::N,šauksmas,hawar
287,Lärm::N,triukšmas,xarbalix
288,Laut::N,garsas,deng
289,Laut::N,garsas,hês
290,Ton::N,tonas,awaz
291,Ton::N,garsas,awaz
292,Lied::N,daina,sitran
293,Lied::N,giesmė,sitran
294,Ruhe::N,ramybė,rihetî
295,Ruhe::N,ramumas,rihetî
296,Leute::N,žmonės,xelk
297,Volk::N,tauta,xelk
298,Arbeit::N,darbas,xebat
299,Arbeit::N,triūsas,xebat
300,Gast::N,svečias,mêvan
301,Geschenk::N,dovana,diyarî
302,Spiel::N,žaismas,lîstik
303,Spiel::N,žaidimas,lîstik
304,Gesellschaft::N,draugija,komal
305,Gesellschaft::N,kompanija,komal
306,Hilfe::N,pagalba,alîkarî
307,Freund::N,draugas,heval
308,Freund::N,bičiulis,heval
309,Kamerad::N,draugas,heval
310,Angelegenheit::N,dalykas,pirsgirêk
311,Angelegenheit::N,reikalas,pirsgirêk
312,Anzahl::N,kiekis,çend
313,Anzahl::N,skaičius,çend
314,Art::N,rūšis,çeh
315,Stück::N,gabalas,lib
316,Stück::N,gabalas,parçe
317,Teil::N,dalis,parçe
318,Hälfte::N,pusė,nîvî
319,Kreis::N,ratas,çemil
320,Kreis::N,apskritis,çemil
321,Kreis::N,apskritimas,çemil
322,Kreuz::N,kryžius,xaç
323,Linie::N,linija,xezik
324,Strich::N,brėžis,xezik
325,Strich::N,brūkšnys,xezik
326,Abstand::N,atstumas,dûrahî
327,Entfernung::N,atstumas,dûrahî
328,Gegend::N,vietovė,dever
329,Platz::N,vieta,çih
330,Ort::N,vieta,dever
331,Ort::N,vietovė,dever
332,Seite::N,pusė,rûpel
333,Seite::N,šonas,rûpel
334,Mitte::N,vidurys,nav
335,Mitte::N,vidurys,nabênê
336,Gegenstand::N,dalykas,tişt
337,Sache::N,daiktas,tişt
338,Rand::N,kraštas,kevî
339,Rand::N,pakraštys,kevî
340,Kante::N,kraštas,kevî
341,Ecke::N,kertė,qunç
342,Ecke::N,kampas,qunç
343,Spitze::N,priekis,derzî
344,Spitze::N,priešakys,derzî
345,Ende::N,galas,talî
346,Loch::N,skylė,qul
347,Winkel::N,kampas,kurnîşk
348,Winkel::N,kampelis,kurnîşk
349,Muster::N,raštas,desen
350,Größe::N,dydis,mezinî
351,Größe::N,didumas,mezinî
352,Länge::N,ilgis,dirêjahî
353,Länge::N,ilgumas,dirêjahî
354,Höhe::N,aukštis,bilindayî
355,Höhe::N,aukštuma,bilindayî
356,Gewicht::N,svoris,giranî
357,Gewicht::N,svarstis,giranî
358,Menge::N,kiekis,qas
359,Menge::N,daugybė,qas
360,Haufen::N,krūva,lod
361,Haufen::N,šūsnis,lod
362,Reihe::N,greta,rêz
363,Boot::N,valtis,kelek
364,Boot::N,laivelis,kelek
365,Ruder::N,irklas,bêrik
366,Schlitten::N,rogės,xîjik
367,Schlitten::N,rogutės,xîjik
368,Ski::N,slidė,lakan
369,Lagerfeuer::N,laužas,agir
370,Last::N,našta,bar
371,Last::N,nešulys,bar
372,Gang::N,eisena,fîtêz
373,Schritt::N,žingsnis,gav
374,Norden::N,šiaurė,bakur
375,Norden::N,žiemiai,bakur
376,Süden::N,pietūs,başur
377,Westen::N,vakarai,rojava
378,Osten::N,rytai,rojhilat
379,Holz::N,mediena,dep
380,Brett::N,lenta,dep
381,Platte::N,plokštė,dep
382,Stütze::N,atrama,destek
383,Stütze::N,atspara,destek
384,Stange::N,lazda,sing
385,Stange::N,kartis,sing
386,Stock::N,lazda,çam
387,Stab::N,kartis,qat
388,Rohr::N,vamzdis,borî
389,Haus::N,namas,mal
390,Haus::N,namas,xanî
391,Heim::N,namai,mal
392,Ofen::N,krosnis,sobe
393,Fußboden::N,grindys,binpê
394,Tisch::N,stalas,mase
395,Stuhl::N,kėdė,kursî
396,Wiege::N,lopšys,derguş
397,Bett::N,lova,qerewêle
398,Bett::N,patalai,qerewêle
399,Regal::N,lentyna,rêbaz
400,Kiste::N,dėžė,sindoq
401,Fenster::N,langas,çam
402,Fenster::N,langas,şibeke
403,Tür::N,durys,derî
404,Tor::N,vartai,derge
405,Zaun::N,tvora,hejik
406,Dach::N,stogas,sere xanî
407,Leiter::N,kopėčios,pêling
408,Besen::N,šluota,melkes
409,Spaten::N,lopeta,mer
410,Spaten::N,kastuvas,mer
411,Schaufel::N,semtuvas,bêr
412,Gabel::N,šakutė,çetel
413,Löffel::N,šaukštas,kevçî
414,Messer::N,peilis,kêr
415,Nagel::N,vinis,bizmar
416,Netz::N,tinklas,tor
417,Haken::N,vagis,çenqel
418,Haken::N,kablys,çenqel
419,Griff::N,kotas,destî
420,Griff::N,rankena,destî
421,Schloss::N,spyna,qonax
422,Schloss::N,užraktas,qonax
423,Bild::N,paveikslas,dimen
424,Figur::N,figūra,figûr
425,Puppe::N,lėlė,bûk
426,Beutel::N,krepšys,kîsik
427,Beutel::N,maišelis,kîsik
428,Bündel::N,ryšulys,pêçek
429,Tasche::N,krepšelis,bêrîk
430,Eimer::N,kibiras,dewl
431,Deckel::N,dangtis,devik
432,Geschirr::N,indai,ferax
433,Sack::N,maišas,tûr
434,Tasse::N,puodukas,kada
435,Topf::N,puodas,beroş
436,Kessel::N,katilas,şîril
437,Essen::N,valgis,xwarin
438,Nahrung::N,penas,xwarin
439,Nahrung::N,maistas,xwarin
440,Speise::N,patiekalas,xwarin
441,Fleisch::N,mėsa,goşt
442,Getreide::N,javai,zad
443,Brei::N,košė,hewdêl
444,Brot::N,duona,
445,Scheibe::N,riekė,parçe
446,Fett::N,taukai,rûn
447,Fett::N,riebalai,rûn
448,Butter::N,sviestas,rûn
449,Öl::N,aliejus,rûn
450,Salz::N,druska,xwe
451,Suppe::N,sriuba,şorbe
452,Honig::N,medus,hingiv
453,Milch::N,pienas,şîr
454,Tee::N,arbata,çay
455,Leder::N,oda,çerm
456,Wolle::N,vilna,herî
457,Stoff::N,audeklas,paç
458,Nadel::N,adata,derzî
459,Faden::N,gija,ta
460,Faden::N,siūlas,ta
461,Knopf::N,saga,bişkok
462,Knoten::N,mazgas,girêk
463,Farbe::N,dažai,boyax
464,Kleidung::N,rūbai,çil
465,Kleidung::N,drabužiai,çil
466,Hemd::N,marškiniai,qutik
467,Hemd::N,marškiniai,miltan
468,Kragen::N,apykaklė,stûvang
469,Ärmel::N,rankovė,hûçik
470,Hose::N,kelnės,şewel
471,Gürtel::N,juosta,qayiş
472,Gürtel::N,diržas,qayiş
473,Mütze::N,kepurė,fîno
474,Schuh::N,batas,şêkal
475,Stiefel::N,auliniai batai,gizme
476,Stiefel::N,auliniai batai,çizme
477,Ring::N,žiedas,xelek
478,Band::N,kaspinas,band
479,Kamm::N,šukos,şeh
480,Spiegel::N,veidrodis,eynik
481,Riemen::N,diržas,qayiş
482,Schnur::N,virvė,doxin
483,Leine::N,pavadėlis,şirît
484,Decke::N,antklodė,bataniye
485,Kissen::N,pagalvė,balgî
486,Kissen::N,priegalvis,balgî
487,Tuch::N,skarelė,şar
488,Handtuch::N,rankšluostis,dezmal
489,Kraft::N,jėga,hêz
490,Kraft::N,jėga,qewet
491,Stärke::N,stiprumas,xurtî
492,Gesundheit::N,sveikata,nojdarî
493,Krankheit::N,liga,nexweşî
494,Schmerz::N,skausmas,êş
495,Wunde::N,žaizda,kul
496,Fieber::N,karštis,ta
497,Arznei::N,vaistas,derman
498,Brücke::N,tiltas,kopî
499,Brunnen::N,šulinys,çal
500,Brunnen::N,šulinys,kani
501,Weide::N,ganykla,beyar
502,Weide::N,gluosnis,beyar
503,Pfad::N,takas,xaçirek
504,Weg::N,kelias,rê
505,Straße::N,gatvė,rê
506,Dorf::N,kaimas,gund
507,Dorf::N,sodžius,gund
508,Stadt::N,miestas,baçar
509,Brief::N,laiškas,name
510,Buch::N,knyga,kitêb
511,Buch::N,knyga,pirtûk
512,Buchstabe::N,raidė,herf
513,Zeitung::N,laikraštis,rojname
514,Leben::N,gyvybė,jiyan
515,Leben::N,gyvenimas,jiyan
516,Tod::N,mirtis,mirin
517,Grab::N,kapas,mezel
518,Kirche::N,bažnyčia,gilyas
519,Sünde::N,nuodėmė,guneh
520,Sünde::N,nusidėjimas,guneh
521,Gott::N,dievas,xwedê
522,Arbeiter::N,darbininkas,hîşçî
523,Chef::N,šefas,bêg
524,Chef::N,vadovas,bêg
525,Chef::N,viršininkas,bêg
526,Meister::N,meistras,hoste
527,Arzt::N,gydytojas,doktor
528,Lehrer::N,mokytojas,mamoste
529,Geld::N,pinigai,pere
530,Geschäft::N,biznis,firoşgeh
531,Laden::N,krautuvė,dikan
532,Laden::N,parduotuvė,dikan
533,Preis::N,kaina,buha
534,Ware::N,prekė,tişt
535,Nutzen::N,nauda,fêde
536,Nutzen::N,pelnas,fêde
537,Reichtum::N,turtas,serwet
538,Welt::N,pasaulis,dinya
539,Land::N,žemė,welat
540,Land::N,šalis,welat
541,Staat::N,valstija,dewlet
542,König::N,karalius,şah
543,König::N,karalius,qral
544,Macht::N,galia,qewet
545,Macht::N,galia,destihilat
546,Macht::N,valdžia,qewet
547,Macht::N,valdžia,destihilat
548,Grenze::N,riba,kevî
549,Grenze::N,siena,kevî
550,Krieg::N,karas,çeng
551,Krieg::N,karas,sêwaş
552,Feind::N,priešas,dijmin
553,Gewalt::N,jėga,zor
554,Gewalt::N,smurtas,zor
555,Gewalt::N,prievarta,zor
556,Kampf::N,kova,şer
557,Bogen[Waffe]::N,lankas,kêvan
558,Pfeil::N,strėlė,çîrik
559,Gewehr::N,šautuvas,tifing
560,Fehler::N,klaida,şaşî
561,Lüge::N,melas,derew
562,Schaden::N,nuostolis,xisar
563,Schaden::N,apgadinimas,xisar
564,Unglück::N,nelaimė,bêbextî
565,Schuld::N,kaltė,suç
566,Alter::N,amžius,temen
567,Schluss::N,pabaiga,girtin
568,Zeit::N,laikas,çax
569,Tag::N,diena,roj
570,Morgen::N,rytas,sibeh
571,Mittag::N,vidurdienis,nîro
572,Abend::N,vakaras,êvar
573,Nacht::N,naktis,şev
574,Woche::N,savaitė,heftî
575,Monat::N,mėnuo,meh
576,Jahr::N,metai,sal
577,Frühling::N,pavasaris,bihar
578,Sommer::N,vasara,havîn
579,Herbst::N,ruduo,payîz
580,Winter::N,žiema,zistan
581,Januar::N,sausis,çile
582,Februar::N,vasaris,sibat
583,März::N,kovas,adar
584,April::N,balandis,nîsan
585,Mai::N,gegužė,gûlan
586,Juni::N,birželis,hezîran
587,Juli::N,liepa,tîmeh
588,August::N,rugpjūtis,tebax
589,September::N,rugsėjis,îlon
590,Oktober::N,spalis,çotmeh
591,November::N,lapkritis,mijdar
592,Dezember::N,gruodis,kanûn
593,Montag::N,pirmadienis,duşemb
594,Dienstag::N,antradienis,sêşem
595,Mittwoch::N,trečiadienis,çarşemb
596,Donnerstag::N,ketvirtadienis,pêşemb
597,Freitag::N,penktadienis,în
598,Samstag::N,šeštadienis,şemî
599,Sonntag::N,sekmadienis,yekşemb
600,groß::A,didis,mezin
601,groß::A,didelis,mezin
602,klein::A,mažas,çûçik
603,lang::A,ilgas,dirêj
604,kurz::A,trumpas,kin
605,breit::A,platus,fireh
606,schmal::A,smulkus,tenik
607,dicht::A,tankus,gir
608,dick[Gegenstand]::A,storas,şîşman
609,dünn::A,plonas,zirav
610,fein::A,smulkus,tenik
611,fest::A,kietas,saxlem
612,fest::A,tvirtas,saxlem
613,flach::A,lėkštas,pahn
614,flach::A,plokščias,pahn
615,glatt::A,slidus,dûz
616,glatt::A,slidus,şayîk
617,hart::A,kietas,hişk
618,weich::A,minkštas,nerm
619,rund::A,apvalus,gilover
620,rund::A,apskritas,gilover
621,spitz::A,aštrus,pîj
622,spitz::A,smailus,pîj
623,scharf::A,aštrus,tûj
624,stumpf::A,bukas,ne tûj
625,stumpf::A,atšipęs,ne tûj
626,schwer::A,sunkus,giran
627,schön::A,gražus,xweş
628,schön::A,gražus,xweşik
629,heiß::A,karštas,kelandî
630,warm::A,šiltas,germ
631,kalt::A,šaltas,sar
632,kühl::A,vėsus,jemîrî
633,kühl::A,bejausmis,jemîrî
634,frisch::A,šviežias,ter
635,feucht::A,drėgnas,şil
636,nass::A,šlapias,şilek
637,trocken::A,sausas,zuwa
638,voll::A,pilnas,tijî
639,leer::A,tuščias,vala
640,offen::A,atviras,vekirî
641,geschlossen::A,uždaras,asê
642,geschlossen::A,uždarytas,asê
643,sauber::A,švarus,pakij
644,schmutzig::A,nešvarus,lewitî
645,schmutzig::A,purvinas,lewitî
646,roh::A,žalias,xav
647,reif::A,prinokęs,gihaştî
648,reif::A,pribrendęs,gihaştî
649,lecker::A,gardus,xweş
650,süß::A,saldus,şîrîn
651,bitter::A,kartus,tahl
652,sauer::A,gižus,tirş
653,sauer::A,rūgštus,tirş
654,hell::A,šviesus,ronî
655,hell::A,skaistus,ronî
656,dunkel::A,tamsus,tarî
657,schwarz::A,juodas,reş
658,weiß::A,baltas,sipî
659,rot::A,raudonas,sor
660,gelb::A,geltonas,zer
661,blau::A,mėlynas,şîn
662,grün::A,žalias,şîn
663,grau::A,pilkas,gewr
664,bunt::A,margas,rengîn
665,bunt::A,spalvotas,rengîn
666,billig::A,pigus,erzan
667,teuer::A,brangus,biha
668,wertvoll::A,vertingas,hêja
669,wertvoll::A,vertingas,giranbiha
670,blind::A,aklas,kor
671,taub::A,kurčias,kerr
672,kräftig::A,stiprus,gir
673,kräftig::A,stiprus,xurt
674,stark::A,stiprus,xurt
675,schwach::A,silpnas,kesad
676,fett::A,riebus,qelew
677,schlank::A,laibas,zirav
678,schlank::A,lieknas,zirav
679,hübsch::A,gražus,xweşik
680,böse::A,blogas,xerab
681,böse::A,blogas,aciz
682,dumm::A,paikas,gêj
683,dumm::A,kvailas,gêj
684,faul::A,tingus,têmbêl
685,fleißig::A,stropus,jêhatî
686,fleißig::A,kruopštus,jêhatî
687,geizig::A,šykštus,destgirtî
688,klug::A,sumanus,baqil
689,klug::A,protingas,baqil
690,geschickt::A,apsukrus,zîrek
691,geschickt::A,apsukrus,ziring
692,lieb::A,mielas,delal
693,lustig::A,smagus,kêfxweş
694,lustig::A,linksmas,kêfxweş
695,sanft::A,švelnus,nazenîn
696,sanft::A,minkštas,nazenîn
697,hungrig::A,alkanas,birçî
698,krank::A,ligotas,nexweş
699,krank::A,sergantis,nexweş
700,nackt::A,nuogas,rût
701,nackt::A,nuogas,tazî
702,traurig::A,liūdnas,xemgîn
703,lebendig::A,gyvas,bisaxî
704,gut::A,geras,baş
705,schlecht::A,blogas,xerab
706,schlecht::A,prastas,xerab
707,richtig::A,tikras,rast
708,richtig::A,tikras,saxlem
709,richtig::A,teisingas,rast
710,richtig::A,teisingas,saxlem
711,schlimm::A,blogas,nebaş
712,schlimm::A,prastas,nebaş
713,wahr::A,tikras,rast
714,alt::A,senas,pîr
715,alt::A,senas,kevn
716,neu::A,naujas,nû
717,ehemalig::A,buvęs,kevnar
718,ehemalig::A,buvęs,peşidar
719,alt[Lebewesen]::A,pagyvenęs,pîr
720,jung::A,jaunas,xort
721,arm::A,neturtingas,feqîr
722,arm::A,neturtingas,desteng
723,reich::A,turtingas,dewlemend
724,bekannt::A,žinomas,naskirî
725,bekannt::A,pažįstamas,naskirî
726,berühmt::A,žymus,navdar
727,berühmt::A,garsus,navdar
728,fremd::A,svetimas,xerîb
729,verschieden::A,įvairus,çîhê
730,nah::A,artimas,nêzîk
731,fern::A,tolimas,dûr
732,linker::A,kairys,çepê
733,rechter::A,dešinys,rastê
734,anderer::A,kitas,yê din
735,erster::A,pirmas,yekemîn
736,zweiter::A,antras,duda
737,dritter::A,trečias,sisêya
738,letzter::A,paskutinis,paşîn
739,allein::ADV,vienas,tenê
740,auf einmal::ADV,iš karto,jar kê
741,zusammen::ADV,kartu,tev
742,zusammen::ADV,kartu,bi hev re
743,zusammen::ADV,drauge,tev
744,zusammen::ADV,drauge,bi hev re
745,lange::ADV,ilgai,dirêj
746,plötzlich::ADV,staiga,ji nişkave
747,sofort::ADV,tuojau,yekser
748,später::ADV,vėliau,paşiyê
749,später::ADV,paskiau,paşiyê
750,jetzt::ADV,dabãr,nuha
751,heute::ADV,šiandien,îro
752,morgen::ADV,rytoj,sibeh
753,bald::ADV,greitai,nêzîk
754,bald::ADV,netrukus,nêzîk
755,dann::ADV,po to,paşê
756,gestern::ADV,vakar,do
757,einst::ADV,kadaise,jar ke
758,einst::ADV,kitą kartą,jar ke
759,damals::ADV,anuomet,hîngî
760,damals::ADV,anuokart,hîngî
761,danach::ADV,po to,piştra
762,danach::ADV,paskui,piştra
763,vorher::ADV,anksčiau,pîşî
764,zuerst::ADV,pirma,bere
765,zuerst::ADV,iš pradžių̃,bere
766,einmal::ADV,kartą,çarik
767,einmal::ADV,vieną kartą,çarik
768,manchmal::ADV,kai kada,çarna
769,oft::ADV,dažnai,gelek çaran
770,immer::ADV,visada,daîm
771,immer::ADV,visuomet,daîm
772,niemals::ADV,niekada,tu çar
773,niemals::ADV,niekuomet,tu çar
774,hier::ADV,čia,li vir
775,hierhin::ADV,šen,vir
776,hierhin::ADV,čionai,vir
777,von hier::ADV,iš čia,ji vir
778,dort::ADV,ten,li wê derê
779,dort::ADV,tenai,li wê derê
780,dorthin::ADV,ten,wêda
781,dorthin::ADV,ten link,wêda
782,geradeaus::ADV,tiesiai,rastê rast
783,vorwärts::ADV,pirmyn,ber bi pêş
784,rückwärts::ADV,atbulai,paşpê
785,zurück::ADV,atgal,paşdo
786,zurück::ADV,atgal,paşvê
787,unten::ADV,žemai,jêrî
788,unten::ADV,apačioje,jêrî
789,hinab::ADV,žemyn,berjêr
790,oben::ADV,viršuj,banî
791,hinauf::ADV,aukštyn,banî
