,Concept_ID,mrj,uz
138,Tier::N,во́льык,hayvon
139,Herde::N,кӹтö,gala
140,Kuh::N,ышкал,inak
141,Bulle::N,ӱшкӱж,ho'kiz
142,Pferd::N,имни,ot
143,Schaf::N,шарык,qo'y
144,Schwein::N,сасна,cho'chqa
145,Hund::N,пи,it
146,Katze::N,коти,mushuk
147,Bär::N,мöскӓ,ayiq
148,Eichhörnchen::N,ур,tiyin
149,Elch::N,шарды,los
150,Fuchs::N,рӹвӹж,tulki
151,Hase::N,морен,kuyon
152,Maus::N,каля,sichqon
153,Wolf::N,пирӹ,bo'ri
154,Vogel::N,кек,qush
155,Schwarm::N,цуца,to'da
156,Huhn::N,цӹвӹ,tovuq
157,Hahn::N,ӓптӓн,xo'roz
158,Gans::N,комбы,g'oz
159,Adler::N,кучкыж,burgut
160,Ente::N,лыды,o'rdak
161,Eule::N,тымана,boyo'g'li
162,Kranich::N,тырня,turna
163,Kranich::N,тыртня,turna
164,Krähe::N,лудыгарак,qarg'a
165,Kuckuck::N,куку,kakku
166,Schwan::N,йӱксӹ,oqkush
167,Fisch::N,кол,baliq
168,Barsch::N,алангы,olabug'a
169,Hecht::N,нуж,cho'rtan
170,Hecht::N,нужгол,cho'rtan
171,Schlange[Tier]::N,кӹшкы,ilon
172,Wurm::N,шукш,qurt
173,Spinne::N,ӓнгӹремшӹ,o'rgimchak
174,Ameise::N,кыткы,chumoli
175,Laus::N,ти,bit
176,Mücke::N,кужнер,chivin
177,Mücke::N,кужынер,chivin
178,Fliege::N,шӹнгӓ,pashsha
179,Schmetterling::N,лӹпӹ,kapalak
180,Beere::N,мöр,meva
181,Apfel::N,олма,olma
182,Pilz::N,понгы,qo'ziqorin
183,Zwiebel::N,охыра,piyoz
184,Saat::N,нӱшмӹ,äkin
185,Saat::N,нӱшмӱ,äkin
186,Korn::N,пӹрцӹ,zarra
187,Heu::N,шуды,xashak
188,Schale::N,аваха,po'choq
189,Schale::N,карлангы,po'choq
190,Grube::N,йӓм,co'ra
191,Falle::N,лӱдӹ,qopqon
192,Falle::N,лӱдӹш,qopqon
193,Schlinge::N,онгы,sirtmoq
194,Spur::N,кишӓ,iz
195,Asche::N,ломых,kul
196,Asche::N,ломпыж,kul
197,Dreck::N,лявӹрӓ,kir
198,Eisen::N,кӹртни,temir
199,Gold::N,шöртни,tilla
200,Gold::N,шöртньӹ,tilla
201,Silber::N,ши,kumush
202,Kohle::N,шӱ,ko'mir
203,Glas::N,охоница,oyna
204,Lehm::N,шун,loy
205,Sand::N,ошма,qum
206,Mensch::N,эдем,odam
207,Mann::N,пӱэргӹ,ärkak
208,Frau::N,ӹдӹрӓмӓш,ayol
209,Kind::N,ӓзӓ,bola
210,Kind::N,ӓзӓ,kichkintoy
211,Kind::N,шачшы,bola
212,Kind::N,шачшы,kichkintoy
213,Junge::N,рвезӹ,bola
214,Junge::N,ӹрвезӹ,bola
215,Mädchen::N,ӹдӹрӓш,qiz
216,Familie::N,йиш,oila
217,Familie::N,семня,oila
218,Großvater::N,тьоти,buva
219,Großvater::N,тьоти,katta ota
220,Großmutter::N,папа,buvi
221,Großmutter::N,папа,katta oyi
222,Eltern::N,ӓтя-ӓвӓ,ota-ona
223,Vater::N,ӓтя,ota
224,Mutter::N,ӓвӓ,ona
225,Sohn::N,эргӹ,o'g'il
226,Tochter::N,ӹдӹр,qiz
227,Bruder::N,ӹза,og'a
228,Bruder::N,ӹза,uka
229,Schwester::N,ӓкӓ,opa
230,Schwester::N,ӓкӓ,singil
231,Onkel::N,кугуза,amaki
232,Tante::N,куака,amma
233,Tante::N,куака,xola
234,Ehemann::N,мары,är
235,Ehefrau::N,вӓтӹ,rafiqa
236,Freude::N,ӹвӹртӹмӓш,ayish
237,Gelächter::N,ваштылмаш,kulgi
238,Glück::N,пиӓл,saodat
239,Kummer::N,ясы,g'am
240,Wunsch::N,охата,orzu
241,Wunsch::N,шанымаш,orzu
242,Lust::N,шӓр,rag'bat
243,Lust::N,охата,rag'bat
244,Lust::N,шанымаш,rag'bat
245,Geist::N,тух,ruh
246,Gedanke::N,шанымаш,fikr
247,Gedächtnis::N,ӓш,äs
248,Verstand::N,ыш,aql
249,Sinn::N,кын,ma'ni
250,Grund::N,вир,sabab
251,Wahrheit::N,тöр,haq
252,Gespräch::N,хытырымаш,gap
253,Märchen::N,ямак,ärtak
254,Erzählung::N,шайыштмаш,rivoyat
255,Nachricht::N,увертӓрӹмӓш,xabar
256,Neuigkeit::N,увер,yangilik
257,Name::N,лӹм,ot
258,Rätsel::N,тышты,topishmoq
259,Rede::N,шая,nutq
260,Rede::N,шамак,nutq
261,Sprache::N,йӹлмӹ,til
262,Stimme::N,юк,ovoz
263,Wort::N,шамак,so'z
264,Zeichen::N,палӹ,alomat
265,Ruf::N,сӹгӹрӹмӓш,chaqiriq
266,Lärm::N,юкланымащ,taraq
267,Laut::N,юк,tovush
268,Ton::N,юк,un
269,Lied::N,мыры,ashula
270,Ruhe::N,тыр,tinchlik
271,Leute::N,эдемвлӓ,xaloyiq
272,Volk::N,халык,xalq
273,Arbeit::N,пӓшӓ,ish
274,Gast::N,хына,mehmon
275,Geschenk::N,подарка,hadya
276,Spiel::N,мадыш,o'yin
277,Gesellschaft::N,йӓл,jamiyat
278,Gesellschaft::N,йӓлвлӓ,jamiyat
279,Hilfe::N,палшык,yordam
280,Freund::N,тӓнг,do'st
281,Kamerad::N,тос,yo'ldosh
282,Angelegenheit::N,дела,daxl
283,Angelegenheit::N,йела,daxl
284,Angelegenheit::N,йыла,daxl
285,Angelegenheit::N,пӓшӓ,daxl
286,Anzahl::N,шот,son
287,Art::N,цӹре,tur
288,Stück::N,лаштык,parcha
289,Teil::N,пай,bo'lak
290,Teil::N,часть,bo'lak
291,Hälfte::N,пел,yarim
292,Kreis::N,тӹртӹш,aylana
293,Kreuz::N,крестӹ,xoch
294,Abstand::N,ло,oralik
295,Entfernung::N,ло,uzoqlik
296,Gegend::N,вӓр,yer
297,Platz::N,вӓр,oralig
298,Ort::N,вӓр,joy
299,Seite::N,öрдӹж,yon
300,Mitte::N,ло,o'rta
301,Gegenstand::N,хӓдӹр,ashyo
302,Sache::N,хӓдӹр,buyum
303,Rand::N,шöр,chek
304,Kante::N,шöр,tig'
305,Ecke::N,лык,burchak
306,Spitze::N,вуй,uch
307,Ende::N,вуй,oxir
308,Ende::N,мычаш,oxir
309,Loch::N,ыраж,teshik
310,Winkel::N,лык,go'sha
311,Muster::N,тӹрлец,nusha
312,Größe::N,кӱкшӹц,kattalik
313,Länge::N,кыт,uzunlik
314,Höhe::N,кӱкшӹц,yuksaklik
315,Gewicht::N,нелӹц,solmoq
316,Menge::N,шот,miqdor
317,Haufen::N,ара,uyum
318,Reihe::N,ряд,saf
319,Boot::N,пыш,qayiq
320,Ruder::N,вешлӓ,äshkak
321,Schlitten::N,тир,chana
322,Ski::N,ечӹ,chang'i
323,Lagerfeuer::N,тыл,gulxan
324,Last::N,нелӹц,yuk
325,Gang::N,ход,yurish
326,Schritt::N,ашкыл,qadam
327,Norden::N,йыдпелвел,shimol
328,Süden::N,кечӹвӓлвел,janub
329,Westen::N,кечӹ шӹцмӹ,g'arb
330,Osten::N,ирвел,sharq
331,Osten::N,кечӹ лӱлтмӹ,sharq
332,Holz::N,пушӓнгӹ,yog'och
333,Brett::N,ханга,taxta
334,Platte::N,плитӓ,tabaqa
335,Stütze::N,цӓрӓк,tayanchi
336,Stange::N,равы,qo'noq
337,Stange::N,намаш,qo'noq
338,Stock::N,панды,tayoq
339,Stab::N,равы,gavron
340,Rohr::N,пыч,tarnov
341,Haus::N,пöрт,uy
342,Heim::N,пöрт,makon
343,Ofen::N,камака,pechka
344,Fußboden::N,седӹрӓ,pol
345,Tisch::N,стöл,mosa
346,Stuhl::N,пöкен,o'rindiq
347,Wiege::N,шипкӓ,beshik
348,Bett::N,койка,yotoq
349,Bett::N,кравать,yotoq
350,Regal::N,полицӓ,tokcha
351,Kiste::N,шӱ́ндӹк,sandiq
352,Fenster::N,окня,deraza
353,Tür::N,амаса,äshik
354,Tor::N,хапка,darvoza
355,Zaun::N,забор,panjara
356,Dach::N,левӓш,tom
357,Leiter::N,ташкалтыш,narvon
358,Besen::N,сало,supurgi
359,Besen::N,салко,supurgi
360,Spaten::N,кольмы,bel
361,Schaufel::N,лоток,kurak
362,Gabel::N,ви́лка,bilka
363,Löffel::N,савала,qoshiq
364,Messer::N,кӹзӹ,pichoq
365,Nagel::N,пыда,mix
366,Netz::N,вӓпш,to'r
367,Haken::N,крӱк,ilgak
368,Haken::N,кагак,ilgak
369,Griff::N,кычем,sop
370,Griff::N,кычем,tutqich
371,Schloss::N,замок,qulf
372,Schloss::N,сыравач,qulf
373,Bild::N,картин,rasm
374,Figur::N,кӓн,shakl
375,Puppe::N,поханя,ko'g'irchoq
376,Beutel::N,мешӓк,to'rva
377,Bündel::N,топ,bog'lam
378,Bündel::N,пидӹш,bog'lam
379,Bündel::N,кӹлдӹш,bog'lam
380,Tasche::N,сумкы,kissa
381,Eimer::N,ведӹрӓ,chelak
382,Deckel::N,комдыш,qopqoq
383,Geschirr::N,ӓтӹ,idish
384,Sack::N,мешӓк,qop
385,Tasse::N,цӓшкӓ,piyola
386,Topf::N,ми́ска,tuvak
387,Kessel::N,пад,qozon
388,Essen::N,качкыш,tomoq
389,Essen::N,качкыш-йӱш,tomoq
390,Nahrung::N,качкыш,emak
391,Nahrung::N,качкыш-йӱш,emak
392,Speise::N,няня,taom
393,Fleisch::N,пай,go'sht
394,Getreide::N,киндӹ,g'alla
395,Brei::N,шӹрӓш,bo'tqa
396,Brot::N,сыкыр,non
397,Scheibe::N,ламыт,disk
398,Scheibe::N,лаштык,disk
399,Fett::N,кая,moy
400,Butter::N,ӱ,yog'
401,Öl::N,ӱ,moy
402,Salz::N,санзал,tuz
403,Suppe::N,лем,sho'rva
404,Honig::N,мӱ,asal
405,Milch::N,шӹшер,sut
406,Tee::N,чӓй,choy
407,Leder::N,шарга,charm
408,Leder::N,кавашты,charm
409,Wolle::N,миж,jun
410,Stoff::N,матер,mato
411,Stoff::N,матери,mato
412,Nadel::N,им,igna
413,Faden::N,шӹртӹ,ip
414,Knopf::N,полдыш,tugma
415,Knoten::N,пӱкшем,tugun
416,Farbe::N,чиӓ,bo'yok
417,Farbe::N,крӓскӓ,bo'yok
418,Kleidung::N,выргем,kiyim
419,Hemd::N,тыгыр,ko'ylak
420,Kragen::N,шӱ,yoqa
421,Ärmel::N,шокш,yeng
422,Hose::N,ялаш,shim
423,Gürtel::N,ӹштӹ,tasma
424,Mütze::N,упш,shapka
425,Schuh::N,ту́фльы,but
426,Stiefel::N,кем,botinka
427,Ring::N,шӓргӓш,yuzuk
428,Band::N,лемтӓ,rishta
429,Kamm::N,шерге,taroq
430,Spiegel::N,тӹгӹр,ko'zgu
431,Riemen::N,прӓжӓ,qayish
432,Schnur::N,кӓндӹра,bog'ich
433,Leine::N,керем,etak
434,Decke::N,одеял,odyol
435,Kissen::N,кӹпцӹк,yostiq
436,Tuch::N,савыц,gazlama
437,Handtuch::N,шӹргӹсавыц,sochiq
438,Handtuch::N,шӹргӹмсавыц,sochiq
439,Kraft::N,ви,kuch
440,Stärke::N,ви,quvvat
441,Gesundheit::N,шу,sog'lik
442,Gesundheit::N,шулык,sog'lik
443,Krankheit::N,мыж,kasallik
444,Schmerz::N,карштыш,og'riq
445,Wunde::N,шушыр,yara
446,Fieber::N,ӱштӹмыж,bezgak
447,Arznei::N,лекӓрцӹ,dori
448,Brücke::N,кӹвер,ko'prik
449,Brunnen::N,вӹдсӹнзӓ,buloq
450,Weide::N,ныр,yaylov
451,Pfad::N,ялгорны,dorojka
452,Weg::N,корны,yo'l
453,Straße::N,корны,ko'cha
454,Dorf::N,сола,ovul
455,Stadt::N,города,shahar
456,Brief::N,сирмӓш,maktub
457,Buch::N,книгӓ,kitob
458,Buchstabe::N,буква́,harf
459,Zeitung::N,газет,gazet
460,Zeitung::N,кайзет,gazet
461,Leben::N,житя,hayot
462,Tod::N,смöрт,o'lim
463,Grab::N,шӹгер,go'r
464,Grab::N,мыгилӓ,go'r
465,Grab::N,шӹгерлӓ,go'r
466,Kirche::N,церкӹ,cherkov
467,Sünde::N,сулык,gunoh
468,Gott::N,йымы,olloh
469,Arbeiter::N,пӓшӓзӹ,ishchi
470,Chef::N,вуй,rais
471,Meister::N,мастар,usta
472,Arzt::N,доктор,hakim
473,Lehrer::N,тымдышы,muallim
474,Geld::N,окса,pul
475,Geschäft::N,торге́йӹмӓш,savdo
476,Laden::N,лапка,do'kon
477,Laden::N,магазин,do'kon
478,Preis::N,ӓк,baho
479,Ware::N,товар,mol
480,Nutzen::N,пайда,foyda
481,Reichtum::N,перке,boylik
482,Welt::N,сӓндӓлӹк,olam
483,Welt::N,свет,olam
484,Land::N,сӓндӓлӹк,o'lka
485,Staat::N,кугижӓншӹ,davlat
486,König::N,король,qirol
487,Macht::N,власть,iqtidor
488,Grenze::N,пӹсмӓн,chegara
489,Krieg::N,вырсы,harb
490,Feind::N,тышман,dushman
491,Gewalt::N,ви,zo'rlik
492,Kampf::N,кредӓлмӓш,kurash
493,Bogen[Waffe]::N,янгеж,yoy
494,Pfeil::N,пикш,o'q
495,Gewehr::N,пичӓл,vintovka
496,Fehler::N,самынь,xato
497,Lüge::N,шая,yolg'on
498,Schaden::N,вре́дӓ,ziyon
499,Unglück::N,пёда,balo
500,Unglück::N,тымаша,balo
501,Schuld::N,вуйнамат,ayb
502,Alter::N,иӓш,yosh
503,Alter::N,игечӹ,yosh
504,Schluss::N,пӹтӓртӹш,tamom
505,Zeit::N,веремӓ,vaqt
506,Tag::N,кечӹ,kun
507,Morgen::N,ир,saboh
508,Morgen::N,ирок,saboh
509,Mittag::N,кечӹвӓл,kun tushlik
510,Abend::N,вады,oqshom
511,Nacht::N,йыд,tun
512,Woche::N,ӓрня,hafta
513,Monat::N,тӹ́лзӹ,oy
514,Jahr::N,год,yil
515,Frühling::N,шошым,bahor
516,Sommer::N,кӓнгӹж,yoz
517,Herbst::N,шӹжӹ,kuz
518,Herbst::N,шӹжӹ,xazon
519,Winter::N,тел,qish
520,Winter::N,телӹ,qish
521,Januar::N,январ,yanvar'
522,Januar::N,январь,yanvar'
523,Februar::N,февраль,fevral'
524,März::N,март,mart
525,April::N,апрель,aprel'
526,Mai::N,май,may
527,Juni::N,июнь,iyun'
528,Juli::N,июль,iyul'
529,August::N,август,avgust
530,September::N,сентябрь,sentyabr'
531,Oktober::N,октябрь,oktyabr'
532,November::N,ноябрь,noyabr'
533,Dezember::N,декавыр,dekabr'
534,Montag::N,шачмы,dushanba
535,Dienstag::N,кышкыжмы,seshanba
536,Mittwoch::N,вӹрчегӹ,chorshanba
537,Donnerstag::N,изӓрня,payshanba
538,Freitag::N,когарня,juma
539,Samstag::N,кукшыгечӹ,shanba
540,Sonntag::N,рушӓрня,yakshanba
541,groß::A,кого,buyuk
542,klein::A,изи,kichik
543,lang::A,кужы,uzun
544,kurz::A,кӹтӹк,qisqa
545,breit::A,кымда,keng
546,schmal::A,ӓнгӹсӹр,änsiz
547,dicht::A,шӹре,quyuq
548,dick[Gegenstand]::A,кӹжгӹ,qalin
549,dünn::A,вӹцкӹж,ingichka
550,fein::A,пыльга,mayin
551,fest::A,цаткыды,qattiq
552,flach::A,тӓлякӓ,yalpoq
553,glatt::A,ягылгы,tekis
554,hart::A,пингӹдӹ,qattiq
555,weich::A,пышкыды,yumshoq
556,rund::A,тӹртӹш,yumaloq
557,spitz::A,кашар,uchli
558,scharf::A,кашар,keskir
559,stumpf::A,нӹшкӹ,to'mtoq
560,schwer::A,нелӹ,salmoqli
561,schön::A,цевер,go'zal
562,schön::A,олмыдшы,go'zal
563,heiß::A,шокшы,qiziq
564,warm::A,шокшы,issiq
565,kalt::A,ӱштӹ,sovuq
566,kühl::A,юалгы,salqin
567,kühl::A,йонгата,salqin
568,frisch::A,йонгата,toza
569,feucht::A,ӹлӹкшӹ,namli
570,feucht::A,вӹдӹжгӹ,namli
571,nass::A,начкы,nam
572,trocken::A,кукшы,quruq
573,voll::A,темшӹ,to'la
574,voll::A,темыман,to'la
575,leer::A,йӓрӓ,puch
576,offen::A,виш,ochiq
577,geschlossen::A,чӱчмӹ,berk
578,geschlossen::A,тӹкӹлӓлтшӹ,berk
579,sauber::A,ире,ozoda
580,schmutzig::A,шоран,kir
581,schmutzig::A,лявӹрӓн,kir
582,schmutzig::A,шорангшы,kir
583,roh::A,пеле кӱшӹ,xom
584,reif::A,кӱшӹ,pishiq
585,lecker::A,тотан,shirin
586,süß::A,мӱӓн,shirin
587,bitter::A,качы,achchiq
588,sauer::A,шапы,achchiq
589,hell::A,соты,yorug'
590,hell::A,валгыды,yorug'
591,dunkel::A,пӹц,qorong'i
592,dunkel::A,пӹцкемӹш,qorong'i
593,schwarz::A,шим,qora
594,weiß::A,ош,oq
595,weiß::A,ошы,oq
596,rot::A,якшаргы,qizil
597,gelb::A,сар,sariq
598,gelb::A,сары,sariq
599,blau::A,симсӹ,zangori
600,grün::A,ыжар,yashil
601,grau::A,луды,bo'z
602,bunt::A,ала,ola
603,billig::A,шулдаш,arzon
604,teuer::A,шергӹ,qimmat
605,teuer::A,шергӓкӓн,qimmat
606,wertvoll::A,ӓкӓн,qimmat
607,blind::A,слöпöй,ko'r
608,blind::A,сльöпöй,ko'r
609,taub::A,тӱтӱк,garang
610,kräftig::A,виӓн,kuchli
611,stark::A,виӓн,quvvatli
612,schwach::A,шава,kuchsiz
613,schwach::A,лӹпкӓ,kuchsiz
614,schwach::A,слабка,kuchsiz
615,fett::A,таза,semiz
616,schlank::A,яштака,ingichka
617,hübsch::A,сӹлнӹ,ko'rkam
618,hübsch::A,олмыдшы,ko'rkam
619,böse::A,шӹдӓн,yovuz
620,dumm::A,окмак,aqlsiz
621,faul::A,ялахай,ärinchak
622,fleißig::A,пӓшам яратышы,ishchan
623,geizig::A,шык,qurumsoq
624,klug::A,ышан,oqil
625,geschickt::A,мастар,äpchil
626,lieb::A,тыри,aziz
627,lustig::A,мындыр,chaqchaq
628,lustig::A,сусу,chaqchaq
629,sanft::A,йӹвӹжӓ,asta
630,hungrig::A,шужышы,och
631,krank::A,церлӹ,kasal
632,krank::A,хворой,kasal
633,nackt::A,цӓрӓ,yalang
634,traurig::A,сы́лыкан,xafa
635,traurig::A,кымы́лдымы,xafa
636,lebendig::A,живой,hayotiy
637,gut::A,яжо,soz
638,schlecht::A,уда,yomon
639,schlecht::A,худа,yomon
640,richtig::A,вургамла,rost
641,schlimm::A,йӹрнык,yovuz
642,wahr::A,настоящий,haqiqiy
643,wahr::A,настояшый,haqiqiy
644,alt::A,шонгы,äski
645,neu::A,у,yangi
646,ehemalig::A,тошты,sobiq
647,alt[Lebewesen]::A,ӹлалшӹ,qari
648,jung::A,нöргӹ,navqiron
649,jung::A,молода,navqiron
650,arm::A,укеӓн,abgor
651,reich::A,паян,boy
652,reich::A,пурлыкан,boy
653,bekannt::A,палӹмӹ,ma'lum
654,berühmt::A,лӹмлы,mashhur
655,fremd::A,эдемӹн,yot
656,verschieden::A,тӹрлӹ,turli
657,nah::A,лишӹл,yaqindagi
658,fern::A,мӹндӹр,uzoq
659,linker::A,шалахай,so'l
660,rechter::A,вургамла,o'ng
661,anderer::A,вес,boshqa
662,anderer::A,весӹ,boshqa
663,erster::A,икшӹ,birinchi
664,erster::A,икӹмшӹ,birinchi
665,zweiter::A,кокшы,ikkinchi
666,dritter::A,кымшы,uchinchi
667,letzter::A,остатка,oxirgi
668,allein::ADV,иктӹ,o'zicha
669,allein::ADV,иктӹт,o'zicha
670,auf einmal::ADV,тöрöк,varakay
671,zusammen::ADV,икараш,barobar
672,zusammen::ADV,цымырын,barobar
673,lange::ADV,кужын,uzoq
674,plötzlich::ADV,трӱк,qo'qqisdan
675,sofort::ADV,полт,darrov
676,sofort::ADV,тöрöк,darrov
677,sofort::ADV,тӹшӓкок,darrov
678,später::ADV,вара,so'ngra
679,heute::ADV,тагачы,bugun
680,morgen::ADV,иргод,ärta
681,morgen::ADV,иргодым,ärta
682,bald::ADV,чӹнь,toz
683,bald::ADV,вӓшке,toz
684,bald::ADV,выртышты,toz
685,dann::ADV,пакыла,keyin
686,gestern::ADV,тенгечӹ,kecha
687,einst::ADV,икӓнӓ,avvallari
688,damals::ADV,тӹнӓм,ugal
689,danach::ADV,пакыла,so'ngra
690,vorher::ADV,перви,avval
691,zuerst::ADV,андак,avval
692,einmal::ADV,гӓнӓк,bir marta
693,einmal::ADV,гӓнӓ,bir marta
694,manchmal::ADV,кынамжы,onda-sonda
695,oft::ADV,чӹчкӹдӹн,tez-tez
696,immer::ADV,со,har vaqt
697,immer::ADV,соок,har vaqt
698,niemals::ADV,нинам,hargiz
699,niemals::ADV,нигынам,hargiz
700,niemals::ADV,нигынамат,hargiz
701,hier::ADV,тиштӹ,shu erda
702,hierhin::ADV,тишкӹ,beri
703,von hier::ADV,тишец,shu erdan
704,von hier::ADV,тишецӹн,shu erdan
705,dort::ADV,тӹштӹ,ana
706,dorthin::ADV,тӹшкӹ,u yerga
707,dorthin::ADV,тӹшкӹлӓ,u yerga
708,geradeaus::ADV,вик,to'g'ri
709,geradeaus::ADV,тура,to'g'ri
710,vorwärts::ADV,анзыкы,ilgari
711,rückwärts::ADV,мӹнгеш,qoloq
712,zurück::ADV,мӹнгеш,orqada
713,unten::ADV,ӱлнӹ,pastda
714,unten::ADV,лӹвӓлнӹ,pastda
715,hinab::ADV,ӱлӹкӹ,tubanga
716,hinab::ADV,лӹвӓкӹ,tubanga
717,oben::ADV,вӹлнӹ,ustida
718,hinauf::ADV,кӱшкӹлӓ,yuqorida
719,hinauf::ADV,кӱш,yuqorida
720,überall::ADV,йӹлт,har erda
721,überall::ADV,цилӓ вӓре,har erda
722,nicht::ADV,уке,ämas
723,ein wenig::ADV,изиш,biroz
724,ein wenig::ADV,иклаштык,biroz
725,kaum::ADV,цылик,arang
726,kaum::ADV,чучок-чучок,arang
727,sehr::ADV,чоте,ancha
728,so::ADV,тенге,shunday
729,so::ADV,тенгелӓ,shunday
730,noch::ADV,мол,hali
731,noch::ADV,моло,hali
732,nur::ADV,веле,yolg'iz
733,schon::ADV,уже,endi
734,schon::ADV,ӹнде,endi
735,wieder::ADV,уэш,yana
736,vergebens::ADV,зря,bekorga
737,vergebens::ADV,ӹзрӓ,bekorga
738,vergebens::ADV,ӹзӹрӓ,bekorga
739,vor::PRP,анзыц,burun
740,vor::PRP,анзыцын,burun
