,Concept_ID,he,ka
371,Bett::N,מטה,საწოლი
372,Bett::N,מטה,სარეცელი
373,Regal::N,מדף,თაროები
374,Kiste::N,תבה,ყუთი
375,Kiste::N,תבה,სკივრი
376,Kiste::N,ארגז,ყუთი
377,Kiste::N,ארגז,სკივრი
378,Fenster::N,חלון,ფანჯარა
379,Fenster::N,חלון,სარკმელი
380,Tür::N,דלת,ბჭე
381,Tür::N,דלת,კარი
382,Tor::N,שער,ჭიშკარი
383,Zaun::N,גדר,ღობე
384,Zaun::N,גדר,გალავანი
385,Dach::N,גג,სახურავი
386,Leiter::N,סלם,კიბე
387,Besen::N,מטאטא,ცოცხი
388,Spaten::N,את,ნიჩაბი
389,Schaufel::N,את,ბარი
390,Gabel::N,מזלג,ჩანგალი
391,Löffel::N,כף,კოვზი
392,Messer::N,סכין,დანა
393,Nagel::N,מסמר,ლურსმანი
394,Netz::N,רשת,ბადე
395,Haken::N,וו,კავი
396,Haken::N,וו,კაუჭი
397,Haken::N,קרס,კავი
398,Haken::N,קרס,კაუჭი
399,Griff::N,ידית,ტარი
400,Schloss::N,מנעול,კლიტე
401,Schloss::N,מנעול,საკეტი
402,Bild::N,תמונה,სურათი
403,Figur::N,פסל,ფიგურა
404,Puppe::N,בבה,თოჯინა
405,Beutel::N,שק,პარკი
406,Bündel::N,צרור,გალა
407,Bündel::N,צרור,ასხმა
408,Tasche::N,שקית,ჩანთა
409,Eimer::N,דלי,ჩამჩა
410,Deckel::N,מכסה,ხუფი
411,Deckel::N,מכסה,სარქველი
412,Geschirr::N,כלים,ჭურჭელი
413,Sack::N,שק,ტომარა
414,Tasse::N,ספל,ფინჯანი
415,Topf::N,סיר,ქოთანი
416,Kessel::N,קנקן,ქვაბი
417,Essen::N,אכל,ჭამა
418,Essen::N,ארוחה,ჭამა
419,Nahrung::N,הזנה,საზრდო
420,Nahrung::N,הזנה,საკვები
421,Nahrung::N,תזונה,საზრდო
422,Nahrung::N,תזונה,საკვები
423,Speise::N,מאכל,საჭმელი
424,Speise::N,ארוחה,საჭმელი
425,Fleisch::N,בשר,ხორცი
426,Getreide::N,דגן,მარცვლოვანი
427,Brei::N,מחית,ფაფა
428,Brot::N,לחם,პური
429,Scheibe::N,עגול,ნაჭერი
430,Scheibe::N,פרוסה,ნაჭერი
431,Fett::N,שמן,ქონი
