,Concept_ID,uz,ca
162,Fuchs::N,tulki,guilla
163,Hase::N,kuyon,llebre
164,Maus::N,sichqon,ratolí
165,Wolf::N,bo'ri,llop
166,Vogel::N,qush,au
167,Vogel::N,qush,ocēll
168,Schwarm::N,to'da,bandada
169,Huhn::N,tovuq,gallina
170,Hahn::N,xo'roz,gall
171,Gans::N,g'oz,oca
172,Adler::N,burgut,àguila
173,Ente::N,o'rdak,ànec
174,Eule::N,boyo'g'li,òliba
175,Eule::N,boyo'g'li,mussol
176,Kranich::N,turna,grua
177,Krähe::N,qarg'a,cornella
178,Kuckuck::N,kakku,cucut
179,Schwan::N,oqkush,cigne
180,Fisch::N,baliq,peix
181,Barsch::N,olabug'a,perca
182,Hecht::N,cho'rtan,lluç
183,Schlange[Tier]::N,ilon,serp
184,Wurm::N,qurt,cuc
185,Spinne::N,o'rgimchak,aranya
186,Ameise::N,chumoli,formiga
187,Laus::N,bit,poll
188,Mücke::N,chivin,mosquit
189,Fliege::N,pashsha,mosca
190,Schmetterling::N,kapalak,papallona
191,Beere::N,meva,baia
192,Apfel::N,olma,poma
193,Pilz::N,qo'ziqorin,bolet
194,Zwiebel::N,piyoz,ceba
195,Saat::N,äkin,sembra
196,Korn::N,zarra,gra
197,Heu::N,xashak,fenc
198,Schale::N,po'choq,closca
199,Grube::N,co'ra,sot
200,Grube::N,co'ra,clot
201,Falle::N,qopqon,trampa
202,Schlinge::N,sirtmoq,baga
203,Spur::N,iz,traça
204,Asche::N,kul,cendra
205,Dreck::N,kir,llot
206,Eisen::N,temir,ferro
207,Gold::N,tilla,or
208,Silber::N,kumush,plata
209,Kohle::N,ko'mir,carbó
210,Glas::N,oyna,vidre
211,Lehm::N,loy,fang
212,Lehm::N,loy,argila
213,Sand::N,qum,arena
214,Mensch::N,odam,humà
215,Mensch::N,odam,persona
216,Mann::N,ärkak,home
217,Frau::N,ayol,dona
218,Kind::N,bola,nen
219,Kind::N,kichkintoy,nen
220,Junge::N,bola,noi
221,Mädchen::N,qiz,noia
222,Familie::N,oila,família
223,Großvater::N,buva,avi
224,Großvater::N,katta ota,avi
225,Großmutter::N,buvi,àvia
226,Großmutter::N,katta oyi,àvia
227,Eltern::N,ota-ona,pares
228,Vater::N,ota,pare
229,Mutter::N,ona,mare
230,Sohn::N,o'g'il,fill
231,Tochter::N,qiz,filla
232,Bruder::N,og'a,germà
233,Bruder::N,uka,germà
234,Schwester::N,opa,germana
235,Schwester::N,singil,germana
236,Onkel::N,amaki,oncle
237,Tante::N,amma,tia
238,Tante::N,xola,tia
239,Ehemann::N,är,espòs
240,Ehefrau::N,rafiqa,muller
241,Freude::N,ayish,goig
242,Freude::N,ayish,alegria
243,Gelächter::N,kulgi,riallada
244,Glück::N,saodat,felicitat
245,Kummer::N,g'am,pena
246,Wunsch::N,orzu,desig
247,Lust::N,rag'bat,ganes
248,Geist::N,ruh,ment
249,Geist::N,ruh,esperit
250,Gedanke::N,fikr,pensament
251,Gedächtnis::N,äs,memòria
252,Verstand::N,aql,raó
253,Verstand::N,aql,seny
254,Sinn::N,ma'ni,solta
255,Sinn::N,ma'ni,sentit
256,Grund::N,sabab,raó
257,Grund::N,sabab,causa
258,Wahrheit::N,haq,veritāt
259,Gespräch::N,gap,conversa
260,Märchen::N,ärtak,conte
261,Erzählung::N,rivoyat,narració
262,Nachricht::N,xabar,missatge
263,Neuigkeit::N,yangilik,novetat
264,Name::N,ot,nom
265,Rätsel::N,topishmoq,endevinalla
266,Rede::N,nutq,discurs
267,Sprache::N,til,llēngua
268,Stimme::N,ovoz,veu
269,Wort::N,so'z,mot
270,Wort::N,so'z,paraula
271,Zeichen::N,alomat,signe
272,Zeichen::N,alomat,senyal
273,Ruf::N,chaqiriq,crida
274,Lärm::N,taraq,sorōll
275,Laut::N,tovush,so
276,Ton::N,un,to
277,Lied::N,ashula,cançó
278,Ruhe::N,tinchlik,calma
279,Ruhe::N,tinchlik,silenci
280,Leute::N,xaloyiq,gent
281,Volk::N,xalq,poble
282,Arbeit::N,ish,labor
283,Arbeit::N,ish,treball
284,Gast::N,mehmon,hoste
285,Geschenk::N,hadya,regal
286,Geschenk::N,hadya,obsequi
287,Spiel::N,o'yin,joc
288,Gesellschaft::N,jamiyat,companyia
289,Hilfe::N,yordam,ajut
290,Freund::N,do'st,amīc
291,Kamerad::N,yo'ldosh,company
292,Kamerad::N,yo'ldosh,camarada
293,Angelegenheit::N,daxl,afer
294,Angelegenheit::N,daxl,assumpte
295,Anzahl::N,son,nombre
296,Anzahl::N,son,quantitat
297,Art::N,tur,tipus
298,Art::N,tur,classe
299,Stück::N,parcha,peça
300,Teil::N,bo'lak,part
301,Hälfte::N,yarim,meitat
302,Kreis::N,aylana,cercle
303,Kreuz::N,xoch,creu
304,Linie::N,liniya,línia
305,Strich::N,chiziq,traç
306,Strich::N,chiziq,ratlla
307,Abstand::N,oralik,distància
308,Entfernung::N,uzoqlik,distància
309,Gegend::N,yer,regió
310,Gegend::N,yer,contrada
311,Platz::N,oralig,cabuda
312,Ort::N,joy,lloc
313,Seite::N,yon,banda
314,Seite::N,yon,costāt
315,Mitte::N,o'rta,mig
316,Mitte::N,o'rta,centre
317,Gegenstand::N,ashyo,objecte
318,Sache::N,buyum,cosa
319,Rand::N,chek,vora
320,Rand::N,chek,marge
321,Kante::N,tig',caire
322,Kante::N,tig',cantell
323,Ecke::N,burchak,cantonada
324,Spitze::N,uch,punta
325,Ende::N,oxir,cap
326,Loch::N,teshik,forāt
327,Winkel::N,go'sha,racó
328,Muster::N,nusha,dibuix
329,Muster::N,nusha,disseny
330,Größe::N,kattalik,grandària
331,Länge::N,uzunlik,longitud
332,Höhe::N,yuksaklik,altura
333,Höhe::N,yuksaklik,altitud
334,Gewicht::N,solmoq,pes
335,Menge::N,miqdor,quantitat
336,Haufen::N,uyum,pila
337,Reihe::N,saf,fila
338,Boot::N,qayiq,bot
339,Boot::N,qayiq,barca
340,Ruder::N,äshkak,rem
341,Schlitten::N,chana,trineu
342,Ski::N,chang'i,esquí
343,Lagerfeuer::N,gulxan,foc de campament
344,Last::N,yuk,càrrega
345,Gang::N,yurish,marxa
346,Schritt::N,qadam,pas
347,Norden::N,shimol,nord
348,Süden::N,janub,sud
349,Westen::N,g'arb,oest
350,Westen::N,g'arb,occident
351,Osten::N,sharq,est
352,Osten::N,sharq,orient
353,Holz::N,yog'och,fusta
354,Brett::N,taxta,taula
355,Platte::N,tabaqa,placa
356,Stütze::N,tayanchi,suport
357,Stange::N,qo'noq,vara
358,Stock::N,tayoq,pal
359,Stab::N,gavron,bastó
360,Rohr::N,tarnov,tub
361,Haus::N,uy,casa
362,Heim::N,makon,llar
363,Ofen::N,pechka,estufa
364,Fußboden::N,pol,terra
365,Tisch::N,mosa,taula
366,Stuhl::N,o'rindiq,cadira
367,Wiege::N,beshik,bressol
368,Bett::N,yotoq,llit
369,Regal::N,tokcha,prestatgeria
370,Kiste::N,sandiq,caixa
371,Fenster::N,deraza,finestra
372,Tür::N,äshik,porta
373,Tor::N,darvoza,portal
374,Zaun::N,panjara,tanca
375,Dach::N,tom,teulada
376,Leiter::N,narvon,escala
377,Leiter::N,narvon,escala de mà
378,Besen::N,supurgi,escombra
379,Spaten::N,bel,pala
380,Schaufel::N,kurak,pala
381,Gabel::N,bilka,forquilla
382,Löffel::N,qoshiq,cullera
383,Messer::N,pichoq,coltell
384,Nagel::N,mix,clau
385,Netz::N,to'r,filat
386,Haken::N,ilgak,ganxo
387,Griff::N,sop,puny
388,Griff::N,sop,mànec
389,Griff::N,tutqich,puny
390,Griff::N,tutqich,mànec
391,Schloss::N,qulf,pany
392,Bild::N,rasm,imatge
393,Figur::N,shakl,figura
394,Puppe::N,ko'g'irchoq,nina
395,Beutel::N,to'rva,bossa
396,Bündel::N,bog'lam,feix
397,Bündel::N,bog'lam,paquet
398,Tasche::N,kissa,bossa
399,Eimer::N,chelak,galleda
400,Deckel::N,qopqoq,tapa
401,Deckel::N,qopqoq,tapadora
402,Geschirr::N,idish,vaixella
403,Sack::N,qop,sac
404,Sack::N,qop,saca
405,Tasse::N,piyola,tassa
406,Topf::N,tuvak,pot
407,Topf::N,tuvak,olla
408,Kessel::N,qozon,caldera
409,Essen::N,tomoq,àpat
410,Essen::N,tomoq,menjada
411,Nahrung::N,emak,aliment
412,Speise::N,taom,plat
413,Fleisch::N,go'sht,carn
414,Getreide::N,g'alla,cereals
415,Brei::N,bo'tqa,puré
416,Brot::N,non,pa
417,Scheibe::N,disk,tall
418,Scheibe::N,disk,llesca
419,Fett::N,moy,greix
420,Butter::N,yog',mantega
421,Öl::N,moy,oli
422,Salz::N,tuz,sal
423,Suppe::N,sho'rva,sopa
424,Honig::N,asal,mel
425,Milch::N,sut,llet
426,Tee::N,choy,te
427,Leder::N,charm,cuir
428,Wolle::N,jun,llana
429,Stoff::N,mato,tela
430,Nadel::N,igna,agulla
431,Faden::N,ip,fil
432,Knopf::N,tugma,botó
433,Knoten::N,tugun,nus
434,Farbe::N,bo'yok,pintura
435,Kleidung::N,kiyim,roba
436,Kleidung::N,kiyim,vestits
437,Hemd::N,ko'ylak,camisa
438,Kragen::N,yoqa,coll
439,Ärmel::N,yeng,màniga
440,Hose::N,shim,pantalōns
441,Gürtel::N,tasma,cinturó
442,Mütze::N,shapka,gorra
443,Schuh::N,but,sabata
444,Stiefel::N,botinka,bota
445,Ring::N,yuzuk,anell
446,Band::N,rishta,veta
447,Band::N,rishta,cinta
448,Kamm::N,taroq,pinta
449,Spiegel::N,ko'zgu,mirāll
450,Riemen::N,qayish,corretja
451,Schnur::N,bog'ich,corda
452,Leine::N,etak,corretja
453,Decke::N,odyol,manta
454,Decke::N,odyol,flassada
455,Kissen::N,yostiq,coixí
456,Tuch::N,gazlama,mocador
457,Handtuch::N,sochiq,tovallola
458,Kraft::N,kuch,força
459,Stärke::N,quvvat,vigor
460,Gesundheit::N,sog'lik,salut
461,Krankheit::N,kasallik,malaltia
462,Schmerz::N,og'riq,dolor
463,Wunde::N,yara,ferida
464,Fieber::N,bezgak,febre
465,Arznei::N,dori,medicament
466,Brücke::N,ko'prik,pont
467,Brunnen::N,buloq,pou
468,Weide::N,yaylov,pastura
469,Pfad::N,dorojka,senda
470,Pfad::N,dorojka,sender
471,Weg::N,yo'l,camí
472,Straße::N,ko'cha,carretera
473,Dorf::N,ovul,poble
474,Stadt::N,shahar,ciutāt
475,Brief::N,maktub,carta
476,Buch::N,kitob,llibre
477,Buchstabe::N,harf,lletra
478,Zeitung::N,gazet,diāri
479,Leben::N,hayot,vida
480,Tod::N,o'lim,mort
481,Grab::N,go'r,tomba
482,Kirche::N,cherkov,església
483,Sünde::N,gunoh,pecat
484,Gott::N,olloh,déu
485,Arbeiter::N,ishchi,obrer
486,Chef::N,rais,cap
487,Meister::N,usta,mestre
488,Arzt::N,hakim,metge
489,Lehrer::N,muallim,mestre
490,Geld::N,pul,dinērs
491,Geschäft::N,savdo,negoci
492,Laden::N,do'kon,tenda
493,Laden::N,do'kon,botiga
494,Preis::N,baho,preu
495,Ware::N,mol,mercaderia
496,Nutzen::N,foyda,profit
497,Reichtum::N,boylik,riquesa
498,Welt::N,olam,món
499,Land::N,o'lka,país
500,Staat::N,davlat,estat
501,König::N,qirol,rei
502,Macht::N,iqtidor,poder
503,Macht::N,iqtidor,potència
504,Grenze::N,chegara,frontera
505,Krieg::N,harb,guerra
506,Feind::N,dushman,enemic
507,Gewalt::N,zo'rlik,violència
508,Kampf::N,kurash,lluita
509,Bogen[Waffe]::N,yoy,arc
510,Pfeil::N,o'q,fletxa
511,Gewehr::N,vintovka,fusell
512,Gewehr::N,vintovka,escopeta
513,Fehler::N,xato,falta
514,Lüge::N,yolg'on,mentida
515,Schaden::N,ziyon,dany
516,Unglück::N,balo,desgràcia
517,Schuld::N,ayb,culpa
518,Alter::N,yosh,edat
519,Schluss::N,tamom,fi
520,Schluss::N,tamom,final
521,Zeit::N,vaqt,temps
522,Tag::N,kun,dia
523,Morgen::N,saboh,matí
524,Mittag::N,kun tushlik,migdia
525,Abend::N,oqshom,vespre
526,Nacht::N,tun,nit
527,Woche::N,hafta,setmana
528,Monat::N,oy,mes
529,Jahr::N,yil,any
530,Frühling::N,bahor,primavera
531,Sommer::N,yoz,estīu
532,Herbst::N,kuz,tardor
533,Herbst::N,xazon,tardor
534,Winter::N,qish,hivērn
535,Januar::N,yanvar',gener
536,Februar::N,fevral',febrer
537,März::N,mart,març
538,April::N,aprel',abril
539,Mai::N,may,maig
540,Juni::N,iyun',juny
541,Juli::N,iyul',juliol
542,August::N,avgust,agost
543,September::N,sentyabr',setembre
544,Oktober::N,oktyabr',octubre
545,November::N,noyabr',novembre
546,Dezember::N,dekabr',desembre
547,Montag::N,dushanba,dilluns
548,Dienstag::N,seshanba,dimarts
549,Mittwoch::N,chorshanba,dimecres
550,Donnerstag::N,payshanba,dijous
551,Freitag::N,juma,divendres
552,Samstag::N,shanba,dissabte
553,Sonntag::N,yakshanba,diumenge
554,groß::A,buyuk,gros
555,klein::A,kichik,petīt
556,lang::A,uzun,llarg
557,kurz::A,qisqa,curt
558,breit::A,keng,ample
559,schmal::A,änsiz,estret
560,dicht::A,quyuq,dens
561,dick[Gegenstand]::A,qalin,gruixūt
562,dünn::A,ingichka,prim
563,fein::A,mayin,fi
564,fest::A,qattiq,ferm
565,fest::A,qattiq,sòlid
566,flach::A,yalpoq,pla
567,glatt::A,tekis,llis
568,hart::A,qattiq,dur
569,weich::A,yumshoq,tou
570,rund::A,yumaloq,rodó
571,spitz::A,uchli,punxegut
572,scharf::A,keskir,agut
573,stumpf::A,to'mtoq,rom
574,stumpf::A,to'mtoq,esmussat
575,schwer::A,salmoqli,pesāt
576,schön::A,go'zal,bonīc
577,heiß::A,qiziq,calēnt
578,warm::A,issiq,càlid
579,kalt::A,sovuq,fred
580,kühl::A,salqin,fresc
581,frisch::A,toza,fresc
582,feucht::A,namli,humit
583,nass::A,nam,mullat
584,trocken::A,quruq,sec
585,voll::A,to'la,ple
586,leer::A,puch,buit
587,offen::A,ochiq,obert
588,geschlossen::A,berk,tancat
589,sauber::A,ozoda,net
590,schmutzig::A,kir,brut
591,roh::A,xom,cru
592,reif::A,pishiq,madur
593,lecker::A,shirin,deliciós
594,süß::A,shirin,dolç
595,bitter::A,achchiq,amarg
596,sauer::A,achchiq,agre
597,hell::A,yorug',clar
598,dunkel::A,qorong'i,fosc
599,schwarz::A,qora,negre
600,weiß::A,oq,blanc
601,rot::A,qizil,vermēll
602,gelb::A,sariq,groc
603,blau::A,zangori,blau
604,grün::A,yashil,verd
605,grau::A,bo'z,gris
606,bunt::A,ola,multicolor
607,billig::A,arzon,barat
608,teuer::A,qimmat,car
609,wertvoll::A,qimmat,preciós
610,blind::A,ko'r,cec
611,taub::A,garang,sord
612,kräftig::A,kuchli,fort
613,kräftig::A,kuchli,vigorós
614,stark::A,quvvatli,fort
615,schwach::A,kuchsiz,feble
616,fett::A,semiz,gras
617,schlank::A,ingichka,esvelt
618,hübsch::A,ko'rkam,maco
619,böse::A,yovuz,dolent
620,dumm::A,aqlsiz,ximple
621,dumm::A,aqlsiz,estúpid
622,faul::A,ärinchak,gandūl
623,faul::A,ärinchak,mandrós
624,fleißig::A,ishchan,diligēnt
625,geizig::A,qurumsoq,avar
626,klug::A,oqil,intel·ligent
627,geschickt::A,äpchil,hàbil
628,lieb::A,aziz,amat
629,lieb::A,aziz,estimat
630,lustig::A,chaqchaq,alegre
631,sanft::A,asta,suau
632,hungrig::A,och,afamat
633,krank::A,kasal,malālt
634,nackt::A,yalang,nu
635,traurig::A,xafa,trist
636,lebendig::A,hayotiy,viu
637,gut::A,soz,bo
638,schlecht::A,yomon,dolēnt
639,richtig::A,rost,just
640,richtig::A,rost,correcte
641,schlimm::A,yovuz,greu
642,wahr::A,haqiqiy,vertader
643,wahr::A,haqiqiy,veritable
644,alt::A,äski,vell
645,neu::A,yangi,nou
646,ehemalig::A,sobiq,antic
647,alt[Lebewesen]::A,qari,vell
648,jung::A,navqiron,jove
649,arm::A,abgor,pobre
650,reich::A,boy,ric
651,bekannt::A,ma'lum,conegut
652,berühmt::A,mashhur,famós
653,fremd::A,yot,estrany
654,verschieden::A,turli,diferent
655,nah::A,yaqindagi,pròxim
656,fern::A,uzoq,llunyà
657,fern::A,uzoq,distant
658,linker::A,so'l,esquerre
659,rechter::A,o'ng,dret
660,anderer::A,boshqa,altre
661,erster::A,birinchi,primer
662,zweiter::A,ikkinchi,segon
663,dritter::A,uchinchi,tercer
664,letzter::A,oxirgi,últim
665,allein::ADV,o'zicha,sol
666,auf einmal::ADV,varakay,d'una vegada
667,zusammen::ADV,barobar,junt
668,lange::ADV,uzoq,molt de temps
669,plötzlich::ADV,qo'qqisdan,de cop
670,plötzlich::ADV,qo'qqisdan,de sobte
671,sofort::ADV,darrov,de seguida
672,später::ADV,so'ngra,més tard
673,jetzt::ADV,hozirgina,ara
674,heute::ADV,bugun,avūi
675,morgen::ADV,ärta,demà
676,bald::ADV,toz,aviāt
677,dann::ADV,keyin,després
678,gestern::ADV,kecha,ahir
679,einst::ADV,avvallari,anteriorment
680,damals::ADV,ugal,llavōrs
681,damals::ADV,ugal,aleshores
682,danach::ADV,so'ngra,després
683,vorher::ADV,avval,abāns
684,zuerst::ADV,avval,primer
685,einmal::ADV,bir marta,una vegada
686,manchmal::ADV,onda-sonda,de vegades
687,oft::ADV,tez-tez,sovint
688,immer::ADV,har vaqt,sempre
689,niemals::ADV,hargiz,no ... mai
690,hier::ADV,shu erda,aquí
691,hierhin::ADV,beri,per aquí
692,von hier::ADV,shu erdan,des d'aquí
693,dort::ADV,ana,allí
694,dorthin::ADV,u yerga,hi
695,geradeaus::ADV,to'g'ri,tot dret
696,vorwärts::ADV,ilgari,endavānt
697,rückwärts::ADV,qoloq,endarrera
698,zurück::ADV,orqada,darrere
699,unten::ADV,pastda,a baix
700,hinab::ADV,tubanga,cap avall
701,oben::ADV,ustida,dalt
702,hinauf::ADV,yuqorida,cap amunt
703,überall::ADV,har erda,pertot
704,überall::ADV,har erda,per tot arreu
705,nicht::ADV,ämas,no
706,ein wenig::ADV,biroz,una mica
707,kaum::ADV,arang,a penes
708,sehr::ADV,ancha,molt
709,so::ADV,shunday,així
710,noch::ADV,hali,encara
711,nur::ADV,yolg'iz,només
712,schon::ADV,endi,ja
713,wieder::ADV,yana,de nou
714,vergebens::ADV,bekorga,en va
715,vor::PRP,burun,davānt
716,vor::PRP,burun,enfront de
717,hinter::PRP,ketida,darrera
718,unter::PRP,ostida,sota
719,durch::PRP,bo'ylab,per
720,neben::PRP,yonida,al costāt de
721,zwischen::PRP,orada,entre
722,wegen::PRP,sababli,a causa de
723,dies::PRN,o'sha,aquest
724,das::PRN,narigi,això
725,alles::PRN,har nima,tot
726,ich::PRN,men,jo
727,du::PRN,sen,tu
728,er::PRN,u,ell
729,wir::PRN,biz,nosaltres
730,ihr::PRN,siz,vosaltres
731,sie::PRN,ular,ells
732,sie::PRN,ular,elles
733,was::FPRN,nima,què
734,wer::FPRN,kim,qui
735,wo::FADV,qaerda,on
736,wohin::FADV,qayerga,cap a on
737,wie::FADV,qanday,com
738,warum::FADV,nega,per què
739,wieviel::FNUM,qancha,quant
740,eins::NUM,bir,u
741,zwei::NUM,ikki,dos
742,drei::NUM,uch,tres
743,vier::NUM,to'rt,quatre
744,fünf::NUM,besh,cinc
745,sechs::NUM,olti,sis
746,sieben::NUM,etti,set
747,acht::NUM,sakkiz,vuit
748,neun::NUM,to'qqiz,nou
749,zehn::NUM,o'n,deu
750,elf::NUM,o'n bir,onze
751,zwölf::NUM,o'n ikki,dotze
752,zwanzig::NUM,yigirma,vint
753,dreißig::NUM,o'ttiz,trenta
754,vierzig::NUM,qirq,quaranta
755,fünfzig::NUM,ällik,cinquanta
756,sechzig::NUM,oltmish,seixanta
757,siebzig::NUM,etmish,setanta
758,achtzig::NUM,sakson,vuitanta
759,neunzig::NUM,to'qson,noranta
760,hundert::NUM,yuz,cent
761,tausend::NUM,ming,mil
762,und::CNJ,va,i
763,oder::CNJ,yo,o
764,stehen::V,turmoq,estar de peu
765,sitzen::V,o'tirmoq,seure
766,liegen::V,yotmoq,jeure
767,hängen::V,osilmoq,penjar
768,werden::V,bo'lmoq,fer-se
769,werden::V,bo'lmoq,posar-se
770,passieren::V,bo'lib o'tmoq,succeir
771,beginnen::V,boshlanmoq,iniciar-se
772,enden::V,bitmoq,acabar-se
773,enden::V,bitmoq,terminar-se
774,wechseln::V,o'zgarmoq,canviar
775,aufgehen[Sonne]::V,chiqmoq,sortir
776,untergehen[Sonne]::V,botmoq,posar-se
777,scheinen[Sonne]::V,yaraqlamoq,brillar
778,donnern::V,gulduramoq,tronar
779,wehen::V,elpimoq,bufar
780,strömen::V,oqmoq,afluir
781,fließen::V,oqmoq,fluir
782,sich drehen::V,aylanmoq,girar
783,schwanken::V,qoqilmoq,vacil·lar
784,schwingen::V,lopillamoq,oscil·lar
785,fallen::V,tushmoq,caure
786,fallen::V,tushmoq,tombar
787,brennen::V,yonmoq,cremar
788,rauchen::V,tutamoq,fumejar
789,regnen::V,yomg'ir yog'moq,ploure
790,gefrieren::V,muzlamoq,gelar-se
791,tauen::V,ärimoq,fondre's
792,schmelzen::V,ärimoq,fondre's
793,trocknen::V,qurimoq,assecar-se
794,sieden::V,qaynamoq,bullir
795,faulen::V,chirimoq,podrir-se
796,verfaulen::V,chirimoq,podrir-se
797,reißen::V,qayt qilmoq,trencar-se
798,versinken::V,g'arq bo'lmoq,enfonsar-se
799,vergehen::V,o'tmoq,passar
800,erscheinen::V,zuhur ätmoq,aparèixer
801,verschwinden::V,yo'qolmoq,desaparèixer
802,sinken::V,pasaymoq,baixar
803,sinken::V,pasaymoq,descendir
804,abnehmen::V,kamaymoq,decréixer
805,zunehmen::V,urchimoq,augmentar
806,steigen::V,oshmoq,pujar
807,wachsen::V,o'smoq,créixer
808,glänzen::V,porlamoq,brillar
809,glänzen::V,porlamoq,resplendir
810,funkeln::V,yalt ätmoq,espurnejar
811,lärmen::V,taraq ätmoq,fer soroll
812,läuten::V,jiringlamoq,sonar
813,klingeln::V,jiringlamoq,trucar
814,klirren::V,sharaqlamoq,dringar
815,brausen::V,vag'illamoq,rugir
