,Concept_ID,mdf,ar
66,Sonne::N,ши,شمس
67,Mond::N,ков,قمر
68,Stern::N,тяште,نجم
69,Stern::N,тяште,كوكب
70,Luft::N,кожф,هواء
71,Wind::N,варма,ريح
72,Welle::N,тавла,موجة
73,Wasser::N,ведь,ماء
74,Stein::N,кев,حجر
75,Boden::N,мода,تراب
76,Boden::N,потмакс,تراب
77,Erde::N,мода,أرض
78,Erde::N,мастор,أرض
79,Staub::N,пуль,غبار
80,Rauch::N,качам,دخان
81,Funke::N,ця́тка,شرارة
82,Feuer::N,тол,نار
83,Licht::N,ва́лда,نور
84,Licht::N,ва́лда,ضوء
85,Schatten::N,цильф,ظل
86,Schatten::N,цильф,فيء
87,Wetter::N,уша,جو
88,Wetter::N,уша,طقس
89,Nebel::N,тума́н,ضباب
90,Wolke::N,ковол,غيمة
91,Wolke::N,ковол,سحابة
92,Regen::N,пизем,مطر
93,Schnee::N,лов,ثلج
94,Eis::N,эй,جليد
95,Frost::N,ке́льме,صقيع
96,Kälte::N,якшама,برد
97,Hitze::N,пси,حر
98,Hitze::N,пси,حرارة
99,Raureif::N,леш,صقيع
100,Regenbogen::N,а́тямъёнга,قوس قزح
101,Donner::N,атям,رعد
102,Strömung::N,шудема́,تيار
103,Tropfen::N,путькс,قطرة
104,Tropfen::N,пътняфкс,قطرة
105,Schaum::N,шов,زبد
106,Schaum::N,шов,رغوة
107,Schmutz::N,ърда́з,وسخ
108,See::N,эрьхке,بحيرة
109,Sumpf::N,шяй,مستنقع
110,Moor::N,шяй,مستنقع
111,Wiese::N,луга,مرج
112,Wald::N,вирь,غابة
113,Hügel::N,губо́р,تل
114,Hügel::N,пандоня,تل
115,Anhöhe::N,губо́р,تل
116,Berg::N,панда,جبل
117,Gipfel::N,пря,قمة
118,Höhle::N,у́нда,كهف
119,Abhang::N,па́нда ша́ма,منحدر
120,Quelle::N,эшиня,منبع
121,Bach::N,шудерькс,مجرى
122,Fluss::N,ляй,نهر
123,Ufer::N,търва́,ضفة
124,Küste::N,ляйтърва́,ساحل
125,Festland::N,мода,بر
126,Meer::N,моря,بحر
127,Bucht::N,ведьуське,خليج
128,Insel::N,цёнга,جزيرة
129,Blume::N,панчф,زهرة
130,Gras::N,тише,حشيش
131,Wurzel::N,юр,أصل
132,Wurzel::N,ункс,أصل
133,Baum::N,шуфта,شجرة
134,Stamm::N,ро́нга,جذع
135,Rinde::N,кер,قشرة
136,Ast::N,морга,فرع
137,Zweig::N,тарад,غصن
138,Blatt::N,лопа,ورقة
139,Birke::N,ке́лу,قضبان
140,Kiefer[Baum]::N,пиче,صنوبرة
141,Weide[Baum]::N,каль,صفصاف
142,Tanne::N,куз,شوح
143,Tanne::N,куз,تبوب
144,Horn::N,сюра,قرن
145,Feder::N,толга,ريشة
146,Fell::N,кедь,فرو
147,Flügel::N,паця,جناح
148,Klaue::N,кенже,مخلب
149,Kralle::N,кенже,مخلب
150,Schwanz::N,пула,ذيل
151,Ei::N,ал,بيض
152,Nest::N,пиза,عش
153,Bau::N,пиза,جحر
154,Tier::N,жува́та,حيوان
155,Herde::N,нал,قطيع
156,Herde::N,стада,قطيع
157,Kuh::N,скал,بقرة
158,Kuh::N,тракс,بقرة
159,Bulle::N,бука,ثور
160,Pferd::N,лишме,خيل
161,Schaf::N,уча́,شاة
162,Schwein::N,тува,خنزير
163,Hund::N,пине,كلب
164,Katze::N,катоня,قطة
165,Katze::N,аваката,قطة
166,Bär::N,офта,دب
167,Eichhörnchen::N,ур,سنجاب
168,Elch::N,ся́рда,موظ
169,Fuchs::N,келазь,ثعلب
170,Hase::N,ну́мол,أرنب
171,Maus::N,шеер,فأرة
172,Wolf::N,върьгаз,ذئب
173,Vogel::N,нармонь,طير
174,Schwarm::N,ко́вол,سرب
175,Schwarm::N,ме́швеле,سرب
176,Huhn::N,сараз,دجاجة
177,Hahn::N,а́тякш,ديك
178,Gans::N,маци,وزة
179,Adler::N,куцькан,نسر
180,Ente::N,яксярга,بطة
181,Eule::N,ко́рож,بوم
182,Kranich::N,ка́рга,كركي
183,Krähe::N,ва́рси,غراب
184,Kuckuck::N,ку́ку,وقواق
185,Schwan::N,ло́ксти,إوز عراقي
186,Fisch::N,кал,سمك
187,Barsch::N,о́кунь,فرخ أوربي
188,Hecht::N,щу́ка,سمك الكراكي
189,Schlange[Tier]::N,куй,حية
190,Schlange[Tier]::N,куй,ثعبان
191,Wurm::N,сукс,دودة
192,Spinne::N,унжа́,عنكبوت
193,Ameise::N,панжам,نملة
194,Laus::N,си,قملة
195,Mücke::N,ся́ське,ناموسة
196,Fliege::N,кару,ذبابة
197,Schmetterling::N,ме́лав,فراشة
198,Beere::N,и́мож,حبة
199,Apfel::N,марь,تفاح
200,Pilz::N,панга,فطر
201,Zwiebel::N,шурьхкя́,بصل
202,Saat::N,видьмот,زرع
203,Korn::N,сёра,حبة
204,Heu::N,тише,دريس
205,Schale::N,кедь,قشرة
206,Grube::N,лотка,نقرة
207,Falle::N,туфкс,فخ
208,Falle::N,туфкс,مصيدة
209,Falle::N,кунда́ма,فخ
210,Falle::N,кунда́ма,مصيدة
211,Schlinge::N,килькш,عروة
212,Spur::N,пильгоки́,أثر
213,Asche::N,кулу,رماد
214,Dreck::N,ърда́з,قذر
215,Eisen::N,кшни,حديد
216,Gold::N,ока,ذهب
217,Gold::N,золота,ذهب
218,Silber::N,сия́,فضة
219,Kohle::N,седь,فحم
220,Kohle::N,седьвальмя,فحم
221,Glas::N,кля́нцек,زجاج
222,Lehm::N,сёвонь,طين
223,Sand::N,шува́р,رمل
224,Mensch::N,ломань,إنسان
225,Mann::N,аля,رجل
226,Mann::N,цёраломань,رجل
227,Frau::N,ава,امرأة
228,Kind::N,идь,طفل
229,Kind::N,шаба,طفل
230,Junge::N,цёраня,ولد
231,Mädchen::N,стирня́,بنت
232,Familie::N,тнал,عائلة
233,Familie::N,семья,عائلة
234,Großvater::N,атя,جد
235,Großvater::N,щя́тя,جد
236,Großmutter::N,баба,جدة
237,Eltern::N,тя́дят-а́лят,أبوان
238,Eltern::N,тя́дят-а́лят,والدان
239,Vater::N,аля,أب
240,Mutter::N,ава,أم
241,Mutter::N,тядя,أم
242,Sohn::N,цёра,إبن
243,Tochter::N,стирь,بنت
244,Tochter::N,стирь,إبنة
245,Bruder::N,дуган,أخ
246,Bruder::N,дуган,شقيق
247,Bruder::N,пяльне,أخ
248,Bruder::N,пяльне,شقيق
249,Schwester::N,ака,أخت
250,Schwester::N,сазор,أخت
251,Onkel::N,оця,عم
252,Onkel::N,патя,عم
253,Onkel::N,щеня́,عم
254,Tante::N,ака,عمة
255,Tante::N,щака,عمة
256,Ehemann::N,мирде,زوج
257,Ehefrau::N,ърьвя́,زوجة
258,Freude::N,ке́нярдема,فرح
259,Freude::N,ке́нярдема,سرور
260,Gelächter::N,рахсема,قهقهة
261,Glück::N,паваз,سعادة
262,Kummer::N,ризф,غم
263,Kummer::N,пичефкс,غم
264,Wunsch::N,мяль,منية
265,Wunsch::N,таколдома,منية
266,Lust::N,таколдома,شهوة
267,Geist::N,вайме,روح
268,Gedanke::N,мяль,فكرة
269,Gedächtnis::N,прявий,ذاكرة
270,Verstand::N,прявий,عقل
271,Sinn::N,ён,معنى
272,Grund::N,туфта́л,سبب
273,Wahrheit::N,ви́де,حقيقة
274,Wahrheit::N,видеши́,حقيقة
275,Gespräch::N,корхтама,محادثة
276,Märchen::N,ёфкс,خرافة
277,Erzählung::N,азкс,قصة
278,Erzählung::N,азкс,حكاية
279,Nachricht::N,куля́,خبر
280,Neuigkeit::N,куля́,خبر جديد
281,Name::N,лем,اسم
282,Rätsel::N,со́дама ёфкс,لغز
283,Rede::N,вал,خطبة
284,Rede::N,корхтама,خطبة
285,Sprache::N,кяль,لغة
286,Stimme::N,вайгяль,صوت
287,Wort::N,вал,كلمة
288,Zeichen::N,тя́ште,رمز
289,Zeichen::N,тя́ште,إشارة
290,Zeichen::N,тя́штькс,رمز
291,Zeichen::N,тя́штькс,إشارة
292,Ruf::N,тердема,نداء
293,Lärm::N,гайф,صخب
294,Lärm::N,гайф,ضجة
295,Lärm::N,жалакодома,صخب
296,Lärm::N,жалакодома,ضجة
297,Laut::N,вайгяль,صوت
298,Ton::N,вайгяль,نغمة
299,Lied::N,мора,أغنية
300,Ruhe::N,сетьме,هدوء
301,Leute::N,ломатть,ناس
302,Volk::N,наро́д,شعب
303,Arbeit::N,тев,عمل
304,Gast::N,и́нжи,ضيف
305,Gast::N,ко́нак,ضيف
306,Geschenk::N,казне,هدية
307,Spiel::N,налхкома,لعب
308,Spiel::N,налхксема,لعب
309,Gesellschaft::N,кружок,صحبة
310,Hilfe::N,лездома,عون
311,Hilfe::N,лездома,مساعدة
312,Freund::N,я́лга,صديق
313,Kamerad::N,я́лга,زميل
314,Angelegenheit::N,тев,أمر
315,Angelegenheit::N,тев,شأن
316,Anzahl::N,лувкс,عدد
317,Art::N,вид,نوع
318,Stück::N,пакш,قطعة
319,Teil::N,часть,قسم
320,Teil::N,пялькс,قسم
321,Hälfte::N,пяле,نصف
322,Kreis::N,шаркс,دائرة
323,Kreuz::N,крёз,صليب
324,Linie::N,межа,خط
325,Linie::N,китькс,خط
326,Strich::N,межа,شرطة
327,Abstand::N,ётка,مسافة
328,Entfernung::N,ётка,بعد
329,Gegend::N,ва́ста,ناحية
330,Gegend::N,перьфпя́ль,ناحية
331,Platz::N,ва́ста,فراغ
332,Ort::N,ва́ста,مكان
333,Seite::N,пяле,جانب
334,Mitte::N,кучка́,وسط
335,Gegenstand::N,веща,موضوع
336,Sache::N,тев,شيء
337,Sache::N,веща,شيء
338,Rand::N,пе,حافة
339,Kante::N,и́рдез,حافة
340,Ecke::N,ужа,ركن
341,Spitze::N,пря,سن
342,Ende::N,пе,طرف
343,Loch::N,варя,ثقب
344,Winkel::N,ужа,زاوية
345,Muster::N,сёрма,عينة
346,Größe::N,серь,حجم
347,Länge::N,кува́лма,طول
348,Höhe::N,серь,علو
349,Höhe::N,серь,ارتفاع
350,Gewicht::N,сталма,وزن
351,Menge::N,лувкс,كمية
352,Haufen::N,мар,كوم
353,Reihe::N,ряд,صف
354,Boot::N,венеж,قارب
355,Boot::N,венеж,زورق
356,Ruder::N,миле,مجذاف
357,Schlitten::N,ну́рда,مزلقة
358,Ski::N,сокс,زلاجة
359,Lagerfeuer::N,то́лмар,نار المخيم
360,Last::N,канкс,حمل
361,Last::N,сталма,حمل
362,Gang::N,молема,مشية
363,Schritt::N,аськолкс,خطوة
364,Norden::N,якшама шире,شمال
365,Süden::N,ля́мбе ши́ре,جنوب
366,Westen::N,ши валгома шире,غرب
367,Osten::N,шинь стяма шире,شرق
368,Holz::N,вирь,خشب
369,Holz::N,шуфта,خشب
370,Brett::N,лавця,لوح
371,Platte::N,плита́,صفيحة
372,Stütze::N,неже,سند
373,Stütze::N,неже,دعامة
374,Stange::N,олга,عود
375,Stock::N,байдек,عصا
376,Stab::N,олгоня,قضيب
377,Rohr::N,турама,أنبوبة
378,Haus::N,куд,دار
379,Haus::N,куд,بيت
380,Heim::N,куд,بيت
381,Heim::N,куд,مسكن
382,Ofen::N,пянакуд,مدفأة
383,Fußboden::N,кия́кс,أرضية
384,Tisch::N,шра,مائدة
385,Tisch::N,моркш,مائدة
386,Stuhl::N,стул,كرسي
387,Wiege::N,нюря́м,مهد
388,Bett::N,ацам,سرير
389,Regal::N,лавцяланга,رف
390,Kiste::N,парга,صندوق
391,Fenster::N,валмья,شباك
392,Fenster::N,валмья,نافذة
393,Tür::N,кенкш,باب
394,Tor::N,ортат,بوابة
395,Zaun::N,перяфкс,سياج
396,Dach::N,кудпря,سطح
397,Leiter::N,куцема,سلم
398,Besen::N,тяльме,مكنسة
399,Spaten::N,ка́йме,مسحاة
400,Schaufel::N,ко́поня,مجرفة
401,Schaufel::N,ця́рдом,مجرفة
402,Gabel::N,ця́нгоня,شوكة
403,Löffel::N,куцю,ملعقة
404,Messer::N,пеель,سكين
405,Nagel::N,эска,مسمار
406,Haken::N,кя́чказ,خطاف
407,Haken::N,кя́чказ,صنارة
408,Griff::N,недь,قبضة
409,Griff::N,кунда́мка,قبضة
410,Schloss::N,замо́к,قفل
411,Bild::N,карти́на,صورة
412,Figur::N,ронга-понда,تمثال
413,Puppe::N,ня́ка,دمية
414,Beutel::N,кяскав,كيس
415,Bündel::N,кярьме,ربطة
416,Tasche::N,кошяльня,شنطة
417,Tasche::N,кошяльня,محفظة
418,Eimer::N,ве́дарка,سطل
419,Eimer::N,ве́дарка,جردل
420,Deckel::N,тавадкс,سداد
421,Deckel::N,вельхкс,سداد
422,Geschirr::N,кядьге,أوان
423,Sack::N,кяскав,زكيبة
424,Tasse::N,ша́ваня,فنجان
425,Topf::N,кавозь,قدر
426,Topf::N,кавозь,طنجرة
427,Kessel::N,сргавозь,قدر
428,Kessel::N,сргавозь,غلاية
429,Essen::N,ярхцама,طعام
430,Nahrung::N,ярхцампяль,غذاء
431,Speise::N,ярхцама,أكل
432,Fleisch::N,пал,لحم
433,Fleisch::N,сиволь,لحم
434,Getreide::N,сёра,حبوب
435,Brei::N,ям,عصيدة
436,Brot::N,кши,خبز
437,Scheibe::N,кочам,شريحة
438,Fett::N,куя́,سمن
439,Butter::N,вай,زبدة
440,Öl::N,вай,زيت
441,Salz::N,сал,ملح
442,Suppe::N,шонгарям,حساء
443,Suppe::N,шонгарям,شربة
444,Suppe::N,коршампяль,حساء
445,Suppe::N,коршампяль,شربة
446,Honig::N,медь,عسل
447,Milch::N,лофца,حليب
448,Tee::N,чай,شاي
449,Leder::N,кедь,جلد
450,Wolle::N,пона,صوف
451,Stoff::N,котф,قماش
452,Nadel::N,салмокс,إبرة
453,Faden::N,сюре,خيط
454,Knopf::N,пуня,زر
455,Knoten::N,сюлма,عقدة
456,Farbe::N,архтомбяль,صبغة
457,Kleidung::N,щам,ملابس
458,Hemd::N,па́нар,قميص
459,Kragen::N,сиве,ياقة
460,Ärmel::N,ожа,كم
461,Hose::N,понкст,سروال
462,Hose::N,понкст,بنطلون
463,Gürtel::N,каркс,حزام
464,Mütze::N,вазь,طاقية
465,Schuh::N,башма́к,حذاء
466,Stiefel::N,кя́ме,جزمة
467,Stiefel::N,кя́ме,حذاء طويل
468,Ring::N,суркс,حلقة
469,Band::N,керькс,شريط
470,Band::N,лента,شريط
471,Kamm::N,сюрьхцем,مشط
472,Spiegel::N,ванома,مرآة
473,Riemen::N,шнань каркс,سير
474,Schnur::N,пикс,حبل
475,Schnur::N,пикс,دوبارة
476,Schnur::N,карькскя,حبل
477,Schnur::N,карькскя,دوبارة
478,Leine::N,вядьме,قيد
479,Decke::N,вельхкс,بطانية
480,Kissen::N,тоду,وسادة
481,Tuch::N,руця́,منديل
482,Handtuch::N,на́рдама,فوطة
483,Handtuch::N,на́рдама,منشفة
484,Kraft::N,вий,قدرة
485,Stärke::N,вииши,قوة
486,Gesundheit::N,шумбраши́,صحة
487,Krankheit::N,урма́,مرض
488,Krankheit::N,сярядема,مرض
489,Schmerz::N,маряма,ألم
490,Schmerz::N,маряма,وجع
491,Wunde::N,керф,جرح
492,Fieber::N,маштыкс,حمى
493,Arznei::N,надо́бья,دواء
494,Arznei::N,пъчка́фтома,دواء
495,Brücke::N,седь,جسر
496,Brunnen::N,эши,بئر
497,Weide::N,ванома васта,مرعى
498,Pfad::N,ян,درب
499,Pfad::N,киня́,درب
500,Weg::N,ки,سكة
501,Straße::N,ки,طريق
502,Dorf::N,веле,قرية
503,Stadt::N,ош,مدينة
504,Brief::N,сёрма,خطاب
505,Brief::N,сёрма,مكتوب
506,Buch::N,книга,كتاب
507,Buchstabe::N,бу́ква,حرف
508,Zeitung::N,газе́та,جريدة
509,Leben::N,эряф,عيش
510,Leben::N,эряф,حياة
511,Leben::N,эряма,عيش
512,Leben::N,эряма,حياة
513,Tod::N,кулома́,موت
514,Tod::N,кулома́,وفاة
515,Grab::N,калма,قبر
516,Kirche::N,це́рькав,كنيسة
517,Sünde::N,пежеть,خطيئة
518,Sünde::N,муворкс,خطيئة
519,Gott::N,шкай,إله
520,Arbeiter::N,трудендай,عامل
521,Arbeiter::N,работник,عامل
522,Chef::N,азор,رئيس
523,Chef::N,оцюня,رئيس
524,Meister::N,мастяр,أسطى
525,Arzt::N,врач,طبيب
526,Arzt::N,доктор,طبيب
527,Lehrer::N,учи́тель,مدرس
528,Geld::N,ярмакт,نقود
529,Geschäft::N,ладяфкс,صفقة
530,Geschäft::N,ладяф тев,صفقة
531,Laden::N,ла́вка,دكان
532,Preis::N,питне,سعر
533,Ware::N,миф,بضاعة
534,Ware::N,ра́маф,بضاعة
535,Nutzen::N,пара,فائدة
536,Nutzen::N,лезкс,فائدة
537,Reichtum::N,ко́зяши,غنى
538,Reichtum::N,ко́зяши,ثروة
539,Welt::N,свет,عالم
540,Welt::N,свет,دنيا
541,Land::N,мастор,بلد
542,Staat::N,государства,دولة
543,König::N,король,ملك
544,Macht::N,азорондама,سلطة
545,Macht::N,азорксши,سلطة
546,Grenze::N,ёткаян,حدود
547,Krieg::N,война́,حرب
548,Feind::N,душман,عدو
549,Feind::N,каршек тюри,عدو
550,Gewalt::N,наругама,عنف
551,Kampf::N,тюрема́,قتال
552,Bogen[Waffe]::N,нал,قوس
553,Pfeil::N,нал,سهم
554,Gewehr::N,винто́вка,بندقية
555,Fehler::N,эльбядькс,خطأ
556,Lüge::N,васькафнема,كذب
557,Schaden::N,зия́н,تلف
558,Unglück::N,зия́н,نحس
559,Schuld::N,муворши,ذنب
560,Alter::N,эряф кизот,سن
561,Alter::N,эряф кизот,عمر
562,Alter::N,эряфонь пинге,سن
563,Alter::N,эряфонь пинге,عمر
564,Schluss::N,пе,ختام
565,Schluss::N,пе,نهاية
566,Zeit::N,пинге,وقت
567,Tag::N,ши,يوم
568,Morgen::N,шобдава,صباح
569,Mittag::N,шикучка,ظهر
570,Abend::N,иля́дь,مساء
571,Nacht::N,ве,ليلة
572,Woche::N,недя́ля,أسبوع
573,Monat::N,ков,شهر
574,Jahr::N,киза,عام
575,Jahr::N,киза,سنة
576,Frühling::N,тунда́,ربيع
577,Sommer::N,киза,صيف
578,Herbst::N,сёксе,خريف
579,Winter::N,тяла,شتاء
580,Januar::N,кельмеков,يناير
581,Januar::N,кельмеков,كانون الثاني
582,Februar::N,уфайков,شباط
583,Februar::N,уфайков,فبراير
584,März::N,марайков,آذار
585,März::N,марайков,مارس
586,April::N,шудиков,نيسان
587,Mai::N,панжиков,مايو
588,Juni::N,лямбеков,يونيو
589,Juni::N,лямбеков,حزيران
590,Juli::N,псиков,تموز
591,Juli::N,псиков,يوليو
592,August::N,сёроньков,آب
593,August::N,сёроньков,أغسطس
594,September::N,тюжягов,أيلول
595,September::N,тюжягов,سبتمبر
596,Oktober::N,кельмазаков,أكتوبر
597,Oktober::N,кельмазаков,تشرين الأول
598,November::N,эйндамков,نوفمبر
599,November::N,эйндамков,تشرين الثاني
600,Dezember::N,кучкаков,ديسمبر
601,Dezember::N,кучкаков,كانون الأول
602,Montag::N,одговши,يوم الاثنين
603,Dienstag::N,ша́вши,يوم الثلاثاء
604,Mittwoch::N,вержи,يوم الأربعاء
605,Donnerstag::N,шува́ланя,يوم الخميس
606,Freitag::N,пя́денця,يوم الجمعة
607,Samstag::N,ёткши,يوم السبت
608,Sonntag::N,таргоши,يوم الأحد
609,groß::A,оцю,كبير
610,klein::A,ёмла,صغير
611,lang::A,кува́ка,طويل
612,kurz::A,нюрьхкя́ня,قصير
613,breit::A,кели,واسع
614,schmal::A,тяйня,ضيق
615,dicht::A,сиде,كث
616,dicht::A,сиде,كثيف
617,dicht::A,туста,كث
618,dicht::A,туста,كثيف
619,dick[Gegenstand]::A,эчке,غليظ
620,dünn::A,шува́ня,رفيع
621,fein::A,шува́ня,رقيق
622,fest::A,кеме,متين
623,flach::A,лапш,سهل
624,flach::A,лапш,منبسط
625,glatt::A,вадяв,ناعم
626,glatt::A,такор,ناعم
627,hart::A,калгода,صلب
628,hart::A,калгода,جامد
629,weich::A,ляпе,لين
630,rund::A,кру́глай,مستدير
631,spitz::A,ботаз,مدبب
632,spitz::A,оржа,مدبب
633,scharf::A,оржа,حاد
634,stumpf::A,ношка,ثالم
635,schwer::A,стака,ثقيل
636,schön::A,мазы,جميل
637,heiß::A,пси,حار
638,heiß::A,пси,ساخن
639,warm::A,лямбе,دافئ
640,kalt::A,кельме,بارد
641,kühl::A,эше,قر
642,frisch::A,свежай,طازج
643,feucht::A,летьке,رطب
644,nass::A,начка,مبلول
645,trocken::A,коське,جاف
646,voll::A,пяшксе,ملء
647,leer::A,шава,خال
648,leer::A,шава,فارغ
649,offen::A,панжада,مفتوح
650,offen::A,виде,مفتوح
651,geschlossen::A,пякстаф,مغلق
652,geschlossen::A,сёлгф,مغلق
653,sauber::A,ару,نظيف
654,schmutzig::A,рда́зу,قذر
655,schmutzig::A,пя́ндра,قذر
656,roh::A,верок,نيء
657,reif::A,ке́нерьф,ناضج
658,lecker::A,танцти,لذيذ
659,süß::A,ламбама,حلو
660,bitter::A,сяпи,مر
661,sauer::A,шапама,حامض
662,hell::A,валда,نير
663,dunkel::A,шобда,مظلم
664,schwarz::A,равжа,أسود
665,weiß::A,акша,أبيض
666,rot::A,якстерь,أحمر
667,gelb::A,тюжя́,أصفر
668,blau::A,сенем,أزرق
669,grün::A,пиже,أخضر
670,grün::A,сянгяря,أخضر
671,grau::A,уле,رمادي
672,bunt::A,сёрмав,ملوب
673,billig::A,у́цез,رخيص
674,billig::A,аф пи́тни,رخيص
675,teuer::A,пи́тни,غال
676,wertvoll::A,питни,ثمين
677,blind::A,сокор,أعمى
678,taub::A,пярав,أصم
679,taub::A,пярав,أطرش
680,kräftig::A,пяк вии,قوي
681,stark::A,вии,قوي
682,schwach::A,лафча,ضعيف
683,fett::A,куя́,سمين
684,schlank::A,виде ронга,أهيف
685,hübsch::A,мазы,جميل
686,böse::A,кяжи,رديء
687,dumm::A,аф ёню,أبله
688,dumm::A,аф ёню,أحمق
689,dumm::A,шава пря,أبله
690,dumm::A,шава пря,أحمق
691,faul::A,нола,كسلان
692,fleißig::A,ку́лхцонды,مجتهد
693,geizig::A,кирьжя,بخيل
694,geizig::A,жаднай,بخيل
695,klug::A,ёню,ذكي
696,klug::A,ёню,عاقل
697,klug::A,пря́ви,ذكي
698,klug::A,пря́ви,عاقل
699,geschickt::A,маштозь тиф,ماهر
700,lieb::A,цебярь,عزيز
701,lustig::A,ра́хси,مرح
702,sanft::A,сетьме,حليم
703,hungrig::A,вача,جائع
704,hungrig::A,вачеда,جائع
705,krank::A,сяряди,مريض
706,nackt::A,штада,عار
707,nackt::A,кърхтапа,عار
708,traurig::A,ла́жнай,حزين
709,lebendig::A,эряй,حي
710,gut::A,пара,جيد
711,gut::A,цебярь,جيد
712,schlecht::A,кальдяв,سيء
713,richtig::A,виде,صحيح
714,schlimm::A,кальдяв,خبيث
715,wahr::A,афкуксонь,حق
716,alt::A,ташта,قديم
717,neu::A,од,جديد
718,ehemalig::A,и́нгольдень,سابق
719,alt[Lebewesen]::A,сире,مسن
720,jung::A,од,شاب
721,jung::A,од,صغير
722,arm::A,а́шу,فقير
723,reich::A,козя,غني
724,bekannt::A,содаф,معلوم
725,berühmt::A,содавикс,مشهور
726,fremd::A,лия,أجنبي
727,fremd::A,аф содаф,أجنبي
728,verschieden::A,аф фкя ла́цонь,مختلف
729,nah::A,мала,قريب
730,nah::A,аф ичкоздень,قريب
731,fern::A,и́чкоздень,بعيد
732,fern::A,куна́рдонь,بعيد
733,linker::A,кержи,يسار
734,rechter::A,види,يمين
735,anderer::A,лия,آخر
736,erster::A,васенце,أول
737,zweiter::A,омбоце,ثان
738,dritter::A,колмоце,ثالث
739,letzter::A,ме́кольце,أخير
740,allein::ADV,ськамонза,وحده
741,auf einmal::ADV,вихцок,بالمرة
742,zusammen::ADV,марс,معا
743,zusammen::ADV,ма́рса,معا
744,lange::ADV,кува́тьс,مدة طويلة
745,plötzlich::ADV,а́пак учт,فجأة
746,sofort::ADV,тяникиге,حالا
747,sofort::ADV,тяникиге,فورا
748,später::ADV,ме́ле,فيما بعد
749,jetzt::ADV,тяни,الآن
750,jetzt::ADV,тяни,حاليا
751,heute::ADV,тячи,اليوم
752,morgen::ADV,ва́нды,غدا
753,bald::ADV,курок,قريبا
754,dann::ADV,меле,ثم
755,dann::ADV,сяда меле,ثم
756,gestern::ADV,ися́к,أمس
757,gestern::ADV,ися́к,البارحة
758,einst::ADV,весть,قديما
759,einst::ADV,мзя́рда-бди,قديما
760,damals::ADV,эста,حينئذ
761,danach::ADV,меле,ثم
762,danach::ADV,меле,بعد ذلك
763,vorher::ADV,инголи,من قبل
764,vorher::ADV,инголи,قبل ذلك
765,zuerst::ADV,ва́сенда,أولا
766,einmal::ADV,весть,مرة
767,manchmal::ADV,лия́ста,أحيانا
768,manchmal::ADV,ко́ста-ко́ста,أحيانا
769,oft::ADV,си́деста,كثيرا
770,immer::ADV,фалу,دائما
771,immer::ADV,най,دائما
772,niemals::ADV,аф мзя́рдонга,لا أبدا
773,hier::ADV,тяса,هنا
774,hierhin::ADV,сей,إلى هنا
775,hierhin::ADV,тяза,إلى هنا
776,von hier::ADV,тя́ста,من هنا
777,dort::ADV,тоса,هناك
778,dorthin::ADV,тов,إلى هناك
779,dorthin::ADV,тоза,إلى هناك
