,Concept_ID,ja,fi
120,Höhle::N,洞窟,luola
121,Abhang::N,斜面,rinne
122,Quelle::N,泉,lähde
123,Bach::N,小川,puro
124,Fluss::N,川,joki
125,Ufer::N,岸,ranta
126,Küste::N,海岸,rannikko
127,Festland::N,陸,manner
128,Meer::N,海,meri
129,Bucht::N,湾,lahti
130,Insel::N,島,saari
131,Blume::N,花,kukka
132,Gras::N,草,ruoho
133,Wurzel::N,根,juuri
134,Baum::N,木,puu
135,Stamm::N,幹,runko
136,Rinde::N,皮層,kuori
137,Rinde::N,皮層,parkki
138,Ast::N,枝,oksa
139,Zweig::N,小枝,haara
140,Blatt::N,葉,lehti
141,Birke::N,樺,koivu
142,Kiefer[Baum]::N,松,mänty
143,Kiefer[Baum]::N,松,petäjä
144,Weide[Baum]::N,柳,paju
145,Tanne::N,樅,kuusi
146,Horn::N,角,sarvi
147,Feder::N,羽根,sulka
148,Feder::N,羽根,höyhen
149,Fell::N,毛皮,talja
150,Flügel::N,羽,siipi
151,Klaue::N,鉤爪,kynsi
152,Kralle::N,爪,kynsi
153,Schwanz::N,尻尾,häntä
154,Schwanz::N,尻尾,pyrstö
155,Ei::N,卵,muna
156,Nest::N,巣,pesä
157,Bau::N,穴,pesä
158,Tier::N,動物,eläin
159,Herde::N,群れ,lauma
160,Kuh::N,牛,lehmä
161,Bulle::N,雄牛,sonni
162,Pferd::N,馬,hevonen
163,Schaf::N,羊,lammas
164,Schwein::N,豚,sika
165,Hund::N,犬,koira
166,Katze::N,猫,kissa
167,Bär::N,熊,karhu
168,Eichhörnchen::N,栗鼠,orava
169,Elch::N,ヘラジカ,hirvi
170,Fuchs::N,狐,kettu
171,Hase::N,兎,jänis
172,Maus::N,鼠,hiiri
173,Wolf::N,狼,susi
174,Vogel::N,鳥,lintu
175,Schwarm::N,群れ,parvi
176,Huhn::N,鶏,kana
177,Hahn::N,雄鶏,kukko
178,Gans::N,ガチョウ,hanhi
179,Adler::N,鷲,kotka
180,Ente::N,鴨,ankka
181,Eule::N,フクロウ,pöllö
182,Kranich::N,鶴,kurki
183,Krähe::N,烏,varis
184,Kuckuck::N,郭公,käki
185,Schwan::N,白鳥,joutsen
186,Fisch::N,魚,kala
187,Barsch::N,鱸,ahven
188,Hecht::N,川魳,hauki
189,Schlange[Tier]::N,蛇,käärme
190,Wurm::N,虫,mato
191,Spinne::N,蜘蛛,hämähäkki
192,Ameise::N,蟻,muurahainen
193,Laus::N,虱,täi
194,Mücke::N,蚊,sääski
195,Mücke::N,蚊,hyttynen
196,Fliege::N,蝿,kärpänen
197,Schmetterling::N,蝶,perhonen
198,Beere::N,漿果,marja
199,Apfel::N,林檎,omena
200,Pilz::N,茸,sieni
201,Zwiebel::N,玉葱,sipuli
202,Saat::N,種,siemenet
203,Korn::N,粒,jyvä
204,Korn::N,粒,vilja
205,Heu::N,干し草,heinä
206,Schale::N,皮,kuori
207,Grube::N,穴,kuoppa
208,Falle::N,わな,loukku
209,Schlinge::N,輪,ansa
210,Spur::N,跡,jälki
211,Asche::N,灰,tuhka
212,Dreck::N,泥,lika
213,Eisen::N,鉄,rauta
214,Gold::N,金,kulta
215,Silber::N,銀,hopea
216,Kohle::N,炭,hiili
217,Glas::N,ガラス,lasi
218,Lehm::N,ローム,savi
219,Sand::N,砂,hiekka
220,Mensch::N,人,ihminen
221,Mann::N,男,mies
222,Mann::N,男性,mies
223,Frau::N,女,nainen
224,Frau::N,女性,nainen
225,Kind::N,子,lapsi
226,Kind::N,子供,lapsi
227,Junge::N,男の子,poika
228,Mädchen::N,女の子,tyttö
229,Familie::N,家族,perhe
230,Großvater::N,祖父,isoisä
231,Großvater::N,おじいさん,isoisä
232,Großmutter::N,祖母,isoäiti
233,Großmutter::N,おばあさん,isoäiti
234,Eltern::N,親,vanhemmat
235,Eltern::N,両親,vanhemmat
236,Vater::N,父,isä
237,Vater::N,お父さん,isä
238,Mutter::N,母,äiti
239,Mutter::N,お母さん,äiti
240,Sohn::N,息子,poika
241,Sohn::N,息子さん,poika
242,Tochter::N,娘,tytär
243,Tochter::N,お嬢さん,tytär
244,Bruder::N,弟,veli
245,Schwester::N,妹,sisko
246,Onkel::N,伯父,eno
247,Onkel::N,伯父,setä
248,Onkel::N,伯父さん,eno
249,Onkel::N,伯父さん,setä
250,Tante::N,叔母,täti
251,Tante::N,叔母さん,täti
252,Ehemann::N,夫,mies
253,Ehemann::N,夫,aviomies
254,Ehemann::N,主人,mies
255,Ehemann::N,主人,aviomies
256,Ehefrau::N,妻,vaimo
257,Ehefrau::N,妻,aviovaimo
258,Ehefrau::N,奥さん,vaimo
259,Ehefrau::N,奥さん,aviovaimo
260,Freude::N,喜び,ilo
261,Freude::N,喜び,riemu
262,Gelächter::N,笑い,nauru
263,Glück::N,幸せ,onni
264,Kummer::N,悩み,suru
265,Kummer::N,悩み,murhe
266,Wunsch::N,希望,toive
267,Wunsch::N,希望,toivomus
268,Lust::N,気,himo
269,Geist::N,精神,henki
270,Gedanke::N,考え,aate
271,Gedanke::N,考え,ajatus
272,Gedächtnis::N,記憶,muisti
273,Verstand::N,理解力,äly
274,Verstand::N,理解力,järki
275,Verstand::N,理解力,ymmärrys
276,Sinn::N,意味,merkitys
277,Grund::N,理由,syy
278,Grund::N,理由,peruste
279,Wahrheit::N,真実,tosi
280,Wahrheit::N,真実,totuus
281,Gespräch::N,会話,puhelu
282,Gespräch::N,会話,keskustelu
283,Märchen::N,童話,satu
284,Erzählung::N,物語,tarina
285,Erzählung::N,物語,kertomus
286,Nachricht::N,報告,tieto
287,Nachricht::N,報告,ilmoitus
288,Neuigkeit::N,ニュース,uutinen
289,Name::N,名前,nimi
290,Rätsel::N,謎,arvoitus
291,Rede::N,演説,puhe
292,Sprache::N,言語,kieli
293,Stimme::N,声,ääni
294,Wort::N,言葉,sana
295,Zeichen::N,記号,merkki
296,Ruf::N,呼び声,kutsu
297,Lärm::N,騒音,melu
298,Lärm::N,騒音,hälinä
299,Laut::N,音,ääni
300,Ton::N,音,sävel
301,Lied::N,歌,laulu
302,Ruhe::N,静けさ,lepo
303,Ruhe::N,静けさ,rauha
304,Leute::N,人々,väki
305,Leute::N,人々,ihmiset
306,Volk::N,民族,kansa
307,Arbeit::N,仕事,työ
308,Gast::N,客,vieras
309,Geschenk::N,贈り物,lahja
310,Spiel::N,遊び,peli
311,Spiel::N,遊び,leikki
312,Gesellschaft::N,社会,seura
313,Hilfe::N,援助,apu
314,Freund::N,友達,ystävä
315,Kamerad::N,同志,toveri
316,Angelegenheit::N,件,asia
317,Anzahl::N,数,lukumäärä
318,Art::N,種類,laji
319,Stück::N,部分,pala
320,Stück::N,部分,kappale
321,Teil::N,部分,osa
322,Hälfte::N,半分,puoli
323,Kreis::N,円,ympyrä
324,Kreuz::N,十字,risti
325,Linie::N,線,viiva
326,Strich::N,線,piirto
327,Abstand::N,距離,väli
328,Abstand::N,距離,väljyys
329,Entfernung::N,距離,etäisyys
330,Gegend::N,辺,seutu
331,Gegend::N,地域,seutu
332,Platz::N,ゆとり,tila
333,Ort::N,所,kohta
334,Ort::N,所,paikka
335,Ort::N,場所,kohta
336,Ort::N,場所,paikka
337,Seite::N,横,sivu
338,Seite::N,横,kylki
339,Mitte::N,真ん中,keskus
340,Mitte::N,真ん中,puoliväli
341,Gegenstand::N,物件,kalu
342,Gegenstand::N,物件,esine
343,Sache::N,物,asia
344,Rand::N,端,ääri
345,Rand::N,端,syrjä
346,Kante::N,縁,särmä
347,Ecke::N,角,nurkka
348,Spitze::N,先頭,terä
349,Spitze::N,先頭,kärki
350,Ende::N,端,pää
351,Ende::N,端,perä
352,Loch::N,穴,kolo
353,Loch::N,穴,reikä
354,Winkel::N,片隅,kulma
355,Muster::N,模様,kuvio
356,Größe::N,大きさ,koko
357,Größe::N,大きさ,suuruus
358,Länge::N,長さ,pituus
359,Höhe::N,高さ,korkeus
360,Gewicht::N,重さ,paino
361,Menge::N,量,määrä
362,Haufen::N,堆積,kasa
363,Reihe::N,並び,rivi
364,Boot::N,ボート,vene
365,Ruder::N,オール,airo
366,Schlitten::N,そり,reki
367,Schlitten::N,そり,kelkka
368,Ski::N,スキー,suksi
369,Lagerfeuer::N,篝火,nuotio
370,Last::N,荷物,kuorma
371,Gang::N,歩み,kulku
372,Gang::N,歩み,käynti
373,Schritt::N,歩,askel
374,Norden::N,北,pohjoinen
375,Süden::N,南,etelä
376,Westen::N,西,länsi
377,Osten::N,東,itä
378,Holz::N,木,puu
379,Holz::N,木材,puu
380,Brett::N,板,lauta
381,Platte::N,盤,levy
382,Stütze::N,支柱,noja
383,Stange::N,棒,tanko
384,Stock::N,杖,keppi
385,Stab::N,棒,sauva
386,Stab::N,棒,seiväs
387,Rohr::N,管,putki
388,Haus::N,家,talo
389,Heim::N,家,koti
390,Ofen::N,ストーブ,uuni
391,Fußboden::N,床,lattia
392,Tisch::N,机,pöytä
393,Stuhl::N,椅子,tuoli
394,Wiege::N,揺籃,kehto
395,Bett::N,ベッド,sänky
396,Regal::N,棚,hylly
397,Kiste::N,箱,arkku
398,Kiste::N,箱,kirstu
399,Kiste::N,箱,laatikko
400,Fenster::N,窓,ikkuna
401,Tür::N,戸,ovi
402,Tür::N,ドア,ovi
403,Tor::N,門,portti
404,Zaun::N,垣根,aita
405,Dach::N,屋根,katto
406,Leiter::N,梯子,tikkaat
407,Leiter::N,梯子,tikapuut
408,Besen::N,ほうき,luuta
409,Spaten::N,スコップ,lapio
410,Schaufel::N,シャベル,lapio
411,Gabel::N,フォーク,haarukka
412,Löffel::N,スプーン,lusikka
413,Messer::N,ナイフ,veitsi
414,Nagel::N,釘,naula
415,Netz::N,網,verkko
416,Haken::N,鉤,haka
417,Haken::N,鉤,koukku
418,Haken::N,フック,haka
419,Haken::N,フック,koukku
420,Griff::N,取っ手,ripa
421,Griff::N,取っ手,kahva
422,Schloss::N,錠,lukko
423,Bild::N,絵,kuva
424,Figur::N,像,kuvio
425,Puppe::N,人形,nukke
426,Beutel::N,袋,pussi
427,Bündel::N,束,nippu
428,Bündel::N,束,kimppu
429,Bündel::N,包み,nippu
430,Bündel::N,包み,kimppu
431,Tasche::N,かばん,laukku
432,Eimer::N,バケツ,sanko
433,Eimer::N,バケツ,ämpäri
434,Deckel::N,蓋,kansi
435,Geschirr::N,食器,astia
436,Sack::N,袋,säkki
437,Tasse::N,カップ,kuppi
438,Topf::N,鍋,pata
439,Kessel::N,釜,kattila
440,Essen::N,食事,syönti
441,Nahrung::N,食物,ruoka
442,Nahrung::N,食物,ravinto
443,Speise::N,料理,ruoka
444,Fleisch::N,肉,liha
445,Getreide::N,麦,vilja
446,Getreide::N,穀物,vilja
447,Brei::N,粥,puuro
448,Brot::N,パン,leipä
449,Scheibe::N,枚,viipale
450,Scheibe::N,切れ,viipale
451,Fett::N,脂肪,rasva
452,Butter::N,バター,voi
453,Öl::N,油,öljy
454,Salz::N,塩,suola
455,Suppe::N,スープ,keitto
456,Honig::N,蜂蜜,hunaja
457,Milch::N,牛乳,maito
458,Tee::N,茶,tee
459,Tee::N,お茶,tee
460,Leder::N,革,nahka
461,Wolle::N,毛糸,villa
462,Stoff::N,布,kangas
463,Nadel::N,針,neula
464,Faden::N,糸,lanka
465,Knopf::N,ボタン,nappi
466,Knoten::N,結び目,solmu
467,Farbe::N,ペンキ,maali
468,Kleidung::N,衣服,vaatteet
469,Hemd::N,シャツ,paita
470,Kragen::N,襟,kaulus
471,Ärmel::N,袖,hiha
472,Hose::N,ズボン,housut
473,Gürtel::N,帯,vyö
474,Gürtel::N,ベルト,vyö
475,Mütze::N,帽子,lakki
476,Schuh::N,靴,kenkä
477,Stiefel::N,ブーツ,saapas
478,Ring::N,輪,sormus
479,Band::N,リボン,nauha
480,Kamm::N,櫛,kampa
481,Spiegel::N,鏡,peili
482,Riemen::N,緒,hihna
483,Schnur::N,紐,naru
484,Schnur::N,紐,nuora
485,Leine::N,綱,talutushihna
486,Decke::N,掛け布団,peite
487,Kissen::N,枕,tyyny
488,Kissen::N,枕,pielus
489,Tuch::N,スカーフ,huivi
490,Handtuch::N,タオル,pyyheliina
491,Kraft::N,力,väki
492,Kraft::N,力,voima
493,Stärke::N,強さ,vahvuus
494,Gesundheit::N,健康,terveys
495,Krankheit::N,病気,tauti
496,Krankheit::N,病気,sairaus
497,Schmerz::N,痛み,kipu
498,Schmerz::N,痛み,särky
499,Wunde::N,傷,haava
500,Fieber::N,熱,kuume
501,Arznei::N,薬,lääke
502,Brücke::N,橋,silta
503,Brunnen::N,井戸,kaivo
504,Weide::N,牧場,laidun
505,Pfad::N,小路,polku
506,Weg::N,道,tie
507,Straße::N,街道,katu
508,Dorf::N,村,kylä
509,Stadt::N,町,kaupunki
510,Stadt::N,都市,kaupunki
511,Brief::N,手紙,kirje
512,Buch::N,本,kirja
513,Buchstabe::N,文字,kirjain
514,Zeitung::N,新聞,lehti
515,Zeitung::N,新聞,sanomalehti
516,Leben::N,生活,elo
517,Leben::N,生活,elämä
518,Tod::N,死,kuolema
519,Grab::N,墓,hauta
520,Kirche::N,教会,kirkko
521,Sünde::N,罪,synti
522,Gott::N,神,jumala
523,Arbeiter::N,労働者,työläinen
524,Chef::N,上司,päällikkö
525,Meister::N,達人,mestari
526,Meister::N,マイスター,mestari
527,Arzt::N,医者,lääkäri
528,Lehrer::N,先生,opettaja
529,Geld::N,金,raha
530,Geschäft::N,取り引き,liike
531,Laden::N,店,puoti
532,Laden::N,店,kauppa
533,Preis::N,値段,hinta
534,Ware::N,商品,tavara
535,Nutzen::N,利益,hyöty
536,Reichtum::N,豊かさ,rikkaus
537,Welt::N,世界,maailma
538,Land::N,国,maa
539,Staat::N,国家,valtio
540,König::N,国王,kuningas
541,Macht::N,権力,mahti
542,Grenze::N,国境,raja
543,Krieg::N,戦争,sota
544,Feind::N,敵,vihollinen
545,Gewalt::N,暴力,väkivalta
546,Kampf::N,戦い,taistelu
547,Bogen[Waffe]::N,弓,jousi
548,Pfeil::N,矢,nuoli
549,Gewehr::N,銃,kivääri
550,Fehler::N,間違い,vika
551,Fehler::N,間違い,virhe
552,Lüge::N,嘘,valhe
553,Schaden::N,損害,vaurio
554,Schaden::N,損害,vahinko
555,Unglück::N,不幸,vahinko
556,Unglück::N,不幸,onnettomuus
557,Schuld::N,罪,syy
558,Alter::N,年,ikä
559,Alter::N,年齢,ikä
560,Schluss::N,終わり,loppu
561,Zeit::N,時,aika
562,Zeit::N,時間,aika
563,Tag::N,日,päivä
564,Morgen::N,朝,aamu
565,Morgen::N,朝,huomen
566,Mittag::N,昼,keskipäivä
567,Abend::N,晩,ilta
568,Abend::N,夕方,ilta
569,Nacht::N,夜,yö
570,Woche::N,週,viikko
571,Monat::N,月,kuukausi
572,Jahr::N,年,vuosi
573,Frühling::N,春,kevät
574,Sommer::N,夏,kesä
575,Herbst::N,秋,syksy
576,Winter::N,冬,talvi
577,Januar::N,一月,tammikuu
578,Februar::N,二月,helmikuu
579,März::N,三月,maaliskuu
580,April::N,四月,huhtikuu
581,Mai::N,五月,toukokuu
582,Juni::N,六月,kesäkuu
583,Juli::N,七月,heinäkuu
584,August::N,八月,elokuu
585,September::N,九月,syyskuu
586,Oktober::N,十月,lokakuu
587,November::N,十一月,marraskuu
588,Dezember::N,十二月,joulukuu
589,Montag::N,月曜日,maanantai
590,Dienstag::N,火曜日,tiistai
591,Mittwoch::N,水曜日,keskiviikko
592,Donnerstag::N,木曜日,torstai
593,Freitag::N,金曜日,perjantai
594,Samstag::N,土曜日,lauantai
595,Sonntag::N,日曜日,sunnuntai
596,groß::A,大きい,iso
597,groß::A,大きい,suuri
598,klein::A,小さい,pieni
599,lang::A,長い,pitkä
600,kurz::A,短い,lyhyt
601,breit::A,広い,leveä
602,schmal::A,狭い,kapea
603,dicht::A,密な,taaja
604,dick[Gegenstand]::A,厚い,paksu
605,dünn::A,薄い,ohut
606,fein::A,細い,hieno
607,fest::A,硬い,luja
608,flach::A,平らな,litteä
609,flach::A,平らな,tasainen
610,glatt::A,滑らかな,sileä
611,glatt::A,滑らかな,siloinen
612,hart::A,堅い,kova
613,weich::A,柔らかい,pehmeä
614,rund::A,丸い,pyöreä
615,spitz::A,尖った,terävä
616,scharf::A,鋭い,terävä
617,stumpf::A,鈍い,tylsä
618,schwer::A,重い,raskas
619,schwer::A,重い,painava
620,schön::A,綺麗な,kaunis
621,heiß::A,熱い,kuuma
622,warm::A,温かい,lämmin
623,kalt::A,寒い,kylmä
624,kalt::A,寒い,viluinen
625,kalt::A,冷たい,kylmä
626,kalt::A,冷たい,viluinen
627,kühl::A,涼しい,viileä
628,frisch::A,ひんやりした,tuore
629,feucht::A,湿った,kostea
630,nass::A,濡れた,märkä
631,trocken::A,乾いた,kuiva
632,voll::A,いっぱいの,täysi
633,leer::A,空の,tyhjä
634,offen::A,開いた,avonainen
635,geschlossen::A,閉まった,suljettu
636,sauber::A,清潔な,puhdas
637,schmutzig::A,汚い,likainen
638,roh::A,生の,raaka
639,reif::A,熟した,kypsä
640,lecker::A,美味しい,herkullinen
641,süß::A,甘い,makea
642,bitter::A,苦い,karvas
643,bitter::A,苦い,kitkerä
644,sauer::A,酸っぱい,hapan
645,hell::A,明るい,kirkas
646,hell::A,明るい,valoisa
647,dunkel::A,暗い,pimeä
648,schwarz::A,黒い,musta
649,weiß::A,白い,valkea
650,rot::A,赤い,punainen
651,gelb::A,黄色い,keltainen
652,blau::A,青い,sininen
653,grün::A,緑の,vihreä
654,grau::A,灰色の,harmaa
655,bunt::A,色取り取りの,kirjava
656,billig::A,安い,halpa
657,billig::A,安い,huokea
658,teuer::A,高い,kallis
659,wertvoll::A,貴重な,arvokas
660,blind::A,盲目の,sokea
661,taub::A,耳が聞こえない,kuuro
662,kräftig::A,強力な,väkevä
663,kräftig::A,強力な,voimakas
664,stark::A,強い,vahva
665,schwach::A,弱い,heikko
666,fett::A,太った,lihava
667,schlank::A,ほっそりした,hoikka
668,schlank::A,ほっそりした,solakka
669,hübsch::A,素敵な,soma
670,hübsch::A,素敵な,sievä
671,böse::A,悪い,paha
672,böse::A,悪い,häijy
673,dumm::A,馬鹿な,tyhmä
674,dumm::A,馬鹿な,typerä
675,faul::A,怠惰な,laiska
676,fleißig::A,勤勉な,ahkera
677,geizig::A,けちな,saita
678,klug::A,賢い,älykäs
679,klug::A,頭のいい,älykäs
680,geschickt::A,器用な,taitava
681,lieb::A,愛らしい,rakas
682,lustig::A,楽しい,hauska
683,lustig::A,楽しい,iloinen
684,sanft::A,温和な,lauha
685,sanft::A,温和な,lempeä
686,hungrig::A,空腹の,nälkäinen
687,krank::A,病気の,sairas
688,nackt::A,裸の,alaston
689,traurig::A,悲しい,surullinen
690,traurig::A,悲しい,murheellinen
691,lebendig::A,生きた,elävä
692,gut::A,良い,hyvä
693,schlecht::A,悪い,paha
694,schlecht::A,悪い,huono
695,schlecht::A,駄目な,paha
696,schlecht::A,駄目な,huono
697,richtig::A,正しい,oikea
698,schlimm::A,ひどい,paha
699,wahr::A,本当の,tosi
700,alt::A,古い,vanha
701,neu::A,新しい,uusi
702,ehemalig::A,以前の,entinen
703,ehemalig::A,以前の,muinainen
704,alt[Lebewesen]::A,年を取った,vanha
705,jung::A,若い,nuori
706,arm::A,貧乏な,köyhä
707,reich::A,裕福な,rikas
708,bekannt::A,有名な,tuttu
709,bekannt::A,有名な,tunnettu
710,berühmt::A,有名な,kuuluisa
711,fremd::A,見知らぬ,vieras
712,verschieden::A,色々な,eri
713,verschieden::A,色々な,erilainen
714,nah::A,近い,läheinen
715,fern::A,遠い,etäinen
716,linker::A,左の,vasen
717,rechter::A,右の,oikea
718,anderer::A,別の,muu
719,anderer::A,別の,toinen
720,erster::A,一番目,ensimmäinen
721,zweiter::A,二番目,toinen
722,dritter::A,三番目,kolmas
723,letzter::A,最後の,viimeinen
724,allein::ADV,一人で,yksin
725,auf einmal::ADV,同時に,yhdellä kertaa
726,zusammen::ADV,一緒に,yhdessä
727,lange::ADV,長い間,kauan
728,lange::ADV,長い間,pitkään
729,plötzlich::ADV,急に,äkkiä
730,sofort::ADV,すぐに,heti
731,später::ADV,後で,myöhemmin
732,jetzt::ADV,今,nyt
733,heute::ADV,今日,tänään
734,morgen::ADV,明日,huomenna
735,bald::ADV,間もなく,pian
736,dann::ADV,それから,sitten
737,gestern::ADV,昨日,eilen
738,einst::ADV,過去に,aikanaan
739,damals::ADV,あの時,silloin
740,damals::ADV,あの時,siihen aikaan
741,danach::ADV,その後で,sen jälkeen
742,vorher::ADV,以前に,ennen
743,zuerst::ADV,まず,ensin
744,zuerst::ADV,まず,ensiksi
745,zuerst::ADV,最初に,ensin
746,zuerst::ADV,最初に,ensiksi
747,einmal::ADV,一回,kerran
748,manchmal::ADV,時々,joskus
749,oft::ADV,よく,usein
750,immer::ADV,いつも,aina
751,niemals::ADV,一度も...ない,ei koskaan
752,hier::ADV,こちら,tässä
753,hier::ADV,こちら,täällä
754,hierhin::ADV,ここへ,tähän
755,hierhin::ADV,こちらへ,tähän
756,von hier::ADV,ここから,tästä
757,von hier::ADV,ここから,täältä
758,dort::ADV,そちら,siinä
759,dort::ADV,そちら,siellä
760,dorthin::ADV,そこへ,sinne
761,dorthin::ADV,そこへ,tuonne
762,dorthin::ADV,そちらへ,sinne
763,dorthin::ADV,そちらへ,tuonne
764,geradeaus::ADV,真っ直ぐに,suoraan
765,vorwärts::ADV,前へ,eteenpäin
766,rückwärts::ADV,後ろへ,taaksepäin
767,zurück::ADV,後ろへ,takaisin
768,unten::ADV,下に,alhaalla
769,hinab::ADV,下へ,alas
770,oben::ADV,上に,ylhäällä
771,hinauf::ADV,上へ,ylös
772,überall::ADV,どこでも,kaikkialla
773,nicht::ADV,ない,ei
774,ein wenig::ADV,少し,vähän
775,ein wenig::ADV,ちょっと,vähän
776,kaum::ADV,ほとんど～ない,tuskin
777,sehr::ADV,とても,kovin
778,sehr::ADV,とても,oikein
779,so::ADV,こう,näin
780,noch::ADV,まだ,vielä
781,nur::ADV,～だけ,vain
782,nur::ADV,～だけ,ainoastaan
783,schon::ADV,もう,jo
784,wieder::ADV,再び,taas
785,wieder::ADV,再び,jälleen
786,vergebens::ADV,無駄に,turhaan
787,vor::PRP,前に,edessä
788,hinter::PRP,後ろに,takana
789,unter::PRP,下に,alla
790,durch::PRP,通して,läpi
791,durch::PRP,通して,kautta
792,neben::PRP,横に,vieressä
793,zwischen::PRP,間に,välillä
794,wegen::PRP,為に,takia
795,wegen::PRP,為に,vuoksi
796,wegen::PRP,せいで,takia
797,wegen::PRP,せいで,vuoksi
798,dies::PRN,これ,tämä
799,das::PRN,それ,se
800,alles::PRN,全部,kaikki
801,ich::PRN,私,minä
802,du::PRN,あなた,sinä
803,er::PRN,彼,hän
804,wir::PRN,私達,me
805,ihr::PRN,あなた達,te
806,sie::PRN,彼ら,he
807,was::FPRN,何,mikä
808,wer::FPRN,誰,ken
809,wer::FPRN,誰,kuka
810,wer::FPRN,どなた,ken
811,wer::FPRN,どなた,kuka
812,wo::FADV,どこ,missä
813,wo::FADV,どこに,missä
814,wohin::FADV,どこへ,mihin
815,wie::FADV,どう,miten
816,wie::FADV,どう,kuinka
817,warum::FADV,何故,miksi
818,warum::FADV,どうして,miksi
819,wieviel::FNUM,どのくらい,paljonko
820,wieviel::FNUM,どのくらい,kuinka paljon
821,eins::NUM,一,yksi
822,zwei::NUM,二,kaksi
823,zwei::NUM,二つ,kaksi
824,drei::NUM,三,kolme
825,drei::NUM,三つ,kolme
826,vier::NUM,四,neljä
827,vier::NUM,四つ,neljä
828,fünf::NUM,五,viisi
829,fünf::NUM,五つ,viisi
830,sechs::NUM,六,kuusi
831,sechs::NUM,六つ,kuusi
832,sieben::NUM,七,seitsemän
833,sieben::NUM,七つ,seitsemän
834,acht::NUM,八,kahdeksan
835,acht::NUM,八つ,kahdeksan
836,neun::NUM,九,yhdeksän
