,Concept_ID,da,et
380,Griff::N,håndtag,sang
381,Griff::N,håndtag,käepide
382,Schloss::N,lås,lukk
383,Bild::N,billede,pilt
384,Figur::N,figur,kuju
385,Figur::N,figur,kujund
386,Puppe::N,dukke,nukk
387,Beutel::N,pose,paun
388,Bündel::N,bylt,kimp
389,Bündel::N,bundt,kimp
390,Tasche::N,taske,kott
391,Eimer::N,spand,pang
392,Eimer::N,spand,ämber
393,Deckel::N,låg,kaas
394,Geschirr::N,husgeråd,nõud
395,Sack::N,sæk,kott
396,Tasse::N,kop,tass
397,Topf::N,gryde,pada
398,Kessel::N,kedel,pada
399,Essen::N,måltid,söök
400,Nahrung::N,mad,toit
401,Nahrung::N,næring,toit
402,Speise::N,ret,roog
403,Fleisch::N,kød,liha
404,Getreide::N,korn,teravili
405,Brei::N,grød,puder
406,Brot::N,brød,sai
407,Brot::N,brød,leib
408,Scheibe::N,skive,viil
409,Scheibe::N,skive,viilukas
410,Fett::N,fedt,rasv
411,Butter::N,smør,või
412,Öl::N,olie,õli
413,Salz::N,salt,sool
414,Suppe::N,suppe,supp
415,Honig::N,honning,mesi
416,Milch::N,mælk,piim
417,Tee::N,te,tee
418,Leder::N,skind,nahk
419,Wolle::N,uld,vill
420,Stoff::N,stof,kangas
421,Nadel::N,nål,nõel
422,Faden::N,tråd,niit
423,Knopf::N,knap,nööp
424,Knoten::N,knude,sõlm
425,Farbe::N,farve,värv
426,Kleidung::N,påklædning,riided
427,Kleidung::N,påklædning,riietus
428,Hemd::N,skjorte,särk
429,Kragen::N,krave,krae
430,Ärmel::N,ærme,varrukas
431,Hose::N,bukser,püksid
432,Gürtel::N,bælte,vöö
433,Mütze::N,hue,müts
434,Schuh::N,sko,king
435,Stiefel::N,støvle,saabas
436,Ring::N,ring,sõrmus
437,Band::N,bånd,lint
438,Kamm::N,kam,kamm
439,Spiegel::N,spejl,peegel
440,Riemen::N,rem,rihm
441,Schnur::N,snor,nöör
442,Leine::N,snor,jalutusrihm
443,Decke::N,tæppe,tekk
444,Kissen::N,pude,padi
445,Tuch::N,sjaltørklæde,kalev
446,Handtuch::N,håndklæde,käterätik
447,Kraft::N,kraft,jõud
448,Stärke::N,styrke,tugevus
449,Gesundheit::N,sundhed,tervis
450,Krankheit::N,sygdom,haigus
451,Schmerz::N,smerte,valu
452,Wunde::N,sår,haav
453,Fieber::N,feber,palavik
454,Arznei::N,medicin,ravim
455,Arznei::N,lægemiddel,ravim
456,Brücke::N,bro,sild
457,Brunnen::N,brønd,kaev
458,Weide::N,græsgang,karjamaa
459,Pfad::N,sti,rada
460,Weg::N,vej,tee
461,Straße::N,gade,tee
462,Dorf::N,landsby,küla
463,Stadt::N,by,linn
464,Brief::N,brev,kiri
465,Buch::N,bog,raamat
466,Buchstabe::N,bogstav,täht
467,Zeitung::N,avis,ajaleht
468,Leben::N,liv,elu
469,Tod::N,død,surm
470,Grab::N,grav,haud
471,Kirche::N,kirke,kirik
472,Sünde::N,synd,patt
473,Gott::N,gud,jumal
474,Arbeiter::N,arbejder,tööline
475,Chef::N,chef,ülemus
476,Chef::N,chef,juhataja
477,Meister::N,mester,meister
478,Arzt::N,læge,arst
479,Lehrer::N,lærer,õpetaja
480,Geld::N,penge,raha
481,Geschäft::N,forretning,äri
482,Laden::N,butik,pood
483,Laden::N,butik,kauplus
484,Laden::N,forretning,pood
485,Laden::N,forretning,kauplus
486,Preis::N,pris,hind
487,Ware::N,vare,kaup
488,Nutzen::N,nytte,tulu
489,Nutzen::N,nytte,kasulikkus
490,Reichtum::N,rigdom,rikkus
