,Concept_ID,eu,kv
81,Schatten::N,geriza,вуджӧр
82,Wetter::N,eguraldi,погоддя
83,Nebel::N,laino,туман
84,Wolke::N,hodei,кымӧр
85,Regen::N,euri,зэр
86,Schnee::N,elur,лым
87,Eis::N,horma,йы
88,Frost::N,izotzaldi,мороз
89,Kälte::N,hotz,кӧдзыт
90,Hitze::N,bero,ӧд
91,Raureif::N,antzigar,кижа
92,Regenbogen::N,ostadar,енӧшка
93,Regenbogen::N,ortzadar,енӧшка
94,Donner::N,ostots,гым
95,Donner::N,ihurtzuri,гым
96,Strömung::N,laster,визывтӧм
97,Tropfen::N,xorta,тёп
98,Schaum::N,bits,быг
99,Schmutz::N,lohi,нять
100,Schmutz::N,zikin,нять
101,See::N,laku,ты
102,See::N,aintzira,ты
103,Sumpf::N,zingira,арай
104,Moor::N,zohikaztegi,нюр
105,Wiese::N,larre,видз
106,Wiese::N,belardi,видз
107,Wald::N,baso,вӧр
108,Wald::N,oihan,вӧр
109,Hügel::N,muino,мыльк
110,Hügel::N,pentoka,мыльк
111,Anhöhe::N,garai,вывтас
112,Anhöhe::N,garai,вылынін
113,Anhöhe::N,goragune,вывтас
114,Anhöhe::N,goragune,вылынін
115,Berg::N,mendi,керӧс
116,Gipfel::N,gain,йыв
117,Gipfel::N,tontor,йыв
118,Höhle::N,kobazulo,нора
119,Abhang::N,aldapa,покат
120,Quelle::N,iturri,больган
121,Quelle::N,iturbegi,больган
122,Bach::N,lats,шор
123,Bach::N,erreka,шор
124,Fluss::N,ibai,ю
125,Fluss::N,uhaitz,ю
126,Ufer::N,bazter,берег
127,Küste::N,itsasalde,берег
128,Festland::N,lehor,му
129,Meer::N,itsaso,море
130,Bucht::N,golko,курья
131,Insel::N,irla,
132,Insel::N,uharte,
133,Blume::N,lili,цветок
134,Gras::N,belar,турун
135,Wurzel::N,zuztar,вуж
136,Wurzel::N,sustrai,вуж
137,Baum::N,zuhaitz,пу
138,Stamm::N,enbor,мыр
139,Stamm::N,enbor,кер
140,Rinde::N,azal,кач
141,Ast::N,adar,ув
142,Zweig::N,abar,ув
143,Blatt::N,hosto,лист
144,Birke::N,urki,кыдз
145,Kiefer[Baum]::N,ler,пожум
146,Weide[Baum]::N,zume,бадь
147,Weide[Baum]::N,sahats,бадь
148,Tanne::N,izei,кӧз
149,Horn::N,adar,сюр
150,Feder::N,luma,гӧн
151,Feder::N,hegaki,гӧн
152,Fell::N,ile,кучик
153,Fell::N,larru,кучик
154,Flügel::N,hego,борд
155,Klaue::N,atzapar,гыж
156,Kralle::N,erpe,кабыр
157,Kralle::N,atzapar,кабыр
158,Schwanz::N,isats,бӧж
159,Schwanz::N,buztan,бӧж
160,Ei::N,arrautza,кольть
161,Nest::N,habia,поз
162,Bau::N,ohantze,осьта
163,Bau::N,ohantze,нора
164,Tier::N,abere,зверь
165,Tier::N,piztia,зверь
166,Herde::N,saldo,гурт
167,Herde::N,abere talde,гурт
168,Kuh::N,behi,мӧс
169,Bulle::N,zezen,ӧшка
170,Pferd::N,zaldi,вӧв
171,Schaf::N,ardi,баля
172,Schwein::N,urde,порсь
173,Schwein::N,txerri,порсь
174,Hund::N,txakur,пон
175,Katze::N,katu,кань
176,Bär::N,hartz,ош
177,Eichhörnchen::N,urtxintxa,ур
178,Elch::N,altze,вӧр мӧс
179,Fuchs::N,azeri,руч
180,Hase::N,erbi,кӧч
181,Maus::N,sagu,шыр
182,Wolf::N,otso,кӧин
183,Vogel::N,txori,кай
184,Vogel::N,hegazti,кай
185,Schwarm::N,aldra,стая
186,Schwarm::N,aldra,чукӧр
187,Huhn::N,oilo,курӧг
188,Hahn::N,oilar,петух
189,Hahn::N,oilar,ай курӧг
190,Gans::N,antzara,дзодзог
191,Adler::N,arrano,куч
192,Adler::N,arrano,кутш
193,Ente::N,ahate,утка
194,Eule::N,hontza,тупка
195,Kranich::N,kurrilo,тури
196,Krähe::N,bele,рака
197,Kuckuck::N,kuku,кӧк
198,Schwan::N,beltxarga,юсь
199,Fisch::N,arrain,чери
200,Barsch::N,perka,ёкыш
201,Hecht::N,lutxo,сирпинь
202,Schlange[Tier]::N,suge,змей
203,Wurm::N,har,номыр
204,Spinne::N,armiarma,черань
205,Ameise::N,inurri,кӧдзывкар
206,Laus::N,zorri,ляпа той
207,Mücke::N,eltxo,ном
208,Fliege::N,euli,гут
209,Schmetterling::N,pinpirin,бабыв
210,Schmetterling::N,tximeleta,бабыв
211,Beere::N,baia,ягӧд
212,Apfel::N,sagar,яблоко
213,Pilz::N,onddo,тшак
214,Pilz::N,perretxiko,тшак
215,Zwiebel::N,tipula,грез
216,Saat::N,haziak,кӧдзыс
217,Korn::N,ale,сю
218,Korn::N,pikor,сю
219,Heu::N,belar ondu,турун
220,Schale::N,azal,кыш
221,Schale::N,azal,киль
222,Grube::N,hobi,яма
223,Falle::N,harrapagailu,нальк
224,Falle::N,harrapagailu,кляпча
225,Schlinge::N,bilur,лӧч
226,Schlinge::N,xedera,лӧч
227,Spur::N,lorratz,туй
228,Asche::N,errauts,пӧим
229,Dreck::N,satsukeria,нять
230,Eisen::N,burdina,кӧрт
231,Gold::N,urre,зарни
232,Gold::N,urregorri,зарни
233,Silber::N,zilar,язісь
234,Silber::N,urrezuri,язісь
235,Kohle::N,ikatz,шом
236,Kohle::N,ikatz,уголь
237,Glas::N,beira,стекло
238,Lehm::N,buztin,сёй
239,Sand::N,harea,лыа
240,Sand::N,hondar,лыа
241,Mensch::N,gizaki,морт
242,Mann::N,gizon,мужик
243,Frau::N,andere,инька
244,Frau::N,emakume,инька
245,Kind::N,haur,кага
246,Junge::N,mutil,зонка
247,Mädchen::N,neska,нывкаок
248,Familie::N,sendi,семья
249,Familie::N,familia,семья
250,Großvater::N,aitona,дед
251,Großvater::N,aitatxi,дед
252,Großmutter::N,amona,баб
253,Großmutter::N,amatxi,баб
254,Eltern::N,gurasoak,ай-мам
255,Vater::N,aita,ай
256,Mutter::N,ama,мам
257,Sohn::N,seme,зон
258,Tochter::N,alaba,ныв
259,Bruder::N,neba,вон
260,Bruder::N,anaia,вон
261,Schwester::N,ahizpa,сой
262,Onkel::N,osaba,дядь
263,Tante::N,izeba,айӧлӧн сой
264,Tante::N,izeba,ичинь
265,Ehemann::N,senar,жӧник
266,Ehefrau::N,emazte,инь
267,Freude::N,poz,гаж
268,Freude::N,poz,радъялӧм
269,Freude::N,pozkari,гаж
270,Freude::N,pozkari,радъялӧм
271,Gelächter::N,barre,сералӧм
272,Gelächter::N,karkara,сералӧм
273,Glück::N,zori,мичлун
274,Kummer::N,xangrin,шог
275,Kummer::N,atsekabe,шог
276,Wunsch::N,nahi,мӧдӧм
277,Wunsch::N,nahi,охотитӧм
278,Wunsch::N,nahikunde,мӧдӧм
279,Wunsch::N,nahikunde,охотитӧм
280,Lust::N,gogo,охота
281,Geist::N,gogo,лов
282,Gedanke::N,gogoeta,дума
283,Gedächtnis::N,oroimen,тӧдвыв
284,Gedächtnis::N,gogoramen,тӧдвыв
285,Verstand::N,adimen,вежӧр
286,Verstand::N,ulermen,вежӧр
287,Sinn::N,zentzu,ылӧс
288,Grund::N,zergati,мог
289,Wahrheit::N,egia,правда
290,Gespräch::N,hizketa,сёрни
291,Gespräch::N,elkarrizketa,сёрни
292,Märchen::N,ipuin,сказка
293,Erzählung::N,edesti,висьт
294,Erzählung::N,kontakizun,висьт
295,Nachricht::N,albiste,юӧр
296,Nachricht::N,albiste,висьталӧм
297,Neuigkeit::N,berri,новость
298,Name::N,izen,ним
299,Rätsel::N,asmakizun,загадка
300,Rede::N,hitzaldi,сёрни
301,Rede::N,mintzaldi,сёрни
302,Sprache::N,hizkuntza,кыв
303,Stimme::N,ahots,голос
304,Wort::N,hitz,кыв
305,Zeichen::N,agerbide,пас
306,Zeichen::N,agergarri,пас
307,Ruf::N,dei,чуксӧм
308,Ruf::N,dei,чукӧстӧм
309,Lärm::N,zarata,шум
310,Lärm::N,harrabots,шум
311,Laut::N,hots,шы
312,Ton::N,tonu,гор
313,Ton::N,soinu,гор
314,Lied::N,abesti,сьыланкыв
315,Ruhe::N,nasaitasun,спокой
316,Leute::N,jende,йӧз
317,Volk::N,herri,йӧз
318,Volk::N,herri,народ
319,Volk::N,populu,йӧз
320,Volk::N,populu,народ
321,Arbeit::N,lan,удж
322,Gast::N,arrotz,гӧсь
323,Gast::N,apopilo,гӧсь
324,Geschenk::N,opari,гӧснеч
325,Geschenk::N,opari,подарок
326,Spiel::N,jolas,орсӧм
327,Gesellschaft::N,gizarte,компания
328,Hilfe::N,helpide,отсӧт
329,Hilfe::N,laguntza,отсӧт
330,Freund::N,lagun,модз
331,Freund::N,lagun,дружок
332,Kamerad::N,adiskide,тӧдса
333,Kamerad::N,lagunkide,тӧдса
334,Angelegenheit::N,afera,дело
335,Anzahl::N,kopuru,лыд
336,Art::N,mota,пӧлӧс
337,Stück::N,puska,тор
338,Teil::N,atal,юкӧм
339,Hälfte::N,erdi,джын
340,Kreis::N,biribilki,круг
341,Kreuz::N,gurutze,перна
342,Linie::N,linea,визь
343,Strich::N,marra,кырӧв
344,Abstand::N,tarte,колас
345,Entfernung::N,urrunera,ылына
346,Gegend::N,alderdi,места
347,Gegend::N,eskualde,места
348,Platz::N,leku,места
349,Ort::N,toki,места
350,Seite::N,albo,ладор
351,Mitte::N,erdi,шӧр
352,Gegenstand::N,gauzaki,тор
353,Sache::N,gauza,тор
354,Rand::N,ertz,дор
355,Kante::N,ertz,ордлы
356,Ecke::N,kantoi,пельӧс
357,Spitze::N,punta,йыв
358,Ende::N,buru,йыв
359,Ende::N,mutur,йыв
360,Loch::N,zulo,осьта
361,Winkel::N,zoko,пельӧс
362,Winkel::N,bazter,пельӧс
363,Muster::N,eredu,сер
364,Muster::N,marrazki,сер
365,Größe::N,kaizu,ыжда
366,Größe::N,tamaina,ыжда
367,Länge::N,luzera,кузя
368,Höhe::N,goiera,сувда
369,Höhe::N,goiera,вылына
370,Höhe::N,garaiera,сувда
371,Höhe::N,garaiera,вылына
372,Gewicht::N,hazta,сьӧкта
373,Menge::N,kopuru,
374,Haufen::N,pila,куча
375,Haufen::N,mendoi,куча
376,Reihe::N,ilara,лёдз
377,Reihe::N,errenkada,лёдз
378,Boot::N,potin,пыж
379,Boot::N,txalupa,пыж
380,Ruder::N,arraun,пелыс
381,Schlitten::N,lera,додь
382,Schlitten::N,narra,додь
383,Ski::N,eski,лямпа
384,Lagerfeuer::N,su,бипур
385,Last::N,zama,тягота
386,Last::N,karga,тягота
387,Gang::N,ibilera,мунӧм
388,Schritt::N,pauso,вожмӧв
389,Schritt::N,urrats,вожмӧв
390,Norden::N,ipar,ой
391,Norden::N,iparralde,ой
392,Süden::N,hego,лун
393,Süden::N,hegoalde,лун
394,Westen::N,sartalde,рытвыв
395,Westen::N,mendebalde,рытвыв
396,Osten::N,ekialde,асыв
397,Osten::N,sortalde,асыв
398,Holz::N,zur,пу
399,Brett::N,ohol,пӧв
400,Platte::N,lauza,плита
401,Stütze::N,irozgarri,пика
402,Stütze::N,bermagailu,пика
403,Stange::N,haga,зор
404,Stange::N,haga,потш
405,Stock::N,makila,бедь
406,Stab::N,makila,шест
407,Rohr::N,hodi,труба
408,Haus::N,etxe,керку
409,Heim::N,etxe,керку
410,Heim::N,etxaleku,керку
411,Ofen::N,berogailu,пӧжавны
412,Fußboden::N,zoru,джодж
413,Tisch::N,mahai,пызан
414,Stuhl::N,aulki,стул
415,Wiege::N,kuma,зыбка
416,Wiege::N,sehaska,зыбка
417,Bett::N,ohe,кровать
418,Bett::N,ohatze,кровать
419,Regal::N,apalategi,джадж
420,Kiste::N,kutxa,ящик
421,Fenster::N,leiho,ӧшын
422,Tür::N,ate,ыбӧс
423,Tor::N,atari,ворота
424,Zaun::N,hesi,забор
425,Dach::N,teilatu,крыша
426,Leiter::N,zurubi,лиснич
427,Besen::N,erratz,рос
428,Spaten::N,burdinpala,зыр
429,Schaufel::N,pala,зыр
430,Gabel::N,sardexka,вила
431,Löffel::N,koilara,пань
432,Messer::N,aizto,пурт
433,Nagel::N,iltze,кӧрттув
434,Netz::N,sare,кыйӧт
435,Haken::N,mako,ем
436,Griff::N,eskutoki,пу
437,Schloss::N,sarraila,замок
438,Bild::N,irudi,картина
439,Figur::N,figura,мыгӧр
440,Puppe::N,panpina,акань
441,Puppe::N,andrakila,акань
442,Beutel::N,zorro,мешӧк
443,Bündel::N,azao,нин
444,Bündel::N,espal,нин
445,Tasche::N,poltsa,сумка
446,Eimer::N,treska,ведра
447,Deckel::N,tapa,вевт
448,Deckel::N,estalki,вевт
449,Geschirr::N,baxera,доз
450,Geschirr::N,baxera,бекӧрпань
451,Geschirr::N,ontziteria,доз
452,Geschirr::N,ontziteria,бекӧрпань
453,Sack::N,zaku,мешӧк
454,Tasse::N,kikara,бекӧр
455,Topf::N,ontzi,кастрюля
456,Topf::N,lapiko,кастрюля
457,Kessel::N,pazia,пӧрт
458,Essen::N,janaldi,сёйӧм
459,Nahrung::N,jan,вердан
460,Speise::N,jaki,сёян
461,Fleisch::N,okela,яй
462,Fleisch::N,haragi,яй
463,Getreide::N,labore,сю
464,Brei::N,ahi,каша
465,Brei::N,pure,каша
466,Brot::N,ogi,нянь
467,Scheibe::N,xerra,шӧрӧм
468,Scheibe::N,pirripita,шӧрӧм
469,Fett::N,urin,гос
470,Fett::N,koipe,гос
471,Butter::N,gurin,ви
472,Öl::N,olio,ви
473,Salz::N,gatz,сов
474,Suppe::N,zopa,шыд
475,Suppe::N,salda,шыд
476,Honig::N,ezti,ма
477,Milch::N,esne,йӧв
478,Tee::N,te,чай
479,Leder::N,larru,кучик
480,Wolle::N,artile,гӧн
481,Stoff::N,ehun,дӧра
482,Nadel::N,orratz,ем
483,Nadel::N,jostorratz,ем
484,Faden::N,hari,сунис
485,Knopf::N,botoi,кизь
486,Knoten::N,korapilo,узӧв
487,Knoten::N,korapilo,гӧрӧд
488,Farbe::N,pintura,краска
489,Kleidung::N,arropa,паськӧм
490,Kleidung::N,jantziak,паськӧм
491,Hemd::N,atorra,йӧрнӧс
492,Hemd::N,alkandora,йӧрнӧс
493,Kragen::N,idun,воротник
494,Ärmel::N,mahuka,сос
495,Hose::N,prakak,вешьян
496,Hose::N,galtzak,вешьян
497,Gürtel::N,gerriko,йи
498,Mütze::N,txano,шапка
499,Mütze::N,txapel,шапка
500,Schuh::N,oski,ботинки
501,Schuh::N,oinetako,ботинки
502,Stiefel::N,bota,сапог
503,Ring::N,uztai,чунькытш
504,Band::N,zinta,ленточка
505,Band::N,xingola,ленточка
506,Kamm::N,orrazi,сынан
507,Spiegel::N,mirail,зеркало
508,Riemen::N,uhal,ремень
509,Schnur::N,lokailu,гез
510,Leine::N,lotura,повод
511,Decke::N,burusi,одеяло
512,Kissen::N,kuxin,подушка
513,Tuch::N,zapi,чышьян
514,Tuch::N,oihal,чышьян
515,Handtuch::N,eskuzapi,чышкӧт
516,Handtuch::N,eskuoihal,чышкӧт
517,Kraft::N,indar,прак
518,Stärke::N,indar,вын
519,Gesundheit::N,osasun,здоровье
520,Krankheit::N,eritasun,шог
521,Krankheit::N,gaixotasun,шог
522,Schmerz::N,min,зубыт
523,Wunde::N,zauri,рана
524,Fieber::N,sukar,лёк тресся
525,Fieber::N,sukar,кынтан шогӧт
526,Arznei::N,osagai,лекарство
527,Arznei::N,sendagai,лекарство
528,Brücke::N,zubi,пос
529,Brunnen::N,putzu,колодец 
530,Weide::N,alha,пода йирсян
531,Weide::N,bazkaleku,пода йирсян
532,Pfad::N,zidor,туй
533,Pfad::N,bidexka,туй
534,Weg::N,bide,туй
535,Straße::N,errepide,туй
536,Dorf::N,herri,деревня
537,Stadt::N,hiri,город
538,Brief::N,gutun,гижӧт
539,Brief::N,eskutitz,гижӧт
540,Buch::N,liburu,книга
541,Buchstabe::N,hizki,буква
542,Zeitung::N,egunkari,газета
543,Leben::N,bizi,олан
544,Leben::N,bizitza,олан
545,Tod::N,herio,кулӧм
546,Tod::N,heriotza,кулӧм
547,Grab::N,hobi,гу
548,Grab::N,hilobi,гу
549,Kirche::N,eliza,вичку
550,Sünde::N,hoben,грек
551,Sünde::N,bekatu,грек
552,Gott::N,jainko,ен
553,Arbeiter::N,langile,уджалiсь
554,Arbeiter::N,behargin,уджалiсь
555,Chef::N,nagusi,начальник
556,Meister::N,maisu,мастер
557,Arzt::N,osagile,врач
558,Arzt::N,sendagile,врач
559,Lehrer::N,irakasle,велӧтісь
560,Geld::N,diru,деньга
561,Geschäft::N,negozio,удж
562,Laden::N,denda,магазин
563,Laden::N,saltegi,магазин
564,Preis::N,prezio,дон
565,Preis::N,salneurri,дон
566,Ware::N,salgai,товар
567,Nutzen::N,onura,путь
568,Nutzen::N,probetxu,путь
569,Reichtum::N,aberastasun,богатство
570,Welt::N,ludi,му
571,Welt::N,mundu,му
572,Land::N,herrialde,страна
573,Staat::N,estatu,государство
574,König::N,errege,кан
575,Macht::N,botere,власть
576,Grenze::N,muga,граница
577,Krieg::N,guda,война
578,Feind::N,etsai,враг
579,Feind::N,arerio,враг
580,Gewalt::N,bortxa,
581,Gewalt::N,bortizkeria,
582,Kampf::N,gudu,нярасьӧм
583,Kampf::N,gudu,вермасьӧм
584,Kampf::N,auska,нярасьӧм
585,Kampf::N,auska,вермасьӧм
586,Bogen[Waffe]::N,arku,лук
587,Pfeil::N,gezi,ньӧв
588,Gewehr::N,fusil,ружьё
589,Fehler::N,huts,ошибка
590,Fehler::N,hutsegin,ошибка
591,Lüge::N,gezur,ылӧтӧм
592,Lüge::N,gezur,пӧрьялӧм
593,Schaden::N,kalte,лёк
594,Unglück::N,zoritxar,пик
595,Unglück::N,zoritxar,оказзё
596,Unglück::N,zorigaitz,пик
597,Unglück::N,zorigaitz,оказзё
598,Schuld::N,erru,вина
599,Alter::N,adin,
600,Schluss::N,bukaera,ком
601,Zeit::N,aldi,кад
602,Zeit::N,denbora,кад
603,Tag::N,egun,лун
604,Morgen::N,goiz,асыв
605,Mittag::N,eguerdi,луншӧр кад
606,Abend::N,arrats,рыт
607,Nacht::N,gau,ой
608,Woche::N,aste,неделя
609,Monat::N,hil,тӧлicь
610,Jahr::N,urte,год
611,Frühling::N,udalehen,тулыс
612,Sommer::N,uda,гожум
613,Herbst::N,udazken,ар
614,Herbst::N,neguantz,ар
615,Winter::N,negu,тӧв
616,Januar::N,urtarril,январ
617,Februar::N,otsail,февраль
618,März::N,martxo,март
619,April::N,apiril,апрель
620,Mai::N,maiatz,май
621,Juni::N,ekain,юнь
622,Juli::N,uztail,юль
623,August::N,abuztu,август
624,September::N,irail,сентяб
625,Oktober::N,urri,октяб
626,November::N,azaro,нояб
627,Dezember::N,abendu,декаб
628,Montag::N,astelehen,вильлун
629,Dienstag::N,astearte,мӧдӧдзлун
630,Mittwoch::N,asteazken,шӧрлун
631,Donnerstag::N,ostegun,нёльӧдзлун
632,Freitag::N,ostiral,витӧдзлун
633,Samstag::N,larunbat,пывсянлун
634,Sonntag::N,igande,кресення
635,groß::A,handi,ыджыт
636,klein::A,txiki,учӧтик
637,lang::A,luze,кузь
638,kurz::A,labur,дженыт
639,breit::A,zabal,ота
640,schmal::A,mehar,векнит
641,dicht::A,sarri,тшӧк
642,dicht::A,trinko,тшӧк
643,dick[Gegenstand]::A,lodi,кыз
644,dünn::A,mehe,вӧснит
645,fein::A,fin,вӧснит
646,fest::A,tinko,крепыт
647,flach::A,lau,лапкӧса
648,flach::A,ordoki,лапкӧса
649,glatt::A,leun,волькыт
650,hart::A,gogor,чӧрыт
651,weich::A,bigun,небыт
652,weich::A,beratz,небыт
653,rund::A,biribil,гӧгрӧса
654,spitz::A,puntadun,ёся
655,scharf::A,zorrotz,лэчыт
656,stumpf::A,kamuts,ныж
657,schwer::A,astun,сьӧкыт
658,schwer::A,pisutsu,сьӧкыт
659,schön::A,eder,басӧк
660,heiß::A,bero,жар
661,heiß::A,oso bero,жар
662,warm::A,bero,шоныт
663,kalt::A,hotz,кӧдзыт
664,kühl::A,hotzil,сайкыт
665,frisch::A,fresko,виль
666,frisch::A,hozkirri,виль
667,feucht::A,heze,вакодь
668,nass::A,busti,ва
669,trocken::A,siku,кӧс
670,trocken::A,lehor,кӧс
671,voll::A,bete,тыра
672,leer::A,huts,тыртӧм
673,offen::A,ireki,оссьӧм
674,geschlossen::A,itxita,игана
675,geschlossen::A,itxita,пӧдана
676,sauber::A,xahu,сӧдз
677,sauber::A,xahu,сӧстӧм
678,sauber::A,garbi,сӧдз
679,sauber::A,garbi,сӧстӧм
680,schmutzig::A,lohi,нятьӧсь
681,schmutzig::A,zikin,нятьӧсь
682,roh::A,gordin,путӧм
683,reif::A,umo,кисьмалӧм
684,reif::A,heldu,кисьмалӧм
685,lecker::A,goxo,кӧра 
686,süß::A,goxo,чӧскыт
687,bitter::A,karmin,курыт
688,bitter::A,garratz,курыт
689,sauer::A,mingots,шӧма 
690,hell::A,argi,югыт
691,dunkel::A,ilun,пемыт
692,schwarz::A,beltz,сьӧд
693,weiß::A,zuri,чочком
694,rot::A,gorri,гӧрд
695,gelb::A,hori,веж
696,blau::A,urdin,лӧз
697,grün::A,berde,веж
698,grün::A,musker,веж
699,grau::A,urdin,руд
700,grau::A,urdin,бусӧй
701,grau::A,urdinabar,руд
702,grau::A,urdinabar,бусӧй
703,bunt::A,koloretsu,быдрӧма
704,billig::A,merke,донтӧм
705,teuer::A,garesti,дона
706,wertvoll::A,baliotsu,дона
707,blind::A,itsu,синтӧм
708,taub::A,gor,пельтӧм
709,kräftig::A,kementsu,вына
710,stark::A,bizkor,вына
711,stark::A,indartsu,вына
712,schwach::A,ahul,некодя
713,schwach::A,indargabe,некодя
714,fett::A,gizen,госа
715,schlank::A,lerden,статя
716,hübsch::A,polit,басӧк
717,böse::A,tzar,лёк
718,böse::A,gaizto,лёк
719,dumm::A,lelo,бӧбӧв
720,dumm::A,lelo,вежӧртӧм
721,dumm::A,pello,бӧбӧв
722,dumm::A,pello,вежӧртӧм
723,faul::A,nagi,дыш
724,faul::A,alfer,дыш
725,fleißig::A,maratz,уджалicь
726,fleißig::A,lanzale,уджалicь
727,geizig::A,zeken,жикмӧра
728,geizig::A,zeken,горшаліcь
729,geizig::A,zikoitz,жикмӧра
730,geizig::A,zikoitz,горшаліcь
731,klug::A,zuhur,авья
732,klug::A,zuhur,вежӧра
733,geschickt::A,trebe,кипода
734,geschickt::A,antzetsu,кипода
735,lieb::A,maite,муса
736,lieb::A,maite,дзулиньӧй
737,lieb::A,laztan,муса
738,lieb::A,laztan,дзулиньӧй
739,lustig::A,alaitsu,гажа
740,sanft::A,eme,лебезнӧй
741,sanft::A,ezti,лебезнӧй
742,hungrig::A,gose,тшыг
743,krank::A,eri,шогалiсь
744,krank::A,gaixo,шогалiсь
745,nackt::A,biluzi,куш
746,traurig::A,itun,жугыль
747,traurig::A,betilun,жугыль
748,lebendig::A,bizirik,ловья
749,gut::A,on,бур
750,schlecht::A,txar,умӧль
751,richtig::A,zuzen,
752,schlimm::A,larri,нештӧм
753,wahr::A,egiazko,
754,alt::A,zahar,важ
755,neu::A,berri,виль
756,ehemalig::A,lehengo,вӧвлӧм
757,alt[Lebewesen]::A,adindun,года
758,alt[Lebewesen]::A,adindun,годдэза
759,jung::A,gazte,том
760,arm::A,txiro,гов
761,arm::A,txiro,беднӧй
762,arm::A,behartsu,гов
763,arm::A,behartsu,беднӧй
764,reich::A,dirudun,эма
765,bekannt::A,ezagun,тӧдса
766,berühmt::A,entzun,
767,berühmt::A,ospetsu,
768,fremd::A,arrotz,чужӧй
769,verschieden::A,ezberdin,быдкодь
770,verschieden::A,desberdin,быдкодь
771,nah::A,hurre,матiсь
772,nah::A,hurbil,матiсь
773,fern::A,urrun,ылicь
774,linker::A,ezker,шульга
775,rechter::A,eskuin,веськытланись
776,anderer::A,beste,мукӧд
777,erster::A,lehen,медодзза
778,erster::A,aurren,медодзза
779,zweiter::A,bigarren,кыкӧт
780,dritter::A,hirugarren,куимӧт
781,dritter::A,hirugarren,куимӧдз
782,letzter::A,azken,бӧрья
783,letzter::A,azken,мёдбӧрья
784,letzter::A,hondar,бӧрья
785,letzter::A,hondar,мёдбӧрья
786,allein::ADV,bakarrik,
787,auf einmal::ADV,batera,тшӧтш
788,zusammen::ADV,elkarrekin,ӧтлаын
789,lange::ADV,luzaro,дыр
790,plötzlich::ADV,bat-batean,друг
791,sofort::ADV,berehala,тшӧтш
792,später::ADV,gero,медбӧрын
793,jetzt::ADV,orain,ӧні
794,heute::ADV,gaur,талун
795,morgen::ADV,bihar,ашын
796,bald::ADV,aurki,чожа
797,bald::ADV,laster,чожа
798,dann::ADV,ondoren,сыбӧрын
799,gestern::ADV,atzo,тӧн
800,einst::ADV,antzina,ӧтпыр
801,damals::ADV,orduan,сэк
802,damals::ADV,orduan,сэки
803,danach::ADV,gerora,сэсся
804,danach::ADV,ondoren,сэсся
805,vorher::ADV,lehenago,одзжык
