,Concept_ID,he,ba
75,Wetter::N,מזג אויר,һауа торошо
76,Nebel::N,ערפל,төман
77,Wolke::N,ענן,болот
78,Regen::N,גשם,ямғыр
79,Schnee::N,שלג,ҡар
80,Eis::N,קרח,боҙ
81,Frost::N,צנה,һалҡын
82,Kälte::N,קר,һыуыҡ
83,Hitze::N,חם,томра
84,Hitze::N,חם,эҫелек
85,Raureif::N,כפור,ҡырау
86,Regenbogen::N,קשת,йәйғор
87,Donner::N,רעם,күк күкрәү
88,Strömung::N,זרימה,ағым
89,Tropfen::N,טפה,тамсы
90,Schaum::N,קצף,күбек
91,Schmutz::N,לכלוך,батҡаҡ
92,See::N,אגם,күл
93,Sumpf::N,בצה,һаҙлык
94,Moor::N,בצה,һаҙ
95,Wiese::N,מרעה,болон
96,Wald::N,יער,урман
97,Hügel::N,תל,түбә
98,Anhöhe::N,מעלה,түбә
99,Anhöhe::N,מעלה,ҡалҡыулыҡ
100,Berg::N,הר,тау
101,Gipfel::N,פסגה,түбә
102,Höhle::N,מערה,мәмерйә
103,Abhang::N,מדרון,ипкен
104,Abhang::N,שפוע,ипкен
105,Quelle::N,מעין,шишмә
106,Bach::N,נחל,шишмә
107,Fluss::N,נהר,йылға
108,Ufer::N,גדה,яр
109,Küste::N,חוף,яр буйы
110,Festland::N,יבשה,ҡоро ер
111,Meer::N,ים,диңгез
112,Bucht::N,מפרץ,бухта
113,Insel::N,אי,үтрау
114,Blume::N,פרח,сәскә
115,Gras::N,דשא,үлән
116,Wurzel::N,שרש,тамыр
117,Baum::N,עץ,ағас
118,Stamm::N,גזע,олон
119,Stamm::N,גזע,көбәк
120,Rinde::N,קלפת עץ,ҡабыҡ
121,Ast::N,ענף,ботаҡ
122,Zweig::N,ענף,ботаҡ
123,Zweig::N,ענף,тармаҡ
124,Blatt::N,עלה,япраҡ
125,Birke::N,שדר,ҡайын
126,Kiefer[Baum]::N,ארן,ҡарғай
127,Weide[Baum]::N,ערבה,тал
128,Tanne::N,אשוח,шыршы
129,Horn::N,קרן,мөғөҙ
130,Feder::N,נוצה,ҡауырһын
131,Fell::N,פרוה,тире
132,Flügel::N,כנף,ҡанат
133,Klaue::N,טלף,тырнаҡ
134,Kralle::N,טפר,аяҡ
135,Schwanz::N,זנב,ҡойроҡ
136,Ei::N,ביצה,йомортҡа
137,Nest::N,קן,оя
138,Bau::N,מחלה,оң
139,Tier::N,חיה,жайуан
140,Tier::N,חיה,йыртҡыс
141,Herde::N,עדר,көтөү
142,Kuh::N,פרה,һыйыр
143,Bulle::N,פר,үгеҙ
144,Pferd::N,סוס,ат
145,Schaf::N,כבשה,һарыҡ
146,Schwein::N,חזיר,сусҡа
147,Hund::N,כלב,эт
148,Katze::N,חתול,бесәй
149,Bär::N,דב,айыу
150,Eichhörnchen::N,סנאי,тейен
151,Elch::N,דישון,мышы
152,Fuchs::N,שועל,төлкө
153,Hase::N,ארנב,ҡуян
154,Maus::N,עכבר,сысҡан
155,Wolf::N,זאב,бүре
156,Vogel::N,צפור,ҡош
157,Schwarm::N,נחיל,көтөү
158,Schwarm::N,להקה,көтөү
159,Huhn::N,תרנגלת,тауыҡ
160,Hahn::N,תרנגול,әтәс
161,Gans::N,אוז,ҡаҙ
162,Adler::N,עיט,бөркөт
163,Ente::N,ברוז,өйрәк
164,Eule::N,ינשוף,өкө
165,Eule::N,ינשוף,ябалаҡ
166,Kranich::N,עגור,торна
167,Kranich::N,כרוכיה,торна
168,Krähe::N,עורב,ҡарға
169,Kuckuck::N,קוקיה,кәкүк
170,Schwan::N,ברבור,аҡҡош
171,Fisch::N,דג,балыҡ
172,Barsch::N,אוקונוס,алабуға
173,Hecht::N,זאב הים,суртан
174,Schlange[Tier]::N,נחש,йылан
175,Wurm::N,תולעת,селяүсен
176,Spinne::N,עכביש,үрмәксе
177,Ameise::N,נמלה,ҡырмыҫҡа
178,Laus::N,כנה,бет
179,Mücke::N,יתוש,серәкәй
180,Fliege::N,זבוב,себен
181,Schmetterling::N,פרפר,күбәләк
182,Beere::N,ענבה,еләк
183,Apfel::N,תפוח,алма
184,Pilz::N,פטריה,бәшмәк
185,Zwiebel::N,בצל,һуган
186,Saat::N,זרעים,орлоҡ
187,Korn::N,גרעין,иген
188,Heu::N,חציר,бесән
189,Schale::N,קלפה,ҡабыҡ
190,Grube::N,בור,соҡор
191,Grube::N,שוחה,соҡор
192,Falle::N,מלכדת,тоҙак
193,Falle::N,מלכדת,ҡапҡан
194,Schlinge::N,לולאה,тоҙак
195,Spur::N,עקבה,әҫер
196,Asche::N,אפר,көл
197,Dreck::N,זהמה,батҡаҡ
198,Eisen::N,ברזל,тимер
199,Gold::N,זהב,алтын
200,Silber::N,כסף,көмөш
201,Kohle::N,פחם,күмер
202,Glas::N,זכוכית,быяла
203,Lehm::N,חרסית,балсыҡ
204,Sand::N,חול,ҡом
205,Mensch::N,אדם,кеше
206,Mann::N,איש,ир
207,Mann::N,גבר,ир
208,Frau::N,אשה,ҡатын
209,Frau::N,גברת,ҡатын
210,Kind::N,ילד,бала
211,Junge::N,ילד,малай
212,Mädchen::N,נערה,ҡыҙ
213,Mädchen::N,נערה,ҡыҙыҡай
214,Familie::N,משפחה,ғаилә
215,Großvater::N,סבא,олатай
216,Großmutter::N,סבתא,әбәй
217,Eltern::N,הורים,ата-әсә
218,Vater::N,אב,атай
219,Mutter::N,אם,әсә
220,Sohn::N,בן,ул
221,Tochter::N,בת,ҡыҙ
222,Bruder::N,אח,агай
223,Schwester::N,אחות,алай
224,Schwester::N,אחות,һеңле
225,Onkel::N,דוד,ағай
226,Tante::N,דודה,апай
227,Ehemann::N,איש,ир
228,Ehemann::N,בעל,ир
229,Ehefrau::N,אשה,ҡатын
230,Freude::N,שמחה,шатлыҡ
231,Freude::N,שמחה,ҡыуаныс
232,Gelächter::N,צחוק,көлөү
233,Glück::N,אשר,бәхет
234,Kummer::N,יגון,ҡайғы
235,Kummer::N,עגמה,ҡайғы
236,Wunsch::N,אחול,теләк
237,Wunsch::N,משאלה,теләк
238,Lust::N,חשק,әүәҫлек
239,Lust::N,תשוקה,әүәҫлек
240,Geist::N,רוח,аң
241,Geist::N,רוח,рух
242,Gedanke::N,מחשבה,уй
243,Gedanke::N,מחשבה,фекер
244,Gedächtnis::N,זכרון,хәтер
245,Verstand::N,שכל,аҡыл
246,Sinn::N,מובן,мәғәня
247,Sinn::N,משמעות,мәғәня
248,Grund::N,סבה,сәбәп
249,Wahrheit::N,אמת,дөрөҫлөк
250,Gespräch::N,דיון,әңгәмә
251,Märchen::N,אגדה,әкиәт
252,Erzählung::N,ספור,хикәйә
253,Nachricht::N,ידיעה,хәбәр
254,Neuigkeit::N,חדשה,яңылыҡ
255,Name::N,שם,исем
256,Rätsel::N,תעלומה,йомаҡ
257,Rede::N,נאום,телмәр
258,Sprache::N,לשון,тел
259,Sprache::N,לשון,телмәр
260,Stimme::N,קול,тауыш
261,Wort::N,מלה,һүҙ
262,Zeichen::N,סימן,билдә
263,Ruf::N,קריאה,саҡырыу
264,Lärm::N,רעש,шаулау
265,Laut::N,הגה,тауыш
266,Ton::N,צליל,яңғырау
267,Lied::N,שיר,йыр
268,Ruhe::N,שלוה,ял
269,Ruhe::N,שלוה,тыныслыҡ
270,Leute::N,אנשים,кешеләр
271,Volk::N,עם,халҡ
272,Arbeit::N,עבודה,эш
273,Gast::N,אורח,ҡунаҡ
274,Geschenk::N,מתנה,бүләк
275,Spiel::N,משחק,уйын
276,Gesellschaft::N,חברה,йәмғиәт
277,Hilfe::N,עזרה,ярҙам
278,Freund::N,חבר,дуҫ
279,Freund::N,ידיד,дуҫ
280,Kamerad::N,רע,иптәш
281,Angelegenheit::N,ענין,әш
282,Anzahl::N,מספר,һан
283,Art::N,סוג,төр
284,Stück::N,חתיכה,киҫәк
285,Teil::N,פרק,өлөш
286,Hälfte::N,חצי,ярты
287,Kreis::N,מעגל,түңәрәк
288,Kreuz::N,צלב,тәре
289,Linie::N,קו,һыҙыҡ
290,Strich::N,קו קצר,һыҙат
291,Abstand::N,מרחק,ара
292,Entfernung::N,מרחק,алыҫлыҡ
293,Gegend::N,נוף,урын
294,Platz::N,שטח,арауыҡ
295,Ort::N,אתר,ерҙәр
296,Ort::N,אתר,урындар
297,Ort::N,אתר,эш урыны
298,Ort::N,מקום,ерҙәр
299,Ort::N,מקום,урындар
300,Ort::N,מקום,эш урыны
301,Seite::N,צד,яҡ
302,Mitte::N,אמצע,урталыҡ
303,Gegenstand::N,אוביקט,нәмә
304,Sache::N,דבר,нәмә
305,Sache::N,דבר,әйбер
306,Rand::N,פרור,сит
307,Kante::N,קצה,ҡабырға
308,Kante::N,קצה,ян
309,Ecke::N,פנה,мөйөш
310,Spitze::N,קצה,ос
311,Ende::N,סוף,аҙаҡ
312,Loch::N,חר,тишек
313,Winkel::N,פנה,мөйөш
314,Muster::N,תבנית,биҙәк
315,Größe::N,גדל,ҙурлыҡ
316,Länge::N,ארך,оҙонлоҡ
317,Höhe::N,קומה,бейеклек
318,Höhe::N,גבה,бейеклек
319,Gewicht::N,משקל,үлсәү
320,Menge::N,כמות,һан
321,Haufen::N,ערמה,өйөм
322,Reihe::N,רצף,рәт
323,Boot::N,סירה,кәмә
324,Ruder::N,משוט,ишкәк
325,Schlitten::N,מזחלת,сана
326,Ski::N,מגלשים,саңгы
327,Lagerfeuer::N,מדורה,костер
328,Last::N,משא,ауырлыҡ
329,Gang::N,הליכה,барыу
330,Schritt::N,צעד,аҙым
331,Norden::N,צפון,төньяҡ
332,Süden::N,דרום,көньяҡ
333,Westen::N,מערב,көнбайыш
334,Osten::N,מזרח,көнсығыш
335,Holz::N,עץ,үағас
336,Brett::N,קרש,таҡта
337,Platte::N,לוח,плита
338,Stütze::N,משען,терәк
339,Stange::N,מוט,кәртә
340,Stock::N,מקל,таяҡ
341,Stab::N,מוט,ҡолға
342,Rohr::N,צנור,торба
343,Haus::N,בית,өй
344,Haus::N,בית,йорт
345,Heim::N,בית,өй
346,Ofen::N,תנור,мейес
347,Fußboden::N,רצפה,енес
348,Tisch::N,שלחן,өҫтәл
349,Stuhl::N,כסא,ултырғыс
350,Wiege::N,ערש,бишек
351,Bett::N,מטה,карауат
352,Regal::N,מדף,кәштә
353,Kiste::N,תבה,йәшинк
354,Kiste::N,ארגז,йәшинк
355,Fenster::N,חלון,тәҙрә
356,Tür::N,דלת,ишек
357,Tor::N,שער,ҡапҡа
358,Zaun::N,גדר,ҡойма
359,Dach::N,גג,түбә
360,Dach::N,גג,ҡыйыҡ
361,Leiter::N,סלם,баҫҡыс
362,Besen::N,מטאטא,һепертке
363,Spaten::N,את,көрәк
364,Schaufel::N,את,көрәк
365,Gabel::N,מזלג,сәнске
366,Löffel::N,כף,ҡалаҡ
367,Messer::N,סכין,бысаҡ
368,Nagel::N,מסמר,сөй
369,Netz::N,רשת,ау
370,Haken::N,וו,ыргаҡ
371,Haken::N,קרס,ыргаҡ
372,Griff::N,ידית,тотҡа
373,Schloss::N,מנעול,йоҙаҡ
374,Bild::N,תמונה,картина
375,Figur::N,פסל,һын
376,Puppe::N,בבה,ҡурсаҡ
377,Beutel::N,שק,тоҡ
378,Bündel::N,צרור,төргәк
379,Tasche::N,שקית,сумка
380,Eimer::N,דלי,биҙрә
381,Deckel::N,מכסה,ҡапҡас
382,Geschirr::N,כלים,һауыт-һаба
383,Sack::N,שק,тоҡ
384,Tasse::N,ספל,сынаяҡ
385,Topf::N,סיר,кәстрүл
386,Kessel::N,קנקן,ҡаҙан
387,Essen::N,אכל,ашау
388,Essen::N,ארוחה,ашау
389,Nahrung::N,הזנה,аҙыҡ
390,Nahrung::N,תזונה,аҙыҡ
391,Speise::N,מאכל,аш
392,Speise::N,ארוחה,аш
393,Fleisch::N,בשר,ит
394,Getreide::N,דגן,иген
395,Getreide::N,דגן,ашлыҡ
396,Brei::N,מחית,бутҡа
397,Brot::N,לחם,икмәк
398,Scheibe::N,עגול,телем
399,Scheibe::N,פרוסה,телем
400,Fett::N,שמן,май
401,Butter::N,חמאה,май
402,Öl::N,שמן,май буяуы
403,Salz::N,מלח,тоҙ
404,Suppe::N,מרק,һурпа
405,Honig::N,דבש,бал
406,Milch::N,חלב,һөт
407,Tee::N,תה,сәй
408,Leder::N,עור,күн
409,Wolle::N,צמר,йөн
410,Stoff::N,בד,туҡыма
411,Stoff::N,אריג,туҡыма
412,Nadel::N,מחט,энә
413,Faden::N,חוט,еп
414,Knopf::N,כפתור,төймә
415,Knoten::N,קשר,төйөн
416,Farbe::N,צבע,буяу
417,Kleidung::N,בגדים,кейем
418,Hemd::N,חלצה,күлдәк
419,Kragen::N,צוארון,яға
420,Ärmel::N,שרוול,ең
421,Hose::N,מכנסים,салбар
422,Gürtel::N,חגורה,ҡайыш
423,Mütze::N,כובע,бүрк
424,Schuh::N,נעל,туфли
425,Stiefel::N,מגף,итек
426,Ring::N,טבעת,йөҙөк
427,Ring::N,טבעת,балдаҡ
428,Band::N,סרט,таҫма
429,Kamm::N,מסרק,тараҡ
430,Spiegel::N,מראה,көзгө
431,Riemen::N,רצועה,ҡайыш
432,Schnur::N,חבל,бау
433,Leine::N,מושכות,бау
434,Decke::N,שמיכה,одеяд
435,Kissen::N,כרית,мендәр
436,Tuch::N,צעיף,яулыҡ
437,Handtuch::N,מגבת,таҫтамал
438,Kraft::N,כוח,көс
439,Stärke::N,און,көс
440,Gesundheit::N,בריאות,һаулыҡ
441,Krankheit::N,מחלה,сир
442,Krankheit::N,מחלה,ауырыу
443,Schmerz::N,כאב,һыҙлау
444,Schmerz::N,כאב,әрнеү
445,Wunde::N,פציעה,йәрәхәт
446,Fieber::N,חם,тапма
447,Fieber::N,חם,биҙгәк
448,Arznei::N,תרופה,дарыу
449,Brücke::N,גשר,күпер
450,Brunnen::N,באר,ҡоҙоҡ
451,Weide::N,אחו,көтөүлек
452,Weide::N,מרעה,көтөүлек
453,Pfad::N,שביל,һуҡмаҡ
454,Pfad::N,מדרכה,һуҡмаҡ
455,Weg::N,דרך,юл
456,Straße::N,כביש,урам
457,Dorf::N,כפר,ауыл
458,Stadt::N,עיר,ҡала
459,Brief::N,מכתב,хат
460,Buch::N,ספר,китап
461,Buch::N,ספר,кенәгә
462,Buchstabe::N,אות,хәреф
463,Zeitung::N,עתון,гәзит
464,Leben::N,חיים,йәшәү
465,Tod::N,מות,үлем
466,Grab::N,קבר,ҡәбер
467,Kirche::N,כנסיה,сиркәү
468,Sünde::N,חטא,гөнаһ
469,Gott::N,אל,алла
470,Gott::N,אל,хоҙай
471,Arbeiter::N,פועל,эшсе
472,Chef::N,ראש,башлыҡ
473,Chef::N,מנהל,башлыҡ
474,Meister::N,ממחה,оҫта
475,Arzt::N,רופא,врач
476,Lehrer::N,מורה,уҡытыусы
477,Geld::N,כסף,аҡса
478,Geschäft::N,עסקה,эш
479,Laden::N,חנות,магазин
480,Preis::N,מחיר,хаҡ
481,Ware::N,סחורה,тауар
482,Nutzen::N,תועלת,файҙа
483,Reichtum::N,עשר,байлыҡ
484,Welt::N,עולם,донъя
485,Land::N,ארץ,ил
486,Staat::N,מדינה,дәүләт
487,König::N,מלך,король
488,Macht::N,כוח,власть
489,Grenze::N,גבול,сик
490,Krieg::N,מלחמה,һуғыш
491,Feind::N,אויב,йылан
492,Gewalt::N,אלימות,көслөк
493,Kampf::N,קרב,көрәш
494,Kampf::N,לחימה,көрәш
495,Bogen[Waffe]::N,קשת,йәйә
496,Pfeil::N,חץ,уҡ
497,Gewehr::N,רובה,мылтыҡ
498,Fehler::N,טעות,хата
499,Lüge::N,שקר,ялған
500,Schaden::N,נזק,зыян
501,Schaden::N,נזק,зарар
502,Unglück::N,מזל רע,ҡаза
503,Schuld::N,אשמה,ғәйеп
504,Alter::N,גיל,йәш
505,Schluss::N,סיום,һуң
506,Schluss::N,סיום,аҙаҡ
507,Zeit::N,זמן,мәл
508,Zeit::N,זמן,заман
509,Tag::N,יום,көн
510,Morgen::N,בקר,иртә
511,Morgen::N,בקר,иртәнсәк
512,Mittag::N,צהרים,төш
513,Abend::N,ערב,кис
514,Nacht::N,לילה,төн
515,Woche::N,שבוע,аҙна
516,Monat::N,חדש,ай
517,Jahr::N,שנה,йыл
518,Frühling::N,אביב,яҙ
519,Sommer::N,קיץ,йәй
520,Herbst::N,סתו,көз
521,Winter::N,חרף,ҡыш
522,Januar::N,ינואר,ғинуар
523,Februar::N,פברואר,февраль
524,März::N,מרץ,март
525,April::N,אפריל,апрель
526,Mai::N,מאי,май
527,Juni::N,יוני,июнь
528,Juli::N,יולי,июль
529,August::N,אוגוסט,август
530,September::N,ספטמבר,сентябрь
531,Oktober::N,אוקטובר,октябрь
532,November::N,נובמבר,ноябрь
533,Dezember::N,דצמבר,декабрь
534,Montag::N,יום שני,дүшәмбе
535,Dienstag::N,יום שלישי,шишәмбе
536,Mittwoch::N,יום רביעי,шаршамбы
537,Donnerstag::N,יום חמישי,кесаҙна
538,Freitag::N,יום ששי,йома
539,Samstag::N,יום שבת,шәмбе
540,Sonntag::N,יום ראשון,йәкшәмбе
541,groß::A,גדול,ҙур
542,klein::A,קטן,бәләкәс
543,lang::A,ארך,оҙон
544,kurz::A,קצר,ҡыҫҡа
545,breit::A,רחב,киң
546,schmal::A,צר,тар
547,dicht::A,צפוף,йыш
548,dicht::A,צפוף,ҡуйы
549,dick[Gegenstand]::A,עבה,ҡалын
550,dünn::A,דק,йоҡа
551,dünn::A,דק,нәҙек
552,fein::A,מעדן,нескә
553,fest::A,מוצק,ныҡ
554,flach::A,שטוח,яҫы
555,flach::A,שטוח,ялпаҡ
556,glatt::A,חלק,шыма
557,hart::A,קשיח,ҡаты
558,weich::A,רך,йомшаҡ
559,rund::A,עגל,түңәрәк
560,spitz::A,חד,осло түбәле
561,scharf::A,חד,үткер
562,stumpf::A,קהה,утмәҫ
563,schwer::A,כבד,ауыр
564,schön::A,יפה,матур
565,heiß::A,חם,эҫе
566,warm::A,חם,йылы
567,kalt::A,קר,һыуыҡ
568,kühl::A,צונן,һалҡынса
569,frisch::A,טרי,һалҡынса
570,feucht::A,לח,еүеш
571,feucht::A,לח,дымлы
572,nass::A,רטוב,еүеш
573,trocken::A,יבש,кипкән
574,voll::A,מלא,тулы
575,leer::A,ריק,буш
576,offen::A,פתוח,асыҡ
577,geschlossen::A,סגור,ябыҡ
578,sauber::A,נקי,таҙа
579,schmutzig::A,מלכלך,бысраҡ
580,roh::A,חי,сей
581,reif::A,בשל,өлгөрғән
582,lecker::A,טעים,тәмле
583,süß::A,מתוק,тямле
584,süß::A,מתוק,тәм-том
585,bitter::A,מר,әсе
586,sauer::A,חמוץ,әсе
587,hell::A,בהיר,яҡты
588,dunkel::A,עמום,ҡараңғы
589,schwarz::A,שחר,ҡара
590,weiß::A,לבן,аҡ
591,rot::A,אדם,матур
592,rot::A,אדם,һылыу
593,rot::A,אדם,сибәр
594,gelb::A,צהב,һары
595,blau::A,כחל,күк
596,grün::A,ירק,йәшел
597,grau::A,אפר,буҙ
598,bunt::A,צבעוני,сыбар
599,bunt::A,צבעוני,ала-ҡола
600,billig::A,זול,арзан
601,teuer::A,יקר,ҡыйбатлы
602,wertvoll::A,יקר ערך,ҡиммәтле
603,blind::A,עור,һуҡыр
604,taub::A,חרש,һаңғырау
605,kräftig::A,חסן,көслө
606,kräftig::A,חסן,ҡеүәтле
607,stark::A,חזק,көслө
608,stark::A,חזק,ҡеүәтле
609,schwach::A,חלש,көсһөҙ
610,fett::A,שמן,һимеҙ
611,schlank::A,רזה,зифа
612,hübsch::A,יפה תאר,матур
613,böse::A,רשע,асыулы
614,dumm::A,טפש,иҫәр
615,faul::A,עצלן,иренсәк
616,fleißig::A,חרוץ,тырыш
617,geizig::A,קמצן,һаран
618,klug::A,נבון,аҡыллы
619,klug::A,פקח,аҡыллы
620,geschickt::A,מימן,оҫта
621,lieb::A,יקר,яғымлы
622,lieb::A,אהוב,яғымлы
623,lustig::A,עליז,күңелле
624,sanft::A,עדין,йыуаш
625,hungrig::A,רעב,ас
626,krank::A,חולה,сирле
627,krank::A,חולה,ауырыу
628,nackt::A,ערום,яланғас
629,traurig::A,עצוב,яманһыу
630,lebendig::A,חי,тере
631,lebendig::A,חי,йәнле
632,gut::A,טוב,яҡшы
633,schlecht::A,גרוע,хөрт
634,schlecht::A,גרוע,алама
635,richtig::A,נכון,дөрөҫ
636,schlimm::A,רע,хөрт
637,schlimm::A,רע,алама
638,wahr::A,אמתי,дөрөҫ
639,alt::A,ישן,иҫке
640,alt::A,ישן,боронғо
641,neu::A,חדש,яңы
642,ehemalig::A,לשעבר,элекке
643,alt[Lebewesen]::A,זקן,ҡарт
644,jung::A,צעיר,йәш
645,arm::A,עני,фәҡир
646,reich::A,עשיר,бай
647,bekannt::A,ידוע,таныш
648,berühmt::A,מפרסם,атаҡлы
649,berühmt::A,מפרסם,данлыҡлы
650,fremd::A,זר,ят
651,fremd::A,זר,сит
652,verschieden::A,שונה,төрлө
653,nah::A,קרוב,яҡын
654,fern::A,רחוק,алыҫ
655,fern::A,רחוק,йыраҡ
656,linker::A,שמאלי,һул
657,rechter::A,ימין,уң
658,anderer::A,אחר,бутән
659,erster::A,ראשון,тәүге
660,zweiter::A,שני,икенсе
661,dritter::A,שלישי,өсөнсө
662,letzter::A,אחרון,һуңғы
663,allein::ADV,לבד,бер үҙе
664,allein::ADV,לבד,яңғыҙ
665,auf einmal::ADV,בו-זמנית,бер юлы
666,zusammen::ADV,ביחד,бергә
667,lange::ADV,הרבה זמן,оҙаҡ
668,plötzlich::ADV,לפתע,ҡапыл
669,plötzlich::ADV,פתאום,ҡапыл
670,sofort::ADV,מיד,шунда уҡ
671,später::ADV,לאחר זמן,һуңыраҡ
672,später::ADV,יותר מאחר,һуңыраҡ
673,jetzt::ADV,עכשיו,хәҙер
674,heute::ADV,היום,бөгөн
675,morgen::ADV,מחר,иртәгә
676,bald::ADV,בקרוב,тиҙҙән
677,dann::ADV,אחר-כך,һуңынан
678,gestern::ADV,אתמול,кисә
679,einst::ADV,לפנים,ҡасандыр
680,einst::ADV,לפנים,бер баҡыт
681,damals::ADV,אז,ул саҡта
682,danach::ADV,אחר-כך,һуңынан
683,vorher::ADV,לפני זה,элек
684,zuerst::ADV,קדם,башта
685,einmal::ADV,פעם,бер
686,manchmal::ADV,לפעמים,ҡайһы берҙә
687,oft::ADV,לעתים קרובות,йыш
688,immer::ADV,תמיד,һәр ҡасан
689,niemals::ADV,אף פעם,бер ҡасан да
690,niemals::ADV,אף פעם,бер ваҡытта ла
691,hier::ADV,כאן,бында
692,hierhin::ADV,פה,бында
693,von hier::ADV,מפה,бынан
694,von hier::ADV,מפה,ошонан
695,dort::ADV,שם,шунда
696,dort::ADV,שם,тегендә
697,dorthin::ADV,שם,шунда
698,dorthin::ADV,שם,тегеләй
699,geradeaus::ADV,ישר,тура
700,vorwärts::ADV,קדימה,алға
701,rückwärts::ADV,לאחור,кирегә
702,zurück::ADV,בחזרה,кирегә
703,zurück::ADV,אחורנית,кирегә
704,unten::ADV,למטה,түбәндә
705,hinab::ADV,למטה,түбәнгә
706,oben::ADV,מעל,юғарыла
707,oben::ADV,למעלה,юғарыла
708,hinauf::ADV,למעלה,юғарыға
709,überall::ADV,בכל מקום,бөтә урында
710,nicht::ADV,לא,тугел
711,ein wenig::ADV,קצת,аҙ
712,kaum::ADV,בקשי,көскә
713,kaum::ADV,בקשי,саҡ-саҡ
714,sehr::ADV,מאוד,ифат
715,so::ADV,כך,шулай
716,so::ADV,ככה,шулай
717,noch::ADV,עוד,йәнә
718,noch::ADV,עדין,йәнә
719,nur::ADV,רק,бары
720,schon::ADV,כבר,инде
721,wieder::ADV,שוב,тағы
722,vergebens::ADV,לריק,бушҡа
723,vergebens::ADV,לשוא,бушҡа
724,vor::PRP,מול,алдында
725,hinter::PRP,מאחורי,артында
726,unter::PRP,מתחת,аҫтында
727,durch::PRP,דרך,үтә
728,neben::PRP,ליד,эргәһендә
729,neben::PRP,על-יד,эргәһендә
730,zwischen::PRP,בין,араһында
731,wegen::PRP,בשל,өсөн
732,wegen::PRP,בשל,сәбәпле
733,wegen::PRP,בגלל,өсөн
734,wegen::PRP,בגלל,сәбәпле
735,dies::PRN,זה,был
736,dies::PRN,זה,ошо
737,das::PRN,זה,ул
738,alles::PRN,הכל,бөтә
739,ich::PRN,אני,мин
740,du::PRN,את,һин
741,du::PRN,אתה,һин
742,er::PRN,הוא,ул
743,wir::PRN,אנחנו,беҙ
744,ihr::PRN,לה,һеҙ
745,sie::PRN,הם,улар
746,was::FPRN,מה,ә
747,was::FPRN,מה,ни
748,was::FPRN,מה,нәмә
749,wer::FPRN,מי,ҡем
750,wo::FADV,איפה,ҡайҙа
751,wohin::FADV,לאן,ҡайҙа
752,wie::FADV,איך,инидәй
753,warum::FADV,למה,ин өсөн
754,wieviel::FNUM,כמה,күпме
755,eins::NUM,אחד,бер
756,zwei::NUM,שתים,ике
757,zwei::NUM,שתים,икәү
