,Concept_ID,ja,cv
192,Korn::N,粒,пӗрчӗ
193,Heu::N,干し草,утӑ
194,Schale::N,皮,хупӑ
195,Grube::N,穴,шӑтӑк
196,Falle::N,わな,тапӑ
197,Falle::N,わな,капкӑн
198,Schlinge::N,輪,йӑлӑ
199,Spur::N,跡,йӗр
200,Asche::N,灰,кӗл
201,Dreck::N,泥,пылчӑк
202,Eisen::N,鉄,тимӗр
203,Gold::N,金,ылтӑн
204,Silber::N,銀,кӗмӗл
205,Kohle::N,炭,кӑмрӑк
206,Glas::N,ガラス,кӗленче
207,Lehm::N,ローム,тӑм
208,Sand::N,砂,хӑйӑр
209,Mensch::N,人,ҫын
210,Mensch::N,人,этем
211,Mann::N,男,ар
212,Mann::N,男性,ар
213,Frau::N,女,хӗрарӑм
214,Frau::N,女性,хӗрарӑм
215,Kind::N,子,ача
216,Kind::N,子供,ача
217,Junge::N,男の子,ача
218,Junge::N,男の子,ар ҫын ача
219,Mädchen::N,女の子,хӗр ача
220,Familie::N,家族,ҫемье
221,Familie::N,家族,кил-йыш
222,Großvater::N,祖父,кукаҫи
223,Großvater::N,おじいさん,кукаҫи
224,Großmutter::N,祖母,кукамай
225,Großmutter::N,おばあさん,кукамай
226,Eltern::N,親,аҫа-ама
227,Eltern::N,両親,аҫа-ама
228,Vater::N,父,атте
229,Vater::N,お父さん,атте
230,Mutter::N,母,анне
231,Mutter::N,お母さん,анне
232,Sohn::N,息子,ывӑл
233,Sohn::N,息子さん,ывӑл
234,Tochter::N,娘,хӗр
235,Tochter::N,お嬢さん,хӗр
236,Bruder::N,弟,ар тӑван
237,Schwester::N,妹,аппа
238,Schwester::N,妹,йӑмӑк
239,Onkel::N,伯父,мучи
240,Onkel::N,伯父,пичче
241,Onkel::N,伯父さん,мучи
242,Onkel::N,伯父さん,пичче
243,Tante::N,叔母,аппа
244,Tante::N,叔母さん,аппа
245,Ehemann::N,夫,упӑшка
246,Ehemann::N,主人,упӑшка
247,Ehefrau::N,妻,арӑм
248,Ehefrau::N,奥さん,арӑм
249,Freude::N,喜び,савӑнӑҫ
250,Freude::N,喜び,хаваслӑх
251,Gelächter::N,笑い,кулӑ
252,Glück::N,幸せ,телей
253,Glück::N,幸せ,ӑраскал
254,Kummer::N,悩み,хурлӑх
255,Wunsch::N,希望,ӗмӗт
256,Wunsch::N,希望,кӑмӑл
257,Lust::N,気,кӑмӑл
258,Geist::N,精神,чун-чӗм
259,Geist::N,精神,ыр-усал
260,Geist::N,精神,чун хавалӗ
261,Gedanke::N,考え,шухӑш
262,Gedächtnis::N,記憶,ас
263,Verstand::N,理解力,ӑс
264,Verstand::N,理解力,ӑс-тӑн
265,Verstand::N,理解力,ӑс-хакӑл
266,Sinn::N,意味,тупсӑм
267,Sinn::N,意味,пӗлтерӗш
268,Grund::N,理由,сӑлтав
269,Wahrheit::N,真実,чӑнлӑх
270,Gespräch::N,会話,калаҫу
271,Märchen::N,童話,юмах
272,Erzählung::N,物語,акалав
273,Erzählung::N,物語,каласа пани
274,Nachricht::N,報告,хыпар
275,Neuigkeit::N,ニュース,ҫӗнӗ хыпар
276,Name::N,名前,ят
277,Rätsel::N,謎,сутмалли юмах
278,Rede::N,演説,сӑмах
279,Sprache::N,言語,чӗлхе
280,Stimme::N,声,сасӑ
281,Wort::N,言葉,сӑмах
282,Zeichen::N,記号,паллӑ
283,Ruf::N,呼び声,йыхрав
284,Ruf::N,呼び声,чӗнӳ
285,Lärm::N,騒音,шав
286,Laut::N,音,сасӑ
287,Ton::N,音,сасӑ
288,Lied::N,歌,юрӑ
289,Ruhe::N,静けさ,канӑҫлӑх
290,Ruhe::N,静けさ,лӑпкӑлӑх
291,Leute::N,人々,ҫамрӑксем
292,Leute::N,人々,ҫамрӑк ҫынсем
293,Volk::N,民族,халӑх
294,Arbeit::N,仕事,ӗҫхӗл
295,Arbeit::N,仕事,ӗҫлев
296,Gast::N,客,хӑна
297,Geschenk::N,贈り物,парне
298,Geschenk::N,贈り物,кучченеҫ
299,Spiel::N,遊び,вӑйӑ
300,Gesellschaft::N,社会,общество
301,Hilfe::N,援助,пулӑшу
302,Freund::N,友達,тус
303,Kamerad::N,同志,юлташ
304,Kamerad::N,同志,тус
305,Angelegenheit::N,件,ӗҫ
306,Anzahl::N,数,йыш
307,Anzahl::N,数,хисеп
308,Art::N,種類,тӗс
309,Stück::N,部分,татӑк
310,Teil::N,部分,пай
311,Hälfte::N,半分,ҫурӑ
312,Kreis::N,円,ункӑ
313,Kreis::N,円,ҫавракӑш
314,Kreuz::N,十字,хӗрес
315,Linie::N,線,йӗр
316,Strich::N,線,йӗр
317,Abstand::N,距離,хушӑ
318,Entfernung::N,距離,хушӑ
319,Gegend::N,辺,вырӑн
320,Gegend::N,地域,вырӑн
321,Platz::N,ゆとり,хутлӑх
322,Ort::N,所,вырӑн
323,Ort::N,場所,вырӑн
324,Seite::N,横,ен
325,Seite::N,横,аяк
326,Seite::N,横,айӑк
327,Mitte::N,真ん中,варӑ
328,Gegenstand::N,物件,япала
329,Sache::N,物,япала
330,Rand::N,端,вӗҫ
331,Rand::N,端,хӗрӗ
332,Rand::N,端,хӗрри
333,Kante::N,縁,хайкача
334,Kante::N,縁,хысак
335,Ecke::N,角,кӗтес
336,Spitze::N,先頭,вӗҫ
337,Ende::N,端,вӗҫ
338,Loch::N,穴,шӑтӑк
339,Winkel::N,片隅,кӗтес
340,Muster::N,模様,эреш
341,Größe::N,大きさ,пысӑкӑш
342,Länge::N,長さ,вӑрӑмӑш
343,Höhe::N,高さ,ҫӳллӗш
344,Gewicht::N,重さ,виҫе
345,Gewicht::N,重さ,йывӑрӑш
346,Menge::N,量,йыш
347,Haufen::N,堆積,купа
348,Reihe::N,並び,рет
349,Boot::N,ボート,кимӗ
350,Ruder::N,オール,кӗсмен
351,Schlitten::N,そり,ҫуна
352,Ski::N,スキー,йӗлтӗр
353,Lagerfeuer::N,篝火,вут
354,Lagerfeuer::N,篝火,кӑвайт
355,Last::N,荷物,сулмаклӑх
356,Last::N,荷物,йывӑр япала
357,Gang::N,歩み,куҫӑм
358,Schritt::N,歩,утӑм
359,Schritt::N,歩,пусӑм
360,Norden::N,北,ҫурҫӗр
361,Süden::N,南,кӑнтӑр
362,Westen::N,西,анӑҫ
363,Westen::N,西,хӗвел анӑҫ
364,Osten::N,東,хӗвел тухӑҫ
365,Holz::N,木,йывӑҫ
366,Holz::N,木材,йывӑҫ
367,Brett::N,板,хӑма
368,Platte::N,盤,плита
369,Stütze::N,支柱,ура
370,Stange::N,棒,шерте
371,Stock::N,杖,патак
372,Stab::N,棒,шӑчӑ
373,Rohr::N,管,пӑрӑх
374,Haus::N,家,ҫурт
375,Heim::N,家,кил
376,Ofen::N,ストーブ,кӑмака
377,Fußboden::N,床,урай
378,Tisch::N,机,сӗтел
379,Stuhl::N,椅子,пукан
380,Wiege::N,揺籃,сӑпка
381,Bett::N,ベッド,кравать
382,Regal::N,棚,ҫӳлӗк
383,Regal::N,棚,сентре
384,Kiste::N,箱,ещӗк
385,Kiste::N,箱,сунтӑх
386,Fenster::N,窓,чӳрече
387,Tür::N,戸,алӑк
388,Tür::N,ドア,алӑк
389,Tor::N,門,хапха
390,Zaun::N,垣根,хӳме
391,Dach::N,屋根,тӑрӑ
392,Leiter::N,梯子,пусма
393,Besen::N,ほうき,шӑпӑр
394,Spaten::N,スコップ,кӗреҫе
395,Schaufel::N,シャベル,кӗреҫе
396,Gabel::N,フォーク,вилка
397,Löffel::N,スプーン,кашӑк
398,Messer::N,ナイフ,ҫӗҫӗ
399,Nagel::N,釘,пӑта
400,Netz::N,網,тетел
401,Haken::N,鉤,йӑрхах
402,Haken::N,鉤,ҫекӗл
403,Haken::N,フック,йӑрхах
404,Haken::N,フック,ҫекӗл
405,Griff::N,取っ手,хӑлӑп
406,Schloss::N,錠,ҫӑра
407,Bild::N,絵,сӑн
408,Bild::N,絵,сӑнлӑх
409,Bild::N,絵,картина
410,Figur::N,像,кӗлетке
411,Puppe::N,人形,пукане
412,Beutel::N,袋,михӗ
413,Bündel::N,束,ҫыхӑ
414,Bündel::N,束,тӗрке
415,Bündel::N,包み,ҫыхӑ
416,Bündel::N,包み,тӗрке
417,Tasche::N,かばん,сумка
418,Eimer::N,バケツ,витре
419,Deckel::N,蓋,хупӑ
420,Geschirr::N,食器,савӑт-сапа
421,Sack::N,袋,михӗ
422,Tasse::N,カップ,курка
423,Topf::N,鍋,кастрюль
424,Kessel::N,釜,хуран
425,Essen::N,食事,апат
426,Nahrung::N,食物,апат-ҫимӗс
427,Speise::N,料理,апат
428,Speise::N,料理,ҫимӗҫ
429,Fleisch::N,肉,аш
430,Fleisch::N,肉,какай
431,Getreide::N,麦,тырӑ
432,Getreide::N,穀物,тырӑ
433,Brei::N,粥,пӑтӑ
434,Brot::N,パン,ҫӑкӑр
435,Scheibe::N,枚,чӗлӗ
436,Scheibe::N,枚,касӑк
437,Scheibe::N,切れ,чӗлӗ
438,Scheibe::N,切れ,касӑк
439,Fett::N,脂肪,ҫу
440,Butter::N,バター,ҫу
441,Öl::N,油,ҫу
442,Salz::N,塩,тӑвар
443,Suppe::N,スープ,яшка
444,Honig::N,蜂蜜,пыл
445,Milch::N,牛乳,сӗт
446,Tee::N,茶,чей
447,Tee::N,お茶,чей
448,Leder::N,革,сӑран
449,Wolle::N,毛糸,ҫӑм
450,Stoff::N,布,тӗртӗм
451,Nadel::N,針,йӗп
452,Faden::N,糸,ҫип
453,Knopf::N,ボタン,тӳме
454,Knoten::N,結び目,йӑлӑ
455,Farbe::N,ペンキ,сӑрӑ
456,Kleidung::N,衣服,тум
457,Kleidung::N,衣服,ҫипуҫ
458,Kleidung::N,衣服,тум-тир
459,Hemd::N,シャツ,кӗпе
460,Kragen::N,襟,ҫуха
461,Ärmel::N,袖,ҫанӑ
462,Hose::N,ズボン,шӑлавар
463,Gürtel::N,帯,пиҫиххи
464,Gürtel::N,ベルト,пиҫиххи
465,Mütze::N,帽子,ҫӗлӗк
466,Schuh::N,靴,пушмак
467,Schuh::N,靴,ботинок
468,Stiefel::N,ブーツ,атӑ
469,Ring::N,輪,ҫӗрӗ
470,Band::N,リボン,хаю
471,Band::N,リボン,йӗсме
472,Kamm::N,櫛,тура
473,Spiegel::N,鏡,тӗкӗр
474,Spiegel::N,鏡,куҫ кӗски
475,Riemen::N,緒,чӗн
476,Schnur::N,紐,кантра
477,Leine::N,綱,касмӑк
478,Decke::N,掛け布団,утиял
479,Kissen::N,枕,ҫытар
480,Kissen::N,枕,минтер
481,Tuch::N,スカーフ,тутӑр
482,Handtuch::N,タオル,ал шӑлли
483,Kraft::N,力,вӑй
484,Kraft::N,力,хӑват
485,Stärke::N,強さ,хал
486,Stärke::N,強さ,хӑват
487,Gesundheit::N,健康,хал
488,Gesundheit::N,健康,сывлӑх
489,Krankheit::N,病気,чир
490,Schmerz::N,痛み,ырату
491,Wunde::N,傷,суран
492,Fieber::N,熱,сив чир
493,Arznei::N,薬,эмел
494,Brücke::N,橋,кӗпер
495,Brunnen::N,井戸,ҫӑл
496,Brunnen::N,井戸,пусӑ
497,Weide::N,牧場,ҫаран
498,Pfad::N,小路,йӗр
499,Pfad::N,小路,сукмак
500,Weg::N,道,ҫул
501,Weg::N,道,ҫул-йӗр
502,Straße::N,街道,ҫӳрев
503,Straße::N,街道,ҫул ҫӳрени
504,Dorf::N,村,ял
505,Stadt::N,町,хула
506,Stadt::N,都市,хула
507,Brief::N,手紙,ҫыру
508,Buch::N,本,кӗнеке
509,Buchstabe::N,文字,сас палли
510,Zeitung::N,新聞,хаҫат
511,Leben::N,生活,пурнӑҫ
512,Tod::N,死,вилӗм
513,Grab::N,墓,масар шӑтӑкӗ
514,Kirche::N,教会,чиркӳ
515,Sünde::N,罪,ҫылӑх
516,Gott::N,神,турӑ
517,Arbeiter::N,労働者,рабочи
518,Chef::N,上司,пуҫлӑх
519,Meister::N,達人,ӑста
520,Meister::N,達人,мастер
521,Meister::N,マイスター,ӑста
522,Meister::N,マイスター,мастер
523,Arzt::N,医者,врач
524,Arzt::N,医者,тухтӑр
525,Lehrer::N,先生,учитель
526,Lehrer::N,先生,вӗрентекен
527,Geld::N,金,укҫа
528,Geschäft::N,取り引き,бизнес
529,Laden::N,店,магазин
530,Preis::N,値段,хак
531,Ware::N,商品,тавар
532,Nutzen::N,利益,пайта
533,Reichtum::N,豊かさ,мул
534,Welt::N,世界,тӗнче
535,Land::N,国,ҫӗр-шыв
536,Staat::N,国家,патшàлӑх
537,König::N,国王,король
538,Macht::N,権力,власть
539,Grenze::N,国境,чикӗ
540,Krieg::N,戦争,вӑрҫӑ
541,Feind::N,敵,тӑшман
542,Gewalt::N,暴力,ирӗксӗрлӳ
543,Kampf::N,戦い,кӗрешӳ
544,Bogen[Waffe]::N,弓,ухӑ
545,Pfeil::N,矢,ҫӗмрен
546,Pfeil::N,矢,ухӑ йӗппи
547,Gewehr::N,銃,пӑшал
548,Fehler::N,間違い,йӑнӑш
549,Lüge::N,嘘,суя
550,Lüge::N,嘘,ултав
551,Schaden::N,損害,сиен
552,Unglück::N,不幸,шар
553,Unglück::N,不幸,инкек
554,Schuld::N,罪,айӑп
555,Alter::N,年,ҫул шучӗ
556,Alter::N,年齢,ҫул шучӗ
557,Schluss::N,終わり,пӗтни
558,Schluss::N,終わり,пӗтмӗш
559,Zeit::N,時,вӑхӑт
560,Zeit::N,時間,вӑхӑт
561,Tag::N,日,кун
562,Morgen::N,朝,ир
563,Mittag::N,昼,кӑнтӑрла
564,Abend::N,晩,каҫ
565,Abend::N,夕方,каҫ
566,Nacht::N,夜,каҫ
567,Woche::N,週,эрне
568,Monat::N,月,уйӑх
569,Jahr::N,年,ҫулталӑк
570,Frühling::N,春,ҫур
571,Frühling::N,春,ҫуркунне
572,Sommer::N,夏,ҫу
573,Sommer::N,夏,ҫулла
574,Herbst::N,秋,кӗр
575,Herbst::N,秋,кӗркунне
576,Winter::N,冬,хӗл
577,Winter::N,冬,хӗлле
578,Januar::N,一月,январь
579,Februar::N,二月,февраль
580,Februar::N,二月,кӗҫӗн кӑрлач
581,März::N,三月,март
582,März::N,三月,пуш уйӑхӗ
583,April::N,四月,апрель
584,Mai::N,五月,май
585,Juni::N,六月,июнь
586,Juli::N,七月,июль
587,August::N,八月,август
588,September::N,九月,сентябрь
589,September::N,九月,авӑн уйӑхӗ
590,Oktober::N,十月,октябрь
591,November::N,十一月,ноябрь
592,Dezember::N,十二月,раштав
593,Dezember::N,十二月,декабрь
594,Montag::N,月曜日,тунти кун
595,Dienstag::N,火曜日,ытлари кун
596,Mittwoch::N,水曜日,юн кун
597,Donnerstag::N,木曜日,кӗҫнерни кун
598,Freitag::N,金曜日,эрне кун
599,Samstag::N,土曜日,шӑмат кун
600,Sonntag::N,日曜日,вырсарни кун
601,groß::A,大きい,пысӑк
602,klein::A,小さい,пӗчӗк
603,lang::A,長い,вӑрӑм
604,kurz::A,短い,кӗске
605,breit::A,広い,сарлака
606,schmal::A,狭い,ансӑр
607,dicht::A,密な,йӑвӑ
608,dick[Gegenstand]::A,厚い,хулӑн
609,dünn::A,薄い,ҫинҫе
610,dünn::A,薄い,ҫӳхе
611,fein::A,細い,тарай
612,fein::A,細い,вӗлтӗрти
613,fest::A,硬い,тӗреклӗ
614,flach::A,平らな,лаптак
615,glatt::A,滑らかな,такӑр
616,hart::A,堅い,хытӑ
617,weich::A,柔らかい,ҫемҫе
618,rund::A,丸い,ҫавра
619,spitz::A,尖った,шӗвӗр
620,scharf::A,鋭い,ҫивӗч
621,stumpf::A,鈍い,мӑка
622,stumpf::A,鈍い,пуклак
623,stumpf::A,鈍い,тӗрӗнчӗк
624,stumpf::A,鈍い,ӑнкарусӑр
625,schwer::A,重い,йывӑр
626,schön::A,綺麗な,илемлӗ
627,heiß::A,熱い,вӗри
628,warm::A,温かい,ӑшӑ
629,kalt::A,寒い,сивӗ
630,kalt::A,冷たい,сивӗ
631,kühl::A,涼しい,уҫӑ
632,frisch::A,ひんやりした,уҫӑ
633,feucht::A,湿った,йӗпе
634,nass::A,濡れた,нӳрӗ
635,trocken::A,乾いた,типӗ
636,voll::A,いっぱいの,тулли
637,leer::A,空の,пушӑ
638,offen::A,開いた,уҫӑ
639,geschlossen::A,閉まった,хупӑ
640,sauber::A,清潔な,таса
641,schmutzig::A,汚い,пылчӑклӑ
642,schmutzig::A,汚い,вараланчӑк
643,roh::A,生の,чӗрӗ
644,reif::A,熟した,пулнӑ
645,reif::A,熟した,пиҫӗхнӗ
646,reif::A,熟した,аталаннӑ
647,reif::A,熟した,пиҫсе ҫитнӗ
648,lecker::A,美味しい,тутлӑ
649,lecker::A,美味しい,техӗмлӗ
650,süß::A,甘い,пылак
651,bitter::A,苦い,йӳҫӗ
652,sauer::A,酸っぱい,йӳҫӗ
653,sauer::A,酸っぱい,йӳҫек
654,sauer::A,酸っぱい,кӑвасак
655,hell::A,明るい,ҫутӑ
656,dunkel::A,暗い,тӗттӗм
657,schwarz::A,黒い,хура
658,weiß::A,白い,шурӑ
659,rot::A,赤い,хӗрлӗ
660,gelb::A,黄色い,сарӑ
661,blau::A,青い,кӑвак
662,grün::A,緑の,симӗс
663,grün::A,緑の,пиҫмен
664,grün::A,緑の,ӑс пухман
665,grau::A,灰色の,кӑвак
666,bunt::A,色取り取りの,чӑпар
667,billig::A,安い,йӳнӗ
668,teuer::A,高い,хаклӑ
669,wertvoll::A,貴重な,паха
670,blind::A,盲目の,суккӑр
671,taub::A,耳が聞こえない,хӑлхасӑр
672,kräftig::A,強力な,хӑватлӑ
673,stark::A,強い,вирлӗ
674,schwach::A,弱い,халсӑр
675,fett::A,太った,самӑр
676,fett::A,太った,мӑнтӑр
677,schlank::A,ほっそりした,йӑрӑс
678,schlank::A,ほっそりした,яштака
679,hübsch::A,素敵な,хитре
680,böse::A,悪い,усал
681,dumm::A,馬鹿な,ухмах
682,faul::A,怠惰な,наян
683,faul::A,怠惰な,юлхав
684,faul::A,怠惰な,ӳркенчӗк
685,fleißig::A,勤勉な,хастар
686,geizig::A,けちな,хытӑ
687,klug::A,賢い,ӑслӑ
688,klug::A,頭のいい,ӑслӑ
689,geschickt::A,器用な,ӑста
690,lieb::A,愛らしい,савнӑ
691,lustig::A,楽しい,хаваслӑ
692,sanft::A,温和な,ачаш
693,hungrig::A,空腹の,выҫӑ
694,krank::A,病気の,чирлӗ
695,nackt::A,裸の,ҫара
696,traurig::A,悲しい,салхуллӑ
697,lebendig::A,生きた,чӗрӗ
698,gut::A,良い,аван
699,gut::A,良い,лайӑх
700,schlecht::A,悪い,япӑх
701,schlecht::A,悪い,начар
702,schlecht::A,駄目な,япӑх
703,schlecht::A,駄目な,начар
704,richtig::A,正しい,тӗрӗс
705,schlimm::A,ひどい,йӗрӗнчӗк
706,wahr::A,本当の,чӑн
707,alt::A,古い,кивӗ
708,neu::A,新しい,ҫӗнӗ
709,ehemalig::A,以前の,пулнӑ
710,alt[Lebewesen]::A,年を取った,ватӑ
711,jung::A,若い,яш
712,jung::A,若い,ҫамрӑк
713,arm::A,貧乏な,чухӑн
714,reich::A,裕福な,пуян
715,bekannt::A,有名な,пӗлӗш
716,berühmt::A,有名な,чаплӑ
717,fremd::A,見知らぬ,ют
718,verschieden::A,色々な,расна
719,nah::A,近い,ҫывӑх
720,nah::A,近い,ҫывӑхри
721,fern::A,遠い,инҫе
722,fern::A,遠い,аякри
723,linker::A,左の,сулахай
724,rechter::A,右の,сылтӑм
725,anderer::A,別の,урӑх
726,erster::A,一番目,пӗрремӗш
727,zweiter::A,二番目,иккӗмӗш
728,dritter::A,三番目,виҫҫӗмӗш
729,letzter::A,最後の,юлашки
730,allein::ADV,一人で,пӗччен
731,auf einmal::ADV,同時に,кӗмӗрккен
732,zusammen::ADV,一緒に,пӗрле
733,lange::ADV,長い間,вӑрах
734,plötzlich::ADV,急に,сасартӑк
735,sofort::ADV,すぐに,тӳрех
736,später::ADV,後で,кайран
737,jetzt::ADV,今,халь
738,jetzt::ADV,今,халӗ
739,heute::ADV,今日,паян
740,morgen::ADV,明日,ыран
741,bald::ADV,間もなく,халех
742,bald::ADV,間もなく,кӗҫех
743,dann::ADV,それから,унтан
744,gestern::ADV,昨日,ӗнер
745,einst::ADV,過去に,пӗррехинче
746,damals::ADV,あの時,ун чухне
747,damals::ADV,あの時,апла пулсан
748,danach::ADV,その後で,унтан
749,vorher::ADV,以前に,малтан
750,zuerst::ADV,まず,пирвай
751,zuerst::ADV,最初に,пирвай
752,einmal::ADV,一回,пӗррехинче
753,manchmal::ADV,時々,хӑш чухне
754,oft::ADV,よく,тӑтӑш
