,Concept_ID,tt,zh
704,unter::PRP,астында,在...下面
705,durch::PRP,аша,穿过
706,neben::PRP,тирәсендә,在...旁
707,zwischen::PRP,арасында,在...之间
708,wegen::PRP,сәбәпле,由于
709,dies::PRN,бу,这
710,das::PRN,ул,那
711,alles::PRN,һәммә,一切
712,ich::PRN,мин,我
713,du::PRN,син,你
714,er::PRN,ул,他
715,wir::PRN,без,我们
716,ihr::PRN,сез,你们
717,sie::PRN,ул,她
718,was::FPRN,ни,什么
719,was::FPRN,нәрсә,什么
720,wer::FPRN,кем,谁
721,wo::FADV,кайда,哪里
722,wohin::FADV,кая,去哪里
723,wie::FADV,ничек,怎么
724,warum::FADV,нигә,为什么
725,wieviel::FNUM,ничә,多少
726,eins::NUM,бер,一
727,zwei::NUM,ике,二
728,drei::NUM,өч,三
729,vier::NUM,дүрт,四
730,fünf::NUM,биш,五
731,sechs::NUM,алты,六
732,sieben::NUM,җиде,七
733,acht::NUM,сигез,八
734,neun::NUM,тугыз,九
735,zehn::NUM,ун,十
736,elf::NUM,унбер,十一
737,zwölf::NUM,унике,十二
738,zwanzig::NUM,егерме,二十
739,dreißig::NUM,утыз,三十
740,vierzig::NUM,кырык,四十
741,fünfzig::NUM,илле,五十
742,sechzig::NUM,алтмыш,六十
743,siebzig::NUM,җитмеш,七十
744,achtzig::NUM,сиксән,八十
745,neunzig::NUM,туксан,九十
746,hundert::NUM,йөз,百
747,tausend::NUM,мең,千
748,und::CNJ,вә,和
749,oder::CNJ,яки,或者
750,oder::CNJ,яисә,或者
751,stehen::V,тору,站
752,sitzen::V,утыру,坐
753,liegen::V,яту,躺着
754,hängen::V,эленү,挂着
755,werden::V,булу,成为
756,passieren::V,булу,发生
757,beginnen::V,башлану,开始
758,enden::V,бетү,终止
759,wechseln::V,үзгәртү,变迁
760,aufgehen[Sonne]::V,чыгу,升起
761,untergehen[Sonne]::V,бату,下落
762,scheinen[Sonne]::V,яктырту,照射
763,donnern::V,күкрәү,打雷
764,wehen::V,исү,飘扬
765,strömen::V,агу,流
766,fließen::V,агу,流动
767,sich drehen::V,бөтерелү,转动
768,schwanken::V,икеләнү,摇摆
769,schwingen::V,тирбәлү,摇
770,fallen::V,егылу,坠落
771,brennen::V,яну,燃烧
772,rauchen::V,төтәү,冒烟
773,rauchen::V,төтенләү,冒烟
774,regnen::V,яву,下雨
775,gefrieren::V,кату,结冰
776,tauen::V,эрү,融化
777,tauen::V,эретү,融化
778,schmelzen::V,эрү,溶化
779,schmelzen::V,эретү,溶化
780,trocknen::V,кибү,变干
781,sieden::V,ургылу,煮
782,faulen::V,черү,腐烂
783,verfaulen::V,черү,腐烂
784,reißen::V,өзелү,撕
785,versinken::V,бату,下沉
786,vergehen::V,авышу,流逝
787,erscheinen::V,пәйда булу,出现
788,verschwinden::V,югалу,消失
789,verschwinden::V,юк булу,消失
790,sinken::V,кимү,下降
791,sinken::V,кайту,下降
792,abnehmen::V,азаю,减少
793,zunehmen::V,арту,增加
794,zunehmen::V,күбәю,增加
795,zunehmen::V,ишәю,增加
796,steigen::V,үсү,上升
797,wachsen::V,үсү,生长
798,glänzen::V,ялкылдау,发光
