,Concept_ID,he,kl
113,Höhle::N,מערה,qaarusuk
114,Abhang::N,מדרון,ippik
115,Abhang::N,מדרון,sivinganeq
116,Abhang::N,מדרון,sivingajaaq
117,Abhang::N,מדרון,kussangajaaq
118,Abhang::N,שפוע,ippik
119,Abhang::N,שפוע,sivinganeq
120,Abhang::N,שפוע,sivingajaaq
121,Abhang::N,שפוע,kussangajaaq
122,Quelle::N,מעין,
123,Bach::N,נחל,kuunnguaq
124,Fluss::N,נהר,kuuk
125,Ufer::N,גדה,sissap sinaa
126,Küste::N,חוף,sineriak
127,Festland::N,יבשה,
128,Meer::N,ים,imaq
129,Bucht::N,מפרץ,ikeq
130,Bucht::N,מפרץ,kangerluk
131,Bucht::N,מפרץ,kangerliumaneq
132,Insel::N,אי,qeqertaq
133,Blume::N,פרח,naasoq
134,Gras::N,דשא,ivigaq
135,Wurzel::N,שרש,niulutaq
136,Baum::N,עץ,orpik
137,Stamm::N,גזע,kanaartaq
138,Rinde::N,קלפת עץ,ameraq
139,Ast::N,ענף,avalequt
140,Zweig::N,ענף,avalequt
141,Blatt::N,עלה,pilutaq
142,Birke::N,שדר,patitsit
143,Kiefer[Baum]::N,ארן,
144,Weide[Baum]::N,ערבה,palleq
145,Tanne::N,אשוח,orsuerneq
146,Horn::N,קרן,nassuk
147,Feder::N,נוצה,suluk
148,Fell::N,פרוה,ameq
149,Flügel::N,כנף,suluk
150,Flügel::N,כנף,isaroq
151,Klaue::N,טלף,kukik
152,Kralle::N,טפר,kukik
153,Schwanz::N,זנב,pamioq
154,Schwanz::N,זנב,paperuusaq
155,Ei::N,ביצה,mannik
156,Nest::N,קן,ullut
157,Bau::N,מחלה,ini
158,Tier::N,חיה,uumasoq
159,Herde::N,עדר,unguukkat
160,Kuh::N,פרה,ussik
161,Bulle::N,פר,angukulak
162,Bulle::N,פר,anguteralak
163,Bulle::N,פר,angutikulooq
164,Pferd::N,סוס,
165,Schaf::N,כבשה,sava
166,Schwein::N,חזיר,puuluki
167,Hund::N,כלב,qimmeq
168,Katze::N,חתול,puisaaq
169,Bär::N,דב,allaq
170,Eichhörnchen::N,סנאי,sissinnguaq
171,Elch::N,דישון,
172,Fuchs::N,שועל,terianniaq
173,Hase::N,ארנב,ukaleq
174,Maus::N,עכבר,teriannguaq
175,Wolf::N,זאב,amaroq
176,Vogel::N,צפור,timmiaq
177,Schwarm::N,נחיל,
178,Schwarm::N,להקה,
179,Huhn::N,תרנגלת,kukkukooq
180,Huhn::N,תרנגלת,marloraaqaaq
181,Hahn::N,תרנגול,kiasiusaq
182,Gans::N,אוז,nerleq
183,Adler::N,עיט,nattoralik
184,Ente::N,ברוז,
185,Eule::N,ינשוף,uppik
186,Kranich::N,עגור,qorlorfik
187,Kranich::N,כרוכיה,qorlorfik
188,Krähe::N,עורב,tuluatsiaq
189,Kuckuck::N,קוקיה,kukkooq
190,Schwan::N,ברבור,qussuk
191,Fisch::N,דג,aalisagaq
192,Barsch::N,אוקונוס,
193,Hecht::N,זאב הים,
194,Schlange[Tier]::N,נחש,pulateriarsuk
195,Schlange[Tier]::N,נחש,pulateriaarsuk
196,Wurm::N,תולעת,
197,Spinne::N,עכביש,aasiaq
198,Spinne::N,עכביש,nissavaarsuk
199,Ameise::N,נמלה,uniaaluk
200,Laus::N,כנה,kumak
201,Mücke::N,יתוש,ippernaq
202,Fliege::N,זבוב,ippernaq
203,Schmetterling::N,פרפר,paluaq
204,Schmetterling::N,פרפר,pakkaluaq
205,Schmetterling::N,פרפר,utsuppaluaq
206,Schmetterling::N,פרפר,taqaleqisaaq
207,Beere::N,ענבה,paarmaq
208,Beere::N,ענבה,paarngaq
209,Apfel::N,תפוח,iipili
210,Pilz::N,פטריה,anngiusaq
211,Zwiebel::N,בצל,uanitsoq
212,Saat::N,זרעים,naatsiiassaq
213,Korn::N,גרעין,maannineq
214,Heu::N,חציר,
215,Schale::N,קלפה,niutsivik
216,Schale::N,קלפה,ilulissaq qaartussaq
217,Grube::N,בור,itersaq
218,Grube::N,שוחה,itersaq
219,Falle::N,מלכדת,pualavoq
220,Schlinge::N,לולאה,orseq
221,Schlinge::N,לולאה,norloq
222,Spur::N,עקבה,tumaa
223,Asche::N,אפר,arsat
224,Dreck::N,זהמה,minguk
225,Eisen::N,ברזל,savimineq
226,Eisen::N,ברזל,saffiugassaq
227,Gold::N,זהב,kuulti
228,Silber::N,כסף,siilviuvoq
229,Kohle::N,פחם,aamarsuit aamaruutissat
230,Glas::N,זכוכית,igalaaq
231,Glas::N,זכוכית,imertarfik
232,Glas::N,זכוכית,igalaamineq
233,Lehm::N,חרסית,marraq
234,Sand::N,חול,sioqqat
235,Mensch::N,אדם,inuk
236,Mensch::N,אדם,silamiu
237,Mann::N,איש,angut
238,Mann::N,גבר,angut
239,Frau::N,אשה,arnaq
240,Frau::N,גברת,arnaq
241,Kind::N,ילד,meeraq
242,Junge::N,ילד,nukappiaraq
243,Mädchen::N,נערה,arnannguaq
244,Familie::N,משפחה,ilaqutakka
245,Familie::N,משפחה,ilaqutariit
246,Großvater::N,סבא,aatak
247,Großmutter::N,סבתא,aanaq
248,Eltern::N,הורים,angajoqqaat
249,Vater::N,אב,ataata
250,Vater::N,אב,ataataq
251,Mutter::N,אם,anaana
252,Sohn::N,בן,erneq
253,Tochter::N,בת,panik
254,Bruder::N,אח,ani
255,Bruder::N,אח,aqqaluk
256,Bruder::N,אח,qatanngut
257,Schwester::N,אחות,naja
258,Schwester::N,אחות,aleqa
259,Schwester::N,אחות,qatanngut
260,Onkel::N,דוד,akkak
261,Tante::N,דודה,aja
262,Tante::N,דודה,ajak
263,Tante::N,דודה,atsak
264,Ehemann::N,איש,ui
265,Ehemann::N,בעל,ui
266,Ehefrau::N,אשה,nuliaq
267,Freude::N,שמחה,tipaatsussuseq
268,Gelächter::N,צחוק,illaq
269,Glück::N,אשר,usornaat
270,Glück::N,אשר,usornarsuseq
271,Kummer::N,יגון,
272,Kummer::N,עגמה,
273,Wunsch::N,אחול,kissaat
274,Wunsch::N,משאלה,kissaat
275,Lust::N,חשק,illigussuseq
276,Lust::N,חשק,piummaseq
277,Lust::N,תשוקה,illigussuseq
278,Lust::N,תשוקה,piummaseq
279,Geist::N,רוח,anerneq
280,Geist::N,רוח,toornaq
281,Gedanke::N,מחשבה,isumassaq
282,Gedächtnis::N,זכרון,eqqaamannissuseq
283,Verstand::N,שכל,isuma
284,Verstand::N,שכל,sianissut
285,Verstand::N,שכל,misigissut
286,Verstand::N,שכל,sianissuseq
287,Verstand::N,שכל,silaqassuseq
288,Sinn::N,מובן,isuma
289,Sinn::N,משמעות,isuma
290,Grund::N,סבה,patsit
291,Wahrheit::N,אמת,sallusuissut
292,Gespräch::N,דיון,
293,Märchen::N,אגדה,oqalualaarut
294,Märchen::N,אגדה,oqaluasaaq
295,Erzählung::N,ספור,oqaluttuaq
296,Nachricht::N,ידיעה,oqaassut
297,Nachricht::N,ידיעה,oqqersuut
298,Neuigkeit::N,חדשה,tusarnartaq
299,Name::N,שם,ateq
300,Rätsel::N,תעלומה,nalorsitsaarut
301,Rede::N,נאום,oqaluuseq
302,Sprache::N,לשון,oqaatsit
303,Stimme::N,קול,erinaq
304,Stimme::N,קול,qarluuseq
305,Wort::N,מלה,oqaasii
306,Zeichen::N,סימן,nalunaaqqut
307,Ruf::N,קריאה,qaaqqussut
308,Lärm::N,רעש,perpaluk
309,Laut::N,הגה,torsukattak
310,Ton::N,צליל,erinaq
311,Lied::N,שיר,taalliaq
312,Lied::N,שיר,erinarsuut
313,Ruhe::N,שלוה,qatsunganeq
314,Leute::N,אנשים,inuiak
315,Leute::N,אנשים,inuiaqatigiit
316,Volk::N,עם,inuiaat
317,Arbeit::N,עבודה,suliaq
318,Gast::N,אורח,qaaqqusaq
319,Geschenk::N,מתנה,pajugut
320,Spiel::N,משחק,
321,Gesellschaft::N,חברה,
322,Hilfe::N,עזרה,annertoqqut
323,Freund::N,חבר,tiliaq
324,Freund::N,חבר,ikinngut
325,Freund::N,ידיד,tiliaq
326,Freund::N,ידיד,ikinngut
327,Kamerad::N,רע,tiliaq
328,Kamerad::N,רע,ikinngut
329,Angelegenheit::N,ענין,
330,Anzahl::N,מספר,
331,Art::N,סוג,ileqquuseq
332,Stück::N,חתיכה,nakkaalaniku
333,Teil::N,פרק,tassiaasat
334,Hälfte::N,חצי,affaq
335,Kreis::N,מעגל,kaajaluinneq or kaajaluitsoq
336,Kreuz::N,צלב,sanningasulik
337,Linie::N,קו,tittaq
338,Linie::N,קו,titarneq
339,Strich::N,קו קצר,
340,Abstand::N,מרחק,aku
341,Abstand::N,מרחק,ikiaq
342,Entfernung::N,מרחק,asi
343,Gegend::N,נוף,nuna
344,Platz::N,שטח,ini
345,Platz::N,שטח,inissaq
346,Ort::N,אתר,sumiiffik
347,Ort::N,מקום,sumiiffik
348,Seite::N,צד,saneraq
349,Mitte::N,אמצע,qiteq
350,Gegenstand::N,אוביקט,
351,Sache::N,דבר,pigisaq
352,Rand::N,פרור,sini
353,Rand::N,פרור,akerfineq
354,Kante::N,קצה,akerfineq
355,Ecke::N,פנה,teqeqqoq
356,Ecke::N,פנה,tikeqqoq
357,Spitze::N,קצה,inngik
358,Ende::N,סוף,isu
359,Loch::N,חר,putu
360,Winkel::N,פנה,teqeqqorissaat
361,Muster::N,תבנית,ilisserut
362,Größe::N,גדל,angissuseq
363,Länge::N,ארך,takissuseq
364,Höhe::N,קומה,
365,Höhe::N,גבה,
366,Gewicht::N,משקל,oqimaalutaq
367,Menge::N,כמות,amerlassuseq
368,Haufen::N,ערמה,eqimattat
369,Reihe::N,רצף,allunaasaq
370,Boot::N,סירה,qajaq
371,Boot::N,סירה,angallat
372,Boot::N,סירה,umiatsiaq
373,Ruder::N,משוט,iput
374,Schlitten::N,מזחלת,qamutit
375,Schlitten::N,מזחלת,qimusseq
376,Ski::N,מגלשים,ataarut
377,Lagerfeuer::N,מדורה,
378,Last::N,משא,nammagaq
379,Gang::N,הליכה,
380,Schritt::N,צעד,allorneq
381,Norden::N,צפון,avannaq
382,Süden::N,דרום,qava
383,Süden::N,דרום,kujat
384,Süden::N,דרום,kujataa
385,Westen::N,מערב,kitaa
386,Osten::N,מזרח,kangi
387,Holz::N,עץ,qisuk
388,Brett::N,קרש,salliligaq
389,Platte::N,לוח,qaateq
390,Stütze::N,משען,ajagutaq
391,Stütze::N,משען,ajaagutaq
392,Stange::N,מוט,kaaviffik
393,Stock::N,מקל,ajaappissat
394,Stab::N,מוט,ajaappissat
395,Rohr::N,צנור,sullulik
396,Haus::N,בית,illu
397,Heim::N,בית,
398,Ofen::N,תנור,kissarsuut
399,Fußboden::N,רצפה,nateq
400,Tisch::N,שלחן,allattarfik
401,Stuhl::N,כסא,issiavik
402,Stuhl::N,כסא,issiaffik
403,Wiege::N,ערש,uaasoq
404,Bett::N,מטה,nallavik
405,Regal::N,מדף,ilisivik
406,Kiste::N,תבה,sakissat
407,Kiste::N,תבה,illerfiusaq
408,Kiste::N,ארגז,sakissat
409,Kiste::N,ארגז,illerfiusaq
410,Fenster::N,חלון,aki
411,Fenster::N,חלון,igalaaq
412,Tür::N,דלת,matu
413,Tor::N,שער,isaaffik
414,Zaun::N,גדר,saputit
415,Dach::N,גג,qaliaq
416,Leiter::N,סלם,tummeqqat
417,Leiter::N,סלם,majuartarfiit
418,Besen::N,מטאטא,saligutit
419,Spaten::N,את,nivaataq
420,Schaufel::N,את,nivaataq
421,Gabel::N,מזלג,qilluaq
422,Gabel::N,מזלג,ajassaatit
423,Löffel::N,כף,alussaat
424,Messer::N,סכין,savik
425,Nagel::N,מסמר,kukik
426,Netz::N,רשת,anguffaseq
427,Haken::N,וו,nissik
428,Haken::N,וו,qarsorsaq
429,Haken::N,וו,qarsorsartoq
430,Haken::N,קרס,nissik
431,Haken::N,קרס,qarsorsaq
432,Haken::N,קרס,qarsorsartoq
433,Griff::N,ידית,ipi
434,Schloss::N,מנעול,illussaarsuaq
435,Bild::N,תמונה,assiliaq
436,Figur::N,פסל,kisitsit
437,Puppe::N,בבה,inuusaq
438,Beutel::N,שק,
439,Bündel::N,צרור,qilertaq
440,Tasche::N,שקית,pooqattaq
441,Eimer::N,דלי,
442,Deckel::N,מכסה,matu
443,Geschirr::N,כלים,anut
444,Sack::N,שק,
445,Tasse::N,ספל,tiitorfik
446,Tasse::N,ספל,tiitorfiup ilorlia
447,Topf::N,סיר,qoqqoq
448,Kessel::N,קנקן,uunnaavik
449,Essen::N,אכל,igaaq
450,Essen::N,ארוחה,igaaq
451,Nahrung::N,הזנה,neqissaq
452,Nahrung::N,תזונה,neqissaq
453,Speise::N,מאכל,nerisassat
454,Speise::N,ארוחה,nerisassat
455,Fleisch::N,בשר,neqi
456,Getreide::N,דגן,maannineq
457,Brei::N,מחית,
458,Brot::N,לחם,iffit
459,Brot::N,לחם,iffiaq
460,Scheibe::N,עגול,igalaassiaq
461,Scheibe::N,פרוסה,igalaassiaq
462,Fett::N,שמן,tarnutissaq
463,Fett::N,שמן,tarnutissiaq
464,Butter::N,חמאה,punneq
465,Öl::N,שמן,uulia
466,Salz::N,מלח,taratsut
467,Suppe::N,מרק,qajoq
468,Honig::N,דבש,tungusunnitsuut
469,Milch::N,חלב,immuk
470,Tee::N,תה,tii
471,Tee::N,תה,teeq
472,Leder::N,עור,
473,Wolle::N,צמר,nuersagassiaq
474,Stoff::N,בד,milliaq
475,Stoff::N,בד,qarlissiaq
476,Stoff::N,אריג,milliaq
477,Stoff::N,אריג,qarlissiaq
478,Nadel::N,מחט,meqqut
479,Faden::N,חוט,ujalussiaq
480,Knopf::N,כפתור,attat
481,Knoten::N,קשר,akeroq
482,Knoten::N,קשר,qilerneq
483,Farbe::N,צבע,qalipaat
484,Kleidung::N,בגדים,atisat
485,Kleidung::N,בגדים,annoraaq
486,Hemd::N,חלצה,ilupaaq
487,Kragen::N,צוארון,qungasiinnaq
488,Ärmel::N,שרוול,aaq
489,Hose::N,מכנסים,qarliit
490,Gürtel::N,חגורה,qiterut
491,Gürtel::N,חגורה,unngersaq
492,Mütze::N,כובע,nasaq
493,Schuh::N,נעל,skuu
494,Schuh::N,נעל,ikernuk
495,Schuh::N,נעל,ateraasaq
496,Stiefel::N,מגף,kamik
497,Ring::N,טבעת,assammiu
498,Band::N,סרט,qilerutissiaq
499,Kamm::N,מסרק,illaagutit
500,Kamm::N,מסרק,illaajaatit pl.
501,Spiegel::N,מראה,tarrarsuut
502,Riemen::N,רצועה,allunaaq
503,Schnur::N,חבל,kujaaq
504,Schnur::N,חבל,allunaasaq
505,Leine::N,מושכות,aleq
506,Decke::N,שמיכה,qipik
507,Kissen::N,כרית,akit
508,Tuch::N,צעיף,qarlissiaq
509,Handtuch::N,מגבת,allarut
510,Handtuch::N,מגבת,allarterut
511,Kraft::N,כוח,pissak
512,Stärke::N,און,qerattarsaat
513,Gesundheit::N,בריאות,peqqisusseq
514,Krankheit::N,מחלה,nappaat
515,Schmerz::N,כאב,anniaat
516,Wunde::N,פציעה,iki
517,Fieber::N,חם,nappaat qanimanartoq
518,Arznei::N,תרופה,imigassaq
519,Brücke::N,גשר,ikaartarfik
520,Brunnen::N,באר,tissaluttuliaq
521,Weide::N,אחו,masarsuk
522,Weide::N,מרעה,masarsuk
523,Pfad::N,שביל,aqqut
524,Pfad::N,מדרכה,aqqut
525,Weg::N,דרך,aggerfik
526,Straße::N,כביש,aqqusineq
527,Dorf::N,כפר,nunaqarfik
528,Stadt::N,עיר,illorpaat
529,Stadt::N,עיר,illorpalik
530,Brief::N,מכתב,allagarsiaq
531,Buch::N,ספר,atuakkat
532,Buch::N,ספר,mappersagaq
533,Buchstabe::N,אות,naqinneq
534,Zeitung::N,עתון,aviisi
535,Leben::N,חיים,inuussuseq
536,Tod::N,מות,toqu
537,Tod::N,מות,toquneq
538,Grab::N,קבר,iliveq
539,Grab::N,קבר,illissat
540,Kirche::N,כנסיה,oqaluffik
541,Sünde::N,חטא,ajorti
542,Gott::N,אל,
543,Arbeiter::N,פועל,sulisoq
544,Chef::N,ראש,ittoqut
545,Chef::N,מנהל,ittoqut
546,Meister::N,ממחה,naalagaq
547,Arzt::N,רופא,katsorsaasoq
548,Lehrer::N,מורה,ilinniartitsisoq
549,Geld::N,כסף,aningaasat
550,Geschäft::N,עסקה,niuertarfik
551,Laden::N,חנות,niuertarfik
552,Preis::N,מחיר,aki
553,Ware::N,סחורה,qaliata pii
554,Ware::N,סחורה,nioqqutissaq
555,Nutzen::N,תועלת,iluaqut
556,Reichtum::N,עשר,
557,Welt::N,עולם,nunarsuaq
558,Land::N,ארץ,nuna
559,Staat::N,מדינה,
560,König::N,מלך,kunngi
561,Macht::N,כוח,pissaassuseq
562,Grenze::N,גבול,killik
563,Krieg::N,מלחמה,sorsunneq
564,Feind::N,אויב,akeraq
565,Feind::N,אויב,akerartorti
566,Feind::N,אויב,qinngarsuisoq
567,Gewalt::N,אלימות,
568,Kampf::N,קרב,sorsunneq
569,Kampf::N,לחימה,sorsunneq
570,Bogen[Waffe]::N,קשת,
571,Pfeil::N,חץ,qalugiusaq
572,Gewehr::N,רובה,aallaat
573,Fehler::N,טעות,kukkuneq
574,Fehler::N,טעות,paarlaappaa
575,Lüge::N,שקר,
576,Schaden::N,נזק,
577,Unglück::N,מזל רע,perluut
578,Schuld::N,אשמה,akiitsugaq
579,Schuld::N,אשמה,akiligassaq
580,Alter::N,גיל,utoqqaq
581,Schluss::N,סיום,isu
582,Zeit::N,זמן,ulloq
583,Zeit::N,זמן,akuttoqatigiinneq
584,Tag::N,יום,ulloq
585,Morgen::N,בקר,ullaaq
586,Mittag::N,צהרים,ulloqeqqa
587,Abend::N,ערב,unnuk
588,Nacht::N,לילה,unnuaq
589,Woche::N,שבוע,sapaatip akunnera
590,Monat::N,חדש,qaammat
591,Jahr::N,שנה,ukioq
592,Frühling::N,אביב,upernaaq
593,Sommer::N,קיץ,aasaq
594,Herbst::N,סתו,ukiaq
595,Winter::N,חרף,ukioq
596,Januar::N,ינואר,siulleeq
597,Januar::N,ינואר,qaammaliaq
598,Februar::N,פברואר,aarlaat
599,März::N,מרץ,marsi
600,März::N,מרץ,martsi
601,April::N,אפריל,
602,Mai::N,מאי,maaji
603,Juni::N,יוני,juuni
604,Juli::N,יולי,juuli
605,August::N,אוגוסט,aggusti
606,September::N,ספטמבר,septembari
607,Oktober::N,אוקטובר,oktobari
608,November::N,נובמבר,novembari
609,Dezember::N,דצמבר,detsembari
610,Montag::N,יום שני,ataasinngortoq
611,Dienstag::N,יום שלישי,marlunngorneq
612,Mittwoch::N,יום רביעי,pingasunngorneq
613,Donnerstag::N,יום חמישי,sisamanngorneq
614,Freitag::N,יום ששי,tallimanngorneq
615,Samstag::N,יום שבת,arfininngorneq
616,Sonntag::N,יום ראשון,sapaat
617,Sonntag::N,יום ראשון,sapaati
618,groß::A,גדול,angivoq
619,klein::A,קטן,mikivoq
620,lang::A,ארך,takisooq
621,kurz::A,קצר,naatsoq
622,breit::A,רחב,silippoq
623,schmal::A,צר,amitsoq
624,dicht::A,צפוף,torsusooq
625,dick[Gegenstand]::A,עבה,issuvoq
626,dick[Gegenstand]::A,עבה,issusooq
627,dünn::A,דק,amitsoq
628,fein::A,מעדן,mamarpoq
629,fest::A,מוצק,tangeqarpoq
630,flach::A,שטוח,nalimmappoq
631,glatt::A,חלק,quasak
632,hart::A,קשיח,mattusooq
633,hart::A,קשיח,manngerpoq
634,hart::A,קשיח,titeqquluppoq
635,weich::A,רך,nerumaarpoq
636,rund::A,עגל,ammallorippoq
637,spitz::A,חד,qummukujooq
638,scharf::A,חד,ipippoq
639,stumpf::A,קהה,anngerpoq
640,schwer::A,כבד,oqimaappoq
641,schön::A,יפה,kusanarpoq
642,heiß::A,חם,kiappoq
643,warm::A,חם,oqorpoq
644,kalt::A,קר,issippoq
645,kühl::A,צונן,pueqqortippoq
646,frisch::A,טרי,
647,feucht::A,לח,isugutavoq
648,feucht::A,לח,qaasernarpoq
649,nass::A,רטוב,imerorpoq
650,trocken::A,יבש,panerpoq
651,voll::A,מלא,ulikkaarpoq
652,leer::A,ריק,imaattuarpoq
653,offen::A,פתוח,ammavoq
654,geschlossen::A,סגור,matuvoq
655,sauber::A,נקי,eqqippoq
656,sauber::A,נקי,sukuluippoq
657,sauber::A,נקי,ipeqanngilaq
658,schmutzig::A,מלכלך,tapappoq
659,schmutzig::A,מלכלך,minguppoq
660,roh::A,חי,aapavoq
661,reif::A,בשל,qaarulerpoq
662,lecker::A,טעים,
663,süß::A,מתוק,tungusunnippoq
664,bitter::A,מר,qasilippoq
665,sauer::A,חמוץ,
666,hell::A,בהיר,qaamavoq
667,dunkel::A,עמום,qernerpoq
668,schwarz::A,שחר,qernerpoq
669,weiß::A,לבן,qaqorpoq
670,rot::A,אדם,aappaluppoq
671,gelb::A,צהב,sungaarpoq
672,blau::A,כחל,tungujorpoq
673,grün::A,ירק,qorsooqqippoq
674,grau::A,אפר,qaserpoq
675,bunt::A,צבעוני,
676,billig::A,זול,akikippoq
677,teuer::A,יקר,
678,wertvoll::A,יקר ערך,erlinnarpoq
679,blind::A,עור,tappiippoq
680,blind::A,עור,isigisaqanngilaq
681,taub::A,חרש,tusilarpoq
682,kräftig::A,חסן,pissaq
683,kräftig::A,חסן,pissarsuaq
684,stark::A,חזק,sanngivoq
685,schwach::A,חלש,nakuippoq
686,fett::A,שמן,pualavoq
687,schlank::A,רזה,tuappoq
688,hübsch::A,יפה תאר,aatsialaq
689,böse::A,רשע,ajorpoq
690,dumm::A,טפש,taqajak
691,dumm::A,טפש,sikkilluppoq
692,dumm::A,טפש,qaatusimasaqanngilaq
693,faul::A,עצלן,eqiasuppoq
694,faul::A,עצלן,eqiattortuvoq
695,fleißig::A,חרוץ,eqiasuippoq
696,geizig::A,קמצן,iasilaarpoq
697,geizig::A,קמצן,tukkuippoq
698,klug::A,נבון,mallak
699,klug::A,נבון,ittanneq
700,klug::A,נבון,kutaappoq
701,klug::A,נבון,kuttaappoq
702,klug::A,נבון,qarasagippoq
703,klug::A,פקח,mallak
704,klug::A,פקח,ittanneq
705,klug::A,פקח,kutaappoq
706,klug::A,פקח,kuttaappoq
707,klug::A,פקח,qarasagippoq
708,geschickt::A,מימן,
709,lieb::A,יקר,akisooq
710,lieb::A,אהוב,akisooq
711,lustig::A,עליז,piikulavoq
712,sanft::A,עדין,isumagippoq
713,hungrig::A,רעב,kaappoq
714,hungrig::A,רעב,perlilerpoq
715,krank::A,חולה,napparsimavoq
716,nackt::A,ערום,
717,traurig::A,עצוב,aliasuppoq
718,lebendig::A,חי,uumavoq
719,gut::A,טוב,ajunngilaq
720,schlecht::A,גרוע,sualuppoq
721,richtig::A,נכון,iluarpoq
722,schlimm::A,רע,amiilaarnarpoq
723,wahr::A,אמתי,ilumoorpoq
724,alt::A,ישן,pisoqaq
725,neu::A,חדש,nutaavoq
726,ehemalig::A,לשעבר,
727,alt[Lebewesen]::A,זקן,utoqqaq
728,jung::A,צעיר,inuusuppoq
729,jung::A,צעיר,kingulliarsuk
730,arm::A,עני,piillasoq
731,arm::A,עני,piitsuuvoq
732,reich::A,עשיר,pisuuvoq
733,bekannt::A,ידוע,
734,berühmt::A,מפרסם,tusaamasaq
735,fremd::A,זר,ajasoornarpoq
736,verschieden::A,שונה,allatut
737,verschieden::A,שונה,tamalaat
738,nah::A,קרוב,qanippoq
739,fern::A,רחוק,ungasippoq
740,linker::A,שמאלי,saamerleq
741,rechter::A,ימין,innarluissut
742,anderer::A,אחר,
743,erster::A,ראשון,siulleq
744,zweiter::A,שני,qataatsup tullia
745,dritter::A,שלישי,pingajorarterut
746,letzter::A,אחרון,kingulleq
747,allein::ADV,לבד,kisimiippoq
