,Concept_ID,no,mn
1414,malen::V,male,зурах
1415,zeichnen::V,tegne,дүрслэн бичих
1416,schreiben::V,skrive,бичих
1417,besitzen::V,eie,эзэмших
1418,besitzen::V,inneha,эзэмших
1419,kaufen::V,kjøpe,худалдан авах
1420,verkaufen::V,selge,худалдах
1421,bezahlen::V,betale,төлөх
1422,zahlen::V,betale,төлөх
1423,beherrschen::V,beherske,эзэмших
1424,ertragen::V,orke,тэсэх
1425,schlagen::V,,цохих
