,Concept_ID,ml,eu
162,Schwanz::N,വാൽ,buztan
163,Ei::N,മുട്ട,arrautza
164,Nest::N,കൂട്,habia
165,Bau::N,മാളം,ohantze
166,Tier::N,മൃഗം,abere
167,Tier::N,മൃഗം,piztia
168,Herde::N,കൂട്ടം,saldo
169,Herde::N,കൂട്ടം,abere talde
170,Kuh::N,പശു,behi
171,Bulle::N,കാള,zezen
172,Pferd::N,കുതിര,zaldi
173,Schaf::N,ആട്,ardi
174,Schwein::N,പന്നി,urde
175,Schwein::N,പന്നി,txerri
176,Hund::N,നായ്,txakur
177,Katze::N,പൂച്ച,katu
178,Bär::N,കരടി,hartz
179,Eichhörnchen::N,അണ്ണാൻ,urtxintxa
180,Elch::N,കടമാന്,altze
181,Fuchs::N,കുറുക്കൻ,azeri
182,Hase::N,മുയൽ,erbi
183,Maus::N,ചുണ്ടലി,sagu
184,Wolf::N,ചെന്നായ,otso
185,Vogel::N,പക്ഷി,txori
186,Vogel::N,പക്ഷി,hegazti
187,Schwarm::N,കൂട്ടം,aldra
188,Huhn::N,കോഴി,oilo
189,Hahn::N,പൂവൻകോഴി,oilar
190,Gans::N,അരയന്നം,antzara
191,Adler::N,കഴുകൻ,arrano
192,Ente::N,താറാവ്,ahate
193,Eule::N,മൂങ്ങ,hontza
194,Kranich::N,കൊക്ക്,kurrilo
195,Krähe::N,കാക്ക,bele
196,Kuckuck::N,കുയിൽ,kuku
197,Schwan::N,അരയന്നം,beltxarga
198,Fisch::N,മത്സ്യം,arrain
199,Barsch::N,ഒരിനം മത്സ്യം,perka
200,Hecht::N,ഒരു മത്സ്യം,lutxo
201,Schlange[Tier]::N,പാമ്പ്,suge
202,Wurm::N,വിര,har
203,Spinne::N,ചിലന്തി,armiarma
204,Ameise::N,ഉറുമ്പ്,inurri
205,Laus::N,പേന്,zorri
206,Mücke::N,മശകം,eltxo
207,Fliege::N,ഈച്ച,euli
208,Schmetterling::N,ചിത്രശലഭം,pinpirin
209,Schmetterling::N,ചിത്രശലഭം,tximeleta
210,Beere::N,ബെറി,baia
211,Apfel::N,ആപ്പിൾ,sagar
212,Pilz::N,കൂൺ,onddo
213,Pilz::N,കൂൺ,perretxiko
214,Zwiebel::N,സവാള,tipula
215,Saat::N,വിത്ത്,haziak
216,Korn::N,ധാന്യം,ale
217,Korn::N,ധാന്യം,pikor
218,Heu::N,വയ്ക്കോൽ,belar ondu
219,Schale::N,തൊലി,azal
220,Grube::N,കുഴി,hobi
221,Falle::N,കെണി,harrapagailu
222,Schlinge::N,കുടുക്ക്,bilur
223,Schlinge::N,കുടുക്ക്,xedera
224,Spur::N,ചുവട്,lorratz
225,Asche::N,ചാരം,errauts
226,Dreck::N,അഴുക്ക്,satsukeria
227,Eisen::N,ഇരുമ്പ്,burdina
228,Gold::N,സ്വർണ്ണം,urre
229,Gold::N,സ്വർണ്ണം,urregorri
230,Silber::N,വെള്ളി,zilar
231,Silber::N,വെള്ളി,urrezuri
232,Kohle::N,കൽക്കരി,ikatz
233,Glas::N,ഗ്ലാസ്,beira
234,Lehm::N,കളിമണ്ണ്,buztin
235,Sand::N,മണൽ,harea
236,Sand::N,മണൽ,hondar
237,Mensch::N,മനുഷ്യർ,gizaki
238,Mann::N,പുരുഷൻ,gizon
239,Frau::N,സ്ത്രീ,andere
240,Frau::N,സ്ത്രീ,emakume
241,Kind::N,കുഞ്ഞ്,haur
242,Junge::N,ആൺകുട്ടി,mutil
243,Mädchen::N,പെൺകുട്ടി,neska
244,Familie::N,കുടുംബം,sendi
245,Familie::N,കുടുംബം,familia
246,Großvater::N,അപ്പൂപ്പൻ,aitona
247,Großvater::N,അപ്പൂപ്പൻ,aitatxi
248,Großmutter::N,അമ്മുമ്മ,amona
249,Großmutter::N,അമ്മുമ്മ,amatxi
250,Eltern::N,മാതാപിതാക്കള്,gurasoak
251,Vater::N,അച്ഛൻ,aita
252,Mutter::N,അമ്മ,ama
253,Sohn::N,മകൻ,seme
254,Tochter::N,മകൾ,alaba
255,Bruder::N,ചേട്ടൻ,neba
256,Bruder::N,ചേട്ടൻ,anaia
257,Bruder::N,അനിയൻ,neba
258,Bruder::N,അനിയൻ,anaia
259,Schwester::N,ചേച്ചി,ahizpa
260,Schwester::N,അനിയത്തി,ahizpa
261,Onkel::N,അമ്മാവൻ,osaba
262,Tante::N,മാമി,izeba
263,Ehemann::N,ഭർത്താവ്,senar
264,Ehefrau::N,ഭാര്യ,emazte
265,Freude::N,ആഹ്ലാദം,poz
266,Freude::N,ആഹ്ലാദം,pozkari
267,Gelächter::N,ചിരിയുടെ ശബ്ദം,barre
268,Gelächter::N,ചിരിയുടെ ശബ്ദം,karkara
269,Glück::N,സന്തോഷം,zori
270,Glück::N,സന്തുഷ്ടി,zori
271,Kummer::N,ശോകം,xangrin
272,Kummer::N,ശോകം,atsekabe
273,Wunsch::N,ആഗ്രഹം,nahi
274,Wunsch::N,ആഗ്രഹം,nahikunde
275,Lust::N,ആഗ്രഹം,gogo
276,Geist::N,ചുറുചുറുക്ക്,gogo
277,Gedanke::N,ചിന്ത,gogoeta
278,Gedächtnis::N,ഓർമ്മശക്തി,oroimen
279,Gedächtnis::N,ഓർമ്മശക്തി,gogoramen
280,Verstand::N,മനസ്സ്,adimen
281,Verstand::N,മനസ്സ്,ulermen
282,Sinn::N,അർത്ഥം,zentzu
283,Grund::N,കാരണം,zergati
284,Wahrheit::N,സത്യം,egia
285,Gespräch::N,സല്ലാപം,hizketa
286,Gespräch::N,സല്ലാപം,elkarrizketa
287,Märchen::N,യക്ഷിക്കഥ,ipuin
288,Erzählung::N,കഥ,edesti
289,Erzählung::N,കഥ,kontakizun
290,Nachricht::N,സന്ദേശം,albiste
291,Neuigkeit::N,വാർത്ത,berri
292,Name::N,പേര്,izen
293,Rätsel::N,പ്രഹേളിക,asmakizun
294,Rede::N,സംസാരം,hitzaldi
295,Rede::N,സംസാരം,mintzaldi
296,Sprache::N,ഭാഷ,hizkuntza
297,Stimme::N,സ്വരം,ahots
298,Wort::N,വാക്ക്,hitz
299,Zeichen::N,സംജ്ഞ,agerbide
300,Zeichen::N,സംജ്ഞ,agergarri
301,Ruf::N,വിളി,dei
302,Lärm::N,ആരവം,zarata
303,Lärm::N,ആരവം,harrabots
304,Laut::N,ശബ്ദം,hots
305,Ton::N,സ്വരഭേദം,tonu
306,Ton::N,സ്വരഭേദം,soinu
307,Lied::N,പാട്ട്,abesti
308,Ruhe::N,നിശ്ചലത,nasaitasun
309,Leute::N,ജനങ്ങൾ,jende
310,Volk::N,രാഷ്ടം,herri
311,Volk::N,രാഷ്ടം,populu
312,Arbeit::N,ജോലി,lan
313,Gast::N,അതിലി,arrotz
314,Gast::N,അതിലി,apopilo
315,Geschenk::N,സമ്മാനം,opari
316,Spiel::N,കളി,jolas
317,Gesellschaft::N,കൂട്ടായ്മ,gizarte
318,Hilfe::N,സഹായം,helpide
319,Hilfe::N,സഹായം,laguntza
320,Freund::N,സുഹൃത്ത്,lagun
321,Kamerad::N,കൂട്ടാളി,adiskide
322,Kamerad::N,കൂട്ടാളി,lagunkide
323,Angelegenheit::N,കാര്യം,afera
324,Anzahl::N,എണ്ണം,kopuru
325,Art::N,തരം,mota
326,Stück::N,കഷണം,puska
327,Teil::N,ഭാഗം,atal
328,Hälfte::N,പകുതി,erdi
329,Kreis::N,വൃത്തം,biribilki
330,Kreuz::N,കുരിശടയാളം,gurutze
331,Linie::N,വര,linea
332,Linie::N,രേഖ,linea
333,Strich::N,പക്ഷാഘാതം,marra
334,Abstand::N,വിടവ്,tarte
335,Entfernung::N,അകലം,urrunera
336,Gegend::N,പ്രദേശം,alderdi
337,Gegend::N,പ്രദേശം,eskualde
338,Platz::N,ഇടം,leku
339,Ort::N,സ്ഥലം,toki
340,Seite::N,വശം,albo
341,Mitte::N,മധ്യസ്ഥാനം,erdi
342,Gegenstand::N,സാധനം,gauzaki
343,Sache::N,വസ്തു,gauza
344,Rand::N,തൊങ്ങൽ,ertz
345,Kante::N,അറ്റം,ertz
346,Ecke::N,മൂല,kantoi
347,Spitze::N,അഗ്രം,punta
348,Ende::N,അവസാനം,buru
349,Ende::N,അവസാനം,mutur
350,Loch::N,ദ്വാരം,zulo
351,Winkel::N,കോൺ,zoko
352,Winkel::N,കോൺ,bazter
353,Muster::N,ക്രമം,eredu
354,Muster::N,ക്രമം,marrazki
355,Größe::N,വലുപ്പം,kaizu
356,Größe::N,വലുപ്പം,tamaina
357,Länge::N,നീളം,luzera
358,Höhe::N,ഉയരം,goiera
359,Höhe::N,ഉയരം,garaiera
360,Gewicht::N,കട്ടി,hazta
361,Menge::N,അളവ്,kopuru
362,Haufen::N,കൂമ്പാരം,pila
363,Haufen::N,കൂമ്പാരം,mendoi
364,Reihe::N,വരി,ilara
365,Reihe::N,വരി,errenkada
366,Boot::N,ബോട്ട്,potin
367,Boot::N,ബോട്ട്,txalupa
368,Ruder::N,പങ്കായം,arraun
369,Schlitten::N,ഉരുളില്ലാവണ്ടി,lera
370,Schlitten::N,ഉരുളില്ലാവണ്ടി,narra
371,Ski::N,ഹിമപാദുകം,eski
372,Lagerfeuer::N,തീ,su
373,Last::N,ഭാരം,zama
374,Last::N,ഭാരം,karga
375,Gang::N,നടത്തം,ibilera
376,Schritt::N,ചുവട്,pauso
377,Schritt::N,ചുവട്,urrats
378,Norden::N,വടക്ക്,ipar
379,Norden::N,വടക്ക്,iparralde
380,Süden::N,തെക്ക്,hego
381,Süden::N,തെക്ക്,hegoalde
382,Westen::N,പടിഞ്ഞാറ്,sartalde
383,Westen::N,പടിഞ്ഞാറ്,mendebalde
384,Osten::N,കിഴക്ക്,ekialde
385,Osten::N,കിഴക്ക്,sortalde
386,Holz::N,തടി,zur
387,Brett::N,ബോർഡ്,ohol
388,Platte::N,തകിട്,lauza
389,Stütze::N,താങ്ങ്,irozgarri
390,Stütze::N,താങ്ങ്,bermagailu
391,Stange::N,കമ്പ്,haga
392,Stock::N,വടി,makila
393,Stab::N,കുറുവടി,makila
394,Rohr::N,കുഴൽ,hodi
395,Haus::N,വീട്,etxe
396,Heim::N,വീട്,etxe
397,Heim::N,വീട്,etxaleku
398,Ofen::N,സ്റ്റൌ,berogailu
399,Fußboden::N,തറ,zoru
400,Tisch::N,മേശ,mahai
401,Stuhl::N,കസേര,aulki
402,Wiege::N,തൊട്ടിൽ,kuma
403,Wiege::N,തൊട്ടിൽ,sehaska
404,Bett::N,കിടക്ക,ohe
405,Bett::N,കിടക്ക,ohatze
406,Regal::N,ഷെൽഫ്,apalategi
407,Kiste::N,പെട്ടി,kutxa
408,Fenster::N,ജനൽ,leiho
409,Tür::N,വാതിൽ,ate
410,Tor::N,കവാടം,atari
411,Zaun::N,വേലി,hesi
412,Dach::N,മേൽക്കുര,teilatu
413,Leiter::N,ഏണി,zurubi
414,Besen::N,ചൂല്,erratz
415,Spaten::N,തൂമ്പ,burdinpala
416,Schaufel::N,തൂമ്പ,pala
417,Gabel::N,മുൾക്കത്തി,sardexka
418,Löffel::N,സ്പൂൺ,koilara
419,Messer::N,കത്തി,aizto
420,Nagel::N,ആണി,iltze
421,Netz::N,വല,sare
422,Haken::N,കൊളുത്ത്,mako
423,Griff::N,കൈപ്പിടി,eskutoki
424,Schloss::N,പൂട്ട്,sarraila
425,Bild::N,ചിത്രം,irudi
426,Figur::N,കണക്ക്,figura
427,Puppe::N,പാവ,panpina
428,Puppe::N,പാവ,andrakila
429,Beutel::N,ബാഗ്,zorro
430,Bündel::N,കെട്ട്,azao
431,Bündel::N,കെട്ട്,espal
432,Tasche::N,ബാഗ്,poltsa
433,Eimer::N,ബക്കറ്റ്,treska
434,Deckel::N,ഉറ,tapa
435,Deckel::N,ഉറ,estalki
436,Geschirr::N,പിഞ്ഞാണം,baxera
437,Geschirr::N,പിഞ്ഞാണം,ontziteria
438,Sack::N,ചാക്ക്,zaku
439,Tasse::N,കപ്പ്,kikara
440,Topf::N,പാത്രം,ontzi
441,Topf::N,പാത്രം,lapiko
442,Kessel::N,കെറ്റ്ല്,pazia
443,Essen::N,ആഹാരസമയം,janaldi
444,Nahrung::N,ഭക്ഷണം,jan
445,Speise::N,ഡിഷ്,jaki
446,Fleisch::N,മാംസം,okela
447,Fleisch::N,മാംസം,haragi
448,Getreide::N,ചോളം,labore
449,Brei::N,കഞ്ഞി,ahi
450,Brei::N,കഞ്ഞി,pure
451,Brot::N,റോട്ടി,ogi
452,Scheibe::N,തുണ്ട്,xerra
453,Scheibe::N,തുണ്ട്,pirripita
454,Fett::N,കൊഴുപ്പ്,urin
455,Fett::N,കൊഴുപ്പ്,koipe
456,Butter::N,വെണ്ണ,gurin
457,Öl::N,എണ്ണ,olio
458,Salz::N,ഉപ്പ്,gatz
459,Suppe::N,സൂപ്പ്,zopa
460,Suppe::N,സൂപ്പ്,salda
461,Honig::N,തേൻ,ezti
462,Milch::N,പാൽ,esne
463,Tee::N,ചായ,te
464,Leder::N,തുകൽ,larru
465,Wolle::N,കമ്പിളി,artile
466,Stoff::N,തുണി,ehun
467,Nadel::N,സൂചി,orratz
468,Nadel::N,സൂചി,jostorratz
469,Faden::N,നൂല്,hari
470,Knopf::N,ബട്ടൺ,botoi
471,Knoten::N,കുരുക്ക്,korapilo
472,Farbe::N,പെയിൻറ്,pintura
473,Kleidung::N,വസ്ത്രങ്ങൾ,arropa
474,Kleidung::N,വസ്ത്രങ്ങൾ,jantziak
475,Hemd::N,ഷർട്ട്,atorra
476,Hemd::N,ഷർട്ട്,alkandora
477,Kragen::N,കുപ്പായക്കഴുത്ത്,idun
478,Ärmel::N,കുപ്പായക്കൈ,mahuka
479,Hose::N,ട്രൌസർ,prakak
480,Hose::N,ട്രൌസർ,galtzak
481,Gürtel::N,ബെൽറ്റ്,gerriko
482,Mütze::N,തൊപ്പി,txano
483,Mütze::N,തൊപ്പി,txapel
484,Schuh::N,ഷൂ,oski
485,Schuh::N,ഷൂ,oinetako
486,Stiefel::N,ബൂട്ട്,bota
487,Ring::N,മോതിരം,uztai
488,Band::N,റിബൺ,zinta
489,Band::N,റിബൺ,xingola
490,Kamm::N,ചീപ്പ്,orrazi
491,Spiegel::N,കണ്ണാടി,mirail
492,Riemen::N,സ്ട്രാപ്പ്,uhal
493,Schnur::N,ചരട്,lokailu
494,Leine::N,കെട്ടാനുള്ള തോൽവാർ,lotura
495,Decke::N,പുതപ്പ്,burusi
496,Kissen::N,തലയിണ,kuxin
497,Tuch::N,സ്കാർഫ്,zapi
498,Tuch::N,സ്കാർഫ്,oihal
499,Handtuch::N,തോർത്ത്,eskuzapi
500,Handtuch::N,തോർത്ത്,eskuoihal
501,Kraft::N,ശക്തി,indar
502,Stärke::N,ശക്തി,indar
503,Gesundheit::N,ആരോഗ്യം,osasun
504,Krankheit::N,അസുഖം,eritasun
505,Krankheit::N,അസുഖം,gaixotasun
506,Schmerz::N,വേദന,min
507,Wunde::N,മുറിവ്,zauri
508,Fieber::N,പനി,sukar
509,Arznei::N,മരുന്ന്,osagai
510,Arznei::N,മരുന്ന്,sendagai
511,Brücke::N,പാലം,zubi
512,Brunnen::N,കിണർ,putzu
513,Weide::N,മേച്ചൽ,alha
514,Weide::N,മേച്ചൽ,bazkaleku
515,Pfad::N,വഴി,zidor
516,Pfad::N,വഴി,bidexka
517,Weg::N,വഴി,bide
518,Straße::N,റോഡ്,errepide
519,Dorf::N,ഗ്രാമം,herri
520,Stadt::N,നഗരം,hiri
521,Brief::N,കത്ത്,gutun
522,Brief::N,കത്ത്,eskutitz
523,Buch::N,പുസ്തകം,liburu
524,Buchstabe::N,അക്ഷരം,hizki
525,Zeitung::N,വർത്തമാനപത്രം,egunkari
526,Leben::N,ജീവൻ,bizi
527,Leben::N,ജീവൻ,bizitza
528,Tod::N,മരണം,herio
529,Tod::N,മരണം,heriotza
530,Grab::N,ശവക്കുഴി,hobi
531,Grab::N,ശവക്കുഴി,hilobi
532,Kirche::N,പള്ളി,eliza
533,Sünde::N,പാപം,hoben
534,Sünde::N,പാപം,bekatu
535,Gott::N,ദൈവം,jainko
536,Arbeiter::N,ജോലിക്കാരൻ,langile
537,Arbeiter::N,ജോലിക്കാരൻ,behargin
538,Chef::N,മേധാവി,nagusi
539,Meister::N,യജമാനൻ,maisu
540,Arzt::N,ഡോക്ടർ,osagile
541,Arzt::N,ഡോക്ടർ,sendagile
542,Lehrer::N,അധ്യാപകൻ,irakasle
543,Geld::N,പണം,diru
544,Geschäft::N,ബിസിനസ്,negozio
545,Laden::N,കട,denda
546,Laden::N,കട,saltegi
547,Preis::N,വില,prezio
548,Preis::N,വില,salneurri
549,Ware::N,ചരക്ക്,salgai
550,Nutzen::N,ലാഭം,onura
551,Nutzen::N,ലാഭം,probetxu
552,Reichtum::N,ധനം,aberastasun
553,Welt::N,ലോകം,ludi
554,Welt::N,ലോകം,mundu
555,Land::N,രാജ്യം,herrialde
556,Staat::N,രാജ്യം,estatu
557,König::N,രാജാവ്,errege
558,Macht::N,അധികാരം,botere
559,Grenze::N,അതിർത്തി,muga
560,Krieg::N,യുദ്ധം,guda
561,Feind::N,ശത്രു,etsai
562,Feind::N,ശത്രു,arerio
563,Gewalt::N,അക്രമം,bortxa
564,Gewalt::N,അക്രമം,bortizkeria
565,Kampf::N,പോരാട്ടം,gudu
566,Kampf::N,പോരാട്ടം,auska
567,Bogen[Waffe]::N,വില്ല്,arku
568,Pfeil::N,അമ്പ്,gezi
569,Gewehr::N,തോക്ക്,fusil
570,Fehler::N,പിശക്,huts
571,Fehler::N,പിശക്,hutsegin
572,Lüge::N,കള്ളം,gezur
573,Schaden::N,കേടുപാട്,kalte
574,Unglück::N,ദൌർഭാഗ്യം,zoritxar
575,Unglück::N,ദൌർഭാഗ്യം,zorigaitz
576,Schuld::N,തെറ്റ്,erru
577,Alter::N,വയസ്സ്,adin
578,Schluss::N,നിഗമനം,bukaera
579,Zeit::N,സമയം,aldi
580,Zeit::N,സമയം,denbora
581,Tag::N,ദിവസം,egun
582,Morgen::N,പ്രഭാതം,goiz
583,Mittag::N,ഉച്ച,eguerdi
584,Abend::N,സായാഹ്നം,arrats
585,Nacht::N,രാത്രി,gau
586,Woche::N,ആഴ്ച,aste
587,Monat::N,മാസം,hil
588,Jahr::N,വർഷം,urte
589,Frühling::N,വസന്തം,udalehen
590,Sommer::N,വേനൽ,uda
591,Herbst::N,ശരത്കാലം,udazken
592,Herbst::N,ശരത്കാലം,neguantz
593,Winter::N,ശൈത്യം,negu
594,Januar::N,ജനുവരി,urtarril
595,Februar::N,ഫെബ്രുവരി,otsail
596,März::N,മാർച്ച്,martxo
597,April::N,ഏപ്രിൾ മാസം,apiril
598,Mai::N,മെയ് മാസം,maiatz
599,Juni::N,ജൂൺ,ekain
600,Juli::N,ജൂലൈ,uztail
601,August::N,ആഗസ്റ്റ്,abuztu
602,September::N,സെപ്തംബർ,irail
603,Oktober::N,ഒക്ടോബർ,urri
604,November::N,നവംബർ,azaro
605,Dezember::N,ഡിസംബർ,abendu
606,Montag::N,തിങ്കളാഴ്ച,astelehen
607,Dienstag::N,ചൊവ്വ,astearte
608,Mittwoch::N,ബുധനാഴ്ച,asteazken
609,Donnerstag::N,വ്യാഴാഴ്ച,ostegun
610,Freitag::N,വെള്ളിയാഴ്ച,ostiral
611,Samstag::N,ശനിയാഴ്ച,larunbat
612,Sonntag::N,ഞായറാഴ്ച,igande
613,groß::A,വലിയ,handi
614,klein::A,ചെറിയ,txiki
615,lang::A,നീണ്ട,luze
616,kurz::A,ഹ്രസ്വമായ,labur
617,breit::A,വിശാലമായ,zabal
618,schmal::A,ഇടുങ്ങിയ,mehar
619,dicht::A,നിബിഡമായ,sarri
620,dicht::A,നിബിഡമായ,trinko
621,dick[Gegenstand]::A,തടിച്ച,lodi
622,dünn::A,മെലിഞ്ഞ,mehe
623,fein::A,നേർത്ത,fin
624,fest::A,ഉറപ്പുള്ള,tinko
625,flach::A,പരന്ന,lau
626,flach::A,പരന്ന,ordoki
627,glatt::A,മിനുസമുള്ള,leun
628,hart::A,കട്ടിയുള്ള,gogor
629,weich::A,മൃദുവായ,bigun
630,weich::A,മൃദുവായ,beratz
631,rund::A,വട്ടത്തിലുള്ള,biribil
632,spitz::A,മുനയുള്ള,puntadun
633,scharf::A,മൂർച്ചയുള്ള,zorrotz
634,stumpf::A,തുറന്നടിക്കുന്ന,kamuts
635,schwer::A,ഭാരമുള്ള,astun
636,schwer::A,ഭാരമുള്ള,pisutsu
637,schön::A,മനോഹരമായ,eder
638,heiß::A,ചൂടുള്ള,bero
639,heiß::A,ചൂടുള്ള,oso bero
640,warm::A,ചൂടുള്ള,bero
641,kalt::A,തണുത്ത,hotz
642,kühl::A,തണുപ്പുള്ള,hotzil
643,frisch::A,ശുദ്ധമായ,fresko
644,frisch::A,ശുദ്ധമായ,hozkirri
645,feucht::A,ഈറനുള്ള,heze
646,nass::A,നനഞ്ഞ,busti
647,trocken::A,വരണ്ട,siku
