,Concept_ID,ca,be
92,Regen::N,pluja,дождж
93,Schnee::N,neu,снег
94,Eis::N,gel,лёд
95,Eis::N,glaç,лёд
96,Frost::N,glaçada,мароз
97,Kälte::N,fred,холад
98,Hitze::N,calor,спёка
99,Raureif::N,gebre,іней
100,Regenbogen::N,arc iris,вясёлка
101,Donner::N,tro,гром
102,Strömung::N,corrent,цячэнне
103,Tropfen::N,gota,кропля
104,Schaum::N,escuma,пена
105,Schmutz::N,brutícia,гразь
106,See::N,llac,возера
107,Sumpf::N,pantà,багна
108,Moor::N,pantà,балота
109,Wiese::N,prat,луг
110,Wiese::N,prada,луг
111,Wald::N,bosc,лес
112,Hügel::N,puig,узгорак
113,Hügel::N,pujol,узгорак
114,Anhöhe::N,turó,узвышша
115,Berg::N,muntanya,гара
116,Gipfel::N,cim,вяршыня
117,Höhle::N,cova,пячора
118,Abhang::N,coster,схіл
119,Quelle::N,font,крыніца
120,Bach::N,riera,ручай
121,Fluss::N,riu,рака
122,Ufer::N,riba,бераг
123,Küste::N,costa,узбярэжжа
124,Festland::N,terra ferma,суша
125,Meer::N,mar,мора
126,Bucht::N,cala,бухта
127,Bucht::N,badia,бухта
128,Insel::N,illa,востраў
129,Blume::N,flor,кветка
130,Gras::N,herba,трава
131,Wurzel::N,rel,корань
132,Wurzel::N,arrel,корань
133,Baum::N,arbre,дрэва
134,Stamm::N,tronc,ствол
135,Rinde::N,escorça,кара
136,Ast::N,branca,сук
137,Zweig::N,ram,галіна
138,Blatt::N,fulla,ліст
139,Birke::N,bedoll,бяроза
140,Kiefer[Baum]::N,pi,хвоя
141,Kiefer[Baum]::N,pi,сасна
142,Weide[Baum]::N,salze,вярба
143,Tanne::N,avet,яліна
144,Horn::N,corn,рог
145,Horn::N,banya,рог
146,Feder::N,ploma,пяро
147,Fell::N,pell,шкура
148,Flügel::N,ala,крыло
149,Klaue::N,urpa,кіпцюр
150,Kralle::N,grapa,лапа
151,Schwanz::N,cua,хвост
152,Ei::N,ou,яйка
153,Nest::N,niu,гняздо
154,Bau::N,cau,нара
155,Tier::N,animāl,жывёла
156,Herde::N,ramat,статак
157,Kuh::N,vaca,карова
158,Bulle::N,toro,бык
159,Pferd::N,cavāll,конь
160,Schaf::N,be,авечка
161,Schaf::N,ovella,авечка
162,Schwein::N,bacó,свіння
163,Hund::N,ca,сабака
164,Hund::N,gos,сабака
165,Katze::N,gat,кошка
166,Bär::N,ós,мядзведзь
167,Eichhörnchen::N,esquirol,вавёрка
168,Elch::N,ant,лось
169,Fuchs::N,guilla,ліса
170,Hase::N,llebre,заяц
171,Maus::N,ratolí,мыш
172,Wolf::N,llop,воўк
173,Vogel::N,au,птах
174,Vogel::N,au,птушка
175,Vogel::N,ocēll,птах
176,Vogel::N,ocēll,птушка
177,Schwarm::N,bandada,чарада
178,Huhn::N,gallina,курыца
179,Hahn::N,gall,певень
180,Gans::N,oca,гусь
181,Adler::N,àguila,арол
182,Ente::N,ànec,качка
183,Eule::N,òliba,сава
184,Eule::N,mussol,сава
185,Kranich::N,grua,жораў
186,Kranich::N,grua,журавель
187,Krähe::N,cornella,варона
188,Kuckuck::N,cucut,зязюля
189,Schwan::N,cigne,лебедзь
190,Fisch::N,peix,рыба
191,Barsch::N,perca,акунь
192,Hecht::N,lluç,шчупак
193,Schlange[Tier]::N,serp,змяя
194,Wurm::N,cuc,чарвяк
195,Spinne::N,aranya,павук
196,Ameise::N,formiga,мурашка
197,Laus::N,poll,вош
198,Mücke::N,mosquit,камар
199,Fliege::N,mosca,муха
200,Schmetterling::N,papallona,матыль
201,Beere::N,baia,ягада
202,Apfel::N,poma,яблык
203,Pilz::N,bolet,грыб
204,Zwiebel::N,ceba,цыбуля
205,Saat::N,sembra,семя
206,Korn::N,gra,зерне
207,Heu::N,fenc,сена
208,Schale::N,closca,шалупінне
209,Grube::N,sot,яма
210,Grube::N,clot,яма
211,Falle::N,trampa,пастка
212,Schlinge::N,baga,сіло
213,Spur::N,traça,след
214,Asche::N,cendra,попел
215,Dreck::N,llot,бруд
216,Eisen::N,ferro,жалеза
217,Gold::N,or,золата
218,Silber::N,plata,сребра
219,Kohle::N,carbó,вугаль
220,Glas::N,vidre,шкло
221,Lehm::N,fang,гліна
222,Lehm::N,argila,гліна
223,Sand::N,arena,пясок
224,Mensch::N,humà,чалавек
225,Mensch::N,persona,чалавек
226,Mann::N,home,мужчына
227,Frau::N,dona,жанчына
228,Kind::N,nen,дзіця
229,Junge::N,noi,хлопчык
230,Mädchen::N,noia,дзяўчынка
231,Familie::N,família,сямʼя
232,Großvater::N,avi,дзядуля
233,Großmutter::N,àvia,бабуля
234,Eltern::N,pares,бацькі
235,Vater::N,pare,бацька
236,Mutter::N,mare,маці
237,Sohn::N,fill,сын
238,Tochter::N,filla,дачка
239,Bruder::N,germà,брат
240,Schwester::N,germana,сястра
241,Onkel::N,oncle,дзядзька
242,Tante::N,tia,цётка
243,Ehemann::N,espòs,муж
244,Ehefrau::N,muller,жонка
245,Freude::N,goig,радасць
246,Freude::N,alegria,радасць
247,Gelächter::N,riallada,смех
248,Glück::N,felicitat,шчасце
249,Kummer::N,pena,гора
250,Wunsch::N,desig,жаданне
251,Lust::N,ganes,цяга
252,Geist::N,ment,дух
253,Geist::N,esperit,дух
254,Gedanke::N,pensament,думка
255,Gedächtnis::N,memòria,памяць
256,Verstand::N,raó,розум
257,Verstand::N,seny,розум
258,Sinn::N,solta,сэнс
259,Sinn::N,sentit,сэнс
260,Grund::N,raó,зачэпка
261,Grund::N,causa,зачэпка
262,Wahrheit::N,veritāt,праўда
263,Gespräch::N,conversa,размова
264,Märchen::N,conte,казка
265,Erzählung::N,narració,расказ
266,Erzählung::N,narració,апавяданне
267,Nachricht::N,missatge,вестка
268,Nachricht::N,missatge,паведамленне
269,Neuigkeit::N,novetat,навіна
270,Name::N,nom,імя
271,Rätsel::N,endevinalla,загадка
272,Rede::N,discurs,прамова
273,Sprache::N,llēngua,мова
274,Stimme::N,veu,голас
275,Wort::N,mot,слова
276,Wort::N,paraula,слова
277,Zeichen::N,signe,знак
278,Zeichen::N,senyal,знак
279,Ruf::N,crida,кліч
280,Lärm::N,sorōll,шум
281,Laut::N,so,гук
282,Ton::N,to,гучанне
283,Lied::N,cançó,песня
284,Ruhe::N,calma,спакой
285,Ruhe::N,silenci,спакой
286,Leute::N,gent,людзі
287,Volk::N,poble,народ
288,Arbeit::N,labor,праца
289,Arbeit::N,labor,работа
290,Arbeit::N,treball,праца
291,Arbeit::N,treball,работа
292,Gast::N,hoste,госць
293,Geschenk::N,regal,падарунак
294,Geschenk::N,obsequi,падарунак
295,Spiel::N,joc,гульня
296,Gesellschaft::N,companyia,таварыства
297,Hilfe::N,ajut,дапамога
298,Freund::N,amīc,друг
299,Freund::N,amīc,сябар
300,Kamerad::N,company,прыяцель
301,Kamerad::N,camarada,прыяцель
302,Angelegenheit::N,afer,справа
303,Angelegenheit::N,assumpte,справа
304,Anzahl::N,nombre,колькасць
305,Anzahl::N,quantitat,колькасць
306,Art::N,tipus,від
307,Art::N,classe,від
308,Stück::N,peça,кусок
309,Stück::N,peça,кавалак
310,Teil::N,part,частка
311,Hälfte::N,meitat,палова
312,Hälfte::N,meitat,палавіна
313,Kreis::N,cercle,круг
314,Kreuz::N,creu,крыж
315,Linie::N,línia,лінія
316,Strich::N,traç,рыса
317,Strich::N,ratlla,рыса
318,Abstand::N,distància,прамежак
319,Entfernung::N,distància,адлегласць
320,Gegend::N,regió,мясцовасць
321,Gegend::N,contrada,мясцовасць
322,Platz::N,cabuda,месца
323,Ort::N,lloc,месца
324,Seite::N,banda,бок
325,Seite::N,costāt,бок
326,Mitte::N,mig,сярэдзіна
327,Mitte::N,centre,сярэдзіна
328,Gegenstand::N,objecte,прадмет
329,Sache::N,cosa,рэч
330,Rand::N,vora,край
331,Rand::N,marge,край
332,Kante::N,caire,руб
333,Kante::N,caire,кант
334,Kante::N,cantell,руб
335,Kante::N,cantell,кант
336,Ecke::N,cantonada,вугал
337,Spitze::N,punta,кончык
338,Ende::N,cap,канец
339,Loch::N,forāt,дзірка
340,Winkel::N,racó,вугал
341,Muster::N,dibuix,узор
342,Muster::N,disseny,узор
343,Größe::N,grandària,памер
344,Länge::N,longitud,даўжыня
345,Höhe::N,altura,вышыня
346,Höhe::N,altitud,вышыня
347,Gewicht::N,pes,вага
348,Menge::N,quantitat,колькасць
349,Haufen::N,pila,куча
350,Reihe::N,fila,рад
351,Boot::N,bot,лодка
352,Boot::N,barca,лодка
353,Ruder::N,rem,вясло
354,Schlitten::N,trineu,сані
355,Ski::N,esquí,лыжа
356,Lagerfeuer::N,foc de campament,вогнішча
357,Last::N,càrrega,цяжар
358,Gang::N,marxa,ход
359,Schritt::N,pas,шаг
360,Schritt::N,pas,крок
361,Norden::N,nord,поўнач
362,Süden::N,sud,поўдзень
363,Westen::N,oest,захад
364,Westen::N,occident,захад
365,Osten::N,est,усход
366,Osten::N,orient,усход
367,Holz::N,fusta,дрэва
368,Holz::N,fusta,драўніна
369,Brett::N,taula,дошка
370,Platte::N,placa,пліта
371,Stütze::N,suport,падпорка
372,Stange::N,vara,жэрдка
373,Stock::N,pal,палка
374,Stab::N,bastó,шост
375,Rohr::N,tub,труба
376,Haus::N,casa,дом
377,Heim::N,llar,дом
378,Heim::N,llar,хата
379,Ofen::N,estufa,печ
380,Fußboden::N,terra,падлога
381,Tisch::N,taula,стол
382,Stuhl::N,cadira,стул
383,Stuhl::N,cadira,крэсла
384,Wiege::N,bressol,калыска
385,Bett::N,llit,ложак
386,Bett::N,llit,пасцель
387,Regal::N,prestatgeria,паліца
388,Kiste::N,caixa,скрынка
389,Fenster::N,finestra,акно
390,Tür::N,porta,дзверы
391,Tor::N,portal,вароты
392,Zaun::N,tanca,агароджа
393,Dach::N,teulada,дах
394,Leiter::N,escala,лесвіца
395,Leiter::N,escala de mà,лесвіца
396,Besen::N,escombra,мятла
397,Spaten::N,pala,лапата
398,Spaten::N,pala,жалязняк
399,Schaufel::N,pala,шуфлік
400,Schaufel::N,pala,лапатка
401,Gabel::N,forquilla,відэлец
402,Löffel::N,cullera,лыжка
403,Messer::N,coltell,нож
404,Nagel::N,clau,цвік
405,Netz::N,filat,сетка
406,Haken::N,ganxo,крук
407,Griff::N,puny,ручка
408,Griff::N,mànec,ручка
409,Schloss::N,pany,замок
410,Bild::N,imatge,карціна
411,Figur::N,figura,фігура
412,Puppe::N,nina,лялька
413,Beutel::N,bossa,мяшок
414,Bündel::N,feix,вязка
415,Bündel::N,paquet,вязка
416,Tasche::N,bossa,торба
417,Eimer::N,galleda,вядро
418,Deckel::N,tapa,накрыўка
419,Deckel::N,tapadora,накрыўка
420,Geschirr::N,vaixella,пасуда
421,Sack::N,sac,мех
422,Sack::N,saca,мех
423,Tasse::N,tassa,кубак
424,Topf::N,pot,каструля
425,Topf::N,olla,каструля
426,Kessel::N,caldera,кацёл
427,Essen::N,àpat,ежа
428,Essen::N,menjada,ежа
429,Nahrung::N,aliment,харч
430,Speise::N,plat,страва
431,Fleisch::N,carn,мяса
432,Getreide::N,cereals,збожжа
433,Brei::N,puré,каша
434,Brot::N,pa,хлеб
435,Scheibe::N,tall,луста
436,Scheibe::N,tall,скібка
437,Scheibe::N,llesca,луста
438,Scheibe::N,llesca,скібка
439,Fett::N,greix,тлушч
440,Butter::N,mantega,масла
441,Öl::N,oli,алей
442,Salz::N,sal,соль
443,Suppe::N,sopa,суп
444,Honig::N,mel,мёд
445,Milch::N,llet,малако
446,Tee::N,te,чай
447,Tee::N,te,гарбата
448,Leder::N,cuir,скура
449,Wolle::N,llana,воўна
450,Stoff::N,tela,тканіна
451,Nadel::N,agulla,іголка
452,Faden::N,fil,нітка
453,Knopf::N,botó,гузік
454,Knoten::N,nus,вузел
455,Farbe::N,pintura,фарба
456,Kleidung::N,roba,адзенне
457,Kleidung::N,vestits,адзенне
458,Hemd::N,camisa,кашуля
459,Kragen::N,coll,каўнер
460,Ärmel::N,màniga,рукаў
461,Hose::N,pantalōns,штаны
462,Gürtel::N,cinturó,пояс
463,Mütze::N,gorra,шапка
464,Schuh::N,sabata,чаравік
465,Stiefel::N,bota,бот
466,Ring::N,anell,кольца
467,Band::N,veta,стужка
468,Band::N,cinta,стужка
469,Kamm::N,pinta,расчоска
470,Spiegel::N,mirāll,люстра
471,Riemen::N,corretja,рэмень
472,Schnur::N,corda,вяроўка
473,Leine::N,corretja,павадок
474,Decke::N,manta,коўдра
475,Decke::N,flassada,коўдра
476,Kissen::N,coixí,падушка
477,Tuch::N,mocador,хустка
478,Handtuch::N,tovallola,ручнік
479,Kraft::N,força,сіла
480,Stärke::N,vigor,моц
481,Gesundheit::N,salut,здароўе
482,Krankheit::N,malaltia,хвароба
483,Schmerz::N,dolor,боль
484,Wunde::N,ferida,рана
485,Fieber::N,febre,гарачка
486,Fieber::N,febre,ліхаманка
487,Arznei::N,medicament,лекі
488,Brücke::N,pont,мост
489,Brunnen::N,pou,калодзеж
490,Weide::N,pastura,паша
491,Pfad::N,senda,сцежка
492,Pfad::N,sender,сцежка
493,Weg::N,camí,шлях
494,Weg::N,camí,дарога
495,Straße::N,carretera,вуліца
496,Dorf::N,poble,вёска
497,Stadt::N,ciutāt,горад
498,Brief::N,carta,ліст
499,Brief::N,carta,пісьмо
500,Buch::N,llibre,кніга
501,Buchstabe::N,lletra,літара
502,Zeitung::N,diāri,газета
503,Leben::N,vida,жыццё
504,Tod::N,mort,смерць
505,Grab::N,tomba,магіла
506,Kirche::N,església,касцёл
507,Kirche::N,església,царква
508,Sünde::N,pecat,грэх
509,Gott::N,déu,бог
510,Arbeiter::N,obrer,рабочы
511,Chef::N,cap,начальнік
512,Meister::N,mestre,майстар
513,Arzt::N,metge,урач
514,Lehrer::N,mestre,настаўнік
515,Geld::N,dinērs,грошы
516,Geschäft::N,negoci,заняцце
517,Laden::N,tenda,крама
518,Laden::N,tenda,магазін
519,Laden::N,botiga,крама
520,Laden::N,botiga,магазін
521,Preis::N,preu,цана
522,Ware::N,mercaderia,тавар
523,Nutzen::N,profit,выгада
524,Reichtum::N,riquesa,багацце
525,Welt::N,món,свет
526,Land::N,país,краіна
527,Staat::N,estat,дзяржава
528,König::N,rei,кароль
529,Macht::N,poder,улада
530,Macht::N,potència,улада
531,Grenze::N,frontera,граніца
532,Krieg::N,guerra,вайна
533,Feind::N,enemic,вораг
534,Gewalt::N,violència,насілле
535,Kampf::N,lluita,барацьба
536,Bogen[Waffe]::N,arc,лук
537,Pfeil::N,fletxa,страла
538,Gewehr::N,fusell,ружжо
539,Gewehr::N,escopeta,ружжо
540,Fehler::N,falta,памылка
541,Lüge::N,mentida,хлусня
542,Schaden::N,dany,шкода
543,Unglück::N,desgràcia,ліха
544,Unglück::N,desgràcia,бядота
545,Schuld::N,culpa,віна
546,Alter::N,edat,узрост
547,Schluss::N,fi,канец
548,Schluss::N,final,канец
549,Zeit::N,temps,час
550,Tag::N,dia,дзень
551,Morgen::N,matí,ранак
552,Morgen::N,matí,раніца
553,Mittag::N,migdia,паўдня
554,Mittag::N,migdia,поўдзень
555,Abend::N,vespre,вечар
556,Nacht::N,nit,ноч
557,Woche::N,setmana,тыдзень
558,Monat::N,mes,месяц
559,Jahr::N,any,год
560,Frühling::N,primavera,вясна
561,Sommer::N,estīu,лета
562,Herbst::N,tardor,восень
563,Winter::N,hivērn,зіма
564,Januar::N,gener,студзень
565,Februar::N,febrer,люты
566,März::N,març,сакавік
567,April::N,abril,красавік
568,Mai::N,maig,май
569,Mai::N,maig,травень
570,Juni::N,juny,чэрвень
571,Juli::N,juliol,ліпень
572,August::N,agost,жнівень
573,September::N,setembre,верасень
574,Oktober::N,octubre,кастрычнік
575,November::N,novembre,лістапад
576,Dezember::N,desembre,снежань
577,Montag::N,dilluns,панядзелак
578,Dienstag::N,dimarts,аўторак
579,Mittwoch::N,dimecres,серада
580,Donnerstag::N,dijous,чацвер
581,Freitag::N,divendres,пятніца
582,Samstag::N,dissabte,субота
583,Sonntag::N,diumenge,нядзеля
584,groß::A,gros,вялікі
585,klein::A,petīt,маленькі
586,lang::A,llarg,доўгі
587,kurz::A,curt,кароткі
588,breit::A,ample,шырокі
589,schmal::A,estret,вузкі
590,dicht::A,dens,густы
591,dick[Gegenstand]::A,gruixūt,тоўсты
592,dünn::A,prim,тонкі
593,fein::A,fi,тонкі
594,fest::A,ferm,моцны
595,fest::A,sòlid,моцны
596,flach::A,pla,плоскі
597,glatt::A,llis,гладкі
598,hart::A,dur,цвёрды
599,weich::A,tou,мяккі
600,rund::A,rodó,круглы
601,spitz::A,punxegut,спічасты
602,spitz::A,punxegut,востраканцовы
603,scharf::A,agut,востры
604,stumpf::A,rom,тупы
605,stumpf::A,esmussat,тупы
606,schwer::A,pesāt,цяжкі
607,schön::A,bonīc,прыгожы
608,heiß::A,calēnt,гарачы
609,warm::A,càlid,цёплы
610,kalt::A,fred,холадны
611,kühl::A,fresc,халаднаваты
612,frisch::A,fresc,свежы
613,feucht::A,humit,вільготны
614,nass::A,mullat,мокры
615,trocken::A,sec,сухі
616,voll::A,ple,поўны
617,leer::A,buit,пусты
618,offen::A,obert,адкрыты
619,offen::A,obert,адчынены
620,geschlossen::A,tancat,закрыты
621,geschlossen::A,tancat,зачынены
622,sauber::A,net,чысты
623,schmutzig::A,brut,брудны
624,roh::A,cru,сыры
625,reif::A,madur,спелы
626,lecker::A,deliciós,смачны
627,süß::A,dolç,салодкі
628,bitter::A,amarg,горкі
629,sauer::A,agre,кіслы
630,hell::A,clar,светлы
631,dunkel::A,fosc,цёмны
632,schwarz::A,negre,чорны
633,weiß::A,blanc,белы
634,rot::A,vermēll,чырвоны
635,gelb::A,groc,жоўты
636,blau::A,blau,сіні
637,grün::A,verd,зялёны
638,grau::A,gris,шэры
639,bunt::A,multicolor,пяресты
640,billig::A,barat,танны
641,teuer::A,car,дарагі
642,wertvoll::A,preciós,цэнны
643,wertvoll::A,preciós,каштоўны
644,blind::A,cec,сляпы
645,taub::A,sord,глухі
646,kräftig::A,fort,магутны
647,kräftig::A,vigorós,магутны
648,stark::A,fort,сільны
649,schwach::A,feble,слабы
650,fett::A,gras,тлусты
651,schlank::A,esvelt,стройны
652,hübsch::A,maco,чароўны
653,böse::A,dolent,злы
654,dumm::A,ximple,дурны
655,dumm::A,estúpid,дурны
656,faul::A,gandūl,лянівы
657,faul::A,mandrós,лянівы
658,fleißig::A,diligēnt,руплівы
659,geizig::A,avar,прагны
660,klug::A,intel·ligent,разумны
661,geschickt::A,hàbil,умелы
662,lieb::A,amat,мілы
663,lieb::A,estimat,мілы
664,lustig::A,alegre,вясёлы
665,sanft::A,suau,ласкавы
666,hungrig::A,afamat,галодны
667,krank::A,malālt,хворы
668,nackt::A,nu,голы
669,traurig::A,trist,сумны
670,lebendig::A,viu,жывы
671,gut::A,bo,добры
672,schlecht::A,dolēnt,кепскі
673,richtig::A,just,правільны
674,richtig::A,correcte,правільны
675,schlimm::A,greu,агідны
676,wahr::A,vertader,сапраўдны
677,wahr::A,veritable,сапраўдны
678,alt::A,vell,стары
679,neu::A,nou,новы
680,ehemalig::A,antic,былы
681,alt[Lebewesen]::A,vell,стары
682,jung::A,jove,малады
683,arm::A,pobre,бедны
684,reich::A,ric,багаты
685,bekannt::A,conegut,знаёмы
686,berühmt::A,famós,славуты
687,fremd::A,estrany,чужы
688,verschieden::A,diferent,розны
689,nah::A,pròxim,блізкі
690,fern::A,llunyà,далёкі
691,fern::A,distant,далёкі
692,linker::A,esquerre,левы
693,rechter::A,dret,правы
694,anderer::A,altre,іншы
695,anderer::A,altre,другі
696,erster::A,primer,першы
697,zweiter::A,segon,другі
698,dritter::A,tercer,трэці
699,letzter::A,últim,апошні
700,allein::ADV,sol,сам
701,allein::ADV,sol,адзін
702,auf einmal::ADV,d'una vegada,адразу
703,zusammen::ADV,junt,разам
704,lange::ADV,molt de temps,доўга
705,plötzlich::ADV,de cop,раптам
706,plötzlich::ADV,de sobte,раптам
707,sofort::ADV,de seguida,зараз
708,später::ADV,més tard,пазней
709,jetzt::ADV,ara,цяпер
710,heute::ADV,avūi,сёння
711,morgen::ADV,demà,заўтра
712,bald::ADV,aviāt,хутка
713,bald::ADV,aviāt,неўзабаве
714,dann::ADV,després,потым
715,gestern::ADV,ahir,учора
716,einst::ADV,anteriorment,аднойчы
717,damals::ADV,llavōrs,тады
718,damals::ADV,aleshores,тады
719,danach::ADV,després,затым
720,vorher::ADV,abāns,раней
721,zuerst::ADV,primer,спярша
722,zuerst::ADV,primer,спачатку
723,einmal::ADV,una vegada,адзін раз
724,manchmal::ADV,de vegades,часам
725,oft::ADV,sovint,часта
726,immer::ADV,sempre,заўсёды
727,niemals::ADV,no ... mai,ніколі
728,hier::ADV,aquí,тут
729,hierhin::ADV,per aquí,сюды
730,von hier::ADV,des d'aquí,адсюль
731,von hier::ADV,des d'aquí,адгэтуль
732,dort::ADV,allí,там
733,dorthin::ADV,hi,туды
734,geradeaus::ADV,tot dret,прама
735,vorwärts::ADV,endavānt,наперад
736,rückwärts::ADV,endarrera,назад
737,zurück::ADV,darrere,назад
738,unten::ADV,a baix,унізе
739,hinab::ADV,cap avall,уніз
740,oben::ADV,dalt,угары
741,oben::ADV,dalt,наверсе
742,hinauf::ADV,cap amunt,угару
743,überall::ADV,pertot,усюды
744,überall::ADV,per tot arreu,усюды
745,nicht::ADV,no,не
746,ein wenig::ADV,una mica,трошкі
747,kaum::ADV,a penes,ледзьве
748,sehr::ADV,molt,вельмі
749,so::ADV,així,так
750,noch::ADV,encara,яшчэ
751,nur::ADV,només,толькі
752,schon::ADV,ja,ужо
753,wieder::ADV,de nou,зноў
754,vergebens::ADV,en va,дарма
755,vergebens::ADV,en va,дарэмна
756,vor::PRP,davānt,перад
757,vor::PRP,enfront de,перад
758,hinter::PRP,darrera,за
759,hinter::PRP,darrera,ззаду
760,unter::PRP,sota,пад
761,durch::PRP,per,праз
762,neben::PRP,al costāt de,каля
763,zwischen::PRP,entre,між
764,zwischen::PRP,entre,паміж
765,wegen::PRP,a causa de,з-за
766,dies::PRN,aquest,гэта
767,das::PRN,això,тое
768,alles::PRN,tot,усё
769,ich::PRN,jo,я
770,du::PRN,tu,ты
771,er::PRN,ell,ён
772,wir::PRN,nosaltres,мы
773,ihr::PRN,vosaltres,вы
774,sie::PRN,ells,яны
775,sie::PRN,elles,яны
776,was::FPRN,què,што
777,wer::FPRN,qui,хто
778,wo::FADV,on,дзе
779,wohin::FADV,cap a on,куды
780,wie::FADV,com,як
781,warum::FADV,per què,чаму
782,wieviel::FNUM,quant,колькі
783,eins::NUM,u,адзін
784,zwei::NUM,dos,два
785,drei::NUM,tres,тры
786,vier::NUM,quatre,чатыры
787,fünf::NUM,cinc,пяць
788,sechs::NUM,sis,шесць
789,sieben::NUM,set,сем
790,acht::NUM,vuit,восем
791,neun::NUM,nou,дзевяць
792,zehn::NUM,deu,дзесяць
793,elf::NUM,onze,адзінаццаць
794,zwölf::NUM,dotze,дванаццаць
795,zwanzig::NUM,vint,дваццаць
796,dreißig::NUM,trenta,трыццаць
797,vierzig::NUM,quaranta,сорак
798,fünfzig::NUM,cinquanta,пядзесят
799,sechzig::NUM,seixanta,шесдзесят
800,siebzig::NUM,setanta,семдзесят
801,achtzig::NUM,vuitanta,восемдзесят
802,neunzig::NUM,noranta,дзевяноста
803,hundert::NUM,cent,сто
804,tausend::NUM,mil,тысяча
805,und::CNJ,i,і
806,und::CNJ,i,ды
807,oder::CNJ,o,або
808,stehen::V,estar de peu,стаяць
809,sitzen::V,seure,сядзець
810,liegen::V,jeure,ляжаць
811,hängen::V,penjar,вісець
812,werden::V,fer-se,стаць
813,werden::V,fer-se,зрабіцца
814,werden::V,posar-se,стаць
815,werden::V,posar-se,зрабіцца
816,passieren::V,succeir,трапіцца
817,beginnen::V,iniciar-se,пачацца
818,enden::V,acabar-se,кончыцца
819,enden::V,terminar-se,кончыцца
820,wechseln::V,canviar,мяняцца
821,aufgehen[Sonne]::V,sortir,узысці
822,untergehen[Sonne]::V,posar-se,зайсці
823,scheinen[Sonne]::V,brillar,свяціць
824,donnern::V,tronar,грымець
825,wehen::V,bufar,дзьмуць
826,strömen::V,afluir,ліцца
827,fließen::V,fluir,цячы
828,sich drehen::V,girar,круціцца
829,sich drehen::V,girar,варочацца
830,schwanken::V,vacil·lar,хістацца
831,schwingen::V,oscil·lar,гайдацца
832,schwingen::V,oscil·lar,калыхацца
833,fallen::V,caure,падаць
834,fallen::V,tombar,падаць
835,brennen::V,cremar,гарэць
836,rauchen::V,fumejar,дымець
837,regnen::V,ploure,дажджыць
838,gefrieren::V,gelar-se,замерзнуць
