,Concept_ID,ab,sah
155,Schwein::N,аҳəа,сибиинньэ
156,Hund::N,ала,ыт
157,Katze::N,ацгəы,куоска
158,Bär::N,амшə,эһэ
159,Eichhörnchen::N,аеш,тииҥ
160,Elch::N,аҽаҩа,тайах
161,Fuchs::N,абгахəыҷы,саһыл
162,Hase::N,ажьа,куобах
163,Maus::N,аҳəынаҧ,кутуйах
164,Wolf::N,абгаду,бөрө
165,Vogel::N,аҧсаатə,көтөр
166,Huhn::N,акəты,куурусса
167,Hahn::N,арбаҕь,бөтүүк
168,Gans::N,аҟыз,хаас
169,Adler::N,ауарба,хотой
170,Ente::N,акəата,кус
171,Eule::N,аты,мэкчиргэ
172,Kranich::N,апҟа,туруйа
173,Krähe::N,аҟəараан,тураах
174,Kuckuck::N,акəыкəу,кэҕэ
175,Schwan::N,агьад,куба
176,Fisch::N,аҧсыӡ,балык
177,Barsch::N,ацəыбла,алыһар
178,Hecht::N,ахиаала,сордон
179,Schlange[Tier]::N,амаҭ,моҕой
180,Schlange[Tier]::N,амаҭ,эриэн үөн
181,Wurm::N,ахəа,үөн
182,Wurm::N,ахəац,үөн
183,Spinne::N,абызкаҭаҳа,ооҕуй
184,Ameise::N,ашышкамс,кымырдаҕас
185,Laus::N,аҵа,быт
186,Mücke::N,акəыбры,кумаар
187,Fliege::N,амҵ,сахсырҕа
188,Schmetterling::N,аҧарҧалыкь,лыах
189,Schmetterling::N,аҧарҧалыкь,үрүмэччи
190,Beere::N,аргуц,отон
191,Apfel::N,аҵəа,яблоко
192,Pilz::N,акəкəбаа,тэллэй
193,Zwiebel::N,аџьымшьы,луук
194,Zwiebel::N,аџьымшьхы,луук
195,Saat::N,ажəла,сиэмэ
196,Korn::N,арыц,сиэмэ
197,Heu::N,аҭəа,от
198,Schale::N,ацəа,хах
199,Grube::N,ажра,дьаама
200,Grube::N,атыша,дьаама
201,Falle::N,арыҧҟьа,сохсо
202,Schlinge::N,аҟəараҟəантə,уктаа
203,Spur::N,ашьҭа,суол
204,Asche::N,ахəа,күл
205,Dreck::N,аҳəынҵəа,бадараан
206,Dreck::N,аҟьамсар,бадараан
207,Eisen::N,аиха,тимир
208,Gold::N,ахьы,көмүс
209,Gold::N,ахьы,кыһыл көмүс
210,Silber::N,аразны,көмүс
211,Silber::N,аразны,үрүҥ көмүс
212,Kohle::N,арацəа,чох
213,Glas::N,асаркьа,өстүөкүлэ
214,Lehm::N,анышəаҧшь,туой
215,Sand::N,аҧслымӡ,кумах
216,Mensch::N,ауаҩы,киһи
217,Mann::N,ахаҵа,эр
218,Frau::N,аҧҳəыс,дьахтар
219,Kind::N,ахəыҷы,оҕо
220,Junge::N,аҷкəын,уол
221,Junge::N,ахаҵарҧыс,уол
222,Mädchen::N,аӡӷаб,кыыс оҕо
223,Familie::N,аҭаацəа,кэргэн
224,Großvater::N,абду,эһэ
225,Großmutter::N,анду,эбэ
226,Eltern::N,ани аби,аҕа-ийэ
227,Vater::N,аб,аҕа
228,Mutter::N,ан,ийэ
229,Sohn::N,аҧа,уол
230,Tochter::N,аҧҳа,кыыс
231,Bruder::N,аиашьа,убай
232,Bruder::N,аиашьа,быраат
233,Schwester::N,Аҳəшьа,аҕас
234,Schwester::N,Аҳəшьа,балыс
235,Onkel::N,абиашьа,таай
236,Onkel::N,абиашьа,абаҕа
237,Onkel::N,аншьа,таай
238,Onkel::N,аншьа,абаҕа
239,Tante::N,абиаҳəшьа,эдьиий
240,Ehemann::N,ахаҵа,эр
241,Ehemann::N,аҧшəма,эр
242,Ehefrau::N,аҧҳəыс,ойох
243,Freude::N,агəырӷьара,үөрүү
244,Gelächter::N,ачча,күлүү
245,Gelächter::N,аччара,күлүү
246,Glück::N,аразҟы,дьол
247,Glück::N,аразҟы,соргу
248,Kummer::N,агəырҩа,кутурҕан
249,Wunsch::N,агəхəтəы,баҕарыы
250,Wunsch::N,аҭахра,баҕарыы
251,Lust::N,агəазыҳəара,баҕа
252,Geist::N,аҧсы,тыын
253,Gedanke::N,ахəыцырҭа,санаа
254,Gedächtnis::N,агəынкылара,өй
255,Verstand::N,ахшыҩ,өй
256,Sinn::N,аҵакы,суолта
257,Grund::N,амзыз,төрүөт
258,Wahrheit::N,аиаша,кырдьык
259,Gespräch::N,аиҿцәажәара,бэсиэдэ
260,Gespräch::N,аиҿцәажәара,кэпсэтии
261,Märchen::N,алакə,остуоруйа
262,Erzählung::N,ажәабжь,кэпсээн
263,Nachricht::N,адырраҭара,биллэриллии
264,Neuigkeit::N,ажәабжь ҿыц,сонун
265,Name::N,ахьӡ,аат
266,Rätsel::N,ацуфара,таабырын
267,Rede::N,ажәа,этии
268,Sprache::N,абызшəа,тыл
269,Stimme::N,абжьы,куолас
270,Wort::N,ажәа,тыл
271,Zeichen::N,адырга,бэлиэ
272,Ruf::N,аҿҭы,ыҥырыы
273,Lärm::N,ашьҭыбжь,айдаан
274,Laut::N,ашьҭыбжь,тыас
275,Ton::N,атон,дорҕоон
276,Lied::N,ашəа,ырыа
277,Ruhe::N,аҭынчра,уу чуумпу
278,Leute::N,ауаа,дьон
279,Volk::N,ажəлар,дьон
280,Volk::N,ажəлар,норуот
281,Arbeit::N,аусура,үлэ
282,Gast::N,асас,ыалдьыт
283,Geschenk::N,аҳамҭа,бэлэх
284,Geschenk::N,аҿанҵа,бэлэх
285,Spiel::N,ахəмарра,оонньуу
286,Gesellschaft::N,агəыҧ,общество
287,Hilfe::N,ацхыраара,көмө
288,Freund::N,аҩыза,доҕор
289,Kamerad::N,Аҧхнагьла,атас
290,Angelegenheit::N,аус,дьыала
291,Anzahl::N,ахыҧхьаӡара,ахсаан
292,Art::N,ахкы,биис
293,Stück::N,аҽыҭ,кырбас
294,Teil::N,ахəҭа,ирээт
295,Hälfte::N,абжа,аҥар
296,Kreis::N,агьагьа,төгүрүк
297,Kreis::N,агьагьа,төгүрүмтэ
298,Kreuz::N,аџьар,кириэс
299,Linie::N,аицтәар,сурааһын
300,Strich::N,ацəаҳəа,сурааһын
301,Abstand::N,абжьара,арыт
302,Entfernung::N,абжьара,ыраах
303,Gegend::N,аҭыҧ,сир
304,Platz::N,аҭыҧ,арыт
305,Ort::N,аҭыҧ,сир
306,Seite::N,аган,өрүт
307,Seite::N,аган,сирэй
308,Mitte::N,агəҭа,орто
309,Gegenstand::N,амаҭəар,предмет
310,Rand::N,аҵкар,кытыы
311,Rand::N,аҵкар,ойоҕос
312,Kante::N,авардым,кырыы
313,Ecke::N,акəакь,муннук
314,Spitze::N,аҧынҵа,чыпчаал
315,Ende::N,анаӡара,төбө
316,Loch::N,акылҵəара,тэһэҕэс
317,Loch::N,акылҵəара,дьөлөҕөс
318,Winkel::N,агҿаҩра,муннук
319,Winkel::N,акəындхə,муннук
320,Winkel::N,акəакь,муннук
321,Muster::N,аҟҟа,оһуор
322,Größe::N,изаҟароу,кээмэй
323,Länge::N,аура,уста
324,Höhe::N,агылара,үрдүк
325,Gewicht::N,акапан,ыйааһын
326,Haufen::N,ачаҟəа,чөмчөх
327,Reihe::N,ацəаҳəа,кэккэ
328,Boot::N,анышь,оҥочо
329,Ruder::N,ажəҩа,эрдии
330,Schlitten::N,ашəаҩауардын,сыарҕа
331,Ski::N,ашəаҩа,хайыһар
332,Ski::N,ашьахаха,хайыһар
333,Lagerfeuer::N,еиқуу амца,кутаа
334,Last::N,ахьанҭара,ыарахан
335,Gang::N,аныҟəара,хаамыы
336,Schritt::N,ашьаҿа,хардыы
337,Norden::N,аҩада,хоту
338,Süden::N,алада,соҕуруу
339,Westen::N,амраҭашəара,арҕаа
340,Osten::N,амрагылара,илин
341,Holz::N,амҿымаҭəахə,мас
342,Brett::N,аӷəы,дуоска
343,Brett::N,аӷəы,хаптаһын
344,Platte::N,ахаҳәцәы,билиитэ
345,Stütze::N,аҵаргəа,тулааһын
346,Stütze::N,агəышьаҟа,тулааһын
347,Stange::N,акьат,ураҕас
348,Stock::N,алаба,мас
349,Stock::N,алаба,баалкы
350,Stab::N,акьат,ураҕас
351,Rohr::N,абыкь,турба
352,Haus::N,аҩны,дьиэ
353,Heim::N,аҭаацəа,дьиэ
354,Ofen::N,аҳақə,оһох
355,Ofen::N,ауаџьаҟ,оһох
356,Ofen::N,афрына,оһох
357,Fußboden::N,адашьма,муоста
358,Tisch::N,аишәа,остуол
359,Stuhl::N,аҟəардə,устуул
360,Wiege::N,агара,биһик
361,Bett::N,акаруаҭ,кырабаат
362,Regal::N,акыӷəра,долбуур
363,Kiste::N,аидчаҧала,дьааһык
364,Fenster::N,аҧенџьыр,түннүк
365,Tür::N,ашə,аан
366,Tor::N,агəашə,аан
367,Zaun::N,аанда,соппулуот
368,Dach::N,ахыб,кырыыса
369,Leiter::N,амардуан,кирилиэс
370,Besen::N,аҧссага,миинньик
371,Spaten::N,ажыга,күрдьэх
372,Schaufel::N,аҭəарӷəы,күрдьэх
373,Gabel::N,ачқьыҧ,биилкэ
374,Löffel::N,амҳаҵə,луоска
375,Messer::N,аҳəызба,быһах
376,Nagel::N,аҵəымӷ,тоһоҕо
377,Netz::N,акаҭа,илим
378,Haken::N,аҵəаҳə,көхө
379,Griff::N,амаа,ук
380,Griff::N,амаа,тутаах
381,Schloss::N,асаҧаҭ,күлүүс
382,Bild::N,асахьа,хартыына
383,Figur::N,афигура,фигура
384,Puppe::N,акьанџьа,куукула
385,Beutel::N,асакь,мөһөөччук
386,Bündel::N,аҿаҳəара,баайыы
387,Tasche::N,арҭмаҟ,суумка
388,Eimer::N,аведра,биэдэрэ
389,Deckel::N,ахҩа,хаппах
390,Geschirr::N,ачысмаҭəа,иһит
391,Sack::N,асакь,куул
392,Tasse::N,аҵəца,сэлиэнэй
393,Topf::N,акаструлиа,көстүрүүҥкэ
394,Kessel::N,ачуан,хочуол
395,Nahrung::N,афатə,ас
396,Speise::N,афатə,аһылык
397,Fleisch::N,акəац,эт
398,Getreide::N,ачакуа,злактар
399,Brei::N,ақашь,хааһы
400,Brot::N,ача,килиэп
401,Scheibe::N,аҽыҭ,куһуок
402,Scheibe::N,аҿаҵа,куһуок
403,Fett::N,ашша,сыа
404,Butter::N,ахəша,арыы
405,Öl::N,азеҭ,арыы
406,Salz::N,аџьыка,туус
407,Suppe::N,асуҧ,мин
408,Honig::N,ацха,мүөт
409,Milch::N,ахш,үүт
410,Tee::N,ачаи,чэй
411,Leder::N,ацəа,тирии
412,Wolle::N,аласа,түү
413,Stoff::N,Аба,таҥас
414,Nadel::N,агəыр,иннэ
415,Faden::N,арахəыц,сап
416,Knopf::N,аҳəынҵəра,тимэх
417,Knoten::N,аиқəҳəала,түмүк
418,Farbe::N,ашəыга,кырааска
419,Kleidung::N,амаҭəа,таҥас
420,Hemd::N,акьаҿ,ырбаахы
421,Kragen::N,ахəда,саҕа
422,Ärmel::N,амаӷра,сиэх
423,Hose::N,аиқəа,ыстаан
424,Hose::N,аиқəа,бүрүүкэ
425,Gürtel::N,амаҟа,кур
426,Mütze::N,ахылҧа,бэргэһэ
427,Schuh::N,аимаа,бачыыҥка
428,Stiefel::N,амагə,саппыкы
429,Ring::N,амацəаз,биһилэх
430,Band::N,алента,лиэнтэ
431,Kamm::N,ахҳəа,тараах
432,Spiegel::N,асаркьа,сиэркилэ
433,Riemen::N,аа,кур
434,Schnur::N,ашаха,быа
435,Leine::N,аҕура,тэһиин
436,Decke::N,ахыза,суорҕан
437,Kissen::N,ахчы,сыттык
438,Tuch::N,акасы,былаат
439,Handtuch::N,ампахьшьы,соттор
440,Kraft::N,амч,сыра
441,Stärke::N,амч,күүс
442,Gesundheit::N,агəабзиара,доруобуйа
443,Krankheit::N,ачымазара,ыарыы
444,Schmerz::N,ахьаа,ыарыы
445,Wunde::N,ахəра,баас
446,Fieber::N,ашоура,түрүлгэн
447,Fieber::N,ашоура,лихорадка
448,Fieber::N,ашоура,температура
449,Arznei::N,ахəшə,эмп
450,Brücke::N,ацҳа,күргэ
451,Brunnen::N,аҵыџь,холуодьас
452,Weide::N,аҳəырҭа,мэччирэҥ
453,Pfad::N,амхəасҭа,ыллык
454,Weg::N,амҩа,суол
455,Straße::N,амҩа,суол
456,Dorf::N,ақыҭа,дэриэбинэ
457,Stadt::N,ақалақь,куорат
458,Brief::N,ашəҟəы,сурук
459,Buch::N,ашəҟəы,кинигэ
460,Buchstabe::N,анбан,буква
461,Zeitung::N,агазеҭ,хаһыат
462,Leben::N,аҧсҭазаара,тыын
463,Tod::N,аҧсра,өлүү
464,Grab::N,анышəынҭра,иин
465,Kirche::N,ауахəама,таҥара дьиэтэ
466,Sünde::N,агəнаҳа,айыы
467,Gott::N,анцəа,тангара
468,Arbeiter::N,аусуҩ,үлэһит
469,Chef::N,Аиҳабы,баһылык
470,Chef::N,Аиҳабы,начальник
471,Meister::N,аҟаза,уус
472,Meister::N,аҟаза,маастар
473,Arzt::N,аҳақьым,врач
474,Lehrer::N,арҵаҩы,учуутал
475,Geld::N,аҧара,харчы
476,Laden::N,амагазин,маҕаһыын
477,Preis::N,ахə,сыана
478,Ware::N,атауар,табаар
479,Nutzen::N,ақьар,туһа
480,Reichtum::N,абеиара,баай
481,Welt::N,адунеи,аан дойду
482,Land::N,атəыла,дойду
483,Staat::N,аҳəынҭқарра,государство
484,König::N,акрал,король
485,Macht::N,амчра,былаас
486,Grenze::N,аҳəаа,кыраныысса
487,Krieg::N,аибашьра,сэрии
488,Feind::N,Аҕа,өстөөх
489,Gewalt::N,ақəымчра,күүһүлээһин
490,Kampf::N,ақəҧара,охсуһуу
491,Bogen[Waffe]::N,ахыц,ох
492,Pfeil::N,ахəымпал,ох
493,Gewehr::N,ашəақь,саа
494,Fehler::N,агха,сыыһа
495,Lüge::N,амц,сымыйа
496,Schaden::N,аҧырхага,хоромньу
497,Unglück::N,арыцҳара,алдьархай
498,Schuld::N,ахара,буруй
499,Alter::N,ақəра,саас
500,Schluss::N,анҵəамҭа,тиһэх
501,Zeit::N,аамта,бириэмэ
502,Tag::N,амш,күн
503,Morgen::N,ашара,сарсыарда
504,Morgen::N,ашьыбжь,сарсыарда
505,Mittag::N,шьыбжьон,күн ортото
506,Abend::N,ахəылҧаз,киэһэ
507,Abend::N,ахəлбыҽха,киэһэ
508,Nacht::N,аҵх,түүн
509,Woche::N,амчыбжь,нэдиэлэ
510,Frühling::N,ааҕын,саас
511,Sommer::N,аҧхын,сайын
512,Herbst::N,ҭагалан,күһүн
513,Herbst::N,хкаарачан,күһүн
514,Winter::N,аӡын,кыһын
515,Januar::N,ианвар,тохсунньу
516,Februar::N,февраль,олунньу
517,März::N,март,кулун тутар
518,April::N,апрель,муус устар ый
519,Mai::N,маи,ыам ыйа
520,Juni::N,иуун,бэс ыйа
521,Juli::N,иууль,от ыйа
522,August::N,август,атырдьах ыйа
523,September::N,сентиабр,балаҕан ыйа
524,Oktober::N,октиабр,алтынньы
525,November::N,ноиабр,сэтинньи
526,Dezember::N,декабр,ахсынньы
527,Montag::N,ашəахьа,бэнидиэнньик
528,Dienstag::N,аҩаша,оптуорунньук
529,Mittwoch::N,ахаша,сэрэдэ
530,Donnerstag::N,аҧшьаша,чэппиэр
531,Freitag::N,ахəаша,бээтинсэ
532,Samstag::N,асабша,субуота
533,Sonntag::N,амҽыша,баскыһыанньа
534,groß::A,аду,бөдөҥ
535,groß::A,аду,улахан
536,klein::A,амаҷ,кыр
537,lang::A,ахəхəа,уһун
538,kurz::A,акьаҿ,кылгас
539,breit::A,аиужь,кэтит
540,breit::A,аиҵых,кэтит
541,schmal::A,аҭшəа,кыараҕас
542,dicht::A,аилач,хойуу
543,dick[Gegenstand]::A,ажəпа,суон
544,dick[Gegenstand]::A,ажəпа,хойуу
545,fein::A,апа,бытархай
546,fein::A,апа,синньигес
547,fein::A,аҵаӷа,бытархай
548,fein::A,аҵаӷа,синньигес
549,fein::A,аӡа,бытархай
550,fein::A,аӡа,синньигес
551,fest::A,аҟаца,бөҕө
552,fest::A,аҟаца,кытаанах
553,fest::A,аӷəӷəаҟаца,бөҕө
554,fest::A,аӷəӷəаҟаца,кытаанах
555,flach::A,ақəаҟьа,хаптаҕай
556,flach::A,аҧаҟьа,хаптаҕай
557,glatt::A,аимаҩзы,кылааккай
558,hart::A,акьакьа,хатан
559,hart::A,акьакьа,кытаанах
560,weich::A,атата,сымнаҕас
561,rund::A,акəмпыл,төгүрүк
562,spitz::A,аҵар,сытыы
563,spitz::A,аҵар,уһуктаах
564,scharf::A,аҵар,сытыы
565,stumpf::A,ацагə,сыппах
566,schwer::A,ахьанҭа,ыарахан
567,schön::A,аҧшӡа,кыраһыабай
568,heiß::A,ашы,итии
569,warm::A,аҧха,ичигэс
570,kalt::A,ахьшəашəа,тымныы
571,kühl::A,ахьшəашəа,сөрүүн
572,kühl::A,ицәыхьшәашәоу,сөрүүн
573,frisch::A,цқьа,ыраас
574,frisch::A,цқьа,сөрүүн
575,frisch::A,цқьа,тымныы
576,feucht::A,ацəаак,сииктээх
577,nass::A,абааӡа,инчэҕэй
578,trocken::A,Аба,кураан
579,trocken::A,аҩа,кураан
580,voll::A,азна,толору
581,leer::A,аҭацəы,иччитэх
582,offen::A,аарта,аһаҕас
583,geschlossen::A,ихҩоу,бүтэй
584,geschlossen::A,иаркыу,бүтэй
585,sauber::A,ацқьа,сэбэр
586,schmutzig::A,аҟьашь,кирдээх
587,reif::A,Арҭ,буспут
588,reif::A,Арҭ,сиппит-хоппут
589,reif::A,аҟала,буспут
590,reif::A,аҟала,сиппит-хоппут
591,reif::A,иҟалахьоу,буспут
592,reif::A,иҟалахьоу,сиппит-хоппут
593,lecker::A,ахаа,минньигэс
594,süß::A,азла,минньигэс
595,bitter::A,аша,аһыы
596,sauer::A,аҵəҵəы,аһыы
597,hell::A,алаша,сырдык
598,dunkel::A,алашьца,хараҥа
599,schwarz::A,аиқуаҵәа,хара
600,weiß::A,ашкəакəа,үрүҥ
601,weiß::A,ашкəакəа,маҥан
602,rot::A,аҟаҧшь,кыһыл
603,gelb::A,аҩеижь,саһархай
604,blau::A,аҽҵәа,күөх
605,grün::A,ашьацҧшҭəала,күөх
606,grün::A,ашьацҧшҭəала,от күөҕэ
607,grün::A,аеҵəа,күөх
608,grün::A,аеҵəа,от күөҕэ
609,grau::A,ацəыш,сиэрэй
610,bunt::A,Аилыҕраа,эриэн
611,bunt::A,аҕраҷкəын,эриэн
612,billig::A,амариа,чэпчэки
613,teuer::A,амҩан,сыаналаах
614,wertvoll::A,кыр иаҕсоу,сыаналаах
615,wertvoll::A,акыр иаҕсоу,сыаналаах
616,blind::A,алашə,хараҕа суох
617,taub::A,адагəа,дьүлэй
618,kräftig::A,аӷəӷəа,модун
619,stark::A,абаҟа,күүстээх
620,schwach::A,акəада,мөлтөх
621,fett::A,аҧсыла,эмис
622,schlank::A,акала,дьылҕан
623,schlank::A,акала,дьыпсаҕай
624,schlank::A,акьалантар,дьылҕан
625,schlank::A,акьалантар,дьыпсаҕай
626,schlank::A,аиҿартə,дьылҕан
627,schlank::A,аиҿартə,дьыпсаҕай
628,hübsch::A,аҧшӡа,олус кэрэ
629,hübsch::A,аҧшӡа,көрүөхтэн үчүгэй
630,böse::A,абааҧсы,өһүөннээх
631,dumm::A,агаӡа,акаары
632,faul::A,аашьа,нэс
633,fleißig::A,иҟубҷоу,кыһамньылаах
634,geizig::A,акы,иҥсэлээх
635,geizig::A,акаҷбеи,иҥсэлээх
636,geizig::A,аҟəџьыр,иҥсэлээх
637,klug::A,аҟəыш,өйдөөх
638,klug::A,аҟəыӷа,өйдөөх
639,geschickt::A,напҟазала,наһаа дьоҕурдаах
640,lieb::A,алашара,тапталлаах
641,lustig::A,алах-ҿых,көрдөөх
642,lustig::A,игурҕьаччо,көрдөөх
643,lustig::A,агурҕьа,көрдөөх
644,lustig::A,агурҿыхага,көрдөөх
645,sanft::A,атата,намчы
646,sanft::A,атата,сымнаҕас
647,sanft::A,аҟəымшəышə,намчы
648,sanft::A,аҟəымшəышə,сымнаҕас
649,sanft::A,ақьыҧш,намчы
650,sanft::A,ақьыҧш,сымнаҕас
651,hungrig::A,амлашь,аччык
652,krank::A,ачымазаҩ,ыалдьар
653,nackt::A,аҟьантаз,сыгынньах
654,traurig::A,алахьеиқəҵага,санаарҕабыллаах
655,lebendig::A,абза,тыыннаах
656,gut::A,абзиа,үтүө
657,gut::A,абзиа,үчүгэй
658,schlecht::A,-хəарҭам,куһаҕан
659,richtig::A,иашоу,сөп
660,schlimm::A,абааҧсы,сидьиҥ
661,schlimm::A,абааҧсы,быдьар
662,wahr::A,агəҭылса,кырдьык
663,wahr::A,абзиаҵəҟьа,кырдьык
664,alt::A,Ажə,былыргы
665,neu::A,аҿыц,саҥа
666,ehemalig::A,анкьатәи,урукку
667,alt[Lebewesen]::A,абырг,кырдьаҕас
668,alt[Lebewesen]::A,ақабада,кырдьаҕас
669,alt[Lebewesen]::A,Ажə,кырдьаҕас
670,jung::A,аҟата,эдэр
671,arm::A,ананамга,дьадаҥы
672,reich::A,абеиа,баай
673,bekannt::A,адыр,билэр
674,berühmt::A,адыр,аатырбыт
675,fremd::A,атəым,атын
676,verschieden::A,Еиуа-еиҧшым,араас
677,nah::A,ааигəа,чугас
678,fern::A,ахара,ыраах
679,linker::A,арма,хаҥас
680,rechter::A,арҕьа,уҥа
681,anderer::A,даҽа,атын
682,anderer::A,даҽакы,атын
683,erster::A,актәи,маҥнайгы
684,zweiter::A,аҩбатəи,иккис
685,dritter::A,ахҕатәи,үһүс
686,letzter::A,аҵыхəтəантəи,тиһэх
687,allein::ADV,мацара,соҕотох
