,Concept_ID,lbe,es
91,Regenbogen::N,ссурул ккуртта,arco iris
92,Donner::N,къув,trueno
93,Strömung::N,экьинанаву,corriente
94,Tropfen::N,кӏунтӏ,gota
95,Schaum::N,хьама,espuma
96,Schmutz::N,кьяркьи,suciedad
97,See::N,бяр,lago
98,Sumpf::N,кунцӏа,pantano
99,Wiese::N,кьан,prado
100,Wiese::N,кьан,pradera
101,Wald::N,вацӏа,bosque
102,Hügel::N,бакӏу,colina
103,Berg::N,зунтту,monte
104,Berg::N,зунтту,montaña
105,Gipfel::N,мицӏ,cima
106,Gipfel::N,мицӏ,cumbre
107,Höhle::N,нух,cueva
108,Höhle::N,нух,caverna
109,Abhang::N,сун,cuesta
110,Abhang::N,сун,declive
111,Quelle::N,дайдихьу,fuente
112,Quelle::N,дайдихьу,manantial
113,Quelle::N,бакӏ,fuente
114,Quelle::N,бакӏ,manantial
115,Bach::N,чӏрир нех,arroyo
116,Fluss::N,нех,río
117,Ufer::N,зума,orilla
118,Küste::N,зумаинхалу,costa
119,Küste::N,зуманицӏалу,costa
120,Festland::N,кьири,tierra firme
121,Meer::N,хьхьири,mar
122,Insel::N,жазира,isla
123,Blume::N,тӏутӏи,flor
124,Gras::N,уртту,hierba
125,Wurzel::N,мархха,raíz
126,Baum::N,мурхь,árbol
127,Stamm::N,ттарцӏ,tronco
128,Rinde::N,ккамара,corteza
129,Ast::N,матӏи,rama
130,Zweig::N,къяртта,ramo
131,Blatt::N,чӏапӏи,hoja
132,Birke::N,кӏялахӏи,abedul
133,Birke::N,кӏялахӏилул мурхь,abedul
134,Kiefer[Baum]::N,ттар,pino
135,Kiefer[Baum]::N,ттарлил мурхь,pino
136,Weide[Baum]::N,щавщи,sauce
137,Tanne::N,ттарлил мурхь,abeto
138,Horn::N,хъи,asta
139,Horn::N,хъи,cuerno
140,Feder::N,лелуххул тӏиму,pluma
141,Fell::N,бурчу,piel
142,Flügel::N,хъа,ala
143,Flügel::N,ххурупӏайрал тӏиму,ala
144,Klaue::N,михь,garra
145,Kralle::N,ххяппа,uña
146,Kralle::N,ххяппа,garra
147,Schwanz::N,магъ,cola
148,Ei::N,ккунук,huevo
149,Nest::N,кюру,nido
150,Bau::N,цукъуккутӏ,madriguera
151,Tier::N,хӏайван,animal
152,Herde::N,газу,rebaño
153,Kuh::N,оьл,vaca
154,Bulle::N,ниц,toro
155,Pferd::N,чу,caballo
156,Schaf::N,тта,oveja
157,Schwein::N,дунгъуз,cerdo
158,Hund::N,ккаччи,perro
159,Katze::N,ччиту,gato
160,Bär::N,цуша,oso
161,Eichhörnchen::N,бюрхттукку,ardilla
162,Elch::N,ниц-бюрин,alce
163,Fuchs::N,цулчӏа,zorro
164,Fuchs::N,куча цулчӏа,zorro
165,Hase::N,бюрх,liebre
166,Maus::N,кӏулу,ratón
167,Wolf::N,барцӏ,lobo
168,Vogel::N,лелуххи,ave
169,Vogel::N,лелуххи,pájaro
170,Schwarm::N,гьухъала,bandada
171,Huhn::N,аьнакӏи,gallina
172,Hahn::N,ажари,gallo
173,Gans::N,къаз,oca
174,Gans::N,къаз,ganso
175,Adler::N,барзу,águila
176,Ente::N,урдак,pato
177,Eule::N,ису,lechuza
178,Eule::N,ччиккумяв,lechuza
179,Kranich::N,кьурукь,grulla
180,Krähe::N,хъатӏу,corneja
181,Kuckuck::N,ччикку,cuco
182,Schwan::N,урттил къаз,cisne
183,Fisch::N,чавахъ,pez
184,Schlange[Tier]::N,шатта,serpiente
185,Wurm::N,кьюнукьай шатта,gusano
186,Spinne::N,ххялцу,araña
187,Ameise::N,митӏикьукьу,hormiga
188,Mücke::N,мичӏак,mosquito
189,Fliege::N,зимиз,mosca
190,Schmetterling::N,чӏимучӏали,mariposa
191,Beere::N,хӏаллил ахъулсса,baya
192,Apfel::N,гьивч,manzana
193,Pilz::N,ттуккул иис,seta
194,Pilz::N,ттуккул иис,hongo
195,Zwiebel::N,лаччул чсмусул бакӏ,cebolla
196,Saat::N,гьанна,siembra
197,Korn::N,къама,grano
198,Heu::N,ххулув,heno
199,Schale::N,ккиртту,cáscara
200,Grube::N,кӏаланг,foso
201,Falle::N,къатӏа,trampa
202,Schlinge::N,хӏатӏ,lazo
203,Spur::N,ша,huella
204,Asche::N,лах,ceniza
205,Dreck::N,кьяркьи,suciedad
206,Dreck::N,венп,suciedad
207,Eisen::N,мах,hierro
208,Gold::N,муси,oro
209,Silber::N,арцу,plata
210,Kohle::N,кӏалаш,carbón
211,Kohle::N,хъуручӏ,carbón
212,Glas::N,пюрун,vidrio
213,Glas::N,пюрун,cristal
214,Lehm::N,сина аьрщи,barro
215,Sand::N,къун,arena
216,Mensch::N,инсан,hombre
217,Mensch::N,инсан,ser humano
218,Mann::N,чув,hombre
219,Mann::N,адимина,hombre
220,Frau::N,щарсса,mujer
221,Frau::N,хъамитайпа,mujer
222,Kind::N,чӏиви оьрчӏ,niño
223,Junge::N,оьрчӏ,chico
224,Junge::N,оьрчӏ,muchacho
225,Junge::N,бурхьин оьрчӏ,chico
226,Junge::N,бурхьин оьрчӏ,muchacho
227,Mädchen::N,душ,chica
228,Mädchen::N,душ,muchacha
229,Familie::N,кулпат,familia
230,Großvater::N,ттатта,abuelo
231,Großvater::N,ниттил ппу,abuelo
232,Großmutter::N,буттал нину,abuela
233,Eltern::N,нину-ппу,padres
234,Vater::N,ппу,padre
235,Mutter::N,нину,madre
236,Sohn::N,арс,hijo
237,Tochter::N,душ,hija
238,Bruder::N,уссу,hermano
239,Schwester::N,ссу,hermana
240,Onkel::N,буттауссу,tío
241,Tante::N,буттал ссу,tía
242,Ehemann::N,лас,esposo
243,Ehefrau::N,щар,esposa
244,Ehefrau::N,щарсса,esposa
245,Freude::N,шадшиву,placer
246,Freude::N,шадшиву,alegría
247,Freude::N,ххаришиву,placer
248,Freude::N,ххаришиву,alegría
249,Gelächter::N,хъяхъаву,risa
250,Gelächter::N,хъяхъаву,carcajada
251,Glück::N,талихӏ,felicidad
252,Kummer::N,дард,pena
253,Wunsch::N,мурад,deseo
254,Lust::N,гьавас,ganas
255,Lust::N,ччаву,ganas
256,Geist::N,рухӏ,mente
257,Geist::N,рухӏ,espíritu
258,Gedanke::N,пикри,idea
259,Gedanke::N,пикри,pensamiento
260,Gedächtnis::N,дакӏний личӏаву,memoria
261,Verstand::N,аькьлу,razón
262,Verstand::N,аькьлу,entendimiento
263,Sinn::N,мяъна,sentido
264,Sinn::N,мяъна,significado
265,Grund::N,багьана,causa
266,Wahrheit::N,тӏайламур,verdad
267,Wahrheit::N,хӏакьмур,verdad
268,Gespräch::N,ихтилат,conversación
269,Märchen::N,магьа,cuento
270,Erzählung::N,хавар,cuento
271,Erzählung::N,хавар,narración
272,Nachricht::N,хавар,mensaje
273,Neuigkeit::N,хавар,noticia
274,Name::N,цӏа,nombre
275,Rätsel::N,ссигьа,acertijo
276,Rätsel::N,ссигьа,adivinanza
277,Rede::N,гъалгъа,discurso
278,Sprache::N,маз,lengua
279,Stimme::N,чӏу,voz
280,Stimme::N,чӏукӏа,voz
281,Wort::N,махъ,palabra
282,Zeichen::N,лишан,señal
283,Lärm::N,чӏу,ruido
284,Lärm::N,чӏу,barullo
285,Laut::N,чӏу,sonido
286,Ton::N,чӏу,tono
287,Lied::N,балай,canción
288,Ruhe::N,дигьалагру,calma
289,Ruhe::N,дигьалагру,silencio
290,Leute::N,инсантал,gente
291,Volk::N,ил,pueblo
292,Volk::N,халкь,pueblo
293,Arbeit::N,заву,trabajo
294,Gast::N,хъамаличу,huésped
295,Gast::N,хъамаличу,invitado
296,Geschenk::N,бухчакарши,regalo
297,Geschenk::N,лажинккакку,regalo
298,Spiel::N,тӏуркӏу,juego
299,Gesellschaft::N,жямат,compañía
300,Gesellschaft::N,ккуран,compañía
301,Hilfe::N,кумаг,ayuda
302,Hilfe::N,кумаг,socorro
303,Freund::N,дус,amigo
304,Kamerad::N,хӏаласу,camarada
305,Kamerad::N,хӏаласу,compañero
306,Angelegenheit::N,иш,asunto
307,Anzahl::N,аьдад,cantidad
308,Art::N,жинс,tipo
309,Art::N,жинс,clase
310,Stück::N,касак,pieza
311,Teil::N,бутӏа,parte
312,Hälfte::N,дачӏи,mitad
313,Kreis::N,кюрщан,círculo
314,Kreuz::N,ххач,cruz
315,Linie::N,щва,línea
316,Strich::N,щва,raya
317,Strich::N,щва,trazo
318,Abstand::N,манзил,distancia
319,Entfernung::N,манзил,distancia
320,Gegend::N,кӏану,región
321,Gegend::N,кӏану,comarca
322,Ort::N,кӏану,sitio
323,Seite::N,чул,lado
324,Seite::N,чул,costado
325,Seite::N,чулухалу,lado
326,Seite::N,чулухалу,costado
327,Mitte::N,дя,medio
328,Mitte::N,дя,centro
329,Gegenstand::N,зат,objeto
330,Sache::N,зат,cosa
331,Rand::N,зума,borde
332,Ecke::N,мурцӏу,esquina
333,Spitze::N,мицӏ,punta
334,Ende::N,зума,cabo
335,Ende::N,зума,extremo
336,Loch::N,ккутӏ,agujero
337,Loch::N,ккутӏ,abertura
338,Winkel::N,мурцӏу,ángulo
339,Muster::N,накьич,dibujo
340,Länge::N,лахъишиву,longitud
341,Höhe::N,лахъшиву,altura
342,Höhe::N,лахъшиву,altitud
343,Gewicht::N,дуццин,peso
344,Gewicht::N,кӏушиву,peso
345,Haufen::N,бакӏу,montón
346,Reihe::N,кьюкьа,fila
347,Boot::N,луткка,bote
348,Boot::N,луткка,barca
349,Ruder::N,весло,remo
350,Ruder::N,чӏатӏа,remo
351,Schlitten::N,чана,trineo
352,Schlitten::N,санкка,trineo
353,Ski::N,лижарду,esquí
354,Lagerfeuer::N,къавтӏн,hoguera
355,Last::N,гьиву,carga
356,Gang::N,нанаву,marcha
357,Schritt::N,ша,paso
358,Norden::N,ухссав,norte
359,Norden::N,ухссавнил чулухалу,norte
360,Süden::N,кьилва,sur
361,Westen::N,баргълагавал,oeste
362,Westen::N,баргълагавал чул,oeste
363,Osten::N,баргъбуккай чулухалу,este
364,Holz::N,тӏама,madera
365,Brett::N,тахта,tabla
366,Platte::N,гъуни,placa
367,Platte::N,гъуни,plancha
368,Stütze::N,гьалакӏу,sostén
369,Stütze::N,гьалакӏу,soporte
370,Stange::N,къазихъ,vara
371,Stange::N,къазихъ,percha
372,Stock::N,ттархь,palo
373,Stock::N,ттархь,bastón
374,Stab::N,ччантӏакъу,vara
375,Stab::N,ччантӏакъу,bastón
376,Rohr::N,бургъу,tubo
377,Haus::N,къатта,casa
378,Heim::N,къатта,hogar
379,Ofen::N,пач,estufa
380,Fußboden::N,чӏанкъатта,suelo
381,Tisch::N,усттул,mesa
382,Stuhl::N,кӏану,silla
383,Wiege::N,оьрчӏал кӏану,cuna
384,Bett::N,тах,cama
385,Regal::N,чӏаму,estantería
386,Kiste::N,яшикӏ,caja
387,Kiste::N,къурши,caja
388,Fenster::N,чӏавахьулу,ventana
389,Tür::N,нуз,puerta
390,Tür::N,нузкьун,puerta
391,Tor::N,къапу,puerta
392,Tor::N,дарваза,puerta
393,Zaun::N,дайгьузанну,valla
394,Zaun::N,дайгьузанну,cercado
395,Dach::N,магъи,techo
396,Dach::N,магъи,tejado
397,Dach::N,цӏиялу,techo
398,Dach::N,цӏиялу,tejado
399,Leiter::N,чуртту,escalera
400,Besen::N,чӏатлу,escoba
401,Spaten::N,бил,pala
402,Schaufel::N,чӏатӏа,pala
403,Schaufel::N,чӏатӏа,paleta
404,Gabel::N,гьиссилу,tenedor
405,Löffel::N,къуса,cuchara
406,Messer::N,чӏила,cuchillo
407,Nagel::N,мяр,clavo
408,Netz::N,къери,red
409,Haken::N,къича,gancho
410,Haken::N,къича,corchete
411,Griff::N,куяму,asa
412,Griff::N,куяму,mango
413,Schloss::N,кьункьула,cerradura
414,Bild::N,сурат,imagen
415,Puppe::N,ссихьу,muñeca
416,Beutel::N,чантай,bolsa
417,Bündel::N,гьи,haz
418,Bündel::N,къар,haz
419,Eimer::N,бадра,cubo
420,Deckel::N,къапаза,tapa
421,Deckel::N,къапаза,tapadera
422,Geschirr::N,пюрунчӏул,vajilla
423,Geschirr::N,тӏахӏникӏичӏу,vajilla
424,Sack::N,къап,saco
425,Sack::N,дарваг,saco
426,Tasse::N,пижан,taza
427,Tasse::N,пинжан,taza
428,Tasse::N,инкираччатӏи,taza
429,Tasse::N,цинцилттал бушкъап,taza
430,Topf::N,кӏункӏур,olla
431,Topf::N,кӏункӏур,marmita
432,Kessel::N,чаг,caldera
433,Kessel::N,кӏункӏур,caldera
434,Essen::N,дукия,comida
435,Essen::N,дукин,comida
436,Nahrung::N,дукра,alimento
437,Speise::N,дукра,plato
438,Fleisch::N,дикӏ,carne
439,Getreide::N,къама,cereales
440,Brei::N,ккурч,puré
441,Brei::N,ккурч,papilla
442,Brot::N,ччатӏ,pan
443,Scheibe::N,парча,lonja
444,Scheibe::N,парча,rebanada
445,Fett::N,аьгъушиву,grasa
446,Butter::N,нагь,mantequilla
447,Butter::N,лагаву,mantequilla
448,Salz::N,цӏву,sal
449,Suppe::N,накь,sopa
450,Honig::N,ницӏ,miel
451,Milch::N,накӏ,leche
452,Tee::N,чяй,té
453,Leder::N,бурчу,cuero
454,Wolle::N,ппал,lana
455,Stoff::N,янна,tela
456,Stoff::N,янна,tejido
457,Nadel::N,ххалаххи,aguja
458,Faden::N,ххал,hilo
459,Knopf::N,банд,botón
460,Knoten::N,къурхъ,nudo
461,Farbe::N,сир,pintura
462,Kleidung::N,янна,ropa
463,Kleidung::N,янна,vestidos
464,Kleidung::N,лаххия,ropa
465,Kleidung::N,лаххия,vestidos
466,Hemd::N,гьухъа,camisa
467,Kragen::N,дарвач,cuello
468,Ärmel::N,кахха,manga
469,Hose::N,хӏажак,pantalón
470,Gürtel::N,мухӏлу,cinturón
471,Mütze::N,кьяпа,gorro
472,Stiefel::N,чакма,bota
473,Ring::N,кӏисса,anillo
474,Band::N,линт,cinta
475,Kamm::N,ттарал,peine
476,Spiegel::N,дагьани,espejo
477,Riemen::N,эн,correa
478,Schnur::N,хьхьа,cuerda
479,Decke::N,виргъан,manta
480,Kissen::N,кӏаралу,almohada
481,Tuch::N,карщи,pañuelo
482,Handtuch::N,калихьу,toalla
483,Handtuch::N,лажинлихьу,toalla
484,Kraft::N,эллаж,fuerza
485,Stärke::N,гуж,fuerza
486,Gesundheit::N,цӏуллу-сагъшиву,salud
487,Krankheit::N,къашайшиву,enfermedad
488,Schmerz::N,къюву,dolor
489,Wunde::N,щаву,llaga
490,Wunde::N,щаву,herida
491,Fieber::N,кӏиришиву,fiebre
492,Arznei::N,дару,medicina
493,Arznei::N,дару,medicamento
494,Brücke::N,ламу,puente
495,Brunnen::N,къуй,pozo
496,Weide::N,бизантту,pasto
497,Pfad::N,жегъир ххуллу,sendero
498,Weg::N,ххуллу,camino
499,Straße::N,ххуллу,vía
500,Straße::N,ххуллу,carretera
501,Dorf::N,щар,aldea
502,Dorf::N,щар,pueblo
503,Dorf::N,шяравалу,aldea
504,Dorf::N,шяравалу,pueblo
505,Stadt::N,шагьру,ciudad
506,Brief::N,чагъар,carta
507,Buch::N,лу,libro
508,Buchstabe::N,хӏарп,letra
509,Buchstabe::N,хӏарп,carácter
510,Zeitung::N,кказит,diario
511,Zeitung::N,кказит,periódico
512,Leben::N,оьрму,vida
513,Tod::N,ажал,muerte
514,Tod::N,бивкӏу,muerte
515,Tod::N,ивчӏаву,muerte
516,Grab::N,гьав,tumba
517,Grab::N,гьав,sepulcro
518,Kirche::N,килиса,iglesia
519,Sünde::N,бунагъ,pecado
520,Gott::N,зал,dios
521,Arbeiter::N,зузала,obrero
522,Arbeiter::N,зузала,trabajador
523,Chef::N,ялувма,jefe
524,Meister::N,усттар,maestro
525,Arzt::N,хӏакин,médico
526,Lehrer::N,учитель,profesor
527,Geld::N,арцу,dinero
528,Geschäft::N,даву,negocio
529,Laden::N,ттучан,tienda
530,Preis::N,багъа,precio
531,Ware::N,хъус,mercancía
532,Nutzen::N,хайр,provecho
533,Nutzen::N,мюнпат,provecho
534,Reichtum::N,давлат,riqueza
535,Reichtum::N,аваданшиву,riqueza
536,Welt::N,дуниял,mundo
537,Land::N,билаят,país
538,Staat::N,паччахӏлугъ,Estado
539,Macht::N,власть,poder
540,Macht::N,власть,potencia
541,Grenze::N,дазу,frontera
542,Krieg::N,дяъви,guerra
543,Feind::N,душман,enemigo
544,Gewalt::N,къия,violencia
545,Kampf::N,лачӏуи уккаву,lucha
546,Kampf::N,лачӏуи уккаву,combate
547,Bogen[Waffe]::N,ккуртта,arco
548,Pfeil::N,чӏатӏаракӏ,flecha
549,Gewehr::N,ттупанг,fusil
550,Gewehr::N,ттупанг,escopeta
551,Fehler::N,гъалатӏ,error
552,Lüge::N,щялмахъ,mentira
553,Schaden::N,зарал,daño
554,Unglück::N,бала,desgracia
555,Schuld::N,тахсир,culpa
556,Alter::N,оьрму,edad
557,Schluss::N,ахир,fin
558,Schluss::N,ахир,final
559,Zeit::N,чӏун,tiempo
560,Tag::N,кьини,día
561,Morgen::N,кӏюрх,mañana
562,Mittag::N,ахттайн,mediodía
563,Mittag::N,дяахттайн,mediodía
564,Mittag::N,ахттайн чӏун,mediodía
565,Abend::N,маркӏачӏан,noche
566,Nacht::N,хьхьу,noche
567,Woche::N,нюжмар,semana
568,Monat::N,барз,mes
569,Jahr::N,шин,año
570,Frühling::N,инт,primavera
571,Sommer::N,гъи,verano
572,Herbst::N,ссут,otoño
573,Winter::N,кӏи,invierno
574,Januar::N,цалчинмур барз,enero
575,Februar::N,кӏилчинмур барз,febrero
576,März::N,шамилчинмур барз,marzo
577,April::N,апрель,abril
578,April::N,мукьилчинмур барз,abril
579,Mai::N,май,mayo
580,Mai::N,ххюлчинмур барз,mayo
581,Juni::N,июнь,junio
582,Juni::N,ряххилчинмур барз,junio
583,Juli::N,июль,julio
584,Juli::N,Арулчинмур барз,julio
585,August::N,мяйлчинмур барз,agosto
586,September::N,урчӏилчинмур барз,septiembre
587,Oktober::N,ацӏилчинмур барз,octubre
588,November::N,ацӏния цалчинмур барз,noviembre
589,Dezember::N,ацӏния кӏилчинмур барз,diciembre
590,Montag::N,итин,lunes
591,Montag::N,итин кьини,lunes
592,Dienstag::N,тталат,martes
593,Dienstag::N,тталат кьини,martes
594,Mittwoch::N,арвахӏ,miércoles
595,Donnerstag::N,хамис,jueves
596,Freitag::N,нюжмар,viernes
597,Freitag::N,нюжмар кьини,viernes
598,Samstag::N,ххуллун,sábado
599,Samstag::N,ххуллун кьини,sábado
600,Sonntag::N,алхӏат,domingo
601,Sonntag::N,алхӏат кьини,domingo
602,groß::A,бугъарасса,grande
603,klein::A,чӏивисса,pequeño
604,lang::A,лахъисса,largo
605,kurz::A,кутӏасса,corto
606,breit::A,уттасса,ancho
607,schmal::A,уттакӏюласса,estrecho
608,dicht::A,ццунсса,denso
609,dick[Gegenstand]::A,ганзсса,grueso
610,dünn::A,кӏюласса,fino
611,dünn::A,кӏюласса,delgado
612,fest::A,цӏакьсса,firme
613,fest::A,цӏакьсса,sólido
614,fest::A,кьянкьасса,firme
615,fest::A,кьянкьасса,sólido
616,flach::A,баягъисса,plano
617,flach::A,цӏубакъасса,plano
618,flach::A,куртӏ дакъасса,plano
619,glatt::A,дюрчӏусса,liso
620,hart::A,кьянкьасса,duro
621,weich::A,кӏукӏлусса,muelle
622,rund::A,ккурккисса,redondo
623,spitz::A,ярксса,agudo
624,spitz::A,ярксса,apuntado
625,spitz::A,дайлсса,agudo
626,spitz::A,дайлсса,apuntado
627,spitz::A,мицӏ бусса,agudo
628,spitz::A,мицӏ бусса,apuntado
629,scharf::A,ярксса,agudo
630,scharf::A,ярксса,afilado
631,scharf::A,дайлсса,agudo
632,scharf::A,дайлсса,afilado
633,scharf::A,мицӏ бусса,agudo
634,scharf::A,мицӏ бусса,afilado
635,stumpf::A,къуркъасса,sin filo
636,schwer::A,кӏусса,pesado
637,schön::A,аьнтӏикӏасса,bello
638,schön::A,аьнтӏикӏасса,hermoso
639,heiß::A,кӏирисса,caluroso
640,warm::A,гъелисса,cálido
641,warm::A,гъелисса,caliente
642,kalt::A,дяркъусса,frío
643,kühl::A,дюхлулсса,fresco
644,frisch::A,цӏусса,fresco
645,feucht::A,атилсса,húmedo
646,feucht::A,хъавтусса,húmedo
647,nass::A,атилсса,mojado
648,nass::A,хъавтусса,mojado
649,trocken::A,кьавкьсса,seco
650,trocken::A,кьакьан бувсса,seco
651,voll::A,бувцӏусса,lleno
652,leer::A,бачӏвасса,vacío
653,offen::A,тӏивтӏусса,abierto
654,geschlossen::A,лавкьусса,cerrado
655,sauber::A,марцӏсса,limpio
656,schmutzig::A,чапалсса,sucio
657,roh::A,шакъавхьсса,crudo
658,reif::A,дирсса,maduro
659,lecker::A,нахӏусса,rico
660,lecker::A,нахӏусса,sabroso
661,lecker::A,тӏааьнсса,rico
662,lecker::A,тӏааьнсса,sabroso
663,süß::A,нацӏусса,dulce
664,bitter::A,кьурчӏисса,amargo
665,sauer::A,туршсса,agrio
666,hell::A,чаннасса,claro
667,dunkel::A,цӏансса,oscuro
668,schwarz::A,лухӏисса,negro
669,weiß::A,кӏяласса,blanco
670,rot::A,ятӏулсса,rojo
671,gelb::A,хъахъисса,amarillo
672,blau::A,някӏсса,azul
673,grün::A,щюлисса,verde
674,grau::A,оьрусса,gris
675,bunt::A,оьрчӏикӏурисса,multicolor
676,billig::A,кьювкьусса,barato
677,teuer::A,ххирасса,caro
678,wertvoll::A,багьасса,valioso
679,wertvoll::A,багьасса,precioso
680,blind::A,мурчӏисса,ciego
681,taub::A,къюкӏсса,sordo
682,kräftig::A,гужсса,fuerte
683,stark::A,кьянкьасса,fuerte
684,stark::A,кьянкьасса,vigoroso
685,schwach::A,заэвсса,débil
686,fett::A,бучсса,obeso
687,schlank::A,бювхъусса,esbelto
688,hübsch::A,янусса,mono
689,hübsch::A,янусса,guapo
690,böse::A,оьсса,malo
691,dumm::A,ахӏмакьсса,tonto
692,dumm::A,ахӏмакьсса,estúpido
693,faul::A,танмалсса,vago
694,faul::A,танмалсса,perezoso
695,faul::A,курчӏилсса,vago
696,faul::A,курчӏилсса,perezoso
697,fleißig::A,хӏарачат бусса,aplicado
698,fleißig::A,хӏарачат бусса,diligente
699,geizig::A,янттарцӏансса,avaro
700,klug::A,аькьлу бусса,sensato
701,klug::A,аькьлу бусса,inteligente
702,geschickt::A,паргалсса,hábil
703,lieb::A,аьзизсса,querido
704,lustig::A,тяхъасса,alegre
705,sanft::A,иминсса,suave
706,hungrig::A,ккашилсса,hambriento
707,krank::A,къашавайсса,enfermo
708,nackt::A,кӏачӏасса,desnudo
709,traurig::A,пашмансса,triste
710,lebendig::A,уттавасса,vivo
711,lebendig::A,уттавасса,viviente
712,gut::A,ххуйсса,bueno
713,schlecht::A,оьккисса,malo
714,richtig::A,саргъунсса,justo
715,richtig::A,саргъунсса,correcto
716,schlimm::A,оьккисса,malo
717,schlimm::A,оьккисса,grave
718,wahr::A,хӏакьсса,verídico
719,wahr::A,хӏакьсса,verdadero
720,alt::A,кугьнасса,viejo
721,neu::A,цӏусса,nuevo
722,ehemalig::A,хъхъичӏвасса,antiguo
723,alt[Lebewesen]::A,агьилсса,viejo
724,jung::A,чӏавасса,joven
725,jung::A,жагьилсса,joven
726,arm::A,мискинсса,pobre
727,reich::A,авадансса,rico
728,bekannt::A,дусъсса,conocido
729,berühmt::A,машгьурсса,famoso
730,berühmt::A,машгьурсса,célebre
731,fremd::A,чил,extraño
732,verschieden::A,личӏи-личӏисса,diverso
733,verschieden::A,личӏи-личӏисса,distinto
734,verschieden::A,личӏи-личӏисса,diferente
735,nah::A,гъансса,cercano
736,fern::A,архсса,lejano
737,linker::A,кияхсса,izquierdo
738,linker::A,кюччахсса,izquierdo
739,rechter::A,урчӏахсса,derecho
740,anderer::A,цамур,otro
741,erster::A,цалчинмур,primero
742,erster::A,цалчиннсса,primero
743,zweiter::A,кӏилчиимур,segundo
744,dritter::A,шамулчинмур,tercero
745,letzter::A,махъва-махъмур,último
746,allein::ADV,ялгъузну,a solo
747,zusammen::ADV,цачӏу,juntos
748,zusammen::ADV,архӏал,juntos
749,lange::ADV,батӏи къабуклай,mucho tiempo
750,lange::ADV,хъунмасса хӏаллай,mucho tiempo
751,plötzlich::ADV,цакуну,de repente
752,sofort::ADV,мугьлат бакъа,en seguida
753,später::ADV,махъ,más tarde
754,jetzt::ADV,утти,ahora
