,Concept_ID,ml,kn
92,Sumpf::N,ചതുപ്പുനിലം,ಜೌಗುಸ್ಥಳ
93,Moor::N,പാഴ്നിലം,ಬಂಜರು ಭೂಮಿ
94,Wiese::N,പുൽത്തകിടി,ಹುಲ್ಲುಗಾವಲು
95,Wald::N,വനം,ಕಾಡು
96,Wald::N,കാട്,ಕಾಡು
97,Hügel::N,കുന്ന്,ಗುಡ್ಡೆ
98,Anhöhe::N,ഉയർന്ന ഭൂമി,ದಿಬ್ಬ
99,Berg::N,പർവ്വതം,ಮಲೆ
100,Berg::N,പർവ്വതം,ಪರ್ವತ
101,Gipfel::N,ഉച്ചകോടി,ಶೃಂಗ
102,Höhle::N,ഗുഹ,ಗುಹೆ
103,Abhang::N,ചരിവ്,ಇಳಿಜಾರು
104,Quelle::N,ഉറവിടം,ಮೂಲ
105,Bach::N,അരുവി,ತೊರೆ
106,Fluss::N,നദി,ನದಿ
107,Ufer::N,തീരം,ತೀರ
108,Küste::N,കടൽത്തീരം,ದಂಡೆ
109,Festland::N,കര,ಭೂಮಿ
110,Meer::N,കടൽ,ಕಡಲು
111,Bucht::N,ഉൾക്കടല്,ಖಾರಿ
112,Insel::N,ദ്വീപ്,ದ್ವೀಪ
113,Blume::N,പൂവ്,ಸುಮ
114,Gras::N,പുല്ല്,ಹುಲ್ಲು
115,Wurzel::N,വേര്,ಬೇರು
116,Baum::N,മരം,ಮರ
117,Stamm::N,തായ്ത്തടി,ಕಾಂಡ
118,Rinde::N,പട്ട,ತೂಗಟಿ
119,Ast::N,ശാഖ,ಶಾಖೆ
120,Zweig::N,ശാഖ,ರೆಂಬೆ
121,Blatt::N,ഇല,ಎಲೆ
122,Birke::N,പൂവരശ്,ಬರ್ಚ್ ಮರ
123,Kiefer[Baum]::N,പൈൻമരം,ದೇವದಾರು ಮರ
124,Weide[Baum]::N,വില്ലോ,ವಿಲೋಮರ
125,Tanne::N,ദേവദാരു,ಭದ್ರದಾರು
126,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,ಕೊಂಬು
127,Feder::N,തൂവൽ,ಪುಕ್ಕ
128,Fell::N,മൃദുരോമം,ರೋಮ
129,Flügel::N,ചിറക്,ರೆಕ್ಕೆ
130,Klaue::N,നഖം,ಪಂಜ
131,Kralle::N,നഖം,ಉಗುರು
132,Schwanz::N,വാൽ,ಬಾಲ
133,Ei::N,മുട്ട,ಮೊಟ್ಟೆ
134,Nest::N,കൂട്,ಗೂಡು
135,Bau::N,മാളം,ಅಡಗುದಾಣ
136,Tier::N,മൃഗം,ಪ್ರಾಣಿ
137,Herde::N,കൂട്ടം,ಗುಂಪು
138,Kuh::N,പശു,ಹಸು
139,Bulle::N,കാള,ಗೂಳಿ
140,Pferd::N,കുതിര,ಕುದುರೆ
141,Schaf::N,ആട്,ಕುರಿ
142,Schwein::N,പന്നി,ಹಂದಿ
143,Hund::N,നായ്,ನಾಯಿ
144,Katze::N,പൂച്ച,ಬೆಕ್ಕು
145,Bär::N,കരടി,ಕರಡಿ
146,Eichhörnchen::N,അണ്ണാൻ,ಉಡುತೆ
147,Elch::N,കടമാന്,ಕಡವೆ
148,Fuchs::N,കുറുക്കൻ,ನರಿ
