,Concept_ID,eu,ab
1292,zerstören::V,suntsitu,аилаҧыххаара
1293,verbrennen::V,erre,абылра
1294,verbrennen::V,kiskali,абылра
1295,geben::V,eman,аҭара
1296,reichen::V,luzatu,аҭара
1297,reichen::V,helarazi,аҭара
1298,schenken::V,oparitu,аҩгара
1299,versprechen::V,agindu,ақəргəыӷра
1300,wünschen::V,opatu,
1301,wünschen::V,opetsi,
1302,loben::V,laudatu,арҽхəара
1303,loben::V,goraipatu,арҽхəара
1304,küssen::V,musu eman,агəӡра
1305,wiegen::V,kulunkatu,
1306,zudecken::V,estali,аҵахҩара
1307,zudecken::V,estali,ақəршəра
1308,wecken::V,esnatu,арҿыхара
1309,wecken::V,iratzartu,арҿыхара
1310,zeigen::V,erakutsi,арбара
1311,führen::V,gidatu,аныҟəгара
1312,lehren::V,irakatsi,арҵара
1313,unterrichten::V,eskolak eman,арҧхьара
1314,aufziehen::V,hazi,ааӡара
1315,leiten::V,arteztu,ахагылазаара
1316,antreiben::V,bulkatu,арццакра
1317,lassen::V,-arazi,арҟаҵара
1318,einladen::V,gonbidatu,ааҕхьара
1319,einladen::V,gonbidatu,анаҧхьара
1320,vereinigen::V,batu,аилаҵара
1321,vereinigen::V,bateratu,аилаҵара
1322,besuchen::V,ikustatu,абара
1323,treffen::V,topatu,аҧылара
1324,sich versammeln::V,bildu,аизара
1325,spielen::V,jolastu,ахəмарра
1326,singen::V,abestu,ашəаҳəара
1327,singen::V,kantatu,ашəаҳəара
1328,tanzen::V,dantzatu,акəашара
1329,tanzen::V,dantzan egin,акəашара
1330,sich trennen::V,banandu,аилыҵра
1331,verlassen::V,utzietsi,акажьра
1332,retten::V,salbatu,Аиқəрхара
1333,retten::V,gaizkatu,Аиқəрхара
1334,bewachen::V,jagon,ахьчара
1335,bewachen::V,zaindu,ахьчара
1336,schützen::V,babestu,ацəыхьчара
1337,schützen::V,gerizatu,ацəыхьчара
1338,verteidigen::V,aldeztu,ахьчара
1339,sich schlagen::V,elkar jo,аисра
1340,sich schlagen::V,elkar borrokatu,аисра
1341,schießen::V,tiro egin,ахысра
1342,siegen::V,irabazi,аиааира
1343,ärgern::V,ernegatu,аргəаара
1344,ärgern::V,haserretu,аргəаара
1345,schlagen::V,jo,асра
1346,schlagen::V,jo,аҭасра
1347,schlagen::V,erauntsi,асра
1348,schlagen::V,erauntsi,аҭасра
1349,treten::V,zapaldu,
1350,treten::V,ostiaktu,
1351,stechen::V,sastatu,алакшара
1352,stoßen::V,bultzatu,агəҭасра
1353,stehlen::V,ostu,аӡара
1354,stehlen::V,lapurtu,аӡара
1355,stören::V,galarazi,аҧырхагахара
