,Concept_ID,uz,uz
150,Vogel::N,qush,qush
151,Schwarm::N,to'da,to'da
152,Huhn::N,tovuq,tovuq
153,Hahn::N,xo'roz,xo'roz
154,Gans::N,g'oz,g'oz
155,Adler::N,burgut,burgut
156,Ente::N,o'rdak,o'rdak
157,Eule::N,boyo'g'li,boyo'g'li
158,Kranich::N,turna,turna
159,Krähe::N,qarg'a,qarg'a
160,Kuckuck::N,kakku,kakku
161,Schwan::N,oqkush,oqkush
162,Fisch::N,baliq,baliq
163,Barsch::N,olabug'a,olabug'a
164,Hecht::N,cho'rtan,cho'rtan
165,Schlange[Tier]::N,ilon,ilon
166,Wurm::N,qurt,qurt
167,Spinne::N,o'rgimchak,o'rgimchak
168,Ameise::N,chumoli,chumoli
169,Laus::N,bit,bit
170,Mücke::N,chivin,chivin
171,Fliege::N,pashsha,pashsha
172,Schmetterling::N,kapalak,kapalak
173,Beere::N,meva,meva
174,Apfel::N,olma,olma
175,Pilz::N,qo'ziqorin,qo'ziqorin
176,Zwiebel::N,piyoz,piyoz
177,Saat::N,äkin,äkin
178,Korn::N,zarra,zarra
179,Heu::N,xashak,xashak
180,Schale::N,po'choq,po'choq
181,Grube::N,co'ra,co'ra
182,Falle::N,qopqon,qopqon
183,Schlinge::N,sirtmoq,sirtmoq
184,Spur::N,iz,iz
185,Asche::N,kul,kul
186,Dreck::N,kir,kir
187,Eisen::N,temir,temir
188,Gold::N,tilla,tilla
189,Silber::N,kumush,kumush
190,Kohle::N,ko'mir,ko'mir
191,Glas::N,oyna,oyna
192,Lehm::N,loy,loy
193,Sand::N,qum,qum
194,Mensch::N,odam,odam
195,Mann::N,ärkak,ärkak
196,Frau::N,ayol,ayol
197,Kind::N,bola,bola
198,Kind::N,bola,kichkintoy
199,Kind::N,kichkintoy,bola
200,Kind::N,kichkintoy,kichkintoy
201,Junge::N,bola,bola
202,Mädchen::N,qiz,qiz
203,Familie::N,oila,oila
204,Großvater::N,buva,buva
205,Großvater::N,buva,katta ota
206,Großvater::N,katta ota,buva
207,Großvater::N,katta ota,katta ota
208,Großmutter::N,buvi,buvi
209,Großmutter::N,buvi,katta oyi
210,Großmutter::N,katta oyi,buvi
211,Großmutter::N,katta oyi,katta oyi
212,Eltern::N,ota-ona,ota-ona
213,Vater::N,ota,ota
214,Mutter::N,ona,ona
215,Sohn::N,o'g'il,o'g'il
216,Tochter::N,qiz,qiz
217,Bruder::N,og'a,og'a
218,Bruder::N,og'a,uka
219,Bruder::N,uka,og'a
220,Bruder::N,uka,uka
221,Schwester::N,opa,opa
222,Schwester::N,opa,singil
223,Schwester::N,singil,opa
224,Schwester::N,singil,singil
225,Onkel::N,amaki,amaki
226,Tante::N,amma,amma
227,Tante::N,amma,xola
228,Tante::N,xola,amma
229,Tante::N,xola,xola
230,Ehemann::N,är,är
231,Ehefrau::N,rafiqa,rafiqa
232,Freude::N,ayish,ayish
233,Gelächter::N,kulgi,kulgi
234,Glück::N,saodat,saodat
235,Kummer::N,g'am,g'am
236,Wunsch::N,orzu,orzu
237,Lust::N,rag'bat,rag'bat
238,Geist::N,ruh,ruh
239,Gedanke::N,fikr,fikr
240,Gedächtnis::N,äs,äs
241,Verstand::N,aql,aql
242,Sinn::N,ma'ni,ma'ni
243,Grund::N,sabab,sabab
244,Wahrheit::N,haq,haq
245,Gespräch::N,gap,gap
246,Märchen::N,ärtak,ärtak
247,Erzählung::N,rivoyat,rivoyat
248,Nachricht::N,xabar,xabar
249,Neuigkeit::N,yangilik,yangilik
250,Name::N,ot,ot
251,Rätsel::N,topishmoq,topishmoq
252,Rede::N,nutq,nutq
253,Sprache::N,til,til
254,Stimme::N,ovoz,ovoz
255,Wort::N,so'z,so'z
256,Zeichen::N,alomat,alomat
257,Ruf::N,chaqiriq,chaqiriq
258,Lärm::N,taraq,taraq
259,Laut::N,tovush,tovush
260,Ton::N,un,un
261,Lied::N,ashula,ashula
262,Ruhe::N,tinchlik,tinchlik
263,Leute::N,xaloyiq,xaloyiq
264,Volk::N,xalq,xalq
265,Arbeit::N,ish,ish
266,Gast::N,mehmon,mehmon
267,Geschenk::N,hadya,hadya
268,Spiel::N,o'yin,o'yin
269,Gesellschaft::N,jamiyat,jamiyat
270,Hilfe::N,yordam,yordam
271,Freund::N,do'st,do'st
272,Kamerad::N,yo'ldosh,yo'ldosh
273,Angelegenheit::N,daxl,daxl
274,Anzahl::N,son,son
275,Art::N,tur,tur
276,Stück::N,parcha,parcha
277,Teil::N,bo'lak,bo'lak
278,Hälfte::N,yarim,yarim
279,Kreis::N,aylana,aylana
280,Kreuz::N,xoch,xoch
281,Linie::N,liniya,liniya
282,Strich::N,chiziq,chiziq
283,Abstand::N,oralik,oralik
284,Entfernung::N,uzoqlik,uzoqlik
285,Gegend::N,yer,yer
286,Platz::N,oralig,oralig
287,Ort::N,joy,joy
288,Seite::N,yon,yon
289,Mitte::N,o'rta,o'rta
290,Gegenstand::N,ashyo,ashyo
291,Sache::N,buyum,buyum
292,Rand::N,chek,chek
293,Kante::N,tig',tig'
294,Ecke::N,burchak,burchak
295,Spitze::N,uch,uch
296,Ende::N,oxir,oxir
297,Loch::N,teshik,teshik
298,Winkel::N,go'sha,go'sha
299,Muster::N,nusha,nusha
300,Größe::N,kattalik,kattalik
301,Länge::N,uzunlik,uzunlik
302,Höhe::N,yuksaklik,yuksaklik
303,Gewicht::N,solmoq,solmoq
304,Menge::N,miqdor,miqdor
305,Haufen::N,uyum,uyum
306,Reihe::N,saf,saf
307,Boot::N,qayiq,qayiq
308,Ruder::N,äshkak,äshkak
309,Schlitten::N,chana,chana
310,Ski::N,chang'i,chang'i
311,Lagerfeuer::N,gulxan,gulxan
312,Last::N,yuk,yuk
313,Gang::N,yurish,yurish
314,Schritt::N,qadam,qadam
315,Norden::N,shimol,shimol
316,Süden::N,janub,janub
317,Westen::N,g'arb,g'arb
318,Osten::N,sharq,sharq
319,Holz::N,yog'och,yog'och
320,Brett::N,taxta,taxta
321,Platte::N,tabaqa,tabaqa
322,Stütze::N,tayanchi,tayanchi
323,Stange::N,qo'noq,qo'noq
324,Stock::N,tayoq,tayoq
325,Stab::N,gavron,gavron
326,Rohr::N,tarnov,tarnov
327,Haus::N,uy,uy
328,Heim::N,makon,makon
329,Ofen::N,pechka,pechka
330,Fußboden::N,pol,pol
331,Tisch::N,mosa,mosa
332,Stuhl::N,o'rindiq,o'rindiq
333,Wiege::N,beshik,beshik
334,Bett::N,yotoq,yotoq
335,Regal::N,tokcha,tokcha
336,Kiste::N,sandiq,sandiq
337,Fenster::N,deraza,deraza
338,Tür::N,äshik,äshik
339,Tor::N,darvoza,darvoza
340,Zaun::N,panjara,panjara
341,Dach::N,tom,tom
342,Leiter::N,narvon,narvon
343,Besen::N,supurgi,supurgi
344,Spaten::N,bel,bel
345,Schaufel::N,kurak,kurak
346,Gabel::N,bilka,bilka
347,Löffel::N,qoshiq,qoshiq
348,Messer::N,pichoq,pichoq
349,Nagel::N,mix,mix
350,Netz::N,to'r,to'r
351,Haken::N,ilgak,ilgak
352,Griff::N,sop,sop
353,Griff::N,sop,tutqich
354,Griff::N,tutqich,sop
355,Griff::N,tutqich,tutqich
356,Schloss::N,qulf,qulf
357,Bild::N,rasm,rasm
358,Figur::N,shakl,shakl
359,Puppe::N,ko'g'irchoq,ko'g'irchoq
360,Beutel::N,to'rva,to'rva
361,Bündel::N,bog'lam,bog'lam
362,Tasche::N,kissa,kissa
363,Eimer::N,chelak,chelak
364,Deckel::N,qopqoq,qopqoq
365,Geschirr::N,idish,idish
366,Sack::N,qop,qop
367,Tasse::N,piyola,piyola
368,Topf::N,tuvak,tuvak
369,Kessel::N,qozon,qozon
370,Essen::N,tomoq,tomoq
371,Nahrung::N,emak,emak
372,Speise::N,taom,taom
373,Fleisch::N,go'sht,go'sht
374,Getreide::N,g'alla,g'alla
375,Brei::N,bo'tqa,bo'tqa
376,Brot::N,non,non
377,Scheibe::N,disk,disk
378,Fett::N,moy,moy
379,Butter::N,yog',yog'
380,Öl::N,moy,moy
381,Salz::N,tuz,tuz
382,Suppe::N,sho'rva,sho'rva
383,Honig::N,asal,asal
384,Milch::N,sut,sut
385,Tee::N,choy,choy
386,Leder::N,charm,charm
387,Wolle::N,jun,jun
388,Stoff::N,mato,mato
389,Nadel::N,igna,igna
390,Faden::N,ip,ip
391,Knopf::N,tugma,tugma
392,Knoten::N,tugun,tugun
393,Farbe::N,bo'yok,bo'yok
394,Kleidung::N,kiyim,kiyim
395,Hemd::N,ko'ylak,ko'ylak
396,Kragen::N,yoqa,yoqa
397,Ärmel::N,yeng,yeng
398,Hose::N,shim,shim
399,Gürtel::N,tasma,tasma
400,Mütze::N,shapka,shapka
401,Schuh::N,but,but
402,Stiefel::N,botinka,botinka
403,Ring::N,yuzuk,yuzuk
404,Band::N,rishta,rishta
405,Kamm::N,taroq,taroq
406,Spiegel::N,ko'zgu,ko'zgu
407,Riemen::N,qayish,qayish
408,Schnur::N,bog'ich,bog'ich
409,Leine::N,etak,etak
410,Decke::N,odyol,odyol
411,Kissen::N,yostiq,yostiq
412,Tuch::N,gazlama,gazlama
413,Handtuch::N,sochiq,sochiq
414,Kraft::N,kuch,kuch
415,Stärke::N,quvvat,quvvat
416,Gesundheit::N,sog'lik,sog'lik
417,Krankheit::N,kasallik,kasallik
418,Schmerz::N,og'riq,og'riq
419,Wunde::N,yara,yara
420,Fieber::N,bezgak,bezgak
421,Arznei::N,dori,dori
422,Brücke::N,ko'prik,ko'prik
423,Brunnen::N,buloq,buloq
424,Weide::N,yaylov,yaylov
425,Pfad::N,dorojka,dorojka
426,Weg::N,yo'l,yo'l
427,Straße::N,ko'cha,ko'cha
428,Dorf::N,ovul,ovul
429,Stadt::N,shahar,shahar
430,Brief::N,maktub,maktub
431,Buch::N,kitob,kitob
432,Buchstabe::N,harf,harf
433,Zeitung::N,gazet,gazet
434,Leben::N,hayot,hayot
435,Tod::N,o'lim,o'lim
436,Grab::N,go'r,go'r
437,Kirche::N,cherkov,cherkov
438,Sünde::N,gunoh,gunoh
439,Gott::N,olloh,olloh
440,Arbeiter::N,ishchi,ishchi
441,Chef::N,rais,rais
442,Meister::N,usta,usta
443,Arzt::N,hakim,hakim
444,Lehrer::N,muallim,muallim
445,Geld::N,pul,pul
446,Geschäft::N,savdo,savdo
447,Laden::N,do'kon,do'kon
448,Preis::N,baho,baho
449,Ware::N,mol,mol
450,Nutzen::N,foyda,foyda
451,Reichtum::N,boylik,boylik
452,Welt::N,olam,olam
453,Land::N,o'lka,o'lka
454,Staat::N,davlat,davlat
455,König::N,qirol,qirol
456,Macht::N,iqtidor,iqtidor
457,Grenze::N,chegara,chegara
458,Krieg::N,harb,harb
459,Feind::N,dushman,dushman
460,Gewalt::N,zo'rlik,zo'rlik
461,Kampf::N,kurash,kurash
462,Bogen[Waffe]::N,yoy,yoy
463,Pfeil::N,o'q,o'q
464,Gewehr::N,vintovka,vintovka
465,Fehler::N,xato,xato
466,Lüge::N,yolg'on,yolg'on
467,Schaden::N,ziyon,ziyon
468,Unglück::N,balo,balo
469,Schuld::N,ayb,ayb
470,Alter::N,yosh,yosh
471,Schluss::N,tamom,tamom
472,Zeit::N,vaqt,vaqt
473,Tag::N,kun,kun
474,Morgen::N,saboh,saboh
475,Mittag::N,kun tushlik,kun tushlik
476,Abend::N,oqshom,oqshom
477,Nacht::N,tun,tun
478,Woche::N,hafta,hafta
479,Monat::N,oy,oy
480,Jahr::N,yil,yil
481,Frühling::N,bahor,bahor
482,Sommer::N,yoz,yoz
483,Herbst::N,kuz,kuz
484,Herbst::N,kuz,xazon
485,Herbst::N,xazon,kuz
486,Herbst::N,xazon,xazon
487,Winter::N,qish,qish
488,Januar::N,yanvar',yanvar'
489,Februar::N,fevral',fevral'
490,März::N,mart,mart
491,April::N,aprel',aprel'
492,Mai::N,may,may
493,Juni::N,iyun',iyun'
494,Juli::N,iyul',iyul'
495,August::N,avgust,avgust
496,September::N,sentyabr',sentyabr'
497,Oktober::N,oktyabr',oktyabr'
498,November::N,noyabr',noyabr'
499,Dezember::N,dekabr',dekabr'
500,Montag::N,dushanba,dushanba
501,Dienstag::N,seshanba,seshanba
502,Mittwoch::N,chorshanba,chorshanba
503,Donnerstag::N,payshanba,payshanba
504,Freitag::N,juma,juma
505,Samstag::N,shanba,shanba
506,Sonntag::N,yakshanba,yakshanba
507,groß::A,buyuk,buyuk
508,klein::A,kichik,kichik
509,lang::A,uzun,uzun
510,kurz::A,qisqa,qisqa
511,breit::A,keng,keng
512,schmal::A,änsiz,änsiz
513,dicht::A,quyuq,quyuq
514,dick[Gegenstand]::A,qalin,qalin
515,dünn::A,ingichka,ingichka
516,fein::A,mayin,mayin
517,fest::A,qattiq,qattiq
518,flach::A,yalpoq,yalpoq
519,glatt::A,tekis,tekis
520,hart::A,qattiq,qattiq
521,weich::A,yumshoq,yumshoq
522,rund::A,yumaloq,yumaloq
523,spitz::A,uchli,uchli
524,scharf::A,keskir,keskir
525,stumpf::A,to'mtoq,to'mtoq
526,schwer::A,salmoqli,salmoqli
527,schön::A,go'zal,go'zal
528,heiß::A,qiziq,qiziq
529,warm::A,issiq,issiq
530,kalt::A,sovuq,sovuq
531,kühl::A,salqin,salqin
532,frisch::A,toza,toza
533,feucht::A,namli,namli
534,nass::A,nam,nam
535,trocken::A,quruq,quruq
536,voll::A,to'la,to'la
537,leer::A,puch,puch
538,offen::A,ochiq,ochiq
539,geschlossen::A,berk,berk
540,sauber::A,ozoda,ozoda
541,schmutzig::A,kir,kir
542,roh::A,xom,xom
543,reif::A,pishiq,pishiq
544,lecker::A,shirin,shirin
545,süß::A,shirin,shirin
546,bitter::A,achchiq,achchiq
547,sauer::A,achchiq,achchiq
548,hell::A,yorug',yorug'
549,dunkel::A,qorong'i,qorong'i
550,schwarz::A,qora,qora
551,weiß::A,oq,oq
552,rot::A,qizil,qizil
553,gelb::A,sariq,sariq
554,blau::A,zangori,zangori
555,grün::A,yashil,yashil
556,grau::A,bo'z,bo'z
557,bunt::A,ola,ola
558,billig::A,arzon,arzon
559,teuer::A,qimmat,qimmat
560,wertvoll::A,qimmat,qimmat
561,blind::A,ko'r,ko'r
562,taub::A,garang,garang
563,kräftig::A,kuchli,kuchli
564,stark::A,quvvatli,quvvatli
565,schwach::A,kuchsiz,kuchsiz
566,fett::A,semiz,semiz
567,schlank::A,ingichka,ingichka
568,hübsch::A,ko'rkam,ko'rkam
569,böse::A,yovuz,yovuz
570,dumm::A,aqlsiz,aqlsiz
571,faul::A,ärinchak,ärinchak
572,fleißig::A,ishchan,ishchan
573,geizig::A,qurumsoq,qurumsoq
574,klug::A,oqil,oqil
575,geschickt::A,äpchil,äpchil
576,lieb::A,aziz,aziz
577,lustig::A,chaqchaq,chaqchaq
578,sanft::A,asta,asta
579,hungrig::A,och,och
580,krank::A,kasal,kasal
581,nackt::A,yalang,yalang
582,traurig::A,xafa,xafa
583,lebendig::A,hayotiy,hayotiy
584,gut::A,soz,soz
585,schlecht::A,yomon,yomon
586,richtig::A,rost,rost
587,schlimm::A,yovuz,yovuz
588,wahr::A,haqiqiy,haqiqiy
589,alt::A,äski,äski
590,neu::A,yangi,yangi
591,ehemalig::A,sobiq,sobiq
592,alt[Lebewesen]::A,qari,qari
593,jung::A,navqiron,navqiron
594,arm::A,abgor,abgor
595,reich::A,boy,boy
596,bekannt::A,ma'lum,ma'lum
597,berühmt::A,mashhur,mashhur
598,fremd::A,yot,yot
599,verschieden::A,turli,turli
600,nah::A,yaqindagi,yaqindagi
601,fern::A,uzoq,uzoq
602,linker::A,so'l,so'l
603,rechter::A,o'ng,o'ng
604,anderer::A,boshqa,boshqa
605,erster::A,birinchi,birinchi
606,zweiter::A,ikkinchi,ikkinchi
607,dritter::A,uchinchi,uchinchi
608,letzter::A,oxirgi,oxirgi
609,allein::ADV,o'zicha,o'zicha
610,auf einmal::ADV,varakay,varakay
611,zusammen::ADV,barobar,barobar
612,lange::ADV,uzoq,uzoq
613,plötzlich::ADV,qo'qqisdan,qo'qqisdan
614,sofort::ADV,darrov,darrov
615,später::ADV,so'ngra,so'ngra
616,jetzt::ADV,hozirgina,hozirgina
617,heute::ADV,bugun,bugun
618,morgen::ADV,ärta,ärta
619,bald::ADV,toz,toz
620,dann::ADV,keyin,keyin
621,gestern::ADV,kecha,kecha
622,einst::ADV,avvallari,avvallari
623,damals::ADV,ugal,ugal
624,danach::ADV,so'ngra,so'ngra
625,vorher::ADV,avval,avval
626,zuerst::ADV,avval,avval
627,einmal::ADV,bir marta,bir marta
628,manchmal::ADV,onda-sonda,onda-sonda
629,oft::ADV,tez-tez,tez-tez
630,immer::ADV,har vaqt,har vaqt
631,niemals::ADV,hargiz,hargiz
632,hier::ADV,shu erda,shu erda
633,hierhin::ADV,beri,beri
634,von hier::ADV,shu erdan,shu erdan
635,dort::ADV,ana,ana
636,dorthin::ADV,u yerga,u yerga
637,geradeaus::ADV,to'g'ri,to'g'ri
638,vorwärts::ADV,ilgari,ilgari
639,rückwärts::ADV,qoloq,qoloq
640,zurück::ADV,orqada,orqada
641,unten::ADV,pastda,pastda
642,hinab::ADV,tubanga,tubanga
643,oben::ADV,ustida,ustida
644,hinauf::ADV,yuqorida,yuqorida
645,überall::ADV,har erda,har erda
646,nicht::ADV,ämas,ämas
647,ein wenig::ADV,biroz,biroz
648,kaum::ADV,arang,arang
649,sehr::ADV,ancha,ancha
650,so::ADV,shunday,shunday
651,noch::ADV,hali,hali
652,nur::ADV,yolg'iz,yolg'iz
653,schon::ADV,endi,endi
654,wieder::ADV,yana,yana
655,vergebens::ADV,bekorga,bekorga
656,vor::PRP,burun,burun
657,hinter::PRP,ketida,ketida
658,unter::PRP,ostida,ostida
659,durch::PRP,bo'ylab,bo'ylab
660,neben::PRP,yonida,yonida
661,zwischen::PRP,orada,orada
662,wegen::PRP,sababli,sababli
663,dies::PRN,o'sha,o'sha
664,das::PRN,narigi,narigi
665,alles::PRN,har nima,har nima
666,ich::PRN,men,men
667,du::PRN,sen,sen
668,er::PRN,u,u
669,wir::PRN,biz,biz
670,ihr::PRN,siz,siz
671,sie::PRN,ular,ular
672,was::FPRN,nima,nima
673,wer::FPRN,kim,kim
674,wo::FADV,qaerda,qaerda
675,wohin::FADV,qayerga,qayerga
676,wie::FADV,qanday,qanday
677,warum::FADV,nega,nega
678,wieviel::FNUM,qancha,qancha
679,eins::NUM,bir,bir
680,zwei::NUM,ikki,ikki
681,drei::NUM,uch,uch
682,vier::NUM,to'rt,to'rt
683,fünf::NUM,besh,besh
684,sechs::NUM,olti,olti
685,sieben::NUM,etti,etti
686,acht::NUM,sakkiz,sakkiz
687,neun::NUM,to'qqiz,to'qqiz
688,zehn::NUM,o'n,o'n
689,elf::NUM,o'n bir,o'n bir
690,zwölf::NUM,o'n ikki,o'n ikki
691,zwanzig::NUM,yigirma,yigirma
692,dreißig::NUM,o'ttiz,o'ttiz
693,vierzig::NUM,qirq,qirq
694,fünfzig::NUM,ällik,ällik
695,sechzig::NUM,oltmish,oltmish
696,siebzig::NUM,etmish,etmish
697,achtzig::NUM,sakson,sakson
698,neunzig::NUM,to'qson,to'qson
699,hundert::NUM,yuz,yuz
700,tausend::NUM,ming,ming
701,und::CNJ,va,va
702,oder::CNJ,yo,yo
703,stehen::V,turmoq,turmoq
704,sitzen::V,o'tirmoq,o'tirmoq
705,liegen::V,yotmoq,yotmoq
706,hängen::V,osilmoq,osilmoq
707,werden::V,bo'lmoq,bo'lmoq
708,passieren::V,bo'lib o'tmoq,bo'lib o'tmoq
709,beginnen::V,boshlanmoq,boshlanmoq
710,enden::V,bitmoq,bitmoq
711,wechseln::V,o'zgarmoq,o'zgarmoq
712,aufgehen[Sonne]::V,chiqmoq,chiqmoq
713,untergehen[Sonne]::V,botmoq,botmoq
714,scheinen[Sonne]::V,yaraqlamoq,yaraqlamoq
715,donnern::V,gulduramoq,gulduramoq
716,wehen::V,elpimoq,elpimoq
717,strömen::V,oqmoq,oqmoq
718,fließen::V,oqmoq,oqmoq
719,sich drehen::V,aylanmoq,aylanmoq
720,schwanken::V,qoqilmoq,qoqilmoq
721,schwingen::V,lopillamoq,lopillamoq
722,fallen::V,tushmoq,tushmoq
723,brennen::V,yonmoq,yonmoq
724,rauchen::V,tutamoq,tutamoq
725,regnen::V,yomg'ir yog'moq,yomg'ir yog'moq
726,gefrieren::V,muzlamoq,muzlamoq
727,tauen::V,ärimoq,ärimoq
728,schmelzen::V,ärimoq,ärimoq
729,trocknen::V,qurimoq,qurimoq
730,sieden::V,qaynamoq,qaynamoq
731,faulen::V,chirimoq,chirimoq
732,verfaulen::V,chirimoq,chirimoq
733,reißen::V,qayt qilmoq,qayt qilmoq
734,versinken::V,g'arq bo'lmoq,g'arq bo'lmoq
735,vergehen::V,o'tmoq,o'tmoq
736,erscheinen::V,zuhur ätmoq,zuhur ätmoq
737,verschwinden::V,yo'qolmoq,yo'qolmoq
738,sinken::V,pasaymoq,pasaymoq
739,abnehmen::V,kamaymoq,kamaymoq
740,zunehmen::V,urchimoq,urchimoq
741,steigen::V,oshmoq,oshmoq
742,wachsen::V,o'smoq,o'smoq
743,glänzen::V,porlamoq,porlamoq
744,funkeln::V,yalt ätmoq,yalt ätmoq
745,lärmen::V,taraq ätmoq,taraq ätmoq
746,läuten::V,jiringlamoq,jiringlamoq
747,klingeln::V,jiringlamoq,jiringlamoq
748,klirren::V,sharaqlamoq,sharaqlamoq
749,brausen::V,vag'illamoq,vag'illamoq
750,rauschen::V,shitirlamoq,shitirlamoq
751,klingen::V,yangramoq,yangramoq
752,bellen::V,hurmoq,hurmoq
753,heulen::V,uvlamoq,uvlamoq
754,blasen::V,puflamoq,puflamoq
755,pfeifen::V,xushtak chalmoq ,xushtak chalmoq 
756,schreien::V,qiyqirmoq,qiyqirmoq
757,stöhnen::V,nola qilmoq,nola qilmoq
758,zittern::V,titramoq,titramoq
759,leben::V,yashamoq,yashamoq
760,geboren werden::V,tug'ilmoq,tug'ilmoq
761,atmen::V,nafas chiqarmoq,nafas chiqarmoq
762,trinken::V,ichmoq,ichmoq
763,essen::V,emoq,emoq
764,schlucken::V,yutmoq,yutmoq
765,müde werden::V,horimoq,horimoq
766,einschlafen::V,uxlab qolmoq,uxlab qolmoq
767,schlafen::V,uxlamoq,uxlamoq
768,aufwachen::V,uyg'onmoq,uyg'onmoq
769,aufstehen::V,qo'pmoq,qo'pmoq
