,Concept_ID,is,br
380,Messer::N,hnífur,kontell
381,Nagel::N,nögl,tach
382,Netz::N,net,roued
383,Haken::N,krókur,krog
384,Griff::N,tak,kemer
385,Schloss::N,lás,potenn
386,Bild::N,mynd,skeudenn
387,Figur::N,stytta,skeud
388,Figur::N,stytta,figur
389,Puppe::N,brúða,merc'hodenn
390,Beutel::N,poki,sac'h
391,Beutel::N,baggi,sac'h
392,Bündel::N,böggull,feskenn
393,Tasche::N,veski,sac'h
394,Eimer::N,fata,sailh
395,Deckel::N,lok,pallenn
396,Geschirr::N,leirtau,listriaj
397,Sack::N,sekkur,sac'h
398,Tasse::N,bolli,tas
399,Topf::N,pottur,pod
400,Kessel::N,ketill,chaodouron
401,Essen::N,matur,pred
402,Nahrung::N,fæða,boued
403,Speise::N,réttur,meuz
404,Speise::N,matarréttur,meuz
405,Fleisch::N,kjöt,kig
406,Getreide::N,korn,ed
407,Brei::N,grautur,yod
408,Brot::N,brauð,bara
409,Scheibe::N,sneið,tailhenn
410,Fett::N,fita,lard
411,Butter::N,smjör,amann
412,Öl::N,olía,eoul
413,Salz::N,salt,holen
414,Suppe::N,súpa,soubenn
415,Honig::N,hunang,mel
416,Milch::N,mjólk,laezh
417,Tee::N,te,te
418,Leder::N,skinn,lêr
419,Wolle::N,ull,gloan
420,Stoff::N,dúkur,danvez
421,Nadel::N,nál,nadoz
422,Faden::N,þráður,neudenn
423,Knopf::N,tala,bouton
424,Knopf::N,hnappur,bouton
425,Knoten::N,hnútur,skoulm
426,Farbe::N,málning,liv
427,Kleidung::N,búningur,dilhad
428,Kleidung::N,klæðnaður,dilhad
429,Hemd::N,skyrta,roc'hed
430,Kragen::N,kragi,gouzoug
431,Kragen::N,flibbi,gouzoug
432,Ärmel::N,ermi,milgin
433,Hose::N,buxur,bragoù
434,Gürtel::N,belti,gouriz
435,Mütze::N,húfa,boned
436,Schuh::N,skór,botez
437,Stiefel::N,stígvél,botez
438,Ring::N,hringur,gwalenn
439,Band::N,band,bagad
440,Kamm::N,greiða,krib
441,Spiegel::N,spegill,melezour
442,Riemen::N,ól,lerenn
443,Riemen::N,reim,lerenn
444,Schnur::N,snúra,kordenn
445,Leine::N,band,roll
446,Decke::N,teppi,golo
447,Kissen::N,koddi,goubenner
448,Tuch::N,klútur,mezher
449,Handtuch::N,þurrka,toailhon
450,Handtuch::N,handklæði,toailhon
451,Kraft::N,afl,nerzh
452,Kraft::N,kraftur,nerzh
453,Stärke::N,styrkur,nerzhder
454,Gesundheit::N,heilsa,yec'hed
455,Gesundheit::N,heilbrigði,yec'hed
456,Krankheit::N,sjúkdómur,klañved
457,Schmerz::N,sársauki,poan
458,Schmerz::N,sársauki,droug
459,Wunde::N,sár,gloazadenn
460,Fieber::N,hitasótt,terzhienn
461,Arznei::N,lyf,louzoù
462,Brücke::N,brú,pont
463,Brunnen::N,brunnur,puñs
464,Weide::N,hagi,prad
465,Pfad::N,stígur,gwenodenn
466,Weg::N,vegur,hent
467,Straße::N,gata,ru
468,Straße::N,gata,hent
469,Straße::N,stræti,ru
470,Straße::N,stræti,hent
471,Dorf::N,þorp,kêr
472,Dorf::N,þorp,kêriadenn
473,Stadt::N,borg,kêr
474,Brief::N,bréf,lizher
475,Buch::N,bók,levr
476,Buchstabe::N,bókstafur,lizherenn
477,Zeitung::N,dagblað,kazetenn
