,Concept_ID,ja,br
65,Wasser::N,水,dour
66,Stein::N,石,maen
67,Boden::N,土地,tachenn
68,Erde::N,土,douar
69,Staub::N,埃,poultr
70,Rauch::N,煙,moged
71,Funke::N,火花,ful
72,Feuer::N,火,tan
73,Licht::N,光,gouloù
74,Schatten::N,陰,disheol
75,Wetter::N,天気,amzer
76,Nebel::N,霧,brumenn
77,Wolke::N,雲,koumoulenn
78,Regen::N,雨,glav
79,Schnee::N,雪,erc'h
80,Eis::N,氷,skorn
81,Frost::N,霜,rev
82,Kälte::N,寒さ,yen
83,Hitze::N,暑さ,tommder
84,Raureif::N,霧氷,frim
85,Regenbogen::N,虹,gwareg-ar-glav
86,Donner::N,雷,kurun
87,Strömung::N,流れ,red
88,Tropfen::N,滴,bannac'h
89,Tropfen::N,滴,takenn
90,Schaum::N,泡,spoum
91,Schmutz::N,汚れ,fank
92,See::N,湖,lenn
93,Sumpf::N,沼,gwern
94,Moor::N,湿原,taouarc'heg
95,Wiese::N,草原,prad
96,Wald::N,森,koad
97,Hügel::N,丘,torgenn
98,Anhöhe::N,高み,run
99,Berg::N,山,menez
100,Gipfel::N,頂上,barr
101,Höhle::N,洞窟,kav
102,Abhang::N,斜面,naou
103,Quelle::N,泉,feunteun
104,Bach::N,小川,gwazh
105,Fluss::N,川,stêr
106,Ufer::N,岸,ribl
107,Küste::N,海岸,aod
108,Festland::N,陸,douar
109,Meer::N,海,mor
110,Bucht::N,湾,mor-bihan
111,Insel::N,島,enez
112,Blume::N,花,bleunienn
113,Gras::N,草,geot
114,Wurzel::N,根,gwrizienn
115,Baum::N,木,gwezenn
116,Stamm::N,幹,kef
117,Rinde::N,皮層,rusk
118,Ast::N,枝,barr
119,Zweig::N,小枝,bod
120,Blatt::N,葉,delienn
121,Birke::N,樺,bezvenn
122,Kiefer[Baum]::N,松,pinenn
123,Weide[Baum]::N,柳,halegenn
124,Tanne::N,樅,sapenn
125,Horn::N,角,korn
126,Feder::N,羽根,pluñv
127,Fell::N,毛皮,kreoñ
128,Flügel::N,羽,askell
129,Klaue::N,鉤爪,skilf
130,Kralle::N,爪,skilf
131,Schwanz::N,尻尾,lost
132,Ei::N,卵,vi
133,Nest::N,巣,neizh
134,Bau::N,穴,douarenn
135,Tier::N,動物,loen
136,Herde::N,群れ,tropell
137,Kuh::N,牛,buoc'h
138,Bulle::N,雄牛,tarv
139,Pferd::N,馬,marc'h
140,Schaf::N,羊,dañvad
141,Schwein::N,豚,pemoc'h
142,Hund::N,犬,ki
143,Katze::N,猫,kazh
144,Bär::N,熊,arzh
145,Eichhörnchen::N,栗鼠,gwiñver
146,Elch::N,ヘラジカ,karv-dour
147,Fuchs::N,狐,louarn
148,Hase::N,兎,gad
149,Maus::N,鼠,logodenn
150,Wolf::N,狼,bleiz
151,Vogel::N,鳥,labous
152,Schwarm::N,群れ,nijad
153,Huhn::N,鶏,yar
154,Hahn::N,雄鶏,kilhog
155,Gans::N,ガチョウ,gwazenn
156,Adler::N,鷲,erer
157,Ente::N,鴨,houad
158,Eule::N,フクロウ,toud
159,Kranich::N,鶴,garan
160,Krähe::N,烏,bran
161,Kuckuck::N,郭公,koukoug
162,Schwan::N,白鳥,alarc'h
163,Fisch::N,魚,pesk
164,Barsch::N,鱸,brell
165,Hecht::N,川魳,beked
166,Schlange[Tier]::N,蛇,naer
167,Wurm::N,虫,preñv
168,Spinne::N,蜘蛛,kevnidenn
169,Ameise::N,蟻,merion
170,Laus::N,虱,laouenn
171,Mücke::N,蚊,moustik
172,Fliege::N,蝿,kelienenn
173,Schmetterling::N,蝶,balafenn
174,Beere::N,漿果,hog
175,Apfel::N,林檎,aval
176,Pilz::N,茸,kabell-touseg
177,Zwiebel::N,玉葱,ognonenn
178,Saat::N,種,had
179,Korn::N,粒,ed
180,Heu::N,干し草,foenn
181,Schale::N,皮,peliadur
182,Grube::N,穴,
183,Falle::N,わな,pech
184,Schlinge::N,輪,krouglas
185,Spur::N,跡,
186,Asche::N,灰,ludu
187,Dreck::N,泥,fank
188,Eisen::N,鉄,houarn
189,Gold::N,金,aour
190,Silber::N,銀,arc'hant
191,Kohle::N,炭,glaou
192,Glas::N,ガラス,gwer
193,Lehm::N,ローム,
194,Sand::N,砂,traezh
195,Mensch::N,人,den
196,Mann::N,男,den
197,Mann::N,男性,den
198,Frau::N,女,maouez
199,Frau::N,女性,maouez
200,Kind::N,子,bugel
201,Kind::N,子供,bugel
202,Junge::N,男の子,paotr
203,Mädchen::N,女の子,plac'h
204,Familie::N,家族,familh
205,Großvater::N,祖父,tad-kozh
206,Großvater::N,おじいさん,tad-kozh
207,Großmutter::N,祖母,mamm-gozh
208,Großmutter::N,おばあさん,mamm-gozh
209,Eltern::N,親,kerent
210,Eltern::N,両親,kerent
211,Vater::N,父,tad
212,Vater::N,お父さん,tad
213,Mutter::N,母,mamm
214,Mutter::N,お母さん,mamm
215,Sohn::N,息子,mab
216,Sohn::N,息子さん,mab
217,Tochter::N,娘,merc'h
218,Tochter::N,お嬢さん,merc'h
219,Bruder::N,弟,breur
220,Schwester::N,妹,c'hoar
221,Onkel::N,伯父,eontr
222,Onkel::N,伯父さん,eontr
223,Tante::N,叔母,moereb
224,Tante::N,叔母さん,moereb
225,Ehemann::N,夫,gwaz
226,Ehemann::N,主人,gwaz
227,Ehefrau::N,妻,gwreg
228,Ehefrau::N,奥さん,gwreg
229,Freude::N,喜び,levenez
230,Gelächter::N,笑い,c'hoarzherezh
231,Glück::N,幸せ,chañs
232,Kummer::N,悩み,doan
233,Wunsch::N,希望,c'hoant
234,Lust::N,気,c'hoant
235,Geist::N,精神,spered
236,Gedanke::N,考え,soñj
237,Gedächtnis::N,記憶,eñvor
238,Verstand::N,理解力,skiant
239,Sinn::N,意味,ster
240,Grund::N,理由,kaoz
241,Wahrheit::N,真実,gwirionez
242,Gespräch::N,会話,kaozeadenn
243,Märchen::N,童話,kaoz korriganez
244,Erzählung::N,物語,kontadenn
245,Nachricht::N,報告,keloù
246,Neuigkeit::N,ニュース,kelaouenn
247,Name::N,名前,anv
248,Rätsel::N,謎,divinatez
249,Rede::N,演説,diskour
250,Sprache::N,言語,yezh
251,Stimme::N,声,mouezh
252,Wort::N,言葉,ger
253,Zeichen::N,記号,sin
254,Ruf::N,呼び声,galv
255,Lärm::N,騒音,trouz
256,Laut::N,音,
257,Ton::N,音,ton
258,Lied::N,歌,kanaouenn
259,Ruhe::N,静けさ,sioulded
260,Leute::N,人々,tud
261,Volk::N,民族,pobl
262,Arbeit::N,仕事,labour
263,Gast::N,客,kouviad
264,Geschenk::N,贈り物,prof
265,Spiel::N,遊び,c'hoari
266,Gesellschaft::N,社会,kompagnunezh
267,Gesellschaft::N,社会,kavandad
268,Hilfe::N,援助,sikour
269,Freund::N,友達,mignon
270,Kamerad::N,同志,kamarad
271,Angelegenheit::N,件,afer
272,Anzahl::N,数,niver
273,Art::N,種類,sort
274,Stück::N,部分,tamm
275,Teil::N,部分,pezh
276,Hälfte::N,半分,hanterenn
277,Kreis::N,円,kelc'h
278,Kreuz::N,十字,kroaz
279,Linie::N,線,linenn
280,Strich::N,線,tenn
281,Abstand::N,距離,distok
282,Entfernung::N,距離,keid
283,Entfernung::N,距離,kehid
284,Gegend::N,辺,korn-bro
285,Gegend::N,地域,korn-bro
286,Platz::N,ゆとり,plasenn
287,Ort::N,所,lec'h
288,Ort::N,場所,lec'h
289,Seite::N,横,tu
290,Mitte::N,真ん中,kreiz
291,Gegenstand::N,物件,tra
292,Sache::N,物,tra
293,Rand::N,端,kantenn
294,Kante::N,縁,kantenn
295,Ecke::N,角,korn
296,Spitze::N,先頭,begell
297,Ende::N,端,dibenn
298,Loch::N,穴,toull
299,Winkel::N,片隅,
300,Muster::N,模様,tresadenn
301,Größe::N,大きさ,ment
302,Länge::N,長さ,hirder
303,Höhe::N,高さ,uhelder
304,Gewicht::N,重さ,pouez
305,Menge::N,量,bern
306,Haufen::N,堆積,bern
307,Reihe::N,並び,steud
308,Boot::N,ボート,bag
309,Ruder::N,オール,roeñv
310,Schlitten::N,そり,trainell
311,Ski::N,スキー,ski
312,Lagerfeuer::N,篝火,
313,Last::N,荷物,karg
314,Gang::N,歩み,kerzh
315,Schritt::N,歩,paz
316,Norden::N,北,norzh
317,Norden::N,北,hanternoz
318,Süden::N,南,su
319,Süden::N,南,kreisteiz
320,Westen::N,西,kuzh-heol
321,Osten::N,東,reter
322,Osten::N,東,sav-heol
323,Holz::N,木,koad
324,Holz::N,木材,koad
325,Brett::N,板,plankenn
326,Platte::N,盤,plakenn
327,Stütze::N,支柱,harp
328,Stange::N,棒,sparl
329,Stock::N,杖,bazh
330,Stab::N,棒,bazh
331,Rohr::N,管,tub
332,Rohr::N,管,korz
333,Haus::N,家,ti
334,Heim::N,家,kêr
335,Ofen::N,ストーブ,forn
336,Fußboden::N,床,plañchod
337,Tisch::N,机,taol
338,Stuhl::N,椅子,kador
339,Wiege::N,揺籃,kavell
340,Bett::N,ベッド,gwele
341,Regal::N,棚,estajerenn
342,Kiste::N,箱,kased
343,Fenster::N,窓,prenestr
344,Tür::N,戸,dor
345,Tür::N,ドア,dor
346,Tor::N,門,portal
347,Zaun::N,垣根,sklotur
348,Dach::N,屋根,toenn
349,Leiter::N,梯子,skeul
350,Besen::N,ほうき,skubell
351,Spaten::N,スコップ,pal
352,Schaufel::N,シャベル,pal
353,Gabel::N,フォーク,fourchetez
354,Löffel::N,スプーン,loa
355,Messer::N,ナイフ,kontell
356,Nagel::N,釘,tach
357,Netz::N,網,roued
358,Haken::N,鉤,krog
359,Haken::N,フック,krog
360,Griff::N,取っ手,kemer
361,Schloss::N,錠,potenn
362,Bild::N,絵,skeudenn
363,Figur::N,像,skeud
364,Figur::N,像,figur
365,Puppe::N,人形,merc'hodenn
366,Beutel::N,袋,sac'h
367,Bündel::N,束,feskenn
368,Bündel::N,包み,feskenn
369,Tasche::N,かばん,sac'h
370,Eimer::N,バケツ,sailh
371,Deckel::N,蓋,pallenn
372,Geschirr::N,食器,listriaj
373,Sack::N,袋,sac'h
374,Tasse::N,カップ,tas
375,Topf::N,鍋,pod
376,Kessel::N,釜,chaodouron
377,Essen::N,食事,pred
378,Nahrung::N,食物,boued
379,Speise::N,料理,meuz
380,Fleisch::N,肉,kig
381,Getreide::N,麦,ed
382,Getreide::N,穀物,ed
383,Brei::N,粥,yod
384,Brot::N,パン,bara
385,Scheibe::N,枚,tailhenn
386,Scheibe::N,切れ,tailhenn
387,Fett::N,脂肪,lard
388,Butter::N,バター,amann
389,Öl::N,油,eoul
390,Salz::N,塩,holen
391,Suppe::N,スープ,soubenn
392,Honig::N,蜂蜜,mel
393,Milch::N,牛乳,laezh
394,Tee::N,茶,te
395,Tee::N,お茶,te
396,Leder::N,革,lêr
397,Wolle::N,毛糸,gloan
398,Stoff::N,布,danvez
399,Nadel::N,針,nadoz
400,Faden::N,糸,neudenn
401,Knopf::N,ボタン,bouton
402,Knoten::N,結び目,skoulm
403,Farbe::N,ペンキ,liv
404,Kleidung::N,衣服,dilhad
405,Hemd::N,シャツ,roc'hed
406,Kragen::N,襟,gouzoug
407,Ärmel::N,袖,milgin
408,Hose::N,ズボン,bragoù
409,Gürtel::N,帯,gouriz
410,Gürtel::N,ベルト,gouriz
411,Mütze::N,帽子,boned
412,Schuh::N,靴,botez
413,Stiefel::N,ブーツ,botez
414,Ring::N,輪,gwalenn
415,Band::N,リボン,bagad
416,Kamm::N,櫛,krib
417,Spiegel::N,鏡,melezour
418,Riemen::N,緒,lerenn
419,Schnur::N,紐,kordenn
420,Leine::N,綱,roll
421,Decke::N,掛け布団,golo
422,Kissen::N,枕,goubenner
423,Tuch::N,スカーフ,mezher
424,Handtuch::N,タオル,toailhon
425,Kraft::N,力,nerzh
426,Stärke::N,強さ,nerzhder
427,Gesundheit::N,健康,yec'hed
428,Krankheit::N,病気,klañved
429,Schmerz::N,痛み,poan
430,Schmerz::N,痛み,droug
431,Wunde::N,傷,gloazadenn
432,Fieber::N,熱,terzhienn
433,Arznei::N,薬,louzoù
434,Brücke::N,橋,pont
435,Brunnen::N,井戸,puñs
436,Weide::N,牧場,prad
437,Pfad::N,小路,gwenodenn
438,Weg::N,道,hent
439,Straße::N,街道,ru
440,Straße::N,街道,hent
441,Dorf::N,村,kêr
442,Dorf::N,村,kêriadenn
443,Stadt::N,町,kêr
444,Stadt::N,都市,kêr
445,Brief::N,手紙,lizher
446,Buch::N,本,levr
447,Buchstabe::N,文字,lizherenn
448,Zeitung::N,新聞,kazetenn
449,Leben::N,生活,buhez
450,Tod::N,死,marv
451,Grab::N,墓,bez
452,Kirche::N,教会,iliz
453,Sünde::N,罪,pec'hed
454,Gott::N,神,doue
455,Arbeiter::N,労働者,labourer
456,Arbeiter::N,労働者,micherour
457,Chef::N,上司,penn
458,Meister::N,達人,mestr
459,Meister::N,マイスター,mestr
460,Arzt::N,医者,mezeg
461,Arzt::N,医者,medisin
462,Lehrer::N,先生,skolaer
463,Lehrer::N,先生,kelenner
464,Geld::N,金,arc'hant
465,Geschäft::N,取り引き,stal
466,Laden::N,店,stal
467,Preis::N,値段,priz
468,Ware::N,商品,marc'hadourezh
469,Nutzen::N,利益,gounidegezh
470,Nutzen::N,利益,lañs
471,Nutzen::N,利益,profit
472,Nutzen::N,利益,spleit
473,Reichtum::N,豊かさ,pinvidigezh
474,Welt::N,世界,douar
475,Land::N,国,bro
476,Staat::N,国家,stad
477,König::N,国王,roue
478,Macht::N,権力,galloud
479,Grenze::N,国境,harzoù
480,Krieg::N,戦争,brezel
481,Feind::N,敵,eneber
482,Gewalt::N,暴力,tâerder
483,Kampf::N,戦い,kann
484,Bogen[Waffe]::N,弓,gwareg
485,Pfeil::N,矢,saezh
486,Gewehr::N,銃,fuzuilh
487,Fehler::N,間違い,fazi
488,Lüge::N,嘘,gaou
489,Schaden::N,損害,gwall
490,Unglück::N,不幸,gwalleur
491,Schuld::N,罪,kablusted
492,Schuld::N,罪,pec'hedigezh
493,Alter::N,年,oad
494,Alter::N,年齢,oad
495,Schluss::N,終わり,diwezh
496,Zeit::N,時,amzer
497,Zeit::N,時間,amzer
498,Tag::N,日,deizh
499,Morgen::N,朝,beure
500,Morgen::N,朝,mintin
501,Mittag::N,昼,kreisteiz
502,Abend::N,晩,abardaez
503,Abend::N,夕方,abardaez
504,Nacht::N,夜,noz
505,Woche::N,週,sizhun
506,Monat::N,月,miz
507,Jahr::N,年,bloaz
508,Frühling::N,春,nevezamzer
509,Sommer::N,夏,hañv
510,Herbst::N,秋,diskaramzer
511,Winter::N,冬,goañv
512,Januar::N,一月,Genver
513,Februar::N,二月,C'hwevrer
514,März::N,三月,Meurzh
515,April::N,四月,Ebrel
516,Mai::N,五月,Mae
517,Juni::N,六月,Mezheven
518,Juli::N,七月,Gouhere
519,August::N,八月,Eost
520,September::N,九月,Gwengolo
521,Oktober::N,十月,Here
522,November::N,十一月,Du
523,Dezember::N,十二月,Kerzu
524,Montag::N,月曜日,Lun
525,Dienstag::N,火曜日,Meurzh
526,Mittwoch::N,水曜日,Merc'her
527,Donnerstag::N,木曜日,Yaou
528,Freitag::N,金曜日,Gwener
529,Samstag::N,土曜日,Sadorn
530,Sonntag::N,日曜日,Sul
531,groß::A,大きい,bras
532,klein::A,小さい,bihan
533,lang::A,長い,hir
534,kurz::A,短い,berr
535,breit::A,広い,ledan
536,schmal::A,狭い,strizh
537,dicht::A,密な,stank
538,dick[Gegenstand]::A,厚い,tev
539,dünn::A,薄い,moan
540,fein::A,細い,munut
541,fest::A,硬い,start
542,flach::A,平らな,plaen
543,glatt::A,滑らかな,lintr
544,glatt::A,滑らかな,levn
545,hart::A,堅い,kalet
546,weich::A,柔らかい,blot
547,rund::A,丸い,ront
548,spitz::A,尖った,poentet
549,scharf::A,鋭い,dremm
550,stumpf::A,鈍い,talsoc'h
551,schwer::A,重い,pounner
552,schön::A,綺麗な,kaer
553,heiß::A,熱い,tomm
554,warm::A,温かい,tomm
555,kalt::A,寒い,yen
556,kalt::A,冷たい,yen
557,kühl::A,涼しい,yen
558,frisch::A,ひんやりした,fresk
559,feucht::A,湿った,gleb
560,nass::A,濡れた,gleb
561,trocken::A,乾いた,sec'h
562,voll::A,いっぱいの,leun
563,leer::A,空の,goullo
564,offen::A,開いた,digor
565,geschlossen::A,閉まった,serr
566,sauber::A,清潔な,naet
567,schmutzig::A,汚い,lous
568,roh::A,生の,kriz
569,reif::A,熟した,darev
570,lecker::A,美味しい,lipous
571,lecker::A,美味しい,saourus
572,süß::A,甘い,dous
573,bitter::A,苦い,c'hwerv
574,sauer::A,酸っぱい,trenk
575,hell::A,明るい,sklaer
576,dunkel::A,暗い,teñval
577,schwarz::A,黒い,du
578,weiß::A,白い,gwenn
579,rot::A,赤い,ruz
580,gelb::A,黄色い,melen
581,blau::A,青い,glas
582,grün::A,緑の,gwer
583,grau::A,灰色の,louet
584,bunt::A,色取り取りの,liesliv
585,billig::A,安い,marc'had-mat
586,teuer::A,高い,ker
587,wertvoll::A,貴重な,prizius
588,blind::A,盲目の,dall
589,taub::A,耳が聞こえない,bouzar
590,kräftig::A,強力な,start
591,stark::A,強い,kreñv
592,schwach::A,弱い,gwan
593,fett::A,太った,lard
594,schlank::A,ほっそりした,sinkl
595,hübsch::A,素敵な,koant
596,böse::A,悪い,gwall
597,dumm::A,馬鹿な,glep
598,faul::A,怠惰な,lezirek
599,fleißig::A,勤勉な,studius
600,geizig::A,けちな,tost
601,klug::A,賢い,speredek
602,klug::A,頭のいい,speredek
603,geschickt::A,器用な,dornet
604,lieb::A,愛らしい,koant
605,lustig::A,楽しい,laouen
606,sanft::A,温和な,flour
607,hungrig::A,空腹の,marnaon
608,krank::A,病気の,klañv
609,nackt::A,裸の,noazh
610,traurig::A,悲しい,trist
611,lebendig::A,生きた,bev
612,gut::A,良い,mad
613,schlecht::A,悪い,fall
614,schlecht::A,悪い,gwall
615,schlecht::A,駄目な,fall
616,schlecht::A,駄目な,gwall
617,richtig::A,正しい,reizh
618,schlimm::A,ひどい,gwall
619,wahr::A,本当の,gwir
620,alt::A,古い,kozh
621,neu::A,新しい,nevez
622,ehemalig::A,以前の,kozh
623,alt[Lebewesen]::A,年を取った,kozh
624,jung::A,若い,yaouank
625,arm::A,貧乏な,paour
626,reich::A,裕福な,pinvidik
627,bekannt::A,有名な,anavezet
628,berühmt::A,有名な,brudet
629,fremd::A,見知らぬ,dizanav
630,verschieden::A,色々な,disheñel
631,nah::A,近い,nes
632,fern::A,遠い,diabell
633,linker::A,左の,kleiz
634,rechter::A,右の,dehoù
635,anderer::A,別の,all
636,erster::A,一番目,kentañ
637,zweiter::A,二番目,eil
638,dritter::A,三番目,trede
639,letzter::A,最後の,diwezhañ
640,allein::ADV,一人で,e-unan
641,auf einmal::ADV,同時に,ar un dro
642,zusammen::ADV,一緒に,asambles
643,lange::ADV,長い間,pell
644,plötzlich::ADV,急に,en un taol
645,sofort::ADV,すぐに,diouzhtu
646,später::ADV,後で,diwezhatoc'h
647,jetzt::ADV,今,bremañ
648,heute::ADV,今日,hiziv
649,morgen::ADV,明日,arc'hoazh
650,bald::ADV,間もなく,hepdale
651,dann::ADV,それから,a-c'houde
652,gestern::ADV,昨日,dec'h
653,einst::ADV,過去に,gwechall
654,damals::ADV,あの時,neuze
655,danach::ADV,その後で,goude
656,vorher::ADV,以前に,diagent
657,zuerst::ADV,まず,da gentañ
658,zuerst::ADV,最初に,da gentañ
659,einmal::ADV,一回,ur wech
660,manchmal::ADV,時々,a-wechoù
661,oft::ADV,よく,alies
662,immer::ADV,いつも,atav
663,immer::ADV,いつも,bepred
664,niemals::ADV,一度も...ない,gwech ebet
665,hier::ADV,こちら,amañ
666,hierhin::ADV,ここへ,dre amañ
667,hierhin::ADV,こちらへ,dre amañ
668,von hier::ADV,ここから,alemañ
669,dort::ADV,そちら,aze
670,dort::ADV,そちら,ahont
671,dorthin::ADV,そこへ,di
672,dorthin::ADV,そこへ,aze
673,dorthin::ADV,そこへ,ahont
674,dorthin::ADV,そちらへ,di
675,dorthin::ADV,そちらへ,aze
676,dorthin::ADV,そちらへ,ahont
677,geradeaus::ADV,真っ直ぐに,war-eeun
678,vorwärts::ADV,前へ,war-raok
679,rückwärts::ADV,後ろへ,war-lerc'h
680,zurück::ADV,後ろへ,war-dreñv
681,unten::ADV,下に,en traoñ
682,hinab::ADV,下へ,a-izel
683,oben::ADV,上に,en nec'h
684,hinauf::ADV,上へ,e-krec'h
685,überall::ADV,どこでも,dre-holl
686,nicht::ADV,ない,ne ... ket
687,ein wenig::ADV,少し,un tammig
688,ein wenig::ADV,ちょっと,un tammig
689,kaum::ADV,ほとんど～ない,a-boan
690,sehr::ADV,とても,-tre
691,sehr::ADV,とても,-kenañ
692,so::ADV,こう,evel-se
693,noch::ADV,まだ,c'hoazh
694,nur::ADV,～だけ,hepken
695,schon::ADV,もう,dija
696,wieder::ADV,再び,adarre
697,vergebens::ADV,無駄に,
698,vor::PRP,前に,dirak
699,hinter::PRP,後ろに,a-drek
700,hinter::PRP,後ろに,a-dreñv
701,unter::PRP,下に,dindan
702,durch::PRP,通して,dre
703,neben::PRP,横に,e-kichen
704,zwischen::PRP,間に,etre
705,wegen::PRP,為に,abalamour da
706,wegen::PRP,せいで,abalamour da
707,dies::PRN,これ,hemañ
708,das::PRN,それ,se
709,das::PRN,それ,hennezh
710,alles::PRN,全部,pep tra
711,ich::PRN,私,me
712,du::PRN,あなた,te
713,er::PRN,彼,eñ
714,wir::PRN,私達,ni
715,ihr::PRN,あなた達,c'hwi
716,sie::PRN,彼ら,int
717,was::FPRN,何,petra
718,wer::FPRN,誰,piv
719,wer::FPRN,どなた,piv
720,wo::FADV,どこ,pelec'h
721,wo::FADV,どこに,pelec'h
722,wohin::FADV,どこへ,da belec'h
723,wie::FADV,どう,penaos
724,warum::FADV,何故,perak
725,warum::FADV,どうして,perak
726,wieviel::FNUM,どのくらい,pet
727,eins::NUM,一,unan
728,zwei::NUM,二,daou
729,zwei::NUM,二つ,daou
730,drei::NUM,三,tri
731,drei::NUM,三つ,tri
732,vier::NUM,四,pevar
733,vier::NUM,四つ,pevar
734,fünf::NUM,五,pemp
735,fünf::NUM,五つ,pemp
736,sechs::NUM,六,c'hwec'h
737,sechs::NUM,六つ,c'hwec'h
738,sieben::NUM,七,seizh
739,sieben::NUM,七つ,seizh
740,acht::NUM,八,eizh
741,acht::NUM,八つ,eizh
742,neun::NUM,九,nav
743,neun::NUM,九つ,nav
744,zehn::NUM,十,dek
745,elf::NUM,十一,unnek
746,zwölf::NUM,十二,daouzek
747,zwanzig::NUM,二十,ugent
748,dreißig::NUM,三十,tregont
749,vierzig::NUM,四十,daou-ugent
750,fünfzig::NUM,五十,hanter-kant
751,sechzig::NUM,六十,tri-ugent
752,siebzig::NUM,七十,dek ha tri-ugent
753,achtzig::NUM,八十,pevar-ugent
754,neunzig::NUM,九十,dek ha pevar-ugent
755,hundert::NUM,百,kant
756,tausend::NUM,千,mil
757,und::CNJ,-と,ha
758,und::CNJ,そして,ha
759,oder::CNJ,或いは,pe
760,stehen::V,立っている,bezañ a-sav
761,sitzen::V,座っている,azezañ
762,sitzen::V,座っている,bezañ en e goazez
763,liegen::V,横になっている,bezañ en e c'hourvez
764,hängen::V,掛かっている,krougañ
765,werden::V,なる,dazonet
766,passieren::V,起こる,c'hoarvezout
767,beginnen::V,始まる,stagañ
768,enden::V,終わる,achuiñ
769,wechseln::V,変わる,cheñch
770,aufgehen[Sonne]::V,出る,dirouzañ
771,untergehen[Sonne]::V,沈む,
772,scheinen[Sonne]::V,輝く,lugernañ
773,donnern::V,雷が鳴る,taranal
774,wehen::V,吹く,c'hwezhañ
775,strömen::V,流れる,deredek
776,fließen::V,流れる,redek
777,sich drehen::V,回転する,troiñ
778,schwanken::V,揺れる,trantellat
779,schwingen::V,振動する,froumal
780,fallen::V,落ちる,kouezhañ
781,brennen::V,燃える,deviñ
782,rauchen::V,煙を出す,divogedañ
783,regnen::V,雨が降る,glavañ
784,gefrieren::V,凍る,reviñ
785,tauen::V,溶ける,diskornañ
786,schmelzen::V,溶ける,teuziñ
787,trocknen::V,乾く,sec'hañ
788,sieden::V,沸く,berviñ
789,faulen::V,腐る,breinañ
790,verfaulen::V,朽ちる,breinañ
791,reißen::V,切れる,darnaouiñ
792,versinken::V,沈む,sodellañ
793,vergehen::V,経つ,tremen
794,erscheinen::V,現れる,donet war-wel
795,verschwinden::V,消える,monet diwar wel
796,sinken::V,下がる,en em izelat
797,abnehmen::V,減る,nebeutaat
798,zunehmen::V,増える,kreskiñ
799,steigen::V,上がる,sevel
800,wachsen::V,伸びる,kreskiñ
801,glänzen::V,輝く,lugernañ
802,funkeln::V,ぴかぴか光る,elieniñ
803,lärmen::V,騒ぐ,rabotat
804,läuten::V,鳴る,
805,klingeln::V,鳴る,
806,klirren::V,がらんがらんと鳴る,diridignat
807,klirren::V,がらんがらんと鳴る,sterlinkañ
808,brausen::V,逆巻く,gwegal
809,rauschen::V,戦ぐ,trouzal
810,klingen::V,鳴る,seniñ
811,bellen::V,吠える,harzhal
812,heulen::V,きゃんきゃん鳴く,yudal
813,blasen::V,吹く,c'hwezhañ
814,pfeifen::V,口笛を吹く,c'hwitellat
815,schreien::V,叫ぶ,huchal
816,stöhnen::V,うめく,hirvoudiñ
817,zittern::V,震える,krenañ
818,leben::V,生きている,bevañ
819,geboren werden::V,生まれる,genel
820,atmen::V,呼吸する,tennañ e anal
821,trinken::V,飲む,evañ
822,essen::V,食べる,debriñ
823,schlucken::V,飲み込む,lonkañ
824,müde werden::V,眠くなる,skuizhañ
