,Concept_ID,fr,et
270,Gedanke::N,idée,mõte
271,Gedanke::N,pensée,mõte
272,Gedächtnis::N,mémoire,mälu
273,Verstand::N,raison,aru
274,Verstand::N,raison,mõistus
275,Sinn::N,sens,tähendus
276,Grund::N,cause,põhjus
277,Grund::N,raison,põhjus
278,Wahrheit::N,vérité,tõde
279,Gespräch::N,conversation,kõne
280,Gespräch::N,conversation,vestlus
281,Märchen::N,conte,muinasjutt
282,Märchen::N,conte de fées,muinasjutt
283,Erzählung::N,conte,jutustus
284,Erzählung::N,narration,jutustus
285,Nachricht::N,message,teade
286,Neuigkeit::N,nouvelle,uudis
287,Name::N,nom,nimi
288,Rätsel::N,énigme,mõistatus
289,Rätsel::N,devinette,mõistatus
290,Rede::N,parole,kõne
291,Rede::N,discours,kõne
292,Sprache::N,langue,keel
293,Sprache::N,langage,keel
294,Stimme::N,voix,hääl
295,Wort::N,mot,sõna
296,Zeichen::N,signe,märk
297,Ruf::N,cri,hüüe
298,Ruf::N,appel,hüüe
299,Lärm::N,bruit,müra
300,Laut::N,son,hääl
301,Ton::N,ton,toon
302,Lied::N,chant,laul
303,Lied::N,chanson,laul
304,Ruhe::N,calme,rahu
305,Ruhe::N,calme,vaikus
306,Ruhe::N,tranquillité,rahu
307,Ruhe::N,tranquillité,vaikus
308,Leute::N,gens,inimesed
309,Volk::N,peuple,rahvas
310,Arbeit::N,travail,töö
311,Gast::N,hôte,külaline
312,Gast::N,invité,külaline
313,Geschenk::N,cadeau,kingitus
314,Geschenk::N,présent,kingitus
315,Spiel::N,jeu,mäng
316,Gesellschaft::N,compagnie,selts
317,Hilfe::N,aide,abi
318,Hilfe::N,secours,abi
319,Freund::N,ami,sõber
320,Kamerad::N,copain,sõber
321,Kamerad::N,camarade,sõber
322,Angelegenheit::N,affaire,asi
323,Anzahl::N,nombre,arv
324,Anzahl::N,nombre,hulk
325,Art::N,sorte,liik
326,Art::N,espèce,liik
327,Stück::N,morceau,tükk
328,Teil::N,part,osa
329,Teil::N,partie,osa
330,Hälfte::N,moitié,pool
331,Kreis::N,cercle,ring
332,Kreuz::N,croix,rist
333,Linie::N,ligne,joon
334,Strich::N,trait,joon
335,Abstand::N,écart,vahe
336,Entfernung::N,distance,kaugus
337,Entfernung::N,distance,vahemaa
338,Gegend::N,région,ümbrus
339,Gegend::N,contrée,ümbrus
340,Platz::N,place,ruum
341,Ort::N,lieu,paik
342,Ort::N,endroit,paik
343,Seite::N,côté,pool
344,Mitte::N,milieu,keskpaik
345,Gegenstand::N,objet,ese
346,Sache::N,chose,ese
347,Rand::N,bord,äär
348,Rand::N,bord,serv
349,Kante::N,arête,kant
350,Ecke::N,coin,nurk
351,Ecke::N,tournant,nurk
352,Spitze::N,cime,teravik
353,Spitze::N,pointe,teravik
354,Ende::N,bout,ots
355,Ende::N,bout,jupp
356,Loch::N,trou,auk
357,Winkel::N,coin,nurk
358,Winkel::N,réduit,nurk
359,Muster::N,dessin,muster
360,Größe::N,grandeur,suurus
361,Länge::N,longueur,pikkus
362,Höhe::N,hauteur,kõrgus
