,Concept_ID,ko,no
83,Regen::N,비,regn
84,Schnee::N,눈,snø
85,Eis::N,얼음,is
86,Frost::N,혹한,frost
87,Kälte::N,추위,kulde
88,Kälte::N,차가움,kulde
89,Hitze::N,고온,hete
90,Hitze::N,더위,hete
91,Regenbogen::N,무지개,regnbue
92,Donner::N,뇌명,torden
93,Strömung::N,유동,strømning
94,Tropfen::N,물방울,dråpe
95,Schaum::N,포말,skum
96,Schmutz::N,때,søl
97,Schmutz::N,때,skitt
98,See::N,호수,sjø
99,Sumpf::N,습지,sump
100,Sumpf::N,습지,myrlende
101,Moor::N,저습지,myr
102,Moor::N,저습지,myrhei
103,Wiese::N,목초지,eng
104,Wald::N,숲,skog
105,Hügel::N,언덕,haug
106,Hügel::N,언덕,bakke
107,Anhöhe::N,언덕,haug
108,Anhöhe::N,언덕,bakke
109,Berg::N,산,berg
110,Berg::N,산,fjell
111,Gipfel::N,졀졍,topp
112,Höhle::N,공동,hule
113,Abhang::N,몰매,li
114,Abhang::N,몰매,skråning
115,Quelle::N,근원,kilde
116,Bach::N,내,bekk
117,Fluss::N,강,elv
118,Ufer::N,강변,bredd
119,Ufer::N,바닷가,bredd
120,Küste::N,해변,kyst
121,Küste::N,해변가,kyst
122,Festland::N,본토,fastland
123,Meer::N,바다,hav
124,Bucht::N,협만,bukt
125,Insel::N,섬,øy
126,Blume::N,꽃,blomst
127,Gras::N,풀,gress
128,Wurzel::N,뿌리,rot
129,Baum::N,나무,tre
130,Stamm::N,대,stamme
131,Rinde::N,나무껍질,bark
132,Ast::N,가지,gren
133,Zweig::N,가지,kvist
134,Blatt::N,잎,blad
135,Birke::N,자작나무,bjørk
136,Kiefer[Baum]::N,소나무,furu
137,Weide[Baum]::N,쉬양버들,selje
138,Weide[Baum]::N,쉬양버들,piletre
139,Tanne::N,전나무,gran
140,Horn::N,뿔,horn
141,Feder::N,깃털,fjær
142,Fell::N,피혁모피,skinn
143,Flügel::N,날개,vinge
144,Klaue::N,갈고리 발톺,klauv
145,Kralle::N,발툭,klo
146,Schwanz::N,꼬리,hale
147,Ei::N,알,egg
148,Nest::N,보금자리,rede
149,Bau::N,굴,hi
150,Tier::N,짐승,dyr
151,Herde::N,가축의떼,flokk
152,Kuh::N,암소,ku
153,Bulle::N,황소,tyr
154,Pferd::N,말,hest
155,Schaf::N,양,får
156,Schwein::N,돼지,gris
157,Hund::N,개,hund
158,Katze::N,고양이,katt
159,Bär::N,콤,bjørn
160,Eichhörnchen::N,다람쥐,ekorn
161,Elch::N,고라니,elg
162,Fuchs::N,여우,rev
163,Hase::N,토끼,hare
164,Maus::N,쥐,mus
165,Wolf::N,늑대,ulv
166,Wolf::N,늑대,varg
167,Vogel::N,새,fugl
168,Schwarm::N,뗴,sverm
169,Huhn::N,암탉,høne
170,Hahn::N,수탉,hane
171,Gans::N,거위,gås
172,Adler::N,수리,ørn
173,Ente::N,오리,and
174,Eule::N,부엉이,ugle
175,Kranich::N,두루미,trane
176,Krähe::N,까마귀,kråke
177,Kuckuck::N,뻐꾸기,gjøk
178,Schwan::N,배조,svane
179,Fisch::N,물고기,fisk
180,Barsch::N,농어,abbor
181,Hecht::N,에속스,gjedde
182,Schlange[Tier]::N,뱀,orm
183,Schlange[Tier]::N,뱀,slange
184,Wurm::N,벌레,orm
185,Wurm::N,벌레,mark
186,Spinne::N,거미,edderkopp
187,Ameise::N,개미,maur
188,Laus::N,이,lus
189,Mücke::N,모기,mygg
190,Fliege::N,날기,flue
191,Schmetterling::N,나비,sommerfugl
192,Beere::N,장과,bær
193,Apfel::N,사과,eple
194,Pilz::N,고방이,sopp
195,Zwiebel::N,양파,løk
196,Saat::N,씨,sæd
197,Korn::N,알맹이,korn
198,Heu::N,건초,høy
199,Schale::N,피상,skall
200,Falle::N,함정,felle
201,Schlinge::N,올가미,snare
202,Schlinge::N,멜빵붕대,snare
203,Spur::N,발지국,spor
204,Asche::N,재,aske
205,Dreck::N,똥,møkk
206,Dreck::N,똥,skitt
207,Dreck::N,오물,møkk
208,Dreck::N,오물,skitt
209,Eisen::N,쇠,jern
210,Eisen::N,철,jern
211,Gold::N,항금,gull
212,Silber::N,은,sølv
213,Kohle::N,슻,kol
214,Kohle::N,슻,kull
215,Glas::N,유리,glass
216,Lehm::N,찰흙,leire
217,Sand::N,모래,sand
218,Mensch::N,사람,menneske
219,Mann::N,남자,mann
220,Frau::N,여자,kvinne
221,Kind::N,아이,barn
222,Junge::N,소녁,gutt
223,Mädchen::N,소녀,pike
224,Mädchen::N,소녀,jente
225,Familie::N,가족,familie
226,Großvater::N,할아버지,bestefar
227,Großmutter::N,할머니,bestemor
228,Eltern::N,어버오,foreldre
229,Vater::N,아버지,far
230,Mutter::N,어머니,mor
231,Sohn::N,아들,sønn
232,Tochter::N,딸기,datter
233,Bruder::N,형제,bror
234,Schwester::N,누이,søster
235,Onkel::N,백부,onkel
236,Tante::N,아주머니,tante
237,Ehemann::N,남편,ektemann
238,Ehefrau::N,아내,hustru
239,Freude::N,기쁨,glede
240,Gelächter::N,웃음,latter
241,Glück::N,즐거움,lykke
242,Kummer::N,슬픔,sorg
243,Wunsch::N,소망,ønske
244,Geist::N,할기,ånd
245,Gedanke::N,상념,tanke
246,Gedächtnis::N,기억,minne
247,Gedächtnis::N,기억,hukommelse
248,Verstand::N,분별,forstand
249,Verstand::N,지능,forstand
250,Sinn::N,센스,mening
251,Sinn::N,센스,betydning
252,Grund::N,까닭,grunn
253,Wahrheit::N,참,sannhet
254,Wahrheit::N,진실,sannhet
255,Gespräch::N,대화,samtale
256,Märchen::N,동화,eventyr
257,Erzählung::N,이야기,fortelling
258,Neuigkeit::N,뉴스,nyhet
259,Name::N,이름,navn
260,Rätsel::N,수수께끼,gåte
261,Rede::N,연설,tale
262,Sprache::N,말,språk
263,Stimme::N,목소리,stemme
264,Wort::N,낱말,ord
265,Zeichen::N,신호,tegn
266,Ruf::N,부름,rop
267,Lärm::N,소동,bråk
268,Laut::N,음성,lyd
269,Ton::N,목소리,tone
270,Lied::N,노래,vise
271,Ruhe::N,쉼,ro
272,Leute::N,사람들,folk
273,Volk::N,국중,folk
274,Arbeit::N,근로,arbeid
275,Arbeit::N,너무,arbeid
276,Gast::N,손님,gjest
277,Geschenk::N,행하,gave
278,Spiel::N,무리,lek
279,Spiel::N,무리,spill
280,Gesellschaft::N,교제,selskap
281,Hilfe::N,거들음,hjelp
282,Hilfe::N,보좌,hjelp
283,Freund::N,친구,venn
284,Kamerad::N,동실자,kamerat
285,Angelegenheit::N,용무,sak
286,Angelegenheit::N,용무,anliggende
287,Anzahl::N,어떤,antall
288,Anzahl::N,수,antall
289,Art::N,정류,art
290,Art::N,정류,slag
291,Stück::N,일부분,stykke
292,Teil::N,몱,del
293,Teil::N,구훠,del
294,Hälfte::N,2분의,halvdel
295,Kreis::N,고리,ring
296,Kreis::N,고리,sirkel
297,Kreuz::N,열십자,kors
298,Kreuz::N,열십자,kryss
299,Linie::N,선,linje
300,Strich::N,스침,strek
301,Abstand::N,거리,avstand
302,Entfernung::N,거리,avstand
303,Gegend::N,곳,strøk
304,Gegend::N,부금,strøk
305,Platz::N,장소,plass
306,Ort::N,장소,sted
307,Seite::N,옆면,side
308,Mitte::N,궁간,midte
309,Gegenstand::N,항목,gjenstand
310,Sache::N,뭉에,sak
311,Rand::N,가,rand
312,Kante::N,귀퉁,kant
313,Ecke::N,구석,hjørne
314,Spitze::N,끝,spiss
315,Spitze::N,참단,spiss
316,Ende::N,말당,ende
317,Loch::N,빙옷,hull
318,Winkel::N,각도,vinkel
319,Muster::N,본,mønster
320,Muster::N,견복,mønster
321,Größe::N,신장,størrelse
322,Länge::N,길이긺,lengde
323,Höhe::N,높이,høyde
324,Gewicht::N,추,vekt
325,Menge::N,수양,mengde
326,Haufen::N,퇴적,haug
327,Haufen::N,퇴적,bunke
328,Reihe::N,열,rekke
329,Boot::N,보트,båt
330,Ruder::N,노,åre
331,Schlitten::N,썰매,slede
332,Schlitten::N,썰매,kjelke
333,Ski::N,스키,ski
334,Lagerfeuer::N,캠프의 모닥불,leirbål
335,Last::N,무거운짐,bør
336,Last::N,무거운짐,last
337,Gang::N,걸음,gang
338,Schritt::N,보조,steg
339,Schritt::N,보조,skritt
340,Norden::N,북쪽 ,nord
341,Süden::N,남쪽,sør
342,Westen::N,서쪽,vest
343,Osten::N,동쪽,øst
344,Holz::N,목재,tre
345,Brett::N,마루널,fjøl
346,Brett::N,마루널,brett
347,Platte::N,탤,plate
348,Platte::N,금속판,plate
349,Stütze::N,버팀목,støtte
350,Stange::N,장대,stang
351,Stock::N,막대기,pinne
352,Stab::N,작대기,stav
353,Stab::N,작대기,kjepp
354,Rohr::N,갈대,rør
355,Haus::N,집,hus
356,Heim::N,집,hjem
357,Ofen::N,아궁이,ovn
358,Fußboden::N,마루,gulv
359,Tisch::N,탁자,bord
360,Stuhl::N,의자,stol
361,Wiege::N,발상지,vogge
362,Bett::N,침대,seng
363,Regal::N,서가,reol
364,Regal::N,서가,hylle
365,Kiste::N,짐궤,kasse
366,Fenster::N,눔,vindu
367,Tür::N,문,dør
368,Tor::N,대문,port
369,Zaun::N,담장,gjerde
370,Dach::N,지붕,tak
371,Leiter::N,사닥다리,stige
372,Besen::N,비,kost
373,Spaten::N,가래,spade
374,Schaufel::N,삽,skuffe
375,Gabel::N,갈래,gaffel
376,Löffel::N,숟가락,skje
377,Messer::N,나이프,kniv
378,Nagel::N,발툽,spiker
379,Netz::N,그물,nett
380,Haken::N,갈고리,krok
381,Griff::N,움켜쥠,tak
382,Griff::N,움켜쥠,håndtak
383,Schloss::N,자물쇠,lås
384,Bild::N,그림,bilde
385,Figur::N,몸메,figur
386,Puppe::N,인형,dukke
387,Beutel::N,클,pose
388,Bündel::N,자근다발,bylt
389,Tasche::N,가방,veske
390,Eimer::N,동이,bøtte
391,Deckel::N,뚜껑,lokk
392,Geschirr::N,식시,kjøkkentøy
393,Sack::N,조갑,sekk
394,Tasse::N,차잔,kopp
395,Topf::N,단지,gryte
396,Kessel::N,주전자,kjele
397,Essen::N,먹기,mål
398,Nahrung::N,식료,mat
399,Nahrung::N,식료,næring
400,Speise::N,음식물,matrett
401,Fleisch::N,고기,kjøtt
402,Getreide::N,곡물,korn
403,Brei::N,젤리,grøt
404,Brot::N,빵,brød
405,Scheibe::N,원반,skive
406,Fett::N,기름,fett
407,Butter::N,버터,smør
408,Öl::N,올리브유,olje
409,Salz::N,소금,salt
410,Suppe::N,국,suppe
411,Suppe::N,수프,suppe
412,Honig::N,감미,honning
413,Milch::N,유즙,melk
414,Tee::N,차,te
415,Leder::N,가죽,lær
416,Leder::N,가죽,skinn
417,Wolle::N,양털,ull
418,Stoff::N,패료,tøy
419,Stoff::N,패료,stoff
420,Nadel::N,바늘,nål
421,Faden::N,콘실,tråd
422,Knopf::N,단추,knapp
423,Knoten::N,곁절,knute
424,Farbe::N,색,farge
425,Kleidung::N,옷입기,påkledning
426,Hemd::N,속옷,skjorte
427,Kragen::N,깃,krage
428,Ärmel::N,소매,erme
429,Hose::N,바지,bukse
430,Gürtel::N,밴드,belte
431,Mütze::N,모자,lue
432,Schuh::N,구두,sko
433,Stiefel::N,장화,støvel
434,Ring::N,고리,ring
435,Band::N,리본,band
436,Kamm::N,빗,kam
437,Spiegel::N,거울,speil
438,Riemen::N,가죽끈,rem
439,Schnur::N,밧줄,snor
440,Leine::N,고삐줄,line
441,Decke::N,이부자리,teppe
442,Kissen::N,깔개,pute
443,Tuch::N,천,tøy
444,Handtuch::N,수건,håndkle
445,Kraft::N,세력,kraft
446,Stärke::N,힘,styrke
447,Gesundheit::N,위생,helse
448,Gesundheit::N,위생,sunnhet
449,Krankheit::N,병,syke
450,Krankheit::N,병,sykdom
451,Schmerz::N,아픔고통,smerte
452,Wunde::N,상처,sår
453,Fieber::N,열별,feber
454,Arznei::N,약,medisin
455,Arznei::N,약,legemiddel
456,Brücke::N,교량,bro
457,Brunnen::N,원천,brønn
458,Weide::N,목장,beite
459,Pfad::N,좁은길,sti
460,Weg::N,길,vei
461,Straße::N,길,gate
462,Dorf::N,촌,landsby
463,Dorf::N,촌락,landsby
464,Stadt::N,도시,by
465,Brief::N,서한,brev
466,Buch::N,책,bok
467,Buchstabe::N,문자,bokstav
468,Zeitung::N,신문,avis
469,Leben::N,삶,liv
470,Tod::N,죽음,død
471,Grab::N,무덤,grav
472,Kirche::N,교회,kirke
473,Sünde::N,부정,synd
474,Gott::N,하느님,gud
475,Arbeiter::N,일하는사람,arbeider
476,Chef::N,사장,sjef
477,Meister::N,명인,mester
478,Meister::N,대가,mester
479,Arzt::N,의사,lege
480,Lehrer::N,교사,lærer
481,Geld::N,돈,penger
482,Geschäft::N,일,forretning
483,Laden::N,가게,butikk
484,Preis::N,가격,pris
485,Ware::N,상품,vare
486,Nutzen::N,이익,nytte
487,Reichtum::N,많음,rikdom
488,Welt::N,세상,verden
489,Land::N,지방,land
490,Staat::N,국가,stat
491,König::N,국왕,konge
492,Macht::N,힘,makt
493,Grenze::N,국경,grense
494,Krieg::N,전쟁,krig
495,Feind::N,적,fiende
496,Gewalt::N,권력,vold
497,Kampf::N,전투,kamp
498,Bogen[Waffe]::N,활,bue
499,Pfeil::N,화살,pil
500,Gewehr::N,무기,gevær
501,Fehler::N,오류,feil
502,Lüge::N,거짓말,løgn
503,Schaden::N,손상,skade
504,Unglück::N,불행,uhell
505,Schuld::N,부채,skyld
506,Alter::N,연령,alder
507,Schluss::N,마감,slutt
508,Zeit::N,때,tid
509,Zeit::N,시간,tid
510,Tag::N,하루,dag
511,Morgen::N,이침,morgen
512,Mittag::N,대낮,middag
513,Abend::N,저녁,aften
514,Nacht::N,밤,natt
515,Woche::N,근무일,uke
516,Monat::N,달,måned
517,Jahr::N,해,år
518,Frühling::N,봄,vår
519,Sommer::N,여름,sommer
520,Herbst::N,가을,høst
521,Winter::N,겨울,vinter
522,Januar::N,일월,januar
523,Februar::N,이월,februar
524,März::N,삼월,mars
525,April::N,사월,april
526,Mai::N,오월,mai
527,Juni::N,유월,juni
528,Juli::N,칠월,juli
529,August::N,팔월,august
530,September::N,구월,september
531,Oktober::N,시월,oktober
532,November::N,십일월,november
533,Dezember::N,십이월,desember
534,Montag::N,월요일,mandag
535,Dienstag::N,화요일,tirsdag
536,Mittwoch::N,수요일,onsdag
537,Donnerstag::N,모교일,torsdag
538,Freitag::N,그묘일,fredag
539,Samstag::N,토요일,lørdag
540,Sonntag::N,일요일,søndag
541,groß::A,큰,stor
542,klein::A,자근,liten
543,lang::A,긴,lang
544,kurz::A,짧은,kort
545,breit::A,넓은,bred
546,schmal::A,좁은,smal
547,dicht::A,농밀한,tett
548,dick[Gegenstand]::A,두꺼운,tykk
549,dünn::A,얇은,tynn
550,fein::A,미세한,fin
551,fest::A,굳은,fast
552,flach::A,얕은,flat
553,glatt::A,반들반들한,glatt
554,hart::A,굳은,hard
555,weich::A,연한,myk
556,weich::A,연한,bløt
557,rund::A,둥근,rund
558,spitz::A,뾰족한,spiss
559,scharf::A,날카로운,kvass
560,stumpf::A,무딘,stubb
561,schwer::A,무거운,tung
562,schön::A,멋진,pen
563,schön::A,멋진,vakker
564,heiß::A,뜨거운,het
565,warm::A,따뜻한,varm
566,kalt::A,찬,kald
567,kühl::A,서늘한,kjølig
568,frisch::A,신선한,fersk
569,feucht::A,축축한,fuktig
570,nass::A,젖은,våt
571,trocken::A,마른,tørr
572,voll::A,완전한,full
573,leer::A,빈,tom
574,offen::A,열린,åpen
575,geschlossen::A,닫힌,lukket
576,sauber::A,깨끗한,ren
577,schmutzig::A,더러운,skitten
578,roh::A,날게잇의,rå
579,reif::A,이근,moden
580,lecker::A,맛있는,lekker
581,süß::A,단,søt
582,bitter::A,찌르는듯한,besk
583,bitter::A,찌르는듯한,bitter
584,sauer::A,산성의,sur
585,hell::A,밝은,lys
586,dunkel::A,어두운,mørk
587,schwarz::A,검은,svart
588,weiß::A,하얀,hvit
589,rot::A,붉은,rød
590,gelb::A,황색,gul
591,blau::A,푸른,blå
592,grün::A,녹색의,grønn
593,grau::A,회색의,grå
594,bunt::A,알록달록한,broket
595,billig::A,싼,billig
596,teuer::A,값비산,dyr
597,wertvoll::A,가치가많은,verdifull
598,blind::A,눈먼,blind
599,taub::A,무감간한,døv
600,kräftig::A,강장한,kraftig
601,stark::A,강한,sterk
602,schwach::A,약한,svak
603,fett::A,실찐,fet
604,schlank::A,호리호리한,slank
605,hübsch::A,예쁜,pen
606,böse::A,나쁜,slem
607,dumm::A,어리석은,dum
608,faul::A,너덜너덜한,lat
609,faul::A,너덜너덜한,doven
610,fleißig::A,근면한,flittig
611,geizig::A,인색한,gjerrig
612,geschickt::A,교묘한,hendig
613,geschickt::A,교묘한,skikket
614,lieb::A,친애하는,kjær
615,lieb::A,친애하는,snill
616,lustig::A,유쾌한,morsom
617,sanft::A,온화한,blid
618,hungrig::A,배고픈,sulten
619,krank::A,병든,syk
620,nackt::A,벌거벗은,naken
621,traurig::A,슬픈,sørgmodig
622,lebendig::A,살아있는,levende
623,gut::A,좋은,god
624,schlecht::A,나쁜,dårlig
625,richtig::A,바른,riktig
626,schlimm::A,못된,slem
627,wahr::A,참된,sann
628,alt::A,늙은,gammel
629,neu::A,새,ny
630,ehemalig::A,전의,forhenværende
631,alt[Lebewesen]::A,낡은,gammel
632,jung::A,젊은,ung
633,arm::A,가난한,fattig
634,reich::A,풍부한,rik
635,bekannt::A,저명한,kjent
636,berühmt::A,유명한,berømt
637,fremd::A,타처이,fremmed
638,verschieden::A,따른,forskjellig
639,nah::A,가까운,nær
640,fern::A,먼,fjern
641,linker::A,왼쭉의,venstre
642,rechter::A,오른쪽의,høyre
643,anderer::A,다른,annen
644,erster::A,첫째,første
645,zweiter::A,둘째,annen
646,dritter::A,셋째,tredje
647,letzter::A,의후자의,sist
648,allein::ADV,훌로,alene
649,auf einmal::ADV,갑자기,med ett
650,zusammen::ADV,모아서,sammen
651,lange::ADV,오래,lenge
652,plötzlich::ADV,둘연한,plutselig
653,sofort::ADV,즉시,straks
654,später::ADV,보다늦은,senere
655,jetzt::ADV,목하,nå
656,heute::ADV,오늘,i dag
657,morgen::ADV,내일,i morgen
658,bald::ADV,곱,snart
659,dann::ADV,그경우에,så
660,gestern::ADV,어제,i går
661,einst::ADV,옛날에,engang
662,damals::ADV,그때에,den gang
663,danach::ADV,그 뒤에,deretter
664,vorher::ADV,미리,før
665,vorher::ADV,미리,i forveien
666,zuerst::ADV,최초로,først
667,einmal::ADV,한번,en gang
668,manchmal::ADV,땓대로,somme tider
669,oft::ADV,땓대로,ofte
670,immer::ADV,늘,alltid
671,niemals::ADV,결코...(하지)않다,aldri
672,hier::ADV,여기,her
673,hierhin::ADV,여기로,hit
674,dort::ADV,거기,der
675,dorthin::ADV,저기예,dit
676,geradeaus::ADV,곧장,rett fram
677,vorwärts::ADV,앞으로,fram
678,vorwärts::ADV,앞으로,framover
679,rückwärts::ADV,뒤로,baklengs
680,zurück::ADV,제자리로,tilbake
681,unten::ADV,아래에,nede
682,hinab::ADV,아래쪽으로,ned
683,hinab::ADV,아래쪽으로,nedover
684,oben::ADV,위에,oppe
685,oben::ADV,위에,ovenpå
686,hinauf::ADV,위쪽으로,opp
687,hinauf::ADV,위쪽으로,oppover
688,überall::ADV,도처에,overalt
689,nicht::ADV,안,ikke
690,ein wenig::ADV,적음,litt
691,kaum::ADV,가의,neppe
692,sehr::ADV,자주,svært
693,so::ADV,그와같이,så
694,noch::ADV,아직,enda
695,nur::ADV,다만,bare
696,schon::ADV,이미,alt
697,schon::ADV,이미,allerede
698,wieder::ADV,다시,igjen
699,vergebens::ADV,헛되이,forgjeves
700,vor::PRP,앞에,foran
701,vor::PRP,앞에,utenfor
702,hinter::PRP,뒤에,bak
703,hinter::PRP,뒤에,bakom
704,unter::PRP,잍에,under
705,durch::PRP,통고하여,gjennom
706,durch::PRP,통고하여,igjennom
707,neben::PRP,와나란히,ved siden av
708,zwischen::PRP,의사이로,mellom
709,wegen::PRP,때문에,på grunn av
710,dies::PRN,이,dette
711,das::PRN,저,det
712,alles::PRN,모든것,alt
713,ich::PRN,나,jeg
714,du::PRN,너,du
715,er::PRN,그,han
716,wir::PRN,우리,vi
717,ihr::PRN,너희들,dere
718,sie::PRN,그들,de
719,was::FPRN,뭣,hva
720,wer::FPRN,누구,hvem
721,wo::FADV,어디,hvor
722,wohin::FADV,어디로,hvor ... hen
723,wie::FADV,어떻게,hvordan
724,warum::FADV,왜,hvorfor
725,wieviel::FNUM,얼마만큰,hvor mye
726,eins::NUM,하나,en
727,eins::NUM,하나,ett
728,zwei::NUM,둘,to
729,drei::NUM,셋,tre
730,vier::NUM,넷,fire
731,fünf::NUM,다섯,fem
732,sechs::NUM,여섯,seks
733,sieben::NUM,일곱,sju
734,acht::NUM,여덟,åtte
735,neun::NUM,아홉,ni
736,zehn::NUM,열,ti
737,elf::NUM,열하나,elleve
738,zwölf::NUM,열둘,tolv
739,zwanzig::NUM,스물,tjue
740,dreißig::NUM,서름,tretti
741,vierzig::NUM,마흔,førti
742,fünfzig::NUM,숸,femti
743,sechzig::NUM,에순,seksti
744,siebzig::NUM,일흔,sytti
745,achtzig::NUM,여든,åtti
746,neunzig::NUM,아흔,nitti
747,hundert::NUM,백,hundre
748,tausend::NUM,천,tusen
749,und::CNJ,와,og
750,oder::CNJ,아니면,eller
751,stehen::V,서다,stå
752,sitzen::V,앉다,sitte
753,liegen::V,눕다,ligge
754,hängen::V,달다,henge
755,werden::V,되다,bli
756,passieren::V,지장옶다,skje
757,passieren::V,지장옶다,hende
758,beginnen::V,시작되다,begynne
759,enden::V,큳내다,ende
760,enden::V,큳내다,slutte
761,wechseln::V,병경하다,veksle
762,aufgehen[Sonne]::V,뜨다,stå opp
763,untergehen[Sonne]::V,지다,gå ned
764,scheinen[Sonne]::V,빛나다,skinne
765,donnern::V,천둥치다,tordne
766,wehen::V,풀다,blåse
767,strömen::V,흐르다,strømme
768,fließen::V,흐르다,flyte
769,sich drehen::V,돌다,dreie seg
770,schwanken::V,동요하다,svaie
771,schwingen::V,흔들다,svinge
772,fallen::V,떨어지다,falle
773,brennen::V,타다,brenne
774,rauchen::V,김이나다,ryke
775,regnen::V,비가오다,regne
776,gefrieren::V,얼다,fryse
777,tauen::V,녹다,tine
778,schmelzen::V,녹다,smelte
779,trocknen::V,홈치다,tørre
780,sieden::V,끓다,koke
781,faulen::V,부패하다,råtne
782,verfaulen::V,썩다,råtne
783,reißen::V,지바찢다,briste
784,versinken::V,가라앉다,synke
785,versinken::V,가라앉다,synke ned
786,vergehen::V,지나가다,forløpe
787,erscheinen::V,나타나다,synes
788,verschwinden::V,사라지다,forsvinne
789,sinken::V,가라앉다,synke
790,abnehmen::V,떼어내다,avta
791,abnehmen::V,떼어내다,minske
792,zunehmen::V,증가하다,tilta
793,steigen::V,상승하다,stige
794,wachsen::V,생기하다,gro
795,wachsen::V,생기하다,vokse
796,glänzen::V,뛰오나다,skinne
797,funkeln::V,불티가잍어나다,tindre
798,lärmen::V,떠들다,bråke
799,läuten::V,울시다,ringe
800,klingeln::V,초닌총을울리다,ringe
801,klirren::V,탁탁울리다,klirre
802,brausen::V,쏴쏴소리내다,bruse
803,rauschen::V,솨솨,suse
804,klingen::V,반향하다,lyde
805,klingen::V,반향하다,klinge
806,bellen::V,짖다,gjø
807,bellen::V,짖다,bjeffe
808,heulen::V,포효하다,ule
809,blasen::V,불다,blåse
810,pfeifen::V,피리를불다,plystre
811,schreien::V,절규하다,skrike
812,stöhnen::V,신음하다,stønne
813,zittern::V,저뉼하다,dirre
814,zittern::V,저뉼하다,skjelve
815,leben::V,살다,leve
816,geboren werden::V,태어난,fødes
817,atmen::V,숨쉬다,ånde
818,atmen::V,숨쉬다,puste
819,trinken::V,마시다,drikke
820,essen::V,먹다,spise
821,schlucken::V,들이켜다,svelge
822,einschlafen::V,잠들다,sovne
823,schlafen::V,자다,sove
824,aufwachen::V,눈트다,våkne
825,aufstehen::V,서다,stå opp
826,sich erholen::V,회복하다,bli bra
827,sich erholen::V,회복하다,komme seg
828,schmerzen::V,아프다,gjøre vondt
829,husten::V,잔기침하다,hoste
830,genesen::V,낫다,komme seg
831,sterben::V,죽다,dø
832,umkommen::V,못쓰게되다,omkomme
833,sich bewegen::V,움직이다,bevege seg
834,sich rühren::V,움직이다,røre på seg
835,sich erheben::V,이러서다,reise seg
836,sich setzen::V,앉히다,sette sig
837,hinfallen::V,넘어지다,falle over ende
838,laufen::V,걷다,løpe
839,schreiten::V,보행하다,skride
840,spazierengehen::V,산보하다,spasere
841,spazierengehen::V,산보하다,gå en tur
842,eilen::V,서둘다,ile
843,sich beeilen::V,서둘게하다,skynde seg
844,sausen::V,서들러 떠나다,suse
845,rennen::V,달리다,løpe
846,springen::V,도약하다,hoppe
847,springen::V,도약하다,springe
848,klettern::V,갑겨오르다,klatre
849,schaukeln::V,흔들리게하다,huske
850,kriechen::V,기다,krype
851,schwimmen::V,헤엄치다,svømme
852,tauchen::V,잠기다,dykke
